   Bhāvamiśra: Bhāvaprakāśaḥ	Bha-avamiSra: BhOva-prakASaH
   jīvantī cetakī ceti pathyāyāḥ sapta jātayaḥ // 8	jIvantI cetakI ca-iti paTyAyAH sapta jAtayaH // 8
   vindhyādrau vijayā himācalabhavā syāccetakī pūtanā sindhau syādatha rohiṇī	vinDya-adrO vijayA himAcala-BavA syAt-cetakI pUtanA sinDO syAt-aTa rohiNI
   nigaditā jātā pratiṣṭhānake /	nigaditA jAtA pratizWAnake /
   campāyām amṛtābhayā ca janitā deśe surāṣṭrāhvaye jīvantīti harītakī	campAyAm amRtA-aBayA ca janitA deSe surAzwra-Ahvaye jIvantI-iti harItakI
   nigaditā sapta prabhedā budhaiḥ // 9	nigaditA sapta praBedAH buDEH // 9
   alābuvṛttā vijayā vṛttā sā rohiṇī smṛtā /	alAbu-vRttA vijayA vRttA sA rohiNI smRtA /
   pūtanāsthimatī sūkṣmā kathitā māṃsalāmṛtā // 10	pUtanA-asTimatI sUkzmA kaTitA mAMsalA-amRtA // 10
   pañcarekhābhayā proktā jīvantī svarṇavarṇinī /	paQca-reKA-aBayA proktA jIvantI svarNa-varNinI /
   trirekhā cetakī jñeyā saptānām iyamākṛtiḥ // 11	trireKA cetakI jQeyA saptAnAm iyam-AkRtiH // 11
   vijayā sarvarogeṣu rohiṇī vraṇarohiṇī /	vijayA sarva-rogezu rohiNI vraNa-rohiNI /
   pralepe pūtanā yojyā śodhanārthe 'mṛtā hitā // 12	pralepe pUtanA yojyA SoDana-arTe amRtA hitAH // 12
   akṣiroge'bhayā śastā jīvantī sarvarogahṛt /	akzi-roge-aBayA SastA jIvantI sarva-roga-hRt /
   cūrṇārthe cetakī śastā yathāyuktaṃ prayojayet // 13	cUrNa-arTe cetakI SastAH yaTA-yuktam prayojayet // 13
   cetakī dvividhā proktā śvetā kṛṣṇā ca varṇataḥ /	cetakI dviviDA proktA SvetA kRzNA ca varNataH /
   ṣaḍaṅgulāyatā śuklā kṛṣṇā tv ekāṅgulā smṛtā // 14	zaz-aFgula-AyatA SuklA kRzNA tu eka-aFgulA smRtAH // 14
   kācidāsvādamātreṇa kācidgandhena bhedayet /	kAcid-AsvAda-mAtreNa kAcid-ganDena Bedayet /
   kācitsparśena dṛṣṭyānyā caturdhā bhedayecchivā // 15	kAcid-sparSena dRzwyA-anyA caturDA Bedayet-SivA // 15
   cetakīpādapacchāyāmupasarpanti ye narāḥ /	cetakI-pAdapa=-CAyAm-upasarpanti ye narAH /
   bhidyante tatkṣaṇādeva paśupakṣimṛgādayaḥ // 16	Bidyante tad-kzaNAt-eva paSu-pakzi-mRga-AdayaH // 16
   cetakī tu dhṛtā haste yāvattiṣṭhati dehinaḥ /	cetakI tu DRtAH haste yAvat-tizWati dehinaH /
   tāvad bhidyeta vegaistu prabhāvānnātra saṃśayaḥ // 17	tAvat Bidyeta vegEH-tu praBAvAt-na-atra saMSayaH // 17
   nṛpāṇāṃ sukumārāṇāṃ kṛśānāṃ bheṣajadviṣām /	nRpANAm sukumArANAm kRSAnAm Bezaja-dvizAm /
   cetakī paramā śastā hitā sukhavirecanī // 18	cetakI paramA SastA hitA suKa-virecanI // 18
   saptānām api jātīnāṃ pradhānā vijayā smṛtā /	saptAnAm api jAtInAm praDAnA vijayA smRtA /
   sukhaprayogā sulabhā sarvarogeṣu śasyate // 19	suKa-prayogA sulaBA sarva-rogezu Sasyate // 19
   harītakī pañcarasālavaṇā tuvarā param /	harItakI paQca-rasA-lavaNA tuvarA param /
   rūkṣoṣṇā dīpanī medhyā svādupākā rasāyanī // 20	rUkzA-uzNA dIpanI meDyA svAdu-pAkA rasAyanI // 20
   cakṣuṣyā laghurāyuṣyā bṛṃhaṇī cānulominī /	cakzuzyA laGuH-AyuzyA bRMhaNI ca-anulominI /
   śvāsakāsapramehārśaḥkuṣṭhaśothodarakrimīn // 21	SvAsa-kAsa-prameha-arSaH-kuzWa-SoTa-udara-krimIn // 21
   vaisvaryagrahaṇīrogavibandhaviṣamajvarān /	vEsvarya-grahaNI-roga-vibanDa-vizamajvarAn /
   gulmādhmānatṛṣāchardihikkākaṇḍūhṛdāmayān // 22	gulma-ADmAna-tRzA-Cardi-hikkA-kaNxU-hRd-AmayAn // 22
   kāmalāṃ śūlamānāhaṃ plīhānaṃ ca yakṛttathā /	kAmalAm SUlam-AnAham plIhAnam ca yakRt-taTA /
   aśmarīṃ mūtrakṛcchraṃ ca mūtrāghātaṃ ca nāśayet // 23	aSmarIm mUtrakRcCram ca mUtrAGAtam ca nASayet // 23
   svādutiktakaṣāyatvāt pittahṛt kaphahṛttu sā /	svAdu-tikta-kazAya-tvAt pitta-hRt kaPa-hRt-tu sA /
   kaṭutiktakaṣāyatvād amlatvādvātahṛcchivā // 24	kawu-tikta-kazAya-tvAt amla-tvAt-vAta-hRt-SivAH // 24
   pittakṛt kaṭukāmlatvād vātakṛnna kathaṃ śivā // 25	pitta-kRt kawuka-amla-tvAt vAta-kRt-na kaTam SivAH // 25
   prabhāvād doṣahantṛtvaṃ siddhaṃ yattatprakāśyate /	praBAvAt doza-hantR-tvam sidDam yat-tat-prakASyate /
   hetubhiḥ śiṣyabodhārthaṃ nāpūrvaṃ kriyate'dhunā // 26	hetuBiH Sizya-boDa-arTam na-apUrvam kriyate-aDunA // 26
   karmānyatvaṃ guṇaiḥ sāmyaṃ dṛṣṭamāśrayabhedataḥ /	karma-anya-tvam guNEH sAmyam dRzwam-ASraya-BedataH /
   yatastato neti cintyaṃ dhātrīlakucayoryathā // 27	yatas-tatas na-iti cintyam DAtrI-lakucayoH-yaTA // 27
   pathyāyā majjani svāduḥ snāyvāmamlo vyavasthitaḥ /	paTyAyAH majjani svAduH snAyvAm-amlaH vyavasTitaH /
   vṛnte tiktas tvaci kaṭur asthisthas tuvaro rasaḥ /	vRnte tiktaH tvaci kawuH asTi-sTaH tuvaraH rasaH /
   snigdhā ghanā vṛttā gurvī kṣiptā ca yāmbhasi /	snigDA GanA vRttA gurvI kziptA ca yA-amBasi /
   nimajjetsā praśastā ca kathitātiguṇapradā // 28	nimajjet-sA praSastA ca kaTita-ati-guNa-pradA // 28
   navādiguṇayuktatvaṃ tathaikatra dvikarṣatā /	nava-Adi-guNa-yukta-tvam taTA-ekatra dvi-karzatA /
   harītakyāḥ phale yatra dvayaṃ tacchreṣṭhamucyate // 29	harItakyAH Pale yatra dvayam tat-SrezWam-ucyate // 29
   carvitā vardhayatyagniṃ peṣitā malaśodhinī /	carvitA varDayati-agnim pezitA mala-SoDinI /
   svinnā saṃgrāhiṇī pathyā bhṛṣṭā proktā tridoṣanut // 30	svinnA saMgrAhiNI paTyA BRzwA proktA tridoza-nud // 30
   unmīlinī buddhibalendriyāṇāṃ nirmūlinī pittakaphānilānām /	unmIlinI budDi-bala-indriyANAm nirmUlinI pitta-kaPa-anilAnAm /
   visraṃsinī mūtraśakṛnmalānāṃ harītakī syātsaha bhojanena // 31	visraMsinI mUtra-SakRt-malAnAm harItakI syAt-saha Bojanena // 31
   annapānakṛtān doṣān vātapittakaphodbhavān /	anna-pAna-kRtAn dozAn vAta-pitta-kaPa-udBavAn /
   harītakī haratyāśu bhuktasyopari yojitā // 32	harItakI harati-ASu Buktasya-upari yojitA // 32
   lavaṇena kaphaṃ hanti pittaṃ hanti saśarkarā /	lavaNena kaPam hanti pittam hanti sa-SarkarA /
   ghṛtena vātajān rogān sarvarogān guḍānvitā // 33	GRtena vAta-jAn rogAn sarva-rogAn guxa-anvitA // 33
   sindhūtthaśarkarāśuṇṭhīkaṇāmadhuguḍaiḥ kramāt /	sinDUtTa-SarkarA-SuNWI-kaNA-maDu-guxEH kramAt /
   varṣādiṣvabhayā prāśyā rasāyanaguṇaiṣiṇā // 34	varza-Adizu-aBayA prASyA rasAyana-guNa-eziNA // 34
   adhvātikhinno balavarjitaś ca rūkṣaḥ kṛśo laṅghanakarśitaśca /	aDva-ati-KinnaH bala-varjitaH ca rUkzaH kRSaH laFGana-karSitaH-ca /
   pittādhiko garbhavatī ca nārī vimuktaraktastvabhayāṃ na khādet // 35	pitta-aDikaH garBavatI ca nArI vimukta-raktaH-tu-aBayAm na KAdet // 35
   vibhītakas triliṅgaḥ syādakṣaḥ karṣaphalastu saḥ /	viBItakaH tri-liFgaH syAt-akzaH karzaPalaH-tu saH /
   kalidrumo bhūtavāsastathā kaliyugālayaḥ // 36	kalidrumaH BUtavAsaH-taTA kali-yuga-AlayaH // 36
   vibhītakaṃ svādupākaṃ kaṣāyaṃ kaphapittanut /	viBItakam svAdu-pAkam kazAyam kaPa-pitta-nud /
   uṣṇavīryaṃ himasparśaṃ bhedanaṃ kāsanāśanam // 37	uzNa-vIryam hima-sparSam Bedanam kAsa-nASanam // 37
   rūkṣaṃ netrahitaṃ keśyaṃ kṛmivaisvaryanāśanam /	rUkzam netra-hitam keSyam kRmi-vEsvarya-nASanam /
   vibhītamajjā tṛṭchardikaphavātaharo laghuḥ /	viBIta-majjA tRz-Cardi-kaPa-vAta-haraH laGuH /
   kaṣāyo madakṛccātha dhātrīmajjāpi tadguṇaḥ // 38	kazAyaH mada-kRt-ca-aTa DAtrI-majjA-api tad-guNaH // 38
   triṣvāmalakamākhyātaṃ dhātrī tiṣyaphalāmṛtā // 39	trizu-Amalakam-AKyAtam DAtrI tizya-Pala-amRtA // 39
   harītakīsamaṃ dhātrīphalaṃ kiṃtu viśeṣataḥ /	harItakI-samam DAtrI-Palam kiMtu viSezataH /
   raktapittapramehaghnaṃ paraṃ vṛṣyaṃ rasāyanam // 40	rakta-pitta-prameha-Gnam param vRzyam rasAyanam // 40
   hanti vātaṃ tadamlatvātpittaṃ mādhuryaśaityataḥ /	hanti vAtam tat-amla-tvAt-pittam mADurya-SEtyataH /
   kaphaṃ rūkṣakaṣāyatvātphalaṃ dhātryāstridoṣajit // 41	kaPam rUkza-kazAya-tvAt-Palam DAtryAH-tridoza-jit // 41
   yasya yasya phalasyeha vīryaṃ bhavati yādṛśam /	yasya yasya Palasya-iha vIryam Bavati yAdRSam /
   tasya tasyaiva vīryeṇa majjānamapi nirdiśet // 42	tasya tasya-eva vIryeNa majjAnam-api nirdiSet // 42
   pathyāvibhītadhātrīṇāṃ phalaiḥ syāttriphalāsamaiḥ /	paTyA-viBIta-DAtrINAm PalEH syAt-triPalA-samEH /
   phalatrikaṃ ca triphalā sā varā ca prakīrtitā // 43	Palatrikam ca triPalA sA varA ca prakIrtitAH // 43
   triphalā kaphapittaghnī mehakuṣṭhaharā sarā /	triPalA kaPa-pitta-GnI meha-kuzWa-harA sarAH /
   cakṣuṣyā dīpanī rucyā viṣamajvaranāśinī // 44	cakzuzyA dIpanI rucyA vizamajvara-nASinI // 44
   śuṇṭhī viśvā ca viśvaṃ ca nāgaraṃ viśvabheṣajam /	SuNWI viSvA ca viSvam ca nAgaram viSvaBezajam /
   ūṣaṇaṃ kaṭubhadraṃ ca śṛṅgaveraṃ mahauṣadham // 45	UzaNam kawuBadram ca SRFgaveram mahOzaDam // 45
   śuṇṭhī rucyāmavātaghnī pācanī kaṭukā laghuḥ /	SuNWI rucyA-Ama-vAta-GnI pAcanI kawukA laGuH /
   snigdhoṣṇā madhurā pāke kaphavātavibandhanut // 46	snigDA-uzNA maDurA pAke kaPa-vAta-vibanDa-nud // 46
   vṛṣyā svaryā vamiśvāsaśūlakāsahṛdāmayān /	vRzyA svaryA vami-SvAsa-SUla-kAsa-hRd-AmayAn /
   hanti ślīpadaśothārśaānāhodaramārutān // 47	hanti SlIpada-SoTa-arSa-AnAha-udara-mArutAn // 47
   āgneyaguṇabhūyiṣṭhāt toyāṃśapariśoṣi yat /	Agneya-guNa-BUyizWAt toya-aMSa-pariSozi yat /
   saṃgṛhṇāti malaṃ tattu grāhi śuṇṭhyādayo yathā // 48	saMgRhNAti malam tat-tu grAhi SuNWI-AdayaH yaTA // 48
   vibandhabhedinī yā tu sā kathaṃ grāhiṇī bhavet /	vibanDa-BedinI yA tu sA kaTam grAhiNI Bavet /
   śaktivibandhabhede syādyato na malapātane // 49	Sakti-vibanDa-Bede syAt-yatas na mala-pAtane // 49
   ārdrakaṃ śṛṅgaveraṃ syātkaṭubhadraṃ tathārdrikā /	Ardrakam SRFgaveram syAt-kawuBadram taTA-ArdrikA /
   ārdrikā bhedinī gurvī tīkṣṇoṣṇā dīpanī matā // 50	ArdrikA BedinI gurvI tIkzNA-uzNA dIpanI matA // 50
   kaṭukā madhurā pāke rūkṣā vātakaphāpahā /	kawukA maDurA pAke rUkzA vAta-kaPa-apahAH /
   ye guṇāḥ kathitāḥ śuṇṭhyāste'pi santyārdrake'khilāḥ // 51	ye guNAH kaTitAH SuNWyAH-te-api santi-Ardrake-aKilAH // 51
   bhojanāgre sadā pathyaṃ lavaṇārdrakabhakṣaṇam /	Bojana-agre sadA paTyam lavaNa-Ardraka-BakzaNam /
   agnisaṃdīpanaṃ rucyaṃ jihvākaṇṭhaviśodhanam // 52	agni-saMdIpanam rucyam jihvA-kaNWa-viSoDanam // 52
   kuṣṭhaṣāṇḍvāmaye kṛcchre raktapitte vraṇe jvare /	kuzWa-zANxu-Amaye kRcCre raktapitte vraNe jvare /
   dāhe nidāghaśarador naiva pūjitam ārdrakam // 53	dAhe nidAGa-SaradoH na-eva pUjitam Ardrakam // 53
   pippalī māgadhī kṛṣṇā vaidehī capalā kaṇā /	pippalI mAgaDI kRzNA vEdehI capalA kaNA /
   upakulyoṣaṇā śauṇḍī kolā syāt tīkṣṇataṇḍulā // 54	upakulyA-UzaNA SONxI kolA syAt tIkzNa-taNxulAH // 54
   pippalī dīpanī vṛṣyā svādupākā rasāyanī /	pippalI dIpanI vRzyA svAdu-pAkA rasAyanI /
   anuṣṇā kaṭukā snigdhā vātaśleṣmaharī laghuḥ // 55	anuzNA kawukA snigDA vAta-Slezma-harI laGuH // 55
   pippalī recanī hanti śvāsakāsodarajvarān /	pippalI recanI hanti SvAsa-kAsa-udara-jvarAn /
   kuṣṭhapramehagulmārśaḥplīhaśūlāmamārutān // 56	kuzWa-prameha-gulma-arSaH-plIha-SUla-Ama-mArutAn // 56
   ārdrā kaphapradā snigdhā śītalā madhurā guruḥ /	ArdrA kaPa-pradA snigDA SItalA maDurA guruH /
   pittapraśamanī sā tu śuṣkā pittaprakopiṇī // 57	pitta-praSamanI sA tu SuzkA pitta-prakopiNI // 57
   pippalī madhusaṃyuktā medaḥkaphavināśinī /	pippalI maDu-saMyuktA medaH-kaPa-vinASinI /
   śvāsakāsajvaraharā vṛṣyā medhyāgnivardhinī // 58	SvAsa-kAsa-jvara-harA vRzyA meDya-agni-varDinI // 58
   jīrṇajvare'gnimāndye ca śasyate guḍapippalī /	jIrNajvare-agnimAndye ca Sasyate guxa-pippalI /
   kāsājīrṇāruciśvāsahṛtpāṇḍukṛmiroganut /	kAsa-ajIrNa-aruci-SvAsa-hRd-pANxu-kRmi-roga-nud /
   dviguṇaḥ pippalīcūrṇād guḍo'tra bhiṣajāṃ mataḥ // 59	dviguNaH pippalI-cUrNAt guxaH-atra BizajAm mataH // 59
   maricaṃ vellajaṃ kṛṣṇamūṣaṇaṃ dharmapattanam // 60	maricam vellajam kRzNam-UzaNam Darmapattanam // 60
   maricaṃ kaṭukaṃ tīkṣṇaṃ dīpanaṃ kaphavātajit /	maricam kawukam tIkzNam dIpanam kaPa-vAta-jit /
   uṣṇaṃ pittakaraṃ rūkṣaṃ śvāsaśūlakṛmīnharet // 61	uzNam pitta-karam rUkzam SvAsa-SUla-kRmIn-haret // 61
   tadārdraṃ madhuraṃ pāke nātyuṣṇaṃ kaṭukaṃ guru /	tad-Ardram maDuram pAke na-ati-uzNam kawukam guru /
   kiṃcit tīkṣṇaguṇaṃ śleṣmapraseki syād apittalam // 62	kiMcid tIkzNa-guNam Slezma-praseki syAt apittalam // 62
   viśvopakulyā maricaṃ trayaṃ trikaṭu kathyate /	viSva-upakulyA maricam trayam trikawu kaTyate /
   kaṭutrikaṃ tu trikaṭu tryūṣaṇaṃ vyoṣa ucyate // 63	kawutrikam tu trikawu tryUzaNam vyozaH ucyate // 63
   tryūṣaṇaṃ dīpanaṃ hanti śvāsakāsatvagāmayān /	tryUzaNam dIpanam hanti SvAsa-kAsa-tvac-AmayAn /
   gulmamehakaphasthaulyamedaḥślīpadapīnasān // 64	gulma-meha-kaPa-sTOlya-medaH-SlIpada-pInasAn // 64
   granthikaṃ pippalīmūlamūṣaṇaṃ caṭakāśiraḥ /	granTikam pippalI-mUlam-UzaNam cawakASiraH /
   dīpanaṃ pippalīmūlaṃ kaṭūṣṇaṃ pācanaṃ laghu // 65	dIpanam pippalI-mUlam kawu-uzNam pAcanam laGu // 65
   rūkṣaṃ pittakaraṃ bhedi kaphavātodarāpaham /	rUkzam pitta-karam Bedi kaPa-vAta-udara-apaham /
   ānāhaplīhagulmaghnaṃ kṛmiśvāsakṣayāpaham // 66	AnAha-plIha-gulma-Gnam kRmi-SvAsa-kzaya-apaham // 66
   tryūṣaṇaṃ sakaṇāmūlaṃ kathitaṃ caturūṣaṇam /	tryUzaNam sa-kaNA-mUlam kaTitam caturUzaNam /
   vyoṣasyeva guṇāḥ proktā adhikāścaturūṣaṇe // 67	vyozasya-iva guNAH proktAH aDikAH-caturUzaNe // 67
   bhaveccavyaṃ tu cavikā kathitā sā tathoṣaṇā /	Bavet-cavyam tu cavikA kaTitA sA taTA-UzaNA /
   kaṇāmūlaguṇaṃ cavyaṃ viśeṣādgudajāpaham // 68	kaNA-mUla-guNam cavyam viSezAt-gudaja-apaham // 68
   cavikāyāḥ phalaṃ prājñaiḥ kathitā gajapippalī /	cavikAyAH Palam prAjQEH kaTitA gajapippalI /
   kapivallī kolavallī śreyasī vaśiraśca sā // 69	kapivallI kolavallI SreyasI vaSiraH-ca sA // 69
   gajakṛṣṇā kaṭurvātaśleṣmahṛdvahnivardhinī /	gaja-kRzNA kawuH-vAta-Slezma-hRd-vahni-varDinI /
   uṣṇā nihantyatīsāraṃ śvāsakaṇṭhāmayakrimīn // 70	uzNA nihanti-atIsAram SvAsa-kaNWa-Amaya-krimIn // 70
   citrako 'nalanāmā ca pīṭho vyālas tathoṣaṇaḥ /	citrakaH anala-nAmA ca pIWaH vyAlaH taTA-UzaNaH /
   citrakaḥ kaṭukaḥ pāke vahnikṛt pācano laghuḥ // 71	citrakaH kawukaH pAke vahni-kRt pAcanaH laGuH // 71
   rūkṣoṣṇo grahaṇīkuṣṭhaśothārśaḥkṛmikāsanut /	rUkza-uzNaH grahaNI-kuzWa-SoTa-arSaH-kRmi-kAsa-nud /
   vātaśleṣmaharo grāhī vātaghnaḥ śleṣmapittahṛt // 72	vAta-Slezma-haraH grAhI vAta-GnaH Slezma-pitta-hRt // 72
   pippalī pippalīmūlaṃ cavyacitrakanāgaraiḥ /	pippalI pippalI-mUlam cavya-citraka-nAgarEH /
   pañcabhiḥ kolamātraṃ yatpañcakolaṃ taducyate // 73	paQcaBiH kola-mAtram yat-paQcakolam tat-ucyate // 73
   pañcakolaṃ rase pāke kaṭukaṃ rucikṛnmatam /	paQcakolam rase pAke kawukam ruci-kRt-matam /
   tīkṣṇoṣṇaṃ pācanaṃ śreṣṭhaṃ dīpanaṃ kaphavātanut /	tIkzNa-uzNam pAcanam SrezWam dIpanam kaPa-vAta-nud /
   gulmaplīhodarānāhaśūlaghnaṃ pittakopanam // 74	gulma-plIha-udara-AnAha-SUla-Gnam pitta-kopanam // 74
   pañcakolaṃ samaricaṃ ṣaḍūṣaṇamudāhṛtam /	paQcakolam sa-maricam zaz-UzaNam-udAhRtam /
   pañcakolaguṇaṃ tattu rūkṣamuṣṇaṃ viṣāpaham // 75	paQcakola-guNam tat-tu rUkzam-uzNam viza-apaham // 75
   yavānikogragandhā ca brahmadarbhājamodikā // 76	yavAnikA-ugraganDA ca brahmadarBa-ajamodikAH // 76
   saivoktā dīpyakā dīpyā tathā syād yavasāhvayā /	sA-eva-uktA dIpyakA dIpyA taTA syAt yavasAhvayA /
   yavānī pācanī rucyā tīkṣṇoṣṇā kaṭukā laghuḥ // 77	yavAnI pAcanI rucyA tIkzNA-uzNA kawukA laGuH // 77
   dīpanī ca tathā tiktā pittalā śukraśūlahṛt /	dIpanI ca taTA tiktA pittalA Sukra-SUla-hRt /
   vātaśleṣmodarānāhagulmaplīhakṛmipraṇut // 78	vAta-Slezma-udara-AnAha-gulma-plIha-kRmi-praNud // 78
   ajamodā kharāśvā ca māyūrī dīpyakas tathā /	ajamodA KarASvA ca mAyUrI dIpyakaH taTA /
   tathā brahmakuśā proktā kāravī locamastakā // 79	taTA brahmakuSA proktA kAravI loca-mastakAH // 79
   ajamodā kaṭustīkṣṇā dīpanī kaphavātanut /	ajamodA kawuH-tIkzNA dIpanI kaPa-vAta-nud /
   uṣṇā vidāhinī hṛdyā vṛṣyā balakarī laghuḥ /	uzNA vidAhinI hRdyA vRzyA bala-karI laGuH /
   netrāmayakṛmicchardihikkāvastirujo haret // 80	netra-Amaya-kRmi=-Cardi-hikkA-vasti-rujaH haret // 80
   pārasīkayavānī tu yavānīsadṛśī guṇaiḥ /	pArasIkayavAnI tu yavAnI-sadRSI guNEH /
   viśeṣātpācanī rucyā grāhiṇī mādinī guruḥ // 81	viSezAt-pAcanI rucyA grAhiNI mAdinI guruH // 81
   jīrako jaraṇo'jājī kaṇā syāddīrghajīrakaḥ // 82	jIrakaH jaraNaH-ajAjI kaNA syAt-dIrGa-jIrakaH // 82
   kṛṣṇajīraḥ sugandhaśca tathaivodgāraśodhanaḥ /	kRzNajIraH suganDaH-ca taTA-eva-udgAra-SoDanaH /
   kālājājī tu suṣavī kālikā copakālikā // 83	kAlAjAjI tu suzavI kAlikA ca-upakAlikAH // 83
   pṛthvīkā kāravī pṛthvī pṛthukṛṣṇopakuñcikā /	pRTvIkA kAravI pRTvI pRTu-kRzNA-upakuQcikA /
   upakuñcī ca kuñcī ca bṛhajjīraka ityapi // 84	upakuQcI ca kuQcI ca bRhajjIrakaH iti-api // 84
   jīrakatritayaṃ rūkṣaṃ kaṭūṣṇaṃ dīpanaṃ laghu /	jIraka-tritayam rUkzam kawu-uzNam dIpanam laGu /
   saṃgrāhi pittalaṃ medhyaṃ garbhāśayaviśuddhikṛt // 85	saMgrAhi pittalam meDyam garBASaya-viSudDi-kRt // 85
   jvaraghnaṃ pāvanaṃ vṛṣyaṃ balyaṃ rucyaṃ kaphāpaham /	jvara-Gnam pAvanam vRzyam balyam rucyam kaPa-apaham /
   cakṣuṣyaṃ pavanādhmānagulmacchardyatisārahṛt // 86	cakzuzyam pavana-ADmAna-gulma=-CardI-atisAra-hRt // 86
   dhānyakaṃ dhānakaṃ dhānyaṃ dhānā dhāneyakaṃ tathā /	DAnyakam DAnakam DAnyam DAnA DAneyakam taTA /
   kunaṭī dhenukā chattrā kustumburu vitunnakam // 87	kunawI DenukA CattrA kustumburu vitunnakam // 87
   dhānyakaṃ tuvaraṃ snigdhamavṛṣyaṃ mūtralaṃ laghu /	DAnyakam tuvaram snigDam-avRzyam mUtralam laGu /
   tiktaṃ kaṭūṣṇavīryaṃ ca dīpanaṃ pācanaṃ smṛtam // 88	tiktam kawu-uzNa-vIryam ca dIpanam pAcanam smRtam // 88
   jvaraghnaṃ rocakaṃ grāhi svādupāki tridoṣanut /	jvara-Gnam rocakam grAhi svAdu-pAki tridoza-nud /
   tṛṣṇādāhavamiśvāsakāsakārśyakrimipraṇut /	tRzNA-dAha-vami-SvAsa-kAsa-kArSya-krimi-praNud /
   ārdraṃ tu tadguṇaṃ svādu viśeṣātpittanāśanam // 89	Ardram tu tad-guNam svAdu viSezAt-pitta-nASanam // 89
   śatapuṣpā śatāhvā ca madhurā kāravī misiḥ /	SatapuzpA SatAhvA ca maDurA kAravI misiH /
   atilambī sitacchattrā saṃhitachattrikāpi ca // 90	atilambI sitacCattrA saMhitaCattrikA-api ca // 90
   chattrā śāleyaśālīnau miśreyā madhurā misiḥ /	CattrA SAleya-SAlInO miSreyA maDurA misiH /
   śatapuṣpā laghustīkṣṇā pittakṛddīpanī kaṭuḥ // 91	SatapuzpA laGuH-tIkzNA pitta-kRt-dIpanI kawuH // 91
   uṣṇā jvarānilaśleṣmavraṇaśūlākṣirogahṛt /	uzNA jvara-anila-Slezma-vraNa-SUla-akzi-roga-hRt /
   miśreyā tadguṇā proktā viśeṣād yoniśūlanut // 92	miSreyA tad-guNA proktAH viSezAt yoni-SUla-nud // 92
   agnimāndyaharī hṛdyā baddhaviṭkṛmiśukrahṛt /	agni-mAndya-harI hRdyAH badDa-viz-kRmi-Sukra-hRt /
   rūkṣoṣṇā pācanī kāsavamiśleṣmānilān haret // 93	rUkzA-uzNA pAcanI kAsa-vami-Slezma-anilAn haret // 93
   methikā methinī methī dīpanī bahupattrikā /	meTikA meTinI meTI dIpanI bahupattrikA /
   bodhinī bahubījā ca jyotirgandhaphalā tathā // 94	boDinI bahubIjA ca jyotirganDaPalA taTA // 94
   vallarī cakrikā manthā miśrapuṣpā ca kairavī /	vallarI cakrikA manTA miSrapuzpA ca kEravI /
   kuñcikā bahuparṇī ca pītabījā municchadā // 95	kuQcikA bahuparNI ca pItabIjAH municCadAH // 95
   methikā vātaśamanī śleṣmaghnī jvaranāśinī /	meTikA vAta-SamanI Slezma-GnI jvara-nASinI /
   tataḥ svalpaguṇā vanyā vājināṃ sā tu pūjitā // 96	tatas su-alpa-guNAH vanyA vAjinAm sA tu pUjitAH // 96
   candrikā carmahantrī ca paśumehanakārikā /	candrikA carmahantrI ca paSu-mehana-kArikAH /
   nandinī kāravī bhadrā vāsapuṣpā suvāsarā // 97	nandinI kAravI BadrA vAsapuzpA su-vAsarAH // 97
