   [dhana-ṛṇa-ṣaṣ-vidham]	[Dana--RNa--zaz-viDam]
   BG_44e/ karaṇī-ṣaṭke tisṛṇām daśasu catasṛṇām tithiṣu ca pañcānām/	Bu-_44e/ karaNI-zawke tisRNAm daSasu catasRNAm tiTizu ca paQcAnAm/
   BG_44g/ rūpa-kṛtes projjhya padam grāhyam ced anyathā na sat kva	Bu-_44g/ rUpa-kRteH projJya padam grAhyam ced anyaTA na sat kva
   api//[gīti]	api//[gI-iti]
   BG_44i/utpatsyamānayā evam mūla-karaṇyā alpayā catur-guṇayā/	Bu-_44i/utpatsyamAnayA evam mUla-karaNyA alpayA catur-guNayA/
   BG_44k/ yāsām apavartas syāt rūpa-kṛtes tās viśodhyās syus//[āryā]	Bu-_44k/ yAsAm apavartaH syAt rUpa-kRteH tAH viSoDyAH syu-s//[AryA]
   BG_44m/ apavarte yās labdhās mūla-karaṇyas bhavanti tās ca api/	Bu-_44m/ apavarte yAH labDAH mUla-karaNyaH Bavanti tAH ca api/
   BG_44o/ śeṣa-vidhinā na yadi tās bhavanti mūlam tadā tad asat//[āryā]	Bu-_44o/ Seza--viDinA na yadi tAH Bavanti mUlam tadA tat asat//[AryA]
   BG_45a/ varge yatra karaṇyas dantais 32 siddhais 24 gajais 8 mitās vidvan/	Bu-_45a/ varge yatra karaNyaH dantEH 32 sidDEH 24 gajEH 8 mitAH vidvan/
   BG_45c/ rūpais daśabhis upetās kim mūlam brūhi tasya syāt//[āryā]	Bu-_45c/ rUpEH daSaBiH upetAH kim mUlam brUhi tasya syAt-//[AryA]
   BG_46a/ varge yatra karaṇyas tithi-viśva-hutāśanais catur-guṇitais/	Bu-_46a/ varge yatra karaNyaH tiTi-viSva-hutASanEH catur-guNitEH-/
   BG_46c/ tulyās daśa-rūpa-āḍhyās kim mūlam brūhi tasya syāt//[āryā]	BG_46c/ tulyAH daSa-ru-upa-AXyAH kim mUlam brUhi tasya syAt-//[AryA]
   BG_47a/ aṣṭau ṣaṣ pañcāśat ṣaṣṭis karaṇī-trayam kṛtau yatra/	Bu-_47a/ azwO zaH paQcASat zazwiH karaNI-trayam kRtO yatra/
   BG_47c/ rūpais daśabhis upetam kim mūlam brūhi tasya syāt//[āryā]	Bu-_47c/ rUpEH daSaBiH upetam kim mUlam brUhi tasya syAt-//[AryA]
   BG_48a/ catur-guṇās sūrya-tithīṣu rudra-nāga-ṛtavas yatra kṛtau karaṇyas/	Bu-_48a/ catur-guNAH sUrya-tiTIzu rudra-nAga--RtavaH yatra kRtO karaNyas/
   BG_48c/ sa-viśava-rūpās vada tad-padam te yadi asti bīje	Bu-_48c/ sa-viSava--rUpAH vada tad--padam te yadi asti bIje
   paṭutā-abhimānas//[upajāti]	pawu-tA-aBimAna-s//[upajAti]
   BG_49a/ catvāriṃśat-aśīti-dviśatī-tulyās karaṇyas ced/	Bu-_49a/ catvAriMSat-a-SIti-dviSatI--tulyAH karaNyaH ced-/
   BG_49c/ saptadaśa-rūpa-yuktās tatra krtau kim padam brūhi//[upagīti]	Bu-_49c/ saptadaSa-rUpa-yuktAH tatra krtO kim padam brUhi//[upagIti]
   [kuṭṭaka-vivaraṇam]	[kuwwaka-vivaraNam]
   BG_50a/ bhājyas hāras kṣepakas ca apavartyas kena api ādau saṃbhave	Bu-_50a/ BAjyaH hAraH kzepakaH ca apavartyaH kena api AdO saMBave
   kuṭṭaka-artham/	kuwwaka--arTam/
   BG_50c/ yena chinnau bhājya-hārau na tena kṣepas ca etad duṣṭam uddiṣṭam	Bu-_50c/ yena CinnO BAjya--hArO na tena kzepaH ca etat duzwam uddizwam
   eva//[śālinī]	eva//[-SAlinI]
   BG_51a/ parasparam bhājitayos yayos yas śeṣas tayos syāt apavartanam sas/	Bu-_51a/ parasparam BAjitayoH yayoH yaH SezaH tayoH syAt apavartanam sa-s/
   BG_51c/ tena apavartena vibhājitau yau tau bhājya-hārau dṛḍha-saṃjñakau	Bu-_51c/ tena apavartena viBAjitO yO tO BAjya--hArO dRXa--saMjQakO
   stas//[upajāti]	stas//[upajAti]
   BG_51e/ mithas bhajet tau dṛḍha-bhājya-hārau yāvat vibhājye bhavati iha	BG_51e/ miTas Bajet tO dRXa--BAjya--hArO yAvat viBAjye Bavati iha
   rūpam/	rUpam/
   BG_51g/ phalāni adhas adhas tad-adhas niveśyas kṣepas tathā ante kham	Bu-_51g/ PalAni aDas aDas tad--aDas niveSyaH kzepaH taTA ante Kam
   upāntimena//[upajāti]	upAnti-mena//[upajAti]
   BG_51i/ sva-ūrdhve hate antyena yute tad-antyam tyajet muhus syāt iti	Bu-_51i/ sva-UrDve hate antyena yute tat--antyam tyajet muhur syAt iti
   rāśi-yugmam/	rASi--yugmam/
   BG_51k/ ūrdhvas vibhājyena dṛḍhena taṣṭas phalam guṇas syāt aparas	Bu-_51k/ UrDvaH viBAjyena dRXena tazwaH Palam guNaH syAt aparas
   hareṇa//[upajāti]	hareNa-//[upajAti]
   BG_52a/ evam tadā eva atra yadā samās tās syus labdhayas ced viṣamās	Bu-_52a/ evam tadA eva atra yadA samAH tAH syuH labDayaH ced vizamAs
   tadānīm/	tadAnIm/
   BG_52c/ yathā āgatau labdhi-guṇau viśodhyau sva-takṣaṇāt śeṣa-mitau tu tau	Bu-_52c/ yaTA AgatO labDi-guNO viSoDyO sva-takzaNAt Seza-mitO tu tO
   stas//[upajāti]	stas//[upajAti]
   BG_53a/ bhavati kuṭṭa-vidhes yuti-bhājyayos samapavartitayos api vā guṇas/	Bu-_53a/ Bavati kuwwa-viDeH yuti-BAjyayoH samapavartitayoH api vA guNa-s/
   BG_53c/ bhavati yas yuti-bhājakayos punar sas ca bhavet	Bu-_53c/ Bavati yaH yuti-BAjakayoH punar saH ca Bavet-
   apavartana-saṃguṇas//[drutavilambita]	apavartana--saMguNa-s//[druta-vilambita]
   BG_54a/ yoga-je takṣaṇāt śuddhe guṇa-āptī stas viyoga-je/	BG_54a/ yoga-je takzaNAt SudDe guNa--AptI staH viyoga-je/
   BG_54c/ dhana-bhājya-udbhave tad-vat bhavetām ṛṇa-bhājya-je//[anuṣṭubh]	Bu-_54c/ Dana--BAjya--udBave tat--vat BavetAm RNa--BAjya-je//[anuzwuB]
   BG_55/ guṇa-labdhyos samam grāhyam dhīmatā takṣaṇe phalam/	Bu-_55/ guNa-labDyoH samam grAhyam DImatA takzaNe Palam/
   BG_56a/ hara-taṣṭe dhana-kṣepe guṇa-labdhī tu pūrva-vat//[anuṣṭubh]	BG_56a/ hara-tazwe Dana-kzepe guNa-labDI tu pUrva-vat//[anuzwuB]
   BG_56c/ kṣepa-takṣaṇa-lābha-āḍhyā labdhis śuddhau tu varjitā/	Bu-_56c/ kzepa--takzaNa--lABa-a-AXyA labDiH SudDO tu varjitA/
   BG_57a/ atha vā bhāga-hāreṇa taṣṭayos kṣepa-bhājyayos//[anuṣṭubh]	Bu-_57a/ aTa vA BAga-hAreNa tazwayoH kzepa--BAjyayos//[anuzwuB]
   BG_57c/ guṇas prāk-vat tatas labdhis bhājyāt hata-yuta-uddhṛtāt/	Bu-_57c/ guNaH prAk---vat tatas labDiH BAjyAt hata--yuta-udDRtAt/
   BG_58a/ kṣepa=abhāvas atha vā yatra kṣepas śudhyet	Bu-_58a/ kzepa=aBAvaH aTa vA yatra kzepaH SuDyet-
   hara-uddhṛtas//[anuṣṭubh]	hara--udDRta-s//[anuzwuB]
   BG_58c/ jñeyas śūnyam guṇas tatra kṣepas hara-hṛtas phalam//[anuṣṭubh-ab;	Bu-_58c/ jQeyaH SUnyam guNaH tatra kzepaH hara--hRtaH Palam-//[anuzwuB-ab;
   cd=63ab]	cd=63ab]
   BG_59/ iṣṭa-āhata-sva-sva-hareṇa yukte te vā bhavetām bahudhā	Bu-_59/ izwa--Ahata--sva--sva-hareNa yukte te vA BavetAm bahuDA
