   Mṛgendratantra, Vidyāpāda, 1	MRgendra-tantra, VidyA-pAda, 1
   svātantryeṇa sthityādikaraṇāt parameśaḥ taṃ namaskṛtya kāyavāṅmanobhis	svAtantryeNa sTiti-Adi-karaNAt parameSaH tam namaskRtya kAya-vAc-manoBiH-
   tasmin prahvībhūya // MrgTV_1,1.1:18	tasmin prahvIBUya // MrgTV_1,1.1:18
   * tat ity anantaraṃ tantrāvatārakaṃ bharadvājam ṛṣim iti ṛ gatāv iti	* tat iti anantaram tantra-avatArakam BaradvAjam Rzim iti R gatO iti
   dhātvarthataḥ sarveṣāṃ ca gatyarthānāṃ jñānārthatvād avagataparamārthatayā	DAtu-arTataH sarvezAm ca gati-arTAnAm jQAna-arTa-tvAt avagata-parama-arTa-tayA
   ṛṣiḥ taṃ namaskṛtya śṛṇuteti śrotḥṇāṃ namaskāropadeśaḥ // MrgTV_1,1.1:19	RziH tam namaskRtya SRNutA-iti SrotHNAm namaskAra-upadeSaH // MrgTV_1,1.1:19
   * anamaskṛtaparameśvarāṇām apraṇatagurūṇāṃ ca	* anamaskRta-parameSvarANAm apraNata-gurUNAm ca
   nirvighnasaṃhitādhigamanāsaṃbhavāt // MrgTV_1,1.1:20	nirviGna-saMhita-aDigamana-asaMBavAt // MrgTV_1,1.1:20
   * yaś ca śrotṛjanam evaṃ śikṣayati so 'rthāt kṛtatathāvidhavidhiḥ pravṛtta	* yaH ca SrotR-janam evam Sikzayati saH arTAt kRta-taTAviDa-viDiH pravRtta
   iti gamyate // MrgTV_1,1.1:21	iti gamyate // MrgTV_1,1.1:21
   * tena yathā parameśvaraṃ guruṃ ca nutvāham upadeṣṭuṃ pravṛttas tathā	* tena yaTA parameSvaram gurum ca nutvA-aham upadezwum pravRttaH taTA
   yūyam api pravartadhvam iti vyavasthitam // MrgTV_1,1.1:22	yUyam api pravartaDvam iti vyavasTitam // MrgTV_1,1.1:22
   * yathā caitad indrasyomāpatinā upadiṣṭaṃ tadgranthaparisamāptau yady api	* yaTA ca-etat indrasya-umApatinA upadizwam tad-granTa-parisamAptO yadi api
   granthe evāsti tathāpi vyākhyānopakrame sambandhāder avaśyābhidheyatvāt	granTe eva-asti taTA-api vyAKyAna-upakrame sambanDa-AdeH avaSya-aBiDeya-tvAt-
   kiṃcid ucyate // MrgTV_1,1.1:23	kiMcid ucyate // MrgTV_1,1.1:23
   * kadācid	* kadAcid-
   atiruciraratnaprakaravinicitakanakamayakamanīyamahītalamanoharasaptamajaladhitaṭaviharaṇahevākinaṃ	ati-rucira-ratna-prakara-vinicita-kanaka-maya-kamanIya-mahI-tala-manohara-saptama-jalaDi-tawa-viharaNa-hevAkinam
   nīlopalatviṣaṃ caturbhujaṃ dvikaṃdharādharaṃ mukhadvayena	nIlopala-tvizam catur-Bujam dvi-kaMDara-aDaram muKa-dvayena
   vedādhyayanasurāpānasaṃkarakāriṇam asuranivahaparivṛtaṃ durmadaṃ mahāsuraṃ	veda-aDyayana-surA-pAna-saMkara-kAriNam asura-nivaha-parivRtam durmadam mahA-asuram
   tridaśapatir apaśyat // MrgTV_1,1.1:24	tridaSa-patiH apaSyat // MrgTV_1,1.1:24
   * atha tathāvidhadurācāradarśanajanitakopākulitamunigaṇasahitaḥ śatakratur	* aTa taTAviDa-durAcAra-darSana-janita-kopa-Akulita-muni-gaNa-sahitaH SatakratuH-
   akṣamamāṇo labdhavaratvāt prasabham astrair avadhyatām asya buddhvā	akzamamANaH labDa-vara-tvAt prasaBam astrEH avaDya-tAm asya budDvA
   phenenāntarnihitavastreṇa asurasya śirodvayaṃ cicheda // MrgTV_1,1.1:25	Penena-antar-nihita-vastreNa asurasya SiraH-dvayam ciCeda // MrgTV_1,1.1:25
   * tadvyāpādanataś ca brahmahatyājanitam agham āśaṅkamānas tatpraśāntaye	* tad-vyApAdanataH ca brahmahatyA-janitam aGam ASaFkamAnaH tad-praSAntaye
   bhagavantam acyutaṃ nāmnāṃ sahasreṇa ṛgyajuḥsāmabhiś cāstauṣīt //	Bagavantam acyutam nAmnAm sahasreNa Rc-yajuH-sAmaBiH ca-astOzIt //
   MrgTV_1,1.1:26	MrgTV_1,1.1:26
   * prasannena ca hariṇā navoditabhāsvadbhāsvaraṃ sarvabhūtābhibhāvukaṃ	* prasannena ca hariNA nava-udita-BAsvat-BAsvaram sarva-BUta-aBiBAvukam
   nārasiṃhaṃ kavacaṃ prayacchatā proktam // MrgTV_1,1.1:27	nArasiMham kavacam prayacCatA proktam // MrgTV_1,1.1:27
   * yathaitat saṃnaddhadehas tvam uttarakuruṣu bhagavantaṃ pinākinam	* yaTA-etat saMnadDa-dehaH tvam uttara-kuruzu Bagavantam pinAkinam
   ārādhaya varṣasahasrānte ca taṃ dṛṣṭvābhimatam āsādayiṣyasi ity uktvā	ArADaya varza-sahasra-ante ca tam dRzwvA-aBimatam AsAdayizyasi iti uktvA
   antarhite surārau sarvaṃ tad indreṇa kṛtam // MrgTV_1,1.1:28	antarhite surArO sarvam tat indreNa kRtam // MrgTV_1,1.1:28
   * atha pratyakṣībhūte bhagavati pinākini nikhiladuḥkhāntaś cāsya saṃjātaḥ	* aTa pratyakzIBUte Bagavati pinAkini niKila-duHKAntaH ca-asya saMjAtaH
   // MrgTV_1,1.1:29	// MrgTV_1,1.1:29
   * śrīmatkāmikākhyaṃ cāsmai parameśvara upadideśa // MrgTV_1,1.1:30	* SrImat-kAmika-AKyam ca-asmE parameSvaraH upadideSa // MrgTV_1,1.1:30
   * yataś cendrasya nṛsiṃharūpiṇaḥ samupadiṣṭam idam umāpatinā tato	* yatas ca-indrasya nRsiMha-rUpiNaH samupadizwam idam umApatinA tatas-
   mṛgendrasya śrotṛtvān mṛgendrasaṃjñayā prathitam // MrgTV_1,1.1:31	mRgendrasya SrotR-tvAt mRgendra-saMjQayA praTitam // MrgTV_1,1.1:31
   * sambandhas tv atra ṣaṭprakāraḥ parādiḥ // MrgTV_1,1.1:32	* sambanDaH tu atra zaz-prakAraH para-AdiH // MrgTV_1,1.1:32
   * tathāhi sargādau parameśvaraḥ	* taTA-hi sarga-AdO parameSvaraH
   ūrdhvaprāgdakṣiṇottarapaścimasrotaḥpañcakabhedabhinnaṃ jñānaṃ	UrDva-prAc-dakziNa-uttara-paScima-srotaH-paQcaka-Beda-Binnam jQAnam
   svecchānugṛhītavidyeśvarāṣṭakaprabodhanānantaraṃ tad abhivyaktaṃ	sva-icCA-anugRhIta-vidyeSvara-azwaka-praboDana-anantaram tat aBivyaktam
   mantreśvarādibhyo vakṣyamāṇavad ādideśa // MrgTV_1,1.1:33	mantreSvara-AdiByaH vakzyamANa-vat AdideSaH // MrgTV_1,1.1:33
   * tathā coktaṃ śrīmatkiraṇe /	* taTA ca-uktam SrImat-kiraNe /
   * sṛṣṭyanantaram eveśaḥ śivān sṛṣṭvā dṛśātmajān /	* sRzwi-anantaram eva-ISaH SivAn sRzwvA dRSA-AtmajAn /
   * jñānam ekaṃ vibhajyāśu teṣāṃ tatsaṃkhyayāvadata // MrgTV_1,1.1:34	* jQAnam ekam viBajya-ASu tezAm tad-saMKyayA-avadata // MrgTV_1,1.1:34
   * kāmikaṃ praṇavākhyasya śivākhyasya tu yogajam /	* kAmikam praNava-AKyasya Siva-AKyasya tu yoga-jam /
   * ityādi // MrgTV_1,1.1:35	* ityAdi // MrgTV_1,1.1:35
   * atra cātmajān iti ātmanaiva niradhikaraṇenānugraheṇānugṛhītān ity āśayaḥ	* atra ca-AtmajAn iti AtmanA-eva niraDikaraNena-anugraheNa-anugRhItAn iti ASayaH
   // MrgTV_1,1.1:36	// MrgTV_1,1.1:36
   * tebhya umāpatiḥ prāpa tasmāc ca śakraḥ tato 'pi bharadvājaḥ tatsakāśāt	* teByaH umApatiH prApa tasmAt ca SakraH tatas api BaradvAjaH tad-sakASAt
   tu hārītaḥ // MrgTV_1,1.1:37	tu hArItaH // MrgTV_1,1.1:37
   * sa punaḥ svaśiṣyebhyaḥ prāheti purastāt sarvaṃ spaṣṭīkariṣyāmaḥ //	* sa punar sva-SizyeByaH prAha-iti purastAt sarvam spazwIkarizyAmaH //
   MrgTV_1,1.1:38	MrgTV_1,1.1:38
   * abhidheyāś ceha jñānakriyāyogacaryāḥ // MrgTV_1,1.1:39	* aBiDeyAH ca-iha jQAna-kriyA-yoga-caryAH // MrgTV_1,1.1:39
   * prayojanaṃ tv atra tattvajñaptiḥ // MrgTV_1,1.1:40	* prayojanam tu atra tattva-jQaptiH // MrgTV_1,1.1:40
   * tatprayojanam api bhuktimuktī /	* tad-prayojanam api Bukti-muktI /
   * parameśvarasadbhāvaprasādhakapramāṇopanyāsas tadbādhakanirākaraṇaṃ ca	* parameSvara-sadBAva-prasADaka-pramANa-upanyAsaH tad-bADaka-nirAkaraNam ca
   yady api tatpraṇītāgamaprāmāṇy asādhanāya prathamam evopayujyate tathāpi	yadi api tad-praNIta-Agama-prAmANI asADanAya praTamam eva-upayujyate taTA-api
   śāstrakāreṇaiva agre tad vivecitam atas tatraiva vakṣyāmaḥ //	SAstra-kAreNa-eva agre tat vivecitam atas tatra-eva vakzyAmaH //
   MrgTV_1,1.1:41	MrgTV_1,1.1:41
   * kevalam etāvad eveha pratijānīmahe // MrgTV_1,1.1:42	* kevalam etAvat eva-iha pratijAnImahe // MrgTV_1,1.1:42
   * yad uktam /	* yat uktam /
   * āyurvedāc ca gaṇitān mantravādāc ca sasvarāt /	* AyurvedAt ca gaNitAn mantra-vAdAt ca sa-svarAt /
   * rasopaniṣadāṭopād āptaḥ sa parigṛhyate // MrgTV_1,1.1:43	* rasa-upanizad-AwopAt AptaH sa parigRhyate // MrgTV_1,1.1:43
   * iti tac cāptatvaṃ sāñjanatvād asarvārthadṛśāṃ darśanāntarapraṇetḥṇāṃ	* iti tat ca-Apta-tvam sa-aQjana-tvAt asarva-arTa-dRSAm darSana-antara-praNetHNAm
   svasvaviṣayam eva nityanirmalaniratiśayasarvārthajñānakriyāśaktes tu	sva-sva-vizayam eva nitya-nirmala-niratiSaya-sarva-arTa-jQAna-kriyA-SakteH tu
   sarvadā sarvānugrahapravṛttasya parameśvaratvād eva sarvādhiṣṭhātuḥ	sarvadA sarva-anugraha-pravRttasya parameSvara-tvAt eva sarva-aDizWAtuH
   sarvaviṣayam // MrgTV_1,1.1:44	sarva-vizayam // MrgTV_1,1.1:44
   * evaṃ vividhaviśeṣaṇaviśiṣṭasya vaktur vipralambhakatvāsaṃbhavān	* evam viviDa-viSezaNa-viSizwasya vaktuH vipralamBaka-tva-asaMBavAn
   nāprāmāṇyam // MrgTV_1,1.1:45	na-aprAmANyam // MrgTV_1,1.1:45
   * etac ca yathāvasaraṃ vakṣyāmaḥ // MrgTV_1,1.1:46	* etat ca yaTAvasaram vakzyAmaH // MrgTV_1,1.1:46
   * tad evam īdṛgrūpo bhagavān āgamasya kartā // MrgTV_1,1.1:47	* tat evam IdRS-rUpaH BagavAn Agamasya kartA // MrgTV_1,1.1:47
   * āgamas tu taṃ jñāpayati // MrgTV_1,1.1:48	* AgamaH tu tam jQApayati // MrgTV_1,1.1:48
   * ataś ca dvayor api visadṛśakriyatvān nātretaretarāśrayadoṣaḥ syāt //	* atas ca dvayoH api visadRSa-kriya-tvAt na-atra-itaretara-ASraya-dozaH syAt //
   MrgTV_1,1.1:49	MrgTV_1,1.1:49
   * yathā kaścid evaṃ vakti devadatto 'ham āyāta iti // MrgTV_1,1.1:50	* yaTA kaScid evam vakti devadattaH aham AyAtaH iti // MrgTV_1,1.1:50
   * tadvākyaśravaṇāc ca tadanye manyante hanta devadatto 'yam āyāta iti //	* tad-vAkya-SravaNAt ca tad-anye manyante hanta devadattaH ayam AyAtaH iti //
   MrgTV_1,1.1:51	MrgTV_1,1.1:51
   * na cātra devadattasya tadvākyasya cetaretarāśrayatvaṃ yuktam //	* na ca-atra devadattasya tad-vAkyasya ca-itaretara-ASraya-tvam yuktam //
   MrgTV_1,1.1:52	MrgTV_1,1.1:52
   * tadukteṣu ca dṛṣṭārtheṣu viṣabhūtarasavādādiṣu tadāgamasya phalavattvam	* tad-uktezu ca dRzwa-arTezu viza-BUta-rasa-vAda-Adizu tad-Agamasya Palavat-tvam
   upalabhyādṛṣṭārthasyāpi tacchāsanasyāvitathatvam anumīyate ity alam anena	upalaBya-adRzwa-arTasya-api tad-SAsanasya-avitaTa-tvam anumIyate iti alam anena
   prakṛtam anusarāmaḥ // MrgTV_1,1.1:53	prakRtam anusarAmaH // MrgTV_1,1.1:53
   * tad evaṃ hārītamuniḥ svaśiṣyāṇāṃ jñānopadeśaṃ pratijñāya	* tat evam hArIta-muniH sva-SizyANAm jQAna-upadeSam pratijQAya
   indrakramāyātatvaṃ darśayitum āha // MrgTV_1,1.1:54	indra-krama-AyAta-tvam darSayitum Aha // MrgTV_1,1.1:54
   nārāyaṇāśrame puṇye bharadvājādayo dvijāḥ /	nArAyaNa-ASrame puNye BaradvAja-AdayaH dvijAH /
   tepuḥ śivaṃ pratiṣṭhāpya tadekāhitamānasāḥ || MrgT_1,1.2 ||	tepuH Sivam pratizWApya tad-eka-ahita-mAnasAH || MrgT_1,1.2 ||
   * badaryāśramanāmni viṣṇor āśrame tadāśramatvād eva pāvane	* badaryASrama-nAmni vizNoH ASrame tad-ASrama-tvAt eva pAvane
   bharadvājaprabhṛtayo munayas tepur iti sambandhaḥ // MrgTV_1,1.2:1	BaradvAja-praBRtayaH munayaH tepuH iti sambanDaH // MrgTV_1,1.2:1
   * bharadvājādīnām ṛṣīṇām advijatvaprasiddhyasaṃbhavāt dvijā iti viśeṣaṇaṃ	* BaradvAja-AdInAm RzINAm advija-tva-prasidDi-asaMBavAt dvijAH iti viSezaNam
   vāgīśvarīgarbhasaṃyojanasaṃjananādinā kṛtadīkṣātvenotkarṣavattvaṃ na punar	vAc-ISvarI-garBa-saMyojana-saMjanana-AdinA kRta-dIkzA-tvena-utkarzavat-tvam na punar-
   upanītatvamātraṃ smārtavad dvijaśabdeneṣṭam adīkṣitānāṃ	upanIta-tva-mAtram smArta-vat dvija-Sabdena-izwam adIkzitAnAm
   tantrādiśravaṇānadhikārāt pratyuta pratyavāyaśruteḥ // MrgTV_1,1.2:2	tantra-Adi-SravaNAn-aDikArAt pratyuta pratyavAya-SruteH // MrgTV_1,1.2:2
   * śivaṃ pratiṣṭhāpyeti lohabāṇaliṅgādāv ādhāre sāmānyamantrādinā	* Sivam pratizWApya-iti loha-bANa-liFga-AdO ADAre sAmAnya-mantra-AdinA
   parameśvarapratiṣṭhāpanaṃ parikalpyety āśayaḥ anyathā yathāvad	parameSvara-pratizWApanam parikalpya-iti ASayaH anyaTA yaTAvat-
   viditatattadvidhānānāṃ purastāt pratiṣṭhādiviṣayasya praśnasyānupapatteḥ	vidita-tad-tad-viDAnAnAm purastAt pratizWA-Adi-vizayasya praSnasya-anupapatteH
   // MrgTV_1,1.2:3	// MrgTV_1,1.2:3
   * tasminn evaikasminn āhitam ekāgrīkṛtaṃ mānasaṃ yais te tathāvidhāḥ	* tasmin eva-ekasmin Ahitam ekAgrIkRtam mAnasam yEH te taTAviDAH
   santaḥ tepuḥ śivārādhanalakṣaṇaṃ tapaś cakrur ity arthaḥ // MrgTV_1,1.2:4	santaH tepuH Siva-ArADana-lakzaNam tapaH cakruH iti arTaH // MrgTV_1,1.2:4
   atha tān bhāvitān matvā kadācit tridaśādhipaḥ /	aTa tAn BAvitAn matvA kadAcid tridaSa-aDipaH /
   tad āśramapadaṃ bheje svayaṃ tāpasaveṣabhṛt || MrgT_1,1.3 ||	tat ASrama-padam Beje svayam tApasa-veza-BRt || MrgT_1,1.3 ||
   * anantaraṃ ca tān bhāvitān tatraśraddhālūn jñātvā kasmiṃścit kāle	* anantaram ca tAn BAvitAn tatra-SradDAlUn jQAtvA kasmiMScid kAle
   munirūpadhārī śakraḥ tadīyam āśramaṃ siṣeve // MrgTV_1,1.3:1	muni-rUpa-DArI SakraH tadIyam ASramam sizeve // MrgTV_1,1.3:1
   * tataś ca // MrgTV_1,1.3:2	* tatas ca // MrgTV_1,1.3:2
   sa taiḥ sampūjitaḥ pṛṣṭvā tāṃś ca sarvān anāmayam /	sa tEH sampUjitaH pRzwvA tAn ca sarvAn anAmayam /
   provāca codanādharmaḥ kim arthaṃ nānuvartyate || MrgT_1,1.4 ||	provAca codanA-DarmaH kim arTam na-anuvartyate || MrgT_1,1.4 ||
   * sa indras tair bharadvājādibhir āśramasamucitenātithisatkāreṇābhyarcitas	* saH indraH tEH BaradvAja-AdiBiH ASrama-samucitena-atiTi-satkAreNa-aByarcita-s
   tān bharadvājādīn pratyekaṃ kuśalaṃ pṛṣṭvābravīt // MrgTV_1,1.4:1	tAn BaradvAja-AdIn pratyekam kuSalam pRzwvA-bravIt // MrgTV_1,1.4:1
   * kiṃ tad ity ata āha codanādharmaḥ kim arthaṃ nānuvartyata iti //	* kim tat iti atas Aha codanA-DarmaH kim arTam na-anuvartyate iti //
   MrgTV_1,1.4:2	MrgTV_1,1.4:2
   * codaneti kriyāyāḥ pravartakaṃ vacanam āhuḥ tadāmnāto dharmaḥ kim iti	* codanA-iti kriyAyAH pravartakam vacanam AhuH tadAmnAtaH DarmaH kim iti
   nānuṣṭhīyate codanaiva hi dharme pramāṇaṃ pramāṇam eva codanā ity evam	na-anuzWIyate codanA-eva hi Darme pramANam pramANam eva codanA iti evam
   anyayogāyogavyavacchedanena tataḥ pravartamānānām aihikasyāmutrikasya ca	anya-yoga-ayoga-vyavacCedanena tatas pravartamAnAnAm Ehikasya-Amutrikasya ca
   phalasyāvisaṃvādāt // MrgTV_1,1.4:3	Palasya-avisaMvAdAt // MrgTV_1,1.4:3
   * tathā coktam /	* taTA ca-uktam /
   * śrutismṛtyuditaṃ dharmam anutiṣṭhan hi mānavaḥ /	* Sruti-smRti-uditam Darmam anutizWan hi mAnavaH /
   * iha kīrtim avāpnoti pretya cānuttamāṃ gatim iti // MrgTV_1,1.4:4	* iha kIrtim avApnoti pretya ca-anuttamAm gatim iti // MrgTV_1,1.4:4
   * tadviparītaṃ tu trayībāhyaṃ liṅgārādhanādi ca yat tat trayībāhyatvād eva	* tad-viparItam tu trayI-bAhyam liFga-ArADana-Adi ca yat tat trayI-bAhya-tvAt eva
   phalguprāyam // MrgTV_1,1.4:5	Palgu-prAyam // MrgTV_1,1.4:5
   * yad āha bhaṭṭaḥ /	* yat Aha BawwaH /
   * tathātikrāntavedoktamaryādāvyavahāriṇām /	* taTA-atikrAnta-veda-ukta-maryAdA-vyavahAriNAm /
   * saṃvādiṣv api vākyeṣu neṣyate mānahetutā // MrgTV_1,1.4:6	* saMvAdizu api vAkyezu na-izyate mAna-hetu-tAH // MrgTV_1,1.4:6
   * manur api /	* manuH api /
   * yā vedabāhyāḥ smṛtayo yāś ca kāścit kudṛṣṭayaḥ /	* yAH veda-bAhyAH smRtayaH yAH ca kAScid kudRzwayaH /
   * sarvās tā niṣphalāḥ pretya tamobhūtā hi tāḥ smṛtāḥ // MrgTV_1,1.4:7	* sarvAH tAH nizPalAH pretya tamaH-BUtAH hi tAH smRtAH // MrgTV_1,1.4:7
   * ity evaṃ jaiminimatānusāriṇaḥ // MrgTV_1,1.4:8	* iti evam jEmini-mata-anusAriNaH // MrgTV_1,1.4:8
   * tasya vacaḥ śrutvā // MrgTV_1,1.4:9	* tasya vacaH SrutvA // MrgTV_1,1.4:9
   ta ūcur nanv ayaṃ dharmaś codanāvihito mune /	te UcuH nanu ayam DarmaH codanA-vihitaH mune /
   devatārādhanopāyas tapasābhīṣṭasiddhaye || MrgT_1,1.5 ||	devatA-ArADana-upAyaH tapasA-aBIzwa-sidDaye || MrgT_1,1.5 ||
   * te bharadvājādayaḥ indraṃ tāpasarūpatvān muniśabdenāmantrya nanv iti	* te BaradvAja-AdayaH indram tApasa-rUpa-tvAt muni-Sabdena-Amantrya nanu iti
   prativacanam avocan // MrgTV_1,1.5:1	prativacanam avocan // MrgTV_1,1.5:1
   * yo 'yam asmābhir abhihito rudrākhyadevatāprasādanopāyalakṣaṇo dharmaḥ	* yaH ayam asmABiH aBihitaH rudra-AKya-devatA-prasAdana-upAya-lakzaNaH DarmaH
   tapasā samīhitasiddhyartham āsevyate sa codanayaivābhihito vyavasthāpitaḥ	tapasA samIhita-sidDi-arTam Asevyate sa codanayA-eva-aBihitaH vyavasTApitaH
   // MrgTV_1,1.5:2	// MrgTV_1,1.5:2
   * tathā hi codanā nāma	* taTA hi codanA nAma
   liḍloṭtavyadādiśabdavyavasthāpitavidhiniṣedharūpayajanādikriyāpravartakavacanam	liz-lowtavyat-Adi-Sabda-vyavasTApita-viDi-nizeDa-rUpa-yajana-Adi-kriyA-pravartaka-vacanam
   abhidhīyate // MrgTV_1,1.5:3	aBiDIyate // MrgTV_1,1.5:3
   * yathā jyotiṣṭomena yajeta svargakāmaḥ na kalañjaṃ bhakṣayet ityādi //	* yaTA jyotizwomena yajeta svarga-kAmaH na kalaQjam Bakzayet ityAdi //
   MrgTV_1,1.5:4	MrgTV_1,1.5:4
   * tac ca mukhyatayā śrautaṃ dharmarūpaṃ tanmūlatvāc ca smārtam api //	* tat ca muKya-tayA SrOtam Darma-rUpam tad-mUla-tvAt ca smArtam api //
   MrgTV_1,1.5:5	MrgTV_1,1.5:5
   * tathā coktaṃ tasmāc chrutismṛtī eva pramāṇaṃ dharmagocare //	* taTA ca-uktam tasmAt Sruti-smRtI eva pramANam Darma-gocare //
   MrgTV_1,1.5:6	MrgTV_1,1.5:6
   * iti tathā // MrgTV_1,1.5:7	* iti taTA // MrgTV_1,1.5:7
   * vedo 'khilo dharmamūlaṃ smṛtiśīle ca tadvidām /	* vedaH aKilaH Darma-mUlam smRti-SIle ca tad-vidAm /
   * iti // MrgTV_1,1.5:8	* iti // MrgTV_1,1.5:8
   * tadāsatāṃ tāvad evaṃvidhāḥ śrutyādisadāgamārthāvirodhinyaḥ paurāṇikyaḥ	* tadA-asatAm tAvat evaMviDAH Sruti-Adi-sat-Agama-arTa-aviroDinyaH pOrANikyaH
   saṃhitāḥ anyāś ca kāścana śrutayo yāsām idaṃ tātparyam // MrgTV_1,1.5:9	saMhitAH anyAH ca kAScana SrutayaH yAsAm idam tAtparyam // MrgTV_1,1.5:9
   * yathā mahābhāratādau /	* yaTA mahABArata-AdO /
   * ye bhaktā varadaṃ devaṃ śivaṃ rudram umāpatim /	* ye BaktAH vara-dam devam Sivam rudram umApatim /
   * ihaloke sukhaṃ prāpya te yānti paramāṃ gatim // MrgTV_1,1.5:10	* ihaloke suKam prApya te yAnti paramAm gatim // MrgTV_1,1.5:10
