   Adhyaya 3, Pada 1	ADyayaH 3, Pada 1
   praviṣyaḥ kalalabṛdbudādikrameṇotpannaṃ śarīramāpnotīti prasiddham /	pravizyaH kalala bRt buda Adi krameNa utpannam SarIram Apnoti iti prasidDam /
   tatkiṃ tathyamutātathyamiti sandehaḥ /	tat kim taTyam utAtaTyam iti sandehaH /
   na tathyamiti pūrvaḥ pakṣaḥ /	na taTyam iti pUrvaH pakzaH /
   kutaḥ /	kutas /
   "dehaṃ garbhasthitaṃ kvāpi praviśetsvargato gataḥ'; ityādivacanāt /	"deham garBa sTitam kvApi praviSet svargataH gataH a; ityAdi vacanAt /
   māndhātṛdroṇadrupadakṛpākādīnāmitihāsapurāṇeṣu vinaiva bījādisambandhena	mAnDAtR droNa drupada kRpAkA AdInAm itihAsa purANezu vinA eva bIja Adi sambanDena
   jananadarśanācca /	janana darSanAt ca /
   anyathāsiddhe cārthe na bahukalpanā yuktā /	anyaTA sidDe ca arTe na bahu kalpanA yuktAH /
   ataste vairāgyajanakā(yaivār)thamevādhyātmavidāṃ vādāḥ'; iti /	atas te vErAgya jana kA(yA eva ar)Tam eva aDyAtma vidAm vAdAH a; iti /
   tathyamiti siddhāntaḥ /	taTyam iti sidDAntaH /
   kasmāt /	kasmAt /
   "memegho bhūtvā varṣati /	"me meGaH BUtvA varzati /
   ta(dya) iha vrīhiyavā oṣa(dhivanaspataya)dhayastilāmāṣā iti jāyante /	ta(dya) iha vrIhi yavAH oza( Di vanaspataya) DayaH tila AmAzAH iti jAyante /
   yo yo hyannamatti /	yaH yaH hi annam atti /
   yo vā retaḥ siñcati tadrūpādbhūya eva bhavati /	yaH vA retaH siQcati tad rUpAt BUyas eva Bavati /
   tadya iha ramaṇīyacaraṇā abhyāśo ha yatte ramaṇīyāṃ yonimāpadyante';	tat yaH iha ramaNIya caraNAH aByASaH ha yat te ramaNIyAm yonim Apadyante a;
   ityādiśruteḥ /	ityAdi SruteH /
   na cādṛṣṭe 'rthenyathāsiddhiravakāśavatī /	na ca adRzwe arTenyaTA sidDiH avakASavatI /
   naca vacanāntaraliṅgadaśarnavirodhaḥ /	na ca vacana antara liFgadaSarna viroDaH /
   kvacid bījādisambandhābhāvasyāpi vidyāmānatvena tadviṣayatvāt /	kvacid bIja Adi sambanDa aBAvasya api vidyA mAna tvena tad vizaya tvAt /
   yathoktam /	yaTA uktam /
   "divaḥ sthāsnūn gacchati'; /	"divaH sTAsnUn gacCati a; /
   "sthāvarāṇi divaḥ prāptaḥ'; iti śrutismṛtibhyāmiti /	"sTAvarANi divaH prAptaH a; iti Sruti smRtiByAm iti /
   tadidamayuktaṃ vyākhyānam /	tat idam ayuktam vyAKyAnam /
   utsūtratvāt /	utsUtra tvAt /
   yadyapyatra yoniśabdo bījādyupalakṣaṇaḥ śakyo vyākhyātuṃ tathāpi	yadi api atra yoni SabdaH bIja Adi upalakzaNaH SakyaH vyAKyAtum taTA api
   tatsambandhaniyama eva sūtre pratīyate /	tad sambanDa niyamaH eva sUtre pratIyate /
   natu kvācitkastadabhāvo 'pi /	na tu kvAcid kaH tad aBAvaH api /
   yadi ca kvacid bījādisambandhābhāvaḥ syāttadā'kasmikatvaṃ syādityata āha 	yadi ca kvacid bIja Adi sambanDa aBAvaH syAt tadA akasmika tvam syAt iti atas Aha 
   bījeti //	bIja iti //
   yoneḥ śarīram | BBs_3,1.27 |	yoneH SarIram | BBH _3,1.27 |
   bījāpūruṣayonīnāṃ saṅgātiniyamojkhitim /	bIjA pUruza yonInAm saFga ati niyama ujKitim /
   athaśabdena bhagavānāha ... // MAnuv_3,1.4a c //	aTaSabdena BagavAn Aha ... // Ma anuv_3,1.4a t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   bījaśabdena vrīhyādikaṃ retaścocyate /	bIja Sabdena vrIhi Adikam retaH ca ucyate /
   saṅgatiniyamojkhitiṃ sambandhātiniyamābhāvam /	saFgati niyama ujKitim sambanDa ati niyama aBAvam /
   ayamarthaḥ /	ayam arTaH /
   retaḥsiṇyogo 'theti pūrvasūtrādathaśabdo 'trāpyanuvartate /	retaH siNyogaH aTa iti pUrva sUtrAt aTa SabdaH atra api anuvartate /
   sa ca prakṛtādarthādarthāntare vartate /	sa ca prakRtAt arTAt arTa antare vartate /
   tathāca yoneḥ śarīramāpadyate /	taTA ca yoneH SarIram Apadyate /
   kvacittadabhāvenāpītyathaśabdena bhagavānsūtrakāro bījādisamba(ndhe	kvacid tad aBAvena api iti aTa Sabdena BagavAn sUtra kAraH bIja Adi samba (nDe
   ni)ndhaniyamābhāvaṃ sūtritavānityato notsūtratvaparyanuyogo yukta iti /	ni)nDa niyama aBAvam sUtritavAn iti atas na utsUtra tva paryanuyogaH yuktaH iti /
   yaduktamevaṃ satyākasmikatvaprasaṅga iti tatpariharati  kāraṇataśceti //	yat uktam evam satyAkasmika tva prasaFgaH iti tad pariharati kAraNataH ca iti //
   ... kāraṇataśca tām // MAnuv_3,1.4d //	... kAraNataH ca tAm // MA anuv_3,1.4d //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   tāṃ ca bījādisambandhaniyamojkhitiṃ kāraṇāt āha /	tAm ca bIja Adi sambanDa niyama ujKitim kAraNAt Aha /
   etaduktaṃ bhavati /	etat uktam Bavati /
   janmakāraṇādṛṣṭākṛṣṭo janturbījādisambandhena śarīramāpadyata ityutsargaḥ	janma kAraNa adRzwa AkRzwaH jantuH bIja Adi sambanDena SarIram Apadyate iti utsargaH
   sa ca kvacijjñānatapoyogādyatiśayalakṣaṇena kāraṇaviśeṣaṇāpodyate /	sa ca kvacid jQAna tapaH yoga Adi atiSaya lakzaNena kAraNa viSezaNA apodyate /
   yathā kṣudrajantuyātanāśarīrotpattāvapavāda iti /	yaTA kzudra jantu yAtanA SarIra utpattO= apavAdaH iti /
   tathā coktam /	taTA ca uktam /
   "viśeṣakāraṇādeva viśeṣājjaniriṣyate /	"viSeza kAraNAt eva viSezAt janiH izyate /
   sāmānyajananaṃ caiva nṛṇāṃ sāmānyahetutaḥ'; iti /	sAmAnya jananam ca eva nRNAm sAmAnya hetutaH a; iti /
   ato yuktametadvayākhyānamiti /	atas yuktam eta t vaya AKyAnam iti /
   // iti śrīmatpūrṇapramatibhagavatpādasukṛteranuvyākhyānasya	// iti SrImat pUrNa pramati Bagavat pAda sukRteH anuvyAKyAnasya
   praguṇajayatīrthākhyayatinā /	praguNa jayatIrTa AKyayatinA /
   kṛtāyāṃ ṭīkāyāṃ viṣamapadavākyārthavivṛtau tṛtīye 'dhyāye 'yaṃ	kRtAyAm wIkAyAm vizama pada vAkya arTa vivRtO tRtIye aDyAye ayam
   prathamacaraṇaḥ paryavasitaḥ /	praTama caraNaH paryavasitaH /
   Adhyaya 3, Pada 2	ADyayaH 3, Pada 2
   "bhaktirasminpāda ucyate /	"BaktiH asmin pAdaH ucyate /
   bhaktyarthaṃ hi bhagavanmahimoktiḥ'; iti pādāpratipādyaṃ bhāṣya eva	Bakti arTam hi Bagavat mahima uktiH a; iti pAda apratipAdyam BAzyaH eva
   sphuṭam /	sPuwam /
   saṅgatiṃ tūttaratra vakṣyāma ityāśayavānetatpādādhikaraṇe	saFgatim tu uttaratra vakzyAmaH iti ASayavAn etad pAda aDikaraNe
   pūrvapakṣasiddhāntayuktīḥ saṅgraheṇāha  paścāditi //	pUrva pakza sidDAnta yuktIH saFgraheNa aha paScAt iti //
   paścādadṛṣṭayavijñānakāladuḥkhapṛthagbhavāḥ /	paScAt adRzwayavijQAna kAla duHKa pRTak BavAH /
   sthānabhedo viruddhatvaṃ nyāyasāmyaṃ svatobhavaḥ // MAnuv_3,2.1 //	sTAna BedaH virudDa tvam nyAya sAmyam svatoBavaH // Ma anuv_3,2.1 //
   guṇasāmyamayogaśca tarkabādho vilomatā /	guNa sAmyam ayogaH ca tarka bADaH viloma tA /
   nānābhāvaḥ pralobhaśca pūrvapakṣagāḥ // MAnuv_3,2.2 //	nAnABAvaH praloBaH ca pUrva pakza gAH // Ma anuv_3,2.2 //
   aśakyakartṛtāśaktiḥ svato 'bodhastadeva ca /	aSakya kartR tA SaktiH svatas aboDaH tat eva ca /
   amānakḷptisanmānavyavasthātyalpatābhavāḥ // MAnuv_3,2.3 //	amAna k?pti sanmAna vyavasTA ati alpa tA BavAH // Ma anuv_3,2.3 //
   viśeṣadṛṣṭivākye ca puṃśaktiḥ sunidarśanam /	viSeza dRzwi vAkye ca puMSaktiH su nidarSanam /
   alaukikatvamādhikyaṃ svātantryaṃ nirṇayapramāḥ // MAnuv_3,2.4 //	alOkika tvam ADikyam svAtantryam nirNaya pramAH // Ma anuv_3,2.4 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   pūrvapakṣagāḥ pūrvapakṣasambandhinyaḥ /	pUrva pakza gAH pUrva pakza sambanDinyaH /
   nirṇayapramāḥ siddhāntanirṇayārthāni pramāṇāni /	nirNaya pramAH sidDAnta nirNaya arTAni pramANAni /
   [======= JNys_3,2.I: saṃdhyādhikaraṇam =======]	[====== JNyH _3,2.I: saMDyA aDikaraNam =======]
   saṃdhye sṛṣṭirāha hi | BBs_3,2.1 |	saMDye sRzwiH Aha hi | BBH _3,2.1 |
   (cf. below)	(cf. below)
   // oṃ sandhye sṛṣṭirāha hi oṃ //	// om sanDye sRzwiH Aha hi om //
   *9,17f.*	*9,17f.*
   yoneḥ śarīramityetadavasānaiḥ sūtrairjīvasya janmāvagatam /	yoneH SarIram iti etat avasAnEH sUtrEH jIvasya janma avagatam /
   jātasya ca svapanādyavasthāsambandhaḥ prasiddhaḥ /	jAtasya ca svapana Adi avasTA sambanDaH prasidDaH /
   tatra svapnāvasthāpravartakatvalakṣaṇo mahimābhagavato 'trādhikaraṇe	tatra svapna avasTA pravartaka tva lakzaNaH mahimA BagavataH atra aDikaraNe
   nirṇīyate /	nirNIyate /
   tathāhi /	taTA hi /
   svapno nāmārthajñānātmakaḥ /	svapnaH nAma arTa jQAna AtmakaH /
   tatra tāvatsvāpnārthānāṃ karituragādīnāṃ parameśvarāyattatā nopapadyate /	tatra tAvat svApna arTAnAm kari turaga AdInAm parameSvara AyattatA na upapadyate /
   asatyatvāt /	asatya tvAt /
   na tāvadime 'nādinityāḥ /	na tAvat ime anAdi nityAH /
   svapnāvasthātaḥ prāgūrdhvaṃ copalabdhiprasaṅgāt /	svapna avasTAtaH prAk UrDvam ca upalabDi prasaFgAt /
   nahi vidyamānā apyupalabdhisādhaneṣu cakṣurādiṣvanuparateṣu nopalabhyante,	na hi vidyamAnAH api upalabDi sADanezu cakzuH Adizu anuparatezu na upalaByante,
   upalabhyante copapatteriti sambhavati /	upalaByante ca upapatteH iti samBavati /
   nacānyatra gatāḥ /	naca anyatra gatAH /
   anyairapyanupalambhāt /	anyEH api anupalamBAt /
   madyamaparimāṇaścaite dṛśyante /	madyam aparimANaH ca ete dRSyante /
   naca tathāvidhamanādinityaṃ kimapi dṛṣṭam /	na ca taTAviDam anAdi nityam kim api dRzwam /
   nāpyutpattināśavantaḥ /	na api utpatti nASavantaH /
   tathātve 'pi prāgūrdhvamupalambhaprasakteḥ /	taTA tve api prAk UrDvam upalamBa prasakteH /
   naca vācyaṃ vidyudādivattadaivotpattirvināśaśceti /	na ca vAcyam vidyut Adi vat tadEva utpattiH vinASaH ca iti /
   itthambhāve pramāṇābhāvāt /	itTam BAve pramANa aBAvAt /
   prāḍmṛdādīnāmūrdhvaṃ kapālādīnāṃ copalambhāpatteśca /	prAj mRdA AdInAm UrDvam kapAla AdInAm ca upalamBa ApatteH ca /
   nacaiteṣāṃ (tātkālika)tatkālīnajanmanyupādānaṃ nimittaṃ ca paśyāmaḥ /	na ca etezAm (tAtkAlika) tad kAlIna janmani upAdAnam nimittam ca paSyAmaH /
   kartā ca na tāvajjīvātmā /	kartA ca na tAvat jIva AtmA /
   draṣṭurnirvyāpāratvāt /	drazwuH nirvyApAra tvAt /
   aparasya cādarśanāt /	aparasya ca adarSanAt /
   nāpīśvaraḥ /	na api ISvaraH /
   pramāṇābhāvāt /	pramANa aBAvAt /
   bhrāntitvaṃ caiteṣām,"svāpnamāyāsarūpaḥ'; iti"svāpnamanoratho yathā';	BrAnti tvam ca etezAm,"svApnam AyAsa rUpaH a; iti"svApna manoraTaH yaTA a;
   ityādiśrutismṛtibhyāmāvedyate /	ityAdi Sruti smRtiByAm A vedyate /
   śiṣyamapavyākhyānānuvāde vakṣyāmaḥ /	Sizyam apavyAKyAna anuvAde vakzyAmaH /
   tadevaṃ na svāpnānāmarthānāmīśvarādhīnatvam /	tat evam na svApnAnAm arTAnAm ISvara aDIna tvam /
   nāpi tajjñānasya /	na api tat jQAnasya /
   tasyāpi nimittābhāvenāparamārthatvāt /	tasya api nimitta aBAvena aparamArTa tvAt /
   natāvaccakṣurādīnāṃ ta(tra nimi)nnimittatvam /	natA vat cakzuH AdInAm ta(tra nimi)t nimitta tvam /
   teṣāmuparatatvāt /	tezAm uparata tvAt /
   nāpi manasaḥ /	na api manasaH /
   rūpādimatyarthe sāmarthyābhāvāt (svātantryābhāvāt) /	rUpa Adim ati arTe sAmarTya aBAvAt (svAtantrya aBAva at) /
   ata eva na sākṣiṇaḥ /	atas eva na sAkziNaH /
   sa indriyāpravṛttau liṅgaśabdayorapi nāvakāśaḥ /	saH indriya apravRttO liFga SabdayoH api na avakASaH /
   aparokṣākāraṃ cedamavabhāsate /	aparokza AkAram ca idam avaBAsate /
   ato 'rthajñānarūpā svāpnāvasthā neśvarādhīneti prāpte	atas arTa jQAna rUpA svApna avasTA na ISvara aDInA iti prApte
   tatpratividhānāyopodghātamāha  vāsanā iti //	tad prativiDAnAya upodGAtam Aha vAsanAH iti //
   saṃdhye sṛṣṭirāha hi | BBs_3,2.1 |	saMDye sRzwiH Aha hi | BBH _3,2.1 |
   nirmātāraṃ caike putrādayaś ca | BBs_3,2.2 |	nirmAtAram ca eke putra AdayaH ca | BBH _3,2.2 |
   māyāmātraṃ tu kārtsnyenānabhivyaktasvarūpatvāt | BBs_3,2.3 |	mAyA mAtram tu kArtsnyena anaBivyakta svarUpa tvAt | BBH _3,2.3 |
   vāsanāḥ sarvavastūnāmanādyanubhavāgatāḥ /	vAsanAH sarva vastUnAm anAdi anuBava AgatAH /
   santyevāśeṣajīvānāmanādimanasi sthitāḥ // MAnuv_3,2.5 //	santi eva aSeza jIvAnAm anAdi manasi sTitAH // Ma anuv_3,2.5 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   bhāvanāparanāmakāḥ saṃskārāḥ /	BAvanA para nAmakAH saMskArAH /
   sarvagrahaṇaprayojanamuttaratra bhaviṣyati /	sarva grahaNa prayojanam uttaratra Bavizyati /
   nanu bhāvanākhyasaṃskāro 'nubhavajanyaḥ /	nanu BAvanA AKya saMskAraH anuBava janyaH /
   naca sarvajīvānāṃ sarvavastvanubhavo 'sti /	na ca sarva jIvAnAm sarva vastu anuBavaH asti /
   tatkathamaśeṣajīvānāṃ sarvavastuvāsanāḥ santyevetyata uktam  anādīti //	tad kaTam aSeza jIvAnAm sarva vastu vAsanAH santi eva iti atas uktam anAdi iti //
   anādyanubhavapravāhotpannāḥ /	anAdi anuBava pravAha utpannAH /
   vāsanānāmātmasamavetatvaṃ vaiśeṣikādibhirabhyupagatam /	vAsanAnAm Atma samaveta tvam vESezika AdiBiH aByupagatam /
   tannirāsārthamuktaṃ manasi sthitā iti /	tad nirAsa arTam uktam manasi sTitAH iti /
   jātāvekavacanam /	jAtO= eka vacanam /
   sādito manasaḥ kathamanādivāsanāsambandha ityata uktam  anādīti //	sAditaH manasaH kaTam anAdi vAsanA sambanDaH iti atas uktam anAdi iti //
   etadeva prapañcayati  triguṇātmakamiti //	etat eva prapaQcayati triguNa Atmakam iti //
   triguṇātmakaṃ mano 'styeva yāvanmuktiḥ sadātanam /	triguNa Atmakam manaH asti eva yAvat muktiH sadAtanam /
   tatraivāśeṣasaṃskārāḥ sañcīyante sadaiva ca // MAnuv_3,2.6 //	tatra eva aSeza saMskArAH saQcIyante sadA eva ca // Ma anuv_3,2.6 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   manasa eva saṃskārāśrayatvaṃ nātmana itayatropapattisūcanāya	manasaH eva saMskAra ASraya tvam na AtmanaH itayatra upapatti sUcanAya
   triguṇātmakamityuktam /	triguNa Atmakam iti uktam /
   guṇātmakamityevokte parimāṇādiguṇātmakamityapi pratītiḥ syāt /	guNa Atmakam iti eva ukte parimANa Adi guNa Atmakam iti api pratItiH syAt /
   tadātmano 'pi samānamityatastrigrahaṇam /	tad A AtmanaH api samAnam iti atas tri grahaNam /
   tathāca jīvātmā na bhāvanāśrayaḥ sattvādiguṇānātmakatvādīśvaravat /	taTA ca jIvAtmA na BAvanA ASrayaH sattva Adi guNAn Atmaka tvAt ISvara vat /
   bhāvanā vā sattvādiguṇātmakadravyāśrayā saṃskāratvādvegādivat /	BAvanA vA sattva Adi guNa Atmaka dravya ASrayA saMskAra tvAt vega Adi vat /
   tacca pariśeṣānmana evetyuktaṃ bhavati /	tat ca pariSezAt manaH eva iti uktam Bavati /
   sattvādiguṇānabhyupagantāraṃ prati tu tatsthāne 'cetanapadaṃ prayoktavyam	sattva Adi guNa an aByupagantAram prati tu tad sTAne acetana padam prayoktavyam
   triguṇātmakagrahaṇaṃ (ca)svarūpakathanam /	triguNa Atmaka grahaNam (ca) svarUpa kaTanam /
   astyeva sarva(daiveti)deti śeṣaḥ /	asti eva sarva(dA eva iti)dA iti SezaH /
   tathā sati mokṣe 'pi sattvātsvapnādyavasthāpattirityata uktaṃ vivṛṇoti 	taTA sati mokze api sattvAt svapna Adi avasTApattiH iti atas uktam vivRNoti 
   yāvaditi //	yAvat iti //
   yadyapi manaḥ svarūpeṇa nityameva tathāpi jīvasambandhastasya	yadi api manaH sva rUpeNa nityam eva taTA api jIva sambanDaH tasya
   mokṣāvadhirityata idamuktam /	mokzOvaDiH iti atas idam uktam /
   (tadvai devaṃ) tadvai jaivaṃ mano yenānandyeta bhavatīti sūktāvapyātmano	(tat vE devaM) tat vE jEvam manaH yena Anandyeta Bavati iti sUktO= api AtmanaH 
   manaḥsambandhaśravaṇātkathaṃ yāvanmuktirityuktamityato vā	manaH sambanDa SravaNAt kaTam yAvat muktiH iti uktam iti atas vA
   triguṇātmakamityuktam /	triguNa Atmakam iti uktam /
   ātmasvarūpamanaso muktau sattve 'pi jaḍamano 'bhipretyāyamavadhirukta iti	Atma svarUpa manasaH muktO sattve api jaxa manaH aBipretya ayam avaDiH uktaH iti
   castasmādityarthe /	caH tasmAt iti arTe /
   tatraiva na tvātmani /	tatra eva na tu Atmani /
   "etasmājjāyate prāṇo manaḥ sarvendriyāṇi ca'; iti manaso	"etasmAt jAyate prANaH manaH sarva indriyANi ca a; iti manasaH 
   janmaśravaṇātkathamanāditvamucyata ityata āha  sūkṣmatveneti //	janma SravaNAt kaTam anAdi tvam ucyate iti atas Aha sUkzma tvena iti //
   sūkṣmatvena laye sacca prākṛtairupacīyate /	sUkzma tvena laye sat ca prAkRtEH upacIyate /
   sṛṣṭikāle yadā tanna kutaḥ saṃsārasaṃsthitiḥ // MAnuv_3,2.7 //	sRzwi kAle yadA tat na kutas saMsAra saMsTitiH // Ma anuv_3,2.7 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   caśabda evārthe /	caSabdaH eva arTe /
   prākṛtaiḥ ahaṅkārādyaiḥ /	prAkRtEH ahaFkAra AdyEH /
   mana iti vartate /	manaH iti vartate /
   pralaye sato 'pyupacayāpekṣayā janmaśrutiriti bhāvaḥ /	pralaye sataH api upacaya apekzayA janma SrutiH iti BAvaH /
   kuta eṣā kalpanā /	kutas ezA kalpanA /
   mukhyārthe bādhakasadbhāvādityāha  yadeti //	muKya arTe bADaka sadBAvAt iti Aha yadA iti //
   yadi mano mukhyata eva janimatsyāttadā pralaye tanna syāt /	yadi manaH muKyatas eva janimat syAt tadA pralaye tat na syAt /
   yadi ca pralaye tanna syāttadā'tmanaḥ saṃsārāvasthānaṃ na syāt /	yadi ca pralaye tat na syAt tadA atmanaH saMsAra avasTAnam na syAt /
   naca mā bhūtpralaye saṃsārāvasthānamiti yuktam /	na ca mA BUt pralaye saMsAra avasTAnam iti yuktam /
   muktānāṃ punaḥ saṃsārānupapattyā sṛṣṭayanupapattiprasaṅgāt /	muktAnAm punar saMsAra anupapattyA sRzwayanupapatti prasaFgAt /
   avidyākāmakarmādyadhīnaḥ saṃsāra iti cenna /	avidyA kAma karma Adi aDInaH saMsAraH iti ced na /
   avidyādereva saṃsāratvāt,"manaḥ paraṃ kāraṇamāmananti';	avidyA AdeH eva saMsAra tvAt ,"manaH param kAraNam Amananti a;
   ityādismṛtivirodhācca /	ityAdi smRti viroDAt ca /
   tathāca śrutiḥ /	taTA ca SrutiH /
   "nityaṃ mano 'nāditvānna hyamanāḥ pumāṃstiṣṭhati'; iti /	"nityam manaH anAdi tvAt na hi amanAH pumAn= tizWati a; iti /
   pumānsaṃsārītyarthaḥ /	pumAn saMsArI iti arTaH /
   kimato yadyevaṃ sarvavastvanubhavāhitasaṃskārasadbhāva ityata āha 	kim atas yadi evam sarva vastu anuBava Ahita saMskAra sadBAvaH iti atas Aha 
   saṃskārairiti //	saMskArEH iti //
   saṃskārairbhagavāneva sṛṣṭvā nānāvidhaṃ jagat /	saMskArEH BagavAn eva sRzwvA nAnAviDam jagat /
   svapnakāle darśayati ... // MAnuv_3,2.8a c //	svapna kAle darSayati ... // Ma anuv_3,2.8a t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   atra sṛṣṭvetyanenānādinityatvapakṣadoṣā anabhyupagamenaiva nirastāḥ /	atra sRzwvA iti anena anAdi nitya tva pakza dozAH anaByupagamena eva nirastAH /
   svapnakāla eva sṛṣṭvetyanena prāgūrdhvaṃ copalambhaprasaṅgo nirākṛtaḥ /	svapna kAle eva sRzwvA iti anena prAk UrDvam ca upalamBa prasaFgaH nirAkRtaH /
   sṛṣṭeḥ saṃhāropalakṣaṇatvāt /	sRzweH saMhAra upalakzaNa tvAt /
   saṃskārairityupādānakīrtanam /	saMskArEH iti upAdAna kIrtanam /
   naca teṣāṃ guṇatvenopādānatvānupapattiḥ /	na ca tezAm guNa tvena upAdAna tva anupapattiH /
   manovṛttitvena dravyatvāt /	manaH vRtti tvena dravya tvAt /
   saṃskārāṇāṃ cātīndriyatvena tryaṇukajanmavināśayoriva prāgūrdhvaṃ	saMskArANAm ca atIndriya tvena tri aNuka janma vinASayoH iva prAk UrDvam
   cānupalambho na doṣāya /	ca anupalamBaH na dozAya /
   bhagavāniti kartṛnirdeśaḥ /	BagavAn iti kartR nirdeSaH /
   tadaiva sṛṣṭisaṃhārakaraṇamasambhāvitamityato 'śakyakartṛtāśaktisūcanāya	tadA eva sRzwi saMhAra karaNam asamBAvitam iti atas aSakya kartR tA Sakti sUcanAya
   bhagavānityuktam /	BagavAn iti uktam /
   evaṃ ca satyadṛṣṭādinimittaṃ prasiddhameva /	evam ca satya dRzwa Adi nimittam prasidDam eva /
   na kevalamarthānāṃ satyatvasambhavena bhagavadadhīnatvam, api tu	na kevalam arTAnAm satya tva samBavena Bagavat aDIna tvam, api tu
   tajjñānasyāpītyuktaṃ darśayatīti /	tad jQAnasya api iti uktam darSayati iti /
   jīvāyeti śeṣaḥ /	jIvAya iti SezaH /
   darśanasādhanaṃ ca mana eveti vakṣyati /	darSana sADanam ca manaH eva iti vakzyati /
   darśanaṃ cānubhavo vivakṣitaḥ /	darSanam ca anuBavaH vivakzitaH /
   tena smaraṇamevaitaditi mataṃ nirastaṃ bhavati /	tena smaraNam eva etat iti matam nirastam Bavati /
   smaraṇatvaṃ khalvasya taccihnasya tadityullekhasya sadbhāvādvā kalpyate /	smaraNa tvam Kalu asya tat cihnasya tat iti ulleKasya sadBAvAt vA kalpyate /
   asannihitagocaratvādvā saṃskāraprabhavatvādvā /	asat nihita gocara tvAt vA saMskAra praBava tvAt vA /
   nādyaḥ /	na AdyaH /
