   Pariccheda 1	Pari=-CedaH 1
   yasyānuśaṃsānamitānuvāca maitreyanāthaḥ sudhanāya dhīmān // Bca_1.14 //	yasya-anuSaMsAn-amitAn-uvAca mEtreya-nATaH suDanAya DImAn // Bca_1.14 //
   tadbodhicittaṃ dvividhaṃ vijñātavyaṃ samāsataḥ /	tat-boDi-cittam dviviDam vijQAtavyam samAsatas /
   bodhipraṇidhicittaṃ ca bodhiprasthānameva ca // Bca_1.15 //	boDi-praNiDi-cittam ca boDi-prasTAnam-eva ca // Bca_1.15 //
   gantukāmasya gantuśca yathā bhedaḥ pratīyate /	gantu-kAmasya gantuH-ca yaTA BedaH pratIyate /
   tathā bhedo 'nayorjñeyo yathāsaṃkhyena paṇḍitaiḥ // Bca_1.16 //	taTA BedaH anayoH-jQeyaH yaTA-saMKyena paNxitEH // Bca_1.16 //
   bodhipraṇidhicittasya saṃsāre 'pi phalaṃ mahat /	boDi-praNiDi-cittasya saMsAre api Palam mahat /
   na tvavicchinnapuṇyatvaṃ yathā prasthānacetasaḥ // Bca_1.17 //	na tu-avicCinna-puNya-tvam yaTA prasTAna-cetasaH // Bca_1.17 //
   yataḥ prabhṛtyaparyanta-sattvadhātupramokṣaṇe /	yatas praBRti-aparyanta--sattva-DAtu-pramokzaNe /
   samādadāti taccittam anivartyena cetasā // Bca_1.18 //	samAdadAti tat-cittam anivartyena cetasA // Bca_1.18 //
   tataḥ prabhṛti suptasya pramattasyāpyanekaśaḥ /	tatas praBRti suptasya pramattasya-api-anekaSas /
   avicchinnāḥ puṇyadhārāḥ pravartante nabhaḥsamāḥ // Bca_1.19 //	avicCinnAH puNya-DArAH pravartante naBaH-samAH // Bca_1.19 //
   idaṃ subāhupṛcchāyāṃ sopapattikamuktavān /	idam subAhu-pRcCAyAm sa-upapattikam-uktavAn /
   hīnādhimuktisattvārthaṃ svayameva tathāgataḥ // Bca_1.20 //	hIna-aDimukti-sattva-arTam svayam-eva taTAgataH // Bca_1.20 //
   śiraḥśūlāni sattvānāṃ nāśayāmīti cintayan /	SiraH-SUlAni sattvAnAm nASayAmi-iti cintayan /
   aprameyeṇa puṇyena gṛhyate sma hitāśayaḥ // Bca_1.21 //	aprameyeNa puNyena gRhyate sma hita-ASayaH // Bca_1.21 //
   kimutāpramitaṃ śūlam ekaikasya jihīrṣataḥ /	kim-uta-apramitam SUlam ekEkasya jihIrzataH /
   aprameyaguṇaṃ sattvam ekaikaṃ ca cikīrṣataḥ // Bca_1.22 //	aprameya-guNam sattvam ekEkam ca cikIrzataH // Bca_1.22 //
   kasya mātuḥ piturvāpi hitāśaṃseyamīdṛśī /	kasya mAtuH pituH-vA-api hitASaMsA-iyam-IdRSI /
   devatānāmṛṣīṇāṃ vā brahmaṇāṃ vā bhaviṣyati // Bca_1.23 //	devatAnAm-RzINAm vA brahmaNAm vA Bavizyati // Bca_1.23 //
   teṣāmeva ca sattvānāṃ svārthe 'pyeṣa manorathaḥ /	tezAm-eva ca sattvAnAm sva-arTe api-eza manoraTaH /
   notpannapūrvaḥ svapne 'pi parārthe saṃbhavaḥ kutaḥ // Bca_1.24 //	na-utpanna-pUrvaH svapne api para-arTe saMBavaH kutas // Bca_1.24 //
   sattvaratnaviśeṣo 'yam apūrvo jāyate kathaṃ /	sattva-ratna-viSezaH ayam apUrvaH jAyate kaTam /
   yatparārthāśayo 'nyeṣāṃ na svārthe 'pyupajāyate // Bca_1.25 //	yat-parArTa-ASayaH anyezAm na sva-arTe api-upajAyate // Bca_1.25 //
   jagadānandabījasya jagadduḥkhauṣadhasya ca /	jagat-Ananda-bIjasya jagat-duHKa-OzaDasya ca /
   cittaratnasya yatpuṇyaṃ tatkathaṃ hi pramīyatāṃ // Bca_1.26 //	citta-ratnasya yat-puNyam tat-kaTam hi pramIyatAm // Bca_1.26 //
   hitāśaṃsanamātreṇa buddhapūjā viśiṣyate /	hita-ASaMsana-mAtreNa budDa-pUjA viSizyate /
   kiṃ punaḥ sarvasattvānāṃ sarvasaukhyārthamudyamāt // Bca_1.27 //	kim punar sarva-sattvAnAm sarva-sOKya-arTam-udyamAt // Bca_1.27 //
   duḥkhamevābhidhāvanti duḥkhaniḥsaraṇāśayā /	duHKam-eva-aBiDAvanti duHKa-niHsaraNa-ASayAH /
   sukhecchayaiva saṃmohāt svasukhaṃ ghnanti śatruvat // Bca_1.28 //	suKa-icCayA-eva saMmohAt sva-suKam Gnanti Satru-vat // Bca_1.28 //
   yasteṣāṃ sukharaṅkāṇāṃ pīḍitānāmanekaśaḥ /	yaH-tezAm suKa-raFkANAm pIxitAnAm-anekaSas /
   tṛptiṃ pūrvasukhaiḥ kuryāt sarvāḥ pīḍāśchinatti ca // Bca_1.29 //	tRptim pUrva-suKEH kuryAt sarvAH pIxAH-Cinatti ca // Bca_1.29 //
   nāśayatyapi saṃmohaṃ sādhustena samaḥ kutaḥ /	nASayati-api saMmoham sADuH-tena samaH kutas /
   kuto vā tādṛśaṃ mitraṃ puṇyaṃ vā tādṛśaṃ kutaḥ // Bca_1.30 //	kutas vA tAdRSam mitram puNyam vA tAdRSam kutas // Bca_1.30 //
   kṛte yaḥ pratikurvīta so 'pi tāvatpraśasyate /	kRte yaH pratikurvIta saH api tAvat-praSasyate /
   avyāpāritasādhustu bodhisattvaḥ kimucyatāṃ // Bca_1.31 //	avyApArita-sADuH-tu boDisattvaH kim-ucyatAm // Bca_1.31 //
   katipayajanasatradāyakaḥ kuśalakṛdityabhipūjyate janaiḥ /	katipaya-jana-satra-dAyakaH kuSala-kRt-iti-aBipUjyate janEH /
   kṣaṇamaśanakamātradānataḥ saparibhavaṃ divasārdhayāpanāt // Bca_1.32 //	kzaNam-aSanaka-mAtra-dAnataH sa-pariBavam divasa-arDa-yApanAt // Bca_1.32 //
   kimu niravadhisattvasaṃkhyayā niravadhikālamanuprayacchataḥ /	kimu niravaDi-sattva-saMKyayA niravaDi-kAlam-anuprayacCataH /
   gaganajanaparikṣayākṣayaṃ sakalamanorathasaṃprapūraṇaṃ // Bca_1.33 //	gagana-jana-parikzayA-kzayam sakala-manoraTa-saMprapUraNam // Bca_1.33 //
   iti sattrapatau jinasya puttre kaluṣaṃ sve hṛdaye karoti yaśca /	iti sattra-patO jinasya puttre kaluzam sve hRdaye karoti yaH-ca /
   kaluṣodayasaṃkhyayā sa kalpān narakeṣvāvasatīti nātha āha // Bca_1.34 //	kaluza-udaya-saMKyayA sa kalpAn narakezu-Avasati-iti nATaH Aha // Bca_1.34 //
   atha yasya manaḥ prasādameti prasavettasya tato 'dhikaṃ phalaṃ /	aTa yasya manaH prasAdam-eti prasavet-tasya tatas aDikam Palam /
   mahatā hi balena pāpakarma jinaputtreṣu śubhaṃ tvayatnataḥ // Bca_1.35 //	mahatA hi balena pApa-karma jina-puttrezu SuBam tu-ayatnatas // Bca_1.35 //
   teṣāṃ śarīrāṇi namaskaromi yatroditaṃ tadvaracittaratnaṃ /	tezAm SarIrANi namaskaromi yatra-uditam tad-vara-citta-ratnam /
   yatrāpakāro 'pi sukhānubandhī sukhākarāṃstān śaraṇaṃ prayāmi // Bca_1.36	yatra-apakAraH api suKa-anubanDI suKa-AkarAn=-tAn SaraNam prayAmi // Bca_1.36
   bodhicaryāvatāre bodhicittānuśaṃsā nāma prathamaḥ paricchedaḥ ||	boDi-caryA-avatAre boDi-citta-anuSaMsAH nAma praTamaH paricCedaH ||
   Pariccheda 2	Pari=-CedaH 2
   taccittaratnagrahaṇāya samyak pūjāṃ karomyeṣa tathāgatānāṃ /	tad-citta-ratna-grahaNAya samyak pUjAm karomi-eza taTAgatAnAm /
   saddharmaratnasya ca nirmalasya buddhātmajānāṃ ca guṇodadhīnāṃ // Bca_2.1	sadDarma-ratnasya ca nirmalasya budDa-AtmajAnAm ca guNa-udaDInAm // Bca_2.1
   yāvanti puṣpāṇi phalāni caiva bhaiṣajyajātāni ca yāni santi /	yAvanti puzpANi PalAni ca-eva BEzajya-jAtAni ca yAni santi /
   ratnāni yāvanti ca santi loke jalāni ca svacchamanoramāṇi // Bca_2.2 //	ratnAni yAvanti ca santi loke jalAni ca svacCa-manoramANi // Bca_2.2 //
   mahīdharā ratnamayāstathānye vanapradeśāśca vivekaramyāḥ /	mahIDarAH ratna-mayAH-taTA-anye vana-pradeSAH-ca viveka-ramyAH /
   latāḥ sapuṣpābharaṇojjvalāśca drumāśca ye satphalanamraśākhāḥ // Bca_2.3	latAH sa-puzpa-ABaraNa-ujjvalAH-ca drumAH-ca ye sat-Pala-namra-SAKAH // Bca_2.3
   devādilokeṣu ca gandhadhūpāḥ kalpadrumā ratnamayāśca vṛkṣāḥ /	deva-Adi-lokezu ca ganDa-DUpAH kalpadrumAH ratna-mayAH-ca vRkzAH /
   sarāṃsi cāmbhoruhabhūṣaṇāni haṃsasvanātyantamanoharāṇi // Bca_2.4 //	sarAMsi ca-amBoruha-BUzaNAni haMsa-svana-atyanta-manoharANi // Bca_2.4 //
   akṛṣṭajātāni ca śasyajātāny anyāni vā pūjyavibhūṣaṇāni /	akRzwa-jAtAni ca Sasya-jAtAni anyAni vA pUjya-viBUzaNAni /
   ākāśadhātuprasarāvidhīni sarvāṇyapīmānyaparigrahāṇi // Bca_2.5 //	AkASa-DAtu-prasara-aviDIni sarvANi-api-imAni-aparigrahANi // Bca_2.5 //
   ādāya buddhyā munipuṅgavebhyo niryātayāmyeṣa saputrakebhyaḥ /	AdAya budDyA muni-puFgaveByaH niryAtayAmi-eza sa-putrakeByaH /
   gṛhṇantu tanme varadakṣiṇīyā mahākṛpā māmanukampamānāḥ // Bca_2.6 //	gRhNantu tat-me vara-dakziNIyAH mahA-kRpAH mAm-anukampamAnAH // Bca_2.6 //
   apuṇyavānasmi mahādaridraḥ pūjārthamanyanmama nāsti kiṃcit /	apuNyavAn-asmi mahA-daridraH pUjA-arTam-anyat-mama na-asti kiMcid /
   ato mamārthāya parārthacintā gṛhṇantu nāthā idamātmaśaktyā // Bca_2.7 //	atas mama-arTAya para-arTa-cintAH gRhNantu nATAH idam-Atma-SaktyA // Bca_2.7 //
   dadāmi cātmānamahaṃ jinebhyaḥ sarveṇa sarvaṃ ca tadātmajebhyaḥ /	dadAmi ca-AtmAnam-aham jineByaH sarveNa sarvam ca tad-AtmajeByaH /
   parigrahaṃ me kurutāgrasattvāḥ yuṣmāsu dāsatvamupaimi bhaktyā // Bca_2.8	parigraham me kuruta-agra-sattvAH yuzmAsu dAsa-tvam-upEmi BaktyA // Bca_2.8
   parigraheṇāsmi bhavatkṛtena nirbhīrbhave sattvahitaṃ karomi /	parigraheNa-asmi Bavat-kRtena nirBIH-Bave sattva-hitam karomi /
   pūrvaṃ ca pāpaṃ samatikramāmi nānyacca pāpaṃ prakaromi bhūyaḥ // Bca_2.9	pUrvam ca pApam samatikramAmi na-anyat-ca pApam prakaromi BUyas // Bca_2.9
   ratnojjvalastambhamanorameṣu muktāmayodbhāsivitānakeṣu /	ratna-ujjvala-stamBa-manoramezu mukta-Amaya-udBAsi-vitAnakezu /
   svacchojjvalasphāṭikakuṭṭimeṣu sugandhiṣu snānagṛheṣu teṣu // Bca_2.10 //	svacCa-ujjvala-sPAwika-kuwwimezu suganDizu snAna-gRhezu tezu // Bca_2.10 //
   manojñagandhodakapuṣpapūrṇaiḥ kumbhairmahāratnamayairanekaiḥ /	manojQa-ganDa-udaka-puzpa-pUrNEH kumBEH-mahAratna-mayEH-anekEH /
   snānaṃ karomyeṣa tathāgatānāṃ tadātmajānāṃ ca sagītavādyaṃ // Bca_2.11 //	snAnam karomi-eza taTAgatAnAm tad-AtmajAnAm ca sa-gIta-vAdyam // Bca_2.11 //
   pradhūpitairdhautamalairatulyair varstraiśca teṣāṃ tanumunmṛśāmi /	praDUpitEH-DOta-malEH-atulyEH varstrEH-ca tezAm tanum-unmRSAmi /
   tataḥ suraktāni sudhūpitāni dadāmi tebhyo varacīvarāṇi // Bca_2.12 //	tatas su-raktAni su-DUpitAni dadAmi teByaH vara-cIvarANi // Bca_2.12 //
   divyairmṛduślakṣṇavicitraśobhair vastrairalaṅkāravaraiśca taistaiḥ /	divyEH-mRdu-SlakzNa-vicitra-SoBEH vastrEH-alaFkAra-varEH-ca tEH-tEH /
   samantabhadrājitamañjughoṣa-lokeśvarādīnapi maṇḍayāmi // Bca_2.13 //	samantaBadra-ajita-maQjuGoza--loka-ISvara-AdIn-api maNxayAmi // Bca_2.13 //
   sarvatrisāhasravisārigandhair gandhottamaistānanulepayāmi /	sarva-tri-sAhasra-visAri-ganDEH ganDottamEH-tAn-anulepayAmi /
   sūttaptasūnmṛṣṭasudhautahema-prabhojjvalānsarvamunīndrakāyān // Bca_2.14	su-uttaptasu-un-mRzwa-su-DOta-hema--praBA-ujjvalAn-sarva-muni-indra-kAyAn // Bca_2.14
   mandāravendīvaramallikādyaiḥ sarvaiḥ sugandhaiḥ kusumairmanojñaiḥ /	mandArava-indIvara-mallikA-AdyEH sarvEH suganDEH kusumEH-manojQEH /
   abhyarcayāmyarcyatamānmunīndrān sragbhiśca saṃsthānamanoramābhiḥ //	aByarcayAmi-arcyatamAn-muni-indrAn sragBiH-ca saMsTAna-manoramABiH //
   Bca_2.15 //	Bca_2.15 //
   sphītasphuradgandhamanoramaiśca tāndhūpameghairupadhūpayāmi /	sPIta-sPurat-ganDa-manoramEH-ca tAn-DUpa-meGEH-upaDUpayAmi /
   bhaujyaiśca svādyairvividhaiśca peyais tebhyo nividyaṃ ca nivedayāmi //	BOjyEH-ca svAdyEH-viviDEH-ca peyEH teByaH nividyam ca nivedayAmi //
   Bca_2.16 //	Bca_2.16 //
   ratnapradīpāṃśca nivedayāmi suvarṇapadmeṣu niviṣṭapaṅkvīn /	ratna-pradIpAn=-ca nivedayAmi suvarNa-padmezu nivizwa-paFkvIn /
   gandhopalipteṣu ca kuṭṭimeṣu kirāmi puṣpaprakarānmanojñān // Bca_2.17 //	ganDa-upaliptezu ca kuwwimezu kirAmi puzpa-prakarAn-manojQAn // Bca_2.17 //
   pralambamuktāmaṇihāraśobhān ābhāsvarāndigmukhamaṇḍanāṃstān /	pralamba-muktA-maNi-hAra-SoBAn ABAsvarAn-digmuKa-maNxanAn=-tAn /
   vimānameghān stutigītaramyān maitrīmayebhyo 'pi nivedayāmi // Bca_2.18 //	vimAna-meGAn stuti-gIta-ramyAn mEtrI-mayeByaH api nivedayAmi // Bca_2.18 //
   suvarṇadaṇḍaiḥ kamanīyarūpaiḥ saṃsaktamuktāni samucchritāni /	suvarNa-daNxEH kamanIya-rUpEH saMsakta-muktAni samucCritAni /
   pradhārayāmyeṣa mahāmunīnāṃ ratnātapatrāṇyatiśobhanāni // Bca_2.19 //	praDArayAmi-eza mahA-munInAm ratna-AtapatrANi-ati-SoBanAni // Bca_2.19 //
   ataḥ paraṃ pritaṣṭhantāṃ pūjāmeghā manoramāḥ /	atas param pritazWantAm pUjA-meGAH manoramAH /
   tūryasaṅgītimeghāśca sarvasattvapraharṣaṇāḥ // Bca_2.20 //	tUrya-saFgIti-meGAH-ca sarva-sattva-praharzaNAH // Bca_2.20 //
   sarvasaddharmaratneṣu caityeṣu pratimāsu ca /	sarva-sad-Darma-ratnezu cEtyezu pratimAsu ca /
   puṣparatnādivarṣāśca pravarttantāṃ nirantaram // Bca_2.21 //	puzpa-ratna-Adi-varzAH-ca pravarttantAm nirantaram // Bca_2.21 //
   mañjughoṣaprabhṛtayaḥ pūjayanti yathā jinān /	maQjuGoza-praBRtayaH pUjayanti yaTA jinAn /
   tathā tathāgatānnāthān saputrānpūjayāmyaham // Bca_2.22 //	taTA taTAgatAn-nATAn sa-putrAn-pUjayAmi-aham // Bca_2.22 //
   svarāṅgasāgaraiḥ stotraiḥ staumi cāhaṃ guṇodadhīn /	svara-aFga-sAgarEH stotrEH stOmi ca-aham guNa-udaDIn /
   stutisaṅgītimeghāśca saṃbhavantveṣvananyathā // Bca_2.23 //	stuti-saFgI-iti-meGAH-ca saMBavantu-ezu-ananyaTA // Bca_2.23 //
   sarvakṣetrāṇusaṃkhyaiśca praṇāmaiḥ praṇamāmyahaṃ /	sarva-kzetra-aNu-saMKyEH-ca praNAmEH praNamAmi-aham /
   sarvatrādhvagatānbuddhān sahadharmagaṇottamān // Bca_2.24 //	sarvatra-aDva-gatAn-budDAn sahaDarma-gaNa-uttamAn // Bca_2.24 //
   sarcacaityāni vande 'haṃ bodhisattvāśrayāṃstathā /	sarca-cEtyAni vande aham boDisattva-ASrayAn=-taTA /
   namaḥ karomyupādhyāyān abhivandyānyatīṃstathā // Bca_2.25 //	namaH karomi-upADyAyAn aBivandya-anyatIn=-taTA // Bca_2.25 //
   buddhaṃ gacchāmi śaraṇaṃ yāvadābodhimaṇḍataḥ /	budDam gacCAmi SaraNam yAvat-AboDimaNxataH /
   dharmaṃ gacchāmi śaraṇaṃ bodhisattvagaṇaṃ tathā // Bca_2.26 //	Darmam gacCAmi SaraNam boDisattva-gaNam taTA // Bca_2.26 //
   vijñāpayāmi saṃbuddhān sarvadikṣu vyavasthitān /	vijQApayAmi saMbudDAn sarva-dikzu vyavasTitAn /
   mahākāruṇikāṃścāpi bodhisattvānkṛtāñjaliḥ // Bca_2.27 //	mahA-kAruNikAn=-ca-api boDisattvAn-kRtAQjaliH // Bca_2.27 //
   anādimati saṃsāre janmanyatraiva vā punaḥ /	anAdimati saMsAre janmani-atra-eva vA punar /
   yanmayā paśunā pāpaṃ kṛtaṃ kāritameva vā // Bca_2.28 //	yat-mayA paSunA pApam kRtam kAritam-eva vA // Bca_2.28 //
   yaccānumoditaṃ kiṃcid ātmaghātāya mohataḥ /	yat-ca-anumoditam kiMcid Atma-GAtAya mohataH /
   tadatyayaṃ deśayāmi paścāttāpena tāpitaḥ // Bca_2.29 //	tat-atyayam deSayAmi paScAttApena tApitaH // Bca_2.29 //
   ratnatraye 'pakāro yo mātāpitṛṣu vā mayā /	ratnatraye apakAraH yaH mAtA-pitRzu vA mayA /
   guruṣvanyeṣu vā kṣepāt kāyavāgbuddhibhiḥ kṛtaḥ // Bca_2.30 //	guruzu-anyezu vA kzepAt kAya-vAc-budDiBiH kRtaH // Bca_2.30 //
   anekadoṣaduṣṭena mayā pāpena nāyakāḥ /	aneka-doza-duzwena mayA pApena nAyakAH /
   yatkṛtaṃ dāruṇaṃ pāpaṃ tatsarvaṃ deśayāmyaham // Bca_2.31 //	yat-kRtam dAruNam pApam tat-sarvam deSayAmi-aham // Bca_2.31 //
   kathaṃ ca niḥsarāmyasmān nityodvego 'smi nāyakāḥ /	kaTam ca niHsarAmi-asmAt nitya-udvegaH asmi nAyakAH /
   mā bhūnme mṛtyuracirād akṣīṇe pāpasaṃcaye // Bca_2.32 //	mA BUt-me mRtyuH-acirAt akzINe pApa-saMcaye // Bca_2.32 //
   kathaṃ ca niḥsarāmyasmāt paritrāyata satvaraṃ /	kaTam ca niHsarAmi-asmAt paritrAyata sa-tvaram /
   mā mamākṣīṇapāpasya maraṇaṃ śīghrameṣyati // Bca_2.33 //	mA mama-akzINa-pApasya maraNam SIGram-ezyati // Bca_2.33 //
   kṛtākṛtāparīkṣo 'yaṃ mṛtyurviśrambhaghātakaḥ /	kRta-akRta-aparIkzaH ayam mRtyuH-viSramBa-GAtakaH /
   svasthāsvasthairaviśvāsya ākasmikamahāśaniḥ // Bca_2.34 //	svasTa-asu-asTEH-aviSvAsya Akasmika-mahA-aSaniH // Bca_2.34 //
   priyāpriyanimittena pāpaṃ kṛtamanekadhā /	priya-apriya-nimittena pApam kRtam-anekaDA /
   sarvamutsṛjya gantavyam iti na jñātamīdṛśam // Bca_2.35 //	sarvam-utsRjya gantavyam iti na jQAtam-IdRSam // Bca_2.35 //
   tattatsmaraṇatāṃ yāti yadyadvastvanubhūyate /	tad-tad-smaraNa-tAm yAti yat-yat-vastu-anuBUyate /
   svapnānubhūtavatsarvaṃ gataṃ na punarīkṣyate // Bca_2.36 //	svapna-anuBUta-vat-sarvam gatam na punar-Ikzyate // Bca_2.36 //
   apriyā na bhaviṣyanti priyo me na bhaviṣyati /	apriyAH na Bavizyanti priyaH me na Bavizyati /
   ahaṃ ca na bhaviṣyāmi sarvaṃ ca na bhaviṣyati // Bca_2.37 //	aham ca na BavizyAmi sarvam ca na Bavizyati // Bca_2.37 //
   ihaiva tiṣṭhatastāvad gatā naike priyāpriyāḥ /	iha-eva tizWataH-tAvat gatAH na-eke priya-apriyAH /
   tannimittaṃ tu yatpāpaṃ tatsthitaṃ ghoramagrataḥ // Bca_2.38 //	tad-nimittam tu yat-pApam tat-sTitam Goram-agratas // Bca_2.38 //
   evamāgantuko 'smīti na mayā pratyavekṣitaṃ /	evam-AgantukaH asmi-iti na mayA pratyavekzitam /
   mohānunayavidvaiṣaiḥ kṛtaṃ pāpamanekadhā // Bca_2.39 //	moha-anunaya-vidvEzEH kRtam pApam-anekaDA // Bca_2.39 //
   rātrindivamaviśrāmam āyuṣo vardhate vyayaḥ /	rAtrindivam-aviSrAmam AyuzaH varDate vyayaH /
   āyasya cāgamo nāsti na mariṣyāmi kiṃ nvaham // Bca_2.40 //	Ayasya ca-AgamaH na-asti na marizyAmi kim nu-aham // Bca_2.40 //
   iha śayyāgatenāpi bandhumadhye 'pi tiṣṭhatā /	iha SayyA-gatena-api banDu-maDye api tizWatA /
   mayaivaikena soḍhavyā marmacchedādivedanā // Bca_2.41 //	mayA-eva-ekena soXavyA marma=-Ceda-Adi-vedanA // Bca_2.41 //
   yamadūtairgṛhītasya kuto bandhuḥ kutaḥ suhṛt /	yama-dUtEH-gRhItasya kutas banDuH kutas suhRd /
   puṇyamekaṃ tadā trāṇaṃ mayā tacca na sevitam // Bca_2.42 //	puNyam-ekam tadA trANam mayA tat-ca na sevitam // Bca_2.42 //
   anityajīvitāsaṅgād idaṃ bhayamajānatā /	anitya-jIvita-AsaFgAt idam Bayam-ajAnatA /
   pramattena mayā nāthā bahu pāpamupārjitam // Bca_2.43 //	pramattena mayA nATAH bahu pApam-upArjitam // Bca_2.43 //
   aṅgacchedārthamapyadya nīyamāno viśuṣyati /	aFga=-Ceda-arTam-api-adya nIyamAnaH viSuzyati /
   pipāsito dīnadṛṣṭir anyadevekṣate jagat // Bca_2.44 //	pipAsitaH dIna-dRzwiH anyat-eva-Ikzate jagat // Bca_2.44 //
   kiṃ punarbhairavākārair yamadūtairadhiṣṭhitaḥ /	kim punar-BErava-AkArEH yama-dUtEH-aDizWitaH /
   mahātrāsajvaragrastaḥ purīṣotsargaveṣṭitaḥ // Bca_2.45 //	mahA-trAsa-jvara-grastaH purIza-utsarga-vezwitaH // Bca_2.45 //
