   Svayambhu Purāṇa	SvayamBu PurANa
   jineśvaraṃ mahāsattvaṃ taṃ paśyannevamādiśat // SvayambhuP_1.34 //	jineSvaram mahAsattvam tam paSyan=-evam-AdiSat // SvayamBuj-_1.34 //
   śṛṇu vatsa samādhāyaṃ vratasthānasamuttamaṃ /	SRNu vatsa samADAyam vrata-sTAna-samuttamam /
   munīśvarairyathākhyātaṃ tathā vakṣāmi te 'dhunā // SvayambhuP_1.35 //	muni-ISvarEH-yaTA-AKyAtam taTA vakzAmi te aDunA // SvayamBuj-_1.35 //
   puṇyakṣetreṣu tīrtheṣu vihāre sugatāśrame //	puNya-kzetrezu tIrTezu vihAre sugata-ASrame //
   buddhānāṃ nivṛtānāṃca caityeṣu pratimāsu ca // SvayambhuP_1.36 //	budDAnAm nivRtAnAMca cEtyezu pratimAsu ca // SvayamBuj-_1.36 //
   buddhakṣetreṣu sarvatra vratasthānaṃ samuttamaṃ /	budDa-kzetrezu sarvatra vrata-sTAnam samuttamam /
   eteṣvami samākhyātaṃ svayambhūcaityaṃ uttamaṃ // SvayambhuP_1.37 //	etezu-ami samAKyAtam svayamBU-cEtyam uttamam // SvayamBuj-_1.37 //
   evaṃ vijñāya yo dhīmānvrataṃ caritumicchati /	evam vijQAya yaH DImAn-vratam caritum-icCati /
   sa svayambhū jinakṣetraṃ āśritya caratāṃ vrataṃ // SvayambhuP_1.38 //	sa svayamBU jina-kzetram ASritya caratAm vratam // SvayamBuj-_1.38 //
   svayambhūkṣetramāśritya yaścarati vrataṃ mudā /	svayamBU-kzetram-ASritya yaH-carati vratam mudA /
   sa labhet tanmahat puṇyamakṣayaṃ bodhisādhanaṃ // SvayambhuP_1.39 //	sa laBet tat-mahat puNyam-akzayam boDi-sADanam // SvayamBuj-_1.39 //
   etat puṇyaṃ viśuddhātmā bhadraśrī sadguṇāśrayaḥ /	etat puNyam viSudDa-AtmA BadraSrI sat-guNa-ASrayaH /
   bodhisattvo mahābhijñā bhavajjinātmajo dhruvaṃ // SvayambhuP_1.40 //	boDisattvaH mahA-aBijQA Bavat-jina-AtmajaH Druvam // SvayamBuj-_1.40 //
   durgatiṃ na brajet kvāpi saṃsāre sa kadācana /	durgatim na brajet kvApi saMsAre sa kadAcana /
   sadā sadgatisaṃjāto bodhicaryāvrataṃ caret // SvayambhuP_1.41 //	sadA sat-gati-saMjAtaH boDi-caryA-vratam caret // SvayamBuj-_1.41 //
   evaṃ sa saṃsaralloke kṛtvā sarvatra bhadratā /	evam sa saMsarat-loke kRtvA sarvatra BadratA /
   saṃbodhi praṇidhiṃ dhṛtvā saṃcare tadjagaddhite // SvayambhuP_1.42 //	saMboDi praNiDim DRtvA saMcare tad-jagat-hite // SvayamBuj-_1.42 //
   evaṃ ca bodhi saṃbhāraṃ pūrayitvā yathākramaṃ /	evam ca boDi saMBAram pUrayitvA yaTAkramam /
   trividhāṃ bodhimāsādyaḥ nirvṛtipadamāpnuyāt // SvayambhuP_1.43 //	triviDAm boDim-AsAdyaH nirvRti-padam-ApnuyAt // SvayamBuj-_1.43 //
   evaṃ yūyaṃ parijñātvāḥ svayambhūsthāna āśritā /	evam yUyam parijQAtvAH svayamBU-sTAnaH ASritAH /
   triratnaśaraṇaṃ gatvā saṃcaratha vratottamaṃ // SvayambhuP_1.44 //	tri-ratna-SaraNam gatvA saMcaraTa vrata-uttamam // SvayamBuj-_1.44 //
   etattenārhatādiṣṭaṃ śrutvā sa sugatātmajaḥ /	etat-tena-arhata-Adizwam SrutvA sa sugata-AtmajaH /
   jayaśriyaṃ tamarhantaṃ sampaśyannevamabravīt // SvayambhuP_1.45 //	jaya-Sriyam tam-arhantam sampaSyan=-evam-abravIt // SvayamBuj-_1.45 //
   bhadanta bhavatā diṣṭaṃ śrutvā me rocate manaḥ /	Badanta BavatA dizwam SrutvA me rocate manaH /
   svayambhūcaityamārādhya carituṃ vratamābhavaṃ // SvayambhuP_1.46 //	svayamBU-cEtyam-ArADya caritum vratam-ABavam // SvayamBuj-_1.46 //
   svayambhū caityarājaḥ śrīdharmadhātu jinālayaḥ /	svayamBU cEtya-rAjaH SrI-DarmaDAtu jina-AlayaH /
   kutrāstyatra mahīloke tat samādeṣṭumarhati // SvayambhuP_1.47 //	kutra-asti-atra mahI-loke tat samAdezwum-arhati // SvayamBuj-_1.47 //
   iti saprārthitaṃ tena śrutvāṃ so 'rhan yatiḥ sudhīḥ /	iti sa-prArTitam tena SrutvAm saH arhan yatiH suDIH /
   jayaśrī staṃ mahāsattva samālokyaivamādiśata // SvayambhuP_1.48 //	jaya-SrI stam mahA-sattva samAlokya-evam-AdiSata // SvayamBuj-_1.48 //
   vidyate 'tra mahīloke uttarasyāṃ himālaye /	vidyate atra mahI-loke uttarasyAm himAlaye /
   nepāla iti vikhyāteḥ gopucchākhyernagottamaḥ // SvayambhuP_1.49 //	nepAlaH iti viKyAteH go-pucCa-AKyeH-naga-uttamaH // SvayamBuj-_1.49 //
   tadgirernāma cāturdhya caturyugeṣu vartate /	tat-gireH-nAma cAturDya caturyugezu vartate /
   tadyathābhūdyuge satye padmagiririti smṛtaḥ // SvayambhuP_1.50 //	tat-yaTA-aBUt-yuge satye padmagiriH-iti smRtaH // SvayamBuj-_1.50 //
   tretāyāṃ vajrakūṭākhyo gośṛṃgo dvāpare smṛtaḥ /	tretAyAm vajrakUwa-AKyaH go-SRMgaH dvApare smRtaH /
   idānīṃ tu kalau 'sau gopuccha iti viśrutaḥ // SvayambhuP_1.51 //	idAnIm tu kalO asO gopucCaH iti viSrutaH // SvayamBuj-_1.51 //
   so 'piśailo idānītu lokai nepāla deśakaiḥ /	saH api-SElaH idAnItu lokEH nepAla deSakEH /
   sāmheguriti vikhyāta stathāsaṃprasthito bhuvi // SvayambhuP_1.52 //	sAmheguH-iti viKyAta staTA-saMprasTitaH Buvi // SvayamBuj-_1.52 //
   sa sarvadhāturalādi sarvadravyamayoktamaḥ /	sa sarva-DAtuH-ala-Adi sarva-dravyam-aya-uktamaH /
   aśvattha pramukhairsavairpādapaiḥ saṃpraśobhitaḥ // SvayambhuP_1.53 //	aSvatTa pramuKEH-savEH-pAdapEH saMpraSoBitaH // SvayamBuj-_1.53 //
   sarvatra kusumairkāntaḥ saṃrvoṣadhiphaladrumaiḥ /	sarvatra kusumEH-kAntar saMrvozaDi-Pala-drumEH /
   sarvapakṣivirāvaiścaḥ bhramadbhramaranisvanaiḥ // SvayambhuP_1.54 //	sarva-pakzi-virAvEH-caH Bramat-Bramara-nisvanEH // SvayamBuj-_1.54 //
   jantubhiḥ sakalaḥ sneha nivaddhamaitramānasaiḥ /	jantuBiH sakalaH sneha nivadDa-mEtra-mAnasEH /
   tapasvivaddhayā bhadracāribhiḥ saniṣevitaḥ // SvayambhuP_1.55 //	tapasvi-vat-DayA BadracAriBiH sa-nizevitaH // SvayamBuj-_1.55 //
   aṣṭāṃga guṇasaṃpanna saṃśuddhāmṛtanirjharaiḥ /	azwAMga guNa-saMpad-na saMSudDa-amRta-nirJarEH /
   śobhitaḥ puṣpagaṃdhādhi saṃvāsitaiḥ samīraṇaiḥ // SvayambhuP_1.56 //	SoBitaH puzpa-gaMDa-aDi saMvAsitEH samIraNEH // SvayamBuj-_1.56 //
   saṃsevitaḥ sadā divya mahotsāhairvivājitaḥ /	saMsevitaH sadA divya mahA-utsAhEH-vivAjitaH /
   sarvalokādhipairnityaṃ saṃsevitaḥ samādaraiḥ // SvayambhuP_1.57 //	sarva-loka-aDipEH-nityam saMsevitaH samAdarEH // SvayamBuj-_1.57 //
   tatra ratnamaya padmaḥ karṇṇikāyāṃ samāśritaḥ /	tatra ratna-maya padmaH karNNikAyAm samASritaH /
   divya sphaṭikaratnābhajyotirūpo nirañjanaḥ // SvayambhuP_1.58 //	divya sPawika-ratna-ABajyoti-rUpaH niraQjanaH // SvayamBuj-_1.58 //
   ekahastaḥ pramānoccaścaityarūpo jināśrayaḥ /	eka-hastaH pramAna-uccaH-cEtya-rUpaH jina-ASrayaH /
   svayambhūḥ sarvalokānāṃ bhadrārtha samavasthitaḥ // SvayambhuP_1.59 //	svayamBUH sarva-lokAnAm Badra-arTa samavasTitaH // SvayamBuj-_1.59 //
   brahma śakrādibhirdevaiḥ sarvaillokādhipairapi /	brahma Sakra-AdiBiH-devEH sarvElloka-aDipEH-api /
   sarvairdaityādhipaiścāpi nāgendraiḥ garuḍairapi // SvayambhuP_1.60 //	sarvEH-dEtya-aDipEH-ca-api nAga-indrEH garuxEH-api // SvayamBuj-_1.60 //
   siddhai vidyādharaiḥ sādhyairūryakṣagandharvakinnaraiḥ /	sidDEH vidyADarEH sADyEH-Uryakza-ganDarva-kinnarEH /
   rākṣasendraiśca rudraiśca grahaistārāgaṇairapi // SvayambhuP_1.61 //	rAkzasa-indrEH-ca rudrEH-ca grahEH-tArA-gaNEH-api // SvayamBuj-_1.61 //
   vasubhiścāpsarobhiścaḥ sarvaiśva tridaśādhipaiḥ /	vasuBiH-ca-apsaroBiH-caH sarva-ESva tridaSADipEH /
   ṛṣibhiryatibhiḥ sarvai yogibhi brahmacāribhiḥ // SvayambhuP_1.62 //	RziBiH-yatiBiH sarvEH yogiBi brahmacAriBiH // SvayamBuj-_1.62 //
   sarvaiśca tīrthikai vijñaistāpasaiścāpisajjanaiḥ /	sarvEH-ca tIrTikEH vijQEH-tApasEH-ca-api-sat-janEH /
   divāniśaṃ catuḥ saṃdhyaṃ dṛṣṭvā smṛtvā pravanditaḥ // SvayambhuP_1.63 //	divAniSam catuH saMDyam dRzwvA smRtvA pravanditaH // SvayamBuj-_1.63 //
   nityakālaṃ samāgate samabhyarcya samādarāt /	nitya-kAlam samAgate samaByarcya samAdarAt /
   saṃstutibhiḥ mahotsāhaiḥ saṃmānitābhivanditaḥ // SvayambhuP_1.64 //	saMstutiBiH mahA-utsAhEH saMmAnita-aBivanditaH // SvayamBuj-_1.64 //
   evaṃ sa trijagannāthaḥ svayambhū dharmadhātukaḥ /	evam sa trijagannATaH svayamBU DarmaDAtukaH /
   sarvaloka hitārthena saṃbhāṣayansamāsthitaḥ // SvayambhuP_1.65 //	sarva-loka hita-arTena saMBAzayan-samAsTitaH // SvayamBuj-_1.65 //
   idānīntu kalau lokā duṣṭāḥ krūrāśayā śaṭhāḥ /	idAnIntu kalO lokAH duzwAH krUra-ASayA SaWAH /
   dṛṣṭavedaṃ dharmadhātuṃ hi hariṣyanti na saṃśayaḥ // SvayambhuP_1.66 //	dRzwa-vedam DarmaDAtum hi harizyanti na saMSayaH // SvayamBuj-_1.66 //
   ityasau śilayāchādya gupti kṛtvā prakāśitaḥ /	iti-asO SilayA-ACAdya gupti kRtvA prakASitaH /
   tadupariṣṭīkābhiśca vidhāya caityamuttama // SvayambhuP_1.67 //	tad-uparizwIkABiH-ca viDAya cEtyam-uttamaH // SvayamBuj-_1.67 //
   chātradhvajapatākābhiralaṃkṛtyādhyatiṣṭhataṃ /	CAtra-Dvaja-patAkABiH-alaMkRtya-aDyatizWatam /
   tatrāpi sarvalokaiśca sarvalokādhipairapi // SvayambhuP_1.68 //	tatra-api sarva-lokEH-ca sarva-loka-aDipEH-api // SvayamBuj-_1.68 //
   samāgatya samārādhya samabhyarcyābhivanditaḥ /	samAgatya samArADya samaByarcya-aBivanditaH /
   satkāraiśca mahotsāhaiḥ stutipradakṣiṇādibhiḥ // SvayambhuP_1.69 //	satkArEH-ca mahA-utsAhEH stuti-pradakziNa-AdiBiH // SvayamBuj-_1.69 //
   praṇāmaiśca samārādhya sevito mānito 'rcitaḥ /	praNAmEH-ca samArADya sevitaH mAnitaH arcitaH /
   evaṃ sa trijagannātho dharmadhātu jinālayaḥ // SvayambhuP_1.70 //	evam sa trijagannATaH DarmaDAtu jina-AlayaH // SvayamBuj-_1.70 //
   sarvasattva śubhārthena saṃśobhitā vyavasthitaḥ /	sarva-sattva SuBa-arTena saMSoBitAH vyavasTitaH /
   tatra ye śaraṇaṃ gatvā yānti śuddhayā mudā // SvayambhuP_1.71 //	tatra ye SaraNam gatvA yAnti SudDayA mudA // SvayamBuj-_1.71 //
   durggatiṃ te na gachanti saṃsāre 'tra kadācana /	durggatim te na gaCanti saMsAre atra kadAcana /
   sadgatāveva saṃjātā dharmmaśrī saṃghaśobhitā // SvayambhuP_1.72 //	sat-gatO=-eva saMjAtA Darmma-SrI saMGa-SoBitA // SvayamBuj-_1.72 //
   bodhisattvā mahāsattvāḥ pariśuddhatrimaṇḍalāḥ /	boDisattvAH mahAsattvAH pariSudDa-tri-maNxalAH /
   bhadraśrī sadguṇadhārā sarvasattva hitaṃkarāḥ // SvayambhuP_1.73 //	BadraSrI sat-guNa-DArA sarva-sattva hitaMkarAH // SvayamBuj-_1.73 //
   bodhicaryāvrataṃ dhṛtvā saṃcare jagaddhite /	boDi-caryA-vratam DRtvA saMcare jagat-hite /
   evaṃ yūyamapi jñātvā śraddhayā śaraṇa gatāḥ // SvayambhuP_1.74 //	evam yUyam-api jQAtvA SradDayA SaraNa gatAH // SvayamBuj-_1.74 //
   svayambhūcaityamārādhya saṃcaradhvaṃ vrataṃ sadā /	svayamBU-cEtyam-ArADya saMcaraDvam vratam sadA /
   evaṃ kṛtvātra saṃsāre bhadraśrī sadguṇāśrayā // SvayambhuP_1.75 //	evam kRtvA-atra saMsAre BadraSrI sat-guNa-ASrayAH // SvayamBuj-_1.75 //
   bodhisattvā mahāsattvā jinātmajā bhaviṣyathaḥ /	boDisattvAH mahAsattvAH jina-AtmajA BavizyaTaH /
   tataḥ saṃbodhisaṃbhāraṃ pūrayitvā yathākramaṃ // SvayambhuP_1.76 //	tatas saMboDi-saMBAram pUrayitvA yaTAkramam // SvayamBuj-_1.76 //
   trividhāṃ bodhimāsādya saṃbuddhapadamāpsyathaḥ /	triviDAm boDim-AsAdya saMbudDa-padam-ApsyaTaH /
   iti tena samādiṣṭaṃ niśaṃmya sa mahāmatiḥ // SvayambhuP_1.77 //	iti tena samAdizwam niSaMmya sa mahAmatiH // SvayamBuj-_1.77 //
   śāstāraṃ taṃ samālokya punarevamavocata /	SAstAram tam samAlokya punar-evam-avocata /
   bhadanta śrotumicchāmi yatsvayambhū jinālayaḥ // SvayambhuP_1.78 //	Badanta Srotum-icCAmi yat-svayamBU jina-AlayaH // SvayamBuj-_1.78 //
   kadā svayaṃ samutpannaḥ kathaṃ ca tadupādiśa /	kadA svayam samutpannaH kaTam ca tad-upAdiSa /
   iti saṃprārthita tena śrutvā so 'rhan yatiḥ sudhīḥ // SvayambhuP_1.79 //	iti saMprArTita tena SrutvA saH arhan yatiH suDIH // SvayamBuj-_1.79 //
   jayaśrīstaṃ mahāsattvaṃ saṃpaśyannevamādiśat /	jaya-SrIH-tam mahAsattvam saMpaSyan=-evam-AdiSat /
   sādhu śṛṇu mahābhāga yathā mayā śrutaṃ guroḥ // SvayambhuP_1.80 //	sADu SRNu mahABAga yaTA mayA Srutam guroH // SvayamBuj-_1.80 //
   tathāhaṃ te pravakṣāmi svayambhūtpattisatkathāṃ /	taTA-aham te pravakzAmi svayamBUt-patti-sat-kaTAm /
   tadyathā pāṭalīputre pure 'śoko narādhipaḥ // SvayambhuP_1.81 //	tat-yaTA pAwalI-putre pure aSokaH narADipaH // SvayamBuj-_1.81 //
   saddharma sādhanotsāhī triratnasevako 'bhavat /	sadDarma sADana-utsAhI tri-ratna-sevakaH aBavat /
   sa tatra kukkuṭārāme vihāre sugatāśrame // SvayambhuP_1.82 //	sa tatra kukkuwa-ArAme vihAre sugata-ASrame // SvayamBuj-_1.82 //
   upaguptaṃ mahābhijñaṃ vandituṃ samupācaret /	upaguptam mahA-aBijQam vanditum samupAcaret /
   tadā so 'rhan mahābhijñaḥ sarvasaṃghapuraskṛtaḥ // SvayambhuP_1.83 //	tadA saH arhan mahA-aBijQaH sarva-saMGa-puraskRtaH // SvayamBuj-_1.83 //
   sabhāmadhyāsanāsīnastasthau dhyātvā samāhitaḥ /	saBAm-aDyAsana-AsInaH-tasTO DyAtvA samAhitaH /
   tamarhataṃ sabhāsīnaṃ sarvasaṃghapuraskṛtaḥ // SvayambhuP_1.84 //	tam-arhatam saBA-AsInam sarva-saMGa-puraskRtaH // SvayamBuj-_1.84 //
   dṛṣṭvāśokaḥ sa bhūmīndro muditaḥ samupācarat /	dRzwvA-aSokaH sa BUmi-indraH muditaH samupAcarat /
   tatra sa sahasopetya sāñjalirarhato yatīn // SvayambhuP_1.85 //	tatra sa sahasA-upetya sa-aQjaliH-arhataH yatIn // SvayamBuj-_1.85 //
   sarvānnatvopaguptaṃ tamaṣṭāṃgaiḥ prāṇamanmudā /	sarvAn-na-tva-upaguptam tam-azwa-aMgEH prANamat-mudA /
   tatastaṃ gurumarhantaṃ mahotsāhaiḥ yathāvidhiṃ // SvayambhuP_1.86 //	tatas-tam gurum-arhantam mahA-utsAhEH yaTAviDim // SvayamBuj-_1.86 //
   samabhyarcya praṇatvā ca dharmaṃ śrotumupāśrayat /	samaByarcya praNatvA ca Darmam Srotum-upASrayat /
