   pariśiṣṭam	pariSizwam
   rucirasvaravarṇapadā rasabhāvavatī jaganmano harati /	rucira-svara-varNa-padA rasa-BAvavatI jagat-manaH harati /
   tatkiṃ taruṇī nahi nahi, vāṇī bāṇasya madhuraśīlasya // 13 //	tat-kim taruNI nahi nahi, vANI bANasya maDura-SIlasya // 13 //
   saharṣacaritā śaśvatkṛtakādambarīkathā /	sa-harza-caritA SaSvat-kRtakAt-ambarI-kaTA /
   bāṇasya vāṇyanārteva svacchandaṃ bhramati kṣitau // 14 //	bANasya vANi-anArtA-iva svacCandam Bramati kzitO // 14 //
   bāṇaṃ satkavigīrvāṇamanubadhnāti kaḥ kaviḥ /	bANam sat-kavigIrvANam-anubaDnAti kaH kaviH /
   sindhumandhuḥ kimanveti dyumaṇiḥ katamo maṇiḥ // 15 //	sinDumanDuH kim-anveti dyumaNiH katamaH maNiH // 15 //
   (raghunāthacarite)	(raGu-nATa-carite)
   śabdārthayoḥ samo gumphaḥ pāñcālī rītiriṣyate /	Sabda-arTayoH samaH gumPaH pAQcAlI rItiH-izyate /
   śilābhaṭṭārikāvāci bāṇoktiṣu ca sā yadi // 16 //	SilA-BawwArikA-vAci bANa-uktizu ca sA yadi // 16 //
   kevalo 'pi sphuran bāṇaḥ karoti vimadān kavīn /	kevalaH api sPuran bANaH karoti vimadAn kavIn /
   ki punaḥ kḷptasandhānapulindakṛtasannidhiḥ // 17 //	ki punar k?pta-sanDAna-pulinda-kRta-sanniDiH // 17 //
   (dhanapālasya)	(Dana-pAlasya)
   daṇḍītyupasthite sadyaḥ kavīnāṃ kampatāṃ manaḥ /	daNxI-iti-upasTite sadyas kavInAm kampatAm manaH /
   praviṣṭhe tvantaraṃ bāṇe kaṇṭhe vāgeva rudhyate // 18 //	pravizWe tu-antaram bANe kaNWe vAc-eva ruDyate // 18 //
