   // atha prathama ullāsaḥ //	// aTa praTamaH ullAsaH //
   paunaḥpunyena pravṛttiriti trayaḥ samuditāḥ, na cu vyastāstasya	pOnaHpunyena pravRttiH-iti trayaH samuditAH, na cu vyastAH-tasya
   kāvyasyodbhave nirmāṇe samullāse ca heturna tu hetavaḥ //	kAvyasya-udBave nirmANe samullAse ca hetuH-na tu hetavaH //
   evamasya kāraṇamuktvā svarūpamāha (sū- 1)	evam-asya kAraNam-uktvA svarUpam-Aha (sU 1)
   tadadoṣau śabdārthau saguṇāvanalaṃkṛtī punaḥ kvāpi /	tad-adozO Sabda-arTO sa-guNO=-analaMkRtI punar kvApi /
   doṣaguṇālaṃkārāḥ vakṣyante /	doza-guNa-alaMkArAH vakzyante /
   kvāpītyanenaitadāha yat sarvatra sālaṃkārau, kvacittu sphuṭālaṃkāravirahe	kvApi-iti-anena-etat-Aha yat sarvatra sa-alaMkArO, kvacid-tu sPuwa-alaMkAra-virahe
   'pi na kāvyatvahāniḥ /	api na kAvya-tva-hAniH /
   yathā yaḥ kaumāraharaḥ sa eva hi varastā eva caitrakṣapā- ste	yaTA yaH kOmAra-haraH saH eva hi varaH-tAH eva cEtra-kzapA ste
   conmīlitamālatīsurabhayaḥ prauḍhāḥ kadambānilāḥ /	ca-unmIlita-mAlatI-sura-BayaH prOXAH kadamba-anilAH /
   sā caivāsmi tathāpi tatra suratavyāpāralīlāvidhau revārodhasi	sA ca-eva-asmi taTA-api tatra surata-vyApAra-lIlA-viDO revA-AroDasi
   vetasītarutale cetaḥ samutkaṇṭhate //1//	vetasI-taru-tale cetaH samutkaNWate //1//
   atra sphuṭo na kaśvidalaṃkāraḥ /	atra sPuwaH na kaSvit-alaMkAraH /
   rasasya ca prādhānyānnālaṃkāratā /	rasasya ca prADAnya-at-na-alaMkAra-tA /
   tadbhedān krameṇāha (sū- 2)	tad-BedAn krameNa-Aha (sU 2)
   idamuttamamatiśayini vyaṅgye vācyāddhvanirbudhaiḥ kathitaḥ // 4 //	idam-uttamam-atiSayini vyaFgye vAcyAt-Dva-niH-buDEH kaTitaH // 4 //
   idamiti kāvyam /	idam-iti kAvyam /
   budhairvaiyākaraṇaiḥ pradhānabhūtasphoṭarūpavyaṅgyavyañjakasya śabdasya	buDEH-vEyAkaraNEH praDAna-BUta-sPowa-rUpa-vyaFgya-vyaQjakasya Sabdasya
   dhvaniriti vyavahāraḥ kṛtaḥ /	DvaniH-iti vyavahAraH kRtaH /
   tatastanmatānusāribhiranyairapi nyagbhāvitavācyavyaṅgyavyañjanakṣamasya	tatas-tad-mata-anusAriBiH-anyEH-api nyak-BAvita-vAci-avyaFgya-vyaQjana-kzamasya
   śabdārthayugalasya /	Sabda-arTa-yugalasya /
   yathā niḥśeṣacyutacandanaṃ stanataṭaṃ nirmṛṣṭarāgo 'dharo netre	yaTA niHSeza-cyuta-candanam stana-tawam nirmRzwa-rAgaH aDaraH netre
   dūramanañjane pulakitā tanvī taveyaṃ tanuḥ /	dUram-anaQjane pulakitA tanvI tava-iyam tanuH /
   mithyāvādini dūti bāndhavajanasyājñātapīḍāgame vāpīṃ snātumito gatāsi na	miTyA-vAdini dUti bAnDava-janasya-ajQAta-pIxA-game vApIm snAtum-itas gatA-asi na
   punastasyādhamasyāntikam //2//	punar-tasya-aDamasya-antikam //2//
   atra tadantikameva rantuṃ gatāsīti prādhānyenādhamapadena vyajyate //	atra tad-antikam-eva rantum gatA-asi-iti prADAnyena-aDama-padena vyajyate //
   (sū- 3)	(sU 3)
   atādṛśi guṇībhūtavyaṅgyaṃ vyaṅgye tu madhyamam /	atAdRSi guNIBUta-vyaFgyam vyaFgye tu maDyamam /
   atādṛśi vācyādanatiśāyini /	atAdRSi vAcyAt-anatiSAyini /
   yathā grāmataruṇaṃ taruṇyā navavañjulamajjarīsanāthakaram /	yaTA grAma-taruNam taruNyA nava-vaQjula-majjarIsa-nATa-karam /
   paśyantyā bhavati muhurnitarāṃ malinā mukhacchāyā //3//	paSyantyA Bavati muhur-nitarAm malinA muKa=-CAyA //3//
   atra bañjulalatāgṛhe dattasaṃketā nāgateti vyaṅgyaṃ guṇībhūtaṃ tadapekṣayā	atra baQjula-latA-gRhe datta-saMketA na-AgatA-iti vyaFgyam guNIBUtam tad-apekzayA
   vācyasyaiva camatkāritvāt //	vAcyasya-eva camatkAri-tvAt //
   (sū- 4)	(sU 4)
   śabdacitraṃ vācyacitramavyaṅgyaṃ tvavaraṃ smṛtam // 5 //	Sabda-citram vAcya-citram-avyaFgyam tu-avaram smRtam // 5 //
   citramiti guṇālaṃkārayuktam /	citram-iti guNa-alaMkAra-yuktam /
   avyaṅgyamiti sphuṭapratīyamānārtharahitam /	avyaFgyam-iti sPuwa-pratIyamAna-arTa-rahitam /
   avaram adhamam /	avaram aDamam /
   yathā svacchandocchaladacchakacchakuharacchātetarāmbucchaṭā-	yaTA svacCanda-ucCaladacCaka=-Cakuhara=-CAtA-itara-ambu=-CawA-
   mūrchanmohamaharṣiharṣavihitasnānāhnikāhnāya vaḥ /	mUrCan-moha-mahA-Rzi-harza-vihita-snAna-Ahnika-AhnAya vaH /
   bhidyādudyadudāradarduradarī dīrgādaridradruma-	BidyAt-udyat-udAra-darduradarI dIrgAt-aridra-druma-
   drohodrekamahormimeduramadā mandākinī mandatām //4//	droha-udreka-mahA-Urmimedura-madA mandAkinI manda-tAm //4//
   vinirgataṃ mānadamātmamandirādbhavatyupaśrutya yadṛcchayāpi yam /	vinirgatam mAna-dam-Atma-mandirAt-Bavati-upaSrutya yadRcCayA-api yam /
   sasaṃbhramendradrutapātitārgalā nimīlitākṣīva bhiyāmarāvatī //5//	sa-saMBrama-indra-druta-pAtita-argalA nimIlita-akzI-iva BiyA-amarAvatI //5//
   iti kāvyaprakāse kāvyasya prayojanakāraṇasvarūpaviśeṣanirṇayo nāma	iti kAvya-prakAse kAvyasya prayojana-kAraNa-svarUpa-viSeza-nirNayaH nAma
   prathama ullāsaḥ // 1. //	praTamaH ullAsaH // 1. //
   // atha dvitīya ullāsaḥ //	// aTa dvitIyaH ullAsaH //
   krameṇa śabdārthayoḥ svarūpamāha-- (sū- 5)	krameNa Sabda-arTayoH svarUpam-Aha- (sU 5)
   syādvācako lākṣaṇikaḥ śabdo 'tra vyañjakastridhā /	syAt-vAcakaH lAkzaNikaH SabdaH atra vyaQjakaH-triDA /
   atreti kāvye /	atra-iti kAvye /
   eṣāṃ svarupaṃ vakṣyate //	ezAm svarupam vakzyate //
   (sū- 6)	(sU 6)
   vācyādayastadarthāḥ syuḥ	vAci-AdayaH-tad-arTAH syuH
   vācyalakṣyavyaṅgyāḥ //	vAcya-lakzya-vyaFgyAH //
   (sū- 7)	(sU 7)
   tātparyārtho 'pi keṣucit // 6 //	tAtparya-arTaH api kezucid // 6 //
   ākāhkṣāyogyatāsaṃnidhivaśādvakṣyamāṇasvarūṃpāṇāṃ padārthānāṃ samanvaye	AkAhkza-ayogya-tA-saMniDi-vaSAt-vakzyamANa-svarUMpANAm padArTAnAm samanvaye
   tātparyārtho viśeṣavapurapadārtho 'pi vākyārthaḥ	tAtparya-arTaH viSeza-vapura-padArTaH api vAkya-arTaH
   samullasatītyabhihinānvayavādināṃ matam //	samullasati-iti-aBihinA-anvaya-va-AdinAm matam //
   vācya eva vākyārtha ityanvitābhidhānavādinaḥ //	vAcyaH eva vAkya-arTaH iti-anvita-aBiDAna-vAdinaH //
   (sū- 8)	(sU 8)
   sarveṣāṃ prāyaśo 'rthānāṃ vyañjakatvamapīṣyate /	sarvezAm prAyaSas arTAnAm vyaQjaka-tvam-api-izyate /
   tatra vācyasya yathā'	tatra vAcyasya yaTA-a
   māe gharovaaraṇaṃ ajja hu ṇatthi tti sāhiaṃ tumae /	mAe GarovaaraNam ajja hu NatTi tti sa-ahiam tumae /
   tā bhaṇa kiṃ karaṇijjaṃ emea ṇa vāsaro ṭhāi //6//	tAH BaNa kim karaNijjam emea Na vAsaraH WAi //6//
   atra svairavihārārthinīti vyajyate /	atra svEra-vihAra-arTinI-iti vyajyate /
   lakṣyasya yathā sāhentī sahi suhaaṃ khaṇe khaṇe dūmmiāsi majjhakae /	lakzyasya yaTA sAhentI sahi suhaam KaNe KaNe dUmmiA-asi majJakae /
   sabbhāvaṇehakaraṇijjasarisaaṃ dāva viraiaṃ tumae //7//	sabBAvaNa-iha-karaNijja-sari-saam dAva virEam tumae //7//
   atra matpriyaṃ ramayantyā tvayā śatrutvamācaritamiti lakṣyam, tena ca	atra mad-priyam ramayantyA tvayA Satru-tvam-Acaritam-iti lakzyam, tena ca
   kāmukaviṣayaṃ sāparādhatvaprakāśanaṃ vyaṅgyam /	kAmuka-vizayam sa-aparADa-tva-prakASanam vyaFgyam /
   vyaṅgyasya yathā ua ṇiccalaṇippaṃdā bhisiṇīpattammi rehai balāā /	vyaFgyasya yaTA ua NiccalaNippaMdA BisiNI-pattammi rehEH balAA /
   ṇimmalamaragaabhāaṇapariṭhṭhiā saṃkhasutti vva //8//	Nimmala-mara-gaa-BAaNa-pariWWiA saMKasutti vvaH //8//
   atra niṣpandatvena, āśvastatvam, tena ca janarahitatvam, ataḥ	atra nizpanda-tvena, ASvasta-tvam, tena ca jana-rahita-tvam, atas-
   saṃketasthānametaditi kayācit kaṃcitpratyucyate /	saMketa-sTAnam-etat-iti kayAcid kaMcid-pratyucyate /
   athavā mithyā vadasi na tvamatrāgato 'bhūriti vyajyate //	aTavA miTyA vadasi na tvam-atra-AgataH aBUH-iti vyajyate //
   vācakādīnāṃ krameṇa svarūpamāha (sū- 9)	vAcaka-AdInAm krameNa svarUpam-Aha (sU 9)
   sākṣātsaṃketitaṃ yo 'rthamabhidhatte sa vācakaḥ // 7 //	sAkzAt-saMketitam yaH arTam-aBiDatte sa vAcakaH // 7 //
   ihāgṛhītasaṃketasya śabdasyārthapratīterabhāvātsaṃketasahāya eva śabdo	iha-agRhIta-saMketasya Sabdasya-arTa-pratIteH-aBAvAt-saMketa-sahAyaH eva SabdaH-
   'rthaviśeṣaṃ pratipādayatīti yasya yatrāvyavadhānena saṃketo gṛhyate sa	arTa-viSezam pratipAdayati-iti yasya yatra-avyavaDAnena saMketaH gRhyate sa
   tasya vācakaḥ /	tasya vAcakaH /
   (sū- 10)	(sU 10)
   saṃketitasvaturbhedo jātyādirjātireva vā /	saMketita-svatuH-BedaH jAti-AdiH-jAtiH-eva vA /
   yadyapyarthakriyākāritayā pravṛttinivṛttiyogyā vyaktireva,	yadi-api-arTa-kriyA-kAritayA pravRtti-nivRtti-yogyA vyaktiH-eva,
   tayāpyānantyāvdyabhicārācca tatra saṃketaḥ kartuṃ na yujyate, iti gauḥ	tayA-api-Anantya-avdi-aBicArAt-ca tatra saMketaH kartum na yujyate, iti gOH
   śuklaśvalo ḍittha ityādīnāṃ viṣayavibhāgo na prāpnotīti ca tadupādhāveva	SuklaSvalaH xitTaH ityAdInAm vizaya-viBAgaH na prApnoti-iti ca tad-upADO=-eva
   saṃketaḥ /	saMketaH /
   upādhiśva dvividhaḥ--vastudharmo vaktṛyadṛcchāsaṃniveśitaśva /	upADiSva dviviDaH--vastu-DarmaH vaktR-yadRcCA-saMniveSita-Sva /
   vastudharmo 'pi dvividhaḥ--siddhaḥ sādhyaśva /	vastu-DarmaH api dviviDaH--sidDaH sADyaSva /
   siddho 'pi dvividhaḥ--padārthasya prāṇaprado viśeṣādhānahetuśva /	sidDaH api dviviDaH--padArTasya prANa-pradaH viSeza-ADAna-hetuSva /
   tatrādyo jātiḥ uktaṃ hi vākyapadīye " na hi gauḥ svarūpeṇa gaurnāpyagauḥ,	tatra-AdyaH jAtiH uktam hi vAkyapadIye " na hi gOH svarUpeNa gOH-nApya-gOH,
   gotvābhisaṃbhandhāttu gauḥ" iti /	go-tva-aBisaMBanDAt-tu gOH" iti /
   dvitīyo gumaḥ /	dvitIyaH gumaH /
   śuklādinā hi labdhasattārka vastu viśiṣyate /	Sukla-AdinA hi labDa-sattArka vastu viSizyate /
   sādhyaḥ pūrvāparībhūtāvayavaḥ kriyārūpaḥ /	sADyaH pUrva-aparIBUta-avayavaH kriyA-rUpaH /
   ḍitthādiśabdānāmantyabuddhinirgrāhyaṃ saṃhṛtakramaṃ svarūpaṃ vaktrā	xitTa-Adi-SabdAnAm-antya-budDi-nirgrAhyam saMhRta-kramam svarUpam vaktrA
   yadṛcchayā ḍitthādiṣvartheṣūpādhitvena saṃniveśyata iti so 'yaṃ saṃjñārūpo	yadRcCayA xitTa-Adizu-arTezu-upADi-tvena saMniveSyate iti saH ayam saMjQA-rUpaH-
   yadṛcchātmaka iti /	yadRcCA-AtmakaH iti /
   "gauḥśuklaśvalo ḍittha ityādau catuṣṭayī śabdānāṃ pravṛttiḥ" iti	"gOH-Sukla-SvalaH xitTaH ityAdO catuzwayI SabdAnAm pravRttiH" iti
   mahābhāṣyakāraḥ /	mahABAzya-kAraH /
   paramāṇvādīnāṃ tu guṇamadhyapāṭhāt pāribhāṣikaṃ guṇatvam /	paramANu-AdInAm tu guNa-maDya-pAWAt pAriBAzikam guNa-tvam /
   guṇakriyāyadṛcchānāṃ vastuta ekarūpāṇāmapyāśrayabhedādbheda iva lakṣyate /	guNa-kriyAyadRcCAnAm vastutas eka-rUpANAm-api-ASraya-BedAt-BedaH iva lakzyate /
   yathaikasya mukhasya khaḍgamukuratailādyālambanabhedāt /	yaTA-ekasya muKasya Kaxga-mukura-tEla-Adi-Alambana-BedAt /
   himapayaḥśaṅkhādyāśrayeṣu paramārthato bhinneṣu śuklādiṣu yadvaśena śuklaḥ	hima-payaH-SaFKa-Adi-ASrayezu paramArTataH Binnezu Sukla-Adizu yad-vaSena SuklaH
   śukla ityādyabhinnābhidhānapratyayotpattistat śuklatvādi sāmānyam /	SuklaH ityAdi-aBinna-aBiDAna-pratyaya-utpattiH-tat Sukla-tva-Adi sAmAnyam /
   guḍataṇḍulādipākādiṣvevameva pākatvādi /	guxa-taNxula-Adi-pAka-Adizu-evam-eva pAka-tva-Adi /
   bālavṛddhaśukādyudīriteṣu ḍitthādiśabdeṣu ca pratikṣaṇaṃ bhidyamāneṣu	bAla-vRdDa-Suka-Adi-udIritezu xitTa-Adi-Sabdezu ca pratikzaNam BidyamAnezu
   ḍitthādyartheṣu vā ḍitthatvādyastīti sarveṣāṃ śabdānāṃ jātireva	xitTa-Adi-arTezu vA xitTa-tva-Adi-asti-iti sarvezAm SabdAnAm jAtiH-eva
   pravṛttinimittamityanye /	pravRtti-nimittam-iti-anye /
   tadvān apoho vā śabdārthaḥ kaiśvidukta iti granthagauravabhayāt	tadvAn apohaH vA Sabda-arTaH kESvid-uktaH iti granTa-gOrava-BayAt-
   prakṛtānupayogācca na darśitam //	prakRta-anupayogAt-ca na darSitam //
   (sū- 11)	(sU 11)
   sa mukhyo 'rthastatra mukhyo vyāpāro 'syābhidhocyate // 8 //	sa muKyaH arTaH-tatra muKyaH vyApAraH asya-aBiDA-ucyate // 8 //
   sa iti sākṣātsaṃketitaḥ /	saH iti sAkzAt-saMketitaH /
   asyeti śabdasya //	asya-iti Sabdasya //
   (sū- 12)	(sU 12)
   mukhyārthabādhe tadyoge rūḍhito 'tha prayojanāta /	muKya-arTa-bADe tad-yoge rUXitaH aTa prayojanAta /
   anyo 'rtho lakṣyate yatsā lakṣaṇāropitā kriyā // 9 //	anyaH arTaH lakzyate yat-sA lakzaNa-AropitA kriyA // 9 //
   "karmaṇi kuśalaḥ'; ityādau darbhagrahaṇādyayogāt "gaṅgāyāṃ ghoṣaḥ';	"karmaNi kuSalaH-a; ityAdO darBa-grahaNa-Adya-yogAt "gaFgAyAm GozaH-a;
   ityādau ca gaṅgādīnāṃ ghoṣādyādhāratvāsaṃbhavot mukhyārthasya bādhe	ityAdO ca gaFgA-AdInAm Goza-Adi-ADAra-tva-asaMBavot muKya-arTasya bADe
   vivecakatvādau sāmīpye ca saṃbandhe rūḍhitaḥ prasiddheḥ, tathā gaṅgātaṭe	vivecaka-tva-AdO sAmIpye ca saMbanDe rUXitaH prasidDeH, taTA gaFgA-tawe
   ghoṣa ityādeḥ prayogāt yeṣāṃ na tathā pratipattiḥ, teṣāṃ pāvanatvādīnāṃ	GozaH iti-AdeH prayogAt yezAm na taTA pratipattiH, tezAm pAvana-tva-AdInAm
   dharmāṇāṃ tathāpratipādanātmanaḥ prayojanācca mukhyena amukhyo 'rtho	DarmANAm taTA-apratipAdana-AtmanaH prayojanAt-ca muKyena amuKyaH arTaH-
   lakṣyate yat sa āropitaḥ śabdavyāpāraḥ sāntarārthaniṣṭho lakṣaṇā /	lakzyate yat saH AropitaH Sabda-vyApAraH sAntara-arTa-nizWaH lakzaNA /
   (sū- 13)	(sU 13)
   svasiddhaye parākṣepaḥ parārthaṃ svasamarpaṇam /	sva-sidDaye parAkzepaH para-arTam sva-samarpaNam /
   upādānaṃ lakṣaṇaṃ cetyuktā śuddhaiva sā dvidhā // 10 //	upAdAnam lakzaNam ca-iti-uktA SudDA-eva sA dviDA // 10 //
   "kuntāḥ praviśanti'; "yaṣṭayaḥ praviśanti'; ityādau kuntādibhirātmanaḥ	"kuntAH praviSanti-a; "yazwayaH praviSanti-a; ityAdO kunta-AdiBiH-AtmanaH
   praveśasiddhyarthaṃ svasaṃyoginaḥ puruṣā ākṣipyante /	praveSa-sidDi-arTam sva-saMyoginaH puruzAH Akzipyante /
   tata upādāneneyaṃ lakṣaṇā /	tatas upAdAnena-iyam lakzaNA /
   "gauranubandhyaḥ" ityādau śruticoditamanubandhanaṃ kathaṃ me syāditi jātyā	"gOH-anubanDyaH" ityAdO Sruti-coditam-anubanDanam kaTam me syAt-iti jAtyA
   vyaktirākṣipyate na tu śabdenocyate "viśeṣyaṃ nābhidhā gacchet	vyaktiH-Akzipyate na tu Sabdena-ucyate "viSezyam na-aBiDA gacCet-
   śrīṇaśaktirviśepaṇe" iti nyāyādityupādānalakṣaṇā tu nodāhartavyā /	SrINa-SaktiH-viSepaNe" iti nyAyAt-iti-upAdAna-lakzaNA tu na-udAhartavyA /
   na hyatra prayojanamasti na vā ruḍhiriyam /	na hi-atra prayojanam-asti na vA ruXiH-iyam /
   vyaktyavinābhāvitvāttu jātyā vyaktirākṣipyate /	vyakti-avinABOvi-tvAt-tu jAtyA vyaktiH-Akzipyate /
   yathā kriyatāmityatra kartā /	yaTA kriyatAm-iti-atra kartA /
   kurvityatra karma /	kurviti-atra karma /
   praviśa piṇḍīmityādau gṛhaṃ bhakṣayetyādi ca /	praviSa piNxIm-iti-AdO gRham Bakzaya-ityAdi ca /
   "pīno devadatto divā nabhuṅkte'; ityatra ca rātribhojanaṃ na lakṣyate	"pInaH devadattaH divA na-BuFkte-a; iti-atra ca rAtri-Bojanam na lakzyate
   śrutārthāpatterarthāpattervā tasya viṣayatvāt /	Sruta-arTApatteH-arTa-ApatteH-vA tasya vizaya-tvAt /
   "gaṅgāyāṃ ghoṣaḥ'; ityatra taṭasya ghoṣādhikaraṇatvasiddhaye gaṅgāśabdaḥ	"gaFgAyAm GozaH-a; iti-atra tawasya Goza-aDikaraNa-tva-sidDaye gaFgA-SabdaH
   svārthamarpayati, ityevamādau lakṣaṇenaiṣā lakṣaṇā /	sva-arTam-arpayati, iti-evamAdO lakzaNena-ezA lakzaNA /
   ubhayarupā ceyaṃ śuddhā /	uBaya-rupA ca-iyam SudDA /
   upacāreṇāmiśritatvāt /	upacAreNa-AmiSrita-tvAt /
   anayorlakṣyasya lakṣakasya ca na bhedarūpaṃ tāṭasthayam /	anayoH-lakzyasya lakzakasya ca na Beda-rUpam tAwa-sTayam /
   taṭādīnāṃ gaṅgādiśabdaiḥ pratipādane tacvapratipattau hi	tawa-AdInAm gaFgA-Adi-SabdEH pratipAdane tacu-apratipattO hi
   pratipipādayiṣitaprayojanasaṃpratyayaḥ /	pratipipAdayizita-prayojana-saMpratyayaH /
   gahgāsaṃbandhamātraprātītau tu gaṅgātaṭe ghoṣa iti	gahgA-saMbanDa-mAtra-prAtItO tu gaFgA-tawe GozaH iti
   mukhyaśabdābhidhānāllakṣaṇāyāḥ ko bhedaḥ //	muKya-Sabda-aBiDAnAt-lakzaNAyAH kaH BedaH //
   (sū- 14)	(sU 14)
   sāropānyā tu yatroktau viṣayī viṣayasyathā //	sAra-upAnyA tu yatra-uktO vizayI vizayasyaTA //
   āropyamāṇaḥ, āropaviṣayaśva yatrānapahnutabhedau sāmānādhikaraṇyena	AropyamANaH, Aropavizaya-Sva yatra-anapahnuta-BedO sAmAnADikaraNyena
   nirdiśyete sā lakṣaṇā sāropā //	nirdiSyete sA lakzaNA sAra-upAH //
   (sū- 15)	(sU 15)
   viṣayyantaḥkṛte 'nyasmin sā syātsādhyavasānikā // 11 //	vizayi-antaHkRte anyasmin sA syAt-sADyavasAnikAH // 11 //
   viṣayiṇāropyamāṇenāntaḥkṛte nigīrṇe, anyasminnāropaviṣaye sati	vizayiNA-AropyamANena-antar-kRte nigIrNe, anyasmin=-Ara-upavizaye sati
   sādhyavasānā syāt //	sADyavasAnA syAt //
   (sū- 16)	(sU 16)
   bhedāvimau ca sādṛśyātsaṃbandhāntaratastathā /	BedO=-imO ca sAdRSyAt-saMbanDa-antarataH-taTA /
   gauṇau śuddhau ca vijñeyau	gONO SudDO ca vijQeyO
   imāvāropādhyavasānarūpau sādṛśyahetū bhedau "gaurvāhīkaḥ'; ityatra	imAvAra-upADi-avasAna-rUpO sAdRSya-hetU BedO "gOrvAhIkaH-a; iti-atra
   "gaurayam'; ityatra ca /	"gOrayam-a; iti-atra ca /
   atra hi svārthasahacāriṇo guṇā jāḍyamāndyādayo lakṣyamāṇā api gośabdasya	atra hi sva-arTa-sahacAriNaH guNAH jAxya-mAndya-AdayaH lakzyamANAH api go-Sabdasya
   parārthābhidhāne pravṛttinimittetvamupayānti, iti kecit /	para-arTa-aBiDAne pravRtti-nimittetvam-upayAnti, iti kecid /
   svārthasahacāriguṇābhedena parārthagatā guṇā eva lakṣyante na parārtho	sva-arTa-sahacAri-guNa-aBedena para-arTa-gatAH guNAH eva lakzyante na para-arTaH-
   'bhidhīyate, ityanye /	aBiDIyate, iti-anye /
   sādhāraṇaguṇāśrayatvena parārtha eva lakṣyate, ityapare /	sADAraNa-guNa-ASraya-tvena para-arTaH eva lakzyate, iti-apare /
   uktaṃ cānyatra "abhidheyāvinābhūtapratītirlakṣaṇocyate /	uktam ca-anyatra "aBiDeyAvinABUtapratItiH-lakzaNa-ucyate /
   lakṣyamāṇaguṇairyogādvṛtteriṣṭā tu gauṇatā" iti /	lakzyamANa-guNEH-yogAt-vRtteH-izwA tu gONa-tA" iti /
