   īśvarasiddhiḥ /	ISvara-sidDiH /
   sarveśvarasya vaśe - icchāyāṃ saṅkalpalakṣaṇāyāṃ pravartateprakarṣeṇa	sarva-ISvarasya vaSe  icCAyAm saFkalpa-lakzaNAyAm pravartateprakarzeNa
   vartate - asaṅkīrṇasvarūpasvabhāvavyavasthamāste, pravartate ca sve sve	vartate  asaFkIrNa-svarUpa-svaBAva-vyavasTam-Aste, pravartate ca sve sve
   karmaṇi yathāyathamiti kṛtsnasya	karmaNi yaTAyaTam-iti kRtsnasya
   sarveśvarasaṅkalpādhīnasvarūpasthitipravṛttikatvaṃ sādhayituṃ - pramāṇato	sarva-ISvara-saFkalpa-aDIna-svarUpa-sTiti-pravRttika-tvam sADayitum  pramANataH-
   vyavasthāpayituṃ, prathamataḥ pūrvapakṣaṃ varṇayāma iti kārikārthaḥ / atra	vyavasTApayituM, praTamatas pUrva-pakzam varNayAmaH iti kArikA-arTaH / atra
   tatreti prakāntaparāmarśakatacchabdanirdeśādetatpūrvatanaḥ	tatra-iti prakAnta-parAmarSaka-tad-Sabda-nirdeSAt-etat-pUrvatanaH
   kaścaneśvarasiddhagranthabhāgaḥ syāt , yo bahoḥ kālātpūrvamevavilupta	kaScana-ISvara-sidDa-granTa-BAgaH syAt , yaH bahoH kAlAt-pUrvam-eva-vilupta
   ityabhyūhyate 1	iti-aByUhyate 1
   vyavasthitamitasvārthaṃ na tāvadiha laukikam /	vyavasTita-mitasva-arTam na tAvat-iha lOkikam /
   sādhanaṃ tena sarvārthatajjñānāderasiddhitaḥ // 2 //	sADanam tena sarva-arTa-tad-jQAna-AdeH-asidDitaH // 2 //
   sarvārthadarśanaśaktiśālinamavagamayatā hi	sarva-arTa-darSana-Sakti-SAlinam-avagamayatA hi
   deśakālasvabhāvaviprakarṣavyavadhānajuṣaḥ sarva evārthāstaddarśanaṃ	deSa-kAla-svaBAva-vipra-karza-vyavaDAna-juzaH sarve eva-arTAH-tad-darSanam
   śaktiśca gocarayitavyāni / na ca	SaktiH-ca gocarayitavyAni / na ca
   vidyamānendriyasannikarṣayogyakatipayaviṣayanipatavṛtterlaukikapratyakṣasya	vidyamAna-indriya-sannikarza-yogya-kati-paya-vizaya-nipata-vRtteH-lOkika-pratyakzasya
   niravadhirayaṃ mahimā saṃbhāvanābhūmiriti kathamiva tadiha sādhanamiti	niravaDiH-ayam mahimA saMBAvanA-BUmiH-iti kaTam-iva tat-iha sADanam-iti
   manyemahi/	manyemahi/
   'nāyam' iti / sarvārthasākṣātkakārasarvakāryopajananaśakti	anAyam-a iti / sarva-arTa-sAkzAt-kakAra-sarva-kArya-upajanana-Sakti
   sampannaścetanaviśeṣa īśvaraśabditaḥ sādhakābhāvādbādhakabalācca	sampannaH-cetana-viSezaH ISvara-SabditaH sADaka-aBAvAt-bADaka-balAt-ca
   nāṅgīkartuṃ yogya ityarthaḥ / ' atipatite ' ti / atipatitā - apakrāntā	na-aFgIkartum yogyaH iti-arTaH / a atipatite a ti / ati-patitA  apakrAntA
   sakalasādhakapramāṇasambhāvanā yasyāḥ evambhūtā bhūmirviṣayaḥ, tattvāt -	sakala-sADaka-pramANa-samBAvanAH yasyAH evamBUtAH BUmiH-vizayaH, tattvAt -
   vyapetasakalasādhakapramāṇasambhāvanātmakaviṣayatvādityarthaḥ / atra iti	vyapeta-sakala-sADaka-pramANa-samBAvana-Atmaka-vizaya-tvAt-iti-arTaH / atra iti
   'atipatitasakalasādhakapramāṇasaṃbhāvanābhūmitvatvā' diti 'atipatitasakala	aati-patita-sakala-sADaka-pramANa-saMBAvanA-BU-mi-tva-tvA-a diti aatipatita-sakala
   sādhakapramāṇasaṃbhāvanābhūmitvatvā'diti vā pāṭhaḥ sambhāvyate / 'sphuṭe'	sADaka-pramANa-saMBAvanA-BU-mi-tva-tvA-aditi vA pAWaH samBAvyate / asPuwe-a
   ti / sphuṭāni - prasiddhāni vividhāni bādhakāni	ti / sPuwAni  prasidDAni viviDAni bADakAni
   yasyaivambhūtatvāccetyarthaḥ / upakṣiptayorīśvare	yasya-evamBUta-tvAt-ca-iti-arTaH / upakziptayoH-ISvare
   sādhakābhāvabādhakabhāvayoḥ sādhakābhāvaṃ tāvadādau	sADaka-aBAva-bADaka-BAvayoH sADaka-aBAvam tAvat-AdO
   samarthayitumupakramate 'tathāhi'tyādinā / anyat - anumānādi /	samarTayitum-upakramate ataTA-ahi-atyAdinA / anyat  anumAna-Adi /
   laukikasyendriyārthasannikarṣajasya pratyakṣasyeśvarāsādhakatāmupapādayati	lOkikasya-indriya-arTa-sannikarza-jasya pratyakzasya-ISvara-asADaka-tAm-upapAdayati
   'vyavasthite'ti / hetugarbhamidaṃ viśeṣaṇam / laukikapratyakṣasya viṣayā	avyavasTite-ati / hetu-garBam-idam viSezaNam / lOkika-pratyakzasya vizayA
   yataḥ parimitā vyavasthitāśca, ata ityarthaḥ / iha - īśvare viṣaye /	yatas parimitAH vyavasTitAH-ca, atas iti-arTaH / iha  ISvare vizaye /
   sādhanaṃsādhakam / pramāṇamiti yāvat / tena - laukikapratyakṣeṇa /	sADanaMsa-aDakam / pramANam-iti yAvat / tena  lOkika-pratyakzeNa /
   asiddhitaḥ -aprakāśataḥ / ayaṃ bhāvaḥ - cākṣuṣasya tāvat pratyakṣasya	asidDitaH -a-prakASataH / ayam BAvaH  cAkzuzasya tAvat pratyakzasya
   rūparūpirūpaikārthasamavetasaṅkhyādaya eva viṣayāḥ, na tu rasādaya iti	rUpa-rUpi-rUpa-eka-arTa-samaveta-saFKI-A-AdayaH eva vizayAH, na tu rasa-AdayaH iti
   parimitatā / udbhūtānabhibhūtameva rūpaṃ mahattvaikādhikaraṇaṃ grāhyaṃ na	parimita-tA / udBUtAn-aBiBUtam-eva rUpam mahattva-eka-aDikaraNam grAhyam na
   tu paramāṇvādigatamiti tatrāpi vyavasthitatā / evaṃ rāsanādiṣvapi bodhyam	tu paramANu-Adi-gatam-iti tatra-api vyavasTita-tA / evam rAsana-Adizu-api boDyam
   / evaṃbhūtasya caindriyikapratyakṣasya sarvārthāderaprakāśakatvānneśvare	/ evaMBUtasya ca-Endriyika-pratyakzasya sarva-arTa-AdeH-aprakASaka-tvAt-na-ISvare
   pramāṇatvaṃ sambhavati / sarvārthadarśanakaraṇasāmarthyaviśiṣṭo	pramANa-tvam samBavati / sarva-arTa-darSana-karaNa-sAmarTya-viSizwaH-
   hyabhimataḥ saḥ / sarvārthasya tadgrahaṇasya tacchakteśca grahaṇamantarā	hi-aBimataH saH / sarva-arTasya tad-grahaNasya tat-SakteH-ca grahaNam-antarA
   ca na tasya grahaṇaṃ ghaṭate / sarvārtheṣvayogyānāmapi	ca na tasya grahaNam Gawate / sarva-arTezu-ayogyAnAm-api
   praviṣṭatvācchakteścātīndriyatvāt , jñānasya	pravizwa-tvAt-SakteH-ca-atIndriya-tvAt , jQAnasya
   bahirindriyāgrāhyatvādvāhyārthānāṃ ca kevalena manasāgrahānnendriyeṇa	bahis-indriya-agrAhya-tvAt-vAhya-arTAnAm ca kevalena manasA-agrahAt-na-indriyeNa
   kenāpi sarvārthādergrahaṇam / tadgrahaṇamantarā ca na viśiṣṭeśvaragrahaṇam	kena-api sarva-arTa-AdeH-grahaNam / tad-grahaNam-antarA ca na viSizwa-ISvara-grahaNam
   'nāgṛhītaviśeṣaṇe' ti nyāyāt / tadaindriyikalaukikapratyakṣaṃ neśvare	anAgRhIta-viSezaNe-a ti nyAyAt / tad-A-Endriyika-lOkika-pratyakzam na-ISvare
   pramāṇaṃ bhavitumarhatīti // 2 //	pramANam Bavitum-arhati-iti // 2 //
   nāpi yogipratyakṣamasya sādhakam ; yataḥ -	na-api yogi-pratyakzam-asya sADakam ; yatas -
   pratyakṣatve tadapyevaṃ vidyamānaikagocaram /	pratyakza-tve tat-api-evam vidyamAna-eka-gocaram /
   bhūtādigocaraṃ naiva pratyakṣaṃ pratibhādivat // 3 //	BUta-Adi-gocaram na-eva pratyakzam pratiBA-Adi-vat // 3 //
   tat khalu yogivijñānamaindriyikaṃ na vā ? aindriyikamapi	tat Kalu yogi-vijQAnam-Endriyikam na vA ? Endriyikam-api
   bahirindriyasambhavamāntarakaraṇajanitaṃ vā ? bahirindriyāṇi	bahis-indriya-samBavam-Antara-karaNa-janitam vA ? bahis-indriyANi
   tāvatsamadhigatanijaviṣayasannikarṣasahakārīṇi tadgocarajñānajananānīti	tAvat-samaDi-gata-nija-vizaya-sannikarza-saha-kArINi tad-gocara-jQAna-jananAni-iti
   jagati viditam / ato na rasanādibhirajātātivṛttavyavahitādi	jagati viditam / atas na rasanA-AdiBiH-ajAta-ativRtta-vyavahita-Adi
   sakalaviṣayavedanaprasaṅgaḥ / na cāvidyamānairajātādibhiḥ saṃbhavati	sakala-vizaya-vedana-prasaFgaH / na ca-avidyamAnEH-ajAta-AdiBiH saMBavati
   sannikarṣaḥ ; tasya dvyāśrayatvādāśrayābhāve tadasambhavāt / ato	sannikarzaH ; tasya dvi-ASraya-tvAt-ASraya-aBAve tad-asamBavAt / atas-
   'pekṣitor'thasannikarṣaḥ / sahakārivirahe	apekzitor-aTa-sannikarzaH / sahakAri-virahe
   kathamindriyāṇyatītādiviṣayasākṣātkārāya kalperan? / bhavati ca - yat	kaTam-indriyANi-atIta-Adi-vizaya-sAkzAtkArAya kalperan? / Bavati ca  yat-
   yatsahakāri yatkāryajananam , tattadabhāve na tajjanayati ; yathā	yad-sahakAri yat-kArya-jananam , tad-tad-aBAve na tat-janayati ; yaTA
   kṣitisalilasahakāri aṅkarakāryajananabījaṃ kṣityādyabhāve 'ṅkaram /	kziti-salila-sahakAri aFkara-kArya-janana-bIjam kziti-Adi-aBAve aFkaram /
   arthasannikarṣasahakārīṇi bahirindriyāṇi jñānajananānīti tānyapi nātīte	arTa-sannikarza-sahakArINi bahis-indriyANi jQAna-jananAni-iti tAni-api na-atIte
   'nāgate vār'the jñānaṃ janayantīti na tadupajanitaṃ pratyakṣaṃ	anAgate vAr-aTe jQAnam janayanti-iti na tad-upajanitam pratyakzam
   yathoktaviṣayaniyamamatikrāmati / nāpyāntarakaraṇasambhavam , āntaragocara	yaTA-ukta-vizaya-niyamam-atikrAmati / na-apyAntara-karaNa-samBavam , Antara-gocara
   eva sukhādau svāntasvātatryāt / bāhyaviṣayamitiṣu ca manaso	eva suKa-AdO svAnta-svAtatryAt / bAhya-vizaya-m-itizu ca manasaH-
   niraṅkuśakaraṇatāṅgīkāre hi kṛtaṃ cakṣurādibhiḥ / ataśca na kaścidandho	niraFkuSa-karaNa-tA-aFgIkAre hi kRtam cakzuH-AdiBiH / atas-ca na kaScid-anDo
   badhiro vā bhavet / bhavati cātra - vimatipadaṃ mano	baDiraH vA Bavet / Bavati ca-atra  vimati-padam manaH-
   bahirindriyanirapekṣaṃ na bāhyapratyakṣagocare pravartate, tatra	bahis-indriya-nirapekzam na bAhya-pratyakza-gocare pravartate, tatra
   tattantravṛttitvāt / yadyatra yattantravṛtti na tattannirapekṣaṃ tatra	tad-tantra-vRtti-tvAt / yadi-atra yat-tantra-vRtti na tad-tad-nirapekzam tatra
   pravartate, yathā'lokāpekṣapravṛtti cakṣuḥ svagocare 'ndhatamasa iti / na	pravartate, yaTA-aloka-apekza-pravRtti cakzuH sva-gocare anDatamasaH iti / na
   ca siddhauṣadhamatpratapaḥsamādhimahimasamāsāditātiśayānīndriyāṇi	ca sidDOzaDa-mad-pratapaH-samADi-mahima-samAsAdita-atiSayAni-indriyANi
   kadācidapajahati samādhigataviṣayaniyamamiti sambhavati ;	kadAcid-apajahati samADi-gata-vizaya-niyamam-iti samBavati ;
   sāṃsiddhikasāmarthyāvirbhāvaikaphalatvātteṣām , sāmarthyasya ca	sAMsidDika-sAmarTI-a-AvirBAva-eka-Pala-tvAt-tezAm , sAmarTyasya ca
   pratiniyamāt / na khalu suprayuktabheṣajaśatavihitasaṃskāramapi śrotraṃ	pratiniyamAt / na Kalu su-prayukta-Bezaja-Sata-vihita-saMskAram-api Srotram
   rūparasavibhāgāvagamāya kalpate / bhavati ca -	rUpa-rasa-viBAga-avagamAya kalpate / Bavati ca -
   vivādādhyāsitabāhyabhyantarakaraṇapāṭavātiśayo 'nullaṅghitasīmā,	vivAda-aDyAsita-bAhi-aByantara-karaNa-pAwava-atiSayaH anullaFGita-sImA,
   aindriyikaprakarṣatvāt , dṛśyamānatatprakarṣavat ityaindriyikaṃ jñānaṃ	Endriyika-prakarza-tvAt , dRSyamAna-tat-prakarza-vat iti-Endriyikam jQAnam
   nātītādi gocarayati /	na-atIta-Adi gocarayati /
   bhāvanāprakarṣaparyantajanmanastu satyapi viśadanirbhāsatve prācyānu	BAvanA-prakarza-paryanta-janmanaH-tu sati-api viSada-nirBAsa-tve prAcya-anu
   bhavagocarādanadhikamadhikaṃ vādhyavasyataḥ smṛtivibhramastrotasoranya	Bava-gocarAt-anaDikam-aDikam vA-aDyavasyataH smRti-viBramaH-trotasoH-anya
   tarāvartaparivartinaḥ kutaḥ prāmāṇyakūlapratilambhaḥ ? kutastarāṃ ca	tara-Avarta-parivartinaH kutas prAmANya-kUla-pratilamBaH ? kutastarAm ca
   pratyakṣatayottambhanam ? / pratyakṣasya vā sataḥ kathamiva	pratyakza-tayA-uttamBanam ? / pratyakzasya vA sataH kaTam-iva
   viditaviṣayaniyamavyatikramaḥ ? atikrāmato vā kutaḥ pratkṣatvamiti na	vidita-vizaya-niyama-vyatikramaH ? atikrAmataH vA kutas pratkza-tvam-iti na
   viśvānubhavaiśvaryaśālini pratyakṣaṃ pramāṇam /	viSva-anuBava-ESvarya-SAlini pratyakzam pramANam /
   (itīśvare pratyakṣapramāṇanirasanam)	(itISvare pratyakza-pramANa-nirasanam)
   nāpi pramāṇāntaram / tatsvalvanumānamāgamo vā ? anumānamapi viśeṣatodṛṣṭaṃ	na-api pramANa-antaram / tat-svalvanumAnam-AgamaH vA ? anumAnam-api viSezataH-dRzwam
   sāmānyatodṛṣṭaṃ vā ? tatra sakalapadavīdavīyasi bhagavati na	sAmAnyatodRzwam vA ? tatra sakala-padavIdavIyasi Bagavati na
   tāvatsvalakṣaṇasākṣātkārapūrvakāvinābhāvāvadhāraṇādhīnodayatvādidamanumānamudatumalam	tAvat-sva-lakzaNa-sAkzAtkAra-pUrvakA-vinA-aBAva-avaDAraNa-aDIna-udaya-tvAt-idam-anumAnam-udatumalam
   / na hyanavagatacarahutabhujastadavinābhāvitayā dhūmamanusandhātumīśate /	/ na hi-anavagata-cara-hutaBujaH-tad-avinA-BAvitayA DUmam-anusanDAtum-ISate /
   naca sarvārthanirmāṇasākṣātkārapaṭīyasi liṅgaṃ sāmānyatodṛṣṭamapi kiñcana	na-ca sarva-arTa-nirmANa-sAkzAtkAra-pawIyasi liFgam sAmAnyatodRzwam-api kiQcana
   labhyate/	laByate/
   (itīśvare 'numānasya prāmāṇyāsambhavopakṣepaḥ)	(iti-ISvare anumAnasya prAmANya-asamBava-upakzepaH)
   'vyavasthite'tyādīkārikārthaṃ svayameva vivṛṇoti 'sarvārthe'ti /	avyavasTite-ati-AdIkArika-arTam svayam-eva vivRNoti asarva-arTe-ati /
   avagamayatā - gṛhṇatā / avagamayanta iti pūrvamudritapāṭho 'śuddhaḥ /	avagamayatA  gRhNatA / avagamayante iti pUrva-mudrita-pAWaH aSudDaH /
   deśaviprakarṣo dūradeśasthatvam / kālaviprakarṣo 'tītatvamanāgatatvaṃ ca /	deSa-viprakarzaH dUra-deSa-sTa-tvam / kAla-viprakarzaH atIta-tvam-anAgata-tvam ca /
   svabhāvaviprakarṣo 'yogyatvamatīndriyatvarūpam / yogyānāmapi	svaBAva-viprakarzaH ayogya-tvam-atIndriya-tva-rUpam / yogyAnAm-api
   kuḍyādivyavahitānāṃ cakṣurādināgrahaṇaṃ dṛṣṭam / sarvārtheṣvevambhūtā api	kuxya-Adi-vyavahitAnAm cakzuH-AdinA-agrahaNam dRzwam / sarva-arTezu-evamBUtAH api
   padārthāḥ praviṣṭā iti bhāvaḥ / evakāro 'pyarthe / gocarayitavyāni -	padArTAH pravizwAH iti BAvaH / eva-kAraH api-arTe / gocarayitavyAni -
   viṣayīkaraṇīyāni / 'napuṃsakamanapuṃsakene'ti klībaikaśeṣanirdeśo 'yam / '	vizayIkaraNIyAni / anapuMsakam-anapuMsakene-ati klIba-eka-Seza-nirdeSaH ayam / a
   na ce ' ti / vidyamānetyanena kālaviprakṛṣṭasya vyavacchedaḥ /	na ce a ti / vidyamAnA-iti-anena kAla-viprakRzwasya vyavacCedaH /
   indriyasannikarṣayogyetyanena vyavahitasya deśaviprakṛṣṭasya ca /	indriya-sannikarza-yogyA-iti-anena vyavahitasya deSa-viprakRzwasya ca /
   katipayetyanenātīndriyasya / katipayaviṣayaniyatavṛtteḥ -	katipaya-iti-anena-atIndriyasya / katipaya-vizaya-niyata-vRtteH -
   niruktavidhakakatipayapadārthamātragrahaṇānuguṇavyāpāravataḥ /	nirukta-viDaka-katipaya-padArTa-mAtra-grahaNa-anuguNa-vyApAravataH /
   niravadhirmahimā apakarṣāsamānādhikaraṇotkarṣaḥ / sa ca jñānasya	niravaDiH-mahimAH apakarza-asamAna-aDikaraNa-utkarzaH / sa ca jQAnasya
   sarvārthagocaratvarūpaḥ / tat - laukikapratyakṣam / iha -	sarva-arTa-gocara-tva-rUpaH / tat  lOkika-pratyakzam / iha -
   sarvadarśitvādiviśiṣṭa īśvare / sādhanaṃ - pramāṇam / śiṣṭaṃ spaṣṭam /	sarva-darSi-tva-Adi-viSizwaH ISvare / sADanam  pramANam / Sizwam spazwam /
   yogipratyakṣasyāpīśvarāsādhakatvaṃ sādhayati 'pratyakṣatva' iti /	yogi-pratyakzasya-api-ISvara-asADaka-tvam sADayati apratyakzatva-a iti /
   pratyakṣatvavyāpakatvādvartamānārthagrāhakatvasya yogijñānamapi pratyakṣaṃ	pratyakza-tu-a-vyApaka-tvAt-vartamAna-arTa-grAhaka-tvasya yogi-jQAnam-api pratyakzam
   cedvartamānaikagrāhi	ced-vartamAna-eka-grAhi
   bhavediti na tasya sarvārthagrāhakatvam / atītādilaviṣayatve vā na	Bavet-iti na tasya sarva-arTa-grAhaka-tvam / atIta-Adilavizaya-tve vA na
   tatpratyakṣaṃ bhavet / kintu pratibhādijñānavadupanītabhānaviśeṣarūpameva	tad-pratyakzam Bavet / kintu pratiBA-Adi-jQAna-vat-upanIta-BAna-viSeza-rUpam-eva
   saṃśayādisahamiti na pramāṇatāmanubhavitumalamīśvara ityarthaḥ//3//	saMSaya-Adi-saham-iti na pramANa-tAm-anuBavitum-alam-ISvaraH iti-arTaH//3//
   nanvekacetanādhīnaṃ vivādādhyāsitaṃ jagat /	nanu-eka-cetanA-aDInam vivAda-aDyAsitam jagat /
   acetanenārabdhatvādarogasvaśarīravat // 4 //	acetanena-ArabDa-tvAt-aroga-sva-SarIra-vat // 4 //
   tathā sarvārthanirmāṇasākṣātkaraṇakauśalam /	taTA sarva-arTa-nirmANa-sAkzAt-karaNa-kOSalam /
   kāryatvādeva jagatastatkarturanumīyatām // 5 //	kArya-tvAt-eva jagataH-tat-kartuH-anumIyatAm // 5 //
   sarvaṃ hi	sarvam hi
   kāryamupādānopakaraṇasampradānaprayojanasaṃvedicetanaracitamavagataṃ	kAryam-upAdAna-upakaraNa-sampradAna-prayojana-saMvedi-cetana-racitam-avagatam
   ghaṭamaṇikakagṛhādi / kāryaṃ ca vimatipadamavanigirimahārṇavādīti tadapi	Gawa-maNikaka-gRha-Adi / kAryam ca vimati-padam-avani-giri-mahA-arNava-Adi-iti tat-api
   tathāvidhabuddhimaddhetukamadhyavasīyate / na ca kāryatvamasiddhamiti	taTAviDa-budDimat-hetuka-maDyavasIyate / na ca kArya-tvam-asidDam-iti
   vācyam , avayavasanniveśādibhirhetubhistatsiddheḥ / iha cāntyāvayavibhyaḥ	vAcyam , avayava-sanniveSa-AdiBiH-hetuBiH-tad-sidDeH / iha ca-antya-avayaviByaH
   prabhṛti	praBRti
   ādvyaṇukakamakhilamavayavikramanihīyamānanānāvayavavyatiṣaṅgaviśeṣajanitamavagatam	Advi-aNukakam-aKilam-avaya-vikrama-nihIyamAna-nAnA-avayava-vyatizaFga-viSeza-janitam-avagatam
   ityantata upādānaṃ caturvidhāḥ paramāṇavaḥ prapañcasya /	iti-antataH upAdAnam caturviDAH paramANavaH prapaQcasya /
   teṣāmādiparispandaśca	tezAm-Adi-parispandaH-ca
   tadamuguṇādṛṣṭaviśiṣṭatattatkṣetrajñasaṃyogāsamavāyikāraṇakaka iti	tat-amuguNa-adRzwa-viSizwa-tad-tad-kzetrajQa-saMyoga-asamavAyi-kAraNakakaH iti
   upakaraṇamapi samastabhetrajñavartīni dharmādharmalakṣaṇānyadṛṣṭāni /	upakaraNam-api samasta-BetrajQa-vartIni Darma-aDarma-lakzaNAni-adRzwAni /
   prayojanaṃ	prayojanam
   punastadabhinirvartitavicitrārthakriyākāraścetanopakāraprakārabhedo	punar-tad-aBinirvartita-vicitra-arTa-kriyA-kAraH-cetana-upakAra-prakAra-BedaH-
   'payantaḥ / tadupabhujasta eva kṣetrajñāḥ samprdānam / na cāmī	apayantaH / tad-upaBujaH-te eva kzetrajQAH samprdAnam / na ca-amI
   svasamavāyināvapi dharmādharmāvalamavalokayitumiti tadatirekī	sva-samavAyinO=-api Darma-aDarmO=-alam-avalokayitum-iti tat-atirekI
   nikhilabhuvananirmāṇa nipuṇo	niKila-Buvana-nirmANa nipuNaH-
   'dhikaraṇasiddhāntasamadhigataniratiśayasahajasakalaviṣayasaṃvideśvaryaśakyatyatiśayaḥ	aDikaraNa-sidDAnta-samaDi-gata-niratiSaya-sahaja-sakala-vizaya-saMvideSvarya-Sakyati-atiSayaH
   puruṣadhaureyakaḥ kimiti na sāmānyatodṛṣṭaliṅgādanumīyate ?	puruza-DOreyakaH kim-iti na sAmAnyatodRzwa-liFgAt-anumIyate ?
   (itīśvare sāmānyatodṛṣṭānumānasya pramāṇatāpratipādanam)	(iti-ISvare sAmAnyatodRzwa-anumAnasya pramANa-tA-pratipAdanam)
   tadidamaviditānumānavṛttasya svamatiracitataralatarkollasitamiti	tad-idam-avidita-anumAna-vRttasya sva-m-ati-racita-tarala-tarka-ulla-sitam-iti
   parihasanti mīmāsaṃkāḥ / tathāhi - kimidamekacetanādhīnatvaṃ nāmābhipretaṃ	parihasanti mImAsaMkAH / taTA-hi  kim-idam-eka-cetanA-aDIna-tvam nAma-aBipretam
   tanubhūvanādeḥ ? tadāyattatvamiti cet ;	tanu-BU-vana-AdeH ? tadA-Ayattatvam-iti ced ;
   ślokārthameva prapañcayati 'ta' dityādinā / 'samadhigate'tyādi	Sloka-arTam-eva prapaQcayati ata-a diti-AdinA / asam-aDigate-atyAdi
   bahuvrīhivṛttam / yaiḥ svayogyārthasannikarṣarūpasahakārikāraṇamadhigatam	bahu-vrIhi-vRttam / yEH sva-yogya-arTa-sannikarza-rUpa-sahakAri-kAraNam-aDigatam
   , evaṃbhūtāni cakṣurādīni	, evaMBUtAni cakzuH-AdIni
   svaviṣayapratyakṣajñānajanakānīti loke prasiddhamityarthaḥ / 'ata' iti /	sva-vizaya-pratyakza-jQAna-janakAni-iti loke prasidDam-iti-arTaH / aataa iti /
   yator'thasannikarṣasya sahakāritvaṃ prasiddhamanvayavyatirekābhyām , ata	yator-aTa-sannikarzasya sahakAri-tvam prasidDam-anvaya-vyatirekAByAm , ata
   ityarthaḥ / 'rasanādibhi'riti / 'nayanādibhi'riti pāṭhaḥ syādvā /	iti-arTaH / arasana-AdiBi-ariti / anayana-AdiBi-ariti pAWaH syAt-vA /
   ajātātivṛttau - āgāmyatītau / indriyeṇātītānāgatayoragrahaṇe prayojakaṃ	ajAta-ativRttO  AgAmi-atItO / indriyeNa-atIta-anAgatayoH-agrahaNe prayojakam
   sannikarṣābhāvamupapādayati 'na ce' ti / rajatādibhiriti mudritapāṭhastu	sannikarza-aBAvam-upapAdayati ana ce-a ti / rajata-AdiBiH-iti mudrita-pAWaH-tu
   na susaṅgataḥ / tasya - sannikarṣasya saṃyogalakṣaṇasya, dvyāśrayatvāt -	na su-saFgataH / tasya  sannikarzasya saMyoga-lakzaNasya, dvi-ASraya-tvAt -
   ubhayasamavāyikatvāt , āśrayābhāve - anyatarāśrayavirahe, tadasambhavāt -	uBaya-samavAyika-tvAt , ASraya-aBAve  anyatara-ASraya-virahe, tad-asamBavAt -
   sannikarṣotpattyayogāt / 'ataḥ' iti sahakāritvādityarthaḥ /	sannikarza-utpatti-ayogAt / aataHa iti sahakAri-tvAt-iti-arTaH /
   indriyeṇātītādigrahaṇāsambhavamupapādayati sahakārīti /	indriyeNa-atIta-Adi-grahaNa-asamBavam-upapAdayati sahakArI-iti /
   kāraṇābhāvātkāryābhāva iti bhāvaḥ / amumarthaṃ prayogārūḍhaṃ prapañcayati	kAraNa-aBAvAt-kAryA-BAvaH iti BAvaH / amum-arTam prayoga-ArUXam prapaQcayati
   bhavati ceti / yadityādyudāharaṇavākyam / yatsahakāri yasya	Bavati ca-iti / yat-iti-Adi-udAharaNa-vAkyam / yad-sahakAri yasya
