   Abhidharmasamuccaya	ABiDarma-samuccaya
   rūpaṇaṃ pradeśena rūpaṇaṃ ca / sparśena rūpaṇaṃ katamat /	rUpaNam pradeSena rUpaNam ca / sparSena rUpaNam katamat /
   karacaraṇapāṣāṇaśasradaṇḍaśītoṣṇakṣutpipāsāmaśakadaṃśasarpavṛścikādīnāṃ	kara-caraNa-pAzANa-Sasra-daNxa-SIta-uzNa-kzuD-pipAsA-maSaka-daMSa-sarpa-vRScika-AdInAm
   sparśena vyābādhanam / pradeśena rūpaṇaṃ katamat / deśena rūpaṇa midaṃ	sparSena vyAbADanam / pradeSena rUpaNam katamat / deSena rUpaNa midam
   cedaṃ ca rūpamevaṃ caivaṃ ca rūpamiti praṇihitāpraṇihitacetovitarkeṇa	ca-idam ca rUpam-evam ca-evam ca rUpam-iti praNihita-apraNihita-cetaH-vitarkeNa
   pratibimbacitrīkāratā // kiṃlakṣaṇā vedanā / anubhavalakṣaṇā vedanā /	pratibimba-citrIkAra-tA // kiMlakzaNA vedanA / anuBava-lakzaNA vedanA /
   nānāvidhānāṃ śubhaśubhānāṃ karmaṇāṃ phalavipākaṃ	nAnAviDAnAm SuBa-SuBAnAm karmaNAm Pala-vipAkam
   pratyanubhavantyanenetyanubhavaḥ // kiṃlakṣaṇā saṃjñā / saṃjānanālakṣaṇā	pratyanuBavanti-anena-iti-anuBavaH // kiMlakzaNA saMjQA / saMjAnanA-lakzaNA
   saṃjñā / saṃjñā nānādharmapratibimbodgrahaṇa (svabhāvā) yayā	saMjQA / saMjQA nAnA-Darma-pratibimba-udgrahaNa (svaBAvA) yayA
   draṣṭaśrutamatavijñātānarthān vyavaharati // kiṃlakṣaṇaḥ saṃskāraḥ /	drazwa-Sruta-mata-vijQAtAn-arTAn vyavaharati // kiMlakzaNaH saMskAraH /
   abhisaṃskāralakṣaṇaḥ saṃskāraḥ / saṃskārabhisaṃskāra (svabhāvo) yena	aBisaMskAra-lakzaNaH saMskAraH / saMskAra-BisaMskAraH (svaBAvo) yena
   kuśalākuśalāvyakṛteṣu pakṣeṣu cittaṃ prerayati / kiṃlakṣaṇaṃ (Abhidh-s 3)	kuSala-akuSalAvya-kRtezu pakzezu cittam prerayati / kiMlakzaNam (a-aBiD-H 3)
   vijñānam / vijānanālakṣaṇaṃ vijñānam / vijñānaṃ yena	vijQAnam / vijAnana-alakzaNam vijQAnam / vijQAnam yena
   rūpaśabdagandharasasparśadharmān nānā viṣayān vijānāti //	rUpa-Sabda-ganDa-rasa-sparSa-DarmAn nAnA vizayAn vijAnAti //
   cakṣurdhātuḥ kiṃlakṣaṇaḥ / yena cakṣuṣā rūpāṇi dṛṣṭavān paśyati yacca	cakzuH-DAtuH kiMlakzaNaH / yena cakzuzA rUpANi dRzwavAn paSyati yat-ca
   tasya bījamupacitamālayavijñānaṃ taccakṣuḥ // yathā cakṣurdhātulakṣaṇaṃ	tasya bIjam-upacitam-Alaya-vijQAnam tat-cakzuH // yaTA cakzuH-DAtu-lakzaNam
   tathā śrotraghrāṇajihyakāyamanodhātūnāmapi lakṣaṇāni / rūpadhātuḥ	taTA Srotra-GrANa-jihya-kAya-manaH-DAtUnAm-api lakzaNAni / rUpa-DAtuH
   kiṃlakṣaṇaḥ / rūpaṃ yaccakṣuṣā dṛṣṭaṃ dṛśyate ca yacca tatra	kiMlakzaNaH / rUpam yat-cakzuzA dRzwam dRSyate ca yat-ca tatra
   cakṣurdhātorādhipatyaṃ tadrūpadhātu lakṣaṇam / yathā rūpadhātu lakṣaṇaṃ	cakzuH-DAtoH-ADipatyam tad-rUpa-DAtu lakzaNam / yaTA rUpa-DAtu lakzaNam
   tathā śabdagandharasasparśadharmadhātūnāmapi lakṣaṇāni /	taTA Sabda-ganDa-rasa-sparSa-Darma-DAtUnAm-api lakzaNAni /
   cakṣūrvijñānadhātuḥ kiṃlakṣaṇaḥ / cakṣurāśrayā rūpālambanā	cakzUH-vijQAna-DAtuH kiMlakzaNaH / cakzuH-ASrayA rUpa-AlambanA
   rūpaprativijñaptiḥ yacca tasya bījamupacitaṃ / vipākālayavijñānaṃ	rUpa-prativijQaptiH yat-ca tasya bIjam-upacitam / vipAka-Alaya-vijQAnam
   taccakṣurvijñānadhātulakṣaṇam // yathā cakṣurvijñānadhātulakṣaṇaṃ tathā	tad-cakzuH-vijQAna-DAtu-lakzaNam // yaTA cakzuH-vijQAna-DAtu-lakzaNam taTA
   śrotraghrāṇajivhākāyamanovijñānadhātūnāmapi lakṣaṇāni //	Srotra-GrANa-jivhA-kAya-manaH-vijQAna-DAtUnAm-api lakzaNAni //
   āyatanaṃ kiṃlakṣaṇam / dhātuvad yathāyogaṃ veditavyam //	Ayatanam kiMlakzaNam / DAtu-vat yaTAyogam veditavyam //
   rūpaskandhavyavasthānaṃ katamat / yatkiṃcidrūpaṃ sarvaṃ taccatvāri	rUpa-skanDa-vyavasTAnam katamat / yat-kiMcid-rUpam sarvam tat-catvAri
   mahābhūtāni catvāri ca mahābhūtānyupādāya // katamāni catvāri mahābhūtāni	mahABUtAni catvAri ca mahABUtAni-upAdAya // katamAni catvAri mahABUtAni
   / pṛthivīdhātuḥ abdhātuḥ tejodhātuḥ vāyudhātuśca // pṛthivīdhātuḥ katamaḥ	/ pRTivI-DAtuH abDAtuH tejaH-DAtuH vAyuDAtuH-ca // pRTivI-DAtuH katamaH
   / kaṭhinatā // abdhātuḥ katamaḥ niṣyandatā // tejodhātuḥ katamaḥ / uṣṇatā	/ kaWina-tA // abDAtuH katamaH nizyandatA // tejaH-DAtuH katamaH / uzNa-tA
   // vāyudhātuḥ katamaḥ / kampanatā // upādāya rūpaṃ katamat /	// vAyuDAtuH katamaH / kampanatA // upAdAya rUpam katamat /
   cakṣurindriyaṃ śrotrendriyaṃ ghrāṇendriyaṃ jivhendriyaṃ kāyendriyaṃ	cakzuH-indriyam Srotra-indriyam GrANa-indriyam jivhA-indriyam kAya-indriyam
   rūpaśabdagandharasaspraṣṭavyānāmekadeśo dharmāyatanasaṃgṛhītaṃ ca rūpam //	rUpa-Sabda-ganDa-rasa-sprazwavyAnAm-eka-deSaH Darma-Ayatana-saMgRhItam ca rUpam //
   cakṣurindriyaṃ katamat / catvāri mahābhūtānyupādāya cakṣuvijñānā śrayo	cakzuH-indriyam katamat / catvAri mahABUtAni-upAdAya cakzu-vijQAnA SrayaH-
   rūpaprasādaḥ // śrotrendriyaṃ katamat / catvāri mahābhūtānyupādāya	rUpa-prasAdaH // Srotra-indriyam katamat / catvAri mahABUtAni-upAdAya
   śrotravijñānāśrayo rūpaprasādaḥ / ghrāṇendriyaṃ katamat / catvāri	Srotra-vijQAna-ASrayaH rUpa-prasAdaH / GrANa-indriyam katamat / catvAri
   mahābhūtānyupādāya ghrāṇavijñānāśrayo rūpaprasādaḥ // jivhendriyaṃ katamat	mahABUtAni-upAdAya GrANa-vijQAna-ASrayaH rUpa-prasAdaH // jivha-indriyam katamat-
   / catvāri mahabhūtānyupādāya jivhāvijñānaśrayo rūpaprasādaḥ // kāyendriyaṃ	/ catvAri maha-BUtAni-upAdAya jivhA-vijQAna-SrayaH rUpa-prasAdaH // kAya-indriyam
   katamat / catvāri mahābhūtānyupādāya kāyavijñānāśrayo rūpaprasādaḥ //	katamat / catvAri mahABUtAni-upAdAya kAya-vijQAna-ASrayaH rUpa-prasAdaH //
   rūpaṃ katamat / catvāri mahābhūtānyupādāya cakṣurindriyagocaro 'rthaḥ /	rUpam katamat / catvAri mahABUtAni-upAdAya cakzuH-indriya-gocaraH arTaH /
   yathā nīlaṃ pītaṃ lohitamavadātaṃ dīrghaṃ hrasvaṃ vṛttaṃ parimaṇḍalaṃ	yaTA nIlam pItam lohitam-avadAtam dIrGam hrasvam vRttam parimaNxalam
   sthūlaṃ sūkṣmamunnatamavanataṃ sātaṃ visātamātapaḥ chāyā āloko	sTUlam sUkzmam-unnatam-avanatam sAtam visAtam-AtapaH CAyA AlokaH-
   'dhakāramabhraṃ dhūmo rajo mahikā ca / abhyavakāśarūpaṃ vijñaptirūpaṃ	aDakAram-aBram DUmaH rajaH mahikA ca / aByavakASa-rUpam vijQapti-rUpam
   nabha ekavarṇaṃ rūpam // tat (Abhidh-s 4) punastridhā /	naBaH eka-varNam rUpam // tat (a-aBiD-H 4) punar-triDA /
   śobhanamaśobhanamubhayaviparītaṃ ca // śabdaḥ katamaḥ / catvāri	SoBanam-aSoBanam-uBaya-viparItam ca // SabdaH katamaH / catvAri
   mahābhūtānyupādāya śrotrendriyabrāhyo 'rthaḥ / manojño vā amanojño vā	mahABUtAni-upAdAya Srotra-indriya-brAhyaH arTaH / manojQaH vA amanojQaH vA
   ubhayaviparīto vā / upāttamahābhūtahetuko vā anupāttamahābhūtahetuko vā	uBaya-viparItaH vA / upAtta-mahABUta-hetukaH vA anupAtta-mahABUta-hetukaH vA
   tadubhayo bālokaprasiddho vā siddhopanīto vā parikalpito vā āryairdeśito	tat-uBayaH bAloka-prasidDaH vA sidDa-upanItaH vA parikalpitaH vA AryEH-deSitaH-
   vā tīrthaidaśito vā / gandhaḥ katamaḥ / catvāri mahābhūtānyupādāya	vA tIrTEdaSitaH vA / ganDaH katamaH / catvAri mahABUtAni-upAdAya
   ghrāṇendriyagrāhyo 'rthaḥ / yathā surabhirasurabhiḥ samagandhaḥ	GrANa-indriya-grAhyaH arTaH / yaTA suraBiH-asuraBiH sama-ganDaH
   sahajagandhaḥ sāṃyogikagandhaḥ pāriṇāmikagandhaśca // rasaḥ katama /	sahaja-ganDaH sAMyogika-ganDaH pAriNAmika-ganDaH-ca // rasaH katamaH /
   catvāri mahābhūtāmyupādāya jivhendriyabrāhyo 'rthaḥ / tikto 'mlo madhuraḥ	catvAri mahABUtAmi-upAdAya jivha-indriya-brAhyaH arTaH / tiktaH amlaH maDuraH
   kaṭuko lavaṇaḥ kaṣāyaśca / manojño vā amanojño vā ubhayaviparīto vā sahajo	kawukaH lavaNaH kazAyaH-ca / manojQaH vA amanojQaH vA uBaya-viparItaH vA sahajaH-
   vā sāṃyogiko vā pāriṇāmiko vā // spraṣṭavyaikadeśaḥ katamaḥ / catvāri	vA sAMyogikaH vA pAriNAmikaH vA // sprazwavya-eka-deSaH katamaH / catvAri
   mahābhūtānyupādāya kāyendriya grāhyo 'rthaḥ / ślakṣṇatvaṃ karkaśatvaṃ	mahABUtAni-upAdAya kAya-indriya grAhyaH arTaH / SlakzNa-tvam karkaSa-tvam
   laghutvaṃ gurūtvaṃ picchilatvaṃ mandatvamamandatvaṃ śītatvamuṣṇatvaṃ	laGu-tvam gurU-tvam picCila-tvam manda-tvam-amanda-tvam SIta-tvam-uzNa-tvam
   jighatsā pipāsā tṛptirbalaṃ daurbalayaṃ mūrcchā kaṇḍūtiḥ	jiGatsA pipAsA tRptiH-balam dOrbalayam mUrcCA kaNxUtiH
   pūtirvyādhirjarāmaraṇaṃ klāntirviśrāma ūrjā ca // dharmāyatanasaṃgṛhītaṃ	pUtiH-vyADiH-jarA-maraNam klAntiH-viSrAmaH UrjA ca // Darma-Ayatana-saMgRhItam
   rūpaṃ katamat / pañcavidham / ābhisaṃkṣepikamābhyavakāśiṃkaṃ sāmādānikaṃ	rUpam katamat / paQcaviDam / ABisaMkzepi-kam-AByavakA-SiMkam sAma-AdAnikam
   parikalpitaṃ vaibhutvikaṃ ca /	parikalpitam vEButvikam ca /
   vedanāskandhavyavasthānaṃ katamat / ṣaḍvedanākāyāḥ / cakṣuḥsaṃsparśajā	vedanA-skanDa-vyavasTAnam katamat / zaz-vedanA-kAyAH / cakzuH-saMsparSa-jA
   vedanā śrotraghrāṇajivhākāyamanaḥ saṃsparśajā vedanā // evaṃ ṣaḍvedanā	vedanA Srotra-GrANa-jivhAkA-yamanaH saMsparSa-jAH vedanA // evam zaz-vedanA
   kāyāḥ sukhā vā duḥkhā aduḥkhāsukhā vā // punaḥ sukhā kāyikī vedanā duḥkhā	kAyAH suKAH vA duHKAH aduHKa-asuKA vA // punar suKA kAyikI vedanA duHKA
   kāyikī vedanā aduḥkhāsukhā kāyikīvedanā sukhā caitasikī vedanā duḥkhā	kAyikI vedanA aduHKa-asuKA kAyikI-vedanA suKA cEtasikI vedanA duHKA
   caitasikī vedanā aduḥkhāsukhā caitasikī vedanā sukhā sāmiṣavedanā duḥkhā	cEtasikI vedanA aduHKa-asuKA cEtasikI vedanA suKA sa-Amiza-vedanA duHKA
   sāmiṣavedanā aduḥkhāsukhā sāmiṣavedanā sukhā nirāmiṣavedanā duḥkhā	sa-Amiza-vedanA aduHKa-asuKA sa-Amiza-vedanA suKA nirAmiza-vedanA duHKA
   nirāmiṣavedanā aduḥkhāsukhā nirāmiṣavedanā punaḥ sukhā gredhāśritavedanā	nirAmiza-vedanA aduHKa-asuKA nirAmiza-vedanA punar suKA greDa-ASrita-vedanA
   duḥkhā gredhāśritavedanā aduḥkhāsukhā gredhāśritavedanā sukhā	duHKA greDa-ASrita-vedanA aduHKa-asuKA greDa-ASrita-vedanA suKA
   naiṣkramyāśritavedanā duḥkhā naiṣkramyāśritavedanā aduḥkhāsukhā	nEzkramya-ASrita-vedanA duHKA nEzkramya-ASrita-vedanA aduHKa-asuKA
   naiṣkramyānnitavedanā ca // kāyikī vedanā katamā / paṃcavijñānasaṃprayuktā	nEzkramya-annita-vedanA ca // kAyikI vedanA katamA / paMca-vijQAna-saMprayuktA
   vedanā // caitasikī vedanā katamā / manovijñānasaṃprayuktā vedanā /	vedanA // cEtasikI vedanA katamA / manaH-vijQAna-saMprayuktA vedanA /
   sāmiṣavedanā katamā / (Abhidh-s 5) ātmabhāvatṛṣṇāsaṃprayuktā vedanā /	sa-Amiza-vedanA katamA / (a-aBiD-H 5) Atma-BAva-tRzNA-saMprayuktA vedanA /
   nirāmiṣavedanā katamā / tattṛṣṇāviprayuktā vedanā // gredhāśritavedanā	nirAmiza-vedanA katamA / tad-tRzNA-viprayuktA vedanA // greDa-ASrita-vedanA
   katamā / paṃcakāmaguṇatṛṣṇāsaṃprayuktā vedanā // naiṣkramyāśritavedanā	katamA / paMca-kAma-guNa-tRzNA-saMprayuktA vedanA // nEzkramya-ASrita-vedanA
   katamā / tattṛṣṇāviprayuktā vedanā /	katamA / tad-tRzNA-viprayuktA vedanA /
   saṃjñāskandhavyavasthānaṃ katamat / ṣaṭ saṃjñākāyāḥ / cakṣuḥsaṃsparśajā	saMjQA-skanDa-vyavasTAnam katamat / zaw saMjQA-kAyAH / cakzuH-saMsparSa-jA
   saṃjñā / śrotraghrāṇa / jivhākāyamanaḥsaṃsparśajā saṃjñā yathā sanimittama	saMjQA / Srotra-GrANaH / jivhA-kAya-manaH-saMsparSa-jA saMjQA yaTA sa-nimittam-a
   pi saṃjānāti animittamapi parīttamapi mahadgata mapyapramāṇamapi nāsti	pi saMjAnAti animittam-api parIttam-api mahat-gata mapi-apramANam-api na-asti
   kiṃcidityākiṃcanyāyatanamapi saṃjānāti // sanimittasaṃjñā katamā /	kiMcid-iti-AkiMcanya-Ayatanam-api saMjAnAti // sa-nimitta-saMjQA katamA /
   avyavahārakuśalasyānimittadhātusamā pannasya bhavāgrasamāpannasya ca	avyavahAra-kuSalasya-animitta-DAtu-samA pannasya Bava-agra-samApannasya ca
   saṃjñāṃ sthāpayitvā yāvadanyā saṃjñā // animittasaṃjñā katamā / yā	saMjQAm sTApayitvA yAvat-anyA saMjQA // animitta-saMjQA katamA / yA
   sthāpitā saṃjñā // parīttā saṃjñā katamā / yayā kāmadhātuṃ saṃjānāti //	sTApitA saMjQA // parIttA saMjQA katamA / yayA kAmaDAtum saMjAnAti //
   mahagdatā saṃjñā katamā / yayā rūpadhātuṃ saṃjānāti // apramāṇasaṃjñā	mahagdatA saMjQA katamA / yayA rUpa-DAtum saMjAnAti // apramANa-saMjQA
   katamā / yayā ākāśāna ntyāyatanaṃ vijñānānantyāyatanaṃ saṃjānāti //	katamA / yayA AkASAna nti-Ayatanam vijQAna-Ananti-Ayatanam saMjAnAti //
   akiñcana saṃjñā katamā / yayā ākiñcanyāyatanaṃ saṃjānāti //	akiQcana saMjQA katamA / yayA AkiQcani-Ayatanam saMjAnAti //
   saṃskāraskandhavyavasthānaṃ katamat / ṣaṭ cetanākāyāḥ / cakṣuḥsaṃsparśajā	saMskAra-skanDa-vyavasTAnam katamat / zaw cetanAkAyAH / cakzuH-saMsparSa-jA
   cetanā śrotraghrāṇajvihākāyamanaḥsaṃsparśajā cetanā yayā kuśalatvāya	cetanA Srotra-GrANa-jvihA-kAya-manaH-saMsparSa-jA cetanA yayA kuSala-tvAya
   cetayate saṃkleśāya cetayate avasthābhedāya cetayate itīyaṃ cetanā vedanāṃ	cetayate saMkleSAya cetayate avasTA-BedAya cetayate iti-iyam cetanA vedanAm
   saṃjñācca sthāpayitvā tadanye caitasikā dharmāścittaviprayuktāśca	saMjQAt-ca sTApayitvA tad-anye cEtasikAH DarmAH-citta-viprayuktAH-ca
   saṃskārāḥ saṃskāraskandha ityucyate // te punaḥ katame / manaskāraḥ	saMskArAH saMskAra-skanDaH iti-ucyate // te punar katame / manaskAraH
   sparśaḥ cchando 'dhimokṣaḥ smṛtiḥ samādhiḥ prajñāśraddhā	sparSaH cCandaH aDimokzaH smRtiH samADiH prajQA-SradDA
   hīrapatrāpyamālobho 'dveṣo 'mohoḥ vīryaṃ praśrabdhirapramāda upekṣā	hIrapatra-api-amAloBaH advezaH amohoH vIryam praSrabDiH-apramAdaH upekzA
   apristhitā rāgaḥ pratigho māno 'vidyā vicikitsā	aprisTitAH rAgaH pratiGaH mAnaH avidyA vicikitsA
   satkāyadṛṣṭirantaragrāhadṛṣṭirdṛṣṭiparāmarśaḥ śīlavṛtaparāmarśaḥ	sat-kAya-dRzwiH-antara-grAha-dRzwiH-dRzwi-parAmarSaH SIla-vRta-parAmarSaH
   mithyādṛṣṭi krodha upanāhaḥ mrakṣaḥ pradāśaḥ īrṣyāḥ mātsaryaṃ śāṭhyaṃ mado	miTyA-dRzwi kroDaH upanAhaH mrakzaH pradASaH IrzyAH mAtsaryam SAWyam madaH-
   vihinsā āhrikyamanapatrāpyaṃ styānamauddhatyaṃ āśraddhyaṃ kausīdyaṃ	vihinsA Ahrikyam-anapatrApyam styAnam-OdDatyam ASradDyam kOsIdyam
   pramādo muṣitasmṛtitāsaṃprajanyaṃ vikṣepo middhaṃ kaukṛtyaṃ vitarko	pramAdaH muzita-smRtitA-saMprajanyam vikzepaH midDam kOkRtyam vitarkaH-
   vicāraśca // cetanā (Abhidh-s 6) katamā / cittābhisaṃskāro manaskarma /	vicAraH-ca // cetanA (a-aBiD-H 6) katamA / citta-aBisaMskAraH manaskarma /
   kuśalākuśalāvyākṛteṣu cittapreraṇakarmikā // manaskāraḥ katamaḥ / cetasa	kuSala-akuSala-avya-akRtezu citta-preraNa-karmikA // manaskAraH katamaH / cetasa
   ābhogaḥ / ālambanacitta dhāraṇakarmakaḥ // sparśaḥ katamaḥ /	ABogaH / Alambana-citta DAraNa-karmakaH // sparSaH katamaH /
   trikasakṣipāte indriyavipāraparicchedaḥ / vedanāsanniśrayadāna karmakaḥ //	trika-sakzipAte indriya-vipAra-paricCedaH / vedanA-sanniSraya-dAna karmakaH //
   cchandaḥ katamaḥ / īpsite vastuni tattadupasaṃhatā karttṛkāmatā /	cCandaH katamaH / Ipsite vastuni tat-tad-upasaMhatA karttR-kAmatA /
   vīryādāna sanniśrayadānakarmakaḥ // adhimokṣaḥ katamaḥ / niścite vastuni	vIrya-AdAna sanniSraya-dAna-karmakaH // aDimokzaH katamaH / niScite vastuni
   yathāniścayaṃ dhāraṇā / asaṃhāryatākarmakaḥ // smṛti katamā / saṃsṛte	yaTA-niScayam DAraNA / asaMhAryatA-karmakaH // smRti katamA / saMsRte
   vastuni cetasaḥ asaṃpramoṣo 'vikṣepakarmikā // samādhiḥ katamaḥ /	vastuni cetasaH asaMpramozaH avikzepa-karmikA // samADiH katamaH /
   upaparīkṣye vastuni vittasyaikāgratā / jñānasanniśrayadānakarmakaḥ //	upaparIkzye vastuni vittasya-ekAgra-tA / jQAna-sanniSraya-dAna-karmakaH //
   prajñā katamā / upaparīkṣya eva vastuni dharmāṇāṃ pravicayaḥ /	prajQA katamA / upaparIkzya eva vastuni DarmANAm pravicayaH /
   saṃśayavyāvarttanakarmikā // śraddhā katamā /	saMSaya-vyAvarttana-karmikA // SradDA katamA /
   astitvaguṇavattvaśaktatveṣvabhisaṃpratyayaḥ prasādo 'bhilāpaḥ /	astitva-guNavat-tva-Sakta-tvezu-aBisaMpratyayaH prasAdaH aBilApaH /
   cchandasakṣiśrayadānakarmikā / hrīḥ katamā / svayamavadyena lajjanā /	cCanda-sa-kzi-Sraya-dAna-karmikA / hrIH katamA / svayam-avadyena lajjanA /
   duścaritasaṃyamasanniśrayadānakarmikā // apatrāpyaṃ katamat / parato	duScarita-saMyama-sanniSraya-dAna-karmikA // apatrApyam katamat / paratas-
   'vadyena lajjanā / tatkarmakameva // alobhaḥ katamaḥ / bhave	avadyena lajjanA / tat-karmakam-eva // aloBaH katamaH / Bave
   bhavopakaraṇeṣu vā anāsaktiḥ duścaritāpravṛttisanniśrayadānakarmakaḥ /	Bava-upakaraNezu vA anAsaktiH duScarita-apravRtti-sanniSraya-dAna-karmakaH /
   adveṣaḥ katamaḥ / sattveṣu duḥkhe duḥkha sthānīyeṣu ca dharme ṣvanāghātaḥ	advezaH katamaH / sattvezu duHKe duHKa sTAnIyezu ca Darme zu-anAGAtaH
   / duścaritāpravṛttisanniśrayadānakarmakaḥ / amohaḥ katamaḥ / vipākato vā	/ duScarita-apravRtti-sanniSraya-dAna-karmakaH / amohaH katamaH / vipAkataH vA
   āgamato vādhigamato vā jñānaṃ pratisaṃkhyā /	AgamataH vA-aDigamataH vA jQAnam pratisaMKyA /
   duścaritāpravṛttisanniśrayadānakarmakaḥ / vīryaṃ katamat / kuśale cetaso	duScarita-apravRtti-sanniSraya-dAna-karmakaH / vIryam katamat / kuSale cetasaH-
   'bhyutsāhaḥ sannāhe vā prayoge vā alīnatve vā avyāvṛttau vā asantuṣṭau vā	aByutsAhaH sannAhe vA prayoge vA alIna-tve vE avyAvRttO vA asantuzwO vA
   / kuśalapakṣaparipūraṇapariniṣpādanakarmakam // aśrabdhiḥ katamā /	/ kuSala-pakza-paripUraNa-parinizpAdana-karmakam // aSrabDiH katamA /
   kāyacittadauṣṭhulyānāṃ pratipraśrabdheḥ kāya cittakarmaṇyatā /	kAya-citta-dOzWulyAnAm pratipraSrabDeH kAya citta-karmaNya-tA /
