   bhadracaryāvidhiḥ ṣoḍaśaḥ paricchedaḥ ||	BadracaryA-viDiH zoxaSaH paricCedaH ||
   tasya puṇyaskandhasya na sukaraṃ pramāṇam udgrahītum iti ||	tasya puNya-skanDasya na sukaram pramANam udgrahItum iti ||
   mahatyām api prajñāpāramitāyām uktaṃ |	mahatyAm api prajQApAramitAyAm uktam |
   punar aparaṃ śāriputra bodhisatvena mahāsatvenâlpam api dānaṃ dadatā	punar aparam SAriputra boDisatvena mahAsatvena-alpam api dAnam dadatA
   sarvasatveṣu sarvâkārajñatāyām upāyakauśalyapariṇāmanatāyām aprameyam	sarva-satvezu sarvâkAra-jQa-tAyAm upAya-kOSalya-pariNAma-natAyAm aprameyam
   asaṃkhyeyaṃ kartukāmena prajñāpāramitāyāṃ śikṣitavyam |	asaMKyeyam kartu-kAmena prajQApAramitAyAm Sikzitavyam |
   tathā sarvasatvānāṃ manorathān paripūrayitukāmena |	taTA sarva-satvAnAm manoraTAn paripUrayitu-kAmena |
   yāvaj jātarūparajatôdyānarājyâdibhir upakaraṇaiḥ prajñāpāramitāyāṃ	yAvat jAtarUpa-rajatô-dyAna-rAjyâdiBiH upakaraNEH prajQApAramitAyAm
   śikṣitavyam iti ||	Sikzitavyam iti ||
   [ Bendall ed p276 ---> ]	[ Bet-dalt ed p276 ---> ]
   vinā ca karuṇayā na bodhisatvānāṃ kiṃcic ceṣṭitam iti vakṣyāmaḥ |	vinA ca karuNayA na boDisatvAnAm kiMcid cezwitam iti vakzyAmaH |
   iti saṃkṣepād bhogavṛddhiḥ ||	iti saMkzepAt Boga-vRdDiH ||
   puṇyavṛddhiḥ sarvavṛddhīnāṃ mūlam iti tadarthaṃ parikarabandhôcyate ||	puNya-vRdDiH sarva-vRdDInAm mUlam iti tad-arTam parikara-banDôcyate ||
   kṛtvâdāv eva yatnena vyavasāyâśāyau dṛḍhau |	kRtvâdO eva yatnena vyavasAyâSAyO dRXO |
   karuṇāṃ ca puraskṛtya yateta śubhavṛddhaye ||	karuNAm ca puraskRtya yateta SuBa-vRdDaye ||
   cittaśuddhikālabhāvitānāṃ vyavasāyâdīnāṃ prayogârambhe punar	citta-SudDi-kAla-BAvitAnAm vyavasAyâdInAm prayogâramBe punar-
   āmukhīkaraṇena dṛḍhatâpādanârthaḥ ślokaḥ |	AmuKIkaraNena dRXa-tâpAt-anârTaH SlokaH |
   kṛtvêty ādipūrvakâiva ||	kRtvêti Adi-pUrva-kâiva ||
   āsannayuddhakālānāṃ astrakauśalyâdaravat prayogasamakālaṃ dṛḍhīkariṣyāmîti	Asanna-yudDa-kAlAnAm astra-kOSalyâ-dara-vat prayoga-sama-kAlam dRXIkarizyAmîti
   śaithilyanivāraṇârtham ādigrahaṇam |	SETilya-nivAraNârTam Adi-grahaNam |
   tatra kathaṃ vyavasāyaṃ dṛḍhīkaroti ||	tatra kaTam vyavasAyam dRXIkaroti ||
   yathâryasudhanâryamaitreyam upasaṃprakrāntaḥ samyakcaryāniḥsamarthaḥ |	yaTârI-a-suDanâryamEtreyam upasaMprakrAntaH samyak-caryA-niHsamarTaH |
   pūrvântakoṭīgatakāyapraṇāmaḥ kāyasamanvāhāreṇa kāyabalaṃ dṛḍhīkurvāṇaḥ |	pUrvânta-kowI-gata-kAya-praNAmaH kAya-samanvAhAreNa kAya-balam dRXIkurvANaH |
   pūrvântakoṭīgatakāya	pUrvânta-kowI-gatakAya
   cittapariśuddhiniṣkāraṇasāṃsārikacittapracārasamanvāhāreṇa	citta-pariSudDi-nizkAraNa-sAMsArika-citta-pracAra-samanvAhAreNa
   cittamanasikāraṃ nigṛhṇan |	citta-manasikAram nigRhNan |
   pūrvântakoṭy-asa-	pUrvânta-kowi--asa-
   [ Bendall ed p277 ---> ]	[ Bet-dalt ed p277 ---> ]
   tkarmalaukikakāryaprayuktaniṣprayojanaparisyandasamanvāhāreṇa	tkarma-lOkika-kArya-prayukta-nizprayojana-parisyanda-samanvAhAreNa
   pratyutpannaprayojanamahāsāmarthyaṃ vicintayan |	pratyutpanna-prayojana-mahA-sAmarTyam vicintayan |
   pūrvântâbhūtaparikalpasamutthitavitathasaṃkalpasaṃdarśita-	pUrvântâ-BUta-parikalpa-samutTita-vitaTa-saMkalpa-saMdarSita-
   [ Cambridge MS f120b ---> ]	[ Cambridge M f120B ---> ]
   manasikārasamanvāhāreṇa sarvabodhisatvacaryāsamyaksaṃkalpâbhisaṃskārabalaṃ	manasikAra-samanvAhAreNa sarva-boDisatva-caryA-samyak-saMkalpâBisaMskAra-balam
   samutthāpayan |	samutTApayan |
   atītâtmabhāvârthaprayogârambhaviṣamatāsamanvāhāreṇa	atItâtma-BA=-ârTa-prayogâramBa-viza-matA-samanvAhAreNa
   sarvasatvârambhavaiśeṣikatayâdhyāśayabalaṃ dṛḍhīkurvāṇaḥ |	sarva-satvâramBa-vESezika-tayâDi-ASaya-balam dRXIkurvANaH |
   atītakāyasamudācāranirāsvādatāsamanvāhāreṇa |	atIta-kAya-samudAcAra-nirAsvAdatA-samanvAhAreNa |
   sarvabuddhadharmapratilābhaprayogamahâśvāsapratilābhêndriyavegān	sarva-budDa-Darma-pratilABa-prayoga-mahâ-SvAsa-pratilABêndriya-vegAn
   vivardhayamāno 'tītâdhvaviparyāsaprayuktamithyâśayaprayogasamanvāh-reṇa |	vivarDayamAnaH atItâ-Dva-viparyAsa-prayukta-miTyâSaya-prayoga-samanvAh-reNa |
   pratyutpannâdhvasamyagdarśanâviparyāsasaṃprayuktena	pratyutpannâ-Dva-samyak-darSanâ-viparyAsa-saMprayuktena
   bodhisatvapraṇidhānasamādānena saṃtatiṃ pariśodhayan |	boDisatva-praNiDAna-samAdAnena saMtatim pariSoDayan |
   pūrvântagatâyogavīryârambhakāryâpariniṣpannâryasamādānasamanvāhāreṇa	pUrvânta-gatâ-yoga-vIryâ-ramBa-kAryâ-parinizpannârya-samAdAna-samanvAhAreNa
   [[DOUBT]] |	[[DOUBT]] |
   pratyutpannabuddhadharmasamudāgamapratyupasthānena	pratyutpanna-budDa-Darma-samudAgama-pratyupasTAnena
   mahāvīryârambhavikrameṇa kāyacittasaṃpragrahaṃ saṃjanayamānaḥ |	mahA-vIryâ-ramBa-vikrameNa kAya-citta-saMpragraham saMjanayamAnaH |
   pūrvântakoṭīpañcagatyapāyanikṣiptâtmaparanirupakaraṇâkhyanirupajīvyasamucchrayaparigrahasamanvāhāreṇa	pUrvânta-kowI-paQca-gati-apAya-nikziptâtma-para-nirupakaraNâKya-nirupajIvya-samucCraya-parigraha-samanvAhAreNa
   sarvabuddhadharmôtthāpakasarvajagadupajīvyasarvakalyāṇamitrârāgaṇasamarthyâtmabhāvaparigrahaṇatayā	sarva-budDa-DarmôtTApaka-sarva-jagat-upajIvya-sarva-kalyANa-mitrârAgaNa-samarTI-âtma-BAva-parigrahaNa-tayA
   vipulaprītiprāmodyavegān vivardhayamānaḥ pratyutpannajanmâbhinirvṛttaṃ	vipula-prIti-prAmodya-vegAn vivarDayamAnaH pratyutpanna-janmâBinirvRttam
   jarāvyādhimaraṇaśokâkarabhūtaṃ saṃyogaviyoganidhānabhūtaṃ samucchrayaṃ |	jarA-vyADi-maraNa-Sokâkara-BUtam saMyoga-viyoga-niDAna-BUtam samucCrayam |
   aparântakalpakoṭīgatabodhisatvacaryâcaraṇaprayuktasya	aparânta-kalpa-kowI-gata-boDisatva-caryâ-caraNa-prayuktasya
   satvaparipācanabuddhadharmaparigrahaprayuktasya tathāgatasaṃdarśanasarva-	satva-paripAcana-budDa-Darma-parigraha-prayuktasya taTAgata-saMdarSana-sarva-
   [ Bendall ed p278 ---> ]	[ Bet-dalt ed p278 ---> ]
   buddhakṣetrânucaraṇasarvadharmabhāṇakôpasthānasarvatathāgataśāsanasamanvāharaṇaprayuktasya	budDa-kzetrânucaraNa-sarva-Darma-BANa-kôpa-sTAna-sarva-taTAgata-SAsana-samanvAharaNa-prayuktasya
   sarvadharmaparyeṣṭisahāyabhūtasya	sarva-Darma-paryezwi-sahAya-BUtasya
   sarvakalyāṇamitradarśanasarvabuddhadharmasamudānayanaprayuktasya	sarva-kalyANa-mitra-darSana-sarva-budDa-Darma-samudAnayana-prayuktasya
   bodhisatvapraṇidhijñānaśarīrasya hetupratyayabhūtam	boDisatva-praNiDi-jQAna-SarIrasya hetu-pratyaya-BUtam
   avalokyâcintyakuśalamūlêndriyavegān viva	avalokI-â-cintya-kuSala-mUlêndriya-vegAn viva
   rdhayamānêti |	rDa-yamAnêti |
   āryâkṣayamatinirdeśe mahāyānasūtre 'py uktaṃ |	Aryâ-kzayam-ati-nirdeSe mahAyAna-sUtre api uktam |
   eko bodhisatvo 'dvitīyo 'sahāyo 'nuttarāyāṃ samyaksaṃbodhau	ekaH boDisatvaH advitIyaH asahAyaH anuttarAyAm samyaksaMboDO
   [ Cambridge MS f121a ---> ]	[ Cambridge M f121aH ---> ]
   saṃnāhaṃ saṃnahyati |	saMnAham saMnahyati |
   sa vīryabalaparigṛhītenâdhyāśayenâparâvakāśâsvayaṃkārī |	sa vIrya-bala-parigRhItenâDyA-ASayenâ-parâvakASâ-svayaMkArI |
   svabalabalôdgataḥ |	sva-bala-balôt-gataH |
   sâivaṃ dṛḍhasaṃnāhaḥ saṃnaddho |	sâivam dRXa-saMnAhaH saMnadDaH |
   yat kiñcit sarvasatvānāṃ pariprāpayitavyaṃ bhaviṣyati tad ahaṃ	yat kiQcid sarva-satvAnAm pariprApayitavyam Bavizyati tat aham
   pariprāpayiṣyāmi |	pariprApayizyAmi |
   yat sarvâryāḥ sarvanavayānasaṃprasthitā bodhisatvā na pariprāpayiṣyanti	yat sarvâryAH sarva-nava-yAna-saMprasTitAH boDisatvAH na pariprApayizyanti
   tad ahaṃ pariprāpayiṣyāmi |	tat aham pariprApayizyAmi |
   na mama dānaṃ sahāyakaṃ |ahaṃ punar dānasya sahāyaḥ |	na mama dAnam sahAyakam |aham punar dAnasya sahAyaH |
   na mama śīlakṣāntivīryadhyānaprajñāḥ sahāyikāḥ |	na mama SIla-kzAnti-vIrya-DyAna-prajQAH sa-hAyikAH |
   ahaṃ punaḥ śīlakṣāntivīryadhyānaprajñānāṃ sahāyo |	aham punar SIla-kzAnti-vIrya-DyAna-prajQAnAm sahAyaH |
   nâhaṃ pāramitābhir upasthātavyo mayā punaḥ pāramitôpasthātavyāḥ |	nâham pAramitABiH upasTAtavyaH mayA punar pAramitôpa-sTAtavyAH |
   evaṃ saṃgrahavastuṣu sarvakuśalamūleṣu caleyam |	evam saMgraha-vastuzu sarva-kuSala-mUlezu caleyam |
   yāvad ekākinā mayâdvitīyenâsahāyena vajramaye mahīmaṇḍale sthitena sabalaṃ	yAvat ekAkinA mayâ-dvitIyenâsahAyena vajra-maye mahI-maNxale sTitena sa-balam
   savāhanaṃ māraṃ dharṣayitvâikacittakṣaṇasamâyuktayā prajñayânuttarā	sa-vAhanam mAram Darzayitvâika-cit-takzaNa-samâyuktayA prajQayânuttarA
   samyaksaṃbodhir abhisaṃboddhavyêti ||	samyaksaMboDiH aBisaMbodDa-vyêti ||
   āryavajradhvajasūtre 'py āha |	Arya-vajra-Dvaja-sUtre api Aha |
   tad yathâpi nāma sūryo devaputrôdayamāno na tiṣṭhati |	tat yaTâpi nAma sUryaH deva-putrô-dayamAnaH na tizWati |
   jā-	jA-
   [ Bendall ed p279 ---> ]	[ Bet-dalt ed p279 ---> ]
   tyandhadoṣeṇa |	tyanDa-dozeNa |
   na tiṣṭhati gandharvanagaradoṣeṇa |	na tizWati ganDarvanagara-dozeNa |
   na tiṣṭhati caturdvīpalokadhātubhūmirajodoṣeṇa |	na tizWati catur-dvIpa-loka-DAtu-BUmi-rajaH-dozeNa |
   na tiṣṭhati rāhvasurêndradoṣeṇa |	na tizWati rAhvasuH-êndra-dozeNa |
   na tiṣṭhati dhūmamaṇḍaladoṣeṇa |	na tizWati DUma-maNxala-dozeNa |
   na tiṣṭhati jambūdvīpakleśadoṣeṇa |	na tizWati jambUdvIpa-kleSa-dozeNa |
   na tiṣṭhati nānāchāyādoṣeṇa |	na tizWati nAnA-CAyA-dozeNa |
   na tiṣṭhati viṣamaparvatadoṣeṇa |	na tizWati vizama-parvata-dozeNa |
   evam eva bodhisatvo mahāsatvaḥ smṛtisaṃprajanyavipulagambhīracetâdīnasatvo	evam eva boDisatvaH mahAsatvaH smRti-saMprajanya-vipula-gamBIra-cetâdIna-satvaH-
   guṇacaryājñānacaryâvasānaṃ yāvan na vivartate satvadrauhilyadoṣaiḥ |	guNa-caryA-jQAna-caryâvasAnam yAvat na vivartate satva-drOhilya-dozEH |
   na vipravasati kuśalamūlapariṇāmaiḥ |	na vipravasati kuSala-mUla-pariNAmEH |
   satvadṛṣṭikāluṣyadoṣair na vivartate |	satva-dRzwi-kAluzya-dozEH na vivartate |
   satvakṣobhacetobhir na dūrībhavati |	satva-kzoBa-cetoBiH na dUrIBavati |
   satvavinaṣṭasaṃtatyā bodhisaṃnāhaṃ na viṣkambhayati |	satva-vinazwa-saMtatyA boDi-saMnAham na vizkamBayati |
   sarvajagatparitrāṇapraṇidhānasya satvakalikaluṣair na sraṃsanāṃ karoti	sarva-jagat-paritrANa-praNiDAnasya satva-kali-kaluzEH na sraMsanAm karoti
   yāvad bālaja-	yAvat bAla-ja-
   [ Bendall ed p280 ---> ]	[ Bet-dalt ed p280 ---> ]
   nasamavadhānena |	na-samavaDAnena |
   na nirvidyate parasatvadoṣaiś ca |	na nirvidyate para-satva-dozEH ca |
   tat kasya hetoḥ |	tat kasya hetoH |
   anāvaraṇa-	anAvaraNa-
   [ Cambridge MS f121b ---> ]	[ Cambridge M f121B ---> ]
   maṇḍalam etad udayati |	maNxalam etat udayati |
   yad uta sarvajagadviśuddhivinayāya |	yat uta sarva-jagat-viSudDi-vinayAya |
   pe ||	pe ||
   yaś ca teṣāṃ sarvasatvānāṃ duṣkhaskandho vividhaṃ câvaraṇīyaṃ karma	yaH ca tezAm sarva-satvAnAm duzKa-skanDaH viviDam câvaraNIyam karma
   samutthitaṃ yena te āvaraṇīyena karmaṇā buddhān na paśyanti |	samutTitam yena te AvaraNIyena karmaNA budDAn na paSyanti |
   dharmaṃ na śṛṇvanti |	Darmam na SRNvanti |
   saṃghaṃ na jānanti |	saMGam na jAnanti |
   tad ahaṃ teṣāṃ trividham āvaraṇīyaṃ karmôpacitaṃ duṣkhaskandhena svakena	tat aham tezAm triviDam AvaraNIyam karmô-pacitam duzKa-skanDena svakena
   śarīreṇôpādadāmi tāsu tāsu narakôpapattiṣv apāyabhūmiṣu saṃvāseṣu ca |	SarIreNôpAda-dAmi tAsu tAsu nara-kôpapattizu apAya-BUmizu saMvAsezu ca |
   te ca sarvasatvās tataś cyavantāṃ |	te ca sarva-satvAH tatas cyavantAm |
   ahaṃ ca duṣkhôpādānam upādadāmi vyavasyāmy utsahe |	aham ca duzKôpAdAnam upAdadAmi vyavasyAmi utsahe |
   na nivarte na palāyāmi nôttrasyāmi na saṃtrasyāmi na bibhemi na	na nivarte na palAyAmi nôttrasyAmi na saMtrasyAmi na biBemi na
   pratyudāvarte na viṣīdāmi |	pratyudAvarte na vizIdAmi |
   tat kasya hetoḥ |	tat kasya hetoH |
   avaśyaṃ nirvāhayitavyo mayā sarvasatvānāṃ bhāro |	avaSyam nirvAhayitavyaH mayA sarva-satvAnAm BAraH |
   nâiṣa mama kāmakāraḥ |	nâiza mama kAmakAraH |
   sarvasatvôttāraṇapraṇidhānaṃ mama |	sarva-satvôttAraNa-praNiDAnam mama |
   mayā sarvasatvāḥ parimocayitavyā |	mayA sarva-satvAH parimocayitavyA |
   mayā sarvajagat samuttārayitavyaṃ |	mayA sarva-jagat samuttArayitavyam |
   jātikāntārāj jarākāntārād vyādhikāntārāc cyutyupapatikāntārāt	jAti-kAntArAt jarA-kAntArAt vyADi-kAntArAt cyuti-upapati-kAntArAt-
   sarvâpattikāntārāt sarvâpāyakāntārāt sarvasaṃsārakāntārāt	sarvâ-patti-kAntArAt sarvâ-pAya-kAntArAt sarva-saMsAra-kAntArAt-
   sarvadṛṣṭigahanakāntārāt kuśaladharmapraṇāśakāntārād	sarva-dRzwi-gahana-kAntArAt kuSala-Darma-praNASa-kAntArAt-
   ajñānasamutthitakāntārāt tad ete mayā sarvasatvāḥ sarvakāntārebhyaḥ	ajQAna-samutTita-kAntArAt tat ete mayA sarva-satvAH sarva-kAntAreByaH
   parimocayitavyāḥ |	parimocayitavyAH |
   tṛṣṇājālasaktâvidyānivaraṇâvṛtā bhavatṛṣṇāsaṃprayuktāḥ praṇāśaparyavasānā	tRzNA-jAla-saktâ-vidyA-nivaraNâvRtAH Bava-tRzNA-saMprayuktAH praNASa-paryavasAnA
   duṣkhapañjaraprakṣiptāś cārakasaṃniśritā |	duzKa-paQjara-prakziptAH cAraka-saMniSritA |
   abudhāḥ pratijñāviruddhāḥ saṃśayabhūtāḥ sadā vimatayo 'kṣemadarśinaḥ |	abuDAH pratijQA-virudDAH saMSaya-BUtAH sadA vimatayaH akzema-darSinaH |
   aniḥśaraṇakuśalā bhavârṇave āvartamaṇḍalâikacaraṇāḥ |	aniHSaraNa-kuSalAH BavârNave Avarta-maNxalâika-caraNAH |
   pe ||	pe ||
   sarvasatvānām anuttarajñānarājyapratiṣṭhāpanârtham ahaṃ carāmi |	sarva-satvAnAm anuttara-jQAna-rAjya-pratizWA-apanârTam aham carAmi |
   nâhaṃ kevalam ātmaparimocanâbhiyuktaḥ |	nâham kevalam Atma-parimocanâBiyuktaH |
   sarvasatvā hy ete mayā sarvajñatācittaplavena saṃsāradurgād dhartavyā |	sarva-satvA hi ete mayA sarvajQa-tA-citta-plavena saMsAra-durgAt DartavyA |
   mahāprapātād abhyutkṣeptavyāḥ |	mahA-prapAtAt aByutkzeptavyAH |
   sarvôpadravebhyaḥ parimocayitavyāḥ |	sarvôpadraveByaH parimocayitavyAH |
   saṃsārasrotasaḥ pratārayitavyâtmanā mayā sarvasatvadu-	saMsAra-srotasaH pratArayitavyâtmanA mayA sarva-satva-du-
   [ Cambridge MS f122a ---> ]	[ Cambridge M f122aH ---> ]
   ṣkhaskandho 'dhyavasitaḥ |	zKa-skanDaH aDyavasitaH |
   yāvad utsahe 'haṃ sarvâpāyeṣu sarvalokadhātuparyāpanneṣu sarvaduṣkhavāsam	yAvat utsahe aham sarvâ-pAyezu sarva-loka-DAtu-paryApannezu sarva-duzKa-vAsam
   anubhavitum |	anuBavitum |
   na ca mayā sarvasatvāḥ kuśala-	na ca mayA sarva-satvAH kuSala-
   [ Bendall ed p281 ---> ]	[ Bet-dalt ed p281 ---> ]
   mūlair vañcitavyāḥ |	mUlEH vaQcitavyAH |
   vyavasyāmy aham ekâikasminn apāye 'parântakoṭīgatān kalpān saṃvasayituṃ |	vyavasyAmi aham ekâikasmin apAye aparânta-kowI-gatAn kalpAn saMvasayitum |
   yathā câikâpāye tathā sarvâpāyaniravaśeṣasarvalokadhātuparyāpanneṣu	yaTA câikâpAye taTA sarvâpAya-niravaSeza-sarva-loka-DAtu-paryApannezu
   sarvasatvaparimocananidānaṃ |tat kasya hetoḥ |	sarva-satva-parimocana-nidAnam |tat kasya hetoH |
   varaṃ khalu punar aham eko duṣkhitaḥ syāṃ na cême sarvasatvāḥ	varam Kalu punar aham ekaH duzKitaH syAm na cême sarva-satvAH
   apāyabhūmiprapatitāḥ |	apAya-BUmi-prapatitAH |
   mayā tatrâtmā bandhako dātavyaḥ |	mayA tatrâtmA banDakaH dAtavyaH |
   sarvajagac ca niḥkretavyaṃ narakatiryagyoniyamalokakāntārād ahaṃ ca	sarva-jagat ca niHkretavyam naraka-tiryagyoni-yama-loka-kAntArAt aham ca
   sarvasatvānām arthāya sarvaduṣkhavedanāskandham anena svakena	sarva-satvAnAm arTAya sarva-duzKa-vedanA-skanDam anena svakena
   śarīreṇânubhaveyam |	SarIreNânuBaveyam |
   sarvasatvanidānam ahaṃ ca sarvasatvānāṃ prātibhāvyam utsahe satyavādī	sarva-satva-nidAnam aham ca sarva-satvAnAm prAtiBAvyam utsahe satya-vAdI
   pratyayito 'visaṃvādakaḥ |	pratyayitaH avisaMvAdakaH |
   na ca mayā sarvasatvāḥ parityaktāḥ |	na ca mayA sarva-satvAH parityaktAH |
   tat kasya hetoḥ |	tat kasya hetoH |
   sarvasatvârambaṇo mama sarvajñatācittôtpādôtpanno yad uta	sarva-satvârambaNaH mama sarvajQa-tA-cittôtpAdôt-pannaH yat uta
   sarvajagatparimocanāya |	sarva-jagat-parimocanAya |
   na câhaṃ ratikāmatayânuttarāyāṃ samyaksaṃbodhau saṃprasthito nâpi	na câham rati-kAmatayânuttarAyAm samyaksaMboDO saMprasTitaH nâpi
   pañcakāmaguṇaratyanubhavanāya nâpi kāmaviṣayaniṣevaṇāya |	paQca-kAma-guNa-rati-anuBavanAya nâpi kAma-vizaya-nizevaNAya |
   na câham anyonyakāmadhātuparyāpannarativyūhasamudānayanāya carāmi	na câham anyonya-kAma-DAtu-paryApanna-rati-vyUha-samudAnayanAya carAmi
   bodhisatvacaryāṃ |	boDisatva-caryAm |
   tat kasya hetoḥ |	tat kasya hetoH |
   aratayo hy eṣā sarvalokaratayaḥ |māraviṣayâiṣa yad uta kāmaviṣayaniṣevaṇaṃ	aratayaH hi ezA sarva-loka-ratayaH |mAra-vizayâiza yat uta kAma-vizaya-nizevaNam
   durbuddhisevito hy eṣa mārgaḥ |sarvabuddhivivarṇito hy ayam upadeśaḥ yad	durbudDi-sevitaH hi eza mArgaH |sarva-budDi-vivarNitaH hi ayam upadeSaH yat-
   uta kāmaniṣevaṇaṃ |ataś câiṣa sarvaduṣkhaskandhasyôtpādâiva niṣevaṇaṃ	uta kAma-nizevaNam |ataH câiza sarva-duzKa-skanDasyôt-pAdâiva nizevaNam
   atâiva ca narakatiryagyoniyamalokānām u-	atâiva ca naraka-tiryagyoni-yama-lokAnAm u-
   [ Cambridge MS f122b ---> ]	[ Cambridge M f122B ---> ]
   tpādaḥ |	tpAdaH |
