   1. Gaurava Vilasa	1. GOrava  Vilasa
   maitrādi kṛtyaṃ śaucācamanaṃ dantasya dhāvanam // Hbhv_1.7 //	mEtra Adi kRtyam SOca Acamanam dantasya DAvanam // HBu _1.7 //
   snānaṃ tāntrika sandhyādi deva sadmādi saṃskriyā // Hbhv_1.8 //	snAnam tAntrika sanDi Adi deva  sadma Adi saMskriyAH // HBu _1.8 //
   tulasyādyāhṛtir geha snānam uṣṇodakādikam |	tulasi Adi AhRtiH geha  snAnam uzNa udaka Adikam |
   vastraṃ pīṭhaṃ cordhva puṇḍraṃ śrī gopī candanādikam // Hbhv_1.9 //	vastram pIWam ca UrDva  puNxram SrI gopI candana Adikam // HBu _1.9 //
   cakrādi mudrā mālā ca gṛha sandhyārcanaṃ guroḥ |	cakra Adi  mudrA mAlA ca gRha  sanDyA arcanam guroH |
   māhātmyaṃ cātha kṛṣṇasya dvāra veśmāntarārcanam // Hbhv_1.10 //	mAhAtmyam ca aTa kRzNasya dvAra  veSma antara arcanam // HBu _1.10 //
   pūjārthāsanam arghyādi sthāpanaṃ vighna vāraṇam |	pUjA arTa Asanam arGya Adi  sTApanam viGna vAraNam |
   śrī gurv ādi natir bhūta śuddhiḥ prāṇa viśodhanam // Hbhv_1.11 //	SrI  guru  Adi  natiH BUta  SudDiH prANa  viSoDanam // HBu _1.11 //
   nyāsa mudrā pañcakaṃ ca kṛṣṇa dhyānāntarārcane |	nyAsa mudrA  paQcakam ca kRzNa DyAna antara arcane |
   pūjā padāni śrī mūrti śālagrāma śilās tathā // Hbhv_1.12 //	pUjA padAni SrI mUrti  SAlagrAma SilAH taTA // HBu _1.12 //
   dvārakodbhava cakrāṇi śuddhayaḥ pīṭha pūjanam |	dvArakA udBava  cakrANi SudDayaH pIWa pUjanam |
   āvāhanādi tan mudrā āsanādi samarpaṇam // Hbhv_1.13 //	AvAhana Adi tan mudrA Asana Adi samarpaNam // HBu _1.13 //
   snapanaṃ śaṅkha ghaṇṭādi vādyaṃ nāma sahasrakam |	snapanam SaFKa  GaNwA Adi  vAdyam nAma  sahasrakam |
   purāṇa pāṭho vasanam upavītaṃ vibhūṣaṇam // Hbhv_1.14 //	purANa pAWaH vasanam upavItam viBUzaNam // HBu _1.14 //
   gandhaḥ śrī tulasī kāṣṭha candanaṃ kusumāni ca |	ganDaH SrI tulasI kAzWa  candanam kusumAni ca |
   patrāṇi tulasī cāṅgopāṅgāvaraṇa pūjanam // Hbhv_1.15 //	patrANi tulasI ca aFga upAFga AvaraNa  pUjanam // HBu _1.15 //
   dhūpo dīpaś ca naivedyaṃ pānaṃ homo bali kriyā |	DUpaH dIpaH ca nEvedyam pAnam homaH bali kriyA |
   avagaṇḍūṣādyāsyavāso divya gandhādikaṃ punaḥ // Hbhv_1.16 //	avagaNxUza Adi Asya vAsaH divya ganDa Adikam punar // HBu _1.16 //
   rājopacārā gītādi mahā nīrājanaṃ tathā |	rAja upacArAH gIta Adi mahA  nIrAjanam taTA |
   śaṅkhādi vādanaṃ sāmbu śaṅkha nīrājanaṃ stutiḥ // Hbhv_1.17 //	SaFKa Adi  vAdanam sa ambu  SaFKa nI rAjanam stutiH // HBu _1.17 //
   natiḥ pradakṣiṇā karmādy arpaṇaṃ japa yācane |	natiH pradakziNA karma Adi  arpaNam japa yAcane |
   āgaḥ kṣamāpaṇaṃ nānāgāṃsi nirmālya dhāraṇam // Hbhv_1.18 //	AgaH kzamApaNam nAnAgAMsi nirmAlya  DAraNam // HBu _1.18 //
   śaṅkhāmbu tīrthaṃ tulasī pūjā tan mṛttikādi ca |	SaFKa ambu tIrTam tulasI  pUjA tan mRttikA Adi ca |
   dhātrī snāna niṣedhasya kālo vṛtter upārjanam // Hbhv_1.19 //	DAtrI  snAna  nizeDasya kAlaH vRtteH upArjanam // HBu _1.19 //
   madhyāhne vaiśa devādi śrāddhaṃ cānarpyam acyute |	maDyAhne vESa deva Adi  SrAdDam ca anarpyam acyute |
   vinārcām aśane doṣās tathānarpita bhojane // Hbhv_1.20 //	vinA arcAm aSane dozAH taTA anarpita Bojane // HBu _1.20 //
   naivedya bhakṣaṇaṃ santaḥ sat saṅgo 'sad asaṅgatiḥ |	nEvedya  BakzaNam santaH sat saFgaH asat  asaFgatiH |
   asad gatir vaiṣṇavopahāsa nindādi duṣphalam // Hbhv_1.21 //	asat  gatiH vEzNava upahAsa  nindA Adi duzPalam // HBu _1.21 //
   satāṃ bhaktir viṣṇu śāstraṃ śrīmad bhāgavataṃ tathā |	satAm BaktiH vizNu  SAstram SrImat  BAgavatam taTA |
   līlā kathā ca bhagavad dharmāḥ sāyaṃ nija kriyāḥ // Hbhv_1.22 //	lIlA kaTA ca Bagavat  DarmAH sAyam nija  kriyAH // HBu _1.22 //
   karma pāta parīhāras trikālārcā viśeṣataḥ |	karma pAta  parIhAraH tri kAla arcAH viSezataH |
   naktaṃ kṛtyānyatho pūjā phala siddhy ādi darśanam // Hbhv_1.23 //	naktam kRtyAni aTo pUjA  Pala  sidDi  Adi darSanam // HBu _1.23 //
   viṣṇv artha dānaṃ vividhopacārā nyūna pūraṇam |	vizNu  arTa dAnam viviDa upacArAH nyUna pUraNam |
   śayanaṃ mahimārcāyāḥ śrīman nāmnas tathādbhutaḥ // Hbhv_1.24 //	Sayanam mahima arcAyAH SrIman nAmnaH taTA adButaH // HBu _1.24 //
   nāmāparādhā bhaktiś ca premāthāśrayaṇādayaḥ |	nAma aparADAH BaktiH ca prema aTa ASrayaNa AdayaH |
   pakṣeṣv ekādaśī sāṅgā śrī dvādaśy aṣṭakaṃ mahat // Hbhv_1.25 //	pakzezu ekAdaSI sa aFgA SrI  dvAdaSI  azwakam mahat // HBu _1.25 //
   kṛtyāni mārga śīrṣādi māseṣu dvādśeṣv api |	kRtyAni mArga SIrza Adi  mAsezu dvAdSezu api |
   puraścaraṇa kṛtyāni mantraṃ siddhasya lakṣaṇam // Hbhv_1.26 //	puraScaraNa kRtyAni mantram sidDasya lakzaNam // HBu _1.26 //
   mūrtyāvirbhāvanaṃ mūrti pratiṣṭhā kṛṣṇa mandiram |	mUrti AvirBAvanam mUrti pratizWA kRzNa mandiram |
   jīrṇoddhṛtiḥ śrī tulasī vivāho 'nanya karma ca // Hbhv_1.27 //	jIrNa udDRtiH SrI tulasI  vivAhaH ananya karma ca // HBu _1.27 //
   tatra śrī gurūpasatti kāraṇam	tatra SrI  guru upasatti kAraNam
   kṛpayā kṛṣṇa devasya tad bhakta jana saṅgataḥ |	kRpayA kRzNa devasya tad  Bakta  jana  saFgataH |
   bhakter māhātmyam ākarṇya tām icchan sad guruṃ bhajet // Hbhv_1.28 //	BakteH mAhAtmyam AkarNya tAm icCan sat  gurum Bajet // HBu _1.28 //
   atrānubhūyate nityaṃ duḥkha śreṇī paratra ca |	atra anuBUyate nityam duHKa  SreNI paratra ca |
   duḥsahā śrūyate śāstrāt titīrṣed api tāṃ sudhīḥ // Hbhv_1.29 //	duHsahA SrUyate SAstrAt titIrzet api tAm suDIH // HBu _1.29 //
   tathā coktam ekādaśa skandhe [BhP 11.9.29] 	taTA ca uktam ekAdaSa  skanDe [Bhj 11.9.29] 
   labdhvā su durlabham idaṃ bahu sambhavānte	labDvA su durlaBam idam bahu  samBava ante
   mānuṣyam artha dam anityam apīha dhīraḥ |	mAnuzyam arTa dam anityam api iha DIraH |
   tūrṇaṃ yateta na pated anu mṛtyu yāvan	tUrNam yateta na patet anu mRtyu yAvat 
   niḥśreyasāya viṣayaḥ khalu sarvataḥ syāt // Hbhv_1.30 //	niHSreyasAya vizayaH Kalu sarvatas syAt // HBu _1.30 //
   svayaṃ śrī bhagavatā ca [BhP 11.20.17] 	svayam SrI  BagavatA ca [Bhj 11.20.17] 
   nṛ deham ādyaṃ su labhaṃ su durlabhaṃ	nR  deham Adyam su  laBam su durlaBam
   plavaṃ su kalpaṃ guru karṇa dhāram |	plavam su kalpam guru karNa  DAram |
   mayānukūlena nabhasvateritaṃ	mayA anukUlena naBasvatA Iritam
   pumān bhavābdhiṃ na taret sa ātma hā // Hbhv_1.31 //	pumAn Bava abDim na taret saH Atma  hA // HBu _1.31 //
   atha śrī gurūpasattiḥ	aTa SrI  guru upasattiH
   tatraiva śrī prabuddha yogeśvaroktau [BhP 11.3.21] 	tatra eva SrI  prabudDa  yoga ISvara uktO [Bhj 11.3.21] 
   tasmād guruṃ prapadyeta jijñāsuḥ śreya uttamam |	tasmAt gurum prapadyeta jijQAsuH SreyaH uttamam |
   śābde pare ca niṣṇātaṃ brahmaṇy upaśamāśrayam // Hbhv_1.32 //	SAbde pare ca nizNAtam brahmaNi upaSama ASrayam // HBu _1.32 //
   svayaṃ śrī bhagavad uktau [BhP 11.10.5] 	svayam SrI  Bagavat  uktO [Bhj 11.10.5] 
   mad abhijñaṃ guruṃ śāntam upāsīta mad ātmakam // Hbhv_1.33 //	mad  aBijQam gurum SAntam upAsIta mad a Atmakam // HBu _1.33 //
   krama dīpikāyāṃ [4.2] ca   	krama dIpikAyAm [4.2] ca   
   vipraṃ pradhvasta kāma prabhṛti ripu ghaṭaṃ nirmalāṅgaṃ gariṣṭhāṃ	vipram praDvasta kAma  praBRti  ripu  Gawam nirmala aFgam garizWAm
   bhaktiṃ kṛṣṇāṅghri paṅkeruha yugala rajorāgiṇīm udvahantam |	Baktim kRzNa aFGri  paFkeru ha  yugala  rajaH rAgiNIm udvahantam |
   vettāraṃ veda śāstāgama vimala pathāṃ sammataṃ satsu dāntaṃ	vettAram veda SAsta Agama  vimala  paTAm sammatam satsu dAntam
   vidyāṃ yaḥ saṃvivitsuḥ pravaṇa tanu manā deśikaṃ saṃśrayeta // Hbhv_1.34	vidyAm yaH saMvivitsuH pravaNa tanu manAH deSikam saMSrayeta // HBu _1.34
   śrutāv api [MuṇḍU 1.2.12, ChāU 6.14.2]  	SrutO api [MuNxU 1.2.12, ShAU 6.14.2]  
   tad vijñānārthaṃ sa gurum evābhigacchet samit pāṇiḥ śrotriyaṃ	tad  vijQAna arTam sa gurum eva aBigacCet samit  pANiH Srotriyam
   brahma niṣṭham |	brahma  nizWam |
   ācāryavān puruṣo veda // Hbhv_1.35 //	AcAryavAn puruzaH veda // HBu _1.35 //
   atha gurūpasatti nityatā	aTa guru upasatti nitya tA
   śrī bhāgavate daśama skandhe śruti stutau [BhP 10.87.33]	SrI  BAgavate daSama  skanDe Sruti stutO [Bhj 10.87.33]
   vijita hṛṣīka vāyubhir adānta manas tura gaṃ	vijita  hRzIka vAyuBiH adAnta  manaH tura gam
   ya iha yatanti yantum ati lolam upāya khidaḥ |	yaH iha yatanti yantum ati lolam upAya  KidaH |
   vyasana śatānvitāḥ samavahāya guroś caraṇaṃ	vyasana Sata anvitAH samavahAya guroH caraNam
   vaṇija ivāja santy akṛta karṇa dharā jaladhau // Hbhv_1.36 //	vaNijaH iva Aja santi akRta karNa  DarAH jalaDO // HBu _1.36 //
   śrutau ca [KaṭhU 1.2.9] 	SrutO ca [KaWU 1.2.9] 
   naiṣā tarkeṇa matir āpaneyā	na ezA tarkeNa matiH ApaneyA
   proktānyenaiva sujñānāya preṣṭha // Hbhv_1.37 //	proktA anyena eva su jQAnAya prezWa // HBu _1.37 //
   atha viśeṣataḥ śrī guror lakṣaṇāni	aTa viSezataH SrI  guroH lakzaNAni
   mantra muktāvalyām  	mantra muktAvalyAm  
   avadātānvayaḥ śuddhaḥ svocitācāra tat paraḥ |	avadAta anvayaH SudDaH sva ucita AcAra tat  paraH |
   āśramī krodha rahito vedavit sarva śāstravit // Hbhv_1.38 //	ASramI kroDa  rahitaH veda vid sarva SAstra vid // HBu _1.38 //
   śraddhāvān anasūyaś ca priya vāk priya darśanaḥ |	SradDAvAn anasUyaH ca priya vAc priya darSanaH |
   śuciḥ suveśas taruṇaḥ sarva bhūta hite rataḥ // Hbhv_1.39 //	SuciH su veSaH taruNaH sarva BUta  hite rataH // HBu _1.39 //
   dhīmān anuddhata matiḥ pūrṇo 'hantā vimarśakaḥ |	DImAn anudData matiH pUrNaH ahantA vimarSakaH |
   sa guṇo 'rcāsu kṛtadhīḥ kṛtajñaḥ śiṣya vatsalaḥ // Hbhv_1.40 //	sa guNaH arcAsu kRta DIH kRtajQaH Sizya  vatsalaH // HBu _1.40 //
   nigrahānugrahe śakto homa mantra parāyaṇaḥ |	nigraha anugrahe SaktaH homa  mantra  parAyaNaH |
   ūhāpoha prakāra jñaḥ śuddhātmā yaḥ kṛpālayaḥ |	UhA apoha  prakAra   jQaH SudDa AtmA yaH kRpA AlayaH |
   ity ādi lakṣaṇair yukto guruḥ syād garimā nidhiḥ // Hbhv_1.41 //	iti Adi lakzaNEH yuktaH guruH syAt garimA niDiH // HBu _1.41 //
   agastya saṃhitāyāṃ ca   	agastya saMhitAyAm ca   
   devatopāsakaḥ śānto viṣayeṣv api niḥspṛhaḥ |	devatA upAsakaH SAntaH vizayezu api niHspRhaH |
   adhyātmavid brahma vādī veda śāstrārtha kovidaḥ // Hbhv_1.42 //	aDyAtma vid brahma vAdI veda SAstra arTa  kovidaH // HBu _1.42 //
   uddhartuṃ caiva saṃhartuṃ samartho brāhmaṇottamaḥ |	udDartum ca eva saMhartum samarTaH brAhmaNa uttamaH |
   tattvajño yantra mantrāṇāṃ marma bhettā rahasyavit // Hbhv_1.43 //	tattva jQaH yantra  mantrANAm marma  BettA rahasya vid // HBu _1.43 //
   puraścaraṇa kṛd dhoma mantra siddhaḥ prayogavit |	puraScaraNa kRt Doma  mantra sidDaH prayoga vid |
   tapasvī satya vādī ca gṛhastho gurur ucyate // Hbhv_1.44 //	tapasvI satya vAdI ca gRhasTaH guruH ucyate // HBu _1.44 //
   viṣṇu smṛtau   	vizNu  smRtO   
   paricaryā yaśo lābha lipsuḥ śiṣyād gurur nahi |	paricaryA yaSaH  lABa  lipsuH SizyAt guruH na hi |
   kṛpā sindhuḥ susampūrṇaḥ sarva sattvopakārakaḥ // Hbhv_1.45 //	kRpA  sinDuH su sampUrNaH sarva sattva upakArakaH // HBu _1.45 //
   niḥspṛhaḥ sarvataḥ siddhaḥ sarva vidyā viśāradaḥ |	niHspRhaH sarvatas sidDaH sarva  vidyA  viSAradaH |
   sarva saṃśaya saṃchettā nālaso gurur āhṛtaḥ // Hbhv_1.46 //	sarva saMSaya  saMCettA na alasaH guruH AhRtaH // HBu _1.46 //
   śrī nārada pañcarātre śrī bhagavan nārada saṃvāde  	SrI nArada  paQcarAtre SrI  Bagavan nArada  saMvAde  
   brāhmaṇaḥ sarva kāla jñaḥ kuryāt sarveṣv anugraham |	brAhmaNaH sarva kAla   jQaH kuryAt sarvezu anugraham |
   tad abhāvād dvija śreṣṭhaḥ śāntātmā bhagavan mayaḥ // Hbhv_1.47 //	tad  aBAvAt dvija  SrezWaH SAnta AtmA Bagavan mayaH // HBu _1.47 //
   bhāvitātmā ca sarvajñaḥ śāstrajñaḥ sat kriyā paraḥ |	BAvitAtmA ca sarvajQaH SAstra jQaH sat kriyA  paraH |
   siddhi trayam āyukta ācāryatve'bhiṣecitaḥ // Hbhv_1.48 //	sidDi  trayam AyuktaH AcArya tve aBizecitaH // HBu _1.48 //
   kṣatra viṭ śūdra jātīnāṃ kṣatriyo 'nugrahe kṣamaḥ |	kzatra viw  SUdra  jAtInAm kzatriyaH anugrahe kzamaH |
   kṣatriyasyāpi ca guror bhāvād īdṛśo yadi // Hbhv_1.49 //	kzatriyasya api ca guroH BAvAt IdRSaH yadi // HBu _1.49 //
   vaiśyaḥ syāt tena kāryaś ca dvaye nityam anugrahaḥ |	vESyaH syAt tena kAryaH ca dvaye nityam anugrahaH |
   sajātīyena śūdreṇa tādṛśena mahā mate |	sajAtIyena SUdreNa tAdRSena mahA a mate |
   anugrahābhiṣekau ca kāryau śūdrasya sarvadā // Hbhv_1.50 //	anugraha aBizekO ca kAryO SUdrasya sarvadA // HBu _1.50 //
   kiṃ ca  	kim ca  
   varṇottam'tha ca gurau sati yā viśrute'pi ca |	varNa uttam aTa ca gurO sati yA viSrute api ca |
   svadeśato 'that vānyatra nedaṃ kāryaṃ śubhārthinā // Hbhv_1.51 //	sva deSataH aTat vA anyatra na idam kAryam SuBa arTinA // HBu _1.51 //
   vidyamāne tu yaḥ kuryāt yatra tatra viparyayam |	vidyamAne tu yaH kuryAt yatra tatra viparyayam |
   tasyehāmutra nāśaḥ syāt tasmāc chāstroktam ācaret //	tasya iha amutra nASaH syAt tasmAt SAstra uktam Acaret //
   kṣatra viṭ śūdra jātīyaḥ prātilomyaṃ na dīkṣayet // Hbhv_1.52 //	kzatra viw  SUdra  jAtIyaH prAtilomyam na dIkzayet // HBu _1.52 //
   pādme ca [PadmaP 6.253.26] 	pAdme ca [Pat maP 6.253.26] 
   mahā bhāgavataḥ śreṣṭho brāhmaṇo vai gurur nṛṇām |	mahA   BAgavataH SrezWaH brAhmaNaH vE guruH nRNAm |
   sarveṣām eva lokānām asau pūjyo yathā hariḥ // Hbhv_1.53 //	sarvezAm eva lokAnAm asO pUjyaH yaTA hariH // HBu _1.53 //
   mahākūla prasūto 'pi sarva yajñeṣu dīkṣitaḥ |	mahA kUla  prasUtaH api sarva yajQezu dIkzitaH |
   sahasra śākhādhyāyī ca na guruḥ syād avaiṣṇavaḥ // Hbhv_1.54 //	sahasra SAKA aDyAyI ca na guruH syAt avEzNavaH // HBu _1.54 //
   iti	iti
   gṛhīta viṣṇu dīkṣāko viṣṇu pūjā paro naraḥ |	gRhIta  vizNu dIkzAkaH vizNu  pUjA a  paraH naraH |
   vaiṣṇavo 'bhihito 'bhijñair itaro 'smād avaiṣṇavaḥ // Hbhv_1.55 //	vEzNavaH aBihitaH aBijQEH itaraH asmAt avEzNavaH // HBu _1.55 //
   tattva sāgare 	tattva  sAgare 
   bahvāśī dīrgha sūtrī ca viṣayādiṣu lolupaḥ |	bahu ASI dIrGa sUtrI ca vizaya Adizu lolupaH |
   hetu vāda rato duṣṭo 'vāg vādī guṇa nindakaḥ // Hbhv_1.56 //	hetu vAda  rataH duzwaH avAg vAdI guNa nindakaH // HBu _1.56 //
   aromā bahu romā ca ninditāśrama sevakaḥ |	aromA bahu romA ca nindita ASrama  sevakaH |
   kāla danto 'sitauṣṭhaś ca durgandhi śvāsa vāhakaḥ // Hbhv_1.57 //	kAla dantaH asita ozWaH ca durganDi  SvAsa vAhakaH // HBu _1.57 //
   duṣṭa lakṣaṇa sampanno yadyapi svayam īśvaraḥ |	duzwa  lakzaNa  sampannaH yadi api svayam ISvaraH |
   bahu pratigrhāsakta ācāryaḥ śrī kṣayāvahaḥ // Hbhv_1.58 //	bahu  pratigrha AsaktaH AcAryaH SrI  kzaya AvahaH // HBu _1.58 //
   atha śiṣya lakṣaṇāni	aTa Sizya  lakzaNAni
   mantra muktāvalyām 	mantra muktA valyAm 
   śiṣyaḥ śuddhānvayaḥ śrīmān vinītaḥ priya darśanaḥ |	SizyaH SudDa anvayaH SrImAn vinItaH priya darSanaH |
   satya vāk puṇya carito 'dabhra dhīr dambha varjitaḥ // Hbhv_1.59 //	satya vAc puNya caritaH adaBra DIH damBa varjitaH // HBu _1.59 //
   kāma krodha parityāgī bhaktaś ca guru pādayoḥ |	kAma  kroDa  parityAgI BaktaH ca guru  pAdayoH |
   devatā pravaṇaḥ kāya mano vāgbhir divā niśam // Hbhv_1.60 //	devatA  pravaNaH kAya  mano vAgBiH divA niSam // HBu _1.60 //
   nīrujo nirjitāśeṣa pātakaḥ śraddhyānvitaḥ |	nIrujaH nirjita aSeza  pAtakaH SradDyA anvitaH |
   dvija deva pitṝṇāṃ ca nityam arcā parāyaṇaḥ // Hbhv_1.61 //	dvija  deva  pitLNAm ca nityam arcA  parAyaNaH // HBu _1.61 //
   yuvā viniyatāśeṣa karaṇaḥ karuṇālayaḥ |	yuvA viniyata aSeza karaNaH karuNA AlayaH |
   ity ādi lakṣaṇair yuktaḥ śiṣyo dīkṣādhikāravān // Hbhv_1.62 //	iti Adi lakzaNEH yuktaH SizyaH dIkzA aDikAravAn // HBu _1.62 //
   ekādaśa skandhe ca [BhP 11.10.6]   	ekAdaSa  skanDe ca [Bhj 11.10.6]   
   amāny amatsaro dakṣo nirmamo dṛṭha sauhṛdaḥ |	amAnI amatsaraH dakzaH nirmamaH dRWa  sOhRdaH |
   asatvaro 'rtha jijñāsur anasūyur amogha vāk // Hbhv_1.63 //	asatvaraH arTa jijQAsuH anasUyuH amoGa  vAc // HBu _1.63 //
   athāpekṣyāḥ	aTa apekzyAH
   agastya saṃhitāyām 	agastya saMhitAyAm 
   alasā malināḥ kliṣṭā dāmbhikāḥ kṛpaṇās tathā |	alasAH malinAH klizwAH dAmBikAH kRpaNAH taTA |
   daridrā rogiṇo ruṣṭā rāgiṇo bhoga lālasāḥ // Hbhv_1.64 //	daridrAH rogiNaH ruzwAH rAgiNaH Boga  lAlasAH // HBu _1.64 //
   asūyā matsara grastāḥ śaṭhāḥ paruṣa vādinaḥ |	asUyA  matsara   grastAH SaWAH paruza vAdinaH |
   anyāyopārjita dhanāḥ para dāra ratāś ca ye // Hbhv_1.65 //	anyAya upArjita  DanAH para  dAra   ratAH ca ye // HBu _1.65 //
   viduṣāṃ vairiṇaś caiva ajñāḥ paṇḍita māninaḥ |	viduzAm vEriNaH ca eva ajQAH paNxita mAninaH |
   bhraṣṭa vratāś ca ye kaṣṭa vṛttayaḥ piśunāḥ khalāḥ // Hbhv_1.66 //	Brazwa  vratAH ca ye kazwa vRttayaH piSunAH KalAH // HBu _1.66 //
   bahv āśinaḥ krūra ceṣṭā durātmanaś ca nindita |	bahu  ASinaH krUra cezwAH durAtmanaH ca nindita |
   ity evam ādayo 'py anye pāpiṣṭhāḥ puruṣādhamāḥ // Hbhv_1.67 //	iti evam AdayaH api anye pApizWAH puruza aDamAH // HBu _1.67 //
   akṛtyebhyo 'nivāryāś ca guru śikṣā sahiṣṇavaḥ |	akRtyeByaH anivAryAH ca guru SikzA  sahizNavaH |
   evambhūtāḥ parityājyāḥ śiṣyatve nopakalpitāḥ // Hbhv_1.68 //	evam BUtAH parityAjyAH Sizya tve na upakalpitAH // HBu _1.68 //
   yady ete hy upakalperan devatākrośa bhājanāḥ |	yadi ete hi upakalperan devatA kroSa  BAjanAH |
   bhavantīha dardrās te putra dāra vivarjitāḥ // Hbhv_1.69 //	Bavanti iha dardrAH te putra  dAra  vivarjitAH // HBu _1.69 //
   nārakāś caiva dehānte tiryañcaḥ prabhavanti te // Hbhv_1.70 //	nArakAH ca eva dehAnte tiryaQcaH praBavanti te // HBu _1.70 //
   hayaśīrṣa pañcarātre 	hayaSIrza  paQcarAtre 
   jaiminiḥ sugataś caiva nāstiko nagna eva ca |	jEminiH sugataH ca eva nAstikaH nagnaH eva ca |
   kapilaś cākṣapādaś ca ṣaḍ ete hetu vādinaḥ // Hbhv_1.71 //	kapilaH ca akzapAdaH ca zaw ete hetu vAdinaH // HBu _1.71 //
   etan matānusāreṇa vartante ye narādhamāḥ |	etan matA anusAreNa vartante ye nara aDamAH |
   te hetuvādinaḥ proktās tebhyas tantraṃ na dāpayet // Hbhv_1.72 //	te hetuvAdinaH proktAH teByaH tantram na dApayet // HBu _1.72 //
   iti	iti
   tayoḥ parīkṣā cānyo 'nyam ekābdaṃ saha vāsataḥ |	tayoH parIkzA ca anyaH anyam eka abdam saha vAsataH |
   vyavahāra svabhāvānubhavenaivābhijāyate // Hbhv_1.73 //	vyavahAra  svaBAva anuBavena eva aBijAyate // HBu _1.73 //
   atha parīkṣaṇam	aTa parIkzaNam
   mantra muktāvalyāṃ 	mantra muktA valyAM 
   tayor vatsara vāsena jñātānyonya svabhāvayoḥ |	tayoH vatsara  vAsena jQAta anyonya  svaBAvayoH |
   gurutā śiṣyatā ceti nānyathaiveti niścayaḥ // Hbhv_1.74 //	guru tA Sizya tA ca iti na anyaTA eva iti niScayaH // HBu _1.74 //
   śrutiś ca 	SrutiH ca 
   nāsaṃvatsara vāsine deyāt // Hbhv_1.75 //	na asaMvatsara vAsine deyAt // HBu _1.75 //
   sāra saṅgrahe'pi 	sAra  saFgrahe api 
   sad guruḥ svāśritaṃ śiṣyaṃ varṣm ekaṃ parīkṣayet // Hbhv_1.76 //	sad guruH su a ASritam Sizyam varzm ekam parIkzayet // HBu _1.76 //
   rājñi cāmātyajā doṣāḥ patnī pāpaṃ sva bhartari |	rAjQi ca amAtya jAH dozAH patnI  pApam sva Bartari |
   tathā śiṣyārjitaṃ pāpaṃ guruḥ prāpnoti niścitam // Hbhv_1.77 //	taTA Sizya arjitam pApam guruH prApnoti niScitam // HBu _1.77 //
   krama dīpikāyāṃ tu [4.3]   	krama dIpikAyAm tu [4.3]   
   santoṣayed akuṭilādretarāntarātmā	santozayet akuwila adra itara antarAtmA
   taṃ svair dhanaiś ca vapuṣāpy anukūlavāṇyā |	tam svEH DanEH ca vapuzA api anukUla vANyA |
   abda trayaṅkamalanābhadhiyā'tidhīras	abda trayaFka malanABa DiyA ati DIra s
