   Kṣaṇabhaṅgasiddhiḥ /	KzaNa BaFga sidDiH /
   atra prayogaḥ / yad yadā yajjananavyavahārayogyaṃ tattadā tajjanayatyeva /	atra prayogaH / yat yadA yat janana vyavahAra yogyam tat tadA tat janayati eva /
   yathā antyā kāraṇasāmagrī svakāryyaṃ /	yaTA antyA kAraNa sAmagrI sva kAryyam /
   atītānāgatakṣaṇabhāvikāryyajananavyavahārayogyaścāyaṃ ghaṭo	atIta anAga takzaNa BAvi kAryya janana vyavahAra yogyaH ca ayam Gawo
   varttamānakṣaṇabhāvikāryyakaraṇakāle sakalakriyātikramakāle 'pīti	varttamAna kzaNa BAvi kAryya karaNa kAle sakala kriyA atikrama kAle api iti
   svabhāvahetuprasaṅgaḥ / asya ca	svaBAva hetu prasaFgaH / asya ca
   dvitīyādikṣaṇabhāvikāryyakaraṇavyavahāragocaratvasya prasaṅgasādhanasya	dvitIya Adi kzaNa BAvi kAryya karaNa vyavahAra gocara tvasya prasaFga sADanasya
   vārttamānikakāryyakaraṇakāle sakalakriyātikramakāle ca ghaṭe dharmmiṇi	vArtta mAnika kAryya karaNa kAle sakala kriyA atikrama kAle ca Gawe DarmmiNi
   parābhyupagamamātrataḥ sidvatvāt asidvistāvadasambhavinī / nāpi virudvatā,	para aByupagama mAtrataH sidva tvAt asi dviH tAvat asamBavinI / na api virudvatA,
   sapakṣe antyakāraṇasāmagryāṃ sadbhāvasambhavāt /	sa pakze antya kAraNa sAmagryAm sadBAva samBavAt /
   nanvayaṃ sādhāraṇānaikāntiko hetuḥ / sākṣādajanake 'pi	nanu ayam sADAraNA anEkAntikaH hetuH / sAkzAt ajanake api
   kuśūlādyavasthitavījādau vipakṣe samarthavyavahāragocaratvasya sādhanasya	kuSUla Adi avasTita vIja AdO vipakze samarTa vyavahAra gocara tvasya sADanasya
   darśanāditi cet / na / dvividho hi samarthavyavahāraḥ pāramārthikaḥ	darSanAt iti ced / na / dviviDaH hi samarTa vyavahAraH pAramArTikaH
   aupacārikaśca / tatra yatpāramārthikam jananaprayuktaṃ	OpacArikaH ca / tatra yat pAramArTikam janana prayuktam
   jananavyavahāragocaratvaṃ tadiha sādhanatvenopāttaṃ / tasya ca	janana vyavahAra gocara tvam tat iha sADana tvena upAttam / tasya ca
   kuśūlādyavasthita vījādau kāraṇakāraṇatvāt	kuSUla Adi avasTita vIja AdO kAraNa kAraNa tvAt
   aupacārikajananavyavahāraviṣayabhūte sambhavābhāvāt kutaḥ	OpacArika janana vyavahAra vizaya BUte samBava aBAvAt kutas 
   sādhāraṇānaikāntikatā / na cāsya sandigdhavyatirekitā viparyyaye	sADAraNa anEkAntika tA / na ca asya sandigDa vyatirekitAH viparyyaye
   bādhakapramāṇasadbhāvāt / tathāhīdaṃ jananavyavahāragocaratvaṃ	bADaka pramANa sadBAvAt / taTA ahi idam janana vyavahAra gocara tvam
   niyataviṣayatvena vyāptamiti sarvvajanānubhavasiddham / na cedaṃ	niyata vizaya tvena vyAptam iti sarvu ajana anuBava sidDam / na ca idam
   nirnimittaṃ / deśakālasvabhāvaniyamābhāvaprasaṅgāt / na ca	nirnimittam / deSa kAla svaBAva niyama aBAva prasaFgAt / na ca
   jananādanyannimittamupalabhyate / tadanvayavyatirekānuvidhānadarśanāt /	jananAt anyat nimittam upalaByate / tad anvaya vyatireka anuviDAna darSanAt /
   yadi ca jananamantareṇāpi jananavyavahāragocaratvaṃ syāt tadā sarvvasya	yadi ca jananam antareNa api janana vyavahAra gocara tvam syAt tadA sarvu asya
   sarvvatra jananavyavahāra ityaniyamaḥ syāt / niyataścāyaṃ pratītaḥ / tato	sarvu atra janana vyavahAraH iti aniyamaH syAt / niyataH ca ayam pratItaH / tatas 
   jananābhāve vipakṣe niyataviṣayatvasya vyāpakasya nivṛttau nivarttamānaṃ	janana aBAve vipakze niyata vizaya tvasya vyApakasya nivRttO nivarttamAnam
   jananavyavahāragocaratvaṃ janana eva viśrāmyatīti vyāptisidveranavadyo	janana vyavahAra gocara tvam jananaH eva viSrAmyati iti vyApti sidvera navat yaH 
   hetuḥ / na caiṣa ghaṭo varttamānakāryyakaraṇakṣaṇe sakalakriyātikramaṇe ca	hetuH / na ca eza GawaH varttamAna kAryya karaNa kzaNe sakala kriyA atikramaNe ca
   atītānāgatakṣaṇabhāvikāryyaṃ janayati / tato na jananavyavahārayogyaḥ /	atIta anAga takzaNa BAvi kAryyam janayati / tatas na janana vyavahAra yogyaH /
   sarvvaḥ prasaṅgaḥ prasaṅgaviparyyayaniṣṭha iti nyāyāt /	sarvvaH prasaFgaH prasaFga viparyyaya nizWaH iti nyAyAt /
   atrāpi prayogaḥ / yadyadā yanna karoti / tattadā tatra	atra api prayogaH / yat yadA yat na karoti / tat tadA tatra
   samarthavyavahārayogyaṃ yathā śālyaṅkuramakurvvan kodravaḥ śālyaṅkure / na	samarTa vyavahAra yogyam yaTA SAli aFkuram akurvvan kodravaH SAli aFkure / na
   karoti caiṣa ghaṭo varttamānakṣaṇabhāvikāryyakaraṇakāle	karoti ca eza GawaH varttamAna kzaNa BAvi kAryya karaNa kAle
   sakalakriyātikramakāle cātītānāgatakṣaṇabhāvikāryyamiti	sakala kriyA atikrama kAle ca atIta anAga takzaNa BAvi kAryyam iti
   vyāpakānupalabdhirbhinatti samarthakṣaṇādasamarthakṣaṇam /	vyApaka an upalabDiH Binatti samarTa kzaNAt asamarTa kzaNam /
   atrāpyasiddhirnāsti varttamānakṣaṇabhāvikāryyakaraṇakāle	atra api asidDiH na asti varttamAna kzaNa BAvi kAryya karaNa kAle
   sakalakriyātikramakāle ca atītānāgatakṣaṇabhāvikāryyakaraṇasyāyogāt / nāpi	sakala kriyA atikrama kAle ca atIta anAga takzaNa BAvi kAryya karaNasya ayogAt / na api
   virodhaḥ sapakṣe bhāvāt / na cānaikāntikatā pūrvvoktena nyāyena samartha	viroDaH sa pakze BAvAt / na ca anEkAntika tA pUrvva uktena nyAyena samarTa
   vyavahāragocaratvajanakatvayovidhibhūtayoḥ sarvvopasaṃhāravatyā vyāpteḥ	vyavahAra gocara tva janaka tva yaH viDi BUtayoH sarvvA upasaMhAravatyA vyApteH
   prasādhanāt /	prasADanAt /
   yatpunaratroktaṃ yadyadā yanna karoti na tattadā tatra samarthamityatra	yat punar atra uktam yat yadA yat na karoti na tat tadA tatra samarTam iti atra
   kaḥ karotyarthaḥ / kiṃ kāraṇatvaṃ? tatkāryyotpādānuguṇasahakārisākalyaṃ?	kaH karoti arTaH / kim kAraNa tvaM? tad kAryya utpAda anuguNa sahakAri sAkalyaM?
   āhosvit kāryyāvyabhicāraḥ? kāryyasambandho veti? tatra kāraṇatvameva	Ahosvit kAryya avyaBicAraH? kAryya sambanDaH vA iti? tatra kAraNa tvam eva
   karotyarthaḥ / tataḥ pakṣāntarabhāvino doṣā anabhyupagamapratihatāḥ /	karoti arTaH / tatas pakza antara BAvinaH dozAH anaByupagama pratihatAH /
   na cātrapakṣe kāraṇatvasāmarthyayoḥ paryyāyatvena vyāpakānupalambhasya	na ca atra pakze kAraNa tva sAmarTyayoH paryyAya tvena vyApaka anupalamBasya
   sādhyāviśiṣṭatvamabhidhātumucitaṃ / samarthavyavahāragocaratvābhāvasya	sADya aviSizwa tvam aBiDAtum ucitam / samarTa vyavahAra gocara tva aBAvasya
   sādhyatvāt / kāraṇatvasamarthavyavahāragocaratvayośca bṛkṣaśiṃśapayoriva	sADya tvAt / kAraNatva samarTa vyavahAra gocara tvayoH ca bRkza SiMSapayoH iva
   vyāvṛttibhedo 'stītyanavasara eva evaṃvidhasya kṣudrapralāpasya / tadevaṃ	vyAvRtti BedaH asti iti anavasaraH eva evaMviDasya kzudra pralApasya / tat evam
   prasaṅgaprasaṅgaviparyyayahetudvayabalato ghaṭe dṛṣṭānte kṣaṇabhaṅgaḥ	prasaFga prasaFga viparyyaya hetu dvaya balataH Gawe dRzwAnte kzaNa BaFgaH
   siddhaḥ / tatkathaṃ sattvādanyadanumānaṃ dṛṣṭānte kṣaṇabhaṅgasādhakam /	sidDaH / tat kaTam sattvAt anyat anumAnam dRzwAnte kzaNa BaFga sADakam /
   nāstītyucyate / na caivaṃ sattvahetorvaiyarthyaṃ / dṛṣṭāntamātra eva	na asti iti ucyate / na ca evam sattva hetoH vEyarTyam / dRzwAnta mAtre eva
   prasaṅgaprasaṅgaviparyyayābhyāṃ kṣaṇabhaṅgaprasādhanāt nanvābhyāmeva pakṣe	prasaFga prasaFga viparyyayAByAm kzaNa BaFga prasADanAt nanu AByAm eva pakze
   'pi kṣaṇabhaṅgasiddhirastviti cet / astu ko doṣaḥ / yo hi pratipattā	api kzaNa BaFga sidDiH astu iti ced / astu kaH dozaH / yaH hi pratipattA
   prativastu yadyadā yajjananavyavahārayogyaṃ tattadā tajjanayatītyā	prativastu yat yadA yat janana vyavahAra yogyam tat tadA tad janayati ityA
   dikamupanyasituṃ analasastasya tata eva kṣaṇabhaṅgasiddhiḥ / yastu	dikam upanyasitum analasaH tasya tatas eva kzaNa BaFga sidDiH / yaH tu
   prativastu tannyāyopanyāsaprayāsabhīruḥ sa ttvekatradharmmiṇi yadyadā	prativastu tat nyAya upanyAsa prayAsa BIruH sa ttu ekatra DarmmiNi yat yadA
   yajjananavyavahārayogyaṃ tattadā tajjanayatītyādinyāyena	yat janana vyavahAra yogyam tat tadA tat janayati ityAdi nyAyena
   sattvamātramasthairyyavyāptamavadhāryyasattvādevānyatra	sattva mAtram asTEryyavyAptam avaDAryya sattvAt eva anyatra
   kṣaṇikatvamavagacchatīti / kathamapramattovaiyarthyamasyācakṣīta	kzaNika tvam avagacCati iti / kaTam apramattaH vEyarTyam asya AcakzIta
   tadevamekārthakāriṇo ghaṭasya dvitīyādikṣaṇabhāvikāryyāpekṣayā	tat evam ekArTa kAriNaH Gawasya dvitIya Adi kzaNa BAvi kAryyA apekzayA
   samarthetarasvabhāvavirudvadharmmā dhyāsāt bheda eveti kṣaṇabhaṅgatayā	samarTa itara svaBAva virudva DarmmA DyAsAt BedaH eva iti kzaNa BaFga tayA
   sapakṣatāmāvahati ghaṭe sattveheturupalabhyamāno na virudvaḥ /	sa pakzatAm Avahati Gawe sattva IhetuH upalaByamAnaH na virudvaH /
   na cāya manaikāntikaḥ / atraiva sādharmmyavati dṛṣṭānte	na ca aya manEkAntikaH / atra eva sADarmmyavati dRzwAnte
   sarvvopasaṃhāravatyā vyāpteḥ prasādhanāt / nanu viparyyaye	sarvva upasaMhAravatyA vyApteH prasADanAt / nanu viparyyaye
   bādhakapramāṇabalābdyāptisiddhistasya copanyāsavārttāpi nāsti tatkathaṃ	bADaka pramANa bala abdya Apti sidDiH tasya ca upanyAsa vArttA api na asti tat kaTam
   vyāptiḥ prasādhiteti cet / tadetat taralatarabuddhivilasitaṃ / tathā hi	vyAptiH prasADitA iti ced / tat etat taralatara budDi vilasitam / taTA hi
   uktametat varttamānakṣaṇabhāvikāryyakaraṇakāle atītānāgatakṣaṇabhāvikāryye	uktam etat varttamAna kzaNa BAvi kAryya karaNa kAle atIta anAga takzaNa BAvi kAryye
   'pi ghaṭasya śaktisambhave tadānīmevaitat karaṇamakaraṇe ca	api Gawasya Sakti samBave tadAnIm eva etat karaNam akaraNe ca
   śaktāśaktasvabhāvatayā pratikṣaṇaṃ bheda iti kṣaṇikatvena vyāptaiva sā	Sakta aSakta svaBAva tayA pratikzaNam BedaH iti kzaNika tvena vyAptA eva sA
   arthakriyāśaktiḥ /	arTa kriyASaktiH /
   nanvevaṃ anvayamātramastu vipakṣāt punarekāntena vyāvṛttiriti kuto	nanu evam anvaya mAtram astu vipakzAt punar ekAntena vyAvRttiH iti kuto
   labhyamiti cet, vyāptisiddhereva / byatirekasandehe vyāptisiddhireva	laByam iti cet, vyApti sidDeH eva / byatiH eka sandehe vyApti sidDiH eva
   kathamiti cet, na dvividhā hi vyāptisiddhiranvayarūpā ca karttṛdharmmaḥ /	kaTam iti cet, na dviviDA hi vyApti sidDiH anvaya rUpA ca karttR DarmmaH /
   sādhanadharmmavati dharmmiṇi sādhyadharmmasyāvaśyambhāvo yaḥ /	sADana Darmmavati DarmmiNi sADya Darmmasya avaSyamBAvaH yaH /
   vyatirekarūpā ca karmmadharmmaḥ sādhyābhāve sādhanasyāvaśyamabhāvo yaḥ /	vyatireka rUpA ca karmma DarmmaH sADya aBAve sADanasya avaSyam aBAvaH yaH /
   enayoścaikatarapratītiniyamena dvitīyapratītimākṣipati / anyathā, ekasyāḥ	enayoH ca ekatara pratIti niyamena dvitIya pratItim Akzipati / anyaTA, ekasyAH
   eva siddhaḥ / tasmād / yathā viparyyaye bādhakapramāṇabalāt niyamavati	eva sidDaH / tasmAt / yaTA viparyyaye bADaka pramANa balAt niyamavati
   vyatireke siddhe anvayaviṣayaḥ saṃśayaḥ pūrvvaṃ sthito 'pi	vyatireke sidDe anvaya vizayaH saMSayaH pUrvvam sTitaH api
   paścātparigalati / tato 'nvayaprasādhanārthaṃ na pṛthaksādhanamucyate /	paScAt parigalati / tatas anvaya prasADana arTam na pRTak sADanam ucyate /
   tathā prasaṅgatadviparyyayahetudvayabalato niyamavatyanvaye siddhe	taTA prasaFga tad viparyyaya hetu dvaya balataH niyamavatI anvaye sidDe
   vyatirekaviṣaye pūrvvaṃ sthito 'pi sandehaḥ paścātparigalatyeva / na ca	vyatireka vizaye pUrvvam sTitaH api sandehaH paScAt parigalati eva / na ca
   vyatirekasādhakamanyat pramāṇaṃ vyaktavyam / tataśca sādhyābhāve	vyatireka sADakam anyat pramANam vyaktavyam / tatas ca sADya aBAve
   sādhanasyaikāntiko vyatirekaḥ / sādhane sati sādhyasyāvaśyamanvayo veti na	sADanasya ekAntikaH vyatirekaH / sADane sati sADyasya avaSyam anvayaH vA iti na
   kaścidarthabhedaḥ tadevaṃ viparyyayabādhakapramāṇamantareṇāpi	kaScid arTa BedaH tat evam viparyyaya bADaka pramANam antareNa api
   prasaṅgaprasaṅgaviparyyayahetudvayabalāt anvayarūpavyāptisidvau	prasaFga prasaFga viparyyaya hetu dvaya balAt anvaya rUpa vyApti sidvO
   sattvahetoranaikāntikasyābhāvādataḥ sādhanāt kṣaṇabhaṅgasidviranavadyeti /	sattva hetoH anEkAntikasya aBAvAt atas sADanAt kzaNa BaFga sidvis a navadyA iti /
   nanu ca sādhanamidamasidvaṃ, na hi kāraṇabudhyā kāryyaṃ gṛhyate / tasya	nanu ca sADanam idam asi dvaM, na hi kAraNa buDyA kAryyam gRhyate / tasya
   bhāvitvāt / na ca kāryyabudhyā kāraṇam / tasyātītatvāt / na ca	BAvi tvAt / na ca kAryya buDyA kAraNam / tasya atIta tvAt / na ca
   varttamānagrāhiṇā jñānena atītānāgatayorgrahaṇamatiprasaṅgāt / na ca	varttamAna grAhiNA jQAnena atIta anAgatayoH grahaNam ati prasaFgAt / na ca
   pūrvvāparayoḥ kālayorekaḥ pratisandhātāsti kṣaṇabhaṅgabhaṅgaprasaṅgāt /	pUrvva aparayoH kAlayoH ekaH pratisanDAtA asti kzaNa BaFga BaFga prasaFgAt /
   kāraṇābhāve tu kāryyābhāvapratītiḥ svasambedanavādino	kAraNa aBAve tu kAryya aBAva pratItiH sva sambedana vAdinaH 
   manorathasyāpyaviṣayaḥ / na ca pūrbbotarakālayoḥ sambittī tābhyāṃ vāsanā	manoraTasya api avizayaH / na ca pUrbbotara kAlayoH sambittI tAByAm vAsanA
   tayā ca hetuphalāvasāyī vikalpa iti yuktaṃ / sa hi vikalpo	tayA ca hetu Pala avasAyI vikalpaH iti yuktam / sa hi vikalpaH 
   gṛhītānusandhāyako 'tadrūpasamāropako vā na prathamaḥ pakṣaḥ / ekasya	gRhIta anusanDAyakaH atad rUpa samAropakaH vA na praTamaH pakzaH / ekasya
   pratisandhāturabhāve pūrvvāparagrahaṇayorayogāt / vikalpavāsanāyā	pratisanDa AtuH aBAve pUrvva apara grahaNayoH ayogAt / vikalpa vAsanAyA
   evābhāvāt / nāpi dvitīyaḥ; marīcikāyāmapi jalavijñānaprāmāṇyaprasaṅgāt /	eva aBAvAt / na api dvitIyaH; marIcikAyAm api jala vijQAna prAmANya prasaFgAt /
   tadevamanvayavyatirekayorapratipatterarthakriyālakṣaṇam sattvamasidvamiti	tat evam anvaya vyatirekayoH apratipatteH arTa kriyA lakzaNam sattvam asidvam iti
   kiñca prakārāntarādapīdaṃ sādhanamasidvaṃ / tathā hi vījādīnāṃ sāmarthyaṃ	kiQca prakAra antarAt api idam sADanam asi dvam / taTA hi vIja AdInAm sAmarTyam
   vījādijñānāt kāryyādaṅkurādervā niścetavyaṃ / kāryyatvañca vastutvasidvau	vIja Adi jQAnAt kAryyAt aFkura AdeH vA niScetavyam / kAryyatvaQca vastu tvasi dvO
   sidhyati, vastutvañca kāryyāntarāt / kāryyāntarasyāpi kāryyatvaṃ	siDyati, vastu tvaQca kAryya antarAt / kAryya antarasya api kAryya tvam
   vastutvasidvau / tadvastutvañca tadaparakāryyāntarādityanavasthā /	vastu tvasi dvO / tat vastu tvaQca tad apara kAryya antarAt iti anavasTA /
   athānavasthābhayāt paryyante kāryyāntaraṃ nāpekṣate, tadā tenaiva	aTa anavasTA BayAt paryyante kAryya antaram na apekzate, tadA tena eva
   pūrvveṣāmasattvaprasaṅgāt naikasyāpyarthakriyāsāmarthyaṃ sidhyati / nanu	pUrvvezAm asattva prasaFgAt na ekasya api arTa kriyA sAmarTyam siDyati / nanu
   kāryyatvasattvayorbhinnavyāvṛttikatvāt / sattāsidvāvapi kāryyatvasidvau kā	kAryya tva sattvayoH Binna vyAvRttika tvAt / sattAsi dvO= api kAryyatu a sidvO kA
   kṣatiriti cet / tadasaṅgatam, satyapi kāryyatvasattvayorvyāvṛttibhede	kzatiH iti ced / tad asaFgatam, sati api kAryya tva sattvayoH vyAvRtti Bede
   sattvasidvau kutaḥ kāryyatvasiddhiḥ / kāryyatvaṃ hyabhūtvābhāvitvaṃ,	sattva sidvO kutas kAryya tva sidDiH / kAryya tvam hi aBUtvA aBAvi tvaM,
   bhavanañca sattā / sattā ca saugatānāṃ sāmarthyameva / tataśca	BavanaQca sattA / sattA ca sOgatAnAm sAmarTyam eva / tatas ca
   sāmarthyasandehe bhavatītyeva vaktumaśakyaṃ kathamabhūtvābhāvitvaṃ	sAmarTya sandehe Bavati iti eva vaktum aSakyam kaTam aBUtvA aBAvi tvam
   kāryyatvaṃ setsyati / apekṣitaparavyāpāratvaṃ kāryyatvamityapi nāsato	kAryya tvam setsyati / apekzita para vyApAra tvam kAryya tvam iti api na asataH 
   dharmmaḥ sattvañca sāmarthyaṃ tacca sandigdhamiti kutaḥ kāryyasiddhiḥ /	DarmmaH sattvaQca sAmarTyam tat ca sandigDam iti kutas kAryya sidDiH /
   tadasidvau pūrvvasya sāmarthyaṃ na sidhyatīti sandigdhāsidvo hetuḥ /	tat asi dvO pUrvvasya sAmarTyam na siDyati iti sandigDA asidvaH hetuH /
   tathā virudvo 'pyayaṃ, tathā hi kṣaṇikatve sati na tāvat	taTA virudvaH api ayaM, taTA hi kzaNika tve sati na tAvat 
   ajātasyānanvayanirudvasya vā kāryyārambhakatvaṃ sambhavati / na ca	ajAtasya ananvaya nirudvasya vA kAryya AramBaka tvam samBavati / na ca
   nispannasya tāvān kṣaṇo 'sti yamupādāya kasmaicit kāryyāya vyāpāryyet /	nispannasya tAvAn kzaNaH asti yam upAdAya kasmEcid kAryyAya vyApAryyet /
   ataḥ kṣaṇikapakṣa eva arthakriyānupapattervirūdvatā / athavā vikalpena	atas kzaNika pakzaH eva arTa kriyA anupapatteH virUdvatA / aTavA vikalpena
   yadupanīyate, tatsarvvamavastu, tataśca vastvātmake kṣaṇikatve sādhye	yat upanIyate, tat saru vamavastu, tatas ca vastu Atmake kzaNika tve sADye
   'vastūpasthāpayannanumānavikalpo virudvaḥ / yadvā, sarvvasyaiva hetoḥ	avastu upasTApayan= anumAna vikalpaH virudvaH / yat vA, sarvu asya eva hetoH
   kṣaṇikatve sādhye virudvatvaṃ deśakālāntarānanugame	kzaNika tve sADye virudva tvam deSa kAla antara an anugame
   sādhyasādhanabhāvābhāvāt anugame ca nānākālamekamakṣaṇikaṃ kṣaṇikatvena	sADya sADana BAva aBAvAt anugame ca nAnA kAlam ekam akzaNikam kzaNika tvena
   virudhyata iti /	viruDyate iti /
   anaikāntiko 'pyayaṃ sattvasthairyyayorvirodhābhāvāditi / pratrocyate /	anEkAntikaH api ayam sattva sTEryyayoH viroDa aBAvAt iti / pratrA ucyate /
