   Caryāmelāvaṇapradīpaḥ	CaryAm elAvaNa pradIpaH
   bodhicittātu tatsarvaṃ tritattvanilayāśrayā[t] //	boDi cittAtu tat sarvam tri tattva nilaya ASraya a[t] //
   yāvaccālokasaṃketāḥ kalpitā vividhāstathā /	yAvat ca Aloka saMketAH kalpitAH viviDAH taTA /
   bhavanti bodhicittāttu vikalpā vāyutaḥ sadā //	Bavanti boDi cittAt tu vikalpAH vA ayutaH sadA //
   sukhaduḥkhādiko dharmo bījādeva vidhīyate /	suKa duHKa AdikaH DarmaH bIjAt eva viDIyate /
   bodhicittasvabhāvo 'sau skandhādyadvayakopamaḥ //	boDi citta svaBAvaH asO skanDa Adya dvayaka upamaH //
   prajñopāyaikayogena bodhicittaṃ jagad bhavet //	prajQA upAya eka yogena boDi cittam jagat Bavet //
   svayaṃ samuccaretsvāmī dhyānādhyayanavarjitaḥ //	svayam samuccaret svAmI DyAna aDyayana varjitaH //
   divārātrivibhāgena candrasūryaprayogataḥ /	divA rAtri viBAgena candra sUrya prayogataH /
   niśvāso [hi] jagadvyāpī bodhicittaikamārutaḥ //	niSvAsaH [hi] jagat vyApI boDi citta eka mArutaH //
   śubhāśubhaphalaṃ tyaktvā bhavatyeva nabhopamaḥ // iti /	SuBa aSuBa Palam tyaktvA Bavati eva naBa upamaH // iti /
   prāṇāpānasamānākhyānudānavyānasaṃjñakān /	prANa apAna samAna AKyAn udAna vyAna saMjQakAn /
   nāgakūrmakṛkarāṃśca devadattadhanañjayān //	nAga kUrma kRkarAn= ca devadatta DanaQjayAn //
   kṛtvaitadātmano bimbaṃ strītattvaṃ nirmāya te punaḥ // iti /	kRtvA etat AtmanaH bimbam strI tattvam nirmAya te punar // iti /
   koṭākṣaḥ koṭavaḥ koṭāḥ koṭābhaśca koṭīrakaḥ /	kowAkzaH kowavaH kowAH kowa ABaH ca kowIrakaH /
   kolākṣaḥ kolāvaḥ kolaḥ kolābhaśca kalistathā //	kolAkzaH kolAvaH kolaH kola ABaH ca kaliH taTA //
   nāsikācchidrasaṃbhūtaḥ pañcabuddhakulasthitaḥ /	nAsikA acCidra saMBUtaH paQca budDa kula sTitaH /
   pañcavāyurdhvasañcāro dehe carati nityaśaḥ //	paQca vAyuH Dva saQcAraH dehe carati nityaSas //
   saṃvṛtighrāṇasañcārād dvārāttasya vinisṛtāḥ /	saMvRti GrANa saQcArAt dvArAt tasya vinisRtAH /
   vāmadakṣiṇadvandvāśca stabdhaścaite caturvidhāḥ //	vAma dakziNa dvandvAH ca stabDaH ca ete caturviDAH //
   dakṣiṇāt prasaro dhāturhutabhuṅmaṇḍalañca vai /	dakziNAt prasaraH DAtuH huta Buj maNxa laQca vE /
   raktavarṇamidaṃ vaktraṃ padmanāthasya sañcaret //	rakta varNam idam vaktram padma nATasya saQcaret //
   vāmācca prasaro dhāturvāyumaṇḍalaniḥsṛtaḥ /	vAmAt ca prasaraH DAtuH vAyu maNxala niHsRtaH /
   haritaḥ śyāmasaṃkāśaḥ karmanāthasya sañcaret //	haritaH SyAma saMkASaH karma nATasya saQcaret //
   dvandvasya prasaro dhātuḥ kanakavarṇasya satribhaḥ /	dvandvasya prasaraH DAtuH kanaka varNasya sa triBaH /
   māhendramaṇḍalañcaiva ratnanāthasya sañcaret //	mAhendra maNxalaQcA eva ratna nATasya saQcaret //
   stabdho na prasaro dhātuḥ kṣaṇādvāruṇamaṇḍalaḥ /	stabDaH na prasaraH DAtuH kzaNAt vAruNa maNxalaH /
   śuddhasphaṭikasaṃkāśaṃ vajranāthasya sañcaret //	SudDa sPawika saMkASam vajra nATasya saQcaret //
   sarvadhātuṃ samuddhṛtya hyādhārādheyadhāritaḥ /	sarva DAtum samudDRtya hi ADAra ADeya DAritaH /
   vairocanamahākāyo maraṇānte viniścaret //	vErocana mahA kAyaH maraNa ante viniScaret //
   caturmaṇḍalametaddhi japennityaṃ samāhitaḥ /	catur maNxalam etat hi japet nityam samAhitaH /
   ahorātraṃ sadā jāpo mantriṇāṃ japasaṃkṣa(khya)yā //	ahorAtram sadA jApaH mantriNAm japa saMkza(Kya)yA //
   ekādirnavamadhye tu daśabhiryo na badhyate /	ekAdiH nava maDye tu daSaBiH yaH na baDyate /
   tamabaddhaṃ vijānīyāt sa vetti paramaṃ padam //	tam abadDam vijAnIyAt sa vetti paramam padam //
   svaravyañjanavarṇāṃśca navasaṃkhyānuvartinaḥ /	svara vyaQjana varNAn= ca nava saMKyA anuvartinaH /
   abaddhānyonyasaṃyogā yo vetti sa jagadruruḥ //	abadDa anyonya saMyogAH yaH vetti sa jagadruruH //
   yo buddhā(ddhvā)vāñcchayet siddhiṃ vimuktiphalasampadam /	yaH budDA(dDvA a)vAQcCayet sidDim vimukti Pala sampadam /
   sa tadeva samāpnoti arūpo rūpavarjitam //	sa tat eva samApnoti arUpaH rUpa varjitam //
   bhūtāntena samāyuktaṃ kalādiṣoḍaśe sthitam /	BUta antena samAyuktam kalA Adi zoxaSe sTitam /
   pañcapañcakasaṃyuktaṃ catusrayaniyojitam //	paQca paQcaka saMyuktam catu sraya niyojitam //
   sānusvāraṃ sadīrghaṃ ca guṇasaṃyogalopavat /	sa anusvAram sa dIrGam ca guNa saMyoga lopavat /
   hrasvaṃ samastavākyaṃ syānna cānekaṃ na caikakam //	hrasvam samasta vAkyam syAt na ca anekam na ca ekakam //
   yakārārthena yatkiñcit kartavyaṃ siddhimicchatā /	yakAra arTena yat kiQcit kartavyam sidDim icCatA /
   rephāditritayenaiva jagatkāryaṃ pravartate //	rePa Adi tritayena eva jagat kAryam pravartate //
   ye varṇāḥ pṛṣṭhataḥ proktā abhimukhāśca ye punaḥ /	ye varNAH pRzWatas proktAH aBimuKAH ca ye punar /
   strīpunnapuṃsakāste ca dhātvādiparikalpitāḥ //	strI punnapuMsakAH te ca DAtu Adi parikalpitAH //
   adha ūrdhvasamāyuktā jñātvā buddhyā niyojitāḥ /	aDas UrDva samAyuktAH jQAtvA budDyA niyojitAH /
   ṣaḍbhiruktaṃ catustrai(stryai)kānniḥsvabhāvaikabhāvajām //	zaxBiH uktam catustrE(H tri E)kAn niHsvaBAva eka BAva jAm //
   trā(tryā)dyādyarthe samāyoja(jya) tryadhvajñānaṃ tu jāyate /	trA(tri A)dya Adi arTe samAyoja(jya) tri aDva jQAnam tu jAyate /
   svapnendrajālava dvidhvā kuryājjagat tridhātuke //	svapna indrajAlava dviDvA kuryAt jagat tri DAtuke //
   pratyāhāramidaṃ mantraṃ niḥsvabhāvasvabhāvajam /	pratyAhAram idam mantram niHsvaBAva svaBAva jam /
   tataḥ pariṇataṃ rūpaṃ yad daivatopalambhakam //	tatas pariNatam rUpam yat dEvata upalamBakam //
   sāṃketikaṃ tritattvasthaṃ prakṛtijāpalakṣaṇam /	sAMketikam tri tattva sTam prakRti jApa lakzaNam /
   anākhyeyamanuccāryaṃ bodhicittamidaṃ param //	anAKyeyam anuccAryam boDi cittam idam param //
   tadeva tritayaikaṃ syādanirgamamanāgamam /	tat eva tritaya ekam syAt anirgamam anAgamam /
   anirodhaḥ praśāntaśca śāśvatocchedavarjitam //	aniroDaH praSAntaH ca SASvata ucCeda varjitam //
   trayadhvavidākṛtasaṃkalpamākāśābhedalakṣaṇam /	trayaDva vidA kRta saMkalpam AkASa aBeda lakzaNam /
   pāramārthikamevedaṃ pratyātmavedyalakṣaṇam //	pAramArTikam eva idam pratyAtma vedya lakzaNam //
   sarvāsvapi kriyāścai(svai)va niṣadyādiṣu yogavit /	sarvAsu api kriyAH ca e(svE)va nizadya Adizu yoga vid /
   anākhyeyamanuccāryaṃ tryadhvātītaṃ japet sadā //	anAKyeyam anuccAryam tri aDva atItam japet sadA //
   pāṇḍarādi japaḥ(pāḥ) proktāḥ pañcaviṃśacchatadvayam /	pANxara Adi japaH(pAH) proktAH paQcaviMSat Sata dvayam /
   caturbhirguṇitaṃ samyak caturyogaṃ śataṃ nava //	caturBiH guNitam samyak catur yogam Satam nava //
   navaśataṃ tu yad dṛṣṭaṃ caturviśatiparikramaiḥ /	nava Satam tu yat dRzwam catur viSati parikramEH /
   pratyutpādād bhavettatu dvyayutaṃ śataṣoḍaśam //	pratyutpAdAt Bavet tatu dvi ayutam Sata zoxaSam //
   taditthaṃ guhyasandhyāyāṃ sūkṣmayogaṃ prakāśitam /	tat itTam guhya sanDyAyAm sUkzma yogam prakASitam /
   dhyānādhyayanavītaṃ tu tathāpi japa ucyate //	DyAna aDyayana vItam tu taTA api japaH ucyate //
   akāraḥ sarvavarṇāgryo mahārthaḥ paramākṣaraḥ /	akAraH sarva varNa agryaH mahArTaH parama akzaraH /
   mahāprāṇo hyanutpādo vāgudāhāravarjitaḥ /	mahA prANaH hi anutpAdaH vAc udAhAra varjitaH /
   sarvābhilāpahetvagryaḥ sarvavāksuprabhāsvaraḥ // iti /	sarva aBilApa hetu agryaH sarva vAc su praBA svaraH // iti /
   jvalantaṃ dīpasadṛśaṃ hṛdi madhyamanāhatam /	jvalantam dIpa sadRSam hRdi maDyamanAhatam /
   akṣaraṃ paramaṃ sūkṣmam akāraṃ paramaṃ prabhum // iti /	akzaram paramam sUkzmam akAram paramam praBum // iti /
   dharmā ime śabdarutena vyākṛtā	DarmAH ime Sabda rutena vyAkRtA
   dharmaśca śabdaśca hi nātra labhyate /	DarmaH ca SabdaH ca hi na atra laByate /
   na caikatāṃ cāpyavatīrya dharmatām	na ca ekatAm ca api avatIrya Darma tAm
   anuttarāṃ kṣāntivarāṃ spṛśiṣyate // iti /	anuttarAm kzAnti varAm spRSizyate // iti /
   vāgvivekamelāvaṇasaṃśayaparicchedastṛtīyaḥ // 3 //	vAc vivekam elAvaNa saMSaya paricCedaH tRtIyaH // 3 //
   4. caturthaḥ paricchedaḥ	4. caturTaH paricCedaH
   dūraṅgamekacaramaśarīraṃ guhāśayam /	dUraFgam eka caram aSarIram guhA ASayam /
   ye cittaṃ sanniveśayanti mucyante mārabandhanād // iti /	ye cittam sanniveSayanti mucyante mAra banDanAt // iti /
   pratītyotpadyate yadyadindriyairviṣayairmanaḥ //	pratItya utpadyate yat yat indriyEH vizayEH manaH //
   tanmanastvaśītikhyātasrakārastrāṇanārthataḥ // iti /	tad manaH tu aSIti KyAta sra kAraH trANana arTataH // iti /
   saṃvittimātrakaṃ jñānamākāśavadalakṣaṇam /	saMvitti mAtrakam jQAnam AkASa vat alakzaNam /
   kintu tasya prabhedo 'sti sandhyārātridivātmanā //	kintu tasya praBedaH asti sanDyA rAtridiva AtmanA //
   ālokālokabhāsau ca tathālokopalabdhakam /	Aloka aloka BAsO ca taTA Aloka upalabDakam /
   cittaṃ trividhamityuktamādhārastasya kathyate //	cittam triviDam iti uktam ADAraH tasya kaTyate //
   vāyunā sūkṣmarūpeṇa jñānaṃ sanmiśratāṃ gatam //	vAyunA sUkzma rUpeNa jQAnam sat miSratAm gatam //
   niḥsṛtyendriyamārgebhyo viṣayānavalambate //	niHsRtya indriya mArgeByaH vizayAn avalambate //
   ābhāsena yadā yukto vāyurvāhanatāṃ gataḥ /	ABAsena yadA yuktaH vAyuH vAhana tAm gataH /
   tadā tatprakṛtiḥ sarvā astavyastā pravartate //	tadA tad prakRtiH sarvAH astavyaH tA pravartate //
   yatra yatra sthito vāyustāṃ tāṃ prakṛtimudvaheta // iti /	yatra yatra sTitaH vAyuH tAm tAm prakRtim udvaheta // iti /
   cittavivekasaṃśayamelāvaṇaparicchedaścaturthaḥ // 4 //	citta viveka saMSayam elAvaNa paricCedaH caturTaH // 4 //
   5. pañcamaḥ paricchedaḥ	5. paQcamaH paricCedaH
   payodharā yathā naike nānāsaṃsthānavarṇakāḥ /	payoDarAH yaTA na eke nAnA saMsTAna varNakAH /
   ubhdūtā gaganābhogāllayaṃ gacchanti tatra vai //	uBdUtAH gagana ABogAt layam gacCanti tatra vE //
   evaṃprakṛtayaḥ sarvā ābhāsatrayahetukāḥ /	evaMprakRtayaH sarvAH ABAsa traya hetukAH /
   nirviśya viṣayān kṛtsnān praviśanti prabhāsvaram //	nirviSya vizayAn kRtsnAn praviSanti praBAsvaram //
   evaṃsvabhāvā vijñānādajñāna[paṭalāvṛtāḥ /	evaMsvaBAvAH vijQAnAt ajQAna[ pawala AvRtAH /
   kṛtvā śubhāśubhaṃ karma bhra]manti gatipañcake //	kRtvA SuBa aSuBam karma Bra]manti gati paQcake //
   ānantaryādikaṃ kṛtvā narakeṣu vipacyate /	AnantarI Adikam kRtvA narakezu vipacyate /
   śubhaṃ dānādikaṃ kṛtvā [svargādiṣu mahīyate //	SuBam dAna Adikam kRtvA [svarga Adizu mahIyate //
   ānantajanmasāhasraṃ] prāpya caivaṃ punaḥ punaḥ /	Ananta janma sAhasran] prApya ca evam punar punar /
   pūrvakarmavipāko 'yamiti śocati mohataḥ //	pUrva karma vipAkaH ayam iti Socati mohataH //
   prakṛtyābhā[savidhinā kleśavantaśca ye janāḥ /	prakRtyABA[ sa viDinA kleSavantaH ca ye janAH /
   etajjñātvā vimu]cyanti jñānino bhavapañjarāt // iti /	etat jQAtvA vimu]cyanti jQAninaH Bava paQjarAt // iti /
   yadi śūnyamidaṃ sarvamanutpannasvabhāvakam /	yadi SUnyam idam sarvam anutpanna svaBAvakam /
   kathaṃ karmātra saṃsāre sukhaduḥkhaṃ pravartate //	kaTam karma atra saMsAre suKa duHKam pravartate //
   ahaṅkāramamakāraistathārāgādibhirmalaiḥ /	ahaFkAra m amakArEH taTA ArAga AdiBiH malEH /
   kalpitaṃ paratantreṇa duḥkhāt kliśyanti bāliśāḥ //	kalpitam paratantreNa duHKAt kliSyanti bAliSAH //
   cittamātramidaṃ sarvaṃ māyākārasamutthitam /	cittamAtram idam sarvam mAyAkAra samutTitam /
   tataḥ śubhāśubhaṃ karma tato janma śubhāśubham // iti /	tatas SuBa aSuBam karma tatas janma SuBa aSuBam // iti /
   karmāntavibhāgamelāvaṇasaṃśayaparicchedaḥ pañcamaḥ // 5 //	karmAnta viBAgam elAvaNa saMSaya paricCedaH paQcamaH // 5 //
   6. ṣaṣṭhaḥ paricchedaḥ /	6. zazWaH paricCedaH /
   indrāyudhanibhaṃ kāyaṃ labhate tattvabhāvanāt // iti /	indrAyuDa niBam kAyam laBate tattva BAvanAt // iti /
   skandhe ca dhātvāyatanendriyādau jñānadvaye tatra samaṃ sthite 'smin /	skanDe ca DAtu Ayatana indriya AdO jQAna dvaye tatra samam sTite asmin /
   śūnye mahattve sati yaḥ prasuptaḥ svapnaṃ prapaśyet khalu vātavegāt //	SUnye mahat tve sati yaH prasuptaH svapnam prapaSyet Kalu vAta vegAt //
   svapne prabuddhe ca na cānyabhedaḥ saṃkalpayet svapnaphalābhilāṣī /	svapne prabudDe ca na ca anya BedaH saMkalpayet svapna Pala aBilAzI /
   rātriṃdivā svapnamupaiti jantuṃ mahīghanatve sucireṇa suptaḥ //	rAtriMdivA svapnam upEti jantum mahI Gana tve sucireNa suptaH //
   phale na pakve kṛtakarmaṇaśca vāyuḥ punaḥ krāmati janmanīha /	Pale na pakve kRta karmaNaH ca vAyuH punar krAmati janmani iha /
   pakvaṃ phalaṃ syād gata eva vāyuḥ paratra śīghraṃ maraṇaṃ hi loke //	pakvam Palam syAt gataH eva vAyuH paratra SIGram maraNam hi loke //
   yatha jinendro daśadigvyavasthito majjāsthimāṃsaṃ na ca tasya kāye /	yaTa jinendraH daSa diS vi avasTitaH majja asTi mAMsam na ca tasya kAye /
   praveśayet sattvahitāya dhātunirmāṇakalpena karoti kṛtyam //	praveSayet sattva hitAya DAtu nirmANa kalpena karoti kRtyam //
   evaṃ kramājjāgrati suptacittaḥ phalaṃ ca vāñchet savikalpajālam /	evam kramAt jAgrati supta cittaH Palam ca vAQCet sa vikalpa jAlam /
   svapnopamāste khalu sarvadharmā mṛṣāmṛṣāścāpyubhayorabhāvaḥ // iti /	svapna upamAH te Kalu sarva DarmAH mRzA mRzAH ca api uBayoH aBAvaH // iti /
   saṃvṛtisatyamelāvaṇasaṃśayaparicchedaḥ ṣaṣṭhaḥ // 6 //	saMvRti satyam elAvaNa saMSaya paricCedaH zazWaH // 6 //
   7. saptamaḥ paricchedaḥ	7. saptamaH paricCedaH
   yathā dīpo ghaṭāntaḥstho bāhyo naivāvabhāsate /	yaTA dIpaH Gawa antar sTaH bAhyaH na eva avaBAsate /
   bhinne tu taddhaṭe paścād dīpajvālābhibhāsate //	Binne tu tad hawe paScAt dIpa jvAlA aBiBAsate //
   svakāya eva hi ghaṭo dīpa eva hi tattvakam /	sva kAyaH eva hi GawaH dIpaH eva hi tattvakam /
   guruvaktreṇa saṃbhinne buddhajñānaṃ sphuṭaṃ bhavet //	guru vaktreNa saMBinne budDa jQAnam sPuwam Bavet //
   gaganaṃ gaganobhdūtamākāśākāśaṃ sa paśyati /	gaganam gagana uBdUtam AkASa AkASam sa paSyati /
   tathaiva hi gurorvaktrātprayogo 'yaṃ pradarśitaḥ // iti /	taTA eva hi guroH vaktrAt prayogaH ayam pradarSitaH // iti /
   dharmā ime śabdarutena vyākṛtā dharmaśca śabdaśca hi nātra labhyate /	DarmAH ime Sabda rutena vyAkRtAH DarmaH ca SabdaH ca hi na atra laByate /
