   pañcatantram	paQcatantram
   sādhv idam ucyate 	sADu idam ucyate 
   ajāta mṛta mūrkhebhyo mṛtājātau sutau varam |	ajAta  mRta mUrKeByaH mRta ajAtO sutO varam |
   yatas tau svalpa duḥkhāya yāvaj jīvaṃ jaḍo dahet ||Panc_0.3||	yatas tO svalpa  duHKAya yA avaj jIvam jaxaH dahet ||Pan= _0.3||
   varaṃ garbha sravo varam ṛtuṣu naivābhigamanaṃ	varam garBa sravaH varam Rtuzu na eva aBigamanam
   varaṃ jātaḥ preto varam api ca kanyaiva janitā |	varam jAtaH pretaH varam api ca kanyA eva janitA |
   varaṃ bandhyā bhāryā varam api ca garbheṣu vasatir	varam banDyA BAryA varam api ca garBezu vasatiH 
   na cāvidagdhān rūpa draviṇa guṇa yukto 'pi tanayaḥ ||Panc_0.4||	na ca avidagDAn rUpa  draviNa guNa  yuktaH api tanayaH ||Pan= _0.4||
   kiṃ tayā kriyate dhenvā yā na sūte na dugdhadā |	kim tayA kriyate DenvA yA na sUte na dugDa dA |
   ko 'rthaḥ putreṇa jātena yo na vidvān na bhaktimān ||Panc_0.5||	kaH arTaH putreNa jAtena yaH na vidvAn na BaktimAn ||Pan= _0.5||
   tad eteṣāṃ yathā buddhi prabodhanaṃ bhavati tathā ko 'py upāyo	tat etezAm yaTA budDi praboDanam Bavati taTA kaH api upAyo
   'nuṣṭhīyatām | atra ca mad dattāṃ vṛttiṃ bhuñjānānāṃ paṇḍitānāṃ pañcaśatī	anuzWIyatAm | atra ca mad  dattAm vRttim BuQjAnAnAm paNxitAnAm paQcaSatI
   tiṣṭhati | tato yathā mama manorathāḥ siddhiṃ yānti tathānuṣṭhīyatām iti |	tizWati | tatas yaTA mama manoraTAH sidDim yAnti taTA anuzWIyatAm iti |
   tatraikaḥ provāca deva dvādaśabhir varṣair vyākaraṇaṃ śrūyate | tato	tatra ekaH provAca  deva dvAdaSaBiH varzEH vyAkaraNam SrUyate | tatas 
   dharma śāstrāṇi manv ādīni artha śāstrāṇi cāṇakyādīni kāma śāstrāṇi	Darma SAstrANi manv AdIni arTa SAstrANi cANakya AdIni kAma SAstrANi
   vātsyāyanādīni | evaṃ ca tato darmārtha kāma śāstrāṇi jñāyante | tataḥ	vAtsyAyana AdIni | evam ca tatas darma arTa kAma SAstrANi jQAyante | tatas 
   pratibodhanaṃ bhavati |	pratiboDanam Bavati |
   atha tan madhyataḥ sumatir nāma sacivaḥ prāha aśāśvato 'yaṃ	aTa tan  maDyatas sumatiH nAma sacivaH prAha aSASvataH ayam
   jīvitavya viṣayaḥ | prabhūta kāla jñeyāni śabda śāstrāṇi | tat	jIvitavya  vizayaH | praBUta kAla jQeyAni Sabda  SAstrANi | tat 
   saṅkṣepa mātraṃ śāstraṃ kiñcid eteṣāṃ prabodhanārthaṃ cintyatām iti |	saFkzepa  mAtram SAstram kiQcid etezAm praboDana arTam cintyatAm iti |
   uktaṃ ca yataḥ 	uktam ca yatas  
   anantapāraṃ kila śabda śāstraṃ	ananta pAram kila Sabda SAstram
   svalpaṃ tathāyur bahavaś ca vighnāḥ |	su alpam taTA AyuH bahavaH ca viGnAH |
   sāraṃ tato grāhyam apāsya phalgu	sAram tatas grAhyam apAsya Palgu
   haṃsair yathā kṣīram ivāmbudhyāt ||Panc_0.6||	haMsEH yaTA kzIram iva ambuDyAt ||Pan= _0.6||
   tad atrāsti viṣṇuśarmā nāma brāhmaṇaḥ sakala śāstra pāraṅgamaś	tat atra asti vizNuSarmA nAma brAhmaNaH sakala  SAstra pAraFgam aS
   chātra saṃsadi labdha kīrtiḥ | tasmai samarpayatu etān | sa nūnaṃ drāk	CAtra  saMsadi labDa kIrtiH | tasmE samarpayatu etAn | sa nUnam drAk 
   prabuddhān kariṣyati iti |	prabudDAn karizyati iti |
   sa rājā tad ākarṇya viṣṇuśarmāṇam āhūya provāca bho bhagavan	sa rAjA tat AkarNya vizNuSarmANam AhUya provAca  BaH Bagavan
   mad anugrahārtham etān artha śāstraṃ prati drāg yathānanya sadṛśān	mad  anugraha arTam etAn arTa SAstram prati drAk yaTA ananya  sadRSAn
   vidadhāsi tathā kuru | tadāhaṃ tvāṃ śāsana śatena yojayiṣyāmi |	vidaDAsi taTA kuru | tadA aham tvAm SAsana  Satena yojayizyAmi |
   atha viṣṇu śarmā taṃ rājānam āha deva śrūyatāṃ me tathya vacanam | nāhaṃ	aTa vizNu SarmA tam rAjAnam Aha deva SrUyatAm me taTya vacanam | na aham
   vidyā vikrayaṃ śāsana śatenāpi karomi | punar etāṃs tava putrān	vidyA  vikrayam SAsana  Satena api karomi | punar etAn tava putrAn
   māsa ṣaṭkena yadi nīti śāstrajñān na karomi tataḥ sva nāma tyāgaṃ karomi |	mAsa  zawkena yadi nIti  SAstra jQAn na karomi tatas sva nAma tyAgam karomi |
   athāsau rājā tāṃ brāhmaṇasyāsambhāvyāṃ pratijñāṃ śrutvā sa sacivaḥ	aTa asO rAjA tAm brAhmaNasya asamBAvyAm pratijQAm SrutvA sa  sacivaH
   prahṛṣṭo vismayānvitas tasmai sādaraṃ tān kumārān samarpya parāṃ nirvṛtim	prahRzwaH vismaya anvitaH tasmE sAdaram tAn kumArAn samarpya parAm nirvRtim
   ājagāma | viṣṇuśarmaṇāpi tān ādāya tad arthaṃ	AjagAma | vizNuSarmaNA api tAn AdAya tad  arTam
   mitra bheda mitra prāpti kākolūkīya labdha praṇāśa aparīkṣita kārakāṇi	mitra Beda mitra  prApti kAkolUkI ya  labDa  praNASa a parIkzita kArakANi
   ceti pañca tantrāṇi racayitvā pāṭhitās te rājaputrāḥ | te'pi tāny adhītya	ca iti paQca tantrANi racayitvA pAWitAH te rAja putrAH | te api tAni aDItya
   māsa ṣaṭkena yathoktāḥ saṃvṛttāḥ | tataḥ prabhṛty etat pañcatantrakaṃ nāma	mAsa  zawkena yaTA uktAH saMvRttAH | tatas praBRti etat paQcatantrakam nAma
   nīti śāstraṃ bālāvabodhanārthaṃ bhūtale pravṛttam | kiṃ bahunā 	nIti SAstram bAla avaboDana arTam BU tale pravRttam | kim bahunA 
   adhīte ya idaṃ nityaṃ nīti śāstraṃ śṛṇoti ca |	aDIte yaH idam nityam nIti SAstram SRNoti ca |
   na parābhavam āpnoti śakrād api kadācana ||Panc_0.7||	na parABavam Apnoti SakrAt api kadAcana ||Pan= _0.7||
   iti kathā mukham |	iti kaTA muKam |
   mitra bhedaḥ	mitra BedaH
   vardhamāna vṛttāntaḥ	varDamAna  vRttAntaH
   athātaḥ prārabhyate mitra bhedo nāma prathamaṃ tantram | yasyāyam ādimaḥ	aTa atas prAraByate mitra BedaH nAma praTamam tantram | yasya ayam AdimaH
   ślokaḥ 	SlokaH 
   vardhamāno mahān snehaḥ siṃha go vṛṣayor vane |	varDamAnaH mahAn snehaH siMha go vRzayoH vane |
   piśunenātilubdhena jambukena vināśitaḥ ||Panc_1.1||	piSunena ati lubDena jambukena vinASitaH ||Pan= _1.1||
   tad yathānuśrūyate | asti dakṣiṇātye janapade mahilāropyaṃ nāma nagaram |	tat yaTA anuSrUyate | asti dakziNAtye janapade mahilA Aropyam nAma nagaram |
   tatra dharmopārjita bhūri vibhavo vardhamānako nāma vaṇik putro babhūva |	tatra Darma upArjita  BUri viBavaH varDamAnakaH nAma vaNik putraH baBUva |
   tasya kadācid rātrau śayyārūḍhasya cintā samutpannā | tat prabhūte'pi	tasya kadAcid rAtrO SayyA ArUXasya cintA samutpannA | tat praBUte api
   vitte'rthopāyāś cintanīyāḥ kartavyāś ceti | yata uktaṃ ca 	vitte arTa upAyAH cintanIyAH kartavyAH ca iti | yatas uktam ca 
   nahi tad vidyate kiṃcid yad arthena na siddhyati |	na hi tat vidyate kiMcid yat arTena na sidDyati |
   yatnena matimāṃs tasmād artham ekaṃ prasādhayet ||Panc_1.2||	yatnena matimAn tasmAt arTam ekam prasADayet ||Pan= _1.2||
   yasyāryas tasya mitrāṇi yasyārthās tasya bāndhavāḥ |	yasya AryaH tasya mitrANi yasya arTAH tasya bAnDavAH |
   yasyārthāḥ sa pumāṃ loke yasyārthāḥ sa ca paṇḍitaḥ ||Panc_1.3||	yasya arTAH sa pumAm loke yasya arTAH sa ca paNxitaH ||Pan= _1.3||
   na sā vidyā na tad dānaṃ na tac chilpaṃ na sā kalā |	na sA vidyA na tat dAnam na tat Silpam na sA kalA |
   na tat sthairyaṃ hi dhanināṃ yācakair yan na gīyate ||Panc_1.4||	na tat sTEryam hi DaninAm yAcakEH yat na gIyate ||Pan= _1.4||
   iha loke hi dhanināṃ paro 'pi svajanāyate |	iha loke hi DaninAm paraH api svajanAyate |
   svajano 'pi daridrāṇāṃ sarvadā durjanāyate ||Panc_1.5||	sva janaH api daridrANAm sarvadA durjanAyate ||Pan= _1.5||
   arthebhyo 'pi hi vṛddhebhyaḥ saṃvṛttebhya itas tataḥ |	arTeByaH api hi vRdDeByaH saMvRtteByaH itas tatas |
   pravartante kriyāḥ sarvāḥ parvatebhya ivāpagāḥ ||Panc_1.6||	pravartante kriyAH sarvAH parvateByaH iva ApagAH ||Pan= _1.6||
   pūjyate yad apūjyo 'pi yad agamyo 'pi gamyate |	pUjyate yat apUjyaH api yat agamyaH api gamyate |
   vandyate yad avandyo 'pi sa prabhāvo dhanasya ca ||Panc_1.7||	vandyate yat avandyaH api sa praBAvaH Danasya ca ||Pan= _1.7||
   aśanād indriyāṇīva syuḥ kāryāṇy akhilāny api |	aSanAt indriyANi iva syuH kAryANi aKilAni api |
   etasmāt kāraṇād vittaṃ sarva sādhanam ucyate ||Panc_1.8||	etasmAt kAraNAt vittam sarva  sADanam ucyate ||Pan= _1.8||
   arthārthī jīva loko 'yaṃ śmaśānam api sevate |	arTa arTI jIva  lokaH ayam SmaSAnam api sevate |
   tyaktvā janayitāraṃ svaṃ niḥsvaṃ yacchati dūrataḥ ||Panc_1.9||	tyaktvA janayitAram svam niHsvam yacCati dUratas ||Pan= _1.9||
   gata vayasām api puṃsāṃ yeṣām arthā bhavanti te taruṇāḥ |	gata  vayasAm api puMsAm yezAm arTAH Bavanti te taruNAH |
   arthe tu ye hīnā vṛddhās te yauvane'pi syuḥ ||Panc_1.10||	arTe tu ye hInAH vRdDAH te yOvane api syuH ||Pan= _1.10||
   sa cārthaḥ puruṣāṇāṃ ṣaḍbhr upāyair bhavati bhikṣāyā nṛpa sevayā	sa ca arTaH puruzANAm zaxBH upAyEH Bavati BikzAyAH nRpa  sevayA
   kṛṣi karmaṇā vidyopārjanena vyavahāreṇa vaṇik karmaṇā vā | sarveṣām api	kRzi karmaNA vidyA upArjanena vyavahAreNa vaNik karmaNA vA | sarvezAm api
   teṣāṃ vāṇijyenātiraskṛto 'rtha lābhaḥ syāt | uktaṃ ca yataḥ 	tezAm vANijyena atiraskRtaH arTa lABaH syAt | uktam ca yatas  
   kṛtā bhikṣānekair vitarati nṛpo nocitam aho	kRtA BikzA anekEH vitarati nRpaH na ucitam aho
   kṛṣiḥ kliṣṭā vidyā guru vinaya vṛttyātiviṣamā |	kRziH klizwA vidyA guru  vinaya  vRttyA ati vizamAH |
   kusīdād dāridryaṃ parakaragata granthi śamanān	kusIdAt dAridryam para kara gata granTi  SamanAn
   na manye vāṇijyāt kim api paramaṃ vartanam iha ||Panc_1.11||	na manye vANijyAt kim api paramam vartanam iha ||Pan= _1.11||
   upāyānāṃ ca sarveṣām upāyaḥ paṇya saṃgrahaḥ |	upAyAnAm ca sarvezAm upAyaH paNya  saMgrahaH |
   dhanārthaṃ śasyate he ekas tad anyaḥ saṃśayātmakaḥ ||Panc_1.12||	Dana arTam Sasyate he ekaH tad  anyaH saMSaya AtmakaH ||Pan= _1.12||
   tac ca vāṇijyaṃ sapta vidham arthāgamāya syāt | tad yathā	tat ca vANijyam sapta viDam arTa AgamAya syAt | tat yaTA
   gāndhika vyavahāraḥ, nikṣepa praveśaḥ, goṣṭhika karma,	gAnDika  vyavahAraH, nikzepa  praveSaH, gozWika karma,
   paricita grāhakāgamaḥ, mithyā kraya kathanam, kūṭa tulā mānam, deśāntarād	paricita grAhaka AgamaH, miTyA a kraya  kaTanam, kUwa  tulA  mAnam, deSa antarAt 
   bhāṇḍānayanaṃ ceti | uktaṃ ca 	BANxa Anayanam ca iti | uktam ca 
   paṇyānāṃ gāndhikaṃ paṇyaṃ kim anyaiḥ kāñcanādibhiḥ |	paNyAnAm gAnDikam paNyam kim anyEH kAQcana AdiBiH |
   yatraikena ca yat krītaṃ tac chatena pradīyate ||Panc_1.13||	yatra ekena ca yat krItam tat Satena pradIyate ||Pan= _1.13||
   nikṣepe patite harmye śreṣṭhī stauti sva devatām |	nikzepe patite harmye SrezWI stOti sva devatAm |
   nikṣepī mriyate tubhyaṃ pradāsyāmy upayācitam ||Panc_1.14||	nikzepI mriyate tuByam pradAsyAmi upayAcitam ||Pan= _1.14||
   goṣṭhika karma niyuktaḥ śreṣṭhī cintayati cetasā hṛṣṭaḥ |	gozWika karma  niyuktaH SrezWI cintayati cetasA hRzwaH |
   vasudhā vasu sampūrṇā mayādya labdhā kim anyena ||Panc_1.15||	vasuDA vasu  sampUrNA mayA adya labDA kim anyena ||Pan= _1.15||
   paricitam āgacchantaṃ grāhakam utkaṇṭhyā vilokayāsau |	paricitam AgacCantam grAhakam utkaNWyA vilokayA asO |
   hṛṣyati tad dhana labdho yadvat putreṇa jātena ||Panc_1.16||	hRzyati tad  Dana labDaH yadvat putreNa jAtena ||Pan= _1.16||
   anyac ca 	anyat ca 
   pūrṇāpūrṇe māne paricita jana vañcanaṃ tathā nityam |	pUrNa ApUrNe mAne paricita  jana  vaQcanam taTA nityam |
   mithyā krayasya kathanaṃ prakṛtir iyaṃ syāt kirātānām ||Panc_1.17||	miTyA a krayasya kaTanam prakRtiH iyam syAt kirAtAnAm ||Pan= _1.17||
   dviguṇaṃ triguṇaṃ vittaṃ bhāṇḍa kraya vicakṣaṇāḥ |	dviguNam triguNam vittam BANxa kraya  vicakzaNAH |
   prāpnuvanty udyamāl lokā dūra deśāntaraṃ gatāḥ ||Panc_1.18||	prApnuvanti udyamAt lokAH dUra  deSa antaram gatAH ||Pan= _1.18||
   ity evaṃ sampradhārya mathurā gāmīni bhāṇḍāny ādāya śubhāyāṃ tithau	iti evam sampraDArya maTurA  gAmIni BANxAni AdAya SuBAyAm tiTO
   guru janānujñātaḥ surathādhirūḍhaḥ prasthitaḥ | tasya ca maṅgala vṛṣabha	guru  jana anujQAtaH suraTa aDirUXaH prasTitaH | tasya ca maFgala vRzaBa
   saṃjīvaka nandaka nāmānau gṛhotpannau dhūrvoḍhārau sthitau | tayor ekaḥ	saMjIvaka nandaka nAmAnO gRha utpannO DUrvoXArO sTitO | tayoH ekaH
   saṃjīvakābhidhāno yamunā kaccham avatīrṇaḥ sampaṅka pūram āsādya	saMjIvaka aBiDAnaH yamunA  kacCam avatIrNaH sampaFka pUram AsAdya
   kalita caraṇo yuga bhaṅgaṃ vidhāya viṣasāda |	kalita  caraNaH yuga BaFgam viDAya vizasAda |
   atha taṃ tad avastham ālokya vardhamānaḥ paraṃ viṣādam āgamat | tad arthaṃ	aTa tam tat  avasTam Alokya varDamAnaH param vizAdam Agamat | tat arTam
   ca snehārdra hṛdayas tri rātraṃ prayāṇa bhaṅgam akarot | atha taṃ viṣaṇṇam	ca sneha Ardra  hRdayaH tri  rAtram prayANa BaFgam akarot | aTa tam vizaNNam
   ālokya sāṛthikair abhihitam  bhoḥ śreṣṭhin ! kim evaṃ vṛṣabhasya kṛte	Alokya sARTikEH aBihitam BoH SrezWin ! kim evam vRzaBasya kRte
   siṃha vyāghra samākule bahv apāye'smin vane samasta sārthas tvayā sandehe	siMha  vyAGra  samAkule bahu  apAye asmin vane samasta  sArTaH tvayA sandehe
   niyojitaḥ | uktaṃ ca 	niyojitaH | uktam ca 
   na svalpasya kṛte bhūri nāśayen matimān naraḥ |	na su alpasya kRte BUri nASayet matimAn naraH |
   etad evātra pāṇḍityaṃ yat svalpād bhūri rakṣaṇam ||Panc_1.19||	etat eva atra pANxityam yat su alpAt BUri  rakzaNam ||Pan= _1.19||
   athāsau tad avadhārya saṃjīvakasya rakṣā puruṣān nirūpyāśeṣa sārthaṃ nītvā	aTa asO tat avaDArya saMjIvakasya rakzA  puruzAn nirUpya aSeza  sArTam nItvA
   prasthitaḥ | atha rakṣā puruṣā api bahv apāyaṃ tad vanaṃ viditvā	prasTitaH | aTa rakzA  puruzAH api bahu  apAyam tat  vanam viditvA
   saṃjīvakaṃ parityajya pṛṣṭhato gatvā'nyedyus taṃ sārthavāhaṃ mithyāhuḥ 	saMjIvakam parityajya pRzWatas gatvA anyedyus tam sArTavAham miTyA AhuH 
   svāmin, mṛto 'sau saṃjīvakaḥ | asmābhis tu sārthavāhasyābhīṣṭa iti matvā	svAmin, mRtaH asO saMjIvakaH | asmABiH tu sArTavAhasya aBIzwaH iti matvA
   vahninā saṃskṛtaḥ iti |	vahninA saMskRtaH iti |
   tac chrutvā sārthavāhaḥ kṛtajñatayā snehārdra hṛdayas	tat SrutvA sArTavAhaH kRtajQa tayA sneha Ardra  hRdaya s
   tasyaurdhva dehika kriyā vṛṣotsargādikāḥ sarvāś cakāra | saṃjīvako 'py	tasya OrDva dehika kriyA vRzotsarga AdikAH sarvAH cakAra | saMjIvakaH api 
   āyuḥ śeṣatayā yamunā salila miśraiḥ śiśirataravātair āpyāyita śarīraḥ	AyuH Seza tayA yamunA  salila  miSrEH SiSiratara vAtEH ApyAyita  SarIraH
   kathaṃcid apy utthāya yamunā taṭam upapede | tatra marakata sadṛśāni	kaTaMcid api utTAya yamunA  tawam upapede | tatra marakata  sadRSAni
   bāla tṛṇāgrāṇi bhakṣayan katipayair ahobhir hara vṛṣabha iva pīnaḥ	bAla tRNa agrANi Bakzayan katipayEH ahoBiH hara  vRzaBaH iva pInaH
   kakudmān balavāṃś ca saṃvṛttaḥ | pratyahaṃ valmīka śikharāgrāṇi śṛṅgābhyāṃ	kakudmAn balavAn ca saMvRttaH | pratyaham valmIka  SiKara agrANi SRFgAByAm
   vidārayan garjamāna āste | sādhu cedam ucyate 	vidArayan garjamAnaH Aste | sADu ca idam ucyate 
   arakṣitaṃ tiṣṭhati deva rakṣitaṃ	arakzitam tizWati deva rakzitam
   surakṣitaṃ deva hataṃ vinaśyati |	su rakzitam deva  hatam vinaSyati |
   jīvaty anātho 'pi vane visarjitaḥ	jIvati anATaH api vane visarjitaH
   kṛta prayatno 'pi gṛhe vinaśyati ||Panc_1.20||	kRta  prayatnaH api gRhe vinaSyati ||Pan= _1.20||
   atha kadācit piṅgalako nāma siṃhaḥ sarva mṛga parivṛtaḥ pipāsākula	aTa kadAcid piFgalakaH nAma siMhaH sarva  mRga  parivRtaH pipAsA Akula
   udaka pānārthaṃ yamunā taṭam avatīrṇaḥ saṃjīvakasya gambhīratara rāvaṃ	udaka pAna arTam yamunA  tawam avatIrNaH saMjIvakasya gamBIratara  rAvam
   dūrād evāśṛṇot | tac chrutvā'tīva vyākula hṛdayaḥ sasādhvasam ākāraṃ	dUrAt eva aSRNot | tat SrutvA atIva vyAkula  hRdayaH sa sADvasam AkAram
   pracchādya baṭa tale catur maṇḍalāvasthānenāvasthitaḥ |	pracCAdya bawa  tale catur  maNxala avasTAnena avasTitaH |
   caturmaṇḍalāvasthānaṃ tv idaṃ  siṃhaḥ siṃhānuyāyinaḥ kākaravāḥ kivṛttā iti	catur maNxala avasTAnam tu idaM siMhaH siMha anuyAyinaH kAkaravAH kivRttAH iti
   atha tasya karaṭaka damanaka nāmānau dvau śṛgālau mantri putrau	aTa tasya karawaka  damanaka nAmAnO dvO SRgAlO mantri putrO
   bhraṣṭādhikārau sadānuyāyināv āstām | tau ca parasparaṃ mantrayataḥ |	Brazwa aDikArO sadA anuyAyinO AstAm | tO ca parasparam mantrayataH |
   tatra damanako 'bravīt  bhadra karaṭaka, ayaṃ tāvad asmat svāmī piṅgalaka	tatra damanakaH abravIt Badra karawaka, ayam tAvat asmat svAmI piFgalaka
   udaka grahaṇārthaṃ yamunā kaccham avatīrya sthitaḥ | sa kiṃ nimittaṃ	udaka  grahaNa arTam yamunA kacCam avatIrya sTitaH | sa kim nimittam
   pipāsākulo 'pi nivṛttya vyūha racanāṃ vidhāya daurmanasyenābhibhūto 'tra	pipAsA AkulaH api nivRttya vyUha  racanAm viDAya dOrmanasyena aBiBUtaH atra
   baṭa tale sthitaḥ |	bawa  tale sTitaH |
   karaṭaka āha  bhadra kim āvayor anena vyāpāreṇa uktaṃ ca yataḥ 	karawakaH Aha Badra kim AvayoH anena vyApAreNa uktam ca yatas  
   avyāpareṣu vyāpāraṃ yo naraḥ kartum icchati |	avyAparezu vyApAram yaH naraH kartum icCati |
   sa eva nidhanaṃ yāti kīlotpāṭīva vānaraḥ ||Panc_1.21||	saH eva niDanam yAti kIla utpAwI iva vAnaraH ||Pan= _1.21||
   kathā 1	kaTA 1
   kīlotpāṭi vānara kathā	kIla utpAwi vAnara  kaTA
   kasmiṃścin nagarābhyāśe kenāpi vaṇik putreṇa taru khaṇḍa madhye	kasmiMScid nagara aByASe kena api vaNik putreNa taru  KaNxa  maDye
   devatāyatanaṃ kartum ārabdham | tatra ca ye karmakarāḥ sthāpanādayaḥ | te	devatAyatanam kartum ArabDam | tatra ca ye karmakarAH sTApana AdayaH | te
   madhyāhna belāyām āhārārthaṃ nagara madhye gacchanti | atha kadācit	maDyAhna belAyAm AhAra arTam nagara  maDye gacCanti | aTa kadAcid 
   tatrānuṣaṅgikaṃ vānara yūtham itaś cetaś ca paribhramad āgatam |	tatra AnuzaFgikam vAnara   yUTam itas ca itas ca pariBramat Agatam |
   tatraikasya kasyacic chilpino 'rdha sphāṭito 'ñjana vṛkṣa dārumayaḥ	tatra ekasya kasyacid SilpinaH arDa  sPAwitaH aQjana vRkza dAru mayaH
   stambhaḥ khadira kīlakena madhya nihitena tiṣṭhati | etasminn antare te	stamBaH Kadira  kIlakena maDya  nihitena tizWati | etasmin antare te
   vānarās taru śikhara prasāda śṛṅga dāru paryanteṣu yathecchayā krīḍitum	vAnarAH taru  SiKara  prasAda  SRFga dAru  paryantezu yaTA icCayA krIxitum
   ārabdhāḥ | ekaś ca teṣāṃ pratyāsanna mṛtyuś cāpalyāt tasminn	ArabDAH | ekaH ca tezAm pratyAsanna  mRtyuH cApalyAt tasmin= 
   ardha sphoṭita stambhe upaviśya pāṇibhyāṃ kīlakaṃ saṃgṛhya yāvad	arDa   sPowita  stamBe upaviSya pANiByAm kIlakam saMgRhya yAvat 
   utpādayitum ārebhe tāvat tasya stambha madhya gata vṛṣaṇasya sva sthānāc	utpAdayitum AreBe tAvat tasya stamBa  maDya  gata  vRzaNasya sva  sTAnAc
   calita kīlakena yad vṛttaṃ tat prāg eva niveditam | ato 'haṃ bravīmi 	calita kIlakena yat vRttam tat prAk eva niveditam | atas aham bravImi 
   avyāpāreṣu iti | āvayor bhakṣita śeṣa āhāro 'sty eva | tat kim anena	avyApArezu iti | AvayoH Bakzita SezaH AhAraH asti eva | tat kim anena
   vyāpāreṇa | damanaka āha tat kiṃ bhavān āhārārthī kevalam eva | tan na	vyApAreNa | damanakaH Aha tat kim BavAn AhAra arTI kevalam eva | tat na
   yuktam | uktaṃ ca 	yuktam | uktam ca 
   suhṛdām upakāraṇād dviṣatām apy apakāraṇāt |	suhRdAm upakAraNAt dvizatAm api apakAraNAt |
   nṛpa saṃśraya iṣyate budhair jaṭharaṃ ko na bibharti kevalam ||Panc_1.22||	nRpa  saMSrayaH izyate buDEH jaWaram kaH na biBarti kevalam ||Pan= _1.22||
   kiṃ ca 	kim ca 
   yasmiñ jīvanti jīvanti bahavaḥ so 'tra jīvatu |	yasmin jIvanti jIvanti bahavaH saH atra jIvatu |
   vayāṃsi kiṃ na kurvanti cañcvā svodara pūraṇam ||Panc_1.23||	vayAMsi kim na kurvanti caQcvA sva udara  pUraNam ||Pan= _1.23||
   tathā ca 	taTA ca 
   yaj jīvyate kṣaṇam api prathitaṃ manuṣyair	yat jIvyate kzaNam api praTitam manuzyEH 
   vijñāna śaurya vibhavārya guṇaiḥ sametam |	vijQAna  SOrya  viBava Arya  guNEH sametam |
   tan nāma jīvitam iha pravadanti taj jñāḥ	tat nAma jIvitam iha pravadanti taj  jQAH
   kāko 'pi jīvati cirāya baliṃ ca bhuṅkte ||Panc_1.24||	kAkaH api jIvati cirAya balim ca BuFkte ||Pan= _1.24||
   yo nātmanā na ca pareṇa ca bandhu varge	yaH na AtmanA na ca pareNa ca banDu varge
   dīne dayāṃ na kurute na ca martya varge |	dIne dayAm na kurute na ca martya varge |
   kiṃ tasya jīvita phalaṃ hi manuṣya loke	kim tasya jIvita Palam hi manuzya  loke
   kāko 'pi jīvati cirāya baliṃ ca bhuṅkte ||Panc_1.25||	kAkaH api jIvati cirAya balim ca BuFkte ||Pan= _1.25||
