   aṣṭama ucchvāsaḥ	azwamaH ucCvAsaH
   tasyāyaṃ nirghātanāmā svasrīyaḥ sakalasyāsya vindhyakāntārāraṇyasya	tasya-ayam nirGAta-nAmA svasrIyaH sakalasya-asya vinDya-kAntAra-araNyasya
   parṇānāmapyabhijñaḥ kimuta pradeśānām /	parNAnAm-api-aBijQaH kim-uta pradeSAnAm /
   enaṃ pṛcchatu devo yogyo 'yamājñāṃ kartum' /	enam pRcCatu devaH yogyaH ayam-AjQAm kartum-a /
   iti kathite ca nirgātastu kṣititalanihitamauliḥ praṇāmamakarot /	iti kaTite ca nirgAtaH-tu kziti-tala-nihita-mOliH praNAmam-akarot /
   upaninye ca tittiriṇā saha śaśopāyanam /	upaninye ca tittiriNA saha SaSa-upAyanam /
   avanipatistu saṃmānayansvayameva tamaprākṣīt--"aṅga! abhijñā yūyamasya	avanipatiH-tu saMmAnayan-svayam-eva tam-aprAkzIt--"aFga! aBijQA yUyam-asya
   sarvasyoddeśasya? vihāraśīlāśca divasaṣveteṣu bhavantaḥ? senāpatervānyasya	sarvasya-uddeSasya? vihAra-SIlAH-ca divasazu-etezu BavantaH? senApateH-vA-anyasya
   vā tadanujīvinaḥ kasyacidudārarūpa nārī na gatā bhaveddarśanagocaram?' iti	vA tad-anujIvinaH kasyacid-udAra-rUpa nArI na gatA Bavet-darSana-gocaram?-a iti
   nirghātastu bhūpālālāpanaprasādenātmānaṃ bahumanyamānaḥ praṇanāma,	nirGAtaH-tu BUpAla-AlApana-prasAdena-AtmAnam bahu-manyamAnaH praNanAma,
   darśitādaraṃ ca vyajñāpayat--"deva! prāyeṇātra hiraṇyo 'pi nāparigatāḥ	darSita-Adaram ca vyajQApayat--"deva! prAyeNa-atra hiraNyaH api na-aparigatAH
   saṃcaranti senāpateḥ, kuta eva nāryaḥ? nāpyevaṃrūpā kācidabalā /	saMcaranti senApateH, kutas eva nAryaH? na-api-evaMrUpA kAcid-abalA /
   tathāpi devādeśādidānīmanveṣaṇaṃ prati pratidinamananyakṛtyaiḥ kriyate	taTA-api deva-AdeSAt-idAnIm-anvezaNam prati pratidinam-ananya-kRtyEH kriyate
   yatnaḥ /	yatnaH /
   itaścārdhagavyūtimātra eva munimahite mahati mahīdharamālāmūlaruhi	itas-ca-arDa-gavyUti-mAtraH eva munim-ahite mahati mahIDara-mAlA-mUla-ruhi
   mahīruhāṃ ṣaṇḍe 'pi piṇḍapātī prabhūtāntevāsiparivṛtaḥ pārāśarī	mahIruhAm zaNxe api piNxa-pAtI praBUta-antevAsi-parivRtaH pArASarI
   divākaramitranāmā girinadīmāśritya prativasati, sa yadi vindedvārtām' iti	divAkaramitra-nAmA giri-nadIm-ASritya prativasati, sa yadi vindet-vArtAma iti
   tacchru tvā narapatiracintayat--śrūyate hi tatrabhavataḥ sugṛhītanāmnaḥ	tat-Sru tvA narapatiH-acintayat---SrUyate hi tatraBavataH su-gRhIta-nAmnaH
   svargatasya grahavarmaṇo bālamitraṃ maitrāyaṇīyastrayīṃ vihāya	svar-gatasya grahavarmaNaH bAla-mitram mEtrAyaNIyaH-trayIm vihAya
   brāhnaṇāyano vidvānutpannasamādhiḥ saugate mate yuvaiva kāṣāyāṇi	brAhnaNAyanaH vidvAn-utpanna-samADiH sOgate mate yuvA-eva kAzAyANi
   gṛhītavān' iti /	gRhItavAn-a iti /
   prāyaśaśca janasya janayati suhṛdapi dṛṣṭo bhṛśamāśvāsam /	prAyaSas-ca janasya janayati suhRd-api dRzwaH BRSam-ASvAsam /
   abhigamanīyāśca guṇāḥ sarvasya /	aBigamanIyAH-ca guNAH sarvasya /
   kasya na pratīkṣyo munibhāvaḥ /	kasya na pratIkzyaH muni-BAvaH /
   bhagavatī ca vaidheye 'pi dharmagṛhiṇī garimāṇamāpādayati pravrajyā, kiṃ	BagavatI ca vEDeye api Darma-gRhiNI garimANam-ApAdayati pravrajyA, kim
   punaḥ sakalajanamanomuṣi viduṣi jane /	punar sakala-jana-manaH-muzi viduzi jane /
   yato naḥ kutūhali hṛdayamabhūtsatatamasya darśanaṃ prati	yatas naH kutUhali hRdayam-aBUt-satatam-asya darSanam prati
   prāsaṅgikamevedamāpatitamatikalyāṇaṃ paśyāmaḥ prayatnaprārthitadarśanaṃ	prAsaFgikam-eva-idam-Apatitam-ati-kalyANam paSyAmaH prayatna-prArTita-darSanam
   janamiti /	janam-iti /
   prakāśaṃ cābravīt--"aṅka! samupadiśa tamuddeśaṃ yatrāste sa piṇḍapātī' iti	prakASam ca-abravIt---"aFka! samupadiSa tam-uddeSam yatra-Aste sa piNxapAtI-a iti
   evamuktvā ca tenevopadiśyamānavartmā prāvartata gantum /	evam-uktvA ca tena-iva-upadiSyamAna-vartmA prAvartata gantum /
   atha krameṇa gacchata eva tasya anavakeśinaḥ kuḍmalitakarṇikārāḥ,	aTa krameNa gacCate eva tasya anavakeSinaH kuxmalita-karNikArAH,
   pracūracampakāḥ sphītaphalegrahayaḥ, phalabharabharitanameravaḥ nīladalana	pracUra-campakAH sPIta-Palegra-hayaH, Pala-Bara-Barita-nam-eravaH nIladalana
   ladanārikelanikarāḥ, harikesarasaralaparikarāḥ	ladanArikela-nikarAH, hari-kesa-rasa-rala-parikarAH
   korakanikurambaromāñcitakurabakarājayaḥ,	koraka-nikuramba-romAQcita-kurabaka-rAjayaH,
   raktāśokapallavalāvaṇyalipyamānadaśadiśaḥ,	rakta-aSoka-pallava-lAvaNya-lipyamAna-daSa-diSaH,
   pravikasitakesararajovisarabadhyamānacārudhūsarimāṇaḥ svarajaḥ	pravikasita-kesara-rajaH-visara-baDyamAna-cAru-DU-sarimANaH sva-rajaH
   sikatilatilakatālāḥ, pravicalitahiṅgavaḥ, pracurapūgaphalāḥ,	sikatila-tilaka-tAlAH, pravicalita-hiFgavaH, pracura-pUga-PalAH,
   prasavapūgapiṅgalapriyaṅgavaḥ,	prasava-pUga-piFgala-priyaFgavaH,
   parāgapiñjaritamañjarīpuñjāyamānamadhupamañjuśiñjājanitajanamudaḥ,	parAga-piQjarita-maQjarI-puQjAyamAna-maDupa-maQju-SiQjA-janita-jana-mudaH,
   madamalamecakitamucukundaskandhakāṇḍakathyamānaniḥśaṅkakarikaraṭakaṇḍūtayaḥ,	mad-a-mala-mecakita-mucukunda-skanDa-kANxa-kaTyamAna-niHSaFka-kari-karawa-kaNxUtayaH,
   uḍḍīyamānaniḥśaṅkacaṭulakṛṣṇaśāraśāvasakalaśādvalasubhagabhūmayaḥ, tamaḥ	uxxIyamAna-niHSaFka-cawula-kRzNa-SAra-SAva-sakala-SAdvala-suBaga-BUmayaH, tamaH
   kālatamatamālamālāmīlitātapāḥ, stabakadanturitadevadāravaḥ,	kAlatama-tamAla-mAlA-mIlita-AtapAH, stabaka-danturita-devadAravaH,
   taralatāmbūlīstambajālakitajambūjambhīravīthayaḥ,	tarala-tAmbUlI-stamba-jAlakita-jambUjam-BIra-vITayaH,
   kusumarajodhavaladhūlīkadambacakracumbitavyomānaḥ,	kusuma-rajaH-Davala-DUlI-kadamba-cakra-cumbita-vyomAnaH,
   bahalamadhumokṣokṣitakṣitayaḥ, parimalaghaṭitaghanaghrāṇatṛptayaḥ,	bahala-maDu-mokza-ukzita-kzitayaH, parimala-Gawita-Gana-GrANa-tRptayaH,
   katipayadivasasūtakukkuṭīkuṭīkṛtakuṭajakoṭarāḥ,	katipaya-divasa-sUta-kukkuwI-kuwI-kRta-kuwaja-kowarAH,
   caṭakāsaṃcāryamāṇavācāṭacāṭakairakriyamāṇacāṭavaḥ,	cawakA-saMcAryamANa-vAcAwa-cAwakErakriyamANa-cAwavaH,
   sahacarocāraṇacañcuracakoracañcavaḥ,	sahacaraH-cAraNa-caQcuracakora-caQcavaH,
   nirbhayabhūribhuruṇḍabhujyamānapākakapilapīlavaḥ,	nirBaya-BUri-BuruNxa-BujyamAna-pAka-kapila-pIlavaH,
   sadāphalakaṭphalaviśasananiḥśūkaśukaśakuntaśātitaśalāṭavaḥ,	sadAPala-kawPala-viSasana-niHSUka-Suka-Sakunta-SAtita-SalAwavaH,
   śaileyasukumāraśilātalasukhaśayitaśaśaśiśavaḥ,	SEleya-sukumAra-SilA-tala-suKa-Sayita-SaSa-SiSavaH,
   śephālikāśiphāvivaravisrabdhavivartamānagaudherarāśayaḥ,	SePAlika-aSiPA-vivara-visrabDa-vivartamAna-gODera-rASayaH,
   nirātaṅkarahgavaḥ, nirākulanakulakulakelayaḥ,	nirAtaFka-rahgavaH, nirAkula-nakula-kula-kelayaH,
   kalakokilakulakavalitakalikodramāḥ,	kala-kokila-kula-kavalita-kalikA-udramAH,
   sahakārārāmaromanthāyamānacamarayūthāḥ,	sahakAra-ArAma-raH-manTAyamAna-camara-yUTAH,
   yathāsukhaniṣaṇṇanīlāṇḍajamaṇḍalāḥ,	yaTA-suKa-nizaNNa-nIla-aNxaja-maNxalAH,
   nirvikāravṛkavilokyamānapotapītagavayadhenavaḥ,	nirvikAra-vRka-vilokyamAna-pota-pIta-gavaya-DenavaH,
   śravaṇahārisanīḍagirinitambanirjharaninādanidrānandamandāyamānakar	SravaNa-hAri-sa-nIxa-giri-nitamba-nirJara-ninAda-nidrA-Ananda-mandAyamAna-kar
   ikulakarṇatāladundubhyaḥ samāsannakinnarīgītaravarasamānaruravaḥ,	ikula-karNa-tAla-dunduByaH samAsanna-kinnarI-gItara-vara-samAna-ruravaH,
   pramuditataratarakṣavaḥ,	pramuditatara-tarakzavaH,
   kṣataharitaharidrādravarajyamānanavavarāhapotapotravalayaḥ,	kzata-harita-haridrA-drava-rajyamAna-nava-vara-Aha-pota-potra-valayaH,
   guñjākuñjaguñjajjāhakāḥ, jātīphalakasuptaśālijātakavalayaḥ,	guQjA-kuQja-guQjat-jAhakAH, jAtIPalaka-supta-SAli-jAtaka-valayaH,
   daśanakupitakapipotapeṭakapāṭitapāṭalamukhakīṭapuṭakāḥ,	daSana-kupitakapipota-pewaka-pAwita-pAwala-muKa-kIwa-puwakAH,
   lakucalampaṭagolāṅgūlalaṅghyamānalavalayaḥ, baddhavālukālavālavalayāḥ,	lakuca-lampawa-golAFgUla-laFGyamAnalava-layaH, badDa-vAlu-kAlavAla-valayAH,
   kuṭilakuṭāvalivalitavegagirinadikāsrotasaḥ	kuwila-kuwa-Avali-valita-vega-giri-nadikA-srotasaH
   nibiḍaśākhākāṇḍalambamānakamaṇḍalavaḥ,	nibixa-SAKA-kANxa-lamba-mAna-kamaNxalavaH,
   sūtraśikyāsaktariktabhikṣākapālapallavitalatāmaṇḍapāḥ,	sUtra-SikyA-sakta-rikta-BikzA-kapAla-pallavita-latA-maNxapAH,
   nikaṭakuṭīkṛtapāṭalamudrācaityakamūrtayaḥ,	nikawa-kuwIkRta-pAwala-mudrA-cEtyaka-mUrtayaH,
   covarāmbararāgakaṣāyodakadūṣitoddeśāḥ, meghamayā iva	ca-uvara-ambara-rAga-kazAya-udaka-dUzita-uddeSAH, meGa-mayAH iva
   kṛtaśikhaṇḍikulakolāhalāḥ, vedamayā ivāparimitaśākhābhedagahanāḥ,	kRta-SiKaNxi-kula-kolAhalAH, veda-mayAH iva-aparimita-SAKA-Beda-gahanAH,
   māṇikyamayā iva mahānīlatanavaḥ, timiramayā iva sakalajananayanamuṣaḥ,	mANikya-mayAH iva mahAnIla-tanavaH, timira-mayAH iva sakala-jana-nayana-muzaH,
   yāmunā ivordhvīkṛtamahāhradāḥ, marakatamaṇiśyāmalāḥ krīḍāparvatakā iva	yAmunA iva-UrDvIkRta-mahA-hradAH, marakata-maNi-SyAmalAH krIxA-parvatakAH iva
   vasantasya, añjanācalā iva pallavitāḥ, tanayā ivāṭavījātā vindhyasyādreḥ,	vasantasya, aQjana-acalAH iva pallavitAH, tanayAH iva-awavI-jAtA vinDyasya-adreH,
   pātālāndhakārarāśaya iva bhittvā bhuvamutthitāḥ, pratipraveśikā iva	pAtAla-anDakAra-rASayaH iva BittvA Buvam-utTitAH, pratipraveSikAH iva
   varṣāvāsarāṇaām, aṃśāvatārā iva kṛṣṇārdharātrīṇām, indranīlamayāḥ prāsādā	varzA-vAsarANaAm, aMSa-avatArAH iva kRzNa-arDarAtrINAm, indranIla-mayAH prAsAdA
   iva vanadevatānām, purastāddarśanapathamavaterustaravaḥ /	iva vana-devatA-nAm, purastAt-darSana-paTam-avateruH-taravaH /
   tato narapaterabhavanmanasyadūravartinā khalu bhavitavyaṃ bhadanteneti /	tatas narapateH-aBavat-manasya-dUra-vartinA Kalu Bavitavyam Badantena-iti /
   avatīrya ca girisariti samupaspṛśya	avatIrya ca girisariti samupaspRSya
   yugapadviśrāmasamayasamunmuktaheṣāghoṣabadhirīkṛtāṭavīgahanāmasminneva	yugapad-viSrAma-samaya-samunmukta-heza-aGoza-baDirIkRta-awavI-gahanAm-asmin=-eva
   pradeśe sthāpayitvā vājisenāmavalambya ca tapasvijanadarśanocitaṃ vinayaṃ	pradeSe sTApayitvA vAji-senAm-avalambya ca tapasvi-jana-darSana-ucitam vinayam
   hṛdayena dakṣiṇena ca hastena mādhavaguptamaṃse viralaireva	hRdayena dakziNena ca hastena mADavaguptam-aMse viralEH-eva
   rājabhiranugamyamānascaraṇābyāmeva prāvartata gantum /	rAjaBiH-anugamyamAna-scaraNa-AbyAm-eva prAvartata gantum /
   atha teṣāṃ tarūṇāṃ madye nānādeśīyaiḥ sthānasthāneṣu sthāṇūnāśritaiḥ	aTa tezAm tarUNAm madye nAnA-deSIyEH sTAna-sTAnezu sTANUn-ASritEH
   śilātaleṣūpaviṣṭairlatābhavanānyadhyāvasadbhiraraṇyānīnikuñjeṣu	SilA-talezu-upavizwEH-latA-BavanAni-aDyAvasadBiH-araNyAnI-nikuQjezu
   nilīnairviṭapacchāyāsu niṣaṇṇaistarumūlāni	nilInEH-viwapa=-CAyAsu nizaNNEH-taru-mUlAni
   niṣevamāṇairvītarāgairārhatairmaskaribhiḥ śvetapaṭaiḥ	nizevamANEH-vIta-rAgEH-ArhatEH-maskariBiH Sveta-pawEH
   pāṇḍurabikṣubhirbhāgavatairvarṇibiḥ keśaluñcanaiḥ	pANxura-bikzuBiH-BAgavatEH-varNibiH keSa-luQcanEH
   kāpilairjainairlokāyatikaiḥ kāṇādairopaniṣadairaiśvarakāraṇikaiḥ	kApilEH-jEnEH-lokAyatikEH kANa-AdEH-opanizadEH-ESvara-kAraNikEH
   kārandhamibhirdharmaśāstribhiḥ paurāṇikaiḥ sāptatantavaiḥ śābdikaiḥ	kAranDamiBiH-DarmaSAH-triBiH pOrANikEH sApta-tantavEH SAbdikEH
   pāñcarātrikairanyaiśca	pAQcarAtrikEH-anyEH-ca
   svānsvānsiddhāntāñśṛṇvadbhirabhiyuktaiścintayadbhisca pratyuccaradbhiśca	svAn-svAn-sidDAntAn-SRNvadBiH-aBiyuktEH-cintayadBiH-ca pratyuccaradBiH-ca
   saṃśayānaiśca niścinvadbhiśca vyutpādayadbhiśca	saMSayAnEH-ca niScinvadBiH-ca vyutpAdayadBiH-ca
   vivadamānaiścābhyasadbhiśca vyācakṣāṇaiśca śiṣyatāṃ	vivadamAnEH-ca-aByasadBiH-ca vyAcakzANEH-ca SizyatAm
   pratipannairdūrādevāvedyamānam, ativinītaiḥ kapibhirapi caityakarma	pratipannEH-dUrAt-eva-avedyamAnam, ati-vinItEH kapiBiH-api cEtya-karma
   kurvāṇaistrisaraṇaparaiḥ paramopāsakaiḥ śukairapi śākyaśāsanakuśalaiḥ	kurvANEH-tri-saraNa-parEH parama-upAsakEH SukEH-api SAkya-SAsana-kuSalEH
   kośaṃ samupadiśadbhiḥ śikṣāpadopadeśadoṣopaśamaśālinībhiḥ śārikābhirapi	koSam samupadiSadBiH SikzA-pada-upadeSa-doza-upaSama-SAlinIBiH SArikABiH-api
   dharmadeśānāṃ darśayantībhiranavarataśravaṇagṛhītālokaiḥ kauśikairapi	Darma-deSAnAm darSayantIBiH-anavarata-SravaNa-gRhIta-AlokEH kOSikEH-api
   bodhisattvajātakāni japadbhirjātasaugataśīlaśītalasvabhāvaiḥ	boDisattva-jAtakAni japadBiH-jAta-sOgata-SIla-SItala-svaBAvEH
   śārdūlairapyamāṃsāśibhirupāsyamānam,	SArdUlEH-apya-mAMsa-ASiBiH-upAsyamAnam,
   āsanopāntopaviṣṭavisrabdhānekakesariśāvakatayā muniparameśvaram, akṛtrima	Asana-upAnta-upavizwa-visrabDa-aneka-kesari-SAvaka-tayA muni-parameSvaram, akRtrima
   iva siṃhāsane niṣaṇṇam, upasamamiva	iva siMhAsane nizaNNam, upasamam-iva
   pibadbirvanahariṇairjihvālatābhirupalihyamānapādapallavam,	pibat-birvana-hariNEH-jihvA-latABiH-upalihyamAna-pAda-pallavam,
   vāmakaratalaniviṣṭena nīvāramaśnatā pārāvatapotakena karṇotpaleneva priyāṃ	vAma-kara-tala-nivizwena nIvAram-aSnatA pArAvata-potakena karNa-utpalena-iva priyAm
   maitrīṃ prasādayantam,	mEtrIm prasAdayantam,
   itarakarakisalayanakhamayūkhalekhābhirjanitajanavyāmoham, udgrīvaṃ mayūraṃ	itara-kara-kisalaya-naKa-mayUKa-leKABiH-janita-jana-vyAmoham, udgrIvam mayUram
   marakatamaṇikarakamiva vāridhārābhiḥ pūrayantam, itastataḥ	marakata-maNi-karakam-iva vAri-DArABiH pUrayantam, itas-tatas-
   pipīlakaśreṇīnāṃ śyāmākataṇḍulakaṇānsvayameva kirantam, aruṇena	pipIlaka-SreNInAm SyAmAka-taNxula-kaNAn-svayam-eva kirantam, aruNena
   cīvarapaṭalena mradrīyasā saṃvītam, bahalabālātapānuliptamiva paurandaraṃ	cIvara-pawalena mradrIyasA saMvItam, bahala-bAla-Atapa-anuliptam-iva pOrandaram
   digbhāgam, ullikhitapajharāgaprabhāpratimayā raktāvadātayā dehaprabhayā	diS-BAgam, ulliKita-paJa-rAga-praBA-pratimayA rakta-avadAtayA deha-praBayA
   pāṭalīkṛtānāṃ kāṣāyagrahaṇamiva diśāmapyupadiśantam,	pAwalI-kRtAnAm kAzAya-grahaNam-iva diSAm-api-upadiSantam,
   anauddhatyādadhomukhena mandamukulitakumudākareṇa snigdhadhavalaprasannena	anOdDatyAt-aDomuKena manda-mukulita-kumuda-AkareNa snigDa-Davala-prasannena
   cakṣuṣā janakṣuṇṇakṣudrajantujīvanārthamamṛtamiva varṣantam,	cakzuzA jana-kzuNNa-kzudra-jantu-jIvana-arTam-amRtam-iva varzantam,
   sarvaśāstrākṣaraparamāṇubhiriva nirmitam,	sarva-SAstra-akzara-paramANuBiH-iva nirmitam,
   paramasaugatamapyavalokiteśvaram, askhalitamapi tapasi lagnam, ālokamiva	parama-sOgatam-api-avalokita-ISvaram, asKalitam-api tapasi lagnam, Alokam-iva
   yathāvasthitasakalapadārthaprakāśakaṃ darśanārthinām,	yaTA-avasTita-sakala-padArTa-prakASakam darSana-arTinAm,
   sugatasyāpyabhigamanīyam, avadharmasyāpyārādhanīyamiva, prasādasyāpi	sugatasya-api-aBigamanIyam, avaDarmasya-api-ArADanIyam-iva, prasAdasya-api
   prasādanīyamiva, mānasyāpi mānanīyamiva, vandyatvasyāpi vandanīyamiva,	prasAdanIyam-iva, mAnasya-api mAnanIyam-iva, vandya-tvasya-api vandanIyam-iva,
   ātmano 'pi spṛhaṇīyamiva, dhyānasyāpi dhyeyamiva, jñānasyāpi jñeyamiva,	AtmanaH api spRhaNIyam-iva, DyAnasya-api Dyeyam-iva, jQAnasya-api jQeyam-iva,
