   akathyaṃ sukham uttamam GK_3.47b	akaTyam suKam uttamam GK_3.47b
   aniścitā yathā rajjur GK_2.17a	aniScitAH yaTA rajjuH GK_2.17a
   anumodāmahe vayam GK_4.5b	anumodAmahe vayam GK_4.5b
   antaś citte vyavasthitān GK_2.13b	antar citte vyavasTitAn GK_2.13b
   antaḥprajñas tu taijasaḥ GK_1.1b	antar-prajQaH tu tEjasaH GK_1.1b
   antaḥsthānāt tu bhāvānāṃ GK_2.1c	antar-sTAnAt tu BAvAnAm GK_2.1c
   antaḥsthānāt tu bhedānāṃ GK_2.4a	antar-sTAnAt tu BedAnAm GK_2.4a
   andhakāre vikalpitā GK_2.17b	anDakAre vikalpitA GK_2.17b
   anyathā gṛhṇataḥ svapno GK_1.15a	anyaTA gRhNataH svapnaH GK_1.15a
   anyathā dvayanāśataḥ GK_4.24b	anyaTA dvaya-nASataH GK_4.24b
   anyad anyasya caiva hi GK_4.53b	anyat anyasya ca-eva hi GK_4.53b
   apūrvaṃ sthānidharmo hi GK_2.8a	apUrvam sTAni-DarmaH hi GK_2.8a
   apūrvo 'nantaro 'bāhyo GK_1.26c	apUrvaH anantaraH abAhyaH GK_1.26c
   aprasiddhaḥ kathaṃ hetuḥ GK_4.17c	aprasidDaH kaTam hetuH GK_4.17c
   abhayaṃ padam aśnute GK_4.78d	aBayam padam aSnute GK_4.78d
   abhayaṃ sarvayogiṇām GK_3.40b	aBayam sarva-yogiNAm GK_3.40b
   abhaye bhayadarśinaḥ GK_3.39d	aBaye Baya-darSinaH GK_3.39d
   abhāvaś ca rathādīnāṃ GK_2.3a	aBAvaH ca raTa-AdInAm GK_2.3a
   abhūtasyāpare dhīrā GK_4.3c	aBUtasya-apare DIrAH GK_4.3c
   abhūtaṃ naiva jāyate GK_4.4b	aBUtam na-eva jAyate GK_4.4b
   abhūtābhiniveśād dhi GK_4.79a	aBUta-aBiniveSAt Di GK_4.79a
   abhūtābhiniveśo 'sti GK_4.75a	aBUta-aBiniveSaH asti GK_4.75a
   abhūto hi yataś cārtho GK_4.26c	aBUtaH hi yatas ca-arTaH GK_4.26c
   abhedena praśasyate GK_3.13b	aBedena praSasyate GK_3.13b
   amanastāṃ tadā yāti GK_3.32c	amanaH-tAm tadA yAti GK_3.32c
   amātro 'nantamātraś ca GK_1.29a	amAtraH ananta-mAtraH ca GK_1.29a
   amūrta iti ca tadvidaḥ GK_2.23d	amUrtaH iti ca tad-vidaH GK_2.23d
   alabdhāvaraṇāḥ sarve GK_4.98a	alabDa-AvaraNAH sarve GK_4.98a
   alātaspanditaṃ yathā GK_4.47b	alAta-spanditam yaTA GK_4.47b
   alāte spandamāne vai GK_4.49a	alAte spandamAne vE GK_4.49a
   avastu sopalambhaṃ ca GK_4.87c	avastu sa-upalamBam ca GK_4.87c
   avastv anupalambhaṃ ca GK_4.88a	avastu anupalamBam ca GK_4.88a
   avitathā iva lakṣitāḥ GK_2.6d	avitaTAH iva lakzitAH GK_2.6d
   avitathā iva lakṣitāḥ GK_4.31d	avitaTAH iva lakzitAH GK_4.31d
   avivādaṃ nibodhata GK_4.5d	avivAdam niboData GK_4.5d
   avivādo aviruddhaś ca GK_4.2c	avivAdaH avirudDaH ca GK_4.2c
   avyaktā eva ye 'ntas tu GK_2.15a	avyaktAH eva ye antar tu GK_2.15a
   aśaktir aparijñānaṃ GK_4.19a	aSaktiH aparijQAnam GK_4.19a
   asaṅgatā sadā nāsti GK_4.97c	asaFga-tA sadA na-asti GK_4.97c
   asaṅgaṃ tena kīrtitam GK_4.72d	asaFgam tena kIrtitam GK_4.72d
   asaṅgaṃ tena kīrtitam GK_4.96d	asaFgam tena kIrtitam GK_4.96d
   asaj jāgarite dṛṣṭvā GK_4.39a	asat jAgarite dRzwvA GK_4.39a
   asato māyayā janma GK_3.28a	asataH mAyayA janma GK_3.28a
   asat svapne 'pi dṛṣṭvā ca GK_4.39c	asat svapne api dRzwvA ca GK_4.39c
   asaṃbandho viṣāṇavat GK_4.16d	asaMbanDaH vizANa-vat GK_4.16d
   asti nāsty asti nāstīti GK_4.83a	asti na-asti asti na-asti-iti GK_4.83a
   asti vastu tathocyate GK_4.44d	asti vastu taTA-ucyate GK_4.44d
   astivastutvavādinām GK_4.42b	astivastu-tva-vAdinAm GK_4.42b
   aspandamānam alātam GK_4.48a	aspandamAnam alAtam GK_4.48a
   aspandamānaṃ vijñānam GK_4.48c	aspandamAnam vijQAnam GK_4.48c
   asparśayogo vai nāma GK_3.39a	asparSa-yogaH vE nAma GK_3.39a
   asparśayogo vai nāma GK_4.2a	asparSa-yogaH vE nAma GK_4.2a
   ākāśasya na bhedo 'sti GK_3.6c	AkASasya na BedaH asti GK_3.6c
   ākāśe ca hṛdi prājñas GK_1.2c	AkASe ca hRdi prAjQaH GK_1.2c
   ākāśenāvilakṣaṇaḥ GK_3.9d	AkASena-avilakzaNaH GK_3.9d
   ākāśe saṃpralīyante GK_3.4c	AkASe saMpralIyante GK_3.4c
   ātmamāyāvisarjitāḥ GK_3.10b	Atma-mAyA-visarjitAH GK_3.10b
   ātmasatyānubodhena GK_3.32a	Atma-satya-anuboDena GK_3.32a
   ātmasaṃsthaṃ tadā jñānam GK_3.38c	Atma-saMsTam tadA jQAnam GK_3.38c
   ātmāpi malino malaiḥ GK_3.8d	AtmA-api malinaH malEH GK_3.8d
   ātmā devaḥ svamāyayā GK_2.12b	AtmA devaH sva-mAyayA GK_2.12b
   ātmā hy ākāśavaj jīvair GK_3.3a	AtmA hi AkASa-vat jIvEH GK_3.3a
   ādāv ante ca yan nāsti GK_2.6a	AdO ante ca yat na-asti GK_2.6a
   ādāv ante ca yan nāsti GK_4.31a	AdO ante ca yat na-asti GK_4.31a
   ādibuddhāḥ prakṛtyaiva GK_4.92a	Adi-budDAH prakRtyA-eva GK_4.92a
   ādir na vidyate yasya GK_4.23c	AdiH na vidyate yasya GK_4.23c
   ādir hetuḥ phalasya ca GK_4.14b	AdiH hetuH Palasya ca GK_4.14b
   ādir hetuḥ phalasya ca GK_4.15b	AdiH hetuH Palasya ca GK_4.15b
   ādiśāntā hy anutpannāḥ GK_4.93a	Adi-SAntAH hi anutpannAH GK_4.93a
   ādisāmānyam utkaṭam GK_1.19b	Adi-sAmAnyam utkawam GK_1.19b
   ādau buddhās tathā muktā GK_4.98c	AdO budDAH taTA muktA GK_4.98c
   ādhikye sarvasāmye vā GK_3.10c	ADikye sarva-sAmye vA GK_3.10c
   ānandabhuk tathā prājñas GK_1.3c	Ananda-Buj taTA prAjQaH GK_1.3c
   ānandaś ca tathā prājñaṃ GK_1.4c	AnandaH ca taTA prAjQam GK_1.4c
   āptakāmasya kā spṛhā GK_1.9d	Apta-kAmasya kA spRhA GK_1.9d
   āptisāmānyam eva ca GK_1.19d	Apti-sAmAnyam eva ca GK_1.19d
   ābhāsasyāviśeṣataḥ GK_4.50d	ABAsasya-aviSezataH GK_4.50d
   āvṛṇoty eva bāliśaḥ GK_4.83d	AvRNoti eva bAliSaH GK_4.83d
   āśramā iti tadvidaḥ GK_2.27b	ASramAH iti tad-vidaH GK_2.27b
   āśramās trividhā hīna- GK_3.16a	ASramAH triviDA hIna GK_3.16a
   icchāmātraṃ prabhoḥ sṛṣṭir GK_1.8a	icCA-mAtram praBoH sRzwiH GK_1.8a
   iti tattvavido viduḥ GK_2.34d	iti tattva-vidaH viduH GK_2.34d
   iti vedāntaniścayaḥ GK_2.12d	iti vedAnta-niScayaH GK_2.12d
   iti sṛṣṭau viniścitāḥ GK_1.8b	iti sRzwO viniScitAH GK_1.8b
   ity eṣā paramārthatā GK_2.32d	iti ezA paramArTa-tA GK_2.32d
   indro māyābhir ity api GK_3.24b	indraH mAyABiH iti api GK_3.24b
   iṣyate bhūtadarśanāt GK_4.25d	izyate BUta-darSanAt GK_4.25d
   iṣyate yuktidarśanāt GK_4.25b	izyate yukti-darSanAt GK_4.25b
   iṣyete viśvataijasau GK_1.11b	izyete viSva-tEjasO GK_1.11b
   īśānaḥ prabhur avyayaḥ GK_1.10b	ISAnaH praBuH avyayaH GK_1.10b
   ukāraś cāpi taijasam GK_1.23b	ukAraH ca-api tEjasam GK_1.23b
   ucchedas tena nāsti vai GK_4.57d	ucCedaH tena na-asti vE GK_4.57d
   utkarṣo dṛśyate sphuṭam GK_1.20b	utkarzaH dRSyate sPuwam GK_1.20b
   uttamādhamamadhyamān GK_4.76b	uttama-aDama-maDyamAn GK_4.76b
   utpādasyāprasiddhatvād GK_4.38a	utpAdasya-aprasidDa-tvAt GK_4.38a
   utseka udadher yadvat GK_3.41a	utsekaH udaDeH yadvat GK_3.41a
   upadeśād ayaṃ vādo GK_1.18c	upadeSAt ayam vAdaH GK_1.18c
   upalambhas triṣu smṛtaḥ GK_4.90d	upalamBaH trizu smRtaH GK_4.90d
   upalambhāt samācārād GK_4.42a	upalamBAt samAcArAt GK_4.42a
   upalambhāt samācārād GK_4.44c	upalamBAt samAcArAt GK_4.44c
   upalambhāt samācārān GK_4.44a	upalamBAt samAcArAn GK_4.44a
   upalaṃbhād viyanti ye GK_4.43b	upalaMBAt viyanti ye GK_4.43b
   upāyaḥ so 'vatārāya GK_3.15c	upAyaH saH avatArAya GK_3.15c
   upāyena nigṛhṇīyād GK_3.42a	upAyena nigRhNIyAt GK_3.42a
   upāsanāśrito dharmo GK_3.1a	upAsana-ASritaH DarmaH GK_3.1a
   upāsanopadiṣṭeyaṃ GK_3.16c	upAsana-upadizwA-iyam GK_3.16c
   ubhayatvaṃ tathāvidham GK_1.20d	uBaya-tvam taTAviDam GK_1.20d
   ubhayor api vaitathyaṃ GK_2.11a	uBayoH api vEtaTyam GK_2.11a
   ubhayoḥ prājñaturyayoḥ GK_1.13b	uBayoH prAjQa-turyayoH GK_1.13b
   ubhe hy anyoanyadṛśye te GK_4.67a	uBe hi anyoanya-dRSye te GK_4.67a
   ṛjuvakrādikābhāsam GK_4.47a	Rju-vakra-Adika-ABAsam GK_4.47a
   eka eva tridhā smṛtaḥ GK_1.1d	ekaH eva triDA smRtaH GK_1.1d
   ekatriṃśaka ity āhur GK_2.26c	ekatriMSakaH iti AhuH GK_2.26c
   ekam āhur manīṣiṇaḥ GK_2.5b	ekam AhuH manIziNaH GK_2.5b
   ekīkuryāt prayatnataḥ GK_3.45d	ekIkuryAt prayatnataH GK_3.45d
   etat tad uttamaṃ satyaṃ GK_3.48c	etat tat uttamam satyam GK_3.48c
   etat tad uttamaṃ satyaṃ GK_4.71c	etat tat uttamam satyam GK_4.71c
   etair eṣo apṛthagbhāvaiḥ GK_2.30a	etEH ezaH apRTagBAvEH GK_2.30a
   evam eva vijānanto GK_4.46c	evam eva vijAnantaH GK_4.46c
   evaṃ kalpayate prabhuḥ GK_2.13d	evam kalpayate praBuH GK_2.13d
   evaṃ dharmā ajāḥ smṛtāḥ GK_4.46b	evam DarmAH ajAH smRtAH GK_4.46b
   evaṃ na cittajā dharmāś GK_4.54a	evam na citta-jAH DarmAH GK_4.54a
   evaṃ na jāyate cittam GK_4.46a	evam na jAyate cittam GK_4.46a
   evaṃ yo veda tattvena GK_2.30c	evam yaH veda tattvena GK_2.30c
   evaṃ vidvāñ śamaṃ vrajet GK_4.86d	evam vidvAn Samam vrajet GK_4.86d
   evaṃ hi praṇavaṃ jñātvā GK_1.27c	evam hi praNavam jQAtvA GK_1.27c
   evaṃ hi sarvathā buddhair GK_4.19c	evam hi sarvaTA budDEH GK_4.19c
   evaṃ hetuphalājātiṃ GK_4.54c	evam hetu-PalA-jAtim GK_4.54c
   eṣitavyaḥ kramas tvayā GK_4.16b	ezitavyaH kramaH tvayA GK_4.16b
   oṃkāraṃ pādaśo jñātvā GK_1.24c	oMkAram pAdaSas jQAtvA GK_1.24c
   oṃkāraṃ pādaśo vidyāt GK_1.24a	oMkAram pAdaSas vidyAt GK_1.24a
   oṃkāro vidito yena GK_1.29c	oMkAraH viditaH yena GK_1.29c
   ka etān budhyate bhedān GK_2.11c	kaH etAn buDyate BedAn GK_2.11c
   katarat pūrvaniṣpannaṃ GK_4.18c	katarat pUrva-nizpannam GK_4.18c
   kathaṃ tasya bhaviṣyati GK_4.27d	kaTam tasya Bavizyati GK_4.27d
   kathaṃ tair upavarṇyate GK_4.14d	kaTam tEH upavarNyate GK_4.14d
   kathaṃ pūrvaṃ na gṛhyate GK_4.21d	kaTam pUrvam na gRhyate GK_4.21d
   kathaṃ sthāsyati niścalaḥ GK_3.22d	kaTam sTAsyati niScalaH GK_3.22d
   kathaṃ sthāsyati niścalaḥ GK_4.8d	kaTam sTAsyati niScalaH GK_4.8d
   kalpayaty ātmanātmānam GK_2.12a	kalpayati AtmanA-AtmAnam GK_2.12a
   kalpayet so 'viśaṅkitaḥ GK_2.30d	kalpayet saH aviSaFkitaH GK_2.30d
   kalpitā eva te sarve GK_2.14c	kalpitAH eva te sarve GK_2.14c
   kalpitā eva te sarve GK_2.15c	kalpitAH eva te sarve GK_2.15c
   kalpito yadi kenacit GK_1.18b	kalpitaH yadi kenacid GK_1.18b
   kāmabhogān nivartayet GK_3.43b	kAma-BogAn nivartayet GK_3.43b
   kāyasyāntarnidarśanāt GK_4.33b	kAyasya-antar-nidarSanAt GK_4.33b
   kāraṇaṃ tasya jāyate GK_4.11b	kAraNam tasya jAyate GK_4.11b
   kāraṇaṃ te kathaṃ dhruvam GK_4.12d	kAraNam te kaTam Druvam GK_4.12d
   kāraṇaṃ pratiṣidhyate GK_3.25d	kAraNam pratiziDyate GK_3.25d
   kāraṇaṃ yasya vai kāryaṃ GK_4.11a	kAraNam yasya vE kAryam GK_4.11a
   kāraṇād yady ananyatvam GK_4.12a	kAraNAt yadi ananya-tvam GK_4.12a
   kāryakāraṇatābhāvād GK_4.52c	kArya-kAraNa-tA-BAvAt GK_4.52c
   kāryakāraṇabaddhau tāv GK_1.11a	kArya-kAraNa-badDO tO GK_1.11a
   kāla iti kālavido GK_2.24a	kAlaH iti kAla-vidaH GK_2.24a
   kālasyāniyamād gatau GK_4.34b	kAlasya-aniyamAt gatO GK_4.34b
   kālāt prasūtiṃ bhūtānāṃ GK_1.8c	kAlAt prasUtim BUtAnAm GK_1.8c
   kim ataḥ param īhate GK_4.85d	kim atas param Ihate GK_4.85d
   kim utāvaraṇacyutiḥ GK_4.97d	kim uta-AvaraNa-cyutiH GK_4.97d
   kiṃ tad astīti cocyate GK_4.67b	kim tat asti-iti ca-ucyate GK_4.67b
   kuśāgreṇaikabindunā GK_3.41b	kuSa-agreNa-eka-bindunA GK_3.41b
   kṛtakenāmṛtas tasya GK_3.22c	kRtakena-amRtaH tasya GK_3.22c
   kṛtakenāmṛtas tasya GK_4.8c	kRtakena-amRtaH tasya GK_4.8c
   koṭyaś catasra etās tu GK_4.84a	kowyaH catasraH etAH tu GK_4.84a
   ko nv enaṃ janayed iti GK_3.25c	kaH nu enam janayet iti GK_3.25c
   ko vai teṣāṃ vikalpakaḥ GK_2.11d	kaH vE tezAm vikalpakaH GK_2.11d
   kramakopo 'tha vā punaḥ GK_4.19b	krama-kopaH aTa vA punar GK_4.19b
   kramate na hi buddhasya GK_4.99a	kramate na hi budDasya GK_4.99a
   krameṇa vidite svayam GK_4.89b	krameNa vidite svayam GK_4.89b
   krīḍārtham iti cāpare GK_1.9b	krIxA-arTam iti ca-apare GK_1.9b
   kṣīṇe hetuphalāveśe GK_4.55c	kzINe hetu-Pala-AveSe GK_4.55c
   kṣīṇe hetuphalāveśe GK_4.56c	kzINe hetu-Pala-AveSe GK_4.56c
   khaṃ yathā saṃprakāśitaḥ GK_3.11d	Kam yaTA saMprakASitaH GK_3.11d
   khe vai paśyanti te padam GK_4.28d	Ke vE paSyanti te padam GK_4.28d
   khyāpyamānām ajātiṃ tair GK_4.5a	KyApyamAnAm ajAtim tEH GK_4.5a
   gaganaṃ malinaṃ malaiḥ GK_3.8b	gaganam malinam malEH GK_3.8b
   gatyāgamanayor api GK_3.9b	gati-AgamanayoH api GK_3.9b
   gatvā deśān na paśyati GK_2.2b	gatvA deSAt na paSyati GK_2.2b
   gandharvanagaraṃ yathā GK_2.31b	ganDarvanagaram yaTA GK_2.31b
   guṇā iti guṇavidas GK_2.20c	guNAH iti guNa-vidaH GK_2.20c
   gṛhītaṃ cāpi yat kiṃcit GK_4.35c	gRhItam ca-api yat kiMcid GK_4.35c
   grahaṇagrāhakābhāsaṃ GK_4.47c	grahaNa-grAhaka-ABAsam GK_4.47c
   grahaṇāj jāgaritavat GK_4.37a	grahaNAt jAgarita-vat GK_4.37a
   graheṇa bhagavān asau GK_4.82d	graheNa BagavAn asO GK_4.82d
   grahair yāsāṃ sadāvṛtaḥ GK_4.84b	grahEH yAsAm sadA-AvRtaH GK_4.84b
   graho na tatra notsargaś GK_3.38a	grahaH na tatra na-utsargaH GK_3.38a
   grāhyagrāhakavad dvayam GK_4.72b	grAhya-grAhaka-vat dvayam GK_4.72b
   grāhyābhāve tad agraham GK_3.32d	grAhya-aBAve tat agraham GK_3.32d
   ghaṭākāśādayo yathā GK_3.4b	Gawa-AkASa-AdayaH yaTA GK_3.4b
   ghaṭākāśair ivoditaḥ GK_3.3b	Gawa-AkASEH iva-uditaH GK_3.3b
   ghaṭādivac ca saṃghātair GK_3.3c	Gawa-Adi-vat ca saMGAtEH GK_3.3c
   ghaṭādiṣu pralīneṣu GK_3.4a	Gawa-Adizu pralInezu GK_3.4a
   ghanaprajñas tathā prājña GK_1.1c	GanaprajQaH taTA prAjQa GK_1.1c
   carañ jāgarite jāgrad GK_4.65a	caran jAgarite jAgrat GK_4.65a
   calasthirobhayābhāvair GK_4.83c	cala-sTira-uBaya-aBAvEH GK_4.83c
   calācalaniketaś ca GK_2.37c	calAcala-niketaH ca GK_2.37c
   cittakālā hi ye 'ntas tu GK_2.14a	citta-kAlAH hi ye antar tu GK_2.14a
   cittadṛśyam avastukam GK_4.36d	citta-dRSyam avastukam GK_4.36d
   cittadṛśyaṃ na jāyate GK_4.28b	citta-dRSyam na jAyate GK_4.28b
   cittadṛśyaṃ hi tad yataḥ GK_4.77d	citta-dRSyam hi tat yatas GK_4.77d
   cittam iti cittavido GK_2.25c	cittam iti citta-vidaH GK_2.25c
   cittaspanditam evedaṃ GK_4.72a	citta-spanditam eva-idam GK_4.72a
   cittaṃ calati māyayā GK_4.61b	cittam calati mAyayA GK_4.61b
   cittaṃ calati māyayā GK_4.61d	cittam calati mAyayA GK_4.61d
   cittaṃ na saṃspṛśaty arthaṃ GK_4.26a	cittam na saMspRSati arTam GK_4.26a
   cittaṃ nirviṣayaṃ nityam GK_4.72c	cittam nirvizayam nityam GK_4.72c
   cittaṃ vāpi na dharmajam GK_4.54b	cittam vA-api na Darmajam GK_4.54b
   cittaṃ svapne na saṃśayaḥ GK_4.62b	cittam svapne na saMSayaH GK_4.62b
   cintā yatra na vidyate GK_3.38b	cintA yatra na vidyate GK_3.38b
   cetasā kalpitaṃ tv asat GK_2.9b	cetasA kalpitam tu asat GK_2.9b
   cetasā kalpitaṃ tv asat GK_2.10b	cetasA kalpitam tu asat GK_2.10b
   cetoaṃśūn puruṣaḥ pṛthak GK_1.6d	cetaH-aMSUn puruzaH pRTak GK_1.6d
   cyavante tanmanīṣayā GK_4.10d	cyavante tad-manIzayA GK_4.10d
   jaḍaval lokam ācaret GK_2.36d	jaxa-vat lokam Acaret GK_2.36d
   janma māyopamaṃ teṣāṃ GK_4.58c	janma mAyA-upamam tezAm GK_4.58c
   jarāmaraṇanirmuktāḥ GK_4.10a	jarA-maraNa-nirmuktAH GK_4.10a
   jarāmaraṇam icchantaś GK_4.10c	jarA-maraNam icCantaH GK_4.10c
   jāgraccittekṣaṇīyās te GK_4.66a	jAgrat-citta-IkzaNIyAH te GK_4.66a
   jāgrataś cittam iṣyate GK_4.66d	jAgrataH cittam izyate GK_4.66d
   jāgradvṛttāv api tv antaś GK_2.10a	jAgrat-vRttO api tu antar GK_2.10a
   jātaṃ tasya hi jāyate GK_3.27d	jAtam tasya hi jAyate GK_3.27d
   jātaṃ naiva tu paśyati GK_3.43d	jAtam na-eva tu paSyati GK_3.43d
   jātāc ca jāyamānasya GK_4.13c	jAtAt ca jAyamAnasya GK_4.13c
   jātāv etan nidarśanam GK_3.3d	jAtO etat nidarSanam GK_3.3d
   jātidoṣā na setsyanti GK_4.43c	jAti-dozAH na setsyanti GK_4.43c
   jātim icchanti vādinaḥ GK_3.20b	jAtim icCanti vAdinaH GK_3.20b
   jātim icchanti vādinaḥ GK_4.6b	jAtim icCanti vAdinaH GK_4.6b
   jātis tu deśitā buddhair GK_4.42c	jAtiH tu deSitAH budDEH GK_4.42c
   jāte brahmaṇi vartate GK_3.1b	jAte brahmaNi vartate GK_3.1b
   jātyābhāsaṃ calābhāsaṃ GK_4.45a	jAti-ABAsam cala-ABAsam GK_4.45a
   jāyate tanmayo 'ṅkuraḥ GK_4.59b	jAyate tad-mayaH aFkuraH GK_4.59b
   jāyate mriyate 'pi ca GK_4.68b	jAyate mriyate api ca GK_4.68b
   jāyate mriyate 'pi ca GK_4.69b	jAyate mriyate api ca GK_4.69b
   jāyate mriyate 'pi ca GK_4.70b	jAyate mriyate api ca GK_4.70b
   jāyante te na tattvataḥ GK_4.58b	jAyante te na tattvataH GK_4.58b
   jāyamānaṃ katham ajaṃ GK_4.11c	jAyamAnam kaTam ajam GK_4.11c
   jāyamānaṃ samantataḥ GK_3.2d	jAyamAnam samantataH GK_3.2d
   jāyamānād dhi vai kāryāt GK_4.12c	jAyamAnAt Di vE kAryAt GK_4.12c
   jāyamānād dhi vai dharmāt GK_4.21c	jAyamAnAt Di vE DarmAt GK_4.21c
   jāyamāne 'vipaścitaḥ GK_4.97b	jAyamAne avipaScitaH GK_4.97b
   jīvaṃ kalpayate pūrvaṃ GK_2.16a	jIvam kalpayate pUrvam GK_2.16a
   jīvātmanor ananyatvam GK_3.13a	jIvAtmanoH ananya-tvam GK_3.13a
   jīvātmanoḥ pṛthaktvaṃ yat GK_3.14a	jIvAtmanoH pRTaktvam yat GK_3.14a
   jīvān paśyati yān sadā GK_4.63d	jIvAn paSyati yAn sadA GK_4.63d
