   atha caturtho 'dhyāyaḥ /	aTa caturTaH aDyAyaH /
   viśeṣaviṣayam /	viSeza-vizayam /
   yathā asti me hṛdaye śūlam ityato vākyāt gātra kampādi liṅgāt ca	yaTA asti me hRdaye SUlam iti-atas vAkyAt gAtra kampa-Adi liFgAt ca
   śūlasadbhāva sāmānyameva paraḥ pratipadyate na viśeṣam anubhavati yathā sa	SUla-sadBAva sAmAnyam-eva paraH pratipadyate na viSezam anuBavati yaTA sa
   eva śūlī /	eva SUlI /
   viśeṣa anubhavaḥ ca avidyāyā nivartakaḥ tataḥ tadartha āvṛttiḥ iti cet /	viSeza anuBavaH ca avidyAyAH nivartakaH tatas tad-arTaH AvRttiH iti ced /
   na /	na /
   asakṛt api tāvat mātre kriyamāṇe viśeṣavijñāna utpatti asaṃbhavāt /	asakRt api tAvat mAtre kriyamANe viSeza-vijQAnaH utpatti asaMBavAt /
   na hi sakṛt prayuktābhyāṃ śāstrayuktibhyām anavagato viśeṣaḥ śatakṛtvaḥ	na hi sakRt prayuktAByAm SAstra-yuktiByAm anavagataH viSezaH Sata-kRtvas-
   api prayujyamānābhyām avagantuṃ śakyate /	api prayujyamAnAByAm avagantum Sakyate /
   tasmāt yadi śāstrayuktibhyāṃ viśeṣaḥ pratipādyate yadi vā sāmānyameva	tasmAt yadi SAstra-yuktiByAm viSezaH pratipAdyate yadi vA sAmAnyam-eva
   ubhayathā api sakṛt pravṛtte eva te svakāryaṃ kuruta iti āvṛtti anupayogaḥ	uBayaTA api sakRt pravRtte eva te sva-kAryam kurute iti AvRtti anupayogaH
   na ca sakṛt prayukte śāstrayuktī kasyacit api anubhavaṃ na utpādayata iti	na ca sakRt prayukte SAstra-yuktI kasyacid api anuBavam naH utpAdayate iti
   śakyate niyantuṃ vicitraprajñatvāt pratipattṛṇām /	Sakyate niyantum vicitra-prajQa-tvAt pratipattRNAm /
   api ca aneka aṃśopete laukike padārthe sāmānya viśeṣavat ekena avadhānena	api ca aneka aMSa-upete lOkike padArTe sAmAnya viSeza-vat ekena avaDAnena
   ekam aṃśam avadhārayati apareṇa aparam iti syāt api abhyāsa upayogo yathā	ekam aMSam avaDArayati apareNa aparam iti syAt api aByAse upayogaH yaTA
   dīrghaprapāṭhakagrahaṇādiṣu /	dIrGa-prapAWaka-grahaNa-Adizu /
   na tu nirviśeṣe brahmaṇi sāmānya viśeṣarahite caitanyamātrātmake pramā	na tu nirviSeze brahmaNi sAmAnya viSeza-rahite cEtanya-mAtra-Atmake pramA
   utpattau abhyāsāpekṣā yukta iti /	utpattO aByAsa-apekzA yuktaH iti /
   atra ucyate - bhavet āvṛtti ānarthakyaṃ taṃ prati yaḥ tattvamasi iti sakṛt	atra ucyate  Bavet AvRtti AnarTakyam tam prati yaH tat-tvam-asi iti sakRt-
   uktameva brahmātmatvam anubhavituṃ śaknuyāt /	uktam-eva brahma-Atma-tvam anuBavitum SaknuyAt /
   yastu na śaknoti taṃ pratyupayujyata eva āvṛttiḥ /	yaH-tu na Saknoti tam pratyupayujyate eva AvRttiH /
   tathā hi chāndogye 'tattvamasi śvetaketo' (chā. 6.8.7) iti udiśya 'bhūya	taTA hi CAndogye atat-tvam-asi SvetaketaH-a (CA. 6.8.7) iti udiSya aBUya
   eva mā bhagavānvijñāpayatu' (chā. 6.8.7) iti punaḥ paricodyamānaḥ tat tat	eva mA BagavAn-vijQApayatu-a (CA. 6.8.7) iti punar paricodyamAnaH tat tat-
   ādāśaṅkā kāraṇaṃ nirākṛtya tattvamasi iti eva asakṛt upadiśate /	AdASaFkA kAraNam nirAkRtya tat-tvam-asi iti eva asakRt upadiSate /
   tathā ca 'śrotavyo mantavyo nididhyāsitavyaḥ' (bṛ. 4.5.6) ityādi darśitam	taTA ca aSrotavyaH mantavyaH nidiDyAsitavyaH-a (bR. 4.5.6) ityAdi darSitam
   nanu uktaṃ sakṛt śrutaṃ cet tattvamasi vākyaṃ svam artham anubhāvayituṃ na	nanu uktam sakRt Srutam ced tat-tvam-asi vAkyam svam arTam anuBAvayitum na
   śaknoti tata āvartyamānam api na eva śakṣyati iti /	Saknoti tatas AvartyamAnam api naH eva Sakzyati iti /
   na eṣa doṣaḥ /	na eza dozaH /
   nahi dṛṣṭe anupapannaṃ nāma /	na-hi dRzwe anupapannam nAma /
   dṛśyante hi sakṛt śrutāt vākyāt mandapratītaṃ vākyārtham āvartayantaḥ tat	dRSyante hi sakRt SrutAt vAkyAt manda-pratItam vAkya-arTam AvartayantaH tat-
   tat ābhāsavyudāsena samyak pratipadyamānāḥ /	tat ABAsa-vyudAsena samyak pratipadyamAnAH /
   api ca tattvamasi iti etat vākyaṃ tvaṃ padārthasya tat padārthabhāvam	api ca tat-tvam-asi iti etat vAkyam tvam padArTasya tat padArTa-BAvam
   ācaṣṭe /	Acazwe /
   tat padena ca prakṛtaṃ sat brahma īkṣitṛ jagato janmādikāraṇam abhidhīyate	tat padena ca prakRtam sat brahma IkzitR jagataH janma-Adi-kAraNam aBiDIyate
   'satyaṃ jñānamananta brahma' (tai. 2.1.1) 'vijñānamānandaṃ brahma' (bṛ.	asatyam jQAnam-ananta brahma-a (tE. 2.1.1) avijQAnam-Anandam brahma-a (bR.
   3.8.11) 'adṛṣṭaṃ draṣṭṛ' (bṛ. 3.8.11) 'avijñātaṃ vijñātṛ' (bṛ. 3.8.11)	3.8.11) aadRzwam drazwR-a (bR. 3.8.11) aavijQAtam vijQAtR-a (bR. 3.8.11)
   'ajamajaramamaram asthūlamanaṇvahrasvamadīrgham' (bṛ. 3.8.8) ityādi śāstra	aajam-ajaram-amaram asTUlam-anaNva-hrasvam-adIrGam-a (bR. 3.8.8) ityAdi SAstra
   prasiddham /	prasidDam /
   tatra ajādiśabdaiḥ janmādayo bhāvavikārā nivartitāḥ /	tatra aja-Adi-SabdEH janma-AdayaH BAva-vikArAH nivartitAH /
   asthūlādiśabdaiḥ ca sthaulyādayo dravyadharmāḥ /	asTUla-Adi-SabdEH ca sTOlya-AdayaH dravya-DarmAH /
   vijñānādiśabdaiḥ ca caitanyaprakāśātmakatvam uktam /	vijQAna-Adi-SabdEH ca cEtanya-prakASa-Atmaka-tvam uktam /
   eṣa vyāvṛttasarvasaṃsāradharmakaḥ /	eza vyAvRtta-sarva-saMsAra-DarmakaH /
   anubhāvātmako brahmasaṃjñakaḥ tat padārtho vedānta abhiyuktānāṃ prasiddhaḥ	anuBAva-AtmakaH brahma-saMjQakaH tat padArTaH vedAnta aBiyuktAnAm prasidDaH
   tathā tvaṃpadārthaḥ api pratyagātmā śrotā dehāt ārabhya pratyagātmatayā	taTA tvaMpadArTaH api pratyagAtmA SrotA dehAt AraBya pratyagAtma-tayA
   saṃbhāvyamānaḥ caitanyaparyantatvena avadhāritaḥ /	saMBAvyamAnaH cEtanya-paryanta-tvena avaDAritaH /
   tatra yeṣām etau padārthau ajñāna saṃśaya viparyaya pratibaddhau teṣāṃ	tatra yezAm etO padArTO ajQAna saMSaya viparyaya pratibadDO tezAm
   tatvamasi ityetat vākyaṃ svārthe pramāṃ na utpādayituṃ śaknoti	tatvam-asi iti-etat vAkyam sva-arTe pramAm naH utpAdayitum Saknoti
   padārthajñānapūrvakatvāt vākyārthasya iti atastāt pratyeṣṭavyaḥ	padArTa-jQAna-pUrvaka-tvAt vAkya-arTasya iti atas-tAt pratyezwavyaH
   padārthavivekaprayojanaḥ śāstrayuktyabhyāsaḥ /	padArTa-viveka-prayojanaH SAstra-yukti-aByAsaH /
   yadyapi ca pratipattavya ātmā niraṃśaḥ tathā api adhyāropitaṃ tasmin bahu	yadi-api ca pratipattavyaH AtmA niraMSaH taTA api aDyAropitam tasmin bahu
   aśatvaṃ deha indriya mano buddhi viṣaya vedanādi lakṣaṇaṃ tatra ekena	aSatvam dehaH indriya manaH budDi vizaya vedanA-Adi lakzaNam tatra ekena
   avadhānena ekam aṃśam apohati apareṇa aparam iti yujyate tatra kramavatī	avaDAnena ekam aMSam apohati apareNa aparam iti yujyate tatra kramavatI
   pratipattiḥ /	pratipattiH /
   tat tu pūrvarūpameva ātmapratipatteḥ /	tat tu pUrvarUpam-eva Atma-pratipatteH /
   yeṣāṃ punaḥ nipuṇamatīnāṃ na ajñānasaṃśayaviparyayalakṣaṇaḥ	yezAm punar nipuNa-matInAm na ajQAna-saMSaya-viparyaya-lakzaNaH
   padārthaviṣayaḥ pratibandhaḥ asti te śaknuvanti sakṛt uktameva tattvamasi	padArTa-vizayaH pratibanDaH asti te Saknuvanti sakRt uktam-eva tat-tvam-asi
   vākyārtham anubhavitum iti tān pratyāvṛtti ānarthakyam iṣṭameva /	vAkya-arTam anuBavitum iti tAn pratyAvRtti AnarTakyam izwam-eva /
   sakṛt utpanna eva hi ātmapratipattiḥ avidyāṃ nivartayati iti na atra	sakRt utpannaH eva hi Atma-pratipattiH avidyAm nivartayati iti na atra
   kaścit api kramaḥ abhyupagamyate /	kaScid api kramaH aByupagamyate /
   satyamevaṃ yujyeta yadi kasyacit evaṃ pratipattiḥ bhavet /	satyam-evam yujyeta yadi kasyacid evam pratipattiH Bavet /
   balavatī hi ātmano duḥkhatvādi pratipattiḥ /	balavatI hi AtmanaH duHKa-tva-Adi pratipattiH /
   ato na duḥkhitvādi abhāvaṃ kaścit pratipadyata iti cet /	atas na duHKi-tvA-Adi aBAvam kaScid pratipadyate iti ced /
   na /	na /
   dehādi abhimānavat duḥkhitvādi abhimānasya mithyā abhimānatva upapatteḥ /	deha-Adi aBimAna-vat duHKi-tvA-Adi aBimAnasya miTyA aBimAna-tve upapatteH /
   pratyakṣaṃ hi dehe chidyamāne dahyamāne vā ahaṃ chidye dahya iti ca mithyā	pratyakzam hi dehe CidyamAne dahyamAne vE aham Cidye dahyaH iti ca miTyA
   abhimāno dṛṣṭaḥ /	aBimAnaH dRzwaH /
   tathā bāhyatareṣu api putramitrādiṣu saṃtapyamāneṣu ahameva saṃtapya	taTA bAhyatarezu api putra-mitra-Adizu saMtapyamAnezu aham-eva saMtapya
   ityadi āropo dṛṣṭaḥ /	ityadi AropaH dRzwaH /
   tathā duḥkhitvādi abhimānaḥ api syāt /	taTA duHKi-tvA-Adi aBimAnaH api syAt /
   dehādivat eva caitanyāt bahiḥ upalabhamānatvāt duḥkhitvādīnāṃ suṣuptādiṣu	deha-Adi-vat eva cEtanyAt bahis upalaBamAna-tvAt duHKitvA-AdInAm suzupta-Adizu
   ca ananuvṛtteḥ /	ca ananuvRtteH /
   caitanyasya tu suṣupte api anuvṛttim āmananti 'yadvai tanna paśyati	cEtanyasya tu suzupte api anuvRttim Amananti ayat-vE tat-na paSyati
   paśyanvai tanna paśyati' (bṛ. 4.3.23) ityādinā /	paSyan-vE tat-na paSyati-a (bR. 4.3.23) ityAdinA /
   tasmāt sarvaduḥkhavinirmukta ekacaitanyātmakaḥ aham ityeṣa ātmānubhavaḥ /	tasmAt sarva-duHKa-vinirmuktaH eka-cEtanya-AtmakaH aham iti-eza Atma-anuBavaH /
   na ca evam ātmānam anubhavataḥ kiñcit anyat kṛtyam avaśiṣyate /	na ca evam AtmAnam anuBavataH kiQcid anyat kRtyam avaSizyate /
   tathā ca śrutiḥ - 'kiṃ prajayā kariṣyāmo yeṣāṃ no 'yamātmāyaṃ lokaḥ' (bṛ.	taTA ca SrutiH  akim prajayA karizyAmaH yezAm naH ayam-AtmA-ayam lokaH-a (bR.
   4.4.22) iti ātmavidaḥ kartavya abhāvaṃ darśayati /	4.4.22) iti Atma-vidaH kartavya aBAvam darSayati /
   smṛtiḥ api - 'yastvātmaratireva syādātmatṛptaśca mānavaḥ /	smRtiH api  ayaH-tu-Atma-ratiH-eva syAt-Atma-tRptaH-ca mAnavaH /
   ātmanyeva ca saṃtuṣṭasya kāryaṃ na vidyate' (gī. 3.17) iti /	Atmani-eva ca saMtuzwasya kAryam na vidyate-a (gI. 3.17) iti /
   yasya tu na eṣaḥ anubhavo drāgiva jāyate taṃ pratyanubhavārtha eva āvṛtti	yasya tu naH ezaH anuBavaH drAk-iva jAyate tam pratyanuBava-arTaH eva AvRtti
   abhyupagamaḥ /	aByupagamaH /
   tatra api na tattvamasi vākyārthāt pracyāvyāvṛttau pravartayet /	tatra api na tat-tvam-asi vAkya-arTAt pracyAvya-AvRttO pravartayet /
   na hi varaghātāya kanyām udvāhayanti /	na hi vara-GAtAya kanyAm udvAhayanti /
   niyuktasya ca asmin adhikṛtaḥ ahaṃ kartā mayā idaṃ mandam apratibhānāt taṃ	niyuktasya ca asmin aDikRtaH aham kartA mayA idam mandam apratiBAnAt tam
   brahmapratyayāt viparītapratyaya utpadyate /	brahma-pratyayAt viparIta-pratyayaH utpadyate /
   yaḥ tu svayameva mandamatiḥ apratibhānāt taṃ vākyārthaṃ jihāset tasya	yaH tu svayam-eva manda-matiH apratiBAnAt tam vAkya-arTam jihAset tasya
   etasmin eva vākyārthe sthirīkāra āvṛttyādi vāco yuktyā abhyupeyate /	etasmin eva vAkya-arTe sTirIkAraH AvRtti-Adi vAcaH yuktyA aByupeyate /
   tasmāt parabrahmaviṣaye api pratyaye tat upāya upadeśeṣu āvṛttisiddhiḥ //	tasmAt para-brahma-vizaye api pratyaye tat upAyaH upadeSezu AvRtti-sidDiH //
   2 ātmatva upāsana adhikaraṇam / sū. 3	2 Atma-tvaH upAsana aDikaraNam / sU. 3
   ātmeti tūpagacchanti grāhayanti ca | BBs_4,1.3 |	AtmA-iti tu-upagacCanti grAhayanti ca | BBH-_4,1.3 |
   yaḥ śāstroktaviśeṣaṇa paramātmā sa kim aham iti grahītavyaḥ kiṃvā mat anya	yaH SAstra-ukta-viSezaNa paramAtmA sa kim aham iti grahItavyaH kiMvA mat anya
   iti etat vicārayati /	iti etat vicArayati /
   kathaṃ punaḥ ātmaśabde pratyagātmaviṣaye śrūyamāṇe saṃśaya iti /	kaTam punar Atma-Sabde pratyagAtma-vizaye SrUyamANe saMSayaH iti /
   ucyate - ayam ātmaśabdo mukhyaḥ śakyate abhyupagantuṃ sati jīva īśvarayoḥ	ucyate  ayam Atma-SabdaH muKyaH Sakyate aByupagantum sati jIvaH ISvarayoH
   abhedasaṃbhava itarathā tu gauṇaḥ ayam abhyupagantavya iti manyate /	aBeda-saMBavaH itaraTA tu gONaH ayam aByupagantavyaH iti manyate /
   kiṃ tāvat prāptaṃ na aham iti grāhyaḥ /	kim tAvat prAptam na aham iti grAhyaH /
   na hi apahatapāpmatvādi guṇo viparīta guṇatvena śakyate grahītuṃ viparīta	na hi apahata-pApma-tva-Adi guNaH viparIta guNa-tvena Sakyate grahItum viparIta
   guṇo ca apahatapāpmatvādi guṇatvena /	guNaH ca apahata-pApma-tva-Adi guNa-tvena /
   apahatapāpmatvādi guṇaḥ ca parameśvaraḥ tadviparītaguṇaḥ tu śārīraḥ /	apahata-pApma-tva-Adi guNaH ca parameSvaraH tad-viparIta-guNaH tu SArIraH /
   īśvarasya ca saṃsāri ātmatva īśvara abhāvaprasaṅgaḥ /	ISvarasya ca saMsAri Atma-tvaH ISvara aBAva-prasaFgaH /
   tataḥ śāstra ānarthakyam /	tatas SAstre AnarTakyam /
   saṃsāriṇaḥ api īśvara ātmatve adhikāri abhāvāt śāstra ānarthakyameva,	saMsAriNaH api ISvaraH Atma-tve aDikAri aBAvAt SAstre AnarTakyam-eva,
   pratyakṣādi virodhaḥ ca /	pratyakza-Adi viroDaH ca /
   anyatve api tādātmya darśanaṃ śāstrāt kartavyaṃ pratimādiṣu iva viṣṇu	anya-tve api tAdAtmya darSanam SAstrAt kartavyam pratimA-Adizu iva vizNu
   ādidarśanam iti cet kāmamevaṃ bhavatu /	Adi-darSanam iti ced kAmam-evam Bavatu /
   na tu saṃsāriṇo mukhya ātma īśvara ityetat naḥ prāpayitavyam /	na tu saMsAriNaH muKyaH AtmaH ISvaraH iti-etat naH prApayitavyam /
   evaṃ prāpte brūmaḥ - ātma ityeva parameśvaraḥ pratipattavyaḥ /	evam prApte brUmaH  AtmaH iti-eva parameSvaraH pratipattavyaH /
   tathā hi parameśvara prakriyāyāṃ jābālā ātmatvena eva etam upagacchanti -	taTA hi parameSvara prakriyAyAm jAbAlAH Atma-tvena eva etam upagacCanti -
   'tvaṃ vā ahamasmi bhagavo devato 'haṃ vai tvamasi bhagavo deveti' iti /	atvam vE aham-asmi BagavaH devataH aham vE tvam-asi BagavaH deva-iti-a iti /
   tathā anye api 'ahaṃ brahmāsmi' ityevam ādaya ātmatva upagamā draṣṭavyāḥ /	taTA anye api aaham brahma-asmia iti-evam AdayaH Atmatve upagamAH drazwavyAH /
   grāhayanti ca ātmatvena eva īśvaraṃ vedāntavākyāni 'eṣa ta ātmā	grAhayanti ca Atma-tvena eva ISvaram vedAnta-vAkyAni aeza te AtmA
   sarvāntaraḥ' (bṛ. 3.4.1) 'eṣa ta ātmāntaryāmyamṛtaḥ' (bṛ. 3.7.3)	sarva-antaraH-a (bR. 3.4.1) aeza te AtmA-antaryAmI-amRtaH-a (bR. 3.7.3)
   'tatsatyaṃ sa ātmā tattvamasi' (chā. 6.8.7) iti evamādīni /	atat-satyam saH AtmA tat-tvam-asi-a (CA. 6.8.7) iti evamAdIni /
   yat uktaṃ pratīka darśanam idaṃ viṣṇupratimā nyāyena bhaviṣyati iti tat	yat uktam pratIka darSanam idam vizNu-pratimA nyAyena Bavizyati iti tat-
   ayuktaṃ gauṇatva prasaṅgāt /	ayuktam gONa-tva prasaFgAt /
   vākya vairūpyāt ca /	vAkya vErUpyAt ca /
   yatra hi pratīkadṛṣṭiḥ abhipreyate sakṛdeva tatra vacanaṃ bhavati yathā -	yatra hi pratIka-dRzwiH aBipreyate sakRt-eva tatra vacanam Bavati yaTA -
   'mano brahma' (chā. 3.18.1) 'ādityo brahma' (chā. 3.19.1) ityādi /	amanaH brahma-a (CA. 3.18.1) aAdityaH brahma-a (CA. 3.19.1) ityAdi /
   iha punaḥ tvam aham asmi ahaṃ ca tvam asi iti āha, ataḥ pratīka śruti	iha punar tvam aham asmi aham ca tvam asi iti Aha, atas pratIka Sruti
   vairūpyāt abhedapratipattiḥ /	vErUpyAt aBeda-pratipattiH /
   bhedadṛṣṭi apavādāt ca /	Beda-dRzwi apavAdAt ca /
   tathā hi - 'atha yo 'nyāṃ devatāmupāste 'nyo 'sāvanyo 'hamīti na sa veda'	taTA hi  aaTa yaH anyAm devatAm-upAste anyaH asO=-anyaH ahami-iti na sa veda-a
