   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   prathasvoru te yajñapatiḥ prathatāṃ saṃ te tanvā tanvaḥ pṛcyantām //	praTasva uru te yajQapatiH praTatAm sam te tanvA tanvaH pRcyantAm //
        pari vājapatiḥ kavir agnir havyāny akramīt /	pari vAja patiH kaviH agniH havyAni akramIt /
        dadhad ratnāni dāśuṣe //	daDat ratnAni dASuze //
   devas tvā savitā śrapayatu varṣiṣṭhe adhi nāke pṛthivyā agne brahma	devaH tvA savitA Srapayatu varzizWe aDi nAke pRTivyAH agne brahma
   gṛhṇīṣva //MS_1,1.9//	gRhNIzva //n= _1,1.9//
   devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām ādada	devasya tvA savituH prasave aSvinoH bAhuByAm pUzNaH hastAByAm Adada
   indrasya bāhur asi dakṣiṇaḥ sahasrabhṛṣṭiḥ śatatejā vāyus tigmatejāḥ	indrasya bAhuH asi dakziNaH sahasra BRzwiH Sata tejAH vAyuH tigma tejAH
   pṛthivi devayajani mā hiṃsiṣaṃ tā oṣadhīnāṃ mūlaṃ vrajaṃ gacha gosthānaṃ	pRTivi deva yajani mA hiMsizam tAH ozaDInAm mUlam vrajam gaCa go sTAnam
   varṣatu te parjanyo badhāna deva savitaḥ śatena pāśaiḥ paramasyāṃ parāvati	varzatu te parjanyaH baDAna deva savitar Satena pASEH paramasyAm parAvati
   yo asmān dveṣṭi yaṃ ca vayaṃ dviṣmas tam atra badhāna so 'to mā moci mā	yaH asmAn dvezwi yam ca vayam dvizmaH tam atra baDAna saH atas mA moci mA
   vaḥ śivā oṣadhayo mūlaṃ hiṃsiṣaṃ vrajaṃ gacha gosthānaṃ varṣatu te	vaH SivAH ozaDayaH mUlam hiMsizam vrajam gaCa go sTAnam varzatu te
   parjanyo badhāna deva savitaḥ śatena pāśaiḥ paramasyāṃ parāvati yo asmān	parjanyaH baDAna deva savitar Satena pASEH paramasyAm parAvati yaH asmAn
   dveṣṭi yaṃ ca vayaṃ dviṣmas tam atra badhāna so 'to mā moci drapsas te	dvezwi yam ca vayam dvizmaH tam atra baDAna saH atas mA moci drapsaH te
   divaṃ mā skān vrajaṃ gacha gosthānaṃ varṣatu te parjanyo badhāna deva	divam mA skAn vrajam gaCa go sTAnam varzatu te parjanyaH baDAna deva
   savitaḥ śatena pāśaiḥ paramasyāṃ parāvati yo asmān dveṣṭi yaṃ ca vayaṃ	savitar Satena pASEH paramasyAm parAvati yaH asmAn dvezwi yam ca vayam
   dviṣmas tam atra badhāna so 'to mā moci vasavas tvā parigṛhṇantu gāyatreṇa	dvizmaH tam atra baDAna saH atas mA moci vasavaH tvA parigRhNantu gAyatreNa
   chandasā rudrās tvā parigṛhṇantu traiṣṭubhena chandasādityās tvā	CandasA rudrAH tvA parigRhNantu trEzwuBena CandasA AdityAH tvA
   parigṛhṇantu jāgatena chandasāpāraruṃ pṛthivyā adevayajanaṃ satyasad asy	parigRhNantu jAgatena CandasA pAra rum pRTivyAH adeva yajanam satyasat asy
   ṛtasad asi gharmasad asi //	Rtasat asi Garma sat asi //
        purā krūrasya visṛpo virapśina udādāya pṛthivīṃ jīradānum /	purA krUrasya visRpaH virapSinaH udAdAya pRTivIm jIra dAnum /
        tām airayaṃś candramasi svadhābhis tāṃ dhīrāsaḥ kavayo	tAm Erayan candramasi svaDABiH tAm DIrAsaH kavayaH 
   'nudiśyāyajanta //MS_1,1.10//	anudiSya ayajanta //n= _1,1.10//
   pratyuṣṭaṃ rakṣaḥ pratyuṣṭārātir āyuḥ prāṇaṃ mā nirmārjīś cakṣuḥ śrotraṃ	pratyuzwam rakzaH pratyuzwa arAtiH AyuH prANam mA nirmArjIH cakzuH Srotram
   mā nirmārjīr vācaṃ paśūn mā nirmārjīr yajñaṃ prajāṃ mā nirmārjīs tejo 'si	mA nirmArjIH vAcam paSUn mA nirmArjIH yajQam prajAm mA nirmArjIH tejaH asi
   śukram asi jyotir asy amṛtam asi vaiśvadevam asi //	Sukram asi jyotiH asi amRtam asi vESvadevam asi //
        havir asi vaiśvānaram unnītaśuṣmaṃ satyaujāḥ /	haviH asi vESvAnaram unnIta Suzmam satya ojAH /
        saho 'si sahasvārātiṃ sahasva pṛtanāyataḥ //	sahaH asi saha sva arAtim sahasva pRtanAyataH //
   sahasravīryam asi tan mā jinvājyasyājyam asi haviṣo haviḥ satyasya satyaṃ	sahasra vIryam asi tat mA jinu Ajyasya Ajyam asi havizaH haviH satyasya satyam
   satyābhighṛtaṃ satyena tvābhighārayāmy adabdhena tvā cakṣuṣāvekṣe	satya aBiGRtam satyena tvA aBiGArayAmi adabDena tvA cakzuzA avekze
   rāyaspoṣāya suprajāstvāya //	rAyaspozAya suprajAH tvAya //
        dhāmāsi priyaṃ devānām anādhṛṣṭaṃ devayajanam /	DAmA asi priyam devAnAm anADRzwam deva yajanam /
        devavītyai tvā gṛhṇāmi //	devavItyE tvA gRhNAmi //
   devīr āpaḥ śuddhā yūyaṃ devān yuyudhvaṃ śuddhā vayaṃ supariviṣṭāḥ	devIH ApaH SudDAH yUyam devAn yuyuDvam SudDAH vayam su parivizwAH
   pariveṣṭāro vo bhūyāsma kṛṣṇo 'sy ākhareṣṭho 'gnaye ghṛtaṃ bhava vedir asi	parivezwAraH vaH BUyAsma kRzNaH asi AKarezWaH agnaye GRtam Bava vediH asi
   barhiṣe tvā juṣṭaṃ prokṣāmi barhir asi vedyai tvā juṣṭaṃ prokṣāmi svāhā	barhize tvA juzwam prokzAmi barhiH asi vedyE tvA juzwam prokzAmi svAhA
   pitṛbhyo gharmapāvabhyaḥ //MS_1,1.11//	pitRByaH Garma pAvaByaH //n= _1,1.11//
   ākhareṣṭhas : FN saṃdhi is strange. Ed.: ākhareṣṭhā agnaye. P:	AKarezWaH : FN saMDi iH strange. Ed.: AKarezWAH agnaye. P:
   ākhareṣṭhaḥ.	AKarezWaH.
   pūṣā te granthiṃ viṣyatu viṣṇoḥ stupo 'sy uru prathasvorṇamradaṃ	pUzA te granTim vizyatu vizNoH stupaH asi uru praTasva UrNamra dam
   svāsasthaṃ devebhyo gandharvo 'si viśvāvasur viśvasmād īṣamāṇo yajamānasya	svAsa sTam deveByaH ganDarvaH asi viSvAvasuH viSvasmAt IzamANaH yajamAnasya
   paridhir iḍa īḍita indrasya bāhur asi dakṣiṇo yajamānasya paridhir iḍa	pariDiH ixaH IxitaH indrasya bAhuH asi dakziNaH yajamAnasya pariDiH ixa
   īḍito mitrāvaruṇau tvottarataḥ paridhattāṃ yajamānasya paridhir asīḍa	IxitaH mitrAvaruNO tvA uttaratas pariDattAm yajamAnasya pariDiH asIxa
   īḍitaḥ //	IxitaH //
   nityahotāraṃ tvā kave dyumantaḥ samidhīmahi //	nitya hotAram tvA kave dyumantaH samiDImahi //
   varṣiṣṭhe adhi nāke pṛthivyāḥ sūryas tvā raśmibhiḥ purastāt pātu kasyāścid	varzizWe aDi nAke pRTivyAH sUryaH tvA raSmiBiH purastAt pAtu kasyAScid 
   abhiśastyā viśvajanasya vidhṛtī stho vasūnāṃ rudrāṇām ādityānāṃ sado 'si	aBiSastyA viSva janasya viDRtI sTaH vasUnAm rudrANAm AdityAnAm sadaH asi
   srucāṃ yonir dyaur asi janmanā juhūr nāma priyā devānāṃ priyeṇa nāmnā	srucAm yoniH dyOH asi janmanA juhUH nAma priyA devAnAm priyeNa nAmnA
   dhruve sadasi sīdāntarikṣam asi janmanopabhṛn nāma priyā devānāṃ priyeṇa	Druve sadasi sIdA antarikzam asi janmanA upaBRt nAma priyA devAnAm priyeNa
   nāmnā dhruve sadasi sīda pṛthivy asi janmanā dhruvā nāma priyā devānāṃ	nAmnA Druve sadasi sIda pRTivI asi janmanA DruvA nAma priyA devAnAm
   priyeṇa nāmnā dhruve sadasi sīda ṛṣabho 'si śākvaro vaṣaṭkārasya tvā	priyeNa nAmnA Druve sadasi sIdaH RzaBaH asi SAkvaraH vazawkArasya tvA
   mātrāyāṃ sādayāmi //	mAtrAyAm sAdayAmi //
   dhruvā asadann ṛtasya yonau sukṛtasya loke tā viṣṇo pāhi //	DruvAH asadan Rtasya yonO sukRtasya loke tAH vizNo pAhi //
   pāhi yajñaṃ pāhi yajñapatiṃ pāhi māṃ yajñanyam //	pAhi yajQam pAhi yajQapatim pAhi mAm yajQanyam //
   viṣṇūni stha vaiṣṇavāni dhāmāni stha prājāpatyāni //MS_1,1.12//	vizNUni sTa vEzNavAni DAmAni sTa prAjApatyAni //n= _1,1.12//
   sūyame me 'dya staṃ svāvṛtau sūpāvṛtav agnāviṣṇū vijihāthāṃ mā mā	sUyame me adya stam su a AvRtO su upAvRtav agnAvizNU vijihATAm mA mA
   hiṃsiṣṭaṃ lokaṃ me lokakṛtau kṛṇutaṃ mā modoṣiṣṭam ātmānaṃ me pātaṃ śivau	hiMsizwam lokam me loka kRtO kRNutam mA modozizwam AtmAnam me pAtam SivO
   bhavatam adya no viṣṇoḥ sthāmāsīta indras tiṣṭhan vīryam akṛṇod devatābhiḥ	Bavatam adya naH vizNoH sTAmAsIta indraH tizWan vIryam akRNot devatABiH
   samārabhya //	samAraBya //
        ūrdhvo adhvaro divispṛg ahruto yajño yajñapateḥ /	UrDvaH aDvaraH divispRS ahrutaH yajQaH yajQapateH /
        indravānt svavān bṛhadbhāḥ //	indravAnt svavAn bRhadBAH //
   vīhi madhor ghṛtasya svāhā saṃ jyotiṣā jyotiḥ //	vIhi maDoH GRtasya svAhA sam jyotizA jyotiH //
        vājasya mā prasavenodgrābheṇodajigrabhat /	vAjasya mA prasavena udgra aBeNa udajigraBat /
        athā sapatnān indro me nigrābheṇādharaṃ akaḥ //	aTA sapatnAn indraH me nigrABeNa aDaram akaH //
        udgrābhaś ca nigrābhaś ca brahma devaṃ avīvṛdhat /	udgrABaH ca nigrABaH ca brahma devam avIvRDat /
        athā sapatnān indrāgnī me viṣūcīnān vyasyatām //	aTA sapatnAn indra agnI me vizUcInAn vyasyatAm //
   [Page I,9]	[Pa ge I,9]
   vasur asy upāvasur asi viśvāvasur asy aptubhī rihāṇā vyantu vayo vaśā	vasuH asi upAvasuH asi viSvAvasuH asi aptuBiH rihANAH vyantu vayaH vaSA
   pṛśnir bhūtvā maruto gacha tato no vṛṣṭyāvata //	pRSniH BUtvA marutaH gaCa tatas naH vRzwyA avata //
        saṃsrāvabhāgāḥ stheṣā bṛhantaḥ prastareṣṭhā barhiṣadaś ca devāḥ /	saMsrAva BAgAH sTezAH bRhantaH prastarezWAH barhizadaH ca devAH /
        imāṃ vācam abhi viśve gṛṇantaḥ svāhā devā amṛtā mādayantām //	imAm vAcam aBi viSve gRNantaH svAhA devAH amRtAH mAdayantAm //
   devā gātuvido gātuṃ vittvā gātum ita manasaspate sudhātv imaṃ yajñaṃ divi	devAH gAtu vidaH gAtum vittvA gAtum ita manasaspate suDAtu imam yajQam divi
   deveṣu vāte dhāḥ svāhā //MS_1,1.13//	devezu vAte DAH svAhA //n= _1,1.13//
   āpo devīḥ śundhata mā madhumantaṃ madhumatīr devayajyāyai //	ApaH devIH SunData mA maDumantam maDumatIH devayajyAyE //
        oṣadhe trāyasvainaṃ svadhite mainaṃ hiṃsīḥ /	ozaDe trAyasva enam svaDite mA enam hiMsIH /
        yā te śivatamā tanūs tayainam upaspṛśa //	yA te SivatamA tanUH tayA enam upaspRSa //
   devaśrud imān pravape svasty uttaraṃ aśīya //	deva Srud imAn pravape svasti uttaram aSIya //
        hiraṇyavarṇāḥ śucayaḥ pāvakāḥ pracakramur hitvāvadyam āpaḥ /	hiraNya varNAH SucayaH pAvakAH pracakramuH hitvA avadyam ApaH /
        śataṃ pavitrā vitatāny āsu tebhir mā devaḥ savitā punātu //	Satam pavitrA vitatAni Asu teBiH mA devaH savitA punAtu //
   [Page I,10]	[Pa ge I,10]
        āpo mā mātaraḥ sūdayantu ghṛtena mā ghṛtapvaḥ punantu /	ApaH mA mAtaraH sUdayantu GRtena mA GRtapvaH punantu /
        viśvaṃ hi ripraṃ pravahantu devīr ud id ābhyaḥ śucir ā pūta emi //	viSvam hi ripram pravahantu devIH ud id AByaH SuciH A pUtaH emi //
   viṣṇoḥ śarmāsi śarma me yacchorje tvā mahīnāṃ payo 'sy apām oṣadhīnāṃ raso	vizNoH SarmA asi Sarma me yat Sorje tvA mahInAm payaH asi apAm ozaDInAm rasaH 
   varcodhā asi varco me dhehi //	varcaH DAH asi varcaH me Dehi //
   vṛtrasyāsi kanīnikā cakṣuṣo me vayodhā antar ahaṃ tvayā dveṣo antar arātīr	vRtrasya asi kanInikA cakzuzaH me vayaH DAH antar aham tvayA dvezaH antar arAtIH 
   dadhe mahatā parvatena cakṣuṣpā asi cakṣur me pāhi //	daDe mahatA parvatena cakzuzpAH asi cakzuH me pAhi //
   citpatis tvā punātu vācaspatis tvā punātu //	citpatiH tvA punAtu vAcaspatiH tvA punAtu //
        devas tvā savitā punātv achidreṇa pavitreṇa /	devaH tvA savitA punAtu aCidreNa pavitreNa /
        vasoḥ sūryasya raśmibhiḥ //	vasoH sUryasya raSmiBiH //
   tasya te pavitrapate pavitreṇa yasmai kaṃ pune tañ śakeyam //MS_1,2.1//	tasya te pavitra pate pavitreNa yasmE kam pune tan Sakeyam //n= _1,2.1//
   ākūtyai prayuje agnaye svāhā medhāyai manase agnaye svāhā dīkṣāyai tapase	AkUtyE prayuje agnaye svAhA meDAyE manase agnaye svAhA dIkzAyE tapase
   agnaye svāhā sarasvatyai pūṣṇe agnaye svāhā //	agnaye svAhA sarasvatyE pUzNe agnaye svAhA //
        āpo devīr bṛhatīr viśvaśaṃbhuvo dyāvāpṛthivī uro antarikṣa /	ApaH devIH bRhatIH viSva SaMBuvaH dyAvApRTivI uraH antarikza /
        bṛhaspatir no haviṣā vṛdhātu // svāhā //	bRhaspatiH naH havizA vRDAtu // svAhA //
        viśvo devasya netur marto vurīta sakhyam /	viSvaH devasya netuH martaH vurIta saKyam /
        viśvo rāya iṣudhyati dyumnaṃ vṛṇīta puṣyase // svāhā //	viSvaH rAyaH izuDyati dyumnam vRNIta puzyase // svAhA //
   ṛksāmayoḥ śilpe sthas te vām ārabha ā modṛcaḥ pātaṃ viṣṇoḥ śarmāsi śarma	Rc sAmayoH Silpe sTaH te vAm AraBaH A modRcaH pAtam vizNoH SarmA asi Sarma
   me yacha namas te astu mā mā hiṃsīḥ //	me yaCa namaH te astu mA mA hiMsIH //
   [Page I,11]	[Pa ge I,11]
        imāṃ dhiyaṃ śikṣamāṇasya deva kratuṃ dakṣaṃ varuṇa saṃśiśādhi /	imAm Diyam SikzamANasya deva kratum dakzam varuNa saMSiSADi /
        yayāti viśvā duritā tarema sutarmāṇam adhi nāvaṃ ruheyam //	yayAti viSvA duritA tarema sutarmANam aDi nAvam ruheyam //
   sūryāgnī dyāvāpṛthivī uro antarikṣāpa oṣadhayā upa mā dīkṣāyāṃ dīkṣāpatayo	sUrya agnI dyAvApRTivI uraH antarikza apaH ozaDayA upa mA dIkzAyAm dIkzA patayaH 
   hvayadhvaṃ deva savitas tvaṃ dīkṣāyā dīkṣāpatir asītthaṃ mā santaṃ pāhy	hvayaDvam deva savitas tvam dIkzAyAH dIkzA patiH asi itTam mA santam pAhi 
   ūrg asy āṅgirasy ūrṇamradā ūrjaṃ mayi dhehīndrasya yonir asi gopāya mā	Urc asi AFgirasi UrNamradAH Urjam mayi Dehi indrasya yoniH asi gopAya mA
   namas te astu mā mā hiṃsīḥ //	namaH te astu mA mA hiMsIH //
        kṛṣiṃ susasyām utkṛṣe supippalā oṣadhīs kṛdhi /	kRzim su sasyAm utkRze su pippalAH ozaDIH kRDi /
        viṣāṇe viṣyaitaṃ granthiṃ yad asya guṣpitaṃ hṛdi mano yad asya	vizANe vizya etam granTim yat asya guzpitam hRdi manaH yat asya
   guṣpitam //	guzpitam //
   bṛhann asi vānaspatyaḥ sudyumno dyumnaṃ yajamānāya dhehi nakṣatrāṇāṃ	bRhan asi vAnaspatyaH sudyumnaH dyumnam yajamAnAya Dehi nakzatrANAm
   mātīkāśāt pāhi //	mAtIkASAt pAhi //
        ā vo devāsa īmahe vāmaṃ prayaty adhvare /	A vaH devAsaH Imahe vAmam prayati aDvare /
        yad vo devāsa āguri yajñiyāso havāmahe //	yat vaH devAsaH Aguri yajQiyAsaH havAmahe //
   svāhā yajñaṃ manasaḥ svāhā divaḥ svāhā pṛthivyāḥ svāhoror antarikṣāt svāhā	svAhA yajQam manasaH svAhA divaH svAhA pRTivyAH svAhA UroH antarikzAt svAhA
