   1. prathamaścittotpādaḥ	1. praTamaH citta utpAdaH
   bhavati, tathāpi upadeśasādhako vipākaniyataphalavat parajanmani	Bavati, taTA api upadeSa sADakaH vipAka niyata Pala vat para janmani
   abhīṣṭaphalaparipākaṃ niyataṃ prāpnoti / yathā āryadevena uktam  iha	aBIzwa Pala paripAkam niyatam prApnoti / yaTA Aryadevena uktam iha
   yadyapi tattvajño nirvāṇaṃ nādhigacchati / prāpnotyayatnato 'vaśyaṃ	yadi api tattva jQaH nirvANam na aDigacCati / prApnoti ayatnatas avaSyam
   punarjanmani karmavat // iti // ataeva madhyamake 'pi uktam 	punar janmani karma vat // iti // ataeva maDyamake api uktam 
   sambuddhānāmanutpāde śrāvakāṇāṃ punaḥ kṣaye / jñānaṃ	sambudDAnAm anutpAde SrAvakANAm punar kzaye / jQAnam
   pratyekabuddhānāmasaṃsargāt pravartate // iti //	pratyekabudDAnAm asaMsargAt pravartate // iti //
   tarhi samyagavavādaphalaprāptikāraṇācchrāvakā iti / "kṛtaṃ me karaṇīyaṃ	tarhi samyak avavAda Pala prApti kAraNAt SrAvakAH iti / "kRtam me karaNIyam
   tasmān me nāparaṃ janma" ityādi bhavati / punaraparaṃ, satphalam	tasmAt me na aparam janma" ityAdi Bavati / punar aparan, sat Palam
   anuttarasamyaksaṃbuddhamārgaṃ vā sarvatathāgatebhyaḥ śrutvā tadarthinaḥ	anuttara samyaksaMbudDa mArgam vA sarva taTAgateByaH SrutvA tad arTinaH
   śrāvaṇatvācchrāvakāḥ / yathā  saddharmapuṇḍarīkasūtra uktam 	SrAvaNa tvAt SrAvakAH / yaTA sat Darma puNxarIka sUtraH uktam 
   adyo vayaṃ śrāvakabhūtanātha saṃśrāvayiṣyāmatha cāgrabodhim /	adyaH vayam SrAvaka BUta nATa saMSrAvayizyAm aTa ca agra boDim /
   bodhīyaśabdaṃ ca prakāśayāmasteno vayaṃ śrāvakabhīṣmakalpāḥ // iti //	boDIya Sabdam ca prakASayAmaH tenaH vayam SrAvaka BIzma kalpAH // iti //
   sarve bodhisattvā api tathā, kintu tathā santo 'pi śrāvayanti eva,	sarve boDisattvAH api taTA, kintu taTA santaH api SrAvayanti eva,
   anurūpaṃ rañcamātramapi na pratipadyante, teṣāṃ śrāvakabhūtatvād	anurUpam raQca mAtram api na pratipadyante, tezAm SrAvaka BUta tvAt 
   bodhisattveṣu doṣo na prasajyate / ayaṃ buddhaśabdo buddhasvabhāvaḥ	boDisattvezu dozaH na prasajyate / ayam budDa SabdaH budDa svaBAvaH
   śrāvakapratyekabuddhānuttarasamyaksaṃbuddhān trīnapi samākhyāti, ato	SrAvaka pratyekabudDa anuttara samyaksaMbudDAn trIn api samAKyAti, atas 
   buddhaśabdena pratyekabuddhā ākhyātāḥ / te puṇyajñānayoru	budDa Sabdena pratyekabudDAH AKyAtAH / te puNya jQAnayoH u
   uttaravṛddhiviśeṣatvāt, śrāvakebhyo viśiṣṭa taratvāt,	uttara vRdDi viSeza tva at, SrAvakeByaH viSizwa tara tvAt,
   puṇyajñānasambhāramahākaruṇāsarvākāratādyabhāvāt sarvasamyaksambuddhebhyo	puNya jQAna samBAra mahA karuNA sarva AkAra tA Adi aBAvAt sarva samyaksambudDeByaH 
   hīnatvāt madhyāḥ / tasmādeva te upadeśaṃ vinā jñānotpādād ātmamātrārthaṃ	hIna tvAt maDyAH / tasmAt eva te upadeSam vinA jQAna utpAdAt Atma mAtra arTam
   buddhatvāt pratyekabuddhā iti / yathoktasvabhāvatvāt te śrāvakāḥ	budDa tvAt pratyekabudDAH iti / yaTA ukta svaBAva tvAt te SrAvakAH
   pratyekabuddhāśca tathāgatadharmadeśanātaḥ samudbhūtatvāt munīndrajā iti /	pratyekabudDAH ca taTAgata Darma deSanAtaH samudBUta tvAt muni indra jAH iti /
   punaśca te munīndrāḥ kuto jātā iti?  buddhodbhavāḥ khalvapi bodhisattvād	punar ca te muni indrAH kutas jAtAH iti? budDa udBavAH Kalu api boDisattvAt 
   ityuktam / nanu bodhisattvā api tathāgatopadeśata utpatrabhūtatvāt	iti uktam / nanu boDisattvAH api taTAgata upadeSataH utpatra BUta tvAt 
   jinaputrā iti kiṃ noktāḥ? atoḥ kathaṃ buddhā bhagavanto bodhisattvebhyo	jinaputrAH iti kim na uktAH? atos kaTam budDAH BagavantaH boDisattveByaH 
   jātā uktā iti? satyamidam, tathāpi hetudvayena bodhisattvā	jAtAH uktA iti? satyam idam, taTA api hetu dvayena boDisattvA
   buddhabhagavatāṃ hetavo bhavanti  avasthāviśeṣatvāt,	budDa BagavatAm hetavaH Bavanti avasTA viSeza tvAt,
   samādāpakāvatāratvācca / tatra avasthāviśeṣastu	samAdApaka avatAra tvAt ca / tatra avasTA viSezaH tu
   tathāgatāvasthābodhisattvāvasthayoḥ sahetukatvāt / samādāpakastu yathā	taTAgata avasTA boDisattva avasTayoH sa hetuka tvAt / samAdApakaH tu yaTA
   āryamañjuśrīrbodhisattvabhūta eva bhagavataḥ śākyamuneḥ tatpareṣāṃ	Arya maQju SrIH boDisattva BUtaH eva BagavataH SAkya muneH tad parezAm
   tathāgatānāṃ pūrva eva kāle bodhicittasamādāpako manyate / ata evaṃ	taTAgatAnAm pUrvaH eva kAle boDi citta samAdApakaH manyate / atas evam
   tanniṣṭhāphalaṃ mukhyahetubhūtaṃ dṛṣṭvā tathāgatā bodhisattvajātā diṣṭāḥ /	tad nizWA Palam muKya hetu BUtam dRzwvA taTAgatAH boDisattva jAtAH dizwAH /
   ataeva hetusampado 'tigarīyastvāt hetupūjākṛte 'pi phalapūjāyām	ataeva hetu sampadaH ati garIyaH tvAt hetu pUjA kRte api Pala pUjAyAm
   arthāpattiṃ mattvā tairbuddhairbhagavadbhiḥ niścitam	arTApattim mattvA tEH budDEH BagavadBiH niScitam
   aparimitaphaladāyakamahauṣadhavṛkṣam	aparimita Pala dAyaka mahOzaDa vRkzam
   aṃkurādisamudgatamañjuparṇāvasthābhūtavat yatnataḥ paripālanīyatvena	aMkura Adi samudgata maQju parNa avasTA BUta vat yatnatas paripAlanIya tvena
   darśayitvā tatsamaye āsannībhūtatriyānāvasaktasattvaskandhānāṃ mahāyāna	darSayitvA tad samaye AsannIBUta triyAna avasakta sattva skanDAnAm mahAyAna
   eva niyojanārthaṃ bodhisattvānāṃ praśaṃsā kṛtā / yathā āryaratnakūṭasūtre 	eva niyojana arTam boDisattvAnAm praSaMsA kRtA / yaTA Arya ratna kUwa sUtre 
   "tadyathāpi nāma kāśyapa! navacandro namaskriyate sā ceva pūrṇacandro na	"tat yaTA api nAma kASyapa! nava candraH namaskriyate sA ca iva pUrNa candraH na
   tathā namaskriyate, evameva kāśyapa! ye mama śraddadhanti te	taTA namaskriyate, evam eva kASyapa! ye mama SraddaDanti te
   balavantataraṃ bodhisattvaṃ namaskartavya, na tathāgataḥ, tat kasya hetoḥ,	balavantataram boDisattvam namaskartavya, na taTAgataH, tat kasya hetoH,
   bodhisattvanirjātā hi tathāgatāḥ / tathāgatanirjātāḥ	boDisattva nirjAtAH hi taTAgatAH / taTAgata nirjAtAH
   śrāvakapratyekabuddhāḥ /" ata eva evaṃ yuktyāgamābhyāṃ tathāgatā	SrAvaka pratyekabudDAH /" atas eva evam yukti AgamAByAm taTAgatA
   bodhisattvebhyo jātā iti siddham / athavā te bodhisattvāḥ kiṃ hetukāḥ?	boDisattveByaH jAtAH iti sidDam / aTavA te boDisattvAH kim hetukAH?
   uktam / kāruṇyacittādvayabuddhibodhicittāni heturjinaputrakāṇām / tatra	uktam / kAruNya cittA dvaya budDi boDi cittAni hetuH jinaputrakANAm / tatra
   karuṇā tu anukampā, atraiva vakṣyamāṇaprakārasvabhāvā / advayabuddhistu	karuNA tu anukampA, atra eva vakzyamANa prakAra svaBAvA / advaya budDiH tu
   bhāvābhāvādyantadvayāpetā prajñā / bodhicittaṃ tu āryadharmasaṃgītisūtre 	BAva aBAva Adi anta dvaya apetA prajQA / boDi cittam tu Arya Darma saMgIti sUtre 
   "bodhisattvo bodhicittena sarvadharmān avabudhyet / sarve dharmā	"boDisattvaH boDi cittena sarva DarmAn avabuDyet / sarve DarmA
   dharmadhātusamāḥ / sarveṣām āgantukabhūtāpratiṣṭhitadharmāṇāṃ	DarmaDAtu samAH / sarvezAm Agantuka BUta apratizWita DarmANAm
   jñeyamātratvād jñātṛśūnyatvāt parijñeyamātrāva sāyitvena etādṛśīyaṃ	jQeya mAtra tvAt jQAtR SUnya tvAt parijQeya mAtrO= a sAyi tvena etAdRSI iyam
   dharmatā prāṇibhiravaboddhavyeti bodhisattveṣu yo 'yaṃ cittotpādaḥ sa	DarmatA prANiBiH avabodDavyA iti boDisattvezu yaH ayam citta utpAdaH sa
   bodhisattvabodhicittotpāda ityucyate / sarvaprāṇibhyo hitasukhacittam /	boDisattva boDi citta utpAdaH iti ucyate / sarva prANiByaH hita suKa cittam /
   anuttaraṃ cittaṃ , maitryā komalaṃ cittaṃ, karuṇatayāviparyayasaṃcittaṃ,	anuttaram cittam , mEtryA komalam cittaM, karuNa tayA viparyaya saMcittaM,
   ānandatayānanutaptaṃ cittam / upekṣātayā vimalaṃ cittaṃ,	Ananda tayA an anutaptam cittam / upekzAtayA vimalam cittaM,
   śūnyatayāvipariṇāmaṃ cittam, animittatayā nirāvaraṇaṃ cittaṃ,	SUnya tayA avipariNAmam cittam, animitta tayA nirAvaraNam cittaM,
   apraṇidhānatayāpratiṣṭhitaṃ cittamiti yathoktavat" / bodhisattvānāṃ	apraNiDAna tayA pratizWitam cittam iti yaTA uktavat" / boDisattvAnAm
   mukhyahetustu karuṇā advayaprajñā bodhicittamitīme trayo dharmāḥ santi /	muKya hetuH tu karuNAH advaya prajQAH boDi cittam iti ime trayaH DarmAH santi /
   yathoktaṃ ratnāvalyām  śailendrarājavanmūlaṃ bodhicittaṃ dṛḍhaṃ tataḥ /	yaTA uktam ratnAvalyAm SElendra rAja vat mUlam boDi cittam dRXam tatas /
   digantavyāpi kāruṇyaṃ jñānaṃ cādvayaniśritam // iti //	diS antavyA api kAruNyam jQAnam ca advaya niSritam // iti //
   bodhicittasya advayajñānasya ca dvayorapi mūlaṃ karuṇayā bhūtatvāt karuṇā	boDi cittasya advaya jQAnasya ca dvayoH api mUlam karuNayA BUta tvAt karuNA
   mukhyatvena deṣṭumiṣyate /	muKya tvena dezwum izyate /
   bījaṃ kṛpā yajjinaśasyarāśestadvṛddhaye vārisamā, cirāya /	bIjam kRpA yat jina Sasya rASeH tat vRdDaye vAri samA, cirAya /
   bhogāya pākaśca yathaiva mānya, mādau mamātaḥ karuṇāpraśaṃsā // Madhy_1.2	BogAya pAkaH ca yaTA eva mAnya, mA AdO mama atas karuNA praSaMsA // MaDi _1.2
   yathā bāhyadhānyādisampattaye ādau madhye 'nte ca bījajalapākānāṃ	yaTA bAhya DAnya Adi sampattaye AdO maDye ante ca bIja jala pAkAnAm
   mukhyatayā eva bhūtatvād upayogitābhāvaḥ, tathā karuṇāyā eva trikāle 'pi	muKya tayA eva BUta tvAt upayogi tA BAvaH, taTA karuNAyAH eva tri kAle api
   jinaśasyasampade upayogitāṃ evaṃ deśitā vartate / evaṃ dayālustu	jina Sasya sampade upayogi tAm evam deSitA vartate / evam dayAluH tu
   paraduḥkhaduḥkhita eva aśeṣaduḥkhībhūtasattvānāṃ paritrāṇāya "avaśyam aham	para duHKa duHKitaH eva aSeza duHKIBUta sattvAnAm paritrANAya "avaSyam aham
   samastamamuṃ lokaṃ duḥkhataḥ samuddhṛtya buddhatva eva saṃniyokṣyeti"	samastam amum lokam duHKataH samudDRtya budDatvaH eva saMniyokzya iti"
   niścitaṃ cittotpādaṃ karoti / asyā api pratijñāyā advayajñānaprahāṇe	niScitam citta utpAdam karoti / asyAH api pratijQAyAH advaya jQAna prahANe
   sādhayitumaśakyatvād, advayajñāne 'pi āvaśyaka eva avatāraḥ, ataḥ	sADayitum aSakyatvAd, advaya jQAne api AvaSyakaH eva avatAraH, atas 
   sarvabuddhadharmāṇāṃ bījaṃ karuṇā eva asti / yathā ratnāvalyām uktam 	sarva budDa DarmANAm bIjam karuNAH eva asti / yaTA ratnAvalyAm uktam 
   karuṇāpūrvakāḥ sarve niṣyandā jñānanirmalāḥ / uktā yatra mahāyāne	karuNA pUrvakAH sarve nizyandAH jQAna nirmalAH / uktAH yatra mahAyAne
   kastannindet sacetanaḥ //	kaH tat nindet sa cetanaH //
   bodhicittotpāde 'pi yadi uttarakāle karuṇājalena punaḥ punaḥ na siñcitaḥ	boDi citta utpAde api yadi uttara kAle karuNA jalena punar punar na siQcitaH
   asañcitavipulaphalasaṃbhāro 'yam avaśyaṃ śrāvakapratyekabuddhayoḥ	asaQcita vipula Pala saMBAraH ayam avaSyam SrAvaka pratyekabudDayoH
   parinirvāṇe parinirvṛtto bhaviṣyati / anantaphalāvasthāyāṃ prāptāyāmapi	parinirvANe parinirvRttaH Bavizyati / ananta Pala avasTAyAm prAptAyAm api
   yadi parakāle karuṇā paripākarahitā syād asyāḥ dīrghakālopabhogo na	yadi para kAle karuNA paripAka rahitA syAt asyAH dIrGa kAla upaBogaH na
   bhaviṣyati, āryaphalamahāsambhāraphalakramaparamparāsvabhāvo 'pi	Bavizyati, Arya Pala mahA samBAra Pala krama paramparA svaBAvaH api
   nirantaraṃ dīrghaṃ nābhivardheta / samprati ālambanaviśeṣapraveśadvāreṇapi	nirantaram dIrGam nABi varDeta / samprati Alambana viSeza praveSa dvAreNapi
   karuṇāyāḥ svabhāvaviśeṣam abhivyajya tasyai eva praṇāmacikīrṣayā 	karuNAyAH svaBAva viSezam aBivyajya tasyE eva praNAma cikIrzayA 
   ātmābhisaktau tvahameti pūrvaṃ rāgodbhave bhāva idaṃ mameti /	Atma aBisaktO tu aham eti pUrvam rAga udBave BAvaH idam mama iti /
   arhaṭṭacaryāvadadhīnaloke kāruṇyavān yo 'sti namo 'stu tasmai // Madhy_1.3	arhawwa caryA vat aDIna loke kAruNyavAn yaH asti namaH astu tasmE // MaDi _1.3
   ityuktam /	iti uktam /
   asya lokasya tu mamābhiniveśāt pūrvam eva ahaṃgrahaṇād ' asantam ātmānam'	asya lokasya tu mama aBiniveSAt pUrvam eva ahaMgrahaNAt a asantam AtmAnam a
   astīti parikalpya atraiva satyābhiniveśaḥ, 'idaṃ tu mama' iti /	asti iti parikalpya atra eva satya aBiniveSaH, aidam tu mama a iti /
   ātmagrahaviṣayato bhinne 'śeṣavidhe vastuni abhiniveśo bhavati /	Atma graha vizayataH Binne aSezaviDe vastuni aBiniveSaH Bavati /
   ātmātmīyābhiniviṣṭam idaṃ jagat karmakleśabandhananibaddham	Atma AtmIya aBinivizwam idam jagat karma kleSa banDana nibadDam
   cakracālakavijñānotkṣepādhīnapraveśaṃ saṃsāramahākūpabhavāgrato	cakracAlaka vijQAna utkzepa aDIna praveSam saMsAra mahA kUpa Bava agratas 
   gambhīranirbādhāvīciparyantacalanaṃ, svayameva heṣṭhāgāmi, prayatnataḥ	gamBIra nirbADa avIci paryanta cala nan, svayam eva hezWAgAmi, prayatnataH
   kathañcana ākṛṣyamāṇam, ajñānādikleśakarmajanyasaṃkleśatraye 'pi	kaTaQcane AkRzyamANam, ajQAna Adi kleSa karma janya saMkleSa traye api
   paurvāparyamadhyakrameṇa aniścitaṃ, pratidinaṃ	pOrvAparya maDya krameNa aniScitaM, pratidinam
   duḥkhaduḥkhatāvipariṇāmaduḥkhatāpravāhād arhaṭṭaghaṭasyāvasthāto	duHKa duHKa tA vipariNAma duHKa tA pravAhAt arhawwa Gawasya avasTAtaH 
   nātivartate, yato bodhisattvo duḥkhena duḥkhitam atikaruṇālambanena	na ativartate, yatas boDisattvaH duHKena duHKitam ati karuNA Alambanena
   trātumiccati, ataḥ sarvaprathamaṃ khalu bhagavatī mahākaruṇā praṇamyate /	trAtum iccati, atas sarva praTamam Kalu BagavatI mahA karuNA praNamyate /
   iyaṃ bodhisattvakaruṇā tu sattvālambaneti /	iyam boDisattva karuNA tu sattva Alambana iti /
   dharmālambanāṃ nirālambanāṃ ca karuṇāmapi avalambanadvārā prakāśayitum	Darma AlambanAm nirAlambanAm ca karuNAm api avalambana dvArA prakASayitum
   uktam 	uktam 
   jagaccale candramivāmbumadhye calaṃ svabhāvena vinā vilokya /	jagat cale candram iva ambu maDye calam svaBAvena vinA vilokya /
   kāruṇyavān yo 'sti namo 'stu tasmai, iti tatra yojitavyam /	kAruNyavAn yaH asti namaH astu tasmE, iti tatra yojitavyam /
   mandavāyulaghutaraṃgitasvacchajalābhyantaravyāptacandrapratibimbaṃ	manda vAyu laGuta raMgita svacCa jala aByantara vyApta candra pratibimbam
   pūrvāvalambitāśrayaviṣayeṇa saha naśyati, tayorbhāvapratyakṣe	pUrva avalambita ASraya vizayeNa saha naSyati, tayoH BAva pratyakze
   avalambatvena udaye sati, uttamaistu etadvayaṃ svabhāvatāprakāśanasadṛśaṃ	avalamba tvena udaye sati, uttamEH tu etat vayam svaBAvatA prakASana sadRSam
   sthitaṃ dṛśyate  evam pratikṣaṇaṃ anityatāsvabhāvaśūnyatā ca / tathā	sTitam dRSyate evam pratikzaNam anitya tA svaBAva SUnyatA ca / taTA
   bodhisattvaiḥ karuṇāparatantrībhūtairapi satkāyadṛṣṭayavidyāsāgare	boDisattvEH karuNA paratantrI BUtEH api sat kAya dRzwayavidyA sAgare
   sāgaraśreṣṭhadharmāmṛtarasodbhavahetave sakalaviparītakalpanālakṣaṇe	sAgara SrezWa Darma amRta rasa udBava hetave sakala viparIta kalpanA lakzaNe
   sampūrṇe jagati ayoniśovikalpamārutaprerite nīlavistṛtāvidyājale sthitān	sampUrNe jagati ayoniSaH vikalpa mAruta prerite nIla vistRta avidyA jale sTitAn
   prāṇinaḥ svakarmapratibimbavatpuraḥsthitān pratikṣaṇaṃ anityaduḥkhapatītān	prANinaH sva karma pratibimba vat puraHsTitAn pratikzaNam anitya duHKa patItAn
   svabhāvaśūnyān dṛṣṭvā tayoranityatāduḥkhavināśasadṛśabhūtān	svaBAva SUnyAn dRzwvA tayoH anitya tA duHKa vinASa sadRSa BUtAn
   saddharmaśreṣṭhāmṛtarasodbhavahetave sakalaviparītakalpanānivṛttilakṣaṇaṃ	sat Darma SrezWa amRta rasa udBava hetave sakala viparIta kalpanA nivRtti lakzaNam
   sampūrṇaṃ jagat bandhutvasvabhāvabhūtaṃ buddhatvaṃ samyakprāpayitumiṣyate	sampUrNam jagat banDu tva svaBAva BUtam budDa tvam samyak prApayitum izyate
   teṣāṃ yā karuṇā sattvālambanā, dharmālambanā anālambanā ca tāṃ praṇamya	tezAm yA karuNA sattva AlambanA, Darma AlambanA anAlambanA ca tAm praNamya
   bodhisattvānāṃ bodhicittasya daśavidhabhedāvivakṣayā saḥ	boDisattvAnAm boDi cittasya daSaviDa Beda avivakzayA saH
   prathamabodhicittam adhikṛtya evaṃ vadati 	praTama boDi cittam aDikRtya evam vadati 
   yadasya citte khalu bodhisattve, jagad vimuktyai karuṇāvaśaṃge //	yat asya citte Kalu boDisattve, jagat vimuktyE karuNA vaSaMge //
   Madhy_1.4 //	MaDi _1.4 //
   samantabhadrapraṇidhānanāmni, pramoditā sā prathametyavasthataḥ /	samantaBadra praNiDAna nAmni, pramoditA sA praTamA iti avasTataH /
   bodhisattvānām anāsravajñānasya karuṇādibhiḥ parigrahāvibhāgobhūmiriti	boDisattvAnAm anAsrava jQAnasya karuNA AdiBiH parigraha aviBAgaH BUmiH iti
   nāma prāpnoti, guṇāśrayabhūtatvāt tasyā ca uttarottaraṃ	nAma prApnoti, guNa ASraya BUta tvAt tasyAH ca uttarottaram
   guṇasaṃkhyābalātiśayaprāptidānādipāramitāpāṭhaparipākavṛddhiviśeṣeṇa	guNa saMKyA bala atiSaya prApti dAna Adi pAramitA pAWa paripAka vRdDi viSezeNa
   pramuditādibhūmiprakārabhedena daśavidhabhedā vyavasthāpitāḥ, atra	pramudita Adi BUmi prakAra Bedena daSaviDa BedAH vyavasTApitAH, atra
   svabhāvaviśeṣabhedo na bhavati / yathā  yathāntarīkṣe śakuneḥ padaṃ	svaBAva viSeza BedaH na Bavati / yaTA yaTA antarIkze SakuneH padam
   budhairvaktuṃ na śakyaṃ na ca darśanopagam /	buDEH vaktum na Sakyam na ca darSana upagam /
   tathaiva sarvā jinaputrabhūmayo vaktuṃ na śakyāḥ kuta eva śrotum //	taTA eva sarvAH jinaputra BUmayaH vaktum na SakyAH kutas eva Srotum //
   ityuktam /	iti uktam /
   tatra bodhisattvabhūmiḥ pramuditā bodhisattvānāṃ prathamaścittotpādaḥ,	tatra boDisattva BUmiH pramuditAH boDisattvAnAm praTamaH citta utpAdaH,
   antimaśca dharmamegho daśamaścittotpādaḥ / tatra bodhisattvasya	antimaH ca Darma meGaH daSamaH citta utpAdaH / tatra boDisattvasya
   yathoktavidhinā  jagat niḥsvabhāvadarśakaṃ karuṇāviśeṣeṇa upagṛhītaṃ	yaTA ukta viDinA jagat niHsvaBAva darSakam karuNA viSezeNa upagRhItam
   yaccitaṃ karuṇāparatantraṃ sat bodhisattvasamantabhadrapraṇidhānena	yat citam karuNA paratantram sat boDisattva samantaBadra praNiDAnena
   pariṇāmitaṃ pramuditamiti nāmakam, advayajñānaṃ tasya sahetukaṃ	pariNAmitam pramuditam iti nAmakam, advaya jQAnam tasya sa hetukam
   phalopalakṣaṇaṃ tatra prathama iti kathyate / daśamahāpraṇidhānādīni	Pala upalakzaNam tatra praTamaH iti kaTyate / daSa mahA praNiDAna AdIni
   daśāsaṃkhyaśatasāhasrapraṇidhānāni, tatra bodhisattvaḥ prathamaṃ	daSa asaMKya Sata sAhasra praNiDAnAni, tatra boDisattvaH praTamam
   cittotpādaṃ karoti, tāni bodhisattvasamantabhadrapraṇidhānamadhye	citta utpAdam karoti, tAni boDisattva samantaBadra praNiDAna maDye
   samāhitāni, aśeṣapraṇidhānopasaṃgrahatvāt samantabhadrapraṇidhānaṃ	samAhita ani, aSeza praNiDAna upasaMgraha tvAt samantaBadra praNiDAnam
   viśeṣeṇa sandṛbdham / tatra yathāśrāvakayāne	viSezeNa sandRbDam / tatra yaTA SrAvaka yAne
   praveśaphalamārgasthitibhedena aṣṭa śrāvaka bhūmivyavasthā tathā mahāyāne	praveSa Pala mArga sTiti Bedena azwa SrAvaka BUmi vyavasTA taTA mahAyAne
   'pi bodhisattvānāṃ daśabodhisattvabhūmayaḥ / punaśca yathā śrāvakasya	api boDisattvAnAm daSa boDisattva BUmayaH / punar ca yaTA SrAvakasya
   nirvedhabhāgīyāvasthotpādaḥ prathamaphalapraveśāvasthā na manyate tathā	nirveDa BAgIya avasTa utpAdaH praTama Pala praveSa avasTA na manyate taTA
   bhāvināṃ bodhisattvānāmapi / ratnameghasūtre	BAvinAm boDisattvAnAm api / ratna meGa sUtre
   mahādhimuktamahācaryādharmatāyā anantaraṃ prāpteyaṃ prathamabhūmisthitistu	mahA aDimukta mahA caryA Darma tAyAH anantaram prAptA iyam praTama BUmi sTitiH tu
   bodhisattvasya bodhicittānutpādabhūmirityuktavat /	boDisattvasya boDi citta an utpAda BUmiH iti ukta vat /
   adhimukticaryāyāstatkṣaṇāsthitirapi  'kulaputra! tadyathā  yathā	aDimukti caryAyAH tad kzaNA sTitiH api akula putra! tat yaTA yaTA
   cakravartī rājā mānuṣavarṇātīto na tu devavarṇaprāptaḥ, tathaiva	cakravartI rAjA mAnuza varNa atItaH na tu deva varNa prAptaH, taTA eva
   bodhisattvo 'pi laukikaśrāvakapratyekabuddhānāṃ sarvabhūmyatītaḥ, na tu	boDisattvaH api lOkika SrAvaka pratyekabudDAnAm sarva BUmi atItaH, na tu
   bodhisattvaparamārthabhūmiprāptaḥ / iti tatraiva vyākhyātam / punaśca yadā	boDisattva parama arTa BUmi prAptaH / iti tatra eva vyAKyAtam / punar ca yadA
   iha pramuditākhyaprathamabhūmau praveśaḥ  tataḥ samārabhya tu tatra	iha pramudita AKya praTama BUmO praveSaH tatas samAraBya tu tatra
   prāptaḥ sa bodhisattveti padābhidheyaḥ // Madhy_1.5 //	prAptaH sa boDisattva iti pada aBiDeyaH // MaDi _1.5 //
   taccittaprāptastu sarvathā pṛthagjanabhūmyatikrāntāvasthāyāṃ	tad citta prAptaH tu sarvaTA pRTagjana BUmi atikrAnta avasTAyAm
   bodhisattvapade  naivābhidhīyate, nānyathā, tatsamaye tasya āryabhūtatvāt	boDisattva pade na eva aBiDIyate, na anyaTA, tad samaye tasya Arya BUta tvAt 
   / yathā  bhagavatyāṃ paṃcaviṃśaśatikāyāṃ  "bodhisattva	/ yaTA BagavatyAm paMcaviMSa SatikAyAM "boDisattva
   ityanubuddhasattvasyaitadadhivacanam, yena sarvadharmā buddhā jñātāḥ /	iti anubudDa sattvasya etat aDivacanam, yena sarva DarmAH budDAH jQAtAH /
