   śrīghanācārasaṃgrahaḥ	SrIGana-AcAra-saMgrahaH
   mṛtyorvarṇa na bhāṣeta śastrahāraṃ na caiṣayet |	mRtyoH-varNa na BAzeta Sastra-hAram na ca-ezayet |
   vadhakena na cittena māraṇāya niyojayet || Śghs_3,1.2 ||	vaDakena na cittena mAraNAya niyojayet || ŚGs_3,1.2 ||
   virekavamanālepaviṣaśastrābhisaṃskṛti |	vireka-vamana-Alepa-viza-Sastra-aBisaMskRti |
   na kuryāt prāṇighātāya na ca garbhasya śātanaṃ || Śghs_3,1.3 ||	na kuryAt prANi-GAtAya na ca garBasya SAtanam || ŚGs_3,1.3 ||
   nimittaṃ na vratī kuryāt svapnolūkādivāśitaiḥ |	nimittam na vratI kuryAt svapna-ulUka-Adi-vASitEH |
   [dauḥśīlaṃ] (vāpi kāryaṃ na) dānaśīlaphalāptibhiḥ || Śghs_3,1.4 ||	[dOH-SIlaM] (vA-api kAryam na) dAna-SIla-Pala-AptiBiH || ŚGs_3,1.4 ||
   madhyapaścātpurogeṣu yatraiva vadhakaṃ manaḥ |	maDya-paScAt-purogezu yatra-eva vaDakam manaH |
   [taṃ puruṣaṃ] dhnato hiṃsā nānyamityāha sarvavit || Śghs_3,1.5 ||	[tam puruzan] DnataH hiMsA na-anyam-iti-Aha sarva-vid || ŚGs_3,1.5 ||
   kūṭāvamārthāvaṣṭambhavetālā[dya]bhisaṃskṛti |	kUwa-avamA-arTa-avazwamBa-veta-AlA[dya]Bi-saMskRti |
   avapayañca kuryānna māraṇāya śarīriṇāṃ || Śghs_3,1.6 ||	avapayaQca kuryAt-na mAraNAya SarIriNAm || ŚGs_3,1.6 ||
   taskarā[dya]hisenābhyaḥ yatra mārge bhayaṃ[bhavet] |	taskarA[dya]hi-senAByaH yatra mArge BayaM[Bava-it] |
   tatpanthānaṃ na nāśāya dehināṃ kathayedyatiḥ || Śghs_3,1.7 ||	tad-panTAnam na nASAya dehinAm kaTayet-yatiH || ŚGs_3,1.7 ||
   bhujagāvartakābhyāṃ ca yatra tīrthe[bhayaṃ bhavet] |	Bujaga-AvartakAByAm ca yatra tIrTe[Bayam Bavet] |
   [nadīprataraṇārthāya] tattīrthaṃ na prakāśayet || Śghs_3,1.8 ||	[nadI-prataraNa-arTa-aya] tat-tIrTam na prakASayet || ŚGs_3,1.8 ||
   kiñcid bhūpataye mā dāstvaṃ varaṃ jīvitaṃ tyaja |	kiQcid BUpataye mA dAH-tvam varam jIvitam tyaja |
   iti baddhāyukte 'yuktaṃ vacanaṃ na vaded [yatiḥ] || Śghs_3,1.9 ||	iti badDa-ayukte ayuktam vacanam na vadet [yatiH] || ŚGs_3,1.9 ||
   bhujaga [vyāḍayakṣe]bhyaḥ yadvihāre[bhayaṃ bhavet] |	BujagaH [vyAxayakze]ByaH yat-vihAre[Bayam Bavet] |
   tadvadhakābhiprāyeṇāgantukāya na coddiśet || Śghs_3,1.10 ||	tad-vaDaka-aBiprAyeNa-AgantukAya na ca-uddiSet || ŚGs_3,1.10 ||
   vyāghrādivyapadeśena śatruṃ hanyād hi yaḥ śaṭhaḥ |	vyAGra-Adi-vyapadeSena Satrum hanyAt hi yaH SaWaH |
   vihārādāśu[nirdvāraṃ] ghaṭṭanīyaḥ sa cellakaiḥ || Śghs_3,1.11 ||	vihArAt-ASu[-nirdvAraM] GawwanIyaH sa cellakEH || ŚGs_3,1.11 ||
   tathā kāryaṃ yathaiko 'pi nānirjīvecca kaścana |	taTA kAryam yaTA-ekaH api na-anirjIvet-ca kaScana |
   adharmyā na kriyā kāryā saṃsmṛtya krakacopamaṃ || Śghs_3,1.12 ||	aDarmyA na kriyA kAryA saMsmRtya krakaca-upamam || ŚGs_3,1.12 ||
   vadhaśca śrāmaṇerā ye ghātayituṃ vadhīkṛtāḥ |	vaDaH-ca SrAmaNerAH ye GAtayitum vaDIkRtAH |
   yugapat tatprayoge te nāśanīyā vihārataḥ || Śghs_3,1.13 ||	yugapad tad-prayoge te na-aSanIyAH vihArataH || ŚGs_3,1.13 ||
   upakramo nṛsaṃjñā ca naro vadhakacetanā |	upakramaH nR-saMjQA ca naraH vaDaka-cetanA |
   jīvitasya kṣayaśceti pañcāṃgāni nṛghātane || Śghs_3,1.14 ||	jIvitasya kzayaH-ca-iti paQca-aMgAni nR-GAtane || ŚGs_3,1.14 ||
   śrāmaṇereṇa nāśāya viṣaśastrādi yat[kṛtaṃ] |	SrAmaNereNa nASAya viza-Sastra-Adi yat[-kRtaM] |
   mriyate narastenaivāsau tadāsaṃvarī bhavet || Śghs_3,1.15 ||	mriyate naraH-tena-eva-asO tadA-asaMvarI Bavet || ŚGs_3,1.15 ||
   avakrītādirajñānāt manuṣyaṃ mārayan khalu |	avakrIta-AdiH-ajQAnAt manuzyam mArayan Kalu |
   saṃvarakṣobhalābhī sa [yatir] nonmattādikaḥ || Śghs_3,1.16 ||	saMvara-kzoBa-lABI saH [yatiH-] na-unmatta-AdikaH || ŚGs_3,1.16 ||
   duṣkṛtāni	duzkRtAni
   kāyamaitrādi sattveṣu yatinā kāryaṃ sarvadā |	kAya-mEtra-Adi sattvezu yatinA kAryam sarvadA |
   yasmāt kāruṇikairuktaṃ tasmāt[sattvānna pīḍayet] || Śghs_3,1.17 ||	yasmAt kAruNikEH-uktam tasmAt-[sattvAt-na pIxayet] || ŚGs_3,1.17 ||
   na sattvān pīḍayeddārurajvayaścarmabandhanaiḥ |	na sattvAn pIxayet-dArura-jvayaH-carma-banDanEH |
   jalānalapraveśānutyāgādau na niyojayet || Śghs_3,1.18 ||	jala-anala-praveSa-anutyAga-AdO na niyojayet || ŚGs_3,1.18 ||
   kṛmigorūpa[kādīnāṃ] mithyājīvaśca hiṃsanaṃ |	kRmi-go-rUpa[ka-AdInAn] miTyA-jIvaH-ca hiMsanam |
   karṣaṇe[hi] bhavedyasmāt tasmāt[tad]dūrato tyajet || Śghs_3,1.19 ||	karzaNe[hi] Bavet-yasmAt tasmAt-[tad-]dUrataH tyajet || ŚGs_3,1.19 ||
   nāṃkayed gomahiṣyādi nāsikāṃ nāsya vedhayet |	na-aMkayet go-mahizI-Adi nAsikAm na-asya veDayet |
   [yatiśca vividhān sattvān] vetrādinā na tāḍayet || Śghs_3,1.20 ||	[yatiH-ca viviDAn sattvAn] vetra-AdinA na tAxayet || ŚGs_3,1.20 ||
   uddiśya yat kṛtaṃ māṃsavyañjanaṃ [khādato] yateḥ |	uddiSya yat kRtam mAMsa-vyaQjanam [KAt-ato] yateH |
   nighṛṇaṃ jāyate cittaṃ tasmāttannaiva bhakṣayet || Śghs_3,1.21 ||	niGRNam jAyate cittam tasmAt-tat-na-eva Bakzayet || ŚGs_3,1.21 ||
   jñeyaṃ tu tribhirākārairīkṣitaśrutaśaṃkitaiḥ |	jQeyam tu triBiH-AkArEH-Ikzita-Sruta-SaMkitEH |
   īkṣitaṃ yat svayaṃ dṛṣṭaṃ śrutaṃ pratyāyitoditaṃ || Śghs_3,1.22 ||	Ikzitam yat svayam dRzwam Srutam pratyAyita-uditam || ŚGs_3,1.22 ||
   gṛhābaddhamṛgādīnāṃ śrṛṃgapakṣādidarśanāt |	gRha-AbadDa-mRga-AdInAm SrRMga-pakza-Adi-darSanAt |
   āśaṃkotpadyate [tatra] mamoddiśya hatā na vā || Śghs_3,1.23 ||	ASaMka-utpadyate [tatra] mama-uddiSya hatAH na vA || ŚGs_3,1.23 ||
   pṛṣṭo dātā vadedevaṃ tvannimittamamī hatā |	pRzwaH dAtA vadet-evam tvad-nimittam-amI hatA |
   tasmin gṛhe na bhuñjīta virataḥ prāṇināṃ vadhāt || Śghs_3,1.24 ||	tasmin gRhe na BuQjIta virataH prANinAm vaDAt || ŚGs_3,1.24 ||
   śyenakādihatā vai[te] śāliyavamudgabhakṣaṇāt |	Syenaka-Adi-hatA vE[te] SAli-yava-mudga-BakzaNAt |
   mātāpitrośca yajñasya kṛte doṣo 'sti nāśnatāṃ || Śghs_3,1.25 ||	mAtA-pitroH-ca yajQasya kRte dozaH asti na-aSnatAm || ŚGs_3,1.25 ||
   ekaṃ śrīghanamuddiśya māṃsaṃ matsyādikaṃ kṛtaṃ |	ekam SrIGanam-uddiSya mAMsam matsya-Adikam kRtam |
   anyeṣāṃ śrāmaṇerāṇāṃ tadbhogāya na kalpate || Śghs_3,1.26 ||	anyezAm SrAmaNerANAm tad-BogAya na kalpate || ŚGs_3,1.26 ||
   nādeyādijalaṃ jānan nāpi pibet sajantukaṃ |	nAdeya-Adi-jalam jAnan na-api pibet sa-jantukam |
   jantavo 'bhimatāḥ sūkṣmās trasikormikirādayaḥ || Śghs_3,1.27 ||	jantavaH aBimatAH sUkzmAH trasikA-Urmi-kira-AdayaH || ŚGs_3,1.27 ||
   vāri[pūtyā]yadhiṣṭheyaḥ karako [hi] sakhallakaḥ |	vAri[pUtyA]i-aDizWeyaH karakaH [hi] saKallakaH |
   vighātaparihārārthaṃ kośo 'ntaśaḥ suvāsasaḥ || Śghs_3,1.28 ||	viGAta-parihAra-arTam koSaH antaSas su-vAsasaH || ŚGs_3,1.28 ||
   divyanetrāndhayorneṣṭaṃ jalasya pratyavekṣaṇaṃ |	divya-netra-anDayoH-na-izwam jalasya pratyavekzaNam |
   hastāṃguṣṭhāgrakāvartadarśino na nivāryate || Śghs_3,1.29 ||	hasta-aMguzWa-agraka-Avarta-darSinaH na nivAryate || ŚGs_3,1.29 ||
   locanavibhramo mā bhūditi paśyenna tacciraṃ |	locana-viBramaH mA BUt-iti paSyet-na tat-ciram |
   kalpamātraṃ na vai kuryāt māyāśāṭhayasamanvitaḥ || Śghs_3,1.30 ||	kalpa-mAtram na vE kuryAt mAyA-SAWaya-samanvitaH || ŚGs_3,1.30 ||
   yenāntareṇa ṣaṣṭayabdaḥ paribhramyate kuñjaraḥ |	yena-antareNa zazwayabdaH pariBramyate kuQjaraH |
   śakaṭaṃ vaṃśapūrṇaṃ vā sa kālaḥ salilekṣaṇe || Śghs_3,1.31 ||	Sakawam vaMSa-pUrNam vA sa kAlaH salila-IkzaNe || ŚGs_3,1.31 ||
   ūrdhvādhomadhyamāstistraḥ salilasyāpi bhūmayaḥ |	UrDva-aDas-maDyamAstistraH salilasya-api BUmayaH |
   yāyā bhūḥ śuddhimāyāti kāryaṃ kuryāttayā[yatiḥ] || Śghs_3,1.32 ||	yAyA BUH SudDim-AyAti kAryam kuryAt-tayA-a[yatiH] || ŚGs_3,1.32 ||
   yatrādhaḥ prāṇakā yānti sthūlāḥ karatalāhatāḥ |	yatra-aDas prANakAH yAnti sTUlAH kara-tala-AhatAH |
   [grāhyaṃ] tadudakaṃ [srāvyaṃ] paṃcāṃgulikayā na cet || Śghs_3,1.33 ||	[grAhyan] tat-udakam [srAvyaM] paMca-aMgulikayA na ced || ŚGs_3,1.33 ||
   bhaveyurudake yasmin kare lagnā[śca] prāṇinaḥ |	BaveyuH-udake yasmin kare lagnA[H-ca] prANinaH |
   na tatra pāṇipādāsyavastrādi kṣālayedyatiḥ || Śghs_3,1.34 ||	na tatra pANi-pAda-Asya-vastra-Adi kzAlayet-yatiH || ŚGs_3,1.34 ||
   kule gatena praṣṭavyaṃ jalaṃ [hi] srāvitaṃ na vā |	kule gatena prazwavyam jalam [hi] srAvitam na vA |
   neti cet saṃjñiko vācyaḥ srāvayetyitaro na tu || Śghs_3,1.35 ||	na-iti ced saMjQikaH vAcyaH srAvayA-iti-itaraH na tu || ŚGs_3,1.35 ||
   [kintu] srāvyaṃ jalaṃ pātre kṛtvātmīye sajantukaṃ |	[kintu] srAvyam jalam pAtre kRtvA-AtmIye sa-jantukam |
   [pṛṣṭvā] yastadānītaṃ muñcet tatraiva [sa] svayaṃ || Śghs_3,1.36 ||	[pRzwvA] yaH-tat-AnItam muQcet tatra-eva [sa] svayam || ŚGs_3,1.36 ||
   saptāhaṃ vā[tathā] yatra pānīyamavatiṣṭhati |	sapta-aham vA[taTA] yatra pAnIyam-avatizWati |
   vihāre vā kaṭāhādau sthāpayet tadaśuṣyati || Śghs_3,1.37 ||	vihAre vA kawAha-AdO sTApayet tat-aSuzyati || ŚGs_3,1.37 ||
   pravṛṣṭe vā [yatir] deve svacchanīraughavāhini |	pravRzwe vA [yatiH-] deve svacCa-nIra-oGa-vAhini |
   nimnagānāṃ patiṃ pātaṃ gacchateti visarjayet || Śghs_3,1.38 ||	nimnagAnAm patim pAtam gacCata-iti visarjayet || ŚGs_3,1.38 ||
   sudīrghatalikāvaktrarajjudvayā[va]baddhayā |	su-dIrGa-talikA-vaktra-rajju-dvaya-a[va]badDayA |
   ghaṭikayodakaṃ muñcedadhastādudake 'dhvagaḥ || Śghs_3,1.39 ||	GawikayA-udakam muQcet-aDastAt-udake aDvagaH || ŚGs_3,1.39 ||
   ghaṭikātritayaṃ vīkṣya mārgageṇodapānataḥ |	GawikA-tritayam vIkzya mArga-geNa-udapAnataH |
   pariśuddhāścet peyaṃ jalaṃ tat srāvyamanyathā | Śghs_3,1.40 ||	pariSudDAH-ced peyam jalam tat srAvyam-anyaTA | ŚGs_3,1.40 ||
   na rajjughaṭikādānaṃ śastaṃ saprāṇake jale |	na rajju-GawikA-dAnam Sastam sa-prANake jale |
   pibeti vaktuṃ dātuṃ vā na jātu kṣamate yatiḥ || Śghs_3,1.41 ||	pibA-iti vaktum dAtum vA na jAtu kzamate yatiH || ŚGs_3,1.41 ||
   sajantukaṃ taḍāgādi na pareṣāmuccairvadet |	sa-jantukam taxAga-Adi na parezAm-uccEs-vadet |
   [kṛtyaṃ] kuru samīkṣyeti pṛṣṭaḥ prativadetparān || Śghs_3,1.42 ||	[kRtyaM] kuru samIkzya-iti pRzwaH prativadet-parAn || ŚGs_3,1.42 ||
   upādhyāye 'pi vaktavyaṃ saprāṇakamidaṃ na vā |	upADyAye api vaktavyam sa-prANakam-idam na vA |
   taḍāgādīti [vai] śāṭhayaṃ karttavyaṃ [yatinā] na [tu] || Śghs_3,1.43 ||	taxAga-Adi-iti [vE] SAWayam karttavyam [yatinA] na [tu] || ŚGs_3,1.43 ||
   vṛkṣaseko na dātavyo 'pariśuddhena vāriṇā |	vRkza-sekaH na dAtavyaH apariSudDena vAriNA |
   upādhyāyādikasnānaṃ karttavyaṃ ca tathaiva na || Śghs_3,1.44 ||	upADyAya-Adika-snAnam karttavyam ca taTA-eva na || ŚGs_3,1.44 ||
   mastukāñjikasauvīramaṇḍadaṇḍāhatādikaṃ |	mastu-kAQjika-sOvIra-maNxa-daNxa-Ahata-Adikam |
   na pibet na yatirdadyāt parasmai na bhuvi tyajet || Śghs_3,1.45 ||	na pibet na yatiH-dadyAt parasmE na Buvi tyajet || ŚGs_3,1.45 ||
   samatkuṇaṃ yacchayanamātape tanna śoṣayet |	sa-matkuNam yat-Sayanam-Atape tat-na Sozayet |
   na hime kardame vā[pi] śītoṣṇavāriṇi kṣipet || Śghs_3,1.46 ||	na hime kardame vA[pi] SIta-uzNa-vAriNi kzipet || ŚGs_3,1.46 ||
   navakarma sa no kuryāt sajantukena [vāriṇā] |	nava-karma sa no kuryAt sa-jantukena [vAriNA] |
   dināntaṃ srāvayitvā tad dhāryaṃ [trikoṇa]khallakaṃ || Śghs_3,1.47 ||	dina-antam srAvayitvA tat DAryam [tri-koNa]Kallakam || ŚGs_3,1.47 ||
   bhṛtakaṃ śikṣayedevaṃ vadhāna tvaṃ trikoṇakaṃ |	BRtakam Sikzayet-evam vaDAna tvam trikoNakam |
   kapāt[tat] srāvayotkṣipya khallakaṃ ca vimocaya || Śghs_3,1.48 ||	kapAt[tat] srAvayA-utkzipya Kallakam ca vimocaya || ŚGs_3,1.48 ||
   trikoṇasaptakenāmbhaḥ srāvyaṃ khallakena tat |	trikoNa-saptakena-amBaH srAvyam Kallakena tat |
   [pratikūpyatha] kāryā[vā] tyaktvā deśāntaraṃ [vrajet] || Śghs_3,1.49 ||	[pratikUpyaTa] kArya-a[vA] tyaktvA deSa-antaram [vrajet] || ŚGs_3,1.49 ||
   abhūtvā sambhavantyete bhūtvā yānti bhavāntaraṃ |	aBUtvA samBavanti-ete BUtvA yAnti Bava-antaram |
   navakarma tadā kārya yathoktavidhikāriṇā || Śghs_3,1.50 ||	nava-karma tadA kArya yaTA-ukta-viDi-kAriNA || ŚGs_3,1.50 ||
   satpaṭābaddhamañcāderucchīdaccaturāṃgulāt |	sat-pawa-AbadDa-maQca-AdeH-ucCI-dat-catura-aMgulAt |
   nadyādau jalamālokya kāryaṃ ca navakarmaṇi || Śghs_3,1.51 ||	nadI-AdO jalam-Alokya kAryam ca nava-karmaNi || ŚGs_3,1.51 ||
   chidrakarṇadvayāsaktasūtrabaddhadvidaṇḍakaṃ |	Cidra-karNa-dvaya-Asakta-sUtra-badDa-dvi-daNxakam |
   dhāraṇapātrakaṃ dadhyāt khallakasya bahir[yatiḥ] || Śghs_3,1.52 ||	DAraNa-pAtrakam daDyAt Kallakasya bahis-[yatiH] || ŚGs_3,1.52 ||
   kṛpāparītacittena svādu vāri sajantukaṃ |	kRpA-parIta-cittena svAdu vAri sa-jantukam |
   kṣāre 'mbhasi na moktavyamanāpat mṛṣṭasaṃjñinaḥ || Śghs_3,1.53 ||	kzAre amBasi na moktavyam-anApat mRzwa-saMjQinaH || ŚGs_3,1.53 ||
   2 adattādānaviratiśikṣāpadaṃ	2 adatta-AdAna-virati-SikzA-padam
   saṃvaratyāgaḥ	saMvara-tyAgaH
   kālikaṃ [yāmikaṃ] yāvajjīvikaṃ sarpirādikaṃ |	kAlikam [yAmikaM] yAvat-jIvikam sarpiH-Adikam |
   pārihāryamanādheyaṃ kalpyākalpyamakalpikaṃ || Śghs_3,2.1 ||	pArihAryam-anADeyam kalpyA-kalpyam-akalpikam || ŚGs_3,2.1 ||
   pṛthivyudakadvicatuṣpadāpadakapādapa |	pRTivI-udaka-dvicatuzpad-a-Apadaka-pAdapaH |
   tadgataṃ ca yatiḥ kiñcinnādadīta parasvakaṃ || Śghs_3,2.2 ||	tad-gatam ca yatiH kiQcid-na-AdadIta para-svakam || ŚGs_3,2.2 ||
   kārṣāpaṇacaturbhāgaṃ tadardhamathavā dhanaṃ |	kArzApaNa-catur-BAgam tad-arDam-aTavA Danam |
   steyacitto harannanyair nāśanīyo[yatir] laghu || Śghs_3,2.3 ||	steya-cittaH haran=-anyEH nASanIyaH-[yatir] laGu || ŚGs_3,2.3 ||
   vāṭāddhṛte gaje pādaiś caturbhirayatiś cyute |	vAwAt-hRte gaje pAdEH caturBiH-ayatiH cyute |
   niṣkrānte saṃvṛtadvārād dvipahṛtsyād yatiḥ [khalu] || Śghs_3,2.4 ||	nizkrAnte saMvRta-dvArAt dvipa-hRt-syAt yatiH [Kalu] || ŚGs_3,2.4 ||
   gulphābaddhekṣadaṇḍāre dūrākṛṣṭe mahītalāt |	gulPa-AbadDa-Ikza-daNxAre dUra-AkRzwe mahI-talAt |
   saṃvarabhaṃga utkṣipte pañjarādgajavaddvije || Śghs_3,2.5 ||	saMvara-BaMgaH utkzipte paQjarAt-gaja-vat-dvije || ŚGs_3,2.5 ||
   deśānnayed hi sandeśadraviṇaṃ ca sañcārayet |	deSAn-nayet hi sandeSa-draviNam ca saQcArayet |
   aṃgāt stainyena cittena saṃvaraghūtamāpnute || Śghs_3,2.6 ||	aMgAt stEnyena cittena saMvara-GUtam-Apnute || ŚGs_3,2.6 ||
   mṛto 'sau matvā śrutvaivādhvagād vai brahmacāriṇaḥ |	mRtaH asO matvA SrutvA-eva-aDvagAt vE brahmacAriNaH |
   sīmāntasthāyine datvā gṛhṇan syādayatiryatiḥ || Śghs_3,2.7 ||	sImAnta-sTAyine datvA gRhNan syAt-ayatiH-yatiH || ŚGs_3,2.7 ||
   yadvittaṃ śrāmaṇerasya mṛtasya nirvṛtārhataḥ |	yat-vittam SrAmaNeH-asya mRtasya nirvRta-arhataH |
   upādhyāyasya prāpnoti tadityevaṃ jagau muniḥ || Śghs_3,2.8 ||	upADyAyasya prApnoti tat-iti-evam jagO muniH || ŚGs_3,2.8 ||
   hartturiṣṭāṃ diśaṃ yāyād vratī ced hastinaṃ haret |	harttuH-izwAm diSam yAyAt vratI ced hastinam haret |
   asau harttā vratī cauraḥ karipe hṛtasaṃjñini || Śghs_3,2.9 ||	asO harttA vratI cOraH karipe hRta-saMjQini || ŚGs_3,2.9 ||
   pūjācīvaramālāntadvayasya khalu mocanāt |	pUjA-cIvara-mAlA-anta-dvayasya Kalu mocanAt |
   avanau taccyutau satyāṃ bhraśyate saṃvarād [yatiḥ] || Śghs_3,2.10 ||	avanO tad-cyutO satyAm BraSyate saMvarAt [yatiH] || ŚGs_3,2.10 ||
   kṣiptaṃ mauktikahārādi gṛhītvā tad mahākulāt ||	kziptam mOktika-hAra-Adi gRhItvA tat mahA-kulAt ||
   nyasya prasevikāyāṃ ca sahāyena ca hārayan || Śghs_3,2.11 ||	nyasya prasevikAyAm ca sahAyena ca hArayan || ŚGs_3,2.11 ||
   jaṭālenāthavā vatsa haran ki saṃvaracyutaḥ |	jawAlena-aTavA vatsa haran ki saMvara-cyutaH |
   ki pādacyutimātreṇa hyupacāravyatikrame || Śghs_3,2.12 ||	ki pAda-cyuti-mAtreNa hi-upacAra-vyatikrame || ŚGs_3,2.12 ||
   rātrau gośakaṭāśvādīn kaścid vadhnāti ced yatiḥ |	rAtrO go-Sakawa-aSva-AdIn kaScid vaDnAti ced yatiH |
   etānete hariṣyanti tat kiṃ syāccyutasaṃvaraḥ || Śghs_3,2.13 ||	etAn-ete harizyanti tat kim syAt-cyuta-saMvaraH || ŚGs_3,2.13 ||
   ṛjuke kīlake bandhe kaṭhine hāra[kaṃ] haran |	Rjuke kIlake banDe kaWine hAra[kaM] haran |
   utkṣepaṇe ca cauraḥ syāt kuṭile śithile na tu || Śghs_3,2.14 ||	utkzepaNe ca cOraH syAt kuwile SiTile na tu || ŚGs_3,2.14 ||
   chidrayitvā ghaṭaṃ sarpiḥ kṣaudraṃ tailaṃ jalaṃ haran |	CidrayitvA Gawam sarpiH kzOdram tElam jalam haran |
   yatiḥ pūrasya vicchede saṃvarakṣobhamāpnute || Śghs_3,2.15 ||	yatiH pUrasya vicCede saMvara-kzoBam-Apnute || ŚGs_3,2.15 ||
   vaṇṭayamāṇe gṛhe bhrātrorbhāgādekasya lipsayā |	vaNwayamANe gRhe BrAtroH-BAgAt-ekasya lipsayA |
   bālamātraṃ bhūmiṃ yatiḥ syāt kṣatasaṃvaraḥ || Śghs_3,2.16 ||	bAla-mAtram BUmim yatiH syAt kzata-saMvaraH || ŚGs_3,2.16 ||
   taskaropāttapātrādi nirāśaḥ punarādadan |	taskara-upAtta-pAtra-Adi nirASaH punar-Adadan |
   saṃvarād bhraśyate hītotarastvāpnoti nāpadaṃ || Śghs_3,2.17 ||	saMvarAt BraSyate hi-itotaraH-tu-Apnoti na-Apadam || ŚGs_3,2.17 ||
   mitrabhāvena labdhaṃ syād dattaṃ gopādibhiś[ca]vā |	mitra-BAvena labDam syAt dattam gopa-AdiBiH-[ca]vA |
   tadā [tad] ādadānasya yaternāpattiriṣyate || Śghs_3,2.18 ||	tadA [tad] AdadAnasya yateH-na-ApattiH-izyate || ŚGs_3,2.18 ||
   bhayopadarśanaṃ kāryaṃ pātracīvaramuktaye |	Baya-upadarSanam kAryam pAtra-cIvara-muktaye |
   rājani na vaded gatvaibhiścaurair muṣitā vayaṃ || Śghs_3,2.19 ||	rAjani na vadet gatvA-eBiH-cOrEH muzitAH vayam || ŚGs_3,2.19 ||
   niṣkāsayasyupādhyāyācāryāṇāṃ yattadāvathoḥ |	nizkAsayasi-upADyAya-AcAryANAm yat-tadO=-aToH |
   tadityuktvā haredekaḥ syātāṃ dvāvapi taskarau || Śghs_3,2.20 ||	tat-iti-uktvA haret-ekaH syAtAm dvO=-api taskarO || ŚGs_3,2.20 ||
   svadravyaṃ stainyacittenāpaharantāyimau yatī |	sva-dravyam stEnya-cittena-apaharantAyimO yatI |
   bhāgārdhenāyatistveko niṣkāsitārdhenetaraḥ || Śghs_3,2.21 ||	BAga-arDena-AyatiH-tu-ekaH nizkAsita-arDena-itaraH || ŚGs_3,2.21 ||
   dāsyāmaste samaṃ tiṣṭha dvāre kuryāma caurikāṃ |	dAsyAmaH-te samam tizWa dvAre kuryAma cOrikAm |
   ityuktakṛta āpattiḥ sahaiva cauracellakaiḥ || Śghs_3,2.22 ||	iti-ukta-kRtaH ApattiH saha-eva cOra-cellakEH || ŚGs_3,2.22 ||
   uṣitvāgantuke yāte vismṛtya pātracīvaraṃ |	uzitvA-Agantuke yAte vismRtya pAtra-cIvaram |
   āgatya yo yatistacced gopayeccaura eva saḥ || Śghs_3,2.23 ||	Agatya yaH yatiH-tat-ced gopayet-cOraH eva saH || ŚGs_3,2.23 ||
   evamāvāsikā sarve bhavanti kṣatasaṃvarāḥ |	evam-AvAsikA sarve Bavanti kzata-saMvarAH |
