   Mahāsannipātaratnaketudhāraṇī sūtraṃ	MahAsannipAta-ratna-ketu-DAraNI sUtram
   kṣāntidhāraṇa-samādhi-pratilabdhāḥ sarvadharmānāvaraṇajñāḥ	kzAnti-DAraNa--samADi--pratilabDAH sarva-Darma-anAvaraNa-jQAH
   sarvasattvasamacittāḥ sarvamāraviṣayasamatikrāntāḥ	sarva-sattva-sama-cittAH sarva-mAra-vizaya-samatikrAntAH
   sarvatathāgataviṣayāvatārajñānakuśalā mahāmaitrī mahākaruṇāsamanvāgatā	sarva-taTAgata-vizaya-avatAra-jQAna-kuSalA mahA-mEtrI mahA-karuNA-samanvAgatA
   upāyajñānakuśalāḥ /	upAya-jQAna-kuSalAH /
   tasmin samaye rājagṛhe mahānagare dvau prājñau parivrājakau prativasataḥ	tasmin samaye rAja-gRhe mahA-nagare dvO prAjQO parivrAjakO prativasataH
   medhāvinau aṣṭādaśavidyāsthānapāraṃgatau pañcaśataparivārau / tatra eka	meDAvinO azwAdaSa-vidyA-sTAna-pAraMgatO paQca-Sata-parivArO / tatra eka
   upatiṣya aparaśca kolitaḥ / etau dvau gaṇamukhayau parivrājakau parasparaṃ	upatizya aparaH-ca kolitaH / etO dvO gaNa-muKayO parivrAjakO parasparam
   saṃsthāpanaṃ kṛtavantau / yadāvayoścaikaḥ prathamamamṛtamadhigacchet	saMsTApanam kRtavantO / yadA-AvayoH-ca-ekaH praTamam-amRtam-aDigacCet
   tadaparasyārocayitavyam /	tad-aparasya-Arocayitavyam /
   (Dutt 2)	(Dutt 2)
   atha khalu āyuṣmānaśvajit pūrvāṇhakālasame nivāsya pātracīvaramādāya	aTa Kalu AyuzmAn-aSva-jit pUrva-aNha-kAla-same nivAsya pAtra-cIvaram-AdAya
   rājagṛhaṃ piṇḍāya prāviśat / adrākṣīdupatiṣyaḥ parivrājako gocarāya	rAjagRham piNxAya prAviSat / adrAkzIt-upatizyaH parivrAjakaH gocarAya
   prasthitamāyuṣmantamaśvajitaṃ rājagṛhe mahānagare piṇḍāya carantaram /	prasTitam-Ayuzmantam-aSva-jitam rAja-gRhe mahA-nagare piNxAya carantaram /
   dṛṣṭvāsyaitadabhavat / na me kasyacit pūrvaṃ śramaṇasya vā brāhmaṇasya	dRzwvA-asya-etat-aBavat / na me kasyacid pUrvam SramaNasya vA brAhmaNasya
   vānyeṣāṃ vā keṣāṃcin manuṣyabhūtānāmayamevaṃrūpaḥ prāsādikaḥ	vA-anyezAm vA kezAMcid manuzya-BUtAnAm-ayam-evaMrUpaH prAsAdikaH
   īryāpa[thaḥ]yathāsya bhikṣoryattvahametamupasaṃkramya paripṛccheyam /	IryA-pa[TaH]yaTA-asya BikzoH-yat-tu-aham-etam-upasaMkramya paripRcCeyam /
   kaste āyuṣman śāstā kaṃ boddiśya pravrajitaḥ kasya vā dharmo rocate /	kaH-te Ayuzman SAstA kam boddiSya pravrajitaH kasya vA DarmaH rocate /
   athopatiṣyaḥ yenāyuṣmānaśvajit	aTa-upatizyaH yena-AyuzmAn-aSva-jit-
   tenopasaṃkrāmadupasaṃkramyābhyupetyāyuṣmatāśvajitā sārdhaṃ saṃmukhaṃ	tena-upasaMkrAmat-upasaMkramya-aByupetya-AyuzmatA-aSva-jitA sArDam saMmuKam
   saṃmodanīṃ saṃrañjanīṃ vividhāṃ kathāmupasaṃsṛtya [kānte nyaṣīdat / ekānte	saMmodanIm saMraQjanIm viviDAm kaTAm-upasaMsRtya [kAnte nyazIdat / ekAnte
   niṣaṇṇa upatiṣyaḥ] parivrājaka āyuṣmantaśvajitametadavocat / kaste āyuṣman	nizaNNaH upatizyaH] parivrAjakaH Ayuzmanta-Svajitam-etat-avocat / kaH-te Ayuzman
   śāstā kaṃ boddiśya pravrajitaḥ kasya vā dharmo rocate /	SAstA kam boddiSya pravrajitaH kasya vA DarmaH rocate /
   athāyuṣmānaśvaji[dupatiṣyaṃ parivrāja]kametadavocat /	aTa-AyuzmAn-aSva-ji[t-upatizyam parivrAja]kam-etat-avocat /
   śākya[syā]sti suto mahāvratatapāḥ sarvottamo 'smin vaśī	SAkya[sya-a]sti sutaH mahA-vrata-tapAH sarva-uttamaH asmin vaSI
   saṃsārārṇavapārago 'pi jagato muktastathā mocakaḥ /	saMsAra-arNava-pAragaH api jagataH muktaH-taTA mocakaH /
   buddho nāma [vibuddho 'nuttara iha duḥ]khārṇavocchoṣakaḥ	budDaH nAma [vibudDaH anuttaraH iha duH]Ka-arNava-ucCozakaH
   taṃ yātaḥ śaraṇaṃ sadāhamamalo dharmastato rocate // Rkp_1.1 //	tam yAtaH SaraNam sa-dAham-amalaH DarmaH-tatas rocate // RkB-_1.1 //
   upatiṣya āha / kiṃvādī tava śāstā kimākhyāyī / (Dutt 3) āyuṣmānaśva[jidāha	upatizyaH Aha / kiMvAdI tava SAstA kim-AKyAyI / (Dutt 3) AyuzmAn-aSva[jit-Aha
   / tasmāt āyuṣman śṛṇu sādhu ca suṣṭhu ca manasikuru bhāṣiṣye /	/ tasmAt Ayuzman SRNu sADu ca suzWu ca manasikuru BAzizye /
   karmakleśa-sahetukāraṇavatī lokapravṛttiryathā	karma-kleSa--sa-hetu-kAraNavatI loka-pravRttiH-yaTA
   karmakleśanivṛttikāraṇamapi provāca taṃ nāyakaḥ /	karma-kleSa-nivRtti-kAraNam-api provAca tam nAyakaH /
   yasmin janma-jarā-vipattiniyataṃ duḥkhaṃ na santiṣṭhate	yasmin janma--jarA--vipatti-niyatam duHKam na santizWate
   taṃ mokṣapravaraṃ sa vādivṛṣabho jñātvā svayaṃ bhāṣate // Rkp_1.2 //	tam mokza-pravaram sa vAdi-vRzaBaH jQAtvA svayam BAzate // RkB-_1.2 //
   athopatiṣyasya parivrājakasyemaṃ dharmaparyāyaṃ śrutvā virajovigatamalaṃ	aTa-upatizyasya parivrAjakasya-imam Darma-paryAyam SrutvA virajaH-vigata-m-alam
   vigatopakleśaṃ dharmeṣu dharmacakṣurviśuddham / sa srotaāpattiphalaṃ	vigata-upakleSam Darmezu Darma-cakzuH-viSudDam / sa srotaApatti-Palam
   prāptastasyāṃ velāyāmimā gāthā abhāṣata /	prAptaH-tasyAm velAyAm-imAH gATAH aBAzata /
   ..... ..... ..... janmasaritāṃ saṃśoṣaṇī sarvadā	..... ..... ..... janma-saritAm saMSozaNI sarvadA
   yad buddhen sudurlabhaṃ śruta mayā dharmāmṛtaṃ deśitam /	yat budDet su-durlaBam Sruta mayA Darma-amRtam deSitam /
   yadduḥkhavyupaśāntaye ca jagataḥ prajñāvibhāvātulo	yad-duHKa-vyupaSAntaye ca jagataH prajQA-viBA-va-atulo
   ..... ..... ..... mārgo hyayaṃ niṣṭhitaḥ // Rkp_1.3 //	..... ..... ..... mArgaH hi-ayam nizWitaH // RkB-_1.3 //
   athopatiṣyaḥ parivrājakaḥ āyuṣmantamaśvajitametadavocat / kutrāyuṣmā[na	aTa-upatizyaH parivrAjakaH Ayuzmantam-aSva-jitam-etat-avocat / kutra-AyuzmA[na
   viha]ratyarhan samyak saṃbuddhaḥ / āyuṣmānaśvajidāha / (Dutt 4)	viha]rati-arhan samyak saMbudDaH / AyuzmAn-aSva-jit-Aha / (Dutt 4)
   ihaivāyuṣman bhagavān rājagṛhe viharati sma veṇuvane kalandakani [vāpe	iha-eva-Ayuzman BagavAn rAjagRhe viharati sma veNu-vane kalandakani [vApe
   mahābhikṣusaṃghe]na sārdhaṃ yaduta jaṭilasahasreṇa pravrajitena / upatiṣya	mahA-Bikzu-saMGe]na sArDam yat-uta jawila-sahasreNa pravrajitena / upatizya
   āha / eṣo 'haṃ sakhāyaṃ saśiṣyavargamavalokya pravrajiṣyāmi /	Aha / ezaH aham saKAyam sa-Sizya-vargam-avalokya pravrajizyAmi /
   athopatiṣyaḥ parivrājakaḥ āyuṣmato 'śvajitaḥ pādau śirasābhivandya triḥ	aTa-upatizyaH parivrAjakaH AyuzmataH aSva-jitaH pAdO SirasA-aBivandya tris-
   pradakṣiṇaṃ kṛtvā prākrāmat / ya[tra kolitaḥ] tenopajagāma / adrākṣīt	pradakziNam kRtvA prAkrAmat / ya[tra kolitaH] tena-upajagAma / adrAkzIt-
   kolitaḥ parivrājakaḥ upatiṣyaṃ parivrājakaṃ dūrata evāgacchantam / dṛṣṭvā	kolitaH parivrAjakaH upatizyam parivrAjakam dUratas eva-AgacCantam / dRzwvA
   ca punaḥ upatiṣyaṃ pari[vrājakamāha] / viprasannāni te āyuṣmannindriyāṇi	ca punar upatizyam pari[vrAjakam-Aha] / viprasannAni te Ayuzman=-indriyANi
   pariśuddho mukhavarṇaḥ paryavadātaśchavivarṇaḥ / āha / amṛtaṃ te	pariSudDaH muKa-varNaH paryavadAtaH-Cavi-varNaH / Aha / amRtam te
   āyuṣmannadhigatam / upatiṣya [āha / āyuṣma]nnadhigatamamṛtamiti / āyuṣman	Ayuzman=-aDigatam / upatizya [Aha / Ayuzma]n=-aDigatam-amRtam-iti / Ayuzman
   śṛṇu sādhu ca suṣṭhu ca manasikuru bhāṣiṣye 'haṃ te yanmayādhigatam /	SRNu sADu ca suzWu ca manasikuru BAzizye aham te yat-mayA-aDigatam /
   atha kolitaḥ pari[vrājaka e]kāṃsamuttarāsaṅgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ	aTa kolitaH pari[vrAjakaH e]kA-aMsam-uttarAsaFgam kRtvA dakziNam jAnu-maNxalam
   pṛthivyāṃ pratiṣṭhāpya yenopatiṣyaḥ parivrājakastenāñjaliṃ	pRTivyAm pratizWApya yena-upatizyaH parivrAjakaH-tena-aQjalim
   praṇamyai[tadavocat] /	praNamyE[-tat-avocat] /
   yenottareyaṃ tribhavāt jalaughot skandhānmahārīṃśca [vināśayeyam /	yena-uttareyam tri-BavAt jala-oGot skanDAn-mahArIn=-ca [vinASayeyam /
   vada mārgamekaṃ śiva śokahīnaṃ yamatra jāneyaṃ hyapunarbhavāya] // Rkp_1.4	vada mArgam-ekam Siva Soka-hInam yam-atra jAneyam hi-apunarBava-aya] // RkB-_1.4
   (Dutt 5)	(Dutt 5)
   athopati[ṣyaḥ ā]ha /	aTa-upati[zyaH A]ha /
   karmakleśa-sahetukāraṇavatī lokapravṛttiryathā	karma-kleSa--sa-hetu-kAraNavatI loka-pravRttiH-yaTA
   karmakleśanivṛttikāraṇamapi provāca taṃ nāyakaḥ /	karma-kleSa-nivRtti-kAraNam-api provAca tam nAyakaH /
   yasmin janma[jarāvipattiniyataṃ duḥkhaṃ na santiṣṭhate	yasmin janma[-jarA-vipatti-niyatam duHKam na santizWate
   taṃ mokṣapravaraṃ sa vādivṛṣabho jñātvā svayaṃ bhāṣate // Rkp_1.5 //	tam mokza-pravaram sa vAdi-vRzaBaH jQAtvA svayam BAzate // RkB-_1.5 //
   kolito 'pyāha /	kolitaH api-Aha /
   duḥkhasya praśamāya śānta .... ....	duHKasya praSamAya SAntaH .... ....
   [sarvakleśakaṣāya]dṛṣṭidoṣaśamanaṃ cājñānasaṃcchedakam /	[sarva-kleSa-kazAya]-dRzwi-doza-Samanam ca-ajQAna-saMcCedakam /
   tucchaṃ saṃskṛtamātraṃ riktakamataḥ śūnyaṃ visaṃvādakaṃ	tucCam saMskRta-mAtram riktakam-atas SUnyam visaMvAdakam
   bhūyo brūhi padaṃ hi yena vimalaṃ śrutvā [śamaṃ lapsyate] // Rkp_1.6 //	BUyas brUhi padam hi yena vimalam SrutvA [Samam lapsyate] // RkB-_1.6 //
   upatiṣya āha /	upatizyaH Aha /
   karmakleśa-sahetukāraṇavatī lokapravṛttiryathā	karma-kleSa--sa-hetu-kAraNavatI loka-pravRttiH-yaTA
   karmakleśanivṛttikāraṇamapi provāca taṃ nāyakaḥ /	karma-kleSa-nivRtti-kAraNam-api provAca tam nAyakaH /
   yasmin janmajarāvipattiniyataṃ duḥkhaṃ na santiṣṭhate /	yasmin janma-jarA-vipatti-niyatam duHKam na santizWate /
   taṃ mokṣapravaraṃ sa vādivṛṣabho jñātvā svayaṃ bhāṣate // Rkp_1.7 //	tam mokza-pravaram sa vAdi-vRzaBaH jQAtvA svayam BAzate // RkB-_1.7 //
   (Dutt 6)	(Dutt 6)
   atha tatraiva kolitena parivrājakena virajovigatamalaṃ vigatopakleśaṃ	aTa tatra-eva kolitena parivrAjakena virajaH-vigata-malam vigata-upakleSam
   dharmeṣu dharmacakṣurviśuddhaṃ sa śrotaāpattiphalaṃ saṃprāptaḥ / evamāha /	Darmezu Darma-cakzuH-viSudDam sa SrotaApatti-Palam saMprAptaH / evam-Aha /
   oghottāraṇa eṣa bhūtacaraṇaḥ śāntaḥ plavo vegavān	oGa-uttAraNaH eza BUta-caraNaH SAntaH plavaH vegavAn
   naitajjñānavaraṃ triduḥkhaśamanaṃ saṃsārapāragamam /	na-etat-jQAna-varam tri-duHKa-Samanam saMsAra-pAragamam /
   skandhakleśavighāta-māradamano hyeṣā parijñā satī	skanDa-kleSa-viGAta--mArada-manaH hi-ezA parijQA satI
   mokṣo hyeṣa vidhautavairakalaho duḥkhārṇavocchoṣakaḥ // Rkp_1.8 //	mokzaH hi-eza viDOta-vEra-kalahaH duHKa-arNava-ucCozakaH // RkB-_1.8 //
   kolita āha / kutra sa bhagavānetarhi buddho viharati / upatiṣya āha /	kolitaH Aha / kutra sa BagavAn-etarhi budDaH viharati / upatizye Aha /
   śrutaṃ me āyuṣmannihaiva ca sa bhagavān rājagṛhe viharati veṇuvane	Srutam me Ayuzman=-iha-eva ca sa BagavAn rAjagRhe viharati veNu-vane
   kalandakani[vāpe] bhikṣusaṃghena sārdhaṃ bodhisattvasaṃghena sārdham /	kalandaka-ni[vApe] Bikzu-saMGena sArDam boDisattva-saMGena sArDam /
   evaṃ śrutvā upasaṃkramya ekānte nyaṣīdat / āvāṃ bhagavato 'ntike	evam SrutvA upasaMkramya ekAnte nyazIdat / AvAm BagavataH antike
   pravrajyāṃ grahīṣyāvaḥ /	pravrajyAm grahIzyAvaH /
   kolita āha / evam āyuṣman pravrajyaivāstu sahāvayoḥ parivāreṇa /	kolitaH Aha / evam Ayuzman pravrajyA-eva-astu saha-AvayoH parivAreNa /
   upatiṣya-kolitau parivrājakau parivārasaṃghena sārdhaṃ yena bhagavān	upatizya--kolitO parivrAjakO parivAra-saMGena sArDam yena BagavAn
   tenopajagmatuḥ /	tena-upajagmatuH /
   atha tena kṣaṇalavamuhūrtena māraḥ pāpīyānaśrauṣit / yāvaṅgamagadheṣu	aTa tena kzaNa-lava-muhUrtena mAraH pApIyAn-aSrOzit / yO=-aFga-magaDezu
   janapadeṣu vikhyātayaśaskīrttisamanvāgatau satpuruṣā vupatiṣyakolitau	janapadezu viKyAta-yaSaskIrtti-samanvAgatO sat-puruzAH vupatizya-kolitO
   saparivārāvicchataḥ śramaṇasya gautamasya śāsane pravrajyāṃ [grahītum] /	sa-parivArOvicCataH SramaNasya gOtamasya SAsane pravrajyAm [grahItum] /
   evaṃ śrutvā so 'cintayat / (Dutt 7) sa cettau śramaṇasya gautamasya śiṣyau	evam SrutvA saH acintayat / (Dutt 7) sa ced-tO SramaNasya gOtamasya SizyO
   bhaviṣyataḥ śūnyaṃ me māraviṣayaṃ kariṣyataḥ / sāṅkathyataḥ satpuruṣau	BavizyataH SUnyam me mAra-vizayam karizyataH / sa-aFkaTyataH sat-puruzO
   pravrajyāyā vicchedayeyam / atha pāpī[yān acintayat / veṣāntaraṃ parigṛhya	pravrajyAyAH vicCedayeyam / aTa pApI[yAn acintayat / veza-antaram parigRhya
   upasaṃkrameyam] /	upasaMkrameyam] /
   atha tena kṣaṇena māraḥ pāpīyān śīghrameva svabhavanādantardhāyāyuṣmato	aTa tena kzaNena mAraH pApIyAn SIGram-eva sva-BavanAt-antarDAya-AyuzmataH-
   'śvajito veṣaliṅgena ca pathena tayoḥ satpuruṣayoḥ [purataḥ upasaṃkrāntaḥ	aSva-jitaH veza-liFgena ca paTena tayoH sat-puruzayoH [puratas upasaMkrAntaH
   / upasaṃkramya etadavocat /	/ upasaMkramya etat-avocat /
   uktaṃ] sarvamidaṃ mayā hi vitathaṃ hetūpamaṃ kāraṇaṃ	uktaM] sarvam-idam mayA hi vitaTam hetu-upamam kAraNam
   yuvayoreva manaḥ pracāraniyamaṃ vijñātumevaṃ mayā /	yuvayoH-eva manaH pracAra-niyamam vijQAtum-evam mayA /
   sarvaṃ caitadapārthakaṃ hi kathitaṃ nāstyatra hetuḥ punaḥ	sarvam ca-etat-apArTakam hi kaTitam na-asti-atra hetuH punar-
   kṛṣṇasyāsya śubhasya [karmaṇa iha prā]ptiḥ phalaṃ vā kutaḥ // Rkp_1.9 //	kRzNasya-asya SuBasya [karmaNaH iha prA]ptiH Palam vA kutas // RkB-_1.9 //
   kṣipraṃ kāmaguṇeṣvatīva carataṃ kriḍāṃ yuvāṃ vindataṃ	kzipram kAma-guNezu-atIva caratam krixAm yuvAm vindatam
   mṛtyurnāsti na janma nārtijarase lokaḥ paro nāsti vaḥ /	mRtyuH-na-asti na janma na-Arti-ja-rase lokaH paraH na-asti vaH /
   puṇyāpuṇyaphalaṃ ca karmajanitaṃ nāstyatra hetuḥ kriyā	puNya-apuNya-Palam ca karma-janitam na-asti-atra hetuH kriyA
   lābhāya vadatīha śākyatanayo mā śraddhayā gacchatam // Rkp_1.10 //	lABAya vadati-iha SAkya-tanayaH mA SradDayA gacCatam // RkB-_1.10 //
   athopatiṣya-kolitayoretadabhūt / māro vatāyaṃ pāpīyānupa[saṃkrānta āvayoḥ	aTa-upatizya--kolitayoH-etat-aBUt / mAraH vata-ayam pApIyAn-upa[-saMkrAntaH AvayoH
   pravrajyābhicchedanārtham / athopatiṣyaḥ parāṅmukhaḥ	pravrajyA-aBicCedana-arTam / aTa-upatizyaH parAFmuKaH
   [svapa]riṣadamāhūyaivamāha / śṛṇuta yūyaṃ māṇavakāḥ / smarata saṃsāradoṣān	[su-apa]riza-dam-AhUya-evam-Aha / SRNuta yUyam mANavakAH / smarata saMsAra-dozAn
   jarayā pīḍito loko mṛtyunā parivāritaḥ /	jarayA pIxitaH lokaH mRtyunA parivAritaH /
   ubhayostatprahāṇāya pravrajyāṃ sādhu gṛṇhata // Rkp_1.11 //	uBayoH-tad-prahANAya pravrajyAm sADu gRNhate // RkB-_1.11 //
   (Dutt 8)	(Dutt 8)
   [atha] kolito māraṃ provāca /	[aTa] kolitaH mAram provAca /
   te jñātaḥ pravaraḥ satāṃ matidharo dharmastriduḥkhāntakṛt	te jQAtaH pravaraH satAm matiDaraH DarmaH-tri-duHKa-anta-kRt-
   kaścinnāsti yadāvayormatimimāṃ vyu[ccā]layet sarvathā /	kaScid-na-asti yat-A-AvayoH-matim-imAm vyu[t-cA]layet sarvaTA /
   tṛṣṇāyāḥ praśamāya dhīramanasā vācāṃ [sadā] vyutthitau	tRzNAyAH praSamAya DIra-manasA vAcAm [sadA] vyutTitO
   mā siṃhākṛtinā śṛgālavacanairāvāṃ materbhrāmaya // Rkp_1.12 //	mA siMha-AkRtinA SRgAla-vacanEH-AvAm mateH-BrAmaya // RkB-_1.12 //
   yāśca devatā dṛṣṭasatyāstā gaganasthitāstābhyāṃ satpuruṣābhyaṃ sādhukāraṃ	yAH-ca devatAH dRzwa-satyAH-tAH gagana-sTitAH-tAByAm sat-puruza-aByam sADu-kAram
   pradaduḥ / sādhu sādhu satpuruṣāḥ sarvalokaviśru[ta] eṣa mārgo yaduta	pradaduH / sADu sADu sat-puruzAH sarva-loka-viSru[ta] eza mArgaH yat-uta
   pravrajyāniṣkramaḥ / sarvaduḥkhopaśānta eṣa mārgaḥ /	pravrajyA-nizkramaH / sarva-duHKa-upaSAntaH eza mArgaH /
   sarvatathāgatagocarāvatāra eṣa mārgaḥ sarvabuddhairbhagavadbhirvarṇitaḥ /	sarva-taTAgata-gocara-avatAraH eza mArgaH sarva-budDEH-BagavadBiH-varNitaH /
   praśasta eṣa mārgaḥ /	praSastaH eza mArgaH /
   atha khalu māraḥ pāpīyān duḥkhito durmanā vipratisārī tatraivāntarjagāma /	aTa Kalu mAraH pApIyAn duHKitaH durmanAH vipratisArI tatra-eva-antar-jagAma /
   atha khalu upatiṣyakolitau parivrājakau svapariṣadamavalokyaitad vacanam	aTa Kalu upatizya-kolitO parivrAjakO sva-parizadam-avalokya-etat vacanam
   ūcatuḥ / yat khalu māṇavakā yūyaṃ jānīdhvamāvāṃ	UcatuH / yat Kalu mANavakAH yUyam jAnIDvam-AvAm
   jarāmaraṇasāgarapāraṃgamāya tathāgatamuddiśya (Dutt 9) pravrajyāṃ	jarA-maraNa-sAgara-pAraMgamAya taTAgatam-uddiSya (Dutt 9) pravrajyAm
   saṃprasthitau / yaḥ punaryuṣmākaṃ necchati bhagavataḥ śāsane pravrajitum	saMprasTitO / yaH punar-yuzmAkam na-icCati BagavataH SAsane pravrajitum
   ihaiva nivartatām / sarvāṇi ca tāni pañca māṇavakaśatānyevamāhuḥ / yat	iha-eva nivartatAm / sarvANi ca tAni paQca mANavaka-SatAni-evam-AhuH / yat-
   kiñcid vayaṃ jānīmastat sarva yuvayoranubhāvena / nūnaṃ yuvāmudāre sthāne	kiQcid vayam jAnImaH-tat sarva yuvayoH-anuBAvena / nUnam yuvAm-udAre sTAne
   pra[vrajitau / yam uddiśya pravrajitau yuvāṃ tamuddiśya] vayamapi	pra[vrajitO / yam uddiSya pravrajitO yuvAm tam-uddiSya] vayam-api
   pravrajiṣyāmaḥ /	pravrajizyAmaH /
   athopatiṣyakolitau parivrājakau pañcaśataparivārau bhagavantamuddiśya	aTa-upatizya-kolitO parivrAjakO paQca-Sata-parivArO Bagavantam-uddiSya
   pravrajyāyāṃ saṃprasthitau viditvā māraḥ pāpīyān bahirdeśe rājagṛhasya	pravrajyAyAm saMprasTitO viditvA mAraH pApIyAn bahis-deSe rAjagRhasya
   mahānagarasya mahāprapātamabhinirmitavān yojanaśatānāmadhastāt yathā tau	mahA-nagarasya mahA-prapAtam-aBinirmitavAn yojana-SatAnAm-aDastAt yaTA tO
   na śakṣyataḥ śramaṇasya gautamasyāntikamupasaṃkramitumiti / bhagavāṃśca	na SakzyataH SramaNasya gOtamasya-antikam-upasaMkramitum-iti / BagavAn=-ca
   punastādṛśī[mṛddhimabhinirmimīte yena]tāvupatiṣyakolitau parivrājakau taṃ	punar-tAdRSI[-m-RdDim-aBinirmimIte yena-]tO=-upatizya-kolitO parivrAjakO tam
   mahāprapātaṃ na dadarśatuḥ ṛjunā mārgeṇa gacchantau / punarapi māraḥ	mahA-prapAtam na dadarSatuH RjunA mArgeNa gacCantO / punar-api mAraH
   pāpīyāṃstayoḥ purataḥ parvatamabhinirmimīte [kaṭhinamekaghanamabhedyaṃ]	pApIyAn=-tayoH puratas parvatam-aBinirmimIte [kaWinam-eka-Ganam-aBedyaM]
   suṣiraṃ yojanasahasramuccaistvena sahasraṃ ca siṃhānāmabhinirmimīte	suziram yojana-sahasram-uccEstvena sahasram ca siMhAnAm-aBinirmimIte
   caṇḍānāṃ duṣṭānāṃ ghorāṇām / tau ca satpuruṣau	caNxAnAm duzwAnAm GorANAm / tO ca sat-puruzO
   bhagavatastejasāpyanubhāvena na ca dadarśatuḥ siṃham / na ca siṃhanādaṃ	BagavataH-tejasA-api-anuBAvena na ca dadarSatuH siMham / na ca siMhanAdam
   śuśruvatuḥ / ṛjunā ca mārgeṇa yena bhagavāṃstenopacakramatuḥ /	SuSruvatuH / RjunA ca mArgeNa yena BagavAn=-tena-upacakramatuH /
   bhagavāṃścānekaśatasahasrayā pariṣadā parivṛtaḥ [puraskṛto dharmaṃ]	BagavAn=-ca-aneka-Sata-sahasrayA parizadA parivRtaH [puraskRtaH DarmaM]
   deśayati sma /	deSayati sma /
   atha khalu bhagavān bhikṣūnāmantrayate sma / paśyata yūyaṃ bhikṣavaḥ etau	aTa Kalu BagavAn BikzUn-Amantrayate sma / paSyata yUyam BikzavaH etO
   dvau satpuruṣau gaṇapramukhau gaṇaparivārau / anupaśyāmo (Dutt 10) vayaṃ	dvO sat-puruzO gaNa-pramuKO gaNa-parivArO / anupaSyAmaH (Dutt 10) vayam
   bhagavan / bhagavānāha / abhyanujñātau etau dvau satpuruṣau saparivārau	Bagavan / BagavAn-Aha / aByanujQAtO etO dvO sat-puruzO sa-parivArO
   mamāntike [pravrajiṣyataḥ /] pravrajitvā eko mama sarvaśrāvakāṇāṃ	mama-antike [pravrajizyataH /] pravrajitvA ekaH mama sarva-SrAvakANAm
