   (Vaidya 221)	(VEdyaH 221)
   pītanirbhāsaḥ | na khalu punarahaṃ bhagavan abhijānāmi itaḥ pūrvataramevaṃ	pIta-nirBAsaH | na Kalu punar-aham Bagavan aBijAnAmi itas pUrvataram-evam
   viprasannāni tathāgatasyendriyāṇi evaṃ poariśuddhaṃ mukhavarṇaṃ	viprasannAni taTAgatasya-indriyANi evam poari-SudDam muKa-varNam
   paryavadātaṃ chavivarṇaṃ pītanirbhāsam | tasya me bhagavan evaṃ bhavati -	paryavadAtam Cavi-varNam pIta-nirBAsam | tasya me Bagavan evam Bavati -
   buddhavihāreṇa batādya tathāgato vihārati, jinavihāreṇa sarvajñatāvihāeṇa	budDa-vihAreNa bata-adya taTAgataH vihArati, jina-vihAreNa sarvajQa-tA-vihAeNa
   | mahānāgavihāreṇa batādya tathāgato viharati | atītānāgatapratyutpannān	| mahA-nAga-vihAreNa bata-adya taTAgataH viharati | atIta-anAgata-pratyutpannAn
   vā tathāgatānarhataḥ samyaksaṃbuddhān samanusmaratīti | evamukte	vA taTAgatAn-arhataH samyaksaMbudDAn samanusmarati-iti | evam-ukte
   bhagavānāyuṣmantamānandametadavocat - sādhu sādhvānanda | kiṃ punaste	BagavAn-Ayuzmantam-Anandam-etat-avocat  sADu sADu-Ananda | kim punar-te
   devatā etamarthamārocayanti, utāho buddhā bhagavntaḥ? atha tena	devatAH etam-arTam-Arocayanti, uta-aho budDAH BagavntaH? aTa tena
   pratyutpannamīmāṃsājñānenaivaṃ prajānāsīti? evamukte āyuṣmānānando	pratyutpannamImAMsa-ajQAnena-evam prajAnAsIti? evam-ukte AyuzmAn-AnandaH-
   bhagavantametadavocat - na me bhagavan devatā etamarthamārocayanti, nāpi	Bagavantam-etat-avocat  na me Bagavan devatAH etam-arTam-Arocayanti, na-api
   buddhā bhagavantaḥ | atha tarhi me bhagavaṃstenaiva	budDAH BagavantaH | aTa tarhi me Bagavan=-tena-eva
   pratyātmamīmāṃsājñānenaivaṃ bhavati - buddhavihāreṇādya tathāgato viharati	pratyAtma-mImAMsA-jQAnena-evam Bavati  budDa-vihAreNa-adya taTAgataH viharati
   | jinavihāreṇa sarvajñatāvihāreṇa batādya tathāgato viharati |	| jina-vihAreNa sarvajQa-tA-vihAreNa bata-adya taTAgataH viharati |
   atītānāgatapratyutpannān vā buddhān bhagavataḥ samanusmaratīti | evamukte	atIta-anAgata-pratyutpannAn vA budDAn BagavataH samanusmarati-iti | evam-ukte
   bhagavānāyuṣmantamānandametadavocat - sādhu sādhvānanda | udāraḥ khalu te	BagavAn-Ayuzmantam-Anandam-etat-avocat  sADu sADu-Ananda | udAraH Kalu te
   unmiñjaḥ,bhadrikā mīmāṃsā,kalyāṇaṃ pratibhānam | bahujanahitāya tvamānanda	unmiQjaH,BadrikA mImAMsA,-kalyANam pratiBAnam | bahu-jana-hitAya tvam-Ananda
   pratipanno bahujanasukhāya lokānukampāyai mahato janakāyayārthāya hitāya	pratipannaH bahu-jana-suKAya loka-anukampAyE mahataH jana-kAyaya-arTAya hitAya
   sukhāya devānāṃ ca manuṣyāṇāṃ ca, yastvaṃ tathāgatamarthaṃ paripraṣṭavyaṃ	suKAya devAnAm ca manuzyANAm ca, yaH-tvam taTAgatam-arTam pariprazwavyam
   manyase | evameva bhagavatsu ānandastathāgateṣvarhatsu samyaksaṃbuddheṣu	manyase | evam-eva Bagavatsu AnandaH-taTAgatezu-arhatsu samyaksaMbudDezu
   aprameyeṣu asaṃkhyeyeṣu jñānadarśanamupasaṃharet, na tathāgatasya	aprameyezu asaMKyeyezu jQAna-darSanam-upasaMharet, na taTAgatasya
   jñānamupahanyeta | tatkasya hetoḥ? apratihatahetujñānadarśano hyānanda	jQAnam-upahanyeta | tat-kasya hetoH? apratihata-hetu-jQAna-darSanaH hi-Ananda
   tathāgataḥ | jñānamākāṅkṣannānanda tathāgataḥ ekapiṇḍapātena kalpaṃ vā	taTAgataH | jQAnam-AkAFkzan=-a-Ananda taTAgataH eka-piNxapAtena kalpam vA
   tiṣṭhet kalpaśataṃ vā kalpaśatasahasraṃ vā	tizWet kalpa-Satam vA kalpa-Sata-sahasram vA
   yāvatkalpakoṭīniyutaśatasahasraṃ vā, tato vottari tiṣṭhet, na ca	yAvat-kalpa-kowI-niyuta-Sata-sahasram vA, tatas vA-uttari tizWet, na ca
   tathāgatasyendriyāṇyupanaśyeyuḥ, na mukhavarṇasyānyathātvaṃ bhavet, nāpi	taTAgatasya-indriyANi-upanaSyeyuH, na muKa-varNasya-anyaTAtvam Bavet, na-api
   cchavivarṇa upahanyeta | tatkasya hetoḥ? tathā hi ānanda tathāgataḥ	cCavi-varNaH upahanyeta | tat-kasya hetoH? taTA hi Ananda taTAgataH
   samādhimukhapāramitāprāptaḥ | samyaksaṃbuddhānāmānanda loke sudurlabhaḥ	samADi-muKa-pAramitA-prAptaH | samyaksaMbudDAnAm-Ananda loke su-durlaBaH
   prādurbhāvaḥ | tadyathā audumbarapuṣpāṇāṃ loke prādurbhāvaḥ sudurlabho	prAdurBAvaH | tat-yaTA Odumbara-puzpANAm loke prAdurBAvaH su-durlaBaH-
   bhavati, evameva ānanda tathāgatānāmarthakāmānāṃ hitaiṣīṇāmanukampakānāṃ	Bavati, evam-eva Ananda taTAgatAnAm-arTa-kAmAnAm hita-ezINAm-anukampakAnAm
   mahākaruṇāpratipannānāṃ sudurlabhaḥ prādurbhāvaḥ | api tu khalvānanda	mahA-karuNa-apratipannAnAm su-durlaBaH prAdurBAvaH | api tu KalvAnanda
   tathāgatasyaiva so 'nubhāvo yastvaṃ sarvalokācāryāṇāṃ sattvānāṃ loke	taTAgatasya-eva saH anuBAvaH yaH-tvam sarva-loka-AcAryANAm sattvAnAm loke
   prādurbhāvāya bodhisattvānāṃ mahāsattvānāmarthāya tathāgatametamarthaṃ	prAdurBAvAya boDisattvAnAm mahAsattvAnAm-arTAya taTAgatam-etam-arTam
   paripraṣṭavyaṃ manyase | tena hyānanda śṛṇu, sādhu ca suṣṭhu ca manasikuru	pariprazwavyam manyase | tena hi-Ananda SRNu, sADu ca suzWu ca manasikuru
   | bhāṣiṣye 'haṃ te | evaṃ bhagavan ityāyuṣmānānando bhagavataḥ	| BAzizye aham te | evam Bagavan iti-AyuzmAn-AnandaH BagavataH
   pratyaśrauṣīt || Sukhv_2 ||	pratyaSrOzIt || SuKu-_2 ||
   START Sukhv 3:	START SuKu 3:
   bhagavānānandametadavocat - bhūtapūrvamānanda atīte 'dhvani ito 'saṃkhyeye	BagavAn-Anandam-etat-avocat  BUta-pUrvam-Ananda atIte aDvani itas asaMKyeye
   kalpe 'saṃkhyeyatare vipule 'prameye 'cintye yadāsīt | tena kālena tena	kalpe asaMKyeyatare vipule aprameye acintye yadA-AsIt | tena kAlena tena
   samayena dīpaṃkaro nāma tathāgato 'rhan samyaksaṃbuddho loka udapādi |	samayena dIpaMkaraH nAma taTAgataH arhan samyaksaMbudDaH loke udapAdi |
   dīpaṃkarasyānanda pareṇa parataraṃ pratāpavānnāma tathāgato 'bhūt | tasya	dIpaMkarasya-Ananda pareNa parataram pratApavAn-nAma taTAgataH aBUt | tasya
   pareṇa parataraṃ prabhākaro nāma tathāgato 'bhūt | tasya pareṇa parataraṃ	pareNa parataram praBAkaraH nAma taTAgataH aBUt | tasya pareNa parataram
   candanagandho nāma tathāgato 'bhūt | tasya pareṇa parataraṃ sumerukalpo	candanaganDaH nAma taTAgataH aBUt | tasya pareNa parataram sumeru-kalpaH-
   nāma tathāgato 'bhūt | (Sukhv, Vaidya 223) evaṃ candano nāma, vimalānano	nAma taTAgataH aBUt | (SuKv, VEdyaH 223) evam candanaH nAma, vimala-AnanaH-
   nāma, anupalipto nāma, vimalaprabho nāma, nāgābhibhūrnāma, sūryodano nāma,	nAma, anupaliptaH nAma, vimala-praBaH nAma, nAga-aBiBUH-nAma, sUryodanaH nAma,
   girirājaghoṣo nāma, merukūṭo nāma, suvarṇaprabho nāma, jyotiṣprabho nāma,	girirAjaGozaH nAma, merukUwaH nAma, suvarNapraBaH nAma, jyotizpraBaH nAma,
   vaiḍūryanirbhāso nāma, brahmaghoṣo nāma, candrābhibhūrnāma, tūryaghoṣo	vExUrya-nirBAsaH nAma, brahmaGozaH nAma, candra-aBiBUH-nAma, tUrya-GozaH-
   nāma, muktakusumapratimaṇḍitaprabho nāma, śrīkūṭo nāma,	nAma, muktakusumapratimaNxita-praBaH nAma, SrIkUwaH nAma,
   sāgaravarabuddhivikrīḍitābhijño nāma, varaprabho nāma,	sAgara-vara-budDi-vikrIxita-aBijQaH nAma, varapraBaH nAma,
   mahāgandharājanirbhāso nāma, vyapagatakhilamalapratighoṣo nāma, śūrakūṭo	mahAganDarAja-nirBAsaH nAma, vyapagata-Kila-mala-pratiGozaH nAma, SUrakUwaH-
   nāma, raṇaṃjaho nāma, mahāguṇadharabuddhiprāptābhijño nāma,	nAma, raNaMjahaH nAma, mahA-guNa-Dara-budDi-prApta-aBijQaH nAma,
   candrasūryajihmīkaraṇo nāma, uttaptavaiḍūryanirbhāso nāma,	candra-sUryajihmIkaraNaH nAma, uttapta-vExUrya-nirBAsaH nAma,
   cittadhārābuddhisaṃkusumitābhyudgato nāma,	citta-DArA-budDi-saMkusu-mitA-aByudgataH nAma,
   puṣpāvatīvanarājasaṃkusumitābhijño nāma, puṣpākaro nāma, udakacandro nāma,	puzpAvatI-vana-rAja-saMkusumita-aBijQaH nAma, puzpAkaraH nAma, udakacandraH nAma,
   avidyāndhakāravidhvaṃśanakaro nāma, lokendro nāma,	avidyA-anDakAraviDvaMSana-karaH nAma, loka-indraH nAma,
   muktacchtrapravātasadṛśo nāma, tiṣyo nāma, dharmamativinanditarājo nāma,	muktacStra-pravAta-sadRSaH nAma, tizyaH nAma, Darmam-ati-vinandita-rAjaH nAma,
   siṃhasāgarajūūṭavinanditarājo nāma, sāgaramerucandro nāma,	siMhasAgarajUUwavinandita-rAjaH nAma, sAgaramerucandraH nAma,
   bramhasvaranādābhinandito nāma, kusumasaṃbhavo nāma prāptaseno nāma,	bramhasvaranAda-aBinanditaH nAma, kusumasaMBavaH nAma prAptasenaH nAma,
   candrabhānurnāma, candraprabho nāma, vimalanetro nāma, girirājaghoṣośvaro	candraBAnuH-nAma, candrapraBaH nAma, vimala-netraH nAma, giri-rAja-Goza-uSvaraH-
   nāma, kusumaprabho nāma, kusumavṛṣṭyabhiprakīrṇo nāma, ratnacandro nāma,	nAma, kusumapraBaH nAma, kusuma-vRzwi-aBiprakIrNaH nAma, ratnacandraH nAma,
   padmabimbyupaśobhito nāma, candanagandho nāma, ratnābhibhāso nāma	padma-bimbI-upaSoBitaH nAma, candanaganDaH nAma, ratnABiBAsaH nAma
   nimirnāma, mahāvyūho nāma, vyapagatakhiladoṣo nāma, bramhaghoṣo nāma,	nimiH-nAma, mahA-vyUhaH nAma, vyapagata-Kila-dozaH nAma, bramhaGozaH nAma,
   saptaratnābhivṛṣṭo nāma, mahāguṇadharo nāma, mahātamālapatracandanakardamo	sapta-ratna-aBivRzwaH nAma, mahA-guNa-DaraH nAma, mahA-tamAla-patra-candana-kardamaH-
   nāma, kusukābhijño nāma, ajñānavidhvaṃsano nāma, kesarī nāma, muktacchatro	nAma, kusukA-aBijQaH nAma, ajQAnaviDvaMsanaH nAma, kesarI nAma, mukta=-Catro
   nāma, suvarṇagarbho nāma, vaiḍūryagarbho nāma, mahāketurnāma,	nAma, suvarNagarBaH nAma, vExUrya-garBaH nAma, mahAketuH-nAma,
   dharmaketurnāma, ratnaketurnāma, ratnaśrīrnāma, kolendro nāma, narendro	DarmaketuH-nAma, ratnaketuH-nAma, ratnaSrIH-nAma, kola-indraH nAma, narendraH-
   nāma, kāruṇiko nāma, lokasundaro nāma, bramhaketurnāma, dharmaketurnāma,	nAma, kAruNikaH nAma, lokasundaraH nAma, bramhaketuH-nAma, DarmaketuH-nAma,
   siṃho nāmasiṃhamatirnāma | siṃhamaterānanda pareṇa parataraṃ lokeśvararājo	siMhaH nAmasiMhamatiH-nAma | siMha-mateH-Ananda pareNa parataram loka-ISvara-rAjaH-
   nāma tathāgato 'rhan samyaksaṃbuddho loka udapādi vidyācaraṇasaṃpannaḥ	nAma taTAgataH arhan samyaksaMbudDaH loke udapAdi vidyA-caraNa-saMpannaH
   sugato lokavidanuttaraḥ puruṣadamyasārathiḥ śāstā devānāṃ ca manuṣyāṇāṃ ca	sugataH loka-vid-anuttaraH puruza-damya-sAraTiH SAstA devAnAm ca manuzyANAm ca
   buddho bhagavān | tasya khalu punarānanda lokeśvararājasya tathāgata,	budDaH BagavAn | tasya Kalu punar-Ananda lokeSvara-rAjasya taTAgata,
   syārhataḥ samyaksaṃbuddhasya pravacane dharmākaro nāma	syArhataH samyaksaMbudDasya pravacane Darma-AkaraH nAma
   bhikṣubhūdadhimātraṃ smṛtimān matimān gatimān prajñāvan, adhimātraṃ	Bikzu-BU-udaDi-mAtram smRtimAn matimAn gatimAn prajQA-van, aDimAtram
   vīryavān udārādhimuktikaḥ || Sukhv_3 ||	vIryavAn udAra-aDimuktikaH || SuKu-_3 ||
   START Sukhv 4:	START SuKu 4:
   atha khalvānanda sa dharmākaro bhikṣurutthāyāsanādekāṃsamuttarāsaṅgaṃ	aTa KalvAnanda sa Darma-AkaraH BikzuH-utTAya-AsanAt-eka-aMsam-uttarAsaFgam
   kṛtvā dakṣiṇajānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yenāsau	kRtvA dakziNa-jAnu-maNxalam pRTivyAm pratizWApya yena-asO
   bhagavāṃllokeśvararājastathāgatastenāñjaliṃ praṇamya bhagavantaṃ	BagavAn=-loka-ISvara-rAjaH-taTAgataH-tena-aQjalim praNamya Bagavantam
   namaskṛtya tasminneva samaye saṃmukhamābhirgāthābhirabhyaṣṭāvīt -	namaskRtya tasmin=-eva samaye saMmuKam-ABiH-gATABiH-aByazwAvIt -
   amitaprabha anantatulyabuddhe na ca iha anya prabhā vibhāti kācit /	amita-praBa ananta-tulya-budDe na ca iha anyaH praBA viBAti kAcid /
   sūryamaṇigirīśacandraābhā na tapita bhosiṣu ebhi sarvaloke // Sukhv_vs_1	sUrya-maNi-girISa-candraa-ABAH na tapita Bosizu eBi sarva-loke // SuKu-_vH-_1
   rūpamapi anantu attvasāre tatha api buddhasvaro anantaghoṣaḥ /	rUpam-api anantu attva-sAre taTa api budDa-svaraH ananta-GozaH /
   (Sukhv, Vaidya 224)	(SuKv, VEdyaH 224)
   śīlamapi samādhiprajñavīryaiḥ sadṛśu na te 'stiha loki kaścidanyaḥ //	SIlam-api samADi-prajQa-vIryEH sadRSu na te astiha loki kaScid-anyaH //
   Sukhv_vs_2 //	SuKu-_vH-_2 //
   gabhiru vipulu sūkṣmaprāptu dharmo 'cintitu buddhavaro yathā samudraḥ /	gaBiru vipulu sUkzma-prAptu DarmaH acintitu budDa-varaH yaTA samudraH /
   tenonnamanā na cāsti śāstuḥ khiladoṣān jahyā ato 'dhikālam // Sukhv_vs_3	tena-unnamanAH na ca-asti SAstuH Kila-dozAn jahyAH atas aDikAlam // SuKu-_vH-_3
   atha buddhabalā anantatejā pratapati sarvadiśā narendrarājā /	aTa budDa-balAH ananta-tejAH pratapati sarva-diSA narendra-rAjA /
   tatha ahu buddha bhavi dharmasvāmī jaramaraṇātprajāṃ pramocayeyam //	taTaH ahu budDa Bavi Darma-svAmI jara-maraNAt-prajAm pramocayeyam //
   Sukhv_vs_4 //	SuKu-_vH-_4 //
   dānaśamathaśīlakṣāntivīrya dhyānasamādhitaścaiva agraśreṣṭhāṃ /	dAna-SamaTa-SIla-kzAnti-vIrya DyAna-samADitaH-ca-eva agra-SrezWAm /
   ebhi ahu vratāṃ samādadāmi buddha bhaviṣyami sarvasattvatrātā //	eBi ahu vratAm samAdadAmi budDa Bavizyami sarva-sattva-trAtA //
   Sukhv_vs_5 //	SuKu-_vH-_5 //
   buddhaśatasahasra koṭyanekā yathariva vālika gaṅgayā anantā /	budDa-Sata-sahasra kowI-anekAH yaTariva vAlika gaFgayA anantA /
   sarvata ahu pūjayiṣya nāthāṃ śivavarabodhigaveṣako atulyāṃ // Sukhv_vs_6	sarvatas ahu pUjayizya nATAm Siva-vara-boDi-gavezakaH atulyAm // SuKu-_vH-_6
   gaṅgārajasamānalokadhātūṃ tatra bhūyo 'ntari ye anantakṣetrāḥ /	gaFgA-raja-samAna-loka-DAtUm tatra BUyas antari ye ananta-kzetrAH /
   sarvatra prabha muñcayiṣya tatrā iti etādṛśa vīryamārabhidhya //	sarvatra praBa muQcayizya tatrA iti etAdRSa vIryam-AraBiDya //
   Sukhv_vs_7 //	SuKu-_vH-_7 //
   kṣetra mama udāru agra śreṣṭho varamiha malī(?) saṃskṛte 'smiṃ /	kzetra mama udAru agre SrezWaH varam-iha malI(?) saMskRte asmim /
   asadṛśa nirvāṇadhātusaukhyaṃ taśca(cca?) asattvatayā viśodhayiṣye //	asadRSa nirvANa-DAtu-sOKyam tas-ca(cca?) asattva-tayA viSoDayizye //
   Sukhv_vs_8 //	SuKu-_vH-_8 //
   daśadiśata samāgatāni sattvāḥ tatra gatā sukha me diśanti kṣipram /	daSa-diSata samAgatAni sattvAH tatra gatA suKa me diSanti kzipram /
   buddha mama pramāṇu atra śikṣī avitathavīryabalaṃ janemi chandam //	budDa mama pramANu atra SikzI avitaTa-vIrya-balam janemi Candam //
   Sukhv_vs_9 //	SuKu-_vH-_9 //
   daśadiśalokavidasaṅgajñānī sada mama citta prajānayanti te 'pi /	daSa-diSa-loka-vidasaFga-jQAnI sada mama citta prajAnayanti te api /
   avicigatu ahaṃ sadā vaseyaṃ praṇidhibalaṃ na punarvivartayiṣye //	avicigatu aham sadA vaseyam praNiDi-balam na punar-vivartayizye //
   Sukhv_vs_10 //	SuKu-_vH-_10 //
   || Sukhv_4 ||	|| SuKu-_4 ||
   START Sukhv 5:	START SuKu 5:
   (Sukhv, Vaidya 225)	(SuKv, VEdyaH 225)
   atha khalvānanda sa dharmākaro bhikṣustaṃ bhagavantaṃ lokeśvararājaṃ	aTa KalvAnanda sa Darma-AkaraH BikzuH-tam Bagavantam loka-ISvara-rAjam
   tathāgataṃ saṃmukhamābhirgāthābhirabhiṣṭutya etadavocat - ahamasmi	taTAgatam saMmuKam-ABiH-gATABiH-aBizwutyaH etat-avocat  aham-asmi
   bhagavan uttarāṃ samyaksaṃbodhimabhisaṃboddhukāmaḥ | punaḥ	Bagavan uttarAm samyaksaMboDim-aBisaMbodDu-kAmaH | punar-
   punaranuttarāyāṃ samyaksaṃbodhau cittamutpādayāmi pariṇāmayāmi | tasya me	punar-anuttarAyAm samyaksaMboDO cittam-utpAdayAmi pariNAmayAmi | tasya me
   bhagavān śāstā tathā dharmaṃ deśayatu, yathāhaṃ kṣipramanuttarāṃ	BagavAn SAstA taTA Darmam deSayatu, yaTA-aham kzipram-anuttarAm
   samyaksaṃbodhimabhisaṃbudhyeyam | asamasamastathāgato loke bhaveyam |	samyaksaMboDim-aBisaMbuDyeyam | asamasamaH-taTA-gataH loke Baveyam |
   tāṃśca bhagavānākārān parikīrtayatu yairahaṃ buddhakṣetrasya	tAn=-ca BagavAn-AkArAn parikIrtayatu yEH-aham budDa-kzetrasya
   guṇavyūhasaṃpadaṃ parigṛhṇīyām | evamukte ānanda	guNa-vyUha-saMpadam parigRhNIyAm | evam-ukte Ananda
   bhagavāṃllokeśvararājastathāgatastaṃ bhikṣumetadavocat - tena hi tvaṃ	BagavAn=-loka-ISvara-rAjaH-taTAgataH-tam Bikzum-etat-avocat  tena hi tvam
   bhikṣo svayameva buddhakṣetraguṇālaṃkāravyūhasaṃpadaṃ parigṛhṇīṣva | so	BikzaH svayam-eva budDa-kzetra-guNa-alaMkAra-vyUha-saMpadam parigRhNIzva | saH-
   'vocat - nāhaṃ bhagavaṃstatsaheyam, api tu bhagavāneva | bhāṣasva anyeṣāṃ	avocat  na-aham Bagavan=-tad-saheyam, api tu BagavAn-eva | BAzasva anyezAm
   tathāgatānāṃ buddhakṣetraguṇavyūhālaṃkārasaṃpadam, yāṃ śrutvā vayaṃ	taTAgatAnAm budDa-kzetra-guNa-vyUha-alaMkAra-saMpadam, yAm SrutvA vayam
   sarvākāraṃ paripūrayiṣyāma iti | athānanda sa lokeśvararājastathāgato	sarva-AkAram paripUrayizyAmaH iti | aTa-Ananda sa lokeSvara-rAjaH-taTAgataH-
   'rhan samyaksaṃbuddhastasya bhikṣurāśayaṃ jñātvā paripūrṇāṃ	arhan samyaksaMbudDaH-tasya Bikzu-H-ASayam jQAtvA paripUrNAm
   varṣakoṭīmekāśītibuddhakoṭīniyutaśatasahasrāṇāṃ	varza-kowIm-ekASIti-budDa-kowI-niyuta-Sata-sahasrANAm
   buddhakṣetraguṇālaṃkāravyūhasaṃpadaṃ sākārāṃ soddeśāṃ sanirdeśāṃ	budDa-kzetra-guNa-alaMkAra-vyUha-saMpadam sa-AkArAm sa-uddeSAm sa-nirdeSAm
   saṃprakāśitavānarthakāmo hitaiṣī anukampako 'nukampāmupādāya	saMprakASitavAn-arTa-kAmaH hita-ezI anukampakaH anukampAm-upAdAya
