   Garbhopaniṣat	GarBa-upanizad-
   medasaḥ snāyavaḥ snāyubhyo 'sthīni asthibhyo majjā majjātaḥ śukraṃ	medasaH snAyavaH snAyuByaH asTIni asTiByaH majjA majjAtaH Sukram
   śukraśoṇitasaṃyogād āvartate garbho hṛdi vyavasthāṃ nayati hṛdaye 'ntar	Sukra-SoNita-saMyogAt Avartate garBaH hRdi vyavasTAm nayati hRdaye antar
   āgniḥ agnisthāne pittaṃ pittasthāne vāyuḥ vāyuto hṛdayaṃ prājāpatyāt	AgniH agni-sTAne pittam pitta-sTAne vAyuH vA-ayutaH hRdayam prAjApatyAt-
   kramāt || GarUp_3	kramAt || GarUp_3
   ṛtukāle samprayogād ekarātroṣitaṃ kalalaṃ bhavati saptarātroṣitaṃ budbudam	Rtu-kAle samprayogAt eka-rAtra-uzitam kalalam Bavati sapta-rAtra-uzitam budbudam
   ardhamāsābhyantare piṇḍaṃ māsābhyantare kaṭhinaṃ māsadvayena śiraḥ	arDa-mAsa-aByantare piNxam mAsa-aByantare kaWinam mAsa-dvayena SiraH
   māsatrayeṇa pādapradeśaḥ caturthe gulphajaṭharakaṭipradeśāḥ pañcame	mAsa-trayeNa pAda-pradeSaH caturTe gulPa-jaWara-kawi-pradeSAH paQcame
   pṛṣṭhavaṃśaḥ ṣaṣṭhe mukhanāsikākṣiśrotrāṇi saptame jīvena saṃyuktaḥ aṣṭame	pRzWavaMSaH zazWe muKa-nAsikA-akzi-SrotrANi saptame jIvena saMyuktaH azwame
   sarvalakṣaṇasampūrṇaḥ / pitū reto'tirekāt puruṣaḥ mātū reto'tirekāt strī	sarva-lakzaNa-sampUrNaH / pituH retaH-atirekAt puruzaH mAtuH retaH-atirekAt strI
   ubhayor vojatulyatvān napaṃusakaṃ vyākulitamanaso 'ndhāḥ khañcāḥ kubjā	uBayoH voja-tulya-tvAt napaMusakam vyAkulita-manasaH anDAH KaQcAH kubjA
   vāmanā bhavanti / anyo 'nyavāyuparipīḍitaśukradvaidhyād dvidhā tanū syād	vAmanAH Bavanti / anyaH anya-vAyu-paripIxita-Sukra-dvEDyAt dviDA tanU syAt-
   yugmāḥ prajāyante / pañcātmakaḥ samarthaḥ pañcātmikā cetasā buddhir	yugmAH prajAyante / paQca-AtmakaH samarTaH paQca-AtmikA cetasA budDiH-
   gandharasādijñānākṣarākṣaram oṃkāraṃ cintayatīti tad ekākṣaraṃ jñātvāṣṭau	ganDa-rasa-Adi-jQAna-akzara-akzaram oMkAram cintayati-iti tat eka-akzaram jQAtvA-azwO
   prakṛtayaḥ ṣoḍaśa vikārāḥ śarīre tasyaiva dehinaḥ / atha	prakRtayaH zoxaSa vikArAH SarIre tasya-eva dehinaH / aTa
   mātrāśitapītanāḍīsūtragatena prāṇa āpyāyate / atha navame māsi	mAtrA-Sita-pIta-nAxI-sUtra-gatena prANaH ApyAyate / aTa navame mAsi
   sarvalakṣaṇajñānasampūrṇo bhavati pūrvajātiṃ smarati śubhāśubhaṃ ca karma	sarva-lakzaNa-jQAna-sampUrNaH Bavati pUrva-jAtim smarati SuBa-aSuBam ca karma
   vindati || GarUp_4	vindati || GarUp_4
   pūrvayonisahasrāṇi dṛṣṭvā caiva tato mayā /	pUrva-yoni-sahasrANi dRzwvA ca-eva tatas mayA /
   āhārā vividhā bhuktāḥ pītā nānāvidhāḥ stanāḥ /	AhArAH viviDAH BuktAH pItAH nAnAviDAH stanAH /
   jātaś caiva mṛtaś caiva janma caiva punaḥ punaḥ || GarUp_5	jAtaH ca-eva mRtaH ca-eva janma ca-eva punar punar || GarUp_5
   yan mayā parijanasyārthe kṛtaṃ karma śubhāśubham /	yat mayA parijanasya-arTe kRtam karma SuBa-aSuBam /
   ekākī tena dahye 'haṃ gatās te phalabhoginaḥ || GarUp_6	ekAkI tena dahye aham gatAH te Pala-BoginaH || GarUp_6
   aho duḥkhodadhau magno na paśyāmi pratikriyām /	aho duHKa-udaDO magnaH na paSyAmi pratikriyAm /
   yadi yonyāḥ pramucye 'haṃ tat prapadye maheśvaram || GarUp_7	yadi yonyAH pramucye aham tat prapadye maheSvaram || GarUp_7
   aśubhakṣayakartāraṃ phalamuktipradāyakam /	aSuBa-kzaya-kartAram Pala-mukti-pradAyakam /
   yadi yonyāḥ pramucye 'haṃ tat prapadye nārāyaṇam || GarUp_8	yadi yonyAH pramucye aham tat prapadye nArAyaNam || GarUp_8
   aśubhakṣayakartāraṃ phalamuktipradāyakam /	aSuBa-kzaya-kartAram Pala-mukti-pradAyakam /
   yadi yonyāḥ pramucye 'haṃ tat sāṃkhyaṃ yogam abhyase || GarUp_9	yadi yonyAH pramucye aham tat sAMKyam yogam aByase || GarUp_9
   aśubhakṣayakartāraṃ phalamuktipradāyakam /	aSuBa-kzaya-kartAram Pala-mukti-pradAyakam /
   yadi yonyāḥ pramuñcāmi dhyāye brahma sanātanam || GarUp_10	yadi yonyAH pramuQcAmi DyAye brahma sanAtanam || GarUp_10
   atha yonidvāraṃ samprāpto yantreṇāpīḍyamāno mahatā duḥkhena jātamātras tu	aTa yoni-dvAram samprAptaH yantreNa-ApIxyamAnaH mahatA duHKena jAta-mAtraH tu
   vaiṣṇavena vāyunā saṃspṛṣṭas tadā na smarati janma maraṇāni na ca karma	vEzNavena vAyunA saMspRzwaH tadA na smarati janma maraNAni na ca karma
   śubhāśubhaṃ vindati || GarUp_11	SuBa-aSuBam vindati || GarUp_11
   śarīram iti kasmāt agnayo hy atra śriyante jñānāgnir darśanāgniḥ	SarIram iti kasmAt agnayaH hi atra Sriyante jQAna-agniH darSana-agniH
   koṣṭhāgnir iti tatra koṣṭhāgnir nāmāśitapītalehyacoṣyaṃ pacati /	kozWa-agniH iti tatra kozWa-agniH nAma-aSita-pIta-lehya-cozyam pacati /
   darśanāgnī rūpāṇāṃ darśanaṃ karoti / jñānāgniḥ śubhāśubhaṃ ca karma	darSana-agniH rUpANAm darSanam karoti / jQAna-agniH SuBa-aSuBam ca karma
   vindati / trīṇi sthānāni bhavanti mukhe āhavanīya udare gārhapatyo hṛdi	vindati / trINi sTAnAni Bavanti muKe AhavanIyaH udare gArhapatyaH hRdi
   dakṣiṇāgniḥ ātmā yajamāno mano brahmā lobhādayaḥ paśavo dhṛtir dīkṣā	dakziNa-agniH AtmA yajamAnaH manaH brahmA loBa-AdayaH paSavaH DRtiH dIkzA
   saṃtoṣaś ca buddhīndriyāṇi yajñapātrāṇi karmendriyāṇi havīṃṣi śiraḥ	saMtozaH ca budDIndriyANi yajQa-pAtrANi karmendriyANi havIMzi SiraH
   kapālaṃ keśā darbhāḥ mukham antarvediḥ catuṣkapālaṃ śiraḥ ṣoḍaśa	kapAlam keSAH darBAH muKam antarvediH catuzkapAlam SiraH zoxaSa
   pārśvadantapaṭalāni saptottaraṃ marmaśataṃ sāśītikaṃ saṃdhiśataṃ sanavakaṃ	pArSva-danta-pawalAni sapta-uttaram marma-Satam sASItikam saMDi-Satam sa-navakam
   snāyuśataṃ sapta sirāśatāni pañca majjāśatāni asthīni ca ha vai trīṇi	snAyu-Satam sapta sirA-SatAni paQca majjA-SatAni asTIni ca ha vE trINi
   śatāni ṣaṣṭiḥ sārdhacatasro romāṇi koṭyo hṛdayaṃ palāny aṣṭau dvādaśa palā	SatAni zazwiH sArDacatasraH romANi kowyaH hRdayam palAni azwO dvAdaSa palA
   jihvā pittaprasthaṃ kaphasyāḍhakaṃ śukrakuḍavaṃ medaḥ prasthau dvāv	jihvA pitta-prasTam kaPasya-AXakam Sukra-kuxavam medaH prasTO dvO=-
   aniyataṃ mūtrapurīṣam āhāraparimāṇāt / paippalādaṃ mokṣaśāstraṃ	aniyatam mUtra-purIzam AhAra-parimANAt / pEppalAdam mokza-SAstram
   paippalādaṃ mokṣaśāstram iti || GarUp_12	pEppalAdam mokza-SAstram iti || GarUp_12
