   akarotkiṃ mahādeva SkP_26.2c	akarot kim mahAdeva SkP_26.2c
   ajayyaścaiva jetā ca SkP_25.19a	ajayyaH ca eva jetA ca Sku _25.19a
   ajaraścāmaraścaiva SkP_29.115a	ajaraH ca amaraH ca eva Sku _29.115a
   ajarāmara eva ca SkP_6.11b	ajara amaraH eva ca Sku _6.11b
   ajarāyāmarāya ca SkP_21.47d	ajarAya amarAya ca SkP_21.47d
   ajarāyāmarāya ca SkP_24.55b	ajarAya amarAya ca Sku _24.55b
   ajarāśca viśokāśca SkP_29.221a	ajarAH ca viSokAH ca SkP_29.221a
   ajastvamamaro deva SkP_13.41a	ajaH tvam amaraH deva Sku _13.41a
   ajaḥ śaṃkara eva ca SkP_13.48d	ajaH SaMkaraH eva ca Sku _13.48d
   ajaikapāditi khyāto SkP_23.36a	ajEkapAd iti KyAtaH Sku _23.36a
   ajñānavinivartine SkP_29.111b	ajQAna vinivartine Sku _29.111b
   aṭṭahāsānsṛjānaśca SkP_23.9c	awwahAsAn sRjAnaH ca SkP_23.9c
   aṇimāyai namaste 'stu SkP_29.194c	aNimAyE namaH te astu SkP_29.194c
   aṇḍaṃ yatrāsti saṃsthitam SkP_5.34b	aNxam yatra asti saMsTitam Sku _5.34b
   aṇḍe 'sminsamprasūyate SkP_3.4b	aNxe asmin samprasUyate Sku _3.4b
   ataḥ parataraṃ nāsti SkP_30.72a	atas parataram na asti SkP_30.72a
   ataḥ priyamidaṃ kṣetram SkP_30.51e	atas priyam idam kzetram Sku _30.51e
   atidīrgho 'timeḍhraśca SkP_23.16a	ati dIrGaH ati meXraH ca SkP_23.16a
   atimānāya caiva hi SkP_21.38d	atimAnAya ca eva hi SkP_21.38d
   ato 'nyadvarṣamekaṃ vai SkP_20.50c	atas anyat varzam ekam vE SkP_20.50c
   ato bhūyaśca kiṃ te 'dya SkP_29.120c	atas BUyas ca kim te adya SkP_29.120c
   ato bhūyo vadasva me SkP_30.45d	atas BUyas vadasva me SkP_30.45d
   ato 'haṃ nānyadicchāmi SkP_29.121c	atas aham na anyat icCAmi SkP_29.121c
   atyarthaśītalāmbhobhiḥ SkP_13.92a	atyarTa SItalA amBoBiH Sku _13.92a
   atra nāsti vicāraṇā SkP_27.46d	atra na asti vicAraNA SkP_27.46d
   atraye bhṛgave caiva SkP_21.45a	atraye BRgave ca eva Sku _21.45a
   atra vo vartayiṣyāmi SkP_5.21a	atra vaH vartayizyAmi Sku _5.21a
   atrāgatā vividhaduṣkṛtakāriṇo 'pi SkP_30.74c	atra AgatAH viviDa duzkRta kAriNaH api SkP_30.74c
   atrāpi svayamevāhaṃ SkP_29.17a	atra api svayam eva aham Sku _29.17a
   atrāhaṃ brahmaṇānīya SkP_29.24a	atra aham brahmaNA AnIya Sku _29.24a
   atrāhaṃ svayamāsthitaḥ SkP_29.28f	atra aham svayam AsTitaH Sku _29.28f
   atriḥ sāma svayaṃ jagau SkP_25.8d	atriH sAma svayam jagO SkP_25.8d
   atha kāle gate vyāsa SkP_10.13a	aTa kAle gate vyAsa Sku _10.13a
   atha kāle 'timahati SkP_16.14a	aTa kAle atimahati Sku _16.14a
   atha kālena mahatā SkP_4.22a	aTa kAlena mahatA Sku _4.22a
   atha cedvihitaṃ teṣāṃ SkP_30.12a	aTa ced vihitam tezAm Sku _30.12a
   atha tasminsukhāsīnau SkP_27.1a	aTa tasmin suKa AsInO Sku _27.1a
   atha tasyāstapoyogāt SkP_11.35c	aTa tasyAH tapaH yogAt SkP_11.35c
   atha tasyaivamaniśaṃ SkP_30.16a	aTa tasya evam aniSam SkP_30.16a
   atha tīrthaprasaṅgena SkP_19.23a	aTa tIrTa prasaFgena Sku _19.23a
   atha teṣāṃ prasanno 'bhūd SkP_13.52a	aTa tezAm prasannaH aBUt Sku _13.52a
   atha teṣāṃ mahādevaḥ SkP_8.27a	aTa tezAm mahAdevaH SkP_8.27a
   atha teṣu sthiteṣvevaṃ SkP_13.39a	aTa tezu sTitezu evam Sku _13.39a
   atha divyena rūpeṇa SkP_5.10a	aTa divyena rUpeNa Sku _5.10a
   atha dṛṣṭvā tamīśānam SkP_16.5a	aTa dRzwvA tam ISAnam Sku _16.5a
   atha dṛṣṭvā tripādaṃ ca SkP_29.127a	aTa dRzwvA tri pAdam ca Sku _29.127a
   atha dṛṣṭvā satīṃ devīm SkP_26.6a	aTa dRzwvA satIm devIm Sku _26.6a
   atha devī mahābhāgā SkP_29.178a	aTa devI mahABAgA Sku _29.178a
   atha devyāsasādaikā SkP_26.5a	aTa devI AsasAda ekA Sku _26.5a
   atha parvatarājo 'sau SkP_13.2a	aTa parvata rAjaH asO Sku _13.2a
   atha yakṣastadā vyāsa SkP_31.5a	aTa yakzaH tadA vyAsa Sku _31.5a
   atharvāṅgirasāvapi SkP_24.33d	aTarva aFgirasO= api SkP_24.33d
   atharvāṅgirasau devau SkP_25.8e	aTarva aFgirasO devO Sku _25.8e
   atha vā te kṛpā devi SkP_12.47a	aTa vA te kRpA devi Sku _12.47a
   atha vā te 'sti saṃdeho SkP_12.19a	aTa vA te asti saMdehaH Sku _12.19a
   atha vṛtte vivāhe tu SkP_14.1a	aTa vRtte vivAhe tu Sku _14.1a
   atha śuśrāva vedānāṃ SkP_18.7a	aTa SuSrAva vedAnAm Sku _18.7a
   atha śuśrāva sā śabdaṃ SkP_12.30a	aTa SuSrAva sA Sabdam Sku _12.30a
   atha sampannalakṣaṇām SkP_5.56d	aTa sampanna lakzaNAm SkP_5.56d
   atha sarvānabhiprekṣya SkP_9.13a	aTa sarvAn aBiprekzya Sku _9.13a
   atha sa vrajamānastu SkP_11.8a	aTa sa vrajamAnaH tu Sku _11.8a
   atha sā tena śāpena SkP_26.63a	aTa sA tena SApena Sku _26.63a
   atha sā śuddhasaṃkalpā SkP_13.31a	aTa sA SudDa saMkalpA Sku _13.31a
   atha so 'pi kṛtātithyaḥ SkP_8.7a	aTa saH api kRta AtiTyaH Sku _8.7a
   athāgāccandratilakas SkP_12.4a	aTa agAt candratilakaH SkP_12.4a
   athāgāttatra śailendra SkP_11.7a	aTa agAt tatra SEla indra Sku _11.7a
   athāgāttatra saṃvigno SkP_5.31a	aTa agAt tatra saMvignaH Sku _5.31a
   athācalasutā devī SkP_27.2a	aTa acala sutA devI Sku _27.2a
   athāñjalimamāvāsyāṃ SkP_28.58a	aTa aQjalim amAvAsyAm Sku _28.58a
   athātatāyinaṃ vyāsa SkP_15.4a	aTa AtatAyinam vyAsa Sku _15.4a
   athānyo vyāsa samprāpto SkP_23.15a	aTa anyaH vyAsa samprAptaH Sku _23.15a
   athāparo mahākāyaḥ SkP_23.27a	aTa aparaH mahA kAyaH Sku _23.27a
   athārdharātrasamaye SkP_17.20a	aTa arDarAtra samaye Sku _17.20a
   athāsminnantare vyāsa SkP_13.58a	aTa asmin= antare vyAsa Sku _13.58a
   athāsyāntarhitaṃ rakṣo SkP_17.5c	aTa asya antarhitam rakzaH SkP_17.5c
   athāha devī duḥkhārtā SkP_12.39c	aTa Aha devI duHKa ArtA SkP_12.39c
   athainaṃ cārusarvāṅgī SkP_18.8a	aTa enam cAru sarva aFgI SkP_18.8a
   athaināmavadaddharaḥ SkP_29.137d	aTa enAm avadat haraH SkP_29.137d
   athaivamāghoṣitamātra eva SkP_13.7a	aTa evam AGozita mAtraH eva Sku _13.7a
   athaivamukto devena SkP_29.152a	aTa evam uktaH devena Sku _29.152a
   athomā yogasaṃsiddhā SkP_12.6a	aTa umA yoga saMsidDA Sku _12.6a
   adahatsaparicchadam SkP_15.5d	adahat sa paricCadam SkP_15.5d
   adṛśyata ca maṇḍalam SkP_5.37d	adRSyata ca maNxalam SkP_5.37d
   adṛśyatvamatidyutiḥ SkP_16.12d	adRSya tvam atidyutiH SkP_16.12d
   adṛśyantyāṃ mahāprajña SkP_16.14e	adRSyantyAm mahA prajQa Sku _16.14e
   adṛśyantyāṃ samabhavat SkP_18.23c	adRSyantyAm samaBavat SkP_18.23c
   adṛśyena durātmanā SkP_8.7b	adRSyena durAtmanA Sku _8.7b
   adyaprabhṛti yuṣmākam SkP_24.10a	adya praBRti yuzmAkam Sku _24.10a
   adyaprabhṛti lokeṣu SkP_29.225a	adya praBRti lokezu Sku _29.225a
   adrikāmapsaraḥśreṣṭhāṃ SkP_19.11c	adrikAm apsaraH SrezWAm SkP_19.11c
   adhikaṃ samameva vā SkP_19.6d	aDikam samam eva vA SkP_19.6d
   adhiṣṭhātre pracodine SkP_3.15b	aDizWAtre pracodine Sku _3.15b
   adhīyānasya caivāyaṃ SkP_18.11a	aDIyAnasya ca eva ayam Sku _18.11a
   adhīyānasya tatrāśu SkP_18.7c	aDIyAnasya tatra ASu SkP_18.7c
   anadansumahānādaṃ SkP_7.15c	anadansu mahA nAdam SkP_7.15c
   anantāyāprameyāya SkP_3.14c	anantAya aprameyAya Sku _3.14c
   ananyamanaso bhūtvā SkP_30.63c	ananya manasaH BUtvA SkP_30.63c
   anapatyāhamīśvara SkP_26.41d	anapatya aham ISvara SkP_26.41d
   anayā sahamīpsitam SkP_25.14d	anayA saham Ipsitam Sku _25.14d
   anāveśyāya sarveṣāṃ SkP_21.48c	anAveSyAya sarvezAm SkP_21.48c
   aniketā tapo 'carat SkP_11.25d	aniketA tapaH acarat SkP_11.25d
   aniketo hyaraṇyeṣu SkP_26.17c	aniketaH hi araNyezu SkP_26.17c
   anindriyo 'tīndriyaśca SkP_28.68c	anindriyaH atIndriyaH ca SkP_28.68c
   aniścitya mahāvrate SkP_12.52d	aniScitya mahA vrate SkP_12.52d
   anugṛhṇanti lokāṃśca SkP_11.31c	anugRhNanti lokAn= ca SkP_11.31c
   anugṛhya tataḥ sarvāṃs SkP_29.70a	anugRhya tatas sarvAn SkP_29.70a
   anugrahaḥ kṛtastasyā SkP_19.23c	anugrahaH kRtaH tasyAH SkP_19.23c
   anugraheṇa yuktena SkP_25.16c	anugraheNa yuktena SkP_25.16c
   anugraho mayā hyevaṃ SkP_29.73c	anugrahaH mayA hi evam SkP_29.73c
   anutsekaṃ tathā kṣāntiṃ SkP_29.122c	anutsekam taTA kzAntim SkP_29.122c
   anuraktaṃ ca bhaktaṃ ca SkP_21.54a	anuraktam ca Baktam ca Sku _21.54a
   anurūpāmadādvibhoḥ SkP_6.3d	anurUpAmadAt viBoH SkP_6.3d
   anuvrajata mā ciram SkP_4.37d	anuvrajata mA ciram SkP_4.37d
   anṛtyanta mahābhāgā SkP_25.11e	anRtyanta mahABAgA Sku _25.11e
   anekacaraṇāya ca SkP_24.56d	aneka caraNAya ca Sku _24.56d
   anekavihagākīrṇaṃ SkP_9.26e	aneka vihaga AkIrNam Sku _9.26e
   anekaśirase caiva SkP_24.56c	aneka Sirase ca eva SkP_24.56c
   anekāni sahasrāṇi SkP_10.8c	anekAni sahasrANi SkP_10.8c
   anena cāṅkito loke SkP_29.149a	anena ca aFkitaH loke Sku _29.149a
   anaupamyaguṇaṃ devo SkP_26.65c	anOpamya guNam devaH SkP_26.65c
   anaupamyaguṇaṃ hi tat SkP_26.66d	anOpamya guNam hi tat SkP_26.66d
   anaupamyamaninditam SkP_11.5d	anOpamyam aninditam Sku _11.5d
   anaupamyo hyaninditaḥ SkP_25.12d	anOpamyaH hi aninditaH SkP_25.12d
   antakāntakṛte caiva SkP_14.11c	antaka anta kRte ca eva SkP_14.11c
   antardadhe jagatsraṣṭā SkP_12.27c	antardaDe jagatsrazwA SkP_12.27c
   antardhānamagātprabhuḥ SkP_7.34d	antarDAnam agAt praBuH SkP_7.34d
   antardhānaṃ mahātmani SkP_4.11b	antarDAnam mahAtmani SkP_4.11b
   antardhe parameśvaraḥ SkP_3.7d	antarDe parameSvaraH SkP_3.7d
   antarbhāvaviśuddhā sā SkP_12.6c	antarBAva viSudDA sA SkP_12.6c
   antarbhūtādhibhūtāya SkP_21.38a	antarBUta aDiBUtAya Sku _21.38a
   antaścarāya sarvāya SkP_5.51a	antar carAya sarvAya Sku _5.51a
   andradhvānapraharṣitaiḥ SkP_13.74b	andra DvAna praharzitEH SkP_13.74b
   andhakasya tathotpattiḥ SkP_2.15a	anDakasya taTA utpattiH Sku _2.15a
   andhakāsurasaṃvādo SkP_2.21a	anDaka asura saMvAdaH Sku _2.21a
   annadatvaṃ ca lokānāṃ SkP_30.3c	anna da tvam ca lokAnAm SkP_30.3c
   annadatvaṃ ca lokānāṃ SkP_31.9a	anna da tvam ca lokAnAm Sku _31.9a
   annadatvaṃ ca samprāpto SkP_30.1c	anna da tvam ca samprAptaH SkP_30.1c
   annadaścāpi lokebhyaḥ SkP_31.11c	anna daH ca api lokeByaH SkP_31.11c
   annadastu śatena vai SkP_23.48d	anna daH tu Satena vE SkP_23.48d
   annamasyopapādayat SkP_17.21d	annam asya upapAdayat SkP_17.21d
   anyatra na tathā kvacit SkP_30.50d	anyatra na taTA kvacid SkP_30.50d
   anyatra rocitavatī SkP_26.11c	anyatra rocitavatI SkP_26.11c
   anyasyāmasṛjadvaśī SkP_18.5b	anyasyAm asRjat vaSI Sku _18.5b
   anyaṃ vṛṇu mamāvāsaṃ SkP_26.10e	anyam vRNu mama AvAsam Sk= _26.10e
   anyānāhūya jāmātṝn SkP_10.13c	anyAn AhUya jAmAtLn SkP_10.13c
   anyāścāpsarasaḥ śubhāḥ SkP_25.11d	anyAH ca apsarasaH SuBAH Sku _25.11d
   anyāṃ gatiṃ na paśyāmi SkP_21.53c	anyAm gatim na paSyAmi SkP_21.53c
   anyāḥ sṛjasva bhadraṃ te SkP_10.10a	anyAH sRjasva Badram te SkP_10.10a
   anye ca devāstridivaukaseśāḥ SkP_13.22a	anye ca devAH tridivOkasA ISAH Sku _13.22a
   anye ca yoginaḥ siddhāś SkP_30.63a	anye ca yoginaH sidDAH Sku _30.63a
   anye cānu tataḥ śubhe SkP_11.23f	anye ca anu tatas SuBe Sku _11.23f
   anyeṣāṃ svasti sarvatra SkP_18.32e	anyezAm svasti sarvatra Sku _18.32e
   anyaiśca vividhaiḥ śubhaiḥ SkP_23.65b	anyEH ca viviDEH SuBEH SkP_23.65b
   apatyaṃ guṇavattaram SkP_11.18b	apatyam guNavattaram Sku _11.18b
   apatyaṃ matsamaṃ tathā SkP_15.29b	apatyam mad samam taTA Sku _15.29b
   apatyārthaṃ prasādaya SkP_26.40d	apatya arTam prasAdaya SkP_26.40d
   apatyena mahābāho SkP_11.3a	apatyena mahA bAho SkP_11.3a
   aparādhasahasraṃ tu SkP_28.24c	aparADa sahasram tu SkP_28.24c
   aparādhānbahūnapi SkP_27.27b	aparADAn bahUn api Sku _27.27b
   aparṇā tu nirāhārā SkP_11.27c	aparNA tu nirAhArA SkP_11.27c
   aparṇāmekaparṇāṃ ca SkP_11.24e	aparNAm eka parNAm ca SkP_11.24e
   apaśyatsagaṇaṃ devaṃ SkP_31.5c	apaSyat sa gaNam devam SkP_31.5c
   apaśyatsa pitāmahaḥ SkP_5.39d	apaSyat sa pitAmahaH SkP_5.39d
   apaśyadārto duḥkhārtān SkP_11.9c	apaSyat ArtaH duHKa ArtAn SkP_11.9c
   apaśyaddivyarūpiṇīm SkP_19.10d	apaSyat divya rUpiNIm SkP_19.10d
   apaśyanta tataḥ sarve SkP_8.30a	apaSyanta tatas sarve Sku _8.30a
   apaśyanmunisattamam SkP_17.20d	apaSyat muni sattamam Sku _17.20d
   apaśyallambamānāṃstu SkP_20.6a	apaSyat lambamAnAn= tu Sku _20.6a
   apaśyaṃ saṃsthitaṃ divi SkP_11.5b	apaSyam saMsTitam divi Sku _11.5b
   apaśyaṃste tadā prabhum SkP_13.54d	apaSyan= te tadA praBum Sku _13.54d
   apasmāraśca viśrutaḥ SkP_23.53d	apasmAraH ca viSrutaH SkP_23.53d
   apaḥ spṛśanti śuddhyarthaṃ SkP_10.34c	apaH spRSanti SudDi arTam SkP_10.34c
   apaḥ sprakṣyanti sarvatra SkP_10.31c	apaH sprakzyanti sarvatra SkP_10.31c
   apātayata nandinam SkP_20.46d	apAtayata nandinam Sku _20.46d
   apāraparamāya ca SkP_29.107b	apAra paramAya ca Sku _29.107b
   apṛcchattāṃśca sa dvijaḥ SkP_11.9d	apRcCattAn= ca sa dvijaH SkP_11.9d
   apṛcchatpuṣpyamāṇāsyā SkP_28.47c	apRcCat puzpyamANa AsyA SkP_28.47c
   apṛcchaddhimavānpraśnaṃ SkP_11.1c	apRcCat himavAn praSnam SkP_11.1c
   apṛcchadvratasambaddhaṃ SkP_28.1c	apRcCat vrata sambadDam SkP_28.1c
   apṛcchamahamavyagro SkP_27.8c	apRcCam aham avyagraH SkP_27.8c
   apetaśokaḥ samprāptaḥ SkP_1.22c	apeta SokaH samprAptaH SkP_1.22c
   apohāyai namaste 'stu SkP_29.205a	apohAyE namaH te astu Sku _29.205a
   apratīkārasaṃyuktam SkP_17.4c	apratIkAra saMyuktam Sku _17.4c
   apratīghātalakṣaṇām SkP_29.171b	apratIGAta lakzaNAm Sk= _29.171b
   aprameya pitarnityaṃ SkP_3.18e	aprameya pitar nityam Sku _3.18e
   aprāptārthamanorathaḥ SkP_12.33b	aprApta arTa manoraTaH Sku _12.33b
   apsarogaṇagandharvaiḥ SkP_30.49a	apsaraH gaNa ganDarvEH Sku _30.49a
   apsarogaṇasevitam SkP_9.26b	apsaraH gaNa sevitam Sku _9.26b
   apsarogaṇasevitam SkP_22.12d	apsaraH gaNa sevitam Sku _22.12d
   apsarogaṇasevite SkP_29.216d	apsaraH gaNa sevite SkP_29.216d
   abalaṃ taṃ samālakṣya SkP_29.131a	abalam tam samAlakzya Sku _29.131a
   abdairadhītavānsarvaṃ SkP_20.37e	abdEH aDItavAn sarvam Sku _20.37e
   abbhakṣā bhūya eva ca SkP_10.1f	abBakzAH BUyas eva ca Sku _10.1f
   abhavatsa tu kālena SkP_13.1c	aBavat sa tu kAlena SkP_13.1c
   abhavadgovṛṣadhvaje SkP_16.3d	aBavat go vRza Dvaje SkP_16.3d
   abhavaddevadevasya SkP_26.1c	aBavat devadevasya SkP_26.1c
   abhavaṃ jagati khyātaḥ SkP_29.49c	aBavam jagati KyAtaH SkP_29.49c
   abhavaṃstaṭasaṃghuṣṭa  SkP_13.123c	aBavan= tawa saMGuzwa SkP_13.123c
   abhigamyaśca devānāṃ SkP_28.28a	aBigamyaH ca devAnAm Sku _28.28a
   abhijñau sarvabhūtānāṃ SkP_20.41c	aBijQO sarva BUtAnAm SkP_20.41c
   abhidravantaṃ vegena SkP_18.14a	aBidravantam vegena Sku _18.14a
   abhipūryābhimantrya ca SkP_24.43b	aBipUrya aBimantrya ca Sku _24.43b
   abhiyuktā mahāvratāḥ SkP_8.5d	aBiyuktAH mahA vratAH SkP_8.5d
   abhivandya pituḥ pādau SkP_20.68a	aBivandya pituH pAdO Sku _20.68a
   abhivādya ṛṣīnsarvān SkP_20.69a	aBivAdya RzIn sarvAn Sku _20.69a
   abhiṣikto babhūveti SkP_3.25c	aBiziktaH baBUva iti SkP_3.25c
   abhiṣekaśca kauśikyā SkP_2.14c	aBizekaH ca kOSikyA SkP_2.14c
   abhiṣekaṃ vivāhaṃ ca SkP_25.58c	aBizekam vivAham ca SkP_25.58c
   abhiṣektumiyeṣire SkP_8.6d	aBizektum iyezire SkP_8.6d
   abhiṣekṣyāmi bhūtapam SkP_23.2b	aBizekzyAmi BUtapam Sku _23.2b
   abhūdṛṣiḥ sa dharmātmā SkP_20.5a	aBUt RziH sa Darma AtmA Sku _20.5a
   abhyagacchata taṃ deśaṃ SkP_8.27c	aByagacCata tam deSam SkP_8.27c
   abhyagacchanta deveśaṃ SkP_7.21e	aByagacCanta deveSam Sku _7.21e
   abhyagātsaṃkrameṇaiva SkP_6.4a	aByagAt saMkrameNa eva Sku _6.4a
   abhyaṅgo 'ṣṭaśataṃ caiva SkP_27.25a	aByaFgaH azwaSatam ca eva Sku _27.25a
   abhyaṣiñcanta nandinam SkP_24.46d	aByaziQcanta nandinam Sku _24.46d
   abhyasyanti paraṃ yogaṃ SkP_30.47e	aByasyanti param yogam Sku _30.47e
   abhyasya raudramadhyāyaṃ SkP_20.65c	aByasya rOdram aDyAyam SkP_20.65c
   abhyājagāma taṃ caiva SkP_21.7c	aByAjagAma tam ca eva SkP_21.7c
   abhraṃkaṣaiḥ sitamanoharacārurūpaiḥ SkP_30.32b	aBraMkazEH sita manohara cAru rUpEH SkP_30.32b
   amanyata na me 'nyo 'sti SkP_5.24c	amanyata na me anyaH asti SkP_5.24c
   amanyanta tapo 'smākaṃ SkP_8.22c	amanyanta tapaH asmAkam SkP_8.22c
   amaratvamavadhyatvam SkP_12.45c	amara tvam avaDya tvam SkP_12.45c
   amaratvaṃ ca sarvaśaḥ SkP_15.33d	amara tvam ca sarvaSas SkP_15.33d
   amaraḥ sambhaviṣyasi SkP_12.22d	amaraH samBavizyasi SkP_12.22d
   amarā jarayā tyaktā SkP_9.22a	amarA jarayA tyaktA Sku _9.22a
   amarānidamabravīt SkP_14.25d	amarAn idam abravIt SkP_14.25d
   amaro jarayā tyakto SkP_22.5a	amaraH jarayA tyaktaH Sku _22.5a
   amāvāsyāṃ tu yo nityaṃ SkP_28.64a	amAvAsyAm tu yaH nityam Sku _28.64a
   amitasya pradānācca SkP_17.9c	amitasya pradAnAt ca SkP_17.9c
   amṛtasrava eva ca SkP_12.24b	amRta sravaH eva ca Sku _12.24b
   amṛtaṃ paramātmā ca SkP_13.42a	amRtam paramAtmA ca Sku _13.42a
   amṛtāya vareṇyāya SkP_21.31a	amRtAya vareNyAya Sku _21.31a
   amṛtāṃ śrīniketanām SkP_24.38d	amRtAm SrIniketanAm SkP_24.38d
   amṛṣyamāṇaḥ krodhāndho SkP_7.17a	amRzyamANaH kroDa anDo SkP_7.17a
   amoghabhūtiḥ koṭyā ca SkP_23.52c	amoGa BUtiH kowyA ca SkP_23.52c
   ambikāpataye namaḥ SkP_14.3d	ambikApataye namaH SkP_14.3d
   ayaṃ ca te pitā vipraḥ SkP_25.20a	ayam ca te pitA vipraH Sku _25.20a
   ayaṃ caivāśramaḥ śreṣṭhaḥ SkP_9.23a	ayam ca eva ASramaH SrezWaH Sku _9.23a
   ayaṃ nandīśvaraḥ śubhaḥ SkP_24.10b	ayam nandISvaraH SuBaH Sku _24.10b
   ayaṃ naḥ saṃtatiṃ caiva SkP_19.4a	ayam naH saMtatim ca eva Sku _19.4a
   ayaṃ rudro mahādevaḥ SkP_13.48a	ayam rudraH mahAdevaH SkP_13.48a
   ayaṃ somo 'bhiṣūyatām SkP_8.21d	ayam somaH aBizUyatAm SkP_8.21d
   ayaṃ hi tava saṃmoho SkP_5.27e	ayam hi tava saMmohaH Sku _5.27e
   ayācatkaruṇāyatī SkP_15.8d	ayAcatkaruNAyatI SkP_15.8d
   ayonijaḥ purā dattaḥ SkP_20.32c	ayonijaH purA dattaH SkP_20.32c
   aravindāvṛtānanau SkP_24.15f	aravinda AvRta AnanO Sku _24.15f
   arundhatyāmajanayat SkP_16.2c	arunDatyAm ajanayat SkP_16.2c
   arogā janmavarjitāḥ SkP_9.22b	arogAH janma varjitAH SkP_9.22b
   arkaparṇapuṭaṃ pūrṇaṃ SkP_28.65c	arkaparNa puwam pUrNam SkP_28.65c
   arkasya karavīrasya SkP_28.31c	arkasya karavIrasya SkP_28.31c
   arcayitvā ca māṃ devi SkP_28.60a	arcayitvA ca mAm devi Sku _28.60a
   arcayitvā tato brahmā SkP_24.45c	arcayitvA tatas brahmA SkP_24.45c
   arcayitvā tu māmiha SkP_29.19b	arcayitvA tu mAm iha Sku _29.19b
   arcayitvā yathānyāyaṃ SkP_28.58e	arcayitvA yaTAnyAyam Sku _28.58e
   arcayitvā vṛṣadhvajam SkP_7.29d	arcayitvA vRzaDvajam SkP_7.29d
   arcayetsaṃgameśānaṃ SkP_29.43c	arcayet saMgama ISAnam SkP_29.43c
   arcitaḥ sarvadevānāṃ SkP_11.23a	arcitaH sarva devAnAm Sku _11.23a
   arcibhirupaśobhitam SkP_8.31d	arciBiH upaSoBitam SkP_8.31d
   arthinaste ca nastāvad SkP_29.223c	arTinaH te ca naH tAvat Sku _29.223c
   arditābhistadā gobhir SkP_29.13a	arditABiH tadA goBiH Sku _29.13a
   ardhayojanavistīrṇaṃ SkP_7.27a	arDa yojana vistIrNam Sku _7.27a
   ardhena tejasaḥ svasya SkP_9.18a	arDena tejasaH svasya Sku _9.18a
   arho varamasau labdham SkP_31.2c	arhaH varam asO labDam Sku _31.2c
   alarkaśca purīmetāṃ SkP_30.64a	alarkaH ca purIm etAm Sku _30.64a
   alaṃcakruḥ purottamam SkP_13.64d	alaMcakruH pura uttamam SkP_13.64d
   alpāyuḥ sarvasaṃmataḥ SkP_20.50b	alpa AyuH sarva saMmataH Sku _20.50b
   avatīrya jalaṃ divyaṃ SkP_20.65a	avatIrya jalam divyam Sku _20.65a
   avadhyatvamasahyatvam SkP_15.34a	avaDya tvam asahya tvam Sku _15.34a
