   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   punarāpūritaḥ sarvo grahanakṣatramaṇḍitaḥ // BndP_2,1.12 //	punar ApUritaH sarvaH graha nakzatra maNxitaH // Bndu _2,1.12 //
   ṛṣaya ūcuḥ	RzayaH UcuH
   kathaṃ saptarṣayaḥ pūrvamutpannāḥ sapta manasāḥ /	kaTam saptarzayaH pUrvam utpannAH sapta manasAH /
   putratve kalpitāścaiva tanno nigada sattama // BndP_2,1.13 //	putra tve kalpitAH ca eva tat naH nigada sattamaH // Bndu _2,1.13 //
   sūta uvāca	sUtaH uvAca
   pūrvaṃ saptarṣayaḥ proktā ye vai svāyaṃbhuveṃ'tare /	pUrvam saptarzayaH proktAH ye vE svAyaMBuveM atare /
   manorantaramāsādya punarvaivasvataṃ kila // BndP_2,1.14 //	manoH antaram AsAdya punar vEvasvatam kila // Bndu _2,1.14 //
   bhavābhiśāpa saṃviddhā aprāptāste tadā tapaḥ /	Bava aBiSApa saMvidDAH aprAptAH te tadA tapaH /
   upapannā jane loke sakṛdāgamanāstu ta // BndP_2,1.15 //	upapannAH jane loke sakRdAgamanAH tu te // Bndu _2,1.15 //
   ūcuḥ sarve sadānyonyaṃ janaloke mahārṣayaḥ /	UcuH sarve sadA anyonyam jana loke mahA rzayaH /
   eta eva mahābhāgā varuṇe vitate 'dhvare // BndP_2,1.16 //	ete eva mahABAgAH varuNe vitate aDvare // Bndu _2,1.16 //
   sarve vayaṃ prasūyāmaścākṣuṣasyāntare manoḥ /	sarve vayam prasUyAmaH cAkzuzasya antare manoH /
   pitāmahātmajāḥ sarve tannaḥ śreyo bhaviṣyati // BndP_2,1.17 //	pitAmaha AtmajAH sarve tat naH SreyaH Bavizyati // Bndu _2,1.17 //
   evamuktvā tu te sarve cākṣuṣasyāntare manoḥ /	evam uktvA tu te sarve cAkzuzasya antare manoH /
   svāyaṃbhuventare prāptāḥ sṛṣṭyarthaṃ te bhavena tu // BndP_2,1.18 //	svAyaMBuventare prAptAH sRzwi arTam te Bavena tu // Bndu _2,1.18 //
   jajñire ha punaste vai janalokādihāgatāḥ /	jajQire ha punar te vE janalokAt iha AgatAH /
   devasya mahato yajñe vāruṇīṃ bibhratastanum // BndP_2,1.19 //	devasya mahataH yajQe vAruNIm biBrataH tanum // Bndu _2,1.19 //
   brahmaṇo juhvataḥ śukramagrau pūrvaṃ prajepsayā /	brahmaNaH juhvataH Sukram agrO pUrvam prajA IpsayA /
   ṛṣayo jajñire dīrghe dvitīyamiti naḥ śrutam // BndP_2,1.20 //	RzayaH jajQire dIrGe dvitIyam iti naH Srutam // Bndu _2,1.20 //
   bhṛgvaṅgirā marīciśca pulastyaḥ pulahaḥ kratuḥ /	BRgu aFgirAH marIciH ca pulastyaH pulahaH kratuH /
   atriścaiva vasiṣṭhaśca hyaṣṭau te brahmaṇaḥ sutāḥ // BndP_2,1.21 //	atriH ca eva vasizWaH ca hi azwO te brahmaNaH sutAH // Bndu _2,1.21 //
   tathāsya vitate yajñe devāḥ sarve samāgatāḥ /	taTA asya vitate yajQe devAH sarve samAgatAH /
   yajñāṅgāni ca sarvāṇi vaṣaṭhkāraśca mūrttimān // BndP_2,1.22 //	yajQa aFgAni ca sarvANi vazaWkAraH ca mUrttimAn // Bndu _2,1.22 //
   mūrttimanti ca sāmāni yajūṃṣi ca sahasraśaḥ /	mUrttimanti ca sAmAni yajUMzi ca sahasraSas /
   ṛgvedaścābhavattatra yaśca kramavibhūṣitaḥ // BndP_2,1.23 //	RgvedaH ca aBavat tatra yaH ca krama viBUzitaH // Bndu _2,1.23 //
   yajurvedaśca vṛttāḍhya oṅkāravadanojjvalaḥ /	yajurvedaH ca vRtta AXyaH oFkAra vadana ujjvalaH /
   sthito yajñārthasaṃpṛktaḥ sūktabrāhmaṇamantravān // BndP_2,1.24 //	sTitaH yajQa arTa saMpRktaH sUkta brAhmaNa mantravAn // Bndu _2,1.24 //
   sāmavedaśca vṛttāḍhyaḥ sarvageyapuraḥ saraḥ /	sAmavedaH ca vRtta AXyaH sarva geya puras saraH /
   viśvāvasvādibhiḥ sārddhaṃ gandharvaiḥ saṃbhṛto 'bhavat // BndP_2,1.25 //	viSvAvasva AdiBiH sArdDam ganDarvEH saMBRtaH aBavat // Bndu _2,1.25 //
   brahmavedastathā ghoraiḥ kṛtvā vidhibhiranvitaḥ /	brahma vedaH taTA GorEH kRtvA viDiBiH anvitaH /
   pratyaṅgirasayogaiśca dviśarīraśiro 'bhavat // BndP_2,1.26 //	pratyaFgirasa yogEH ca dvi SarIra SiraH aBavat // Bndu _2,1.26 //
   lakṣaṇā vistarāḥ stobhā niruktasvara bhaktayaḥ /	lakzaNAH vistarAH stoBAH nirukta svara BaktayaH /
   āśrayastu vaṣaṭkāro nigrahapragrahāvapi // BndP_2,1.27 //	ASrayaH tu vazawkAraH nigraha pragrahO= api // Bndu _2,1.27 //
   dīptimūrttirilādevī diśaścasadigīśvarāḥ /	dIpti mUrttiH ilA devI diSaH ca sa digISvarAH /
   devakanyāśca patnyaśca tathā mātara eva ca // BndP_2,1.28 //	deva kanyAH ca patnyaH ca taTA mAtaraH eva ca // Bndu _2,1.28 //
   āyayuḥ sarva evaite devasya yajato makhe /	AyayuH sarve eva ete devasya yajataH maKe /
   mūrtimantaḥ surūpākhyā varuṇasya vapurbhṛtaḥ // BndP_2,1.29 //	mUrtimantaH surUpa AKyAH varuNasya vapuH BRtaH // Bndu _2,1.29 //
   svayaṃbhu vastu tā dṛṣṭvā retaḥ samapatadbhuvi /	svayaMBu vastu tAH dRzwvA retaH samapatat Buvi /
   brahmarṣibhāvinor'thasya vidhānācca na saṃśayaḥ // BndP_2,1.30 //	brahmarzi BAvinor aTasya viDAnAt ca na saMSayaH // Bndu _2,1.30 //
   dhṛtvā juhāva hastābhyāṃ sruveṇa parigṛhya ca /	DRtvA juhAva hastAByAm sruveNa parigRhya ca /
   āsravajjuhuyāṃ cakre mantravacca pitāmahaḥ // BndP_2,1.31 //	Asravat juhuyAm cakre mantravat ca pitAmahaH // Bndu _2,1.31 //
   tataḥ sa janayāmāsa bhūtagrāmaṃ prajāpatiḥ /	tatas sa janayAmAsa BUta grAmam prajApatiH /
   tasyārvāktejasaścaiva jajñe lokeṣu taijasam // BndP_2,1.32 //	tasya arvAk tejasaH ca eva jajQe lokezu tEjasam // Bndu _2,1.32 //
   tamasā bhāvi yāpyatvaṃ yathā sattvaṃ tathā rajaḥ /	tamasA BAvi yApya tvam yaTA sattvam taTA rajaH /
   ājyasthālyāmupādāya svaśukraṃ hutavāṃśca ha // BndP_2,1.33 //	Ajya sTAlyAm upAdAya sva Sukram hutavAn= ca ha // Bndu _2,1.33 //
   śukre hu te 'tha tasmiṃstu prādurbhūtā maharṣayaḥ /	Sukre hu te aTa tasmin= tu prAdurBUtA mahA RzayaH /
   jvalanto vapuṣā yuktāḥ saprabhāvaiḥ svakairguṇaiḥ // BndP_2,1.34 //	jvalantaH vapuzA yuktAH sa praBAvEH svakEH guNEH // Bndu _2,1.34 //
   hute cāgnau sakṛcchukre jvālāyā nisṛtaḥ kaviḥ /	hute ca agnO sakRt Sukre jvAlAyAH nisRtaH kaviH /
   hiraṇyagarbhastaṃ dṛṣṭvā jvālāṃ bhittvā vinirgatam // BndP_2,1.35 //	hiraNyagarBaH tam dRzwvA jvAlAm BittvA vinirgatam // Bndu _2,1.35 //
   bhṛgustvamiti covāca yasmāttasmātsa vai bhṛguḥ /	BRguH tvam iti ca uvAca yasmAt tasmAt sa vE BRguH /
   mahādevastathodbhūto dṛṣṭvā brahmāṇamabravīt // BndP_2,1.36 //	mahAdevaH taTA udBUtaH dRzwvA brahmANam abravIt // Bndu _2,1.36 //
   mamaiṣa putrakāmasya dīkṣitasya tvayā prabho /	mama eza putra kAmasya dIkzitasya tvayA praBo /
   vijajñe prathamaṃ deva mama putro bhavatvayam // BndP_2,1.37 //	vijajQe praTamam deva mama putraH Bavatu ayam // Bndu _2,1.37 //
   tatheti samanujñāto mahādevaḥ svayaṃbhuvā /	taTA iti samanujQAtaH mahAdevaH svayaMBuvA /
   putratve kalpayāmāsa mahādeva stadā bhṛgum // BndP_2,1.38 //	putra tve kalpayAmAsa mahAdeva stadA BRgum // Bndu _2,1.38 //
   vāruṇā bhṛgavastasmāttadapatyaṃ ca sa prabhuḥ /	vAruNA BRgavaH tasmAt tat apatyam ca sa praBuH /
   dvitīyaṃ ca tataḥ śukramaṅgāreṣvajuhotprabhuḥ // BndP_2,1.39 //	dvitIyam ca tatas Sukram aFgArezu ajuhot praBuH // Bndu _2,1.39 //
   aṅgāreṣvaṅgiro 'ṅgāni saṃhatāni tatoṅgirāḥ /	aFgArezu aFgiraH aFgAni saMhatAni tata uFgirAH /
   saṃbhūtiṃ tasya tāṃ dṛṣṭvā vahnirbrahmāṇamabravīt // BndP_2,1.40 //	saMBUtim tasya tAm dRzwvA vahniH brahmANam abravIt // Bndu _2,1.40 //
   retodhāstubhyamevāhaṃ dvitīyo 'yaṃ mamāstviti /	retaH DAH tuByam eva aham dvitIyaH ayam mama astu iti /
   evamastviti so 'pyukto brahmaṇā sadasaspatiḥ // BndP_2,1.41 //	evam astu iti saH api uktaH brahmaNA sadasaspatiH // Bndu _2,1.41 //
   jagrā hāgnistvaṅgirasa āgneyā iti naḥ śrutam /	jagrAH ha agniH tu aFgirasaH AgneyAH iti naH Srutam /
   ṣaṭ kṛtvā tu punaḥ śukre brahmaṇā lokakāriṇā // BndP_2,1.42 //	zaz kRtvA tu punar Sukre brahmaNA loka kAriNA // Bndu _2,1.42 //
   hute samabhavaṃstasminyad brahmāṇa iti śrutiḥ /	hute samaBavan= tasmin yat brahmANaH iti SrutiH /
   marīciḥ prathamaṃ tatra marīcibhyaḥ samutthitaḥ // BndP_2,1.43 //	marIciH praTamam tatra marIciByaH samutTitaH // Bndu _2,1.43 //
   kratau tasminkraturjajñe yatastasmātsa vai kratuḥ /	kratO tasmin kratuH jajQe yatas tasmAt sa vE kratuH /
   ahaṃ tṛtīya ityatristasmādatriḥ sa kīrtyate // BndP_2,1.44 //	aham tRtIyaH iti atriH tasmAt atriH sa kIrtyate // Bndu _2,1.44 //
   keśaistu nicitairbhūtaḥ pulastyastena sa smṛtaḥ /	keSEH tu nicitEH BUtaH pulastyaH tena sa smRtaH /
   keśairlaṃbaiḥ samudbhūtastasmātsa pulahaḥ smṛtaḥ // BndP_2,1.45 //	keSEH laMbEH samudBUtaH tasmAt sa pulahaH smRtaH // Bndu _2,1.45 //
   vasumadhyātsamutpanno vaśī ca vasumān svayam /	vasu maDyAt samutpannaH vaSI ca vasumAn svayam /
   vasiṣṭha iti tattvajñaiḥ procyate brahmavādibhiḥ // BndP_2,1.46 //	vasizWaH iti tattva jQEH procyate brahma vAdiBiH // Bndu _2,1.46 //
   ityete brahmaṇaḥ putrā mānasāḥ ṣaṇmaharṣayaḥ /	iti ete brahmaNaH putrAH mAnasAH zaz mahA RzayaH /
   lokasya santānakarā yairimā varddhitāḥ prajāḥ // BndP_2,1.47 //	lokasya santAna karAH yEH imAH vardDitAH prajAH // Bndu _2,1.47 //
   prajāpataya ityevaṃ paṭhyante brahmaṇaḥsutāḥ /	prajApatayaH iti evam paWyante brahmaNaH sutAH /
   apare pitaro nāma etaireva maharṣibhiḥ // BndP_2,1.48 //	apare pitaraH nAma etEH eva mahA RziBiH // Bndu _2,1.48 //
   utpāditā devagaṇāḥ sapta lokeṣu viśrutāḥ /	utpAditAH deva gaNAH sapta lokezu viSrutAH /
   ajeyāśca gaṇāḥ sapta saptalokeṣu viśrutāḥ // BndP_2,1.49 //	ajeyAH ca gaNAH sapta sapta lokezu viSrutAH // Bndu _2,1.49 //
   mārīyā bhārgavāścaiva tathaivāṅgiraso 'pare /	mArIyAH BArgavAH ca eva taTA eva AFgirasaH apare /
   paulastyāḥ paulahāścaiva vāsiṣṭhāścaiva viśrutāḥ // BndP_2,1.50 //	pOlastyAH pOlahAH ca eva vAsizWAH ca eva viSrutAH // Bndu _2,1.50 //
   ātreyāśca gaṇāḥ proktā pitṝṇāṃ lokavarddhanāḥ /	AtreyAH ca gaNAH proktA pitLNAm loka vardDanAH /
   ete samāsataḥ khyātāḥ punaranye gaṇāstrayaḥ // BndP_2,1.51 //	ete samAsatas KyAtAH punar anye gaNAH trayaH // Bndu _2,1.51 //
   amarttāścāprakāśāśca jyotiṣmantaśca viśrutāḥ /	amarttAH ca aprakASAH ca jyotizmantaH ca viSrutAH /
   teṣāṃ rājāyamo devo yamairvihatakalmaṣaḥ // BndP_2,1.52 //	tezAm rAjA ayamaH devaH yamEH vihata kalmazaH // Bndu _2,1.52 //
   aparaṃ prajānāṃ yatayastāñchṛmudhvamatandritāḥ /	aparam prajAnAm yatayaH tAn SRmuDvam atandritAH /
   kaśyapaḥ kardamaḥ śeṣo vikrāntaḥ suśravāstathā // BndP_2,1.53 //	kaSyapaH kardamaH SezaH vikrAntaH suSravAH taTA // Bndu _2,1.53 //
   bahuputraḥ kumāraśca vivasvānsa śucivrataḥ /	bahu putraH kumAraH ca vivasvAn sa Suci vrataH /
   pracetasoriṣṭanemirbahulaśca prajāpatiḥ // BndP_2,1.54 //	pracetasoH izwanemiH bahulaH ca prajApatiH // Bndu _2,1.54 //
   ityevamādayo 'nye 'pi bahavo vai prajeśvarāḥ /	iti evamAdayaH anye api bahavaH vE prajA ISvarAH /
   kuśoccayā vālakhilyāḥ sabhūtāḥ paramarṣayaḥ // BndP_2,1.55 //	kuSa uccayAH vAlaKilyAH sa BUtAH parama RzayaH // Bndu _2,1.55 //
   manojavāḥ sarvagatāḥ sarvabhogāśca te 'bhavan /	manaH javAH sarva gatAH sarva BogAH ca te aBavan /
   jātāśca bhasmano hyanye brahmarṣigaṇasaṃmatāḥ // BndP_2,1.56 //	jAtAH ca BasmanaH hi anye brahmarzi gaNa saMmatAH // Bndu _2,1.56 //
   vaikhānasā munigaṇāstapaḥ śrutaparāyaṇāḥ /	vEKAnasAH muni gaNAH tapaH Sruta parAyaNAH /
   nasto dvāvasya cotpannāvaśvinau rūpasaṃmatau // BndP_2,1.57 //	nastaH dvO= asya ca utpannO= aSvinO rUpa saMmatO // Bndu _2,1.57 //
   vidurjanmarkṣarajaso tathā tannetrasaṃcarāt /	viduH janma Rkza rajasaH taTA tad netra saMcarAt /
   anye prajānāṃ patayaḥ śrotobhyastasya jajñire // BndP_2,1.58 //	anye prajAnAm patayaH SrotoByaH tasya jajQire // Bndu _2,1.58 //
   ṛṣayo romakūpebhyastathā svedamalodbhavāḥ /	RzayaH romakUpeByaH taTA sveda mala udBavAH /
   ayane ṛtavo māsarddhamāsāḥ pakṣasaṃdhayaḥ // BndP_2,1.59 //	ayane RtavaH mAsa RdDa mAsAH pakza saMDayaH // Bndu _2,1.59 //
   vatsarā ye tvahorātrāḥ pittaṃ jyotiśca dāruṇam /	vatsarAH ye tu ahorAtrAH pittam jyotiH ca dAruNam /
   raudraṃ lohitamityāhurlohitaṃ kanakaṃ smṛtam // BndP_2,1.60 //	rOdram lohitam iti AhuH lohitam kanakam smRtam // Bndu _2,1.60 //
   tattaijasamiti proktaṃ dhūmāśca paśavaḥ smṛtāḥ /	tat tEjasam iti proktam DUmAH ca paSavaH smRtAH /
   ye 'rciṣastasya te rudrāstathādityāḥ samṛdgatāḥ // BndP_2,1.61 //	ye arcizaH tasya te rudrAH taTA AdityAH sa mRt gatAH // Bndu _2,1.61 //
   aṅgārebhyaḥ samutpannā arciṣo divyamānuṣāḥ /	aFgAreByaH samutpannAH arcizaH divya mAnuzAH /
   ādibhūto 'sya lokasya brahmā tvaṃ brahmasaṃbhavaḥ // BndP_2,1.62 //	Adi BUtaH asya lokasya brahmA tvam brahma saMBavaH // Bndu _2,1.62 //
   sarvakāmadamityāhustathā vākyamudāharan /	sarva kAma dam iti AhuH taTA vAkyam udAharan /
   brahmā suragurustatra tridaśaiḥ saṃprasāditaḥ // BndP_2,1.63 //	brahmA suraguruH tatra tridaSEH saMprasAditaH // Bndu _2,1.63 //
   imevai janayiṣyanti prajāḥ sarvāḥ praceśvarāḥ /	imevE janayizyanti prajAH sarvAH praceSvarAH /
   sarve prajānāṃ patayaḥ sarve cāpi tapasvinaḥ // BndP_2,1.64 //	sarve prajAnAm patayaH sarve ca api tapasvinaH // Bndu _2,1.64 //
   tvatprasādādimāṃllokāndhārayeyurimāḥ kriyāḥ /	tvad prasAdAt imAn= lokAn DArayeyuH imAH kriyAH /
   tvadvaṃśavarddhanāḥ śaśvattava tejovivarddhanāḥ // BndP_2,1.65 //	tvad vaMSa vardDanAH SaSvat tava tejaH vivardDanAH // Bndu _2,1.65 //
   bhaveyurvedavidvāṃsaḥ sarve vākpatayastathā /	Baveyurveda vidvAMsaH sarve vAkpatayaH taTA /
   vedamantradharāḥ sarve prajāpatisamudbhavāḥ // BndP_2,1.66 //	veda mantra DarAH sarve prajApati samudBavAH // Bndu _2,1.66 //
   śrayantu brahmasatyaṃ tu tapaśca paramaṃ bhuvi /	Srayantu brahma satyam tu tapaH ca paramam Buvi /
   sarve hi vayamete ca tavaiva prasavaḥ prabho // BndP_2,1.67 //	sarve hi vayam ete ca tava eva prasavaH praBo // Bndu _2,1.67 //
   brahma ca brahmāṇāścaiva lokaścaiva carācarāḥ /	brahma ca brahmANAH ca eva lokaH ca eva carAcarAH /
   marīcimāditaḥ kṛtvā devāśca ṛṣibhiḥ saha // BndP_2,1.68 //	marIcim Aditas kRtvA devAH ca RziBiH saha // Bndu _2,1.68 //
   apatyānīti saṃcintya te 'patye kāmayāmahe /	apatyAni iti saMcintya te apatye kAmayAmahe /
   tasmin yajñe mahābhāgā devāśca ṛṣayaśca ye // BndP_2,1.69 //	tasmin yajQe mahABAgAH devAH ca RzayaH ca ye // Bndu _2,1.69 //
   ete tvadvaṃśasaṃbhūtāḥ sthānakālābhimāninaḥ /	ete tvad vaMSa saMBUtAH sTAna kAla aBimAninaH /
   tava tenaiva rūpeṇa sthāpayeyurimāḥ prajāḥ // BndP_2,1.70 //	tava tena eva rUpeNa sTApayeyuH imAH prajAH // Bndu _2,1.70 //
   yugādinidhanāścāpi sthāpayantu iti dvijāḥ /	yuga Adi niDanAH ca api sTApayantu iti dvijAH /
   tato 'bravīllokaguruḥ paramityabhidhāra yan // BndP_2,1.71 //	tatas abravIt lokaguruH param iti aBiDAra yat // Bndu _2,1.71 //
   etadeva viniścitya mayā sṛṣṭā na saṃśayaḥ /	etat eva viniScitya mayA sRzwAH na saMSayaH /
   bhavatāṃ vaṃśasaṃbhūtāḥ punarete maharṣayaḥ // BndP_2,1.72 //	BavatAm vaMSa saMBUtAH punar ete mahA RzayaH // Bndu _2,1.72 //
   teṣāṃ bhṛgoḥ kīrttayiṣye vaṃśaṃ pūrvaṃ mahātmanaḥ /	tezAm BRgoH kIrttayizye vaMSam pUrvam mahAtmanaH /
   vistareṇānupūrvyā ca prathamasya prajāpateḥ // BndP_2,1.73 //	vistareNa AnupUrvyA ca praTamasya prajApateH // Bndu _2,1.73 //
   bhārye bhṛgorapratime uttamābhijane śubhe /	BArye BRgoH apratime uttama aBijane SuBe /
   hiraṇyakaśipo kanyā divyā nāma pariśrutā // BndP_2,1.74 //	hiraNyakaSipaH kanyA divyA nAma pariSrutAH // Bndu _2,1.74 //
   pulomnaścava paulomī duhitā varavarṇinī /	pulomnaH cava pOlomI duhitA varavarNinI /
   bhṛgostvajanayaddivyā putraṃ brahmavidāṃ varam // BndP_2,1.75 //	BRgoH tu ajanayat divyA putram brahma vidAm varam // Bndu _2,1.75 //
   devāsurāṇāmācāryaṃ śukraṃ kavivaraṃ graham /	deva asurANAm AcAryam Sukram kavi varam graham /
   śukra evośanā nityamataḥ kāvyo 'pi nāmataḥ // BndP_2,1.76 //	SukraH eva uSanAH nityam atas kAvyaH api nAmataH // Bndu _2,1.76 //
   pitṝṇāṃ mānasī kanyā somapānāṃ yaśasvinī /	pitLNAm mAnasI kanyA somapAnAm yaSasvinI /
   śukrasya bhāryā gaurnāma vijajñe caturaḥ sutān // BndP_2,1.77 //	Sukrasya BAryA gOH nAma vijajQe caturaH sutAn // Bndu _2,1.77 //
   tvaṣṭā caiva varatrī ca śaṇḍāmakārai ca tāvubhau /	tvazwA ca eva varatrI ca SaNxAmakArE ca tO= uBO /
   tejasādityasaṃkāśā brahmakalpāḥ prabhāvataḥ // BndP_2,1.78 //	tejasA Aditya saMkASAH brahma kalpAH praBAvataH // Bndu _2,1.78 //
   rajataḥ pṛthuraśmiśca vidvānyaśca bṛhaṅgirāḥ /	rajataH pRTuraSmiH ca vidvAn yaH ca bRhaFgirAH /
   varatriṇaḥ sutā hyete brahmiṣṭhā daityayājakāḥ // BndP_2,1.79 //	varatriNaH sutAH hi ete brahmizWAH dEtya yAjakAH // Bndu _2,1.79 //
   ijyādharmavināśārthaṃ manumetyābhyayājayan /	ijyA Darma vinASa arTam manum etya aByayAjayan /
   nirasyamānaṃ vai dharmaṃ dṛṣṭvendro manumābravīt // BndP_2,1.80 //	nirasyamAnam vE Darmam dRzwvA indraH manumA bravIt // Bndu _2,1.80 //
   etaireva tu kāmaṃ tvāṃ prāpayiṣyāmi yājanam /	etEH eva tu kAmam tvAm prApayizyAmi yAjanam /
   śrutvendrasya tu tadvākyaṃ tasmāddeśādapākraman // BndP_2,1.81 //	SrutvA indrasya tu tat vAkyam tasmAt deSAt apAkraman // Bndu _2,1.81 //
   tirobhūteṣu teṣvindro manupatnīmacetanām /	tiroBUtezu tezu indraH manupatnIm acetanAm /
   graheṇa mocayitvā ca tataścānusasāra tām // BndP_2,1.82 //	graheNa mocayitvA ca tatas ca anusasAra tAm // Bndu _2,1.82 //
   tata indravināśāya yatamānānmunīṃstu tān /	tatas indra vinASAya yatamAnAn munIn= tu tAn /
   tānāgatānpunardṛṣṭvā duṣṭānindro vihasya tu // BndP_2,1.83 //	tAn AgatAn punar dRzwvA duzwAn indraH vihasya tu // Bndu _2,1.83 //
   tatastā nadahatkruddho vedyarddhe dakṣiṇe tataḥ /	tatas tAH nada hat krudDaH vedyA RdDe dakziNe tatas /
   teṣāṃ tu dhṛṣyamāṇānāṃ tatra śālāvṛkaiḥ saha // BndP_2,1.84 //	tezAm tu DRzyamANAnAm tatra SAlAvRkEH saha // Bndu _2,1.84 //
   śīrṣāṇi nyapataṃstāni kharjūrā hyabhavaṃstataḥ /	SIrzANi nyapatan= tAni KarjUrAH hi aBavan= tatas /
   evaṃ varatriṇaḥ putrā indreṇa nihatāḥ purā // BndP_2,1.85 //	evam varatriNaH putrAH indreNa nihatAH purA // Bndu _2,1.85 //
   jayantyāṃ devayānī tu śukrasya duhitābhavat /	jayantyAm devayAnI tu Sukrasya duhitA aBavat /
   triśirā viśvarūpastu tvaṣṭuḥ putro 'bhavanmahān // BndP_2,1.86 //	triSirAH viSva rUpaH tu tvazwuH putraH aBavat mahAn // Bndu _2,1.86 //
   yaśodharāyāmutpanno vairocanyāṃ mahāyaśāḥ /	yaSaH DarAyAm utpannaH vErocanyAm mahA yaSAH /
   viśvarūpānujaścaiva viśvakarmā ca yaḥ smṛtaḥ // BndP_2,1.87 //	viSva rUpa anujaH ca eva viSvakarmA ca yaH smRtaH // Bndu _2,1.87 //
   bhṛgostu bhṛgavo devā jajñire dvādaśātmajāḥ /	BRgoH tu BRgavaH devAH jajQire dvAdaSa AtmajAH /
   divyānusuṣuve kanyā kāvyasyaivānujā prabhoḥ // BndP_2,1.88 //	divya anusuzuve kanyA kAvyasya eva anujA praBoH // Bndu _2,1.88 //
   bhuvanobhāvanaścaiva antyaścāntyāyanastathā /	BuvanaH BAvanaH ca eva antyaH ca antyAyanaH taTA /
