   akriyāpi kriyā tathā SRtp_192b	akriyA-api kriyA taTA SRtp_192b
   ananyāpi vibhinnātaḥ SRtp_304c	ananyA-api viBinnAtaH SRtp_304c
   ananyāyāḥ kriyātmanaḥ SRtp_132d	ananyAyAH kriyA-AtmanaH SRtp_132d
   anapekṣaḥ kṣaṇena ca SRtp_313b	anapekzaH kzaNena ca SRtp_313b
   anapekṣeṇa jāyate SRtp_54d	anapekzeNa jAyate SRtp_54d
   anāpannavikāro 'pi SRtp_311a	anApanna-vikAraH api SRtp_311a
   anāsādya phalaṃ tena SRtp_97a	anAsAdya Palam tena SRtp_97a
   anāhitaviśeṣo 'pi SRtp_306c	anAhita-viSezaH api SRtp_306c
   anivāryāvatiṣṭhate SRtp_159d	anivArya-avatizWate SRtp_159d
   anugṛhṇāti cātmanaḥ SRtp_264d	anugRhNAti ca-AtmanaH SRtp_264d
   anupādānarūpāṇāṃ SRtp_162c	anupAdAna-rUpANAm SRtp_162c
   anumānasya sāphalyam SRtp_229a	anumAnasya sAPalyam SRtp_229a
   anumānaṃ ca sādhayet SRtp_222b	anumAnam ca sADayet SRtp_222b
   anuviddhamiha jñānaṃ SRtp_85a	anuvidDam-iha jQAnam SRtp_85a
   anekabhuvanāvalim SRtp_134d	aneka-Buvana-Avalim SRtp_134d
   anenaiva śarīreṇa SRtp_318a	anena-eva SarIreNa SRtp_318a
   antarā dṛḍhabandhanam SRtp_248d	antarA dRXa-banDanam SRtp_248d
   antarā śaktidīpikām SRtp_302d	antarA SaktidIpikAm SRtp_302d
   antaḥsaṃjalparūpā tu SRtp_75a	antar-saMjalpa-rUpA tu SRtp_75a
   anyathā nopapadyate SRtp_228b	anyaTA na-upapadyate SRtp_228b
   anyathaivopalambhanāt SRtp_295d	anyaTA-eva-upalamBanAt SRtp_295d
   anyathoktaviśeṣaṇam SRtp_63b	anyaTA-ukta-viSezaNam SRtp_63b
   anyasyānyatra sadbhāvaḥ SRtp_120c	anyasya-anyatra sadBAvaH SRtp_120c
   anye tu kathayantyatra SRtp_164c	anye tu kaTayanti-atra SRtp_164c
   anye vṛttiparīṇāma- SRtp_62c	anye vRtti-parINAma SRtp_62c
   anyonyādhyāsasādhyatvād SRtp_243c	anyonya-aDyAsa-sADya-tvAt SRtp_243c
   aparā kāryagocarā SRtp_272d	aparA kArya-gocarA SRtp_272d
   apare vṛttiśālinīm SRtp_285d	apare vRtti-SAlinIm SRtp_285d
   api kāmān prayacchati SRtp_20b	api kAmAn prayacCati SRtp_20b
   api cānyatvamadvaita- SRtp_230a	api ca-anya-tvam-advEta SRtp_230a
   api tasyāvabodhanāt SRtp_8b	api tasya-avaboDanAt SRtp_8b
   api tiktaṃ vijānāti SRtp_235c	api tiktam vijAnAti SRtp_235c
   api binduvadiṣyate SRtp_200d	api bindu-vat-izyate SRtp_200d
   api bhedagrahe sati SRtp_229b	api Beda-grahe sati SRtp_229b
   aprasiddhasya dharmasya SRtp_215c	aprasidDasya Darmasya SRtp_215c
   aprāptaśivadhāmānas SRtp_23c	aprApta-Siva-DAmAnaH SRtp_23c
   abādhitaḥ pramāṇaiśca SRtp_240c	abADitaH pramANEH-ca SRtp_240c
   abhivyāptaḥ sa bindunā SRtp_118d	aBivyAptaH sa bindunA SRtp_118d
   abhivyāptāṃ ca bindunā SRtp_165b	aBivyAptAm ca bindunA SRtp_165b
   amoghā balaśālinī SRtp_190b	amoGA bala-SAlinI SRtp_190b
   arthasāmarthajaṃ jñānaṃ SRtp_210c	arTa-sAmarTa-jam jQAnam SRtp_210c
   alaukikāni sūkṣmāṇi SRtp_18a	alOkikAni sUkzmANi SRtp_18a
   alpajñānakriyānvitāḥ SRtp_50d	alpa-jQAna-kriyA-anvitAH SRtp_50d
   alpīyāṃsaṃ samāvṛtya SRtp_256a	alpIyAMsam samAvRtya SRtp_256a
   avagāhya parānanda- SRtp_15c	avagAhya para-Ananda SRtp_15c
   avabodhābhimānataḥ SRtp_67d	avaboDa-aBimAnataH SRtp_67d
   avasīyeta sūribhiḥ SRtp_15b	avasIyeta sUriBiH SRtp_15b
   avasthāntarasamprāptiḥ SRtp_36a	avasTA-antara-samprAptiH SRtp_36a
   avasthābhedajanmanām SRtp_311d	avasTA-Beda-janmanAm SRtp_311d
   avasthābhedamāsādya SRtp_309a	avasTA-Bedam-AsAdya SRtp_309a
   avasthāmapare bindor SRtp_154a	avasTAm-apare bindoH SRtp_154a
   avikāro 'pi bhāskaraḥ SRtp_313d	avikAraH api BAskaraH SRtp_313d
   avikāro 'pi śaktimān SRtp_312d	avikAraH api SaktimAn SRtp_312d
   avināśi ca tannityam SRtp_297c	avinASi ca tat-nityam SRtp_297c
   avibhāgasvarūpiṇī SRtp_156d	aviBAga-svarUpiNI SRtp_156d
   avibhāgena varṇānāṃ SRtp_76a	aviBAgena varNAnAm SRtp_76a
   avivekakṛtodayaḥ SRtp_243d	aviveka-kRta-udayaH SRtp_243d
   avivekena jānati SRtp_246c	avivekena jAnati SRtp_246c
   aviveko niyantā cet SRtp_253a	avivekaH niyantA ced SRtp_253a
   aviśuddhajaḍatvena SRtp_41c	aviSudDa-jaxa-tvena SRtp_41c
   avyaktamapi varṇāśca SRtp_99c	avyaktam-api varNAH-ca SRtp_99c
   aśaktaḥ kiṃ kariṣyati SRtp_303b	aSaktaH kim karizyati SRtp_303b
   aśuddhayoraśuddhaiva SRtp_175a	aSudDayoH-aSudDA-eva SRtp_175a
   aśeṣasyāpi vastunaḥ SRtp_292d	aSezasya-api vastunaH SRtp_292d
   aśeṣārthakriyāvidhau SRtp_195b	aSeza-arTa-kriyA-viDO SRtp_195b
   aṣṭādaśabhiradhvāyaṃ SRtp_31c	azwAdaSaBiH-aDvAyam SRtp_31c
   aṣṭāvanantapūrvāste SRtp_28a	azwO=-ananta-pUrvAH-te SRtp_28a
   aṣṭāvaṣṭau padānyeka- SRtp_101a	azwO=-azwO padAni-eka SRtp_101a
   aṣṭāviṃśatisaṃkhyasitu SRtp_94a	azwAviMSati-saMKya-situ SRtp_94a
   asataḥ prathayatyasau SRtp_204b	asataH praTayati-asO SRtp_204b
   asāvapi tathocyate SRtp_275d	asO=-api taTA-ucyate SRtp_275d
   asti śaktiḥ śivāśrayā SRtp_293b	asti SaktiH Siva-ASrayA SRtp_293b
   asmatpreṣyo yathā janaḥ SRtp_62b	asmad-prezyaH yaTA janaH SRtp_62b
   aheturbandhamokṣayoḥ SRtp_205d	ahetuH-banDa-mokzayoH SRtp_205d
   ākāradvayasaṃvittir SRtp_292c	AkAra-dvaya-saMvittiH SRtp_292c
   āgamaḥ kathamadvaitam SRtp_222a	AgamaH kaTam-advEtam SRtp_222a
   āgamaiḥ sopapattikaiḥ SRtp_237b	AgamEH sa-upapattikEH SRtp_237b
   āgamo 'pi padaistaistaiḥ SRtp_220c	AgamaH api padEH-tEH-tEH SRtp_220c
   ācāryaistairaśeṣādhva- SRtp_164a	AcAryEH-tEH-aSeza-aDva SRtp_164a
   āṇavaṃ cinnabho muhuḥ SRtp_188d	ANavam cit-naBaH muhur SRtp_188d
   ātmakārye 'pi kīrtitaḥ SRtp_151d	Atma-kArye api kIrtitaH SRtp_151d
   ātmānamanupaśyati SRtp_316d	AtmAnam-anupaSyati SRtp_316d
   ātmā śaktiśca vijñeyau SRtp_49c	AtmA SaktiH-ca vijQeyO SRtp_49c
   ādimadhyāntarahitā SRtp_185c	Adi-maDya-anta-rahitA SRtp_185c
   ādyā tu saṃvid vijñānaṃ SRtp_128a	AdyA tu saMvid vijQAnam SRtp_128a
   ānandavipralabdhānām SRtp_14c	Ananda-vipralabDAnAm SRtp_14c
   ānandopahitā citiḥ SRtp_14d	Ananda-upahitA citiH SRtp_14d
   āptaścintāmaṇiryathā SRtp_20d	AptaH-cintAmaNiH-yaTA SRtp_20d
   āptastu śiva evaikaḥ SRtp_11c	AptaH-tu SivaH eva-ekaH SRtp_11c
   āptoktiratra siddhāntaḥ SRtp_10a	Apta-uktiH-atra sidDAntaH SRtp_10a
   ābhyo viviktamātmānaṃ SRtp_81c	AByaH viviktam-AtmAnam SRtp_81c
   āropyātmani cidguṇam SRtp_246b	Aropya-Atmani cit-guNam SRtp_246b
   āropyātmani tadvṛtti- SRtp_244c	Aropya-Atmani tad-vRtti SRtp_244c
   āśāmātravijṛmbhitā SRtp_220b	ASA-mAtra-vijRmBitA SRtp_220b
   āśāsvekaikaśo daśa SRtp_92b	ASAsu-eka-ekaSas daSa SRtp_92b
   āhurātmavido janāḥ SRtp_80d	AhuH-Atma-vidaH janAH SRtp_80d
   icchākāryamanicchāpi SRtp_191c	icCA-kAryam-anicCA-api SRtp_191c
   icchājñānakriyādyā yat SRtp_276c	icCA-jQAna-kriyA-AdyAH yat SRtp_276c
   iti jānāti yaḥ śaktaḥ SRtp_64c	iti jAnAti yaH SaktaH SRtp_64c
   iti tatrābhidhīyate SRtp_134b	iti tatra-aBiDIyate SRtp_134b
   iti bhogaḥ samākhyātaḥ SRtp_148a	iti BogaH samAKyAtaH SRtp_148a
   ito 'pi lakṣyate bindur SRtp_50a	itas api lakzyate binduH SRtp_50a
   ityadvaitagrahāviṣṭāḥ SRtp_213a	iti-advEta-graha-AvizwAH SRtp_213a
   ityadvaitaprasiddhaye SRtp_218b	iti-advEta-prasidDaye SRtp_218b
   ityākhyātā mahāmāyā SRtp_163c	iti-AKyAtA mahAmAyA SRtp_163c
   idamandhatamaḥ kṛtsnam SRtp_302c	idam-anDatamaH kRtsnam SRtp_302c
   idamevaṃ mayā kṣubdham SRtp_64a	idam-evam mayA kzubDam SRtp_64a
   indunārkasya sannidhau SRtp_189b	indunA-arkasya sanniDO SRtp_189b
   iyaṃ kuṇḍalinī parā SRtp_127b	iyam kuNxalinI parA SRtp_127b
   iva bhūtādikāraṇam SRtp_58b	iva BUtAdi-kAraNam SRtp_58b
   iṣṭamasmād vibhidyate SRtp_297d	izwam-asmAt viBidyate SRtp_297d
   iṣṭaṃ sampādayed dhruvam SRtp_64b	izwam sampAdayet Druvam SRtp_64b
   iṣyetaiṣa karoti ca SRtp_67b	izyeta-eza karoti ca SRtp_67b
   īśādhikakriyāśaktyor SRtp_130c	ISa-aDika-kriyA-SaktyoH SRtp_130c
   īśānamūrdhā puṃvaktro SRtp_281c	ISAna-mUrDA puMvaktraH SRtp_281c
   īśāno mantrarāḍenām SRtp_117c	ISAnaH mantra-rAxenAm SRtp_117c
   īśvarapreritaḥ kuryāc SRtp_152a	ISvara-preritaH kuryAt SRtp_152a
   īśvaraḥ kāraṇaṃ tatra SRtp_113c	ISvaraH kAraNam tatra SRtp_113c
   īśvarāṇāṃ śivānāṃ ca SRtp_4c	ISvarANAm SivAnAm ca SRtp_4c
   īśvarāṇāṃ śivānāṃ ca SRtp_277a	ISvarANAm SivAnAm ca SRtp_277a
   īśvarī sarvadoditā SRtp_167d	ISvarI sarva-doditA SRtp_167d
   uttirṇamāyamātmānaṃ SRtp_176c	uttirNam-Ayam-AtmAnam SRtp_176c
   uttīrṇamāyāmbudhayo SRtp_23a	uttIrNa-mAyA-ambuDayaH SRtp_23a
   utpattināśau māyeya- SRtp_35a	utpatti-nASO mAyeya SRtp_35a
   utpadyate naśyati vā SRtp_196c	utpadyate naSyati vA SRtp_196c
   udakṣeṇordhvavaktreṇa SRtp_16c	udakzeNa-UrDva-vaktreNa SRtp_16c
   udapādi na tatpunaḥ SRtp_210b	udapAdi na tat-punar SRtp_210b
   uddiśya śaktirīśasya SRtp_177a	uddiSya SaktiH-ISasya SRtp_177a
   upādānamato binduḥ SRtp_40a	upAdAnam-atas binduH SRtp_40a
   upādānamanaśvaram SRtp_38d	upAdAnam-anaSvaram SRtp_38d
   upādānaṃ kalādīnām SRtp_165a	upAdAnam kalA-AdInAm SRtp_165a
   upādānaṃ kalādīnāṃ SRtp_150a	upAdAnam kalA-AdInAm SRtp_150a
   upādānaṃ śarīrāṇāṃ SRtp_158a	upAdAnam SarIrANAm SRtp_158a
   upādhiḥ kāryamīśituḥ SRtp_300d	upADiH kAryam-ISituH SRtp_300d
   ullikhan labhate citim SRtp_59b	ulliKan laBate citim SRtp_59b
   eka eva śivastadvac SRtp_283a	ekaH eva SivaH-tadvat SRtp_283a
   eka eva śivo naika- SRtp_144a	ekaH eva SivaH na-eka SRtp_144a
   ekamindumanekāṃstān SRtp_234c	ekam-indum-anekAn=-tAn SRtp_234c
   ekānekavibhāgeva SRtp_190c	eka-aneka-viBAgA-iva SRtp_190c
   ekānekāyate bhramāt SRtp_204d	ekA-anekAyate BramAt SRtp_204d
   ekāśītipadā devī SRtp_93c	ekASIti-padA devI SRtp_93c
   ekaiva khalu cicchaktiḥ SRtp_180c	ekA-eva Kalu cicCaktiH SRtp_180c
   eko devastridhā bhavet SRtp_181d	ekaH devaH-triDA Bavet SRtp_181d
   etadeva parā kāṣṭhā SRtp_8c	etat-eva parA kAzWA SRtp_8c
   etadeva mataṃ bījaṃ SRtp_7a	etat-eva matam bIjam SRtp_7a
   evaṃ māyaikadeśena SRtp_178c	evam mAyA-eka-deSena SRtp_178c
   eṣā hi pariṇāminī SRtp_69b	ezA hi pariNAminI SRtp_69b
   aikye hi na tayorhetu- SRtp_217c	Ekye hi na tayoH-hetu SRtp_217c
   omityādyaṃ padaṃ mantrāḥ SRtp_116a	om-iti-Adyam padam mantrAH SRtp_116a
   aupacārikamṛcchati SRtp_288b	OpacArikam-RcCati SRtp_288b
   kaṭhinā vajralāñchitā SRtp_95d	kaWinA vajra-lAQCitA SRtp_95d
   kathaṃ kasmācca te punaḥ SRtp_141d	kaTam kasmAt-ca te punar SRtp_141d
   kathaṃ vāyaṃ bhavet kartā SRtp_301c	kaTam vA-ayam Bavet kartA SRtp_301c
   kathitānyatra varṇāstu SRtp_110a	kaTitAnyatra varNAH-tu SRtp_110a
   kadācit kurute kiñcin SRtp_306a	kadAcid kurute kiQcin SRtp_306a
   kandaścijjaḍavastunoḥ SRtp_247d	kandaH-cid-jaxa-vastunoH SRtp_247d
   karaṇāni tayostathā SRtp_250d	karaNAni tayoH-taTA SRtp_250d
   karaṇena vinā kāryaṃ SRtp_299c	karaNena vinA kAryam SRtp_299c
   kartāraṃ sādhayet tataḥ SRtp_159b	kartAram sADayet tatas SRtp_159b
   kartā śuddhādhvano mataḥ SRtp_133b	kartA SudDADvanaH mataH SRtp_133b
   kartā sargādikāryāṇām SRtp_312c	kartA sarga-Adi-kAryANAm SRtp_312c
   kartāsya śiva eva yat SRtp_262b	kartA-asya SivaH eva yat SRtp_262b
   kartā heturmaheśvaraḥ SRtp_151b	kartA hetuH-maheSvaraH SRtp_151b
   kartṛbhedo 'vadhāryate SRtp_69d	kartR-BedaH avaDAryate SRtp_69d
   kartrā kenāpyadhiṣṭhitā SRtp_149d	kartrA kena-api-aDizWitA SRtp_149d
   karmaṇā vartate param SRtp_317d	karmaNA vartate param SRtp_317d
   karmaṇaiva nivartyeta SRtp_239a	karmaNA-eva nivartyeta SRtp_239a
   karmaṇoḥ sannipātena SRtp_315c	karmaNoH sannipAtena SRtp_315c
   karmopabhogaṃ kurute SRtp_55c	karma-upaBogam kurute SRtp_55c
   kalādiṣvajarāmaram SRtp_88d	kalA-Adizu-ajara-amaram SRtp_88d
   kalādhvā bindumāśritaḥ SRtp_88b	kalA-aDvA bindum-ASritaH SRtp_88b
   kalādhvā varṇitaḥ pūrvaṃ SRtp_89c	kalA-aDvA varNitaH pUrvam SRtp_89c
   kalādhveti prakīrtitaḥ SRtp_118b	kalADvA-iti prakIrtitaH SRtp_118b
   kalānāmavibhāgo 'yaṃ SRtp_272a	kalAnAm-aviBAgaH ayam SRtp_272a
   kalānāṃ nityaśuddhayoḥ SRtp_162d	kalAnAm nitya-SudDayoH SRtp_162d
   kalāyāmavanīṃ vinā SRtp_98b	kalAyAm-avanIm vinA SRtp_98b
   kalāvidyādikāraṇam SRtp_160b	kalA-avidyA-Adi-kAraNam SRtp_160b
   kalāvyāptasvarūpā ca SRtp_154c	kalA-vyApta-svarUpA ca SRtp_154c
   kalāvyāptasvarūpiṇī SRtp_150b	kalA-vyApta-svarUpiNI SRtp_150b
   kalāśuddhyā viśuddhyati SRtp_160d	kalA-SudDyA viSudDi-ati SRtp_160d
   kalāstā binduvṛttayaḥ SRtp_86b	kalAH-tAH bindu-vRttayaH SRtp_86b
   kalā hi śodhitāḥ pañca SRtp_161a	kalAH hi SoDitAH paQca SRtp_161a
   kalpavṛkṣaḥ prayacchati SRtp_193d	kalpavRkzaH prayacCati SRtp_193d
   kallolairnādayannabhaḥ SRtp_189d	kallolEH-nAdayat-naBaH SRtp_189d
   kasya kena kathaṃ vyāptir SRtp_218a	kasya kena kaTam vyAptiH SRtp_218a
   kāmakāritayānyaistu SRtp_12c	kAma-kAri-tayA-anyEH-tu SRtp_12c
   kāmānapi bahūnekaḥ SRtp_193c	kAmAn-api bahUn-ekaH SRtp_193c
   kāraṇajñānavarjitaḥ SRtp_301d	kAraNa-jQAna-varjitaH SRtp_301d
   kāraṇatvād yatheśvaraḥ SRtp_200b	kAraNa-tvAt yaTA-ISvaraH SRtp_200b
   kāraṇaṃ timirādivat SRtp_238b	kAraNam timira-Adi-vat SRtp_238b
   kāraṇaṃ śaktirāśritā SRtp_289b	kAraNam SaktiH-ASritA SRtp_289b
   kāraṇaṃ śuddhavartmanaḥ SRtp_173b	kAraNam SudDa-vartmanaH SRtp_173b
   kārtikeyāya dhīmate SRtp_1d	kArtikeyAya DImate SRtp_1d
   kārmāṇavamalānvayaiḥ SRtp_42b	kArmANava-mala-anvayEH SRtp_42b
   kāryaputrādirūpāṇām SRtp_295c	kArya-putra-Adi-rUpANAm SRtp_295c
   kāryabhedādadhiṣṭhāna- SRtp_270a	kArya-BedAt-aDizWAna SRtp_270a
   kāryabhedād vibhāvyate SRtp_190d	kArya-BedAt viBAvyate SRtp_190d
   kāryabhedāya ghaṭate SRtp_310c	kArya-BedAya Gawate SRtp_310c
   kāryabhedo 'pi kāryasya SRtp_307a	kArya-BedaH api kAryasya SRtp_307a
   kāryamadhvā viśeṣataḥ SRtp_161d	kAryam-aDvA viSezataH SRtp_161d
   kāryavādavicakṣaṇaiḥ SRtp_164b	kArya-vAda-vicakzaNEH SRtp_164b
   kāryāṇāṃ heturucyate SRtp_278d	kAryANAm hetuH-ucyate SRtp_278d
   kāryātmikā sā māyeyaṃ SRtp_158c	kArya-AtmikA sA mAyA-iyam SRtp_158c
   kāryopādhivaśācchakti- SRtp_298c	kArya-upADi-vaSAt-Sakti SRtp_298c
   kiñca māyā prayojyena SRtp_149c	kiQca mAyA prayojyena SRtp_149c
   kiñca śabdāḥ parityajya SRtp_223a	kiQca SabdAH parityajya SRtp_223a
   kiñcāgṛhītamapi ced SRtp_300c	kiQca-agRhItam-api ced SRtp_300c
   kiñcātiśāyikaṃ prāhus SRtp_57a	kiQca-atiSAyikam prAhuH SRtp_57a
   kiñcit kenacideva yat SRtp_252b	kiQcid kenacid-eva yat SRtp_252b
   kiṃ tairiti vilupyatām SRtp_56b	kim tEH-iti vilupyatAm SRtp_56b
   kiṃ punaḥ śaraṇāyātaṃ SRtp_320a	kim punar SaraNa-AyAtam SRtp_320a
   kīrtayanti vipaścitaḥ SRtp_202d	kIrtayanti vipaScitaH SRtp_202d
   kumbhakāreṇa mṛd yathā SRtp_45d	kumBakAreNa mRd yaTA SRtp_45d
   kurute 'cintyavaibhavā SRtp_193b	kurute acintya-vEBavA SRtp_193b
   kurute tadaśeṣataḥ SRtp_142d	kurute tat-aSezatas SRtp_142d
   kurvato 'pi kuṭīṃ buddhiḥ SRtp_70a	kurvataH api kuwIm budDiH SRtp_70a
   kurvan kartā bhavediti SRtp_299d	kurvan kartA Bavet-iti SRtp_299d
   kurvanti pañcakṛtyāni SRtp_287a	kurvanti paQca-kRtyAni SRtp_287a
   kurvāṇecchā cidavyayā SRtp_191d	kurvANa-icCA cit-avyayA SRtp_191d
   kulālādhiṣṭhitā satī SRtp_124b	kulAla-aDizWitA satI SRtp_124b
   kulālena tathā hyasau SRtp_150d	kulAlena taTA hi-asO SRtp_150d
   kṛtavarṇaparigrahā SRtp_73d	kRta-varNa-parigrahA SRtp_73d
   kṛtā śrīkaṇṭhasūriṇā SRtp_322b	kRtA SrIkaNWa-sUriNA SRtp_322b
   kṛtyeṣu teṣu kartāsau SRtp_265a	kRtyezu tezu kartA-asO SRtp_265a
   kecidācakṣate binduḥ SRtp_126c	kecid-Acakzate binduH SRtp_126c
   kena vā pratipādyate SRtp_202b	kena vA pratipAdyate SRtp_202b
   kevalaṃ buddhyupādānā SRtp_74c	kevalam budDi-upAdAnA SRtp_74c
   kevalaḥ paramānando SRtp_78c	kevalaH parama-AnandaH SRtp_78c
   kevalānāṃ mahātmanām SRtp_131b	kevalAnAm mahAtmanAm SRtp_131b
   kramād varṇānupāyinī SRtp_74d	kramAt varNa-anupAyinI SRtp_74d
   kriyayā kurute jagat SRtp_128d	kriyayA kurute jagat SRtp_128d
   kriyayā hetubhūtatvāt SRtp_139c	kriyayA hetu-BUta-tvAt SRtp_139c
   kriyā kuṇḍalinī parā SRtp_128b	kriyA kuNxalinI parA SRtp_128b
   kriyākhyā śaktiraiśvarī SRtp_266d	kriyA-AKyA SaktiH-ESvarI SRtp_266d
   kriyāśaktiścideva yat SRtp_139d	kriyASaktiH-cid-eva yat SRtp_139d
   kriyā hi phaladā puṃsāṃ SRtp_129a	kriyA hi Pala-dA puMsAm SRtp_129a
   kvathyamāne ca vāriṇi SRtp_236b	kvaTyamAne ca vAriNi SRtp_236b
   kva vā līyeta kena vā SRtp_140d	kva vA lIyeta kena vA SRtp_140d
   kṣakāro 'rṇeṣu kīrtitaḥ SRtp_93b	kzakAraH arNezu kIrtitaH SRtp_93b
   kṣantumarhanti tatsanto SRtp_3c	kzantum-arhanti tad-santaH SRtp_3c
   kṣīyate na ca vardhate SRtp_195d	kzIyate na ca varDate SRtp_195d
   kṣīrasya dadhibhāvavat SRtp_36b	kzIrasya daDi-BAva-vat SRtp_36b
   kṣubdhe 'dhikāro devasya SRtp_180a	kzubDe aDikAraH devasya SRtp_180a
   kṣobhitānantatejasā SRtp_40d	kzoBita-ananta-tejasA SRtp_40d
   kṣobhyate 'nantanāthena SRtp_45c	kzoByate anantanATena SRtp_45c
   gabhastiḥ syāt tathā śivaḥ SRtp_312b	gaBastiH syAt taTA SivaH SRtp_312b
   gabhīre cinmahodadhau SRtp_284b	gaBIre cit-mahodaDO SRtp_284b
   gamakaṃ vidyate kvacit SRtp_262d	gamakam vidyate kvacid SRtp_262d
   garbhiṇī paramā kalā SRtp_116d	garBiNI paramA kalA SRtp_116d
   galite sarvathā bandhe SRtp_254c	galite sarvaTA banDe SRtp_254c
   gādikāntāstrayo matāḥ SRtp_110b	gAdikA-antAH-trayaH matAH SRtp_110b
   guravaḥ kathayantyenam SRtp_63a	guravaH kaTayanti-enam SRtp_63a
   gurave ca gaṇeśāya SRtp_1c	gurave ca gaNeSAya SRtp_1c
   gurave śivatejase SRtp_320d	gurave Siva-tejase SRtp_320d
   gurubhiḥ pratibodhyante SRtp_213c	guruBiH pratiboDyante SRtp_213c
   guhyo jātatanūjjvalaḥ SRtp_282b	guhyaH jAta-tanu-ujjvalaH SRtp_282b
   gocaraiva satī ca yat SRtp_45b	gocarA-eva satI ca yat SRtp_45b
   gopitāni śivena ca SRtp_18b	gopitAni Sivena ca SRtp_18b
   gauṇe 'rthe lokavedayoḥ SRtp_223d	gONe arTe loka-vedayoH SRtp_223d
   gaurbrāhmaṇo 'yamādityo SRtp_224a	gOH-brAhmaNaH ayam-AdityaH SRtp_224a
   grahaṇe lampaṭodayā SRtp_290b	grahaNe lampawa-udayA SRtp_290b
   grāhyā yārthasya vācikā SRtp_73b	grAhyA yA-arTasya vAcikA SRtp_73b
   ghaṭamārabhate yathā SRtp_309b	Gawam-AraBate yaTA SRtp_309b
   ghoro nityoditaḥ prabhuḥ SRtp_78d	GoraH nitya-uditaH praBuH SRtp_78d
   catasro vṛttayastasya SRtp_72a	catasraH vRttayaH-tasya SRtp_72a
   caraṇena kareṇa ca SRtp_319b	caraNena kareNa ca SRtp_319b
