   Bodhisattvaprātimokṣasūtram	BoDisattva-prAtimokza-sUtram
   saṃsthāpya saṃpūjya puraskṛtyaivaṃ syādvacanīyaḥ /	saMsTApya saMpUjya puraskRtya-evam syAt-vacanIyaH /
   anuprayaccha me kulaputrāyuṣmān bhadanteti vā	anuprayacCa me kula-putra-AyuzmAn Badanta-iti vA
   bodhisattvaśīlasaṃvarasamādānamiti /	boDisattva-SIla-saMvara-samAdAnam-iti /
   tat ekāgrāṃ smṛtimupasthāpya citta prasādamevānuvṛṃhayata / na cirasyedānī	tat ekAgrAm smRtim-upasTApya citta prasAdam-eva-anuvRMhayata / na cirasya-idAnI
   me 'kṣayasyāprameyasya niruttarasya mahāpuṇyanidhānasya	me akzayasya-aprameyasya niruttarasya mahA-puNya-niDAnasya
   prāptirbhaviṣyatīti / evamevārthamanuvicintayatā tūṣṇīṃ bhavitavyam / tena	prAptiH-Bavizyati-iti / evam-eva-arTam-anuvicintayatA tUzNIm Bavitavyam / tena
   punarvvijñena bodhisattvena sa tathā pratipanno bodhisattvo 'vikṣiptena	punar-vvijQena boDisattvena sa taTA pratipannaH boDisattvaH avikziptena
   cetasā sthitena vā niṣaṇṇena vā evaṃ syādvacanīyaḥ / śṛṇu tvamevannāman	cetasA sTitena vA nizaNNena vE evam syAt-vacanIyaH / SRNu tvam-evannAman
   kulaputrāyuṣman bhadanteti vā bodhisattvo 'si bodhau ca kṛtapraṇidhānaḥ /	kula-putra-Ayuzman Badanta-iti vA boDisattvaH asi boDO ca kRta-praNiDAnaH /
   tena omiti pratijñātavyaṃ / sa punaruttari evaṃsyādvacanīyaḥ / pratīcchasi	tena om-iti pratijQAtavyam / sa punar-uttari evaMsyAt-vacanIyaH / pratIcCasi
   tvamevannāman kulaputrāyuṣmān bhadanteti vā bodhisattvo 'si bodhau	tvam-evat-nAman kula-putra-AyuzmAn Badanta-iti vA boDisattvaH asi boDO
   kṛtapraṇidhāno mamāntikāt sarvvāṇi bodhisattvaśikṣāpadāni sarvvañca	kRta-praNiDAnaH mama-antikAt sarvvANi boDisattva-SikzA-padAni sarvu-aQca
   bodhisattvaśīlaṃ saṃvaraśīlaṃ kuśaladharmmasaṃgrāhakaśīlaṃ	boDisattva-SIlam saMvara-SIlam kuSala-Darmma-saMgrAhaka-SIlam
   sattvārthakriyāśīlaṃ ca yacchīlamatītānāṃ bodhisattvanāmabhūt yāni ca	sattva-arTa-kriyA-SIlam ca yat-SIlam-atItAnAm boDisattvanAm-aBUt yAni ca
   śikṣāpadāni / yacchīlamanāgatānām bodhisattvānāṃ bhaviṣyati yāni ca	SikzA-padAni / yat-SIlam-anAgatAnAm boDisattvAnAm Bavizyati yAni ca
   śikṣāpadāni / yacchīlametarhi daśasu dikṣu pratyutpannānāṃ bodhisattvānāṃ	SikzA-padAni / yat-SIlam-etarhi daSasu dikzu pratyutpannAnAm boDisattvAnAm
   bhavati yāni ca śikṣāpadāni / yeṣu ca śikṣāpadeṣu yeṣu śīleṣvatītāḥ	Bavati yAni ca SikzA-padAni / yezu ca SikzA-padezu yezu SIlezu-atItAH
   sarvvabodhisattvāḥ śikṣitavantaḥ / anāgatāḥ sarvvabodhisattvāḥ śikṣiṣyante	sarvu-aboDisattvAH SikzitavantaH / anAgatAH sarvu-aboDisattvAH Sikzizyante
   / pratyutpannāḥ sarvvabodhisattvāḥ śikṣante / tena pratigṛṇhāmīti	/ pratyutpannAH sarvu-aboDisattvAH Sikzante / tena pratigRNhAmi-iti
   pratijñātavyaṃ // trirevam //	pratijQAtavyam // tris-evam //
   samanvāharantu māṃ daśadiglokadhānusannipatitā buddhā bhagavanto	samanvAharantu mAm daSa-diS-lokaDAnu-sannipatitAH budDAH BagavantaH-
   bodhisattvāḥ / samanvāharatvācāryyo 'hamevannāmā	boDisattvAH / samanvAharatu-a-AcAryyaH aham-evat-nAmA
   yatkiñcitkāyavāṅmanobhirbuddha bodhisattvān mātāpitarau tadanyān vā	yat-kiQcitkAya-vAc-manoBiH-budDa boDisattvAn mAtA-pitarO tad-anyAn vA
   sattvān samāgamyehajanmanyanyeṣu vā janmāṃ tareṣu mayāpāyaṃ kṛtaṃ	sattvAn samAgamya-iha-janmani-anyezu vA janmAm tarezu mayA-apAyam kRtam
   kāritamanumoditam vā tat sarvvamaikadhyamabhisaṃkṣipya piṇḍayitvā	kAritam-anumoditam vA tat sarvvam-EkaDyam-aBisaMkzipya piNxayitvA
   tulayitvā sarvvabuddhabodhisattvānāmācāryyasya cāntike 'grayā pravarayā	tulayitvA sarvu-abudDa-boDisattvAnAm-AcAryi-asya ca-antike agrayA pravarayA
   pratideśanayā pratideśayāmi jānan smaran na praticchādayāmi // trirevam //	pratideSanayA pratideSayAmi jAnan smaran na praticCAdayAmi // tris-evam //
   sohamevaṃnāmā evaṃdeśitātyaya imaṃ divasamupādāya āvodhimaṇḍaniṣadanāt	soham-evaMnAmA evaMdeSita-atyayaH imam divasam-upAdAya AvoDi-maNxa-nizadanAt-
   buddhaṃ bhagavantaṃ mahākārūṇikaṃ sarvvajñaṃ sarvvadarśinaṃ	budDam Bagavantam mahAkArUNikam sarvu-ajQam sarvu-adarSinam
   sarvvavairabhayātītaṃ mahāpuruṣamabhedyakāyamanuttarakāyaṃ dharmmakāyaṃ	sarvvavEH-a-Baya-atItam mahApuruzam-aBedya-kAyam-anuttara-kAyam Darmma-kAyam
   śaraṇaṃ gacchāmi dvipadānāmagryam // so 'hamevaṃnāmā evaṃdeśitātyaya imaṃ	SaraNam gacCAmi dvipadAnAm-agryam // saH aham-evaMnAmA evaMdeSita-atyayaH imam
   divasamupādāya ābodhimaṇḍadiṣadanāddharma śaraṇaṃ gacchāmi śāntaṃ	divasam-upAdAya AboDimaNxa-dizadanAt-Darma SaraNam gacCAmi SAntam
   virāgāṇāṃ pravaram / so 'hamevaṃnāmā evaṃdeśitātyaya imaṃ divasamupādāya	virAgANAm pravaram / saH aham-evaMnAmA evaMdeSita-atyayaH imam divasam-upAdAya
   ābodhimaṇḍaniṣadanādavaivarttikabodhisattvasaṃghaṃ śaraṇaṃ gacchāmi	AboDi-maNxa-nizada-nAda-vEvarttika-boDisattva-saMGam SaraNam gacCAmi
   gaṇāṇāṃ śreṣṭham // trirevam //	gaNANAm SrezWam // tris-evam //
   sohamevaṃnāmā evaṃdeśitātyayastriśaraṇagato	soham-evaMnAmA evaMdeSita-atyayaH-tri-SaraNa-gataH-
   'nantasattvadhātūttāraṇāyābhyuddharaṇāya saṃsāraduḥkhāt paritrāṇāya	ananta-sattva-DAtu-uttAraNAya-aByudDaraNAya saMsAra-duHKAt paritrANAya
   sarvvajñajñāne anuttare pratiṣṭhāpanāya / yathā te atītānāgatapratyutpannā	sarvu-ajQa-jQAne anuttare pratizWApanAya / yaTA te atIta-anAgata-pratyutpannA
   bodhisattvā bodhicittamutpādya buddhatvamadhigatavanto 'dhigamiṣyanti	boDisattvAH boDi-cittam-utpAdya budDa-tvam-aDigatavantaH aDigamizyanti
   adhigacchanti ca / yathā sarvvabuddhā 'nāvaraṇena buddhajñānena buddh	aDigacCanti ca / yaTA sarvu-abudDAH anAvaraNena budDa-jQAnena budD
   cakṣuṣā jānanti paśyanti yathā dharmmāṇāṃ niḥsvabhāvatāma(?) nujānanti /	cakzuzA jAnanti paSyanti yaTA DarmmANAm niHsvaBAva-tAm-a(?) nujAnanti /
   tena vidhinā ahamevaṃnāmā evaṃnāmna ācāryyasyāntikāt	tena viDinA aham-evaMnAmA evaMnAmnaH AcAryyasya-antikAt-
   sarvvabuddhabodhisattvānāṃ ca purato 'nuttarāyāṃ samyaksambodhau	sarvu-abudDa-boDisattvAnAm ca puratas anuttarAyAm samyaksamboDO
   cittamutpādayāmi // trirevam //	cittam-utpAdayAmi // tris-evam //
   idaṃ cāhamatyayadeśanātriśaraṇagamanabodhicittotpādajanitaṃ	idam ca-aham-atyaya-deSanA-tri-SaraNa-gamana-boDi-citta-utpAda-janitam
   kuśalamūlamanuttarāyāṃ samyaksaṃbodhau pariṇāmayāmi yadahaṃ loke aśaraṇe	kuSala-mUlam-anuttarAyAm samyaksaMboDO pariNAmayAmi yat-aham loke aSaraNe
   alayane aparāyaṇe 'dvipe trāṇaṃ śaraṇaṃ layaṇaṃ parāyaṇaṃ dvīpo bhaveyam /	alayane aparAyaNe advipe trANam SaraNam layaNam parAyaNam dvIpaH Baveyam /
   sarvvasattvāṃśca bhavārṇavādutīrṇastārayeyam / aparinirvṛtānanāvaraṇena	sarvu-asattvAn=-ca Bava-arNavAt-utIrNaH-tArayeyam / aparinirvRtAnana-AvaraNena
   dharmmadhātuparinirvāṇena parinirvvāpayeyam / anāśvastānāśvāśayeyam //	Darmma-DAtu-parinirvANena parinirvvApayeyam / anASvastAn-ASvASayeyam //
   trirapi //	tris-api //
   sohamevaṃnāmā evamutpāditabodhicitto 'nantasattvadhātuṃ yathā	soham-evaMnAmA evam-utpAdita-boDi-cittaH ananta-sattva-DAtum yaTA
   mātāpitṛbhaginībhrātṛputraduhitranyatamānyatamajñātisālohitasthānīyāṃstathā	mAtA-pitR-BaginI-BrAtR-putra-duhitR-anyatama-anyatama-jQAti-sa-Alohita-sTAnIyAn=-taTA
   pratigṛṇhāmi / pratigṛhya ca yathāśakti yathābalam yathājñānaṃ kuśalamūlaṃ	pratigRNhAmi / pratigRhya ca yaTASakti yaTAbalam yaTAjQAnam kuSala-mUlam
   samāropayāmi / itaḥ prabhṛti yatkiñcit dānaṃ dāsyāmi śīlaṃ rakṣiṣyāmi	samAropayAmi / itas praBRti yat-kiQcit dAnam dAsyAmi SIlam rakzizyAmi
   kṣāṃti saṃpādayiṣyāmi vīryamārabhya dhyānaṃ samāpatsye prajñayā	kzAMti saMpAdayizyAmi vIryam-AraBya DyAnam samApatsye prajQayA
   vyavacāryya upāyakauśalyaṃ vā śikṣiṣye tat sarvvasattvānāmarthāya hitāya	vyavacAryya upAya-kOSalyam vA Sikzizye tat sarvu-asattvAnAm-arTAya hitAya
   sukhāya //	suKAya //
   uttarāṃ ca samyaksaṃbodhimārabhya teṣāṃ mahābhūmipraviṣṭānāṃ	uttarAm ca samyaksaMboDim-AraBya tezAm mahA-BUmi-pravizwAnAm
   bodhisattvānāṃ mahākāruṇikāṇāṃ mahāyāne sāmicīmanupravrajāmi /	boDisattvAnAm mahA-kAruNikANAm mahAyAne sAmicIm-anupravrajAmi /
   anupravrajya bodhisattvo 'haṃ bodhisattva iti māmitaḥ prabhṛtyācāryyo	anupravrajya boDisattvaH aham boDisattvaH iti mAm-itas praBRti-AcAryyaH-
   dhārayatu // trirevam //	DArayatu // tris-evam //
   tatastenācāryyeṇa tasyāḥ pratimāyāḥ purato daśasu dikṣu	tatas-tena-AcAryyeNa tasyAH pratimAyAH puratas daSasu dikzu
   buddhabodhisattvānāṃ tiṣṭhatāṃ dhriyatāṃ yāpayatāṃ pādayornnipatya sāmicīṃ	budDa-boDisattvAnAm tizWatAm DriyatAm yApayatAm pAdayoH-nnipatya sAmicIm
   kṛtvā evamārocayitavyam / gṛhītamanenaivaṃnāmnā bodhisattvena	kRtvA evam-Arocayitavyam / gRhItam-anena-evaMnAmnA boDisattvena
   mamaivaṃnāmno bodhisattvasyāntikāt yāvat trirapi	mama-evaMnAmnaH boDisattvasya-antikAt yAvat tris-api
   bodhisatvaśīlasaṃvarasamādānam / sohamevaṃnāmā bodhisattva ātmānaṃ	boDisatva-SIla-saMvara-samAdAnam / soham-evaMnAmA boDisattvaH AtmAnam
   sākṣibhūtaṃ prajānan asyaivaṃnāmno bodhisattvasya paramāryyāṇāṃ	sAkzi-BUtam prajAnan asya-evaMnAmnaH boDisattvasya parama-aryyANAm
   viparokṣāṇāmapi sarvatra sarvvasattvānāṃ viparokṣabuddhīnāṃ	viparokzANAm-api sarvatra sarvu-asattvAnAm viparokza-budDInAm
   daśadikṣvanantāparyyanteṣu lokadhātuṣvārocayāmi / asmin	daSa-dikzu-ananta-aparyyantezu lokaDAtuzu-ArocayAmi / asmin
   bodhisattvaśīlasaṃvarasamādānam // trirevam //	boDisattva-SIla-saMvara-samAdAnam // tris-evam //
   evaṃ punaḥ śīlasaṃvarasamādānakarmmasamāptyanantaraṃ dharmmatā khalveṣā	evam punar SIla-saMvara-samAdAna-karmma-samApti-anantaram Darmma-tA Kalu-ezA
   yad daśasu dikṣvanantāparyyantesu lokadhātuṣu tathāgatānāṃ tiṣṭhatāṃ	yat daSasu dikzu-ananta-aparyyantesu lokaDAtuzu taTAgatAnAm tizWatAm
   dhriyatāṃ yāpayatāṃ mahābhūmipraviṣṭānāṃ ca bodhisattvānāṃ tadrupaṃ	DriyatAm yApayatAm mahA-BUmi-pravizwAnAm ca boDisattvAnAm tad-rupam
   nimittam prādurbhavati yena teṣāmevaṃ bhavati / evaṃnāmnā bodhisattvena	nimittam prAdurBavati yena tezAm-evam Bavati / evaMnAmnA boDisattvena
   evaṃnāmno bodhisattvasyāntikāt bodhisattvaśīlasaṃvara samādānaṃ	evaMnAmnaH boDisattvasya-antikAt boDisattva-SIla-saMvara samAdAnam
   samāttamiti // evaṃ tāvat parataḥ samādānavidhiruktaḥ //	samAttam-iti // evam tAvat paratas samAdAna-viDiH-uktaH //
   yadi tairguṇairyuktaḥ pudgalo na sannihitaḥ syāt tato bodhisattvena	yadi tEH-guNEH-yuktaH pudgalaH na sannihitaH syAt tatas boDisattvena
   tathāgatapratimāyāḥ purataḥ svayamapi bodhisattvaśīlasaṃvarasamādāne	taTAgata-pratimAyAH puratas svayam-api boDisattva-SIla-saMvara-samAdAne
   vacanīyam / evaṃ ca karaṇīyam / ekāṃsamuttarāsaṅgaṃ kṛtvā daśasu	vacanIyam / evam ca karaNIyam / eka-aMsam-uttarAsaFgam kRtvA daSasu
   dikṣvatītānāgatapratyutpannānāṃ buddhānāṃ bhagavatāṃ mahābhūmipraviṣṭānāṃ	dikzu-atIta-anAgata-pratyutpannAnAm budDAnAm BagavatAm mahA-BUmi-pravizwAnAm
   ca bodhisattvānāṃ sāmīcīṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ	ca boDisattvAnAm sAmIcIm kRtvA dakziNam jAnu-maNxalam pRTivyAm
   pratiṣṭhāpya utkuṭukena vā idam syādvacanīyam / ahamevaṃnāmā daśasu dikṣu	pratizWApya utkuwukena vA idam syAt-vacanIyam / aham-evaMnAmA daSasu dikzu
   sarvatathāgatān mahābhūmipraviṣṭāṃśca bodhisattvān vijñāpayāmi / teṣāṃ	sarva-taTAgatAn mahA-BUmi-pravizwAn=-ca boDisattvAn vijQApayAmi / tezAm
   purataḥ sarvvāṇi bodhisatvaśikṣāpadāni sarvvaṃ ca bodhisattvaśīlaṃ	puratas sarvvANi boDisatva-SikzA-padAni sarvvam ca boDisattva-SIlam
   samādade / yacchīlamityādi pūrvvavat yāvat bodhisattvo bodhisattva iti /	samAdade / yat-SIlam-ityAdi pUrvva-vat yAvat boDisattvaH boDisattvaH iti /
   māmitaḥ prabhṛti buddha bhagavanto bodhisattvāśca dhārayantviti vijñaptiḥ	mAm-itas praBRti budDa BagavantaH boDisattvAH-ca DArayantu-iti vijQaptiH
