   atha dvitīyo 'dhyāyaḥ /	aTa dvitIyaH aDyAyaH /
   tenaiṣa vedarāśirbrahmaprabhavaḥ	tena eza veda rASiH brahma praBavaH
   sannājānasiddhānāvaraṇabhūtārthamātragocaratabuddhipūrvako yathā tathā	sanna ajAna sidDa an AvaraNa BUta arTa mAtra gocarata budDi pUrvakaH yaTA taTA
   kapilādīnāmapi śrutismṛtiprathitājānasiddhabhāvānāṃ smṛtayo	kapila AdInAm api Sruti smRti praTita ajAna sidDa BAvAnAm smRtayo
   'nāvaraṇasarvaviṣayatadbuddhiprabhavā iti na śrutibhyo 'mūṣāmasti	anAvaraNa sarva vizaya tad budDi praBavAH iti na SrutiByaH amUzAm asti
   kaścidviśeṣaḥ /	kaScid viSezaH /
   na caitāḥ sphuṭataraṃ pradhānādipratipādanaparāḥ śakyante 'nyathayitum /	na ca etAH sPuwataram praDAna Adi pratipAdana parAH Sakyante anyaTayitum /
   tasmāttadanurodhena kathañcicchrutaya eva netavyāḥ /	tasmAt tad anuroDena kaTaQcid SrutayaH eva netavyAH /
   api ca tarko 'pi kapilādismṛtiranumanyate, tasmādapyetadeva prāptam /	api ca tarkaH api kapila Adi smRtiH anumanyate, tasmAt api etat eva prAptam /
   evaṃ prāpta āha tasya samādhiriti /	evam prAptaH Aha tasya samADiH iti /
   yathā hi śrutīnāmavigānaṃ brahmaṇi gatisāmānyāt, naivaṃ	yaTA hi SrutInAm avigAnam brahmaNi gati sAmAnyAt, na evam
   smṛtīnāmavigānamasti pradhāne, tāsāṃ bhūyasīnāṃ	smRtInAm avigAnam asti praDAne, tAsAm BUyasInAm
   brahmopādānatvapratipādanaparāṇāṃ tatra tatra darśanāt /	brahma upAdAna tva pratipAdana parANAm tatra tatra darSanAt /
   tasmādavigānācchrauta evārtha āstheyo na tu smārto vigānāditi /	tasmAt avigAnAt SrOtaH eva arTaH AsTeyaH na tu smArtaH vigAnAt iti /
   tatkimidānīṃ parasparavigānātsarvā eva smṛtayo 'vaheyā ityata	tat kim idAnIm paraspara vigAnAt sarvAH eva smRtayaH avaheyAH iti ata
   āha vipratipattau ca smṛtīnāmiti /	Aha vipratipattO ca smRtInAm iti /
   na cātīndriyārthāniti /	na ca atIndriya arTAn iti /
   arvāgdṛgabhiprāyam /	arvAk dRS aBiprAyam /
   śaṅkate śakyaṃ kapilādīnāmiti /	SaFkate  Sakyam kapila AdInAm iti /
   nirākaroti na /	nirAkaroti na /
   siddherapīti /	sidDeH api iti /
   na tāvatkapilādaya īśvaravadājānasiddhāḥ, kintu viniścatavedaprāmāṇyānāṃ	na tAvat kapila AdayaH ISvara vat AjAna sidDAH, kintu viniScata veda prAmANyAnAm
   teṣāṃ tadanuṣṭhānavatāṃ prāci bhave 'smiñjanmani siddhiḥ, ata	tezAm tat anuzWAnavatAm prAci Bave asmin janmani sidDiH, ata
   evājānasiddhā ucyante /	eva ajAnasidDAH ucyante /
   yadasmin janmani na taiḥ siddhadyupāyo 'nuṣṭhitaḥ	yat asmin janmani na tEH sidDadyupAyaH anuzWitaH
   prāgbhavīyavedārthānuṣṭhānalabdhajanmatvāttatsiddhīnām /	prAk BavIya veda arTa anuzWAna labDa janma tvAt tad sidDInAm /
   tathā cāvadhṛtavedaprāmāṇyānāṃ tadviruddhārthābhidhānaṃ	taTA ca avaDRtaveda prAmANyAnAm tad virudDa arTa aBiDAnam
   tadapabādhitamapramāṇameva /	tad apabADitam apramANam eva /
   apramāṇena ca na vedārtho 'tiśaṅkituṃ yuktaḥ pramāṇasiddhatvāttasya /	apramANena ca na veda arTaH atiSaFkitum yuktaH pramANa sidDa tvAt tasya /
   tadevaṃ vedavirodhe siddhavacanamapramāṇamuktvā siddhānāmapi	tat evam veda viroDe sidDa vacanam apramANam uktvA sidDAnAm api
   parasparavirodhe tadvacanādanāśvāsa iti pūrvoktaṃ	paraspara viroDe tad vacanAt anASvAsaH iti pUrva uktam
   smārayati siddhavyapāśrayakalpanāyāmapīti /	smArayati sidDa vyapASraya kalpanAyAm api iti /
   śraddhājaḍānbodhayati paratantraprajñasyāpīti /	SradDA jaxAn boDayati paratantra prajQasya api iti /
   nanu śrutiścetkapilādīnāmanāvaraṇabhūtārthagocarajñānātiśayaṃ bodhayati,	nanu SrutiH ced kapila AdInAm anAvaraNa BUta arTa gocara jQAna atiSayam boDayati,
   kathaṃ teṣāṃ vacanamapramāṇaṃ, tadaprāmāṇye	kaTam tezAm vacanam apramANan, tad aprAmANye
   śruterapyaprāmāṇyaprasaṅgādityata āha yā tu śrutiriti /	SruteH api aprAmANya prasaFgAt ityatas Aha yA tu SrutiH iti /
   na tāvatsiddhānāṃ parasparaviruddhāni vacāṃsi pramāṇaṃ bhavitumarhanti /	na tAvat sidDAnAm paraspara virudDAni vacAMsi pramANam Bavitum arhanti /
   naca vikalpo vastuni, siddhe tadanupapatteḥ /	na ca vikalpaH vastuni, sidDe tad anupapatteH /
   anuṣṭhānamanāgatotpādyaṃ vikalpyate, na siddham /	anuzWAnam anAgata utpAdyam vikalpyate, na sidDam /
   tasya vyavasthānāt /	tasya vyavasTAnAt /
   tasmācchutisāmānyamātreṇa bhramaḥ sāṃkhyapraṇetā kapilaḥ śrauta iti /	tasmAt Suti sAmAnya mAtreNa BramaH sAMKya praNetA kapilaH SrOtaH iti /
   syādetat /	syAt etat /
   kapila eva śrauto nānye manvādayaḥ /	kapilaH eva SrOtaH na anye manu AdayaH /
   tataśca teṣāṃ smṛtiḥ kapilasmṛtiviruddhāvaheyetyata āha bhavati cānyā	tatas ca tezAm smRtiH kapila smRti virudDa avaheya iti atas Aha Bavati ca anyA
   manoriti /	manoH iti /
   tasyāścāgamāntarasaṃvādamāha mahābhārate 'pi ceti /	tasyAH ca Agama antara saMvAda mAha  mahABArate api ca iti /
   na kevalaṃ manoḥ smṛtiḥ smṛtyantarasaṃvādinī,	na kevalam manoH smRtiH smRti antara saMvAdinI,
   śrutisaṃvādinyapītyāha śrutiśceti /	Sruti saMvAdinI apIti A aha  SrutiH ca iti /
   upasaṃharati ata iti /	upasaMharati ate iti /
   syādetat /	syAt etat /
   bhavatu vedaviruddhaṃ kāpilaṃ vacastathāpi dvayorapi	Bavatu veda virudDam kApilam vacaH taTA api dvayoH api
   puruṣabuddhiprabhavatayā ko vinigamanāyāṃ heturyato vedavirodhi kāpilaṃ	puruza budDi praBava tayA kaH vinigamanAyAm hetuH yatas veda viroDi kApilam
   vaco nādaraṇīyamityata āha vedasya hi nirapekṣamiti /	vacaH na AdaraNIyam iti atas Aha vedasya hi nirapekzam iti /
   ayamabhisaṃdhiḥ satyaṃ śāstrayonirīśvarastathāpyasya na śāstrakriyāyāmasti	ayam aBisaMDiH satyam SAstra yoniH ISvaraH taTA api asya na SAstra kriyAyAm asti
   svātantryaṃ kapilādīnāmiva /	svAtantryam kapila AdInAm iva /
   sa hi bhagavān yādṛśaṃ pūrvasmin sarge cakāra śāstraṃ tadanusāreṇāsminnapi	sa hi BagavAn yAdRSam pUrvasmin sarge cakAra SAstram tad anusAreNa asmin= api
   sarge praṇītavān /	sarge praNItavAn /
   evaṃ pūrvatarānusāreṇa pūrvasmin pūrvatāmanusāreṇa ca pūrvatara	evam pUrvatara anusAreNa pUrvasmin pUrva tAm anusAreNa ca pUrvatara
   ityanādirayaṃ śāstreśvarayoḥ kāryakāraṇabhāvaḥ /	iti anAdiH ayam SAstra ISvarayoH kArya kAraNa BAvaH /
   tatreśvarasya na śāstrārthajñānapūrvā śāstrakriyā yenāsya	tatra ISvarasya na SAstra arTa jQAna pUrvA SAstra kriyAH yena asya
   kapilādivatsvātantryaṃ bhavat /	kapila Adi vat svAtantryam Bavat /
   śāstrārthajñānaṃ cāsya svayamāvirbhavadapi na śāstrakāraṇatāmupaiti,	SAstra arTa jQAnam ca asya svayam AvirBavat api na SAstra kAraNa tAm upEti,
   dvayorapyaparyāyeṇāvirbhāvāt /	dvayoH api aparyAyeNa AvirBAvAt /
   śāstraṃ ca svatobodhakatayā puruṣasvātantryābhāvena nirastamastadoṣāśaṅkaṃ	SAstram ca svatas boDaka tayA puruza svAtantrya aBAvena nirastam asta doza ASaFkam
   sadanapekṣaṃ sākṣādeva svārthe pramāṇam /	sat anapekzam sAkzAt eva sva arTe pramANam /
   kapilādivacāṃsi tu svatantrakapilādipraṇetṛkāṇi tadarthasmṛtipūrvakāṇi,	kapila Adi vacAMsi tu svatantra kapila Adi praNetRkANi tad arTa smRti pUrvakANi,
   tadarthasmṛtayaśca tadarthānubhavapūrvāḥ /	tad arTa smRtayaH ca tad arTa anuBava pUrvAH /
   tasmāttāsāmarthapratyayāṅgaprāmāṇyaviniścayāya yāvatsmṛtyanubhavau kalpete	tasmAt tAsAm arTa pratyaya aFga prAmANya viniScayAya yAvat smRti anuBavO kalpete
   tāvatsvataḥ siddhapramāṇabhāvayānepakṣayaiva śrutyā svārtho viniścāyita	tAvat svatas sidDa pramANa BAva yAnepa kzayA eva SrutyA sva arTaH viniScAyita
   iti śīghratarapravṛttayā śrutyā smṛtyartho bādhyata iti yuktam //1//	iti SIGratara pravRttayA SrutyA smRti arTaH bADyate iti yuktam //1//
   START BsVBh_2,1.1.2	START BsVBh_2,1.1.2
   itareṣāṃ cānupalabdheḥ | BBs_2,1.2 |	itarezAm ca anupalabDeH | BBH _2,1.2 |
   pradhānasya tāvatkvacid vedapradeśe vākyābhāsānudṛśyante, tadvikārāṇāṃ tu	praDAnasya tAvat kvacid veda pradeSe vAkya ABAsa anudRSyante, tad vikArANAm tu
   mahadādīnāṃ tānyapi na sandhi /	mahat AdInAm tAni api na sanDi /
   naca bhūtendriyādivanmahadādayo lokasiddhāḥ /	na ca BUta indriya Adi vat mahat AdayaH loka sidDAH /
   tasmādātyantikāt pramāṇāntarāsaṃvādāt pramāṇamūlatvācca	tasmAt AtyantikAt pramANa antara asaMvAdAt pramANa mUla tvAt ca
   smṛtermūlābhāvādabhāvo vandhyāyā iva dauhitryasmṛteḥ /	smRteH mUla aBAvAt aBAvaH vanDyAyAH iva dOhitrya smRteH /
   na cārṣajñānamatra mūlamupapadyata iti yuktam /	na ca Arza jQAnam atra mUlam upapadyate iti yuktam /
   tasmānna kāpilasmṛteḥ pradhānopādānatvaṃ jagata iti siddham //2//	tasmAt na kApila smRteH praDAna upAdAna tvam jagataH iti sidDam //2//
   START BsVBh_2,1.2.3	START BsVBh_2,1.2.3
   etena yogaḥ pratyuktaḥ | BBs_2,1.3 |	etena yogaH pratyuktaH | BBH _2,1.3 |
   nānena yogaśāstrasya hairaṇyagarbhapātañjalādeḥ sarvathā prāmāṇyaṃ	na anena yoga SAstrasya hEraNyagarBa pAtaQjala AdeH sarvaTA prAmANyam
   nirākriyate, kintu	nirAkriyate, kintu
   jagadupādānasvatantrapradhānatadvikāramahadahaṅkārapañcatanmātragocaraṃ	jagat upAdAna svatantra praDAna tad vikAra mahat ahaFkAra paQca tanmAtra gocaram
   prāmāṇyaṃ nāstītyucyate /	prAmANyam na asti iti ucyate /
   na caitāvataiṣāmaprāmāṇyaṃ bhavitumarhati /	na ca etAvatA ezAm aprAmANyam Bavitum arhati /
   yatparāṇi hi tāni tatrāprāmāṇye 'prāmāṇyamaśruvīran /	yat parANi hi tAni tatra aprAmANye aprAmANyam aSru vIran /
   na caitāni pradhānādisadbhāvaparāṇi /	na ca etAni praDAna Adi sadBAva parANi /
   kintu	kintu
   yogasvarūpatatsādhanatadavāntaraphalavibhūtitatparamaphalakaivalyavyutpādanaparāṇi	yoga svarUpa tad sADana tadavAntara Pala viBUti tad parama Pala kEvalya vyutpAdana parANi
   tacca kiñcinnimittīkṛtya vyutpādyamiti pradhānaṃ savikāraṃ nimittīkṛtaṃ,	tat ca kiQcid nimittIkRtya vyutpAdyam iti praDAnam sa vikAram nimittIkRtaM,
   purāṇeṣviva sargapratisargavaṃśamanvantaravaṃśānucaritaṃ	purANezu iva sarga pratisarga vaMSa manvantara vaMSa anucaritam
   tatpratipādanapareṣu, na tu tadvivakṣitam /	tad pratipAdana parezu, na tu tad vivakzitam /
   anyaparādapi cānyanimittaṃ tatpratīyamānamabhyupeyeta, yadi na mānāntareṇa	anya parAt api ca anya nimittam tat pratIyamAnam aByupeyeta, yadi na mAna antareNa
   virudhyeta /	viruDyeta /
   asti tu vedāntaśrutibhirasya virodha ityuktam /	asti tu vedAnta SrutiBiH asya viroDaH iti uktam /
   tasmātpramāṇabhūtādapi yogaśāstrānna pradhānādisiddhiḥ /	tasmAt pramANa BUtAt api yoga SAstrAt na praDAna Adi sidDiH /
   ata eva yogaśāstraṃ vyutpādayitāha sma bhagavān vārṣagaṇyaḥ 'guṇānāṃ	atas eva yoga SAstram vyutpAdayitA Aha sma BagavAn vArzagaNyaH  aguNAnAm
   paramaṃ rūpaṃ na dṛṣṭipathamṛcchati /	paramam rUpam na dRzwi paTam RcCati /
   yattu dṛṣṭipathaprāptaṃ tanmāyaiva sutucchakam //	yat tu dRzwi paTa prAptam tat mAyA eva su tucCakam //
   'iti /	aiti /
   yogaṃ vyutpipādayiṣatā nimittamātreṇeha guṇā uktāḥ, na tu bhāvataḥ,	yogam vyutpipAdayizatA nimitta mAtreNa iha guNAH uktAH, na tu BAvataH,
   teṣāmatāttvikatvādityarthaḥ /	tezAm atAttvika tvAt iti arTaH /
   alokasiddhānāmapi	aloka sidDAnAm api
   pradhānādīnāmanādipūrvapakṣanyāyābhāsotprekṣitānāmanuvādyatvamupapannam /	praDAna AdInAm anAdi pUrva pakza nyAya ABAsa utprekzitAnAm anuvAdya tvam upapannam /
   tadanenābhisaṃdhināha etena sāṃkhyasmṛtipratyākhyānena	tad anena aBisaMDinAha  etena sAMKya smRti pratyAKyAnena
   yogasmṛtirapipradhānādiviṣayatayāpratyākhyātā draṣṭavyeti /	yoga smRtiH api praDAna Adi vizaya tayA pratyAKyAtA drazwavyA iti /
   adhikaraṇāntarārambhamākṣipati nanvevaṃ sati samānanyāyatvāditi /	aDikaraNa antara AramBam Akzipati nanu evam sati samAna nyAya tvAt iti /
   samādhatte  astyatrābhyadhikāśaṅkā /	samADatte  asti atra aByaDika ASaFkA /
   mā nāma sāṃkhyaśāstrātpradhānasattā vijñāyi /	mA nAma sAMKya SAstrAt praDAna sattA vijQAyi /
   yogaśāstrāttu pradhānādisattā vijñāpayiṣyate bahulaṃ hi yogaśāstrāṇāṃ	yoga SAstrAt tu praDAna Adi sattA vijQApayizyate bahulam hi yoga SAstrANAm
   vedena saha saṃvādo dṛśyate /	vedena saha saMvAdaH dRSyate /
   upaniṣadupāyasya ca tattvajñānasya yogāpekṣāsti /	upanizad upAyasya ca tattva jQAnasya yoga apekzA asti /
   na jātu yogaśāstravihitaṃ yamaniyamādibahiraṅgamupāyamapahāyāntaraṅgaṃ ca	na jAtu yoga SAstra vihitam yama niyama Adi bahiraFgam upAyam apahAya antaraFgam ca
   dhāraṇādikamantareṇaupaniṣadātmatattvasākṣātkāra udetumarhati /	DAraNa Adikam antareNa Opanizad a Atma tattva sAkzAtkAraH udetum arhati /
   tasmādaupaniṣadena tattvajñānenāpakṣaṇāt saṃvādabāhulyācca	tasmAt Opanizadena tattva jQAnena apakzaNAt saMvAda bAhulyAt ca
   vedenāṣṭakādismṛtivadyogasmṛtiḥ pramāṇam /	vedena azwaka Adi smRti vat yoga smRtiH pramANam /
   tataśca pramāṇātpradhānādipratīternāśabdatvam /	tatas ca pramANAt praDAna Adi pratIteH na aSabda tvam /
   naca tadapramāṇaṃ pradhānādau, pramāṇaṃ ca yamādāviti yuktam /	na ca tad apramANam praDAna AdO, pramANam ca yama AdO= iti yuktam /
   tatrāprāmāṇye 'nyatrāpyanāśvāsāt /	tatra aprAmANye anyatra api anASvAsAt /
   yathāhuḥ 'prasaraṃ na labhante hi yāvatkvacana markaṭāḥ /	yaTA AhuH  aprasaram na laBante hi yAvat kvacana markawAH /
   nābhidravanti te tāvatpiśācā vā svagocare //	na aBidravanti te tAvat piSAcAH vA sva gocare //
   'iti /	aiti /
   seyaṃ labdhaprasarā pradhānādau yogāpramāṇatāpiśācī sarvatraiva durvārā	sA iyam labDa prasarA praDAna AdO yoga apramANa tA pi SAcI sarvatra eva durvArA
   bhavedityasyāḥ prasaraṃ niṣedhatā pradhānādyabhyupeyamiti nāśabdaṃ	Bavet iti asyAH prasaram nizeDa tA praDAna Adi aByupeyam iti na aSabdam
   pradhānamiti śaṅkārthaḥ /	praDAnam iti SaFkA arTaH /
   sāiyamapyadhikāśaṅkātirdeśena nivartyate /	sAiyam api aDika ASaFkAtirdeSena nivartyate /
   nivṛttihetumāha arthaikadeśasaṃpratipattāvapīti /	nivRtti hetu mAha arTa eka deSa saMpratipattO= api iti /
   yadi pradhānādisattāparaṃ yogaśāstraṃ bhavet,	yadi praDAna Adi sattA param yoga SAstram Bavet ,
   bhavetpratyakṣavedāntaśrutivirodhenāpramāṇam /	Bavet pratyakza vedAnta Sruti viroDena apramANam /
   tathā ca tadvihiteṣu yamādiṣvapyanāśvāsaḥ syāt /	taTA ca tad vihitezu yama Adizu api anASvAsaH syAt /
   tasmānna pradhānādiparaṃ tat, kintu tannimittīkṛtya	tasmAt na praDAna Adi param tat, kintu tad nimittIkRtya
   yogavyutpādanaparamityuktam /	yoga vyutpAdana param iti uktam /
   na cāviṣaye 'prāmāṇyaṃ viṣaye 'pi prāmāṇyamupahanti /	na ca avizaye aprAmANyam vizaye api prAmANyam upahanti /
   nahi cakṣū rasādāvapramāṇaṃ rūpe 'pyapramāṇaṃ bhavitumarhati /	na hi cakzuH rasAdO= apramANam rUpe api apramANam Bavitum arhati /
   tasmādvedāntaśrutivirodhātprādhānādirasyāviṣayo na tvaprāmāṇyamiti	tasmAt vedAnta Sruti viroDAt prADAna AdiH asya avizayaH na tu aprAmANyam iti
   paramārthaḥ /	parama arTaH /
   syādetat /	syAt etat /
   adhyātmaviṣayāḥ santi sahasraṃ smṛtayo bauddhārhatakāpālikādīnāṃ, tā api	aDyAtma vizayAH santi sahasram smRtayaH bOdDa arhata kApAlika AdInAn, tAH api
   kasmānna nirākriyanta ityata āha satīṣvapīti /	kasmAt na nirAkriyantaH iti atas Aha satIzu api iti /
   tāsu khalu bahulaṃ vedārthavisaṃvādinīṣu śiṣṭānādṛtāsu kaiścideva tu	tAsu Kalu bahulam veda arTa visaMvAdinIzu Sizwa anAdRtAsu kEScid eva tu
   puruṣāpasadaiḥ paśuprāyairmlecchādibiḥ parigṛhītāsu vedamūlatvāśaṅkaiva	puruza apasadEH paSu prAyEH mlecCa AdibiH parigRhItAsu veda mUla tva ASaFkA eva
   nāstīti na nirākṛtāḥ, tadviparītāstu sāṃkhyayogasmṛtaya iti tāḥ	na asti iti na nirAkRtAH, tad viparItAH tu sAMKya yoga smRtayaH iti tAH
   pradhānādiparatayā vyudasyanta ityarthaḥ /	praDAna Adi paratayA vyudasyante iti arTaH /
   na sāṃkhyajñānena vedanirapekṣeṇeti /	na sAMKya jQAnena veda nirapekzeNa iti /
   pradhānādiviṣayeṇetyarthaḥ /	praDAna Adi vizayeNa iti arTaH /
   dvaitino hi te sāṃkhyā yogāśca /	dvEtinaH hi te sAMKyAH yogAH ca /
   ye pradhānādiparatayā tacchāstraṃ vyācakṣata ityarthaḥ /	ye praDAna Adi paratayA tat SAstram vyAcakzate iti arTaH /
   saṃkhyā samyagbuddhirvaidikī tayā vartanta iti sāṃkhyāḥ /	saMKyA samyak budDiH vEdikI tayA vartante iti sAMKyAH /
   evaṃ yogo dhyānaṃ upāyopeyayorabhedavivakṣayā /	evam yogaH DyAnam upAya upeyayoH aBeda vivakzayA /
   cittavṛttinirodho hi yogastasyopāyo dhyānaṃ pratyayaikānatā /	citta vRtti niroDaH hi yogaH tasya upAyaH DyAnam pratyaya eka AnatA /
   etaccopalakṣaṇam /	etat ca upalakzaNam /
   anye 'pi yamaniyamādayo bāhyā āntarāśca dhāraṇādayo yogopāyā draṣṭavyāḥ /	anye api yama niyama AdayaH bAhyAH AntarAH ca DAraNa AdayaH yoga upAyAH drazwavyAH /
   etenābhyupagatavedaprāmāṇyānāṃ kaṇabhakṣākṣacaraṇādīnāṃ sarvāṇi	etena aByupagata veda prAmANyAnAm kaNa Bakza akza caraNa AdInAm sarvANi
   tarkasmaraṇānīti yojanā /	tarka smaraNAni iti yojanAH /
   sugamamanyat //3//	sugamam anyat //3//
   START BsVBh_2,1.3.4	START BsVBh_2,1.3.4
   na vilakṣaṇatvād asya tathātvaṃ ca śabdāt | BBs_2,1.4 |	na vilakzaNa tvAt asya taTAtvam ca SabdAt | BBH _2,1.4 |
   avāntarasaṃgatimāha brahmāsya jagato nimittakāraṇaṃ prakṛtiścetyasya	avAntara saMgatim Aha  brahma asya jagataH nimitta kAraNam prakRtiH ca iti asya
   pakṣasyeti /	pakzasya iti /
   codayati kutaḥ punariti /	codayati kutas punar iti /
   samānaviṣayatve hi virodho bhavet /	samAna vizaya tve hi viroDaH Bavet /
   na cehāsti samānaviṣayatā, dharmavadbrahmaṇo 'pi	na ca iha asti samAna vizaya tA, Darmavat brahmaNaH api
   mānāntarāviṣayatayātarkyatvenānapekṣāmnāyaikagocaratvādityarthaḥ /	mAna antara avizaya tayA tarkya tvena anapekza AmnAya eka gocara tvAt iti arTaH /
   samādhatte bhavedayamiti /	samADatte  Bavet ayam iti /
   'mānāntarasyāviṣayaḥ siddhavastvavagāhinaḥ /	amAna antarasya avizayaH sidDa vastu avagAhinaH /
   dharmo 'stu kāryarūpatvādbrahma siddhaṃ tu gocaraḥ //	DarmaH astu kArya rUpa tvAt brahma sidDam tu gocaraH //
   'tasmātsamānaviṣayatvādastyatra tarkasyāvakāśaḥ /	atasmAt samAna vizaya tvAt asti atra tarkasya avakASaH /
   nanvastu virodhaḥ, tathāpi tarkādare ko heturityata āha yathā ca	nanu astu viroDaH, taTA api tarka Adare kaH hetuH iti atas Aha yaTA ca
   śrutīnāmiti /	SrutInAm iti /
   sāvakāśā bahvayo 'pi śrutayo 'navakāśaikaśrutivirodhe tadanuguṇatayā yathā	sa avakASAH bahvayaH api SrutayaH anavakASa eka Sruti viroDe tad anuguNa tayA yaTA
   nīyante evamanavakāśaikatarkavirodhe tadanuguṇatayā bahvayo 'pi śrutayo	nIyante evam anavakASa eka tarka viroDe tad anuguNa tayA bahvayaH api Srutayo
   guṇakalpanādibhirvyākhyānamarhantītyarthaḥ /	guNa kalpanAdiBiH vyAKyAnam arhanti iti arTaH /
   api ca brahmasākṣātkāro virodhitayānādimavidyāṃ nivartayan dṛṣṭenaiva	api ca brahma sAkzAtkAraH viroDita yA ana AdimavidyAm nivartayan dRzwena eva
   rūpeṇa mokṣasādhanamiṣyate /	rUpeNa mokza sADanam izyate /
   tatra brahmasākṣātkārasya mokṣasādhanatayā pradhānasyānumānaṃ	tatra brahma sAkzAtkArasya mokza sADana tayA praDAnasya anumAnam
   dṛṣṭasādharmyeṇādṛṣṭaviṣayaṃ viṣayato 'ntaraṅgaṃ, bahiraṅgaṃ	dRzwa sADarmyeNa adRzwa vizayam vizayataH antaraFgaM, bahis aFgam
   tvatyantaparokṣagocaraṃ śābdaṃ jñānaṃ, tena	tu atyanta parokza gocaram SAbdam jQAnaM, tena
   pradhānapratyāsattyāpyanumānameva balīya ityāha dṛṣṭasādharmyeṇa ceti /	praDAna pratyAsattyA api anumAnam eva balIyaH iti Aha  dRzwa sADarmyeNa ca iti /
