   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   saṃbhavati'ityasyāḥ śruteḥ mānatvādgamyate bhūtapariṣvakto raṃhatīti /	saMBavati aityasyAH SruteH mAna tvAt gamyate BUta parizvaktaH raMhati iti /
   tathāhi yā evāpo hutā dvitīyasyāmāhutau somabhāvaṃ gatāstābhireṣa	taTA hi yAH eva apaH hutAH dvitIyasyAm AhutO soma BAvam gatAH tABiH eza
   pariṣvakto jīva iṣṭādikārī candrabhūyaṃ gataścandralokaṃ prāpta iti /	parizvaktaH jIvaH izwa Adi kArI candra BUyam gataH candra lokam prAptaH iti /
   nanu svatantrā āpaḥ śraddhādikrameṇa somabhāvamāpnuvantu tābhirapariṣvakta	nanu svatantrAH ApaH SradDA Adi krameNa soma BAvam Apnuvantu tABiH aparizvakta
   eva tu jīvaḥ sendriyamātro gatvā somabhāvamanubhavatu /	eva tu jIvaH sa indriya mAtraH gatvA soma BAvam anuBavatu /
   ko doṣaḥ /	kaH dozaH /
   ayaṃ doṣaḥ /	ayam dozaH /
   yataḥ śrutisāmānyātikrama iti /	yatas Sruti sAmAnya atikramaH iti /
   evaṃ hi śrutisāmānyaṃ kalpeta yadi yena rūpeṇa yena ca krameṇāpāṃ	evam hi Sruti sAmAnyam kalpeta yadi yena rUpeNa yena ca krameNa apAm
   somabhāvastenaiva jīvasyāpi somabhāvo bhavet /	soma BAvaH tena eva jIvasya api soma BAvaH Bavet /
   anyathā tu na śrutisāmānyaṃ syāt /	anyaTA tu na Sruti sAmAnyam syAt /
   tasmātpariṣvaktāpariṣvaktaraṃhaṇaviśaye śrutisāmānyānurodhena	tasmAt parizvaktA parizvakta raMhaNa viSaye Sruti sAmAnya anuroDena
   pariṣvaktaraṃhaṇaṃ niścīyate /	parizvakta raMhaNam niScIyate /
   ato dadhipayaḥprabhṛtayo dravabhūyastvādāpo hutāḥ sūkṣmībhūtā	atas daDi payaH praBRtayaH drava BUyaH tvAdApaH hutAH sUkzmIBUtA
   iṣṭādikāriṇamāśritā nendhanena vidhinā dehe hūyamāne hutāḥ satya	izwa Adi kAriNam ASritAH na inDanena viDinA dehe hUyamAne hutAH satya
   āhutimayya iṣṭādikāriṇaṃ pariveṣṭya svargaṃ lokaṃ nayantīti /	Ahuti mayyaH izwa Adi kAriNam parivezwya svargam lokam nayanti iti /
   codayati nanvanyā śrutiriti /	codayati nanu anyA SrutiH iti /
   ayamarthaḥ evaṃ hi sūkṣmadehapariṣvakto raṃhet yadyasya sthūlaṃ śarīraṃ	ayam arTaH evam hi sUkzma deha parizvaktaH raMhet yadi asya sTUlam SarIram
   raṃhato na bhavet /	raMhataH na Bavet /
   asti tvasya vartamānasthūlaśarīrayoga	asti tu asya vartamAna sTUla SarIra yoga
   ādehāntaraprāptestṛṇajalāyukānidarśanena, tasmānnidarśanaśrutivirodhānna	Adeha antara prApteH tRNa jala AyukA nidarSanena, tasmAt nidarSana Sruti viroDAn na
   sūkṣmadehapariṣvakto raṃhatīti /	sUkzma deha parizvaktaH raMhati iti /
   pariharati tatrāpīti /	pariharati tatra api iti /
   na tāvatparamātmanaḥ saṃsaraṇasaṃbhavaḥ, tasya	na tAvat paramAtmanaH saMsaraNa saMBavaH, tasya
   nityaśuddhabuddhamuktasvabhāvatvāt /	nitya SudDa budDa mukta svaBAva tvAt /
   kintu jīvānām /	kintu jIvAnAm /
   paramātmaiva copādhikalpitāvacchedo jīva ityākhyāyate, tasya ca	paramAtmA eva ca upADi kalpita avacCedaH jIvaH iti AKyAyate, tasya ca
   dehendriyāderupādheḥ prādeśikatvānna tatra san dehāntaraṃ gantumarhati /	deha indriya AdeH upADeH prAdeSika tvAt na tatra san deha antaram gantum arhati /
   tasmātsūkṣmadehapariṣvakto raṃhatikarmopasthāpitaḥ pratipattavyaḥ	tasmAt sUkzma deha parizvaktaH raMhati karma upasTApitaH pratipattavyaH
   prāptavyo yo dehastadviṣayāyā bhāvanāyā utpādanāyā dīrghībhāvamātraṃ	prAptavyaH yaH dehaH tad vizayAyAH BAvanAyAH utpAdanAyAH dIrGIBAva mAtram
   jalūkayopamīyate /	jalUkayA upamIyate /
   sāṃkhyānāṃ kalpanāmāha vyāpināṃ karaṇānāmiti /	sAMKyAnAm kalpanA mAha  vyApinAm karaNAnAm iti /
   āhaṅkārikatvātkaraṇānāmahaṅkārasya ca jaganmaṇḍalavyāpitvātkaraṇānāmapi	AhaFkArika tvAt karaNAnAm ahaFkArasya ca jagat maNxala vyApi tvAt karaNAnAm api
   vyāpitetyarthaḥ /	vyApitA iti arTaH /
   bauddhānāṃ kalpanāmāha kevalasyaivātmana iti /	bOdDAnAm kalpanA mAha  kevalasya eva AtmanaH iti /
   ālayavijñānasaṃtāna ātmā tasya vṛttiḥ ṣaṭ pravṛttivijñānāni /	AlayavijQAna saMtAne AtmA tasya vRttiH zax pravRtti vijQAnAni /
   pañcendriyāṇi tu cakṣurādīni abhinavāni jāyante /	paQca indriyANi tu cakzuH AdIni aBinavAni jAyante /
   kaṇabhukklpanāmāha mana eva ceti /	kaNaBuj klpanAm A ha manaH eva ca iti /
   bhogasthānaṃ bhogāyatanaṃ śarīramabhinavamiti yāvat /	Boga sTAnam Boga Ayatanam SarIram aBinavam iti yAvat /
   digambarakalpanāmāha jīva evotplutyeti /	digambara kalpanAmA aha  jIvaH eva utplutya iti /
   ādigrahaṇena lokāyatikānāṃ kalpanāṃ saṃgṛhṇāti /	Adi grahaNena lokAyatikAnAm kalpanAm saMgRhNAti /
   te hi śarīrātmavādino bhasmībhāvamātmana āhurna kasyacidgamanamiti //1//	te hi SarIra Atma vAdinaH BasmIBAvam AtmanaH AhuH na kasyacid gamanam iti //1//
   START BsVBh_3,1.1.2	START BsVBh_3,1.1.2
   codayati 	codayati 
   nanūdāhṛtābhyāmiti /	nanu udAhRtAByAm iti /
   atra sūtreṇottaramāha 	atra sUtreNa uttaram Aha 
   tryātmakatvāttu bhūyastvāt | BBs_3,1.2 |	tri Atmaka tvAt tu BUyastvAt | BBH _3,1.2 |
   tejasaḥ kāryamaśitapītāhāraparipākaḥ /	tejasaH kAryam aSita pIta AhAra paripAkaH /
   apāṃ kāryaṃ snehasvedādi /	apAm kAryam sneha sveda Adi /
   pṛthivyāḥ kāryaṃ gandhādi /	pRTivyAH kAryam ganDa Adi /
   yastu gandhasvedapākaprāṇāvakāśadānadarśanāddehasya pāñcabhautikatvaṃ	yaH tu ganDa sveda pAka prANa avakASa dAna darSanAt dehasya pAQcaBOtika tvam
   paśyaṃstejobannātmakatvena tryātmakatve na parituṣyati, taṃ	paSyan= tejaH banna Atmaka tvena tri Atmaka tve na parituzyati, tam
   pratyāha punaśca tryātmaka iti /	pratyAha punar ca tri AtmakaH iti /
   vātapittaśleṣmabhistribhirdhātubhiḥ śarīradhāraṇātmakaistridhātutvāt /	vAta pitta SlezmaBiH triBiH DAtuBiH SarIra DAraNa AtmakEH tri DAtu tvAt /
   ato na sa deho bhūtāntarāṇi pratyākhyāya kevalābhiradbhirārabdhuṃ śakyate	atas na sa dehaH BUta antarANi pratyAKyAya kevalABiH adBiH ArabDum Sakyate
   abgrahaṇaniyamastarhi kasmādityata āha tasmādbhūyastvāpekṣa iti /	abgrahaNa niyamaH tarhi kasmAt iti atas Aha tasmAt BUyaH tva apekzaH iti /
   pṛthivīdhātuvarjamitaratejaḥādyapekṣayā kāryasya śarīrasya	pRTivI DAtu varjam itara tejaH Adi apekzayA kAryasya SarIrasya
   lohitādidravabhūyastvāttatkaraṇayoścopādānanimittayordravabhūyastvādapāṃ	lohita Adi drava BUyaH tvAt tad karaNayoH ca upAdAna nimittayoH drava BUyaH tvAt apAm
   puruṣavacastvoktirna punarbhūtāntaranirāsārthā //2//	puruza vacaH tvA uktiH na punar BUta antara nirAsa arTAH //2//
   START BsVBh_3,1.1.3	START BsVBh_3,1.1.3
   prāṇagateśca | BBs_3,1.3 |	prANa gateH ca | BBH _3,1.3 |
   prāṇānāṃ jīvaddehe sāśrayatvamavagataṃ gacchati jīvaddehe tadanuvidhāyinaḥ	prANAnAm jIvat dehe sa ASraya tvam avagatam gacCati jIvat dehe tad anuviDAyinaH
   prāṇā api gacchantīti dṛṣṭam /	prANAH api gacCanti iti dRzwam /
   ataḥ ṣāṭkauśikā dehādutkrāmantaḥ kasmiṃścidutkrāmatyutkrāmanti /	atas zAz kOSikAH dehAt utkrAmantaH kasmiMScid utkrAmati utkrAmanti /
   sa caiṣāmanuvidheyaḥ sūkṣmo deho bhūtendriyamaya iti gamyate /	sa ca ezAm anuviDeyaH sUkzmaH dehaH BUta indriya mayaH iti gamyate /
   nahīndriyamātrāśrayatvameṣāṃ dṛṣṭaṃ yatastanmātrāśrayāṇāṃ	nahi indriya mAtra ASraya tvam ezAm dRzwam yatas tanmAtra ASrayANAm
   gatirupapadyeteti //3//	gatiH upapadyeta iti //3//
   START BsVBh_3,1.1.4	START BsVBh_3,1.1.4
   agnyādigatiśruteriti cenna bhāktatvāt | BBs_3,1.4 |	agni Adi gati SruteH iti ced na BAkta tvAt | BBH _3,1.4 |
   śrāvite 'pi spaṣṭe jīvasya prāṇaiḥ saha gamane 'gnyādigatiśaṅkā	SrAvite api spazwe jIvasya prANEH saha gamane agni Adi gati SaFkA
   śrutivirodhotthāpanārthā /	Sruti viroDa utTApana arTAH /
   atra hi lomakeśayoroṣadhivanaspatigamanaṃ dṛṣṭavirodhādbhāktaṃ	atra hi loma keSayoH ozaDi vanaspati gamanam dRzwa viroDAt BAktam
   tāvadabhyupeyam /	tAvat aByupeyam /
   evaṃ ca tanmadhyapatitatvena teṣāmapi śrutivirodhādbhāktatvamevocitamiti /	evam ca tad maDya patita tvena tezAm api Sruti viroDAt BAkta tvam eva ucitam iti /
   bhaktiścopakāranivṛttiruktā //4//	BaktiH ca upakAra nivRttiH uktAH //4//
   START BsVBh_3,1.1.5	START BsVBh_3,1.1.5
   prathame 'śravaṇāditi cenna tā eva hyupapatteḥ | BBs_3,1.5 |	praTame aSravaNAt iti ced na tAH eva hi upapatteH | BBH _3,1.5 |
   pañcamyāmāhutāvapāṃ puruṣavacastvaprakāre pṛṣṭe prathamāyāmāhutau anapāṃ	paQcamyAm AhutAvapAm puruza vacaH tu aprakAre pRzwe praTamAyAm AhutO anapAm
   śraddhāyā hotavyatābhidhānasaṃbhaddhamanupapannaṃ ca /	SradDAyAH hotavyatA aBiDAna saMBadDam anupapannam ca /
   nahi yathā paśvādibhyo hṛdayādayo 'vayavā avadāya niṣkṛṣya hūyante, evaṃ	na hi yaTA paSu AdiByaH hRdaya AdayaH avayavAH avadAya nizkRzya hUyante, evam
   śraddhā buddhiprasādalakṣaṇā niṣkraṣṭuṃ vā hotuṃ vā śakyate /	SradDA budDi prasAda lakzaNAH nizkrazwum vA hotum vA Sakyate /
   na cāpyevamautsargikī kāraṇānurūpatā kāryasya yujyate /	na ca api evam OtsargikI kAraNa anurUpa tA kAryasya yujyate /
   tasmādbhaktyāyāmapsu śraddhāśabdaḥ prayukta iti /	tasmAt BaktyAyAm apsu SradDA SabdaH prayuktaH iti /
   ataḥeva śrutiḥ 'āpo hātmai'iti //5//	atas A iva SrutiH aApaH ha AtmE aiti //5//
   START BsVBh_3,1.1.6	START BsVBh_3,1.1.6
   aśrutatvāditi cenneṣṭādikāriṇāṃ pratīteḥ | BBs_3,1.6 |	aSruta tvAt iti ced na izwa Adi kAriNAm pratIteH | BBH _3,1.6 |
   asyārthaḥ pūrvamevoktaḥ /	asya arTaH pUrvam eva uktaH /
   agnihotre	agnihotre
   ṣaṭsūtkrāntigatipratiṣṭhātṛptipunarāvṛttilokapratyutthāyiṣvagnisamiddhūmārc	zawsu utkrAnti gati pratizWA tRpti punarAvRtti loka pratyutTAyizu agni samidDUma arc
   iraṅgāravisphuliṅgeṣu praśnāḥ ṣaṭ, teṣāṃ yaḥ samāhāraḥ ṣaṇṇāṃ sā	iraFgAra visPuliFgezu praSnAH zaw, tezAm yaH samAhAraH zaNNAm sA
   ṣaṭpraśnī, tasyā nirūpaṇaṃ prativacanam //6//	zaz praSnI, tasyAH nirUpaNam prativacanam //6//
   START BsVBh_3,1.1.7	START BsVBh_3,1.1.7
   sūtrāntaramavatārayituṃ śaṅkate kathaṃ punariti /	sUtra antaram avatArayitum SaFkate  kaTam punar iti /
   somaṃ rājānamāpyāyasvāpakṣīyasvetyevamenāṃstatra bhakṣayantīti /	somam rAjAnam ApyAyasva apakzIyasva iti evam enAn= tatra Bakzayanti iti /
   kriyāsamabhihāreṇāpyāyanāpakṣayau yathā somasya tathā bhakṣayanti	kriyA samaBihAreNa ApyAyana apakzayO yaTA somasya taTA Bakzayanti
   somamayāṃllokānityarthaḥ /	soma mayAn= lokAn iti arTaH /
   ata uttaraṃ paṭhati 	atas uttaram paWati 
   bhāktaṃ vānātmavisttvāttathāhi darśayati | BBs_3,1.7 |	BAktam vA anAtma visttvAt taTA hi darSayati | BBH _3,1.7 |
   karmajanitaphalopabhogakartā hyadhikārī na	karma janita Pala upaBoga kartA hi aDikArI na
   punarupabhogyastasmāccandrasālokyamupagatānāṃ devādibhakṣyatve 'svargakāmo	punar upaBogyaH tasmAt candra sAlokyam upagatAnAm deva Adi Bakzya tve asvarga kAmaH 
   yajeta'iti yāgabhāvanāyaḥ	yajeta aiti yAga BAvanAyaH
   kartrapekṣitopāyatārūpavidhiśrutivirodhādannaśabdo bhoktṛṇāmeva satāṃ	kartR apa Ikzita upAya tA rUpa viDi Sruti viroDAt anna SabdaH BoktRNAm eva satAm
   devopajīvitāmātreṇa bhākto gamayitavyo na tu carvaṇanigaraṇābhyāṃ mukhya	deva upajIvitA mAtreNa BAktaH gamayitavyaH na tu carvaNa nigaraNAByAm muKya 
   iti /	iti /
   atraivārthe śrutyantaraṃ saṃgacchata ityāha tathāhi darśayati /	atra eva arTe Sruti antaram saMgacCate iti Aha  taTA hi darSayati /
   śrutiranātmavigāmanātmavittvādeva paśuvaddevopabhogyatāṃ na tu	SrutiH anAtma vigAmana Atma vid tvAt eva paSu vat deva upaBogya tAm na tu
   carvaṇīyatayā /	carvaNIya tayA /
