   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   K.009a/ ātmīye saṃsthitā dharme nṛpāḥ śakratvam (āpnuyuḥ /	K.009a/ AtmIye saMsTitAH Darme nRpAH Sakra-tvam (ApnuyuH /
   K.009b/ avīci.vāsino ye tu vyapeta.ācāriṇaḥ sadā //	K.009b/ avIci.-vAsinaH ye tu vyapeta.AcAriNaH sadA //
   K.010a/ (gacchet samyag.avijñāya vaśaṃ krodhasya yo nṛpaḥ /	K.010a/ (gacCet samyak-.avijQAya vaSam kroDasya yaH nRpaH /
   K.010b/ (vaset sa narakaṃ ghore kalpa.ardham tu na saṃśayaḥ //[narake?]	K.010b/ (vaset sa narakam Gore kalpa.arDam tu na saMSayaH //[narake?]
   K.011a/ etair eva guṇair yuktam amātyaṃ kārya.cintakam /(p.2)	K.011a/ etEH eva guNEH yuktam amAtyam kArya.cintakam /(p.2)
   K.011b/ brāhmaṇaṃ tu (prakurvīta nṛpa.bhaktaṃ kula.udvaham //	K.011b/ brAhmaNam tu (prakurvIta nRpa.-Baktam kula.udvaham //
   K.012a/ mantriṇo yatra sabhyāś ca vaidyāś ca priya.vādinaḥ /	K.012a/ mantriNaH yatra saByAH ca vEdyAH ca priya.vAdinaH /
   K.012b/ rājyād dharmāt sukhāt tatra kṣipraṃ (hīyeta pārthivaḥ //	K.012b/ rAjyAt DarmAt suKAt tatra kzipram (hIyeta pArTivaH //
   K.013a/ na tasya vacane kopam eteṣāṃ tu (pravartayet /	K.013a/ na tasya vacane kopam etezAm tu (pravartayet /
   K.013b/ yasmād etaiḥ sadā vācyaṃ nyāyyaṃ supariniṣṭhitam //	K.013b/ yasmAt etEH sadA vAcyam nyAyyam su-parinizWitam //
   K.014a/ yatra karmāṇi nṛpatiḥ svayaṃ (paśyati dharmataḥ /	K.014a/ yatra karmANi nRpatiH svayam (paSyati DarmataH /
   K.014b/ tatra sādhu.samācārā (nivaseyuḥ sukhaṃ prajāḥ //	K.014b/ tatra sADu.-samAcArAH (nivaseyuH suKam prajAH //
   K.015a/ prajānāṃ rakṣaṇaṃ nityaṃ kaṇtakānāṃ ca śodhanam /	K.015a/ prajAnAm rakzaNam nityam kaNtakAnAm ca SoDanam /
   K.015b/ dvijānāṃ pūjanaṃ ca^eva etad arthaṃ kṛto nṛpaḥ //	K.015b/ dvijAnAm pUjanam ca^eva etat arTam kRtaH nRpaH //
   K.016a/ bhū.svāmī tu smṛto rājā na^anya.dravyasya sarvadā /	K.016a/ BU.-svAmI tu smRtaH rAjA na^anya.dravyasya sarvadA /
   K.016b/ tat.phalasya hi ṣaḍ.bhāgaṃ (prāpnuyān na^anyathā^eva tu //	K.016b/ tat.Palasya hi zaz-.BAgam (prApnuyAt na^anyaTA^eva tu //
   K.017a/ bhūtānāṃ tan.nivāsitvāt svāmitvaṃ tena kīrtitam /	K.017a/ BUtAnAm tan.-nivAsi-tvAt svAmi-tvam tena kIrtitam /
   K.017b/ tat.kriyā bali.ṣaḍ.bhāgaṃ śubha.aśubha.nimitta.jam //	K.017b/ tat.kriyA bali.zaz-.BAgam SuBa-.aSuBa.-nimitta.jam //
   K.018a/ evaṃ (pravartate yas tu lobhaṃ (tyaktvā nara.adhipaḥ /	K.018a/ evam (pravartate yaH tu loBam (tyaktvA nara-.aDipaH /
   K.018b/ tasya putrāḥ (prajāyante rāṣṭraṃ kośaś ca (vardhate //	K.018b/ tasya putrAH (prajAyante rAzwram koSaH ca (varDate //
   K.019a/ anyāyena hi yo rāṣṭrāt karaṃ daṇḍaṃ ca pārthivaḥ /	K.019a/ anyAyena hi yaH rAzwrAt karam daNxam ca pArTivaH /
   K.019b/ sasya.bhāgaṃ ca śulkaṃ ca^apy (ādadīta sa pāpa.bhāk //	K.019b/ sasya.-BAgam ca Sulkam ca^api (AdadIta sa pApa.-BAj //
   K.020a/ artha.śāstra.uktam (utsṛjya dharma.śāstra.uktam (āvrajet	K.020a/ arTa.SAstra-.uktam (utsRjya Darma.SAstra-.uktam (a-Avrajet-
   //[halfverse only]	//[halfverse only]
   K.021a/ duṣṭasya^api narendrasya tad.rāṣṭraṃ na (vināśayet /	K.021a/ duzwasya^api narendrasya tat-.rAzwram na (vinASayet /
   K.021b/ na prajā.anumato yasmād anyāyeṣu (pravartate //	K.021b/ na prajA-.anumataH yasmAt anyAyezu (pravartate //
   K.022a/ akleśena^arthine yas tu rājā samyaṅ (nivedayet /	K.022a/ akleSena^arTine yaH tu rAjA samyak (nivedayet /
   K.022b/ tat (tārayati^anantaṃ (syād dharma.arthaṃ dānam īdṛśam //	K.022b/ tat (tArayati^anantam (syAt Darma-.arTam dAnam IdRSam //
   K.023a/ nyāyena^(akramya yal.labdhaṃ ripuṃ (nirjitya pārthivaiḥ /	K.023a/ nyAyena^(akramya yal.-labDam ripum (nirjitya pArTivEH /
   K.023b/ tat^śuddhaṃ tat.pradeyaṃ tan na^anyathā^upahṛtaṃ kvacit //	K.023b/ tat-^SudDam tat.-pradeyam tat na^anyaTA^upahRtam kvacid //
   K.024a/ rājā purohitaṃ (kuryād uditaṃ brāhmaṇaṃ hitam /(p.3)	K.024a/ rAjA purohitam (kuryAt uditam brAhmaNam hitam /(p.3)
   K.024b/ kṛta.adhyayana.saṃpannam alubdhaṃ satya.vādinam //	K.024b/ kRta-.aDyayana.-saMpannam alubDam satya-.vAdinam //
   [vyavahāra.lakṣaṇa.ādi]	[vyavahAra.-lakzaNa-.Adi]
   K.025a/ prayatna.sādhye vicchinne dharma.ākhye nyāya.vistare /	K.025a/ prayatna.-sADye vicCinne Darma.AKye nyAya.-vistare /
   K.025b/ sādhya.mūlas tu yo vādo vyavahāraḥ sa (ucyate //	K.025b/ sADya.mUlaH tu yaH vAdaH vyavahAraH saH (ucyate //
   K.026a/ vi nānā.arthe^ava saṃdehe haraṇaṃ hāra (ucyate /	K.026a/ vi nAnA-.arTe^ava saMdehe haraNam hAra (ucyate /
   K.026b/ nānā.saṃdeha.haraṇād vyavahāra iti smṛtaḥ //	K.026b/ nAnA.-saMdeha.-haraNAt vyavahAraH iti smRtaH //
   K.027a/ na rājā tu viśitvena dhana.lobhena vā punaḥ /	K.027a/ na rAjA tu viSi-tvena Dana.-loBena vA punar /
   K.027b/ svayaṃ kāryāṇi (kurvīta narāṇām avivādinām //	K.027b/ svayam kAryANi (kurvIta narANAm avivAdinAm //
   K.028a/ (utpādayati yo hiṃsāṃ deyaṃ vā na (pracchati /	K.028a/ (utpAdayati yaH hiMsAm deyam vA na (pracCati /
   K.028b/ yācam (ānaya dauḥśīlyād ākṛṣyo^asau nṛpa.ājñayā //	K.028b/ yAcam (Anaya dOHSIlyAt AkRzyaH-^asO nRpa.AjQayA //
   K.029a/ dvipade sādhya.bhedāt tu pada.aṣṭādaśatāṃ gate /	K.029a/ dvipade sADya.BedAt tu pada-.azwAdaSa-tAm gate /
   K.029b/ aṣṭādaśa kriyā.bhedād bhinnāni^aṣṭasahasraśaḥ //	K.029b/ azwAdaSa kriyA.-BedAt BinnAni^azwa-sahasraSas //
   K.030a/ sādhya.vādasya mūlaṃ (syād vādinā yan niveditam /	K.030a/ sADya.vAdasya mUlam (syAt vAdinA yat niveditam /
   K.030b/ deya.apradānaṃ hiṃsā ca^iti^utthāna.dvayam (ucyate //	K.030b/ deya.apradAnam hiMsA ca^iti^utTAna.-dvayam (ucyate //
   K.031a/ pūrva.pakṣaś ca^uttaraṃ ca pratyākalitam eva ca /	K.031a/ pUrva.pakzaH ca^uttaram ca pratyAkalitam eva ca /
   K.031b/ kriyā.pādaś ca tena^ayaṃ catuṣpāt samudāhṛtaḥ //	K.031b/ kriyA.-pAdaH ca tena^ayam catuzpAd samudAhRtaH //
   K.032a/ dharmaśāstra.arthaśāstre tu skandha.dvayam udāhṛtam /	K.032a/ Darma-SAstra-.arTaSAstre tu skanDa.-dvayam udAhRtam /
   K.032b/ jayaś ca^eva^avasāyaś ca dve phale samudāhṛte //	K.032b/ jayaH ca^eva^avasAyaH ca dve Pale samudAhRte //
   K.033a/ śāstreṇa ninditaṃ tv artha.mukhyo rājñā pracoditaḥ /(p.4)	K.033a/ SAstreNa ninditam tu arTa.muKyaH rAjQA pracoditaH /(p.4)
   K.033b/ (āvedayati yaḥ pūrvaṃ stobhakaḥ sa udāhṛtaḥ //	K.033b/ (Avedayati yaH pUrvam stoBakaH saH udAhRtaH //
   K.034a/ nṛpeṇa^eva niyukto yaḥ pada.doṣam (avekṣitum /	K.034a/ nRpeNa^eva niyuktaH yaH pada.-dozam (avekzitum /
   K.034b/ nṛpasya (sūcayej (jñātvā sūcakaḥ sa udāhṛtaḥ //	K.034b/ nRpasya (sUcayet (jQAtvA sUcakaH saH udAhRtaH //
   [dharma.vyavahāra.caritra.rājaśāsana.ādīṇāṃ bala.abala.vicāraḥ]	[Darma.-vyavahAra.-caritra.rAja-SAsana.AdINAm bala.abala.-vicAraH]
   K.035a/ doṣa.kārī tu kartṛtvaṃ dhana.svāmī svakaṃ dhanam /	K.035a/ doza.kArI tu kartR-tvam Dana.svAmI svakam Danam /
   K.035b/ vivāde (prāpnuyād yatra dharmeṇa^eva sa nirṇayaḥ //	K.035b/ vivAde (prApnuyAt yatra DarmeNa^eva sa nirNayaH //
   K.036a/ smṛti.śāstraṃ tu yat kiṃcit prathitaṃ dharma.sādhakaiḥ /	K.036a/ smRti.SAstram tu yat kiMcid praTitam Darma.-sADakEH /
   K.036b/ kāryāṇāṃ nirṇaya.arthe tu vyavahāraḥ smṛto hi saḥ //	K.036b/ kAryANAm nirNaya-.arTe tu vyavahAraH smRtaH hi saH //
   K.037a/ yad yad (ācaryate yena dharmyaṃ vā^adharmyam eva vā /	K.037a/ yat yat (a-Acaryate yena Darmyam vE-^aDarmyam eva vA /
   K.037b/ deśasya^ācaraṇān nityaṃ caritraṃ tat.prakīrtitam //	K.037b/ deSasya^AcaraNAt nityam caritram tat.-prakIrtitam //
   K.038a/ nyāya.śāstra.avirodhena deśa.dṛṣṭes tathā^eva ca /	K.038a/ nyAya.SAstra-.aviroDena deSa.dRzweH taTA^eva ca /
   K.038b/ yaṃ dharmaṃ (sthāpayed rājā nyāyyaṃ tad.rājaśāsanam //	K.038b/ yam Darmam (sTApayet rAjA nyAyyam tad-.rAja-SAsanam //
   K.039a/ yukti.yuktaṃ tu kāryaṃ (syād divyaṃ yatra vivarjitam /	K.039a/ yukti.yuktam tu kAryam (syAt divyam yatra vivarjitam /
   K.039b/ dharmas tu vyavahāreṇa (bādhyate tatra na^anyathā //	K.039b/ DarmaH tu vyavahAreNa (bADyate tatra na^anyaTA //
   K.040a/ pratiloma.prasūteṣu tathā durga.nivāsiṣu /	K.040a/ pratiloma.-prasUtezu taTA durga.nivAsizu /
   K.040b/ viruddhaṃ niyataṃ (prāhus taṃ dharmaṃ na (vicālayet //	K.040b/ virudDam niyatam (prAhuH tam Darmam na (vicAlayet //
   K.041a/ nirṇayaṃ tu yadā (kuryāt tena dharmeṇa pārthivaḥ /	K.041a/ nirNayam tu yadA (kuryAt tena DarmeNa pArTivaH /
   K.041b/ vyavahāraś caritreṇa tadā tena^eva (bādhyate //	K.041b/ vyavahAraH caritreNa tadA tena^eva (bADyate //
   K.042a/ viruddhaṃ nyāyato yat tu caritraṃ (kalpyate nṛpaiḥ /(p.9)	K.042a/ virudDam nyAyataH yat tu caritram (kalpyate nRpEH /(p.9)
   K.042b/ evaṃ tatra (nirasyeta caritraṃ tu nṛpa.ājñayā //	K.042b/ evam tatra (nirasyeta caritram tu nRpa.a-AjQayA //
   K.043a/ anena vidhinā yuktaṃ bādhakaṃ yad yad uttaram /	K.043a/ anena viDinA yuktam bADakam yat yat uttaram /
   K.043b/ anyathā.bādhanaṃ yatra tatra dharmo (vihanyate //	K.043b/ anyaTA-a.bADanam yatra tatra DarmaH (vihanyate //
   K.044a/ asvargyā loka.nāśāya para.anīka.bhaya.āvahā /	K.044a/ asvargyA loka.nASAya para.anIka.Baya-.AvahAH /
   K.044b/ āyur.bīja.harī rājñāṃ sati vākye svayaṃ kṛtiḥ //	K.044b/ AyuH-.bIja.-hariH rAjQAm sati vAkye svayam kRtiH //
   K.045a/ tasmāt^śāstra.anusāreṇa rājā kāryāṇi (sādhayet /	K.045a/ tasmAt-^SAstra-.anusAreNa rAjA kAryANi (sADayet /
   K.045b/ vākya.abhāve tu sarveṣāṃ deśa.dṛṣṭena (sannayet //	K.045b/ vAkya-.aBAve tu sarvezAm deSa.dRzwena (sannayet //
   K.046a/ yasya deśasya yo dharmaḥ pravṛttaḥ sārvakālikaḥ /	K.046a/ yasya deSasya yaH DarmaH pravRttaH sArvakAlikaH /
   K.046b/ śruti.smṛti.avirodhena deśa.dṛṣṭaḥ sa (ucyate //	K.046b/ Sruti.-smRti-.aviroDena deSa.dRzwaH sa (ucyate //
   K.047a/ deśa.pattana.goṣṭheṣu pura.grāmeṣu vāsinām /	K.047a/ deSa.-pattana.-gozWezu pura.grAmezu vAsinAm /
   K.047b/ teṣāṃ sva.samayair dharma.śāstrato^anyeṣu taiḥ saha //	K.047b/ tezAm sva.samayEH Darma.SAstrataH-^anyezu tEH saha //
   K.048a/ deśasya^anumatena^eva vyavasthā yā nirūpitā /	K.048a/ deSasya^anumatena^eva vyavasTA yA nirUpitA /
   K.048b/ likhitā tu sadā dhāryā mudritā rājam udrayā //	K.048b/ liKitA tu sadA DAryA mudritAH rAjam udrayA //
   K.049a/ śāstravad yatnato rakṣyā tāṃ nirīkṣya (vinirṇayet /	K.049a/ SAstra-vat yatnataH rakzyA tAm nirIkzya (vinirNayet /
   K.049b/ naigama.sthais tu yat kāryaṃ likhitaṃ yad vyavasthitam //	K.049b/ nEgama.-sTEH tu yat kAryam liKitam yat vyavasTitam //
   K.050a/ tasmāt tat (saṃpravarteta na^anyathā^eva (pravartayet /	K.050a/ tasmAt tat (saMpravarteta na^anyaTA^eva (pravartayet /
   K.050b/ pramāṇa.deśa.dṛṣṭaṃ tu yad evam iti niścitam //	K.050b/ pramANa.deSa.dRzwam tu yat evam iti niScitam //
   K.051a/ aprvṛttaṃ kṛtaṃ yatra śruti.smṛti.anumoditam /p.10)	K.051a/ aprvRttam kRtam yatra Sruti.-smRti-.anumoditam /p.10)
   K.051b/ na^anyathā tat punaḥ kāryaṃ nyāya.apetaṃ (vivarjayet //	K.051b/ na^anyaTA tat punar kAryam nyAya-.apetam (vivarjayet //
   [dharma.adhikaraṇam]	[Darma-.aDikaraNam]
   K.052a/ dharma.śāstra.vicāreṇa mūla.sāra.vivecanam /	K.052a/ Darma.SAstra.-vicAreNa mUla.-sAra.-vivecanam /
   K.052b/ yatra^(adhikriyate sthāne dharma.adhikaraṇaṃ hi tat //	K.052b/ yatra^(aDikriyate sTAne Darma-.aDikaraNam hi tat //
   K.053a/ prātar utthāya nṛpatiḥ śaucaṃ (kṛtvā samāhitaḥ /	K.053a/ prAtar utTAya nRpatiH SOcam (kRtvA samAhitaH /
   K.053b/ guruṃ jyotirvidaṃ vaidyān devān viprān purohitān //	K.053b/ gurum jyotiH-vidam vEdyAn devAn viprAn purohitAn //
   K.054a/ yathā^arham etān (saṃpūjya supuṣpa.ābharaṇa.ambaraiḥ /	K.054a/ yaTA^arham etAn (saMpUjya su-puzpa.a-ABaraNa-.ambarEH /
   K.054b/ (abhivandya ca gurva.ādīn sumukhāṃ (praviśet sabhām //	K.054b/ (aBivandya ca guru-a.AdIn su-muKAm (praviSet saBAm //
   K.055a/ vinīta.veṣo nṛpatiḥ sabhāṃ (gatvā samāhitaḥ /	K.055a/ vinIta.-vezaH nRpatiH saBAm (gatvA samAhitaH /
   K.055b/ (āsīnaḥ prāṅmukhaḥ (sthitvā (paśyet kāryāṇi kāryiṇām /	K.055b/ (a-AsInaH prAFmuKaH (sTitvA (paSyet kAryANi kAryiNAm /
   K.055c/ saha trai.vidya.vṛddhaiś ca mantra.jñaiś ca^eva mantribhiḥ //	K.055c/ saha trE.vidya.-vRdDEH ca mantra.-jQEH ca^eva mantriBiH //
   K.056a/ saprāḍvivākaḥ sāmātyaḥ sabrāhmaṇa.purohitaḥ /	K.056a/ sa-prAxvivAkaH sa-amAtyaH sa-brAhmaNa.-purohitaH /
   K.056b/ sasabhyaḥ prekṣako rājā svarge (tiṣṭhati dharmataḥ //	K.056b/ sasaByaH prekzakaH rAjA svarge (tizWati DarmataH //
   K.057a/ saha sabhyaiḥ sthirair yuktaiḥ prājñair maulair dvija.uttamaiḥ /	K.057a/ saha saByEH sTirEH yuktEH prAjQEH mOlEH dvija-.uttamEH /
   K.057b/ dharmaśāstra.artha.kuśalair arthaśāstra.viśāradaiḥ //	K.057b/ Darma-SAstra-.arTa.-kuSalEH arTa-SAstra.-viSAradEH //
   K.058a/ kula.śīla.vayo.vṛtta.vitta.vadbhir amatsaraiḥ /	K.058a/ kula.-SIla-.vayaH-.-vRtta.-vitta.vadBiH amatsarEH /
   K.058b/ vaṇigbhiḥ (syāt katipayaiḥ kula.bhūtair adhiṣṭhitam //	K.058b/ vaNigBiH (syAt katipayEH kula.BUtEH aDizWitam //
   K.059a/ śrotāro vaṇijas tatra kartavyā nyāya.darśinaḥ //(p.11)	K.059a/ SrotAraH vaNijaH tatra kartavyA nyAya.-darSinaH //(p.11)
   [kārya.darśana.kālaḥ]	[kArya.-darSana.kAlaH]
   K.060a/ sabhā.sthāneṣu pūrva.āhṇe kāryāṇāṃ nirṇayaṃ nṛpaḥ /	K.060a/ saBA.sTAnezu pUrva-.AhNe kAryANAm nirNayam nRpaH /
   K.060b/ (kuryāt^śāstra.praṇītena mārgeṇa^amitra.karṣaṇaḥ //	K.060b/ (kuryAt-^SAstra.-praNItena mArgeNa^amitra.karzaNaH //
   K.061a/ divasasya^aṣṭamaṃ bhāgaṃ (muktvā kālatrayaṃ tu yat /	K.061a/ divasasya^azwamam BAgam (muktvA kAla-trayam tu yat /
   K.061b/ sa kālo vyavahārāṇāṃ śāstra.dṛṣṭaḥ paraḥ smṛtaḥ //	K.061b/ sa kAlaH vyavahArANAm SAstra.dRzwaH paraH smRtaH //
   K.062a/ ādyād ahno^aṣṭa.bhāgād yad ūrdhvaṃ bhāga.trayam (bhavet /	K.062a/ AdyAt ahnaH-^azwa.-BAgAt yat UrDvam BAga.-trayam (Bavet /
   K.062b/ sa kālo vyavahārasya śāstre dṛṣṭo manīṣibhiḥ //	K.062b/ sa kAlaH vyavahArasya SAstre dRzwaH manIziBiH //
   [prāḍvivākaḥ]	[prAxvivAkaH]
   K.063a/ yadā (kuryān na nṛpatiḥ svayaṃ kārya.vinirṇayam /	K.063a/ yadA (kuryAt na nRpatiH svayam kArya.-vinirNayam /
   K.063b/ tadā tatra (niyuñjīta brāhmaṇaṃ śāstra.pāragam //	K.063b/ tadA tatra (niyuQjIta brAhmaNam SAstra.-pAragam //
   K.064a/ dakṣaṃ kulīna.madhya.stham anudvega.karaṃ sthiram /	K.064a/ dakzam kulIna.-maDya.-sTam anudvega.-karam sTiram /
   K.064b/ paratra bhīruṃ dharmi.ṣṭham udyuktaṃ krodha.varjitam //	K.064b/ paratra BIrum Darmi-.zWam udyuktam kroDa.-varjitam //
   K.065a/ akrūro madhuraḥ snigdhaḥ kṣamāyāto vicakṣaṇaḥ /	K.065a/ akrUraH maDuraH snigDaH kzamA-AyAtaH vicakzaNaH /
   K.065b/ utsāhavān alubdhaś ca vāde yojyo nṛpeṇa tu //	K.065b/ utsAhavAn alubDaH ca vAde yojyaH nRpeNa tu //
   K.066a/ eka.śāstram adhīyāno na (vidyāt kārya.niścayam /	K.066a/ eka.SAstram aDIyAnaH na (vidyAt kArya.-niScayam /
   K.066b/ tasmād bahv.āgamaḥ kāryo vivādeṣu^uttamo nṛpaiḥ //	K.066b/ tasmAt bahu-.AgamaH kAryaH vivAdezu^uttamaH nRpEH //
   K.067a/ brāhmaṇo yatra na (syāt tu kṣatriyaṃ tatra (yojayet /(p.12)	K.067a/ brAhmaNaH yatra na (syAt tu kzatriyam tatra (yojayet /(p.12)
   K.067b/ vaiśyaṃ vā dharmaśāstra.jñaṃ śūdraṃ yatnena (varjayet //	K.067b/ vESyam vA Darma-SAstra.jQam SUdram yatnena (varjayet //
   K.068a/ ato^anyair yat kṛtaṃ kāryam anyāyena kṛtaṃ tu tat /	K.068a/ atas-^anyEH yat kRtam kAryam anyAyena kRtam tu tat /
   K.068b/ niyuktair api vijñeyaṃ daivād yady api śāstrataḥ //	K.068b/ niyuktEH api vijQeyam dEvAt yadi api SAstrataH //
   K.069a/ vyavahāra.āśritaṃ praśnaṃ pṛcchati prāṅ iti sthitiḥ /	K.069a/ vyavahAra-.ASritam praSnam pRcCati prAF iti sTitiH /
   K.069b/ (vivecayati yas tasmin prāḍvivākas tataḥ smṛtaḥ //	K.069b/ (vivecayati yaH tasmin prAxvivAkaH tatas smRtaH //
   K.070a/ anirṇīte tu yady arthe (saṃbhāṣeta raho^arthinā /	K.070a/ anirNIte tu yadi arTe (saMBAzeta rahaH-^arTinA /
   K.070b/ prāḍvivāko^atha daṇḍyaḥ (syāt sabhyāś ca^eva viśeṣataḥ //	K.070b/ prAxvivAkaH-^aTa daNxyaH (syAt saByAH ca^eva viSezataH //
   [sabhyāḥ]	[saByAH]
   K.071a/ alubdhā dhanavantaś ca dharma.jñāḥ satyavādinaḥ /	K.071a/ alubDAH DanavantaH ca Darma.jQAH satya-vAdinaH /
   K.071b/ sarva.śāstra.pravīṇāś ca sabhyāḥ kāryā dvijottamāḥ //	K.071b/ sarva.-SAstra.-pravINAH ca saByAH kAryAH dvijottamAH //
   K.072a/ nyāya.śāstram (atikramya sabhyair yatra viniścitam /	K.072a/ nyAya.SAstram (atikramya saByEH yatra viniScitam /
   K.072b/ tatra dharmo hy adharmeṇa hato (hanti na saṃśayaḥ //	K.072b/ tatra DarmaH hi aDarmeNa hataH (hanti na saMSayaH //
   K.073a/ yatra dharmo hy adharmeṇa satyaṃ yatra^anṛtena ca /	K.073a/ yatra DarmaH hi aDarmeNa satyam yatra^anRtena ca /
   K.073b/ (hanyate prekṣamāṇānāṃ hatās tatra sabhāsadaḥ //	K.073b/ (hanyate prekzamANAnAm hatAH tatra saBAsadaH //
   K.074a/ adharmataḥ pravṛttaṃ tu na^upekṣeran sabhāsadaḥ /	K.074a/ aDarmataH pravRttam tu na^upekzeran saBAsadaH /
   K.074b/ upekṣamāṇāḥ sanṛpā narakam yānti^adho.mukhāḥ //	K.074b/ upekzamANAH sa-nRpAH narakam yAnti^aDo.muKAH //
   K.075a/ anyāyena^api taṃ yāntaṃ ye^anuyānti sabhāsadaḥ /(p.13)	K.075a/ anyAyena^api tam yAntam ye^anuyAnti saBAsadaH /(p.13)
   K.075b/ te^api tad.bhāginas tasmād bodhanīyaḥ sa tair nṛpaḥ //	K.075b/ te^api tad-.BAginaH tasmAt boDanIyaH sa tEH nRpaH //
   K.076a/ nyāya.mārgād apetaṃ tu (jñātvā cittaṃ mahīpateḥ /	K.076a/ nyAya.-mArgAt apetam tu (jQAtvA cittam mahIpateH /
   K.076b/ vaktavyaṃ tat.priyaṃ tatra na sabhyaḥ kilviṣī (bhavet //	K.076b/ vaktavyam tat-.priyam tatra na saByaH kilvizI (Bavet //
   K.077a/ sabhyena^avaśya.vaktavyaṃ dharma.artha.sahitaṃ vacaḥ /	K.077a/ saByena^avaSya.-vaktavyam Darma-.arTa.-sahitam vacaH /
   K.077b/ (śṛṇoti yadi no rājā (syāt tu sabhyas tato^anaghaḥ //	K.077b/ (SRNoti yadi naH rAjA (syAt tu saByaH tatas-^anaGaH //
   K.078a/ adharmāya yadā rājā (niyuñjīta vivādinām /	K.078a/ aDarmAya yadA rAjA (niyuQjIta vivAdinAm /
   K.078b/ (vijñāpya nṛpatiṃ sabhyas tadā kāryaṃ (nivartayet //	K.078b/ (vijQApya nRpatim saByaH tadA kAryam (nivartayet //
   K.079a/ snehād ajñānato vā^api lobhād vā mohato^api vā /	K.079a/ snehAt ajQAnataH vE-^api loBAt vA mohataH-^api vA /
   K.079b/ tatra sabhyo^anyathā.vādī daṇḍyo^asabhyaḥ smṛto hi saḥ //	K.079b/ tatra saByaH-^anyaTA.vAdI daNxyaH-^asaByaH smRtaH hi saH //
   K.080a/ kāryasya nirṇayaṃ samyag (jñātvā sabhyas tato (vadet /	K.080a/ kAryasya nirNayam samyak (jQAtvA saByaH tatas (vadet /
   K.080b/ anyathā na^eva vaktavyaṃ vaktā dviguṇa.daṇḍa.bhāk //	K.080b/ anyaTA na^eva vaktavyam vaktA dviguNa.-daNxa.-BAj //
   K.081a/ sabhya.doṣāt tu yan naṣṭaṃ deyaṃ sabhyena tat tadā /	K.081a/ saBya.dozAt tu yat nazwam deyam saByena tat tadA /
