   atha kāvyādarśaḥ	aTa kAvyAdarSaH
   kim andhasyādhikāro 'sti rūpabhedopalabdhiṣu // 1.8 //	kim anDasya-aDikAraH asti rUpa-Beda-upalabDizu // 1.8 //
   ataḥ prajānāṃ vyutpattim abhisaṃdhāya sūrayaḥ /	atas prajAnAm vyutpattim aBisaMDAya sUrayaH /
   vācāṃ vicitramārgāṇāṃ nibabandhuḥ kriyāvidhim // 1.9 //	vAcAm vicitra-mArgANAm nibabanDuH kriyA-viDim // 1.9 //
   taiḥ śarīraṃ ca kāvyānām alaṃkārāś ca darśitāḥ /	tEH SarIram ca kAvyAnAm alaMkArAH ca darSitAH /
   śarīraṃ tāvadiṣṭārtha- vyavacchinnā padāvalī // 1.10 //	SarIram tAvat-izwa-arTa vyavacCinnA pada-AvalI // 1.10 //
   padyaṃ gadyaṃ ca miśraṃ ca tat tridhaiva vyavasthitam /	padyam gadyam ca miSram ca tat triDA-eva vyavasTitam /
   padyaṃ catuṣpadī tac ca vṛttaṃ jātir iti dvidhā // 1.11 //	padyam catuzpadI tat ca vRttam jAtiH iti dviDA // 1.11 //
   chandovicityāṃ sakalas tatprabandho nidarśitaḥ /	CandovicityAm sakalaH tad-prabanDaH nidarSitaH /
   sā vidyā naus vivikṣūṇāṃ gambhīraṃ kāvyasāgaram // 1.12 //	sA vidyA nOH vivikzUNAm gamBIram kAvya-sAgaram // 1.12 //
   muktakaṃ kulakaṃ kośaḥ saṃghāta iti tādṛśaḥ /	muktakam kulakam koSaH saMGAtaH iti tAdRSaH /
   sargabandhāṃśarūpatvād anuktaḥ padyavistaraḥ // 1.13 //	sarga-banDa-aMSa-rUpa-tvAt anuktaH padya-vistaraH // 1.13 //
   sargabandho mahākāvyam ucyate tasya lakṣaṇam /	sargabanDaH mahAkAvyam ucyate tasya lakzaNam /
   āśīr namaskriyā vastu- nirdeśo vāpi tanmukham // 1.14 //	ASIH namaskriyA vastu nirdeSaH vA-api tad-muKam // 1.14 //
   itihāsakathodbhūtam itarad vā sadāśrayam /	itihAsa-kaTA-udBUtam itarat vA sat-ASrayam /
   caturvargaphalāyattaṃ caturodāttanāyakam // 1.15 //	caturvarga-Pala-Ayattam catura-udAtta-nAyakam // 1.15 //
   nagarārṇavaśailartu- candrārkodayavarṇanaiḥ /	nagara-arNava-SEla-Rtu candra-arka-udaya-varNanEH /
   udyānasalilakrīḍā- madhupānaratotsavaiḥ // 1.16 //	udyAna-salila-krIxA maDu-pAna-rata-utsavEH // 1.16 //
   vipralambhair vivāhaiś ca kumārodayavarṇanaiḥ /	vipralamBEH vivAhEH ca kumAra-udaya-varNanEH /
   mantradūtaprayāṇāji- nāyakābhyudayair api // 1.17 //	mantra-dUta-prayANa-aji nAyaka-aByudayEH api // 1.17 //
   alaṃkṛtam asaṃkṣiptaṃ rasabhāvanirantaram /	alaMkRtam asaMkziptam rasa-BAva-nirantaram /
   sargair anativistīrṇaiḥ śravyavṛttaiḥ susaṃdhibhiḥ // 1.18 //	sargEH anativistIrNEH Sravya-vRttEH su-saMDiBiH // 1.18 //
   sarvatra bhinnavṛttāntair upetaṃ lokarañjanam /	sarvatra Binna-vRttAntEH upetam loka-raQjanam /
   kāvyaṃ kalpottarasthāyi jāyate sadalaṃkṛti // 1.19 //	kAvyam kalpa-uttara-sTAyi jAyate sat-alaMkRti // 1.19 //
   nyūnam apy atra yaiḥkaiścid aṅgaiḥ kāvyaṃ na duṣyati /	nyUnam api atra yEHkEScid aFgEH kAvyam na duzyati /
   yady upātteṣu saṃpattir ārādhayati tadvidaḥ // 1.20 //	yadi upAttezu saMpattiH ArADayati tad-vidaH // 1.20 //
   guṇataḥ prāg upanyasya nāyakaṃ tena vidviṣām /	guNataH prAk upanyasya nAyakam tena vidvizAm /
   nirākaraṇam ity eṣa mārgaḥ prakṛtisundaraḥ // 1.21 //	nirAkaraNam iti eza mArgaH prakRti-sundaraH // 1.21 //
   vaṃśavīryaśrutādīni varṇayitvā ripor api /	vaMSa-vIrya-Sruta-AdIni varNayitvA ripoH api /
   tajjayān nāyakotkarṣa- varṇanaṃ ca dhinoti naḥ // 1.22 //	tad-jayAt nAyaka-utkarza varNanam ca Dinoti naH // 1.22 //
   apādaḥ padasaṃtāno gadyam ākhyāyikā kathā /	apAdaH pada-saMtAnaH gadyam AKyAyikA kaTA /
   iti tasya prabhedau dvau tayor ākhyāyikā kila // 1.23 //	iti tasya praBedO dvO tayoH AKyAyikA kila // 1.23 //
   nāyakenaiva vācyānyā nāyakenetareṇa vā /	nAyakena-eva vAcyA-anyA nAyakena-itareNa vA /
   svaguṇāviṣkriyā doṣo nātra bhūtārthaśaṃsinaḥ // 1.24 //	sva-guNa-AvizkriyA dozaH na-atra BUta-arTa-SaMsinaH // 1.24 //
   api tv aniyamo dṛṣṭas tatrāpy anyair udīraṇāt /	api tu aniyamaH dRzwaH tatra-api anyEH udIraNAt /
   anyo vaktā svayaṃ veti kīdṛg vā bhedalakṣaṇam // 1.25 //	anyaH vaktA svayam vA-iti kIdRS vA Beda-lakzaNam // 1.25 //
   vaktraṃ cāparavaktraṃ ca socchvāsatvaṃ ca bhedakam /	vaktram ca-aparavaktram ca sa-ucCvAsa-tvam ca Bedakam /
   cihnam ākhyāyikāyāś cet prasaṅgena kathāsv api // 1.26 //	cihnam AKyAyikAyAH ced prasaFgena kaTAsu api // 1.26 //
   āryādivatpraveśaḥ kiṃ na vaktrāparavaktrayoḥ /	Arya-Adi-vat-praveSaH kim na vaktra-apara-vaktrayoH /
   bhedaś ca dṛṣṭo lambādir ucchvāso vāstu kiṃ tataḥ // 1.27 //	BedaH ca dRzwaH lamba-AdiH ucCvAsaH vA-astu kim tatas // 1.27 //
   tat kathākhyāyikety ekā jātiḥ saṃjñādvayāṅkitā /	tat kaTA-AKyAyikA-iti ekA jAtiH saMjQA-dvaya-aFkitA /
   atraivāntarbhaviṣyanti śeṣāś cākhyānajātayaḥ // 1.28 //	atra-eva-antarBavizyanti SezAH ca-AKyAna-jAtayaH // 1.28 //
   kanyāharaṇasaṃgrāma- vipralambhodayādayaḥ /	kanyA-haraNa-saMgrAma vipralamBa-udaya-AdayaH /
   sargabandhasamā eva naite vaiśeṣikā guṇāḥ // 1.29 //	sarga-banDa-samAH eva na-ete vESezikAH guNAH // 1.29 //
   kavibhāvakṛtaṃ cihnam anyatrāpi na duṣyati /	kavi-BAva-kRtam cihnam anyatra-api na duzyati /
   mukham iṣṭārthasaṃsiddhyai kiṃ hi na syāt kṛtātmanām // 1.30 //	muKam izwa-arTa-saMsidDyE kim hi na syAt kRtAtmanAm // 1.30 //
   miśrāṇi nāṭakādīni teṣām anyatra vistaraḥ /	miSrANi nAwaka-AdIni tezAm anyatra vistaraH /
   gadyapadyamayī kācit campūr ity abhidhīyate // 1.31 //	gadya-padya-mayI kAcid campUH iti aBiDIyate // 1.31 //
   tad etad vāṅmayaṃ bhūyaḥ saṃskṛtaṃ prākṛtaṃ tathā /	tat etat vAc-mayam BUyas saMskRtam prAkRtam taTA /
   apabhraṃśaś ca miśraṃ cety āhur āryāś caturvidham // 1.32 //	apaBraMSaH ca miSram ca-iti AhuH AryAH caturviDam // 1.32 //
   saṃskṛtaṃ nāma daivī vāg anvākhyātā maharṣibhiḥ /	saMskRtam nAma dEvI vAc anvAKyAtA mahA-RziBiH /
   tadbhavas tatsamo deśīty anekaḥ prākṛtakramaḥ // 1.33 //	tad-BavaH tad-samaH deSI-iti anekaH prAkRta-kramaH // 1.33 //
   mahārāṣṭrāśrayāṃ bhāṣāṃ prakṛṣṭaṃ prākṛtaṃ viduḥ /	mahArAzwra-ASrayAm BAzAm prakRzwam prAkRtam viduH /
   sāgaraḥ sūktiratnānāṃ setubandhādi yanmayam // 1.34 //	sAgaraH sUkti-ratnAnAm setu-banDa-Adi yad-mayam // 1.34 //
   śaurasenī ca gauḍī ca lāṭī cānyā ca tādṛśī /	SOrasenI ca gOxI ca lAwI ca-anyA ca tAdRSI /
   yāti prākṛtam ity evaṃ vyavahāreṣu saṃnidhim // 1.35 //	yAti prAkRtam iti evam vyavahArezu saMniDim // 1.35 //
   ābhīrādigiraḥ kāvyeṣv apabhraṃśa iti smṛtāḥ /	ABIra-Adi-giraH kAvyezu apaBraMSaH iti smRtAH /
   śāstreṣu saṃskṛtād anyad apabhraṃśatayoditam // 1.36 //	SAstrezu saMskRtAt anyat apaBraMSa-tayA-uditam // 1.36 //
   saṃskṛtaṃ sargabandhādi prākṛtaṃ skandhakādikam /	saMskRtam sarga-banDa-Adi prAkRtam skanDaka-Adikam /
   osarādīny apabhraṃśo nāṭakādi tu miśrakam // 1.37 //	osara-AdIni apaBraMSaH nAwaka-Adi tu miSrakam // 1.37 //
   kathāpi sarvabhāṣābhiḥ saṃskṛtena ca badhyate /	kaTA-api sarva-BAzABiH saMskRtena ca baDyate /
   bhūtabhāṣāmayīṃ prāhur adbhutārthāṃ bṛhatkathām // 1.38 //	BUta-BAzA-mayIm prAhuH adButa-arTAm bRhat-kaTAm // 1.38 //
   lāsyacchalitaśamyādi prekṣārtham itarat punaḥ /	lAsya=-Calita-Samya-Adi prekzA-arTam itarat punar /
   śravyam eveti saiṣāpi dvayī gatir udāhṛtā // 1.39 //	Sravyam eva-iti sA-ezA-api dvayI gatiH udAhRtA // 1.39 //
   asty aneko girāṃ mārgaḥ sūkṣmabhedaḥ parasparam /	asti anekaH girAm mArgaH sUkzma-BedaH parasparam /
   tatra vaidarbhagauḍīyau varṇyete prasphuṭāntarau // 1.40 //	tatra vEdarBa-gOxIyO varNyete prasPuwa-antarO // 1.40 //
   śleṣaḥ prasādaḥ samatā mādhuryaṃ sukumāratā /	SlezaH prasAdaH sama-tA mADuryam sukumAra-tA /
   arthavyaktir udāratvaṃ ojaḥkāntisamādhayaḥ // 1.41 //	arTa-vyaktiH udAra-tvam ojaH-kAnti-samADayaH // 1.41 //
   iti vaidarbhamārgasya prāṇā daśa guṇāḥ smṛtāḥ /	iti vEdarBa-mArgasya prANAH daSa guNAH smRtAH /
   eṣāṃ viparyayaḥ prāyo lakṣyate gauḍavartmani // 1.42 //	ezAm viparyayaH prAyas lakzyate gOxa-vartmani // 1.42 //
   [śleṣa vs. śithila]	[Sleza vs. SiTila]
   śliṣṭam aspṛṣṭaśaithilyam alpaprāṇākṣarottaram /	Slizwam aspRzwa-SETilyam alpa-prANa-akzara-uttaram /
   śithilaṃ mālatīmālā lolālikalilā yathā // 1.43 //	SiTilam mAlatI-mAlA lola-ali-kalilAH yaTA // 1.43 //
   anuprāsadhiyā gauḍais tad iṣṭaṃ bandhagauravāt /	anuprAsa-DiyA gOxEH tat izwam banDa-gOravAt /
   vaidarbhair mālatīdāma laṅghitaṃ bhramarair iti // 1.44 //	vEdarBEH mAlatI-dAma laFGitam BramarEH iti // 1.44 //
   [prasāda vs. vyutpanna]	[prasAda vs. vyutpanna]
   prasādavat prasiddhārtham indor indīvaradyuti /	prasAda-vat prasidDa-arTam indoH indIvara-dyuti /
   lakṣma lakṣmīṃ tanotīti pratītisubhagaṃ vacaḥ // 1.45 //	lakzma lakzmIm tanoti-iti pratIti-suBagam vacaH // 1.45 //
   vyutpannam iti gauḍīyair nātirūḍham apīṣyate /	vyutpannam iti gOxIyEH na-atirUXam api-izyate /
   yathānatyarjunābjanma- sadṛkṣāṅko balakṣaguḥ // 1.46 //	yaTA-anati-arjuna-abjan-ma sadRkzA-aFkaH balakzaguH // 1.46 //
   [samatā vs. vaiṣamya]	[samatA vs. vEzamya]
   samaṃ bandheṣv aviṣamaṃ te mṛdusphuṭamadhyamāḥ /	samam banDezu avizamam te mRdu-sPuwa-maDyamAH /
   bandhā mṛdusphuṭonmiśra- varṇavinyāsayonayaḥ // 1.47 //	banDAH mRdu-sPuwa-unmiSra varNa-vinyAsa-yonayaH // 1.47 //
   kokilālāpavācālo mām eti malayānilaḥ /	kokila-AlApa-vAcAlaH mAm eti malaya-anilaH /
   ucchalacchīkarācchāccha- nirjharāmbhaḥkaṇokṣitaḥ // 1.48 //	ucCalat-SIkara-acCAcCa nirJara-amBaH-kaNa-ukzitaH // 1.48 //
   candanapraṇayodgandhir mando malayamārutaḥ /	candana-praNaya-udganDiH mandaH malaya-mArutaH /
   spardhate ruddhamaddhairyo vararāmāmukhānilaiḥ // 1.49 //	sparDate rudDa-mad-DEryaH vara-rAmA-muKa-anilEH // 1.49 //
   ity anālocya vaiṣamyam arthālaṃkāraḍambarau /	iti anAlocya vEzamyam arTa-alaMkAra-xambarO /
   apekṣamāṇā vavṛdhe paurastyā kāvyapaddhatiḥ // 1.50 //	apekzamANA vavRDe pOrastyA kAvya-padDatiH // 1.50 //
   [mādhurya]	[mADurya]
   madhuraṃ rasavad vāci vastuny api rasasthitiḥ /	maDuram rasavat vAci vastuni api rasa-sTitiH /
   yena mādhyanti dhīmanto madhuneva madhuvratāḥ // 1.51 //	yena mADyanti DImantaH maDunA-iva maDu-vratAH // 1.51 //
   [(1.) anuprāsa (śabdālaṃkāra) vs. varṇāvṛtti]	[(1.) anuprAsa (Sabda-alaMkAra) vs. varNa-AvRtti]
   yayā kayācic chrutyā yat samānam anubhūyate /	yayA kayAcid SrutyA yat samAnam anuBUyate /
   tadrūpā hi padāsattiḥ sānuprāsā rasāvahā // 1.52 //	tad-rUpA hi pada-AsattiH sa-anuprAsAH rasa-AvahAH // 1.52 //
   eṣa rājā yadā lakṣmīṃ prāptavān brahmaṇapriyaḥ /	eza rAjA yadA lakzmIm prAptavAn brahmaNa-priyaH /
   tataḥ prabhṛti dharmasya loke 'sminn utsavo 'bhavat // 1.53 //	tatas praBRti Darmasya loke asmin utsavaH aBavat // 1.53 //
   itīdaṃ nādṛtaṃ gauḍair anuprāsas tu tatpriyaḥ /	iti-idam na-AdRtam gOxEH anuprAsaH tu tad-priyaH /
   anuprāsād api prāyo vaidarbhair idam iṣyate // 1.54 //	anuprAsAt api prAyas vEdarBEH idam izyate // 1.54 //
   varṇāvṛttir anuprāsaḥ pādeṣu ca padeṣu ca /	varNa-AvRttiH anuprAsaH pAdezu ca padezu ca /
   pūrvānubhavasaṃskāra- bodhinī yady adūratā // 1.55 //	pUrva-anuBava-saMskAra boDinI yadi adUra-tA // 1.55 //
   candre śaranniśottaṃse kundastavakavibhrame /	candre Sarad-niSA-uttaMse kundastavaka-viBrame /
   indranīlanibhaṃ lakṣma saṃdadhāty anilaḥ śriyam // 1.56 //	indranIla-niBam lakzma saMdaDAti anilaH Sriyam // 1.56 //
   cāru candramasaṃ bhīru bimbaṃ paśyaitad ambare /	cAru candramasam BIru bimbam paSya-etat ambare /
   manmano manmathākrāntaṃ nirdayaṃ hantum udyatam // 1.57 //	mad-manaH manmaTa-AkrAntam nirdayam hantum udyatam // 1.57 //
   ity anuprāsam icchanti nātidūrāntaraśrutim /	iti anuprAsam icCanti na-ati-dUra-antara-Srutim /
   na tu rāmāmukhāmbhoja- sadṛśaś candramā iti // 1.58 //	na tu rAmA-muKa-amBoja sadRSaH candramAH iti // 1.58 //
   smaraḥ kharaḥ khalaḥ kāntaḥ kāyaḥ kopaś ca naḥ kṛśaḥ /	smaraH KaraH KalaH kAntaH kAyaH kopaH ca naH kRSaH /
   cyuto māno 'dhiko rāgo moho jāto 'savo gatāḥ // 1.59 //	cyutaH mAnaH aDikaH rAgaH mohaH jAtaH asavaH gatAH // 1.59 //
   ity ādi bandhapāruṣyaṃ śaithilyaṃ ca nigacchati /	iti Adi banDa-pAruzyam SETilyam ca nigacCati /
   ato naivam anuprāsaṃ dākṣinātyāḥ prayuñjate // 1.60 //	atas na-evam anuprAsam dAkzinAtyAH prayuQjate // 1.60 //
   [(2.) yamaka (śabdālaṃkāra; Vw.)]	[(2.) yamakaH (Sabda-alaMkAra; Vw.)]
   āvṛttiṃ varṇasaṃghāta- gocarāṃ yamakaṃ viduḥ /	AvRttim varNa-saMGAta gocarAm yamakam viduH /
   tat tu naikāntamadhuram ataḥ paścād vidhāsyate // 1.61 //	tat tu na-ekAnta-maDuram atas paScAt viDAsyate // 1.61 //
   [(3.) agrāmyatā (arthālaṃkāra) vs. grāmyatā]	[(3.) agrAmya-tA (arTa-alaMkAra) vs. grAmyatA]
   kāmaṃ sarvo 'py alaṃkāro rasam arthe niṣañcati /	kAmam sarvaH api alaMkAraH rasam arTe nizaQcati /
   tathāpy agrāmyataivaitaṃ bhāraṃ vahati bhūyasā // 1.62 //	taTA-api agrAmyatA-eva-etam BAram vahati BUyasA // 1.62 //
   kanye kāmayamānaṃ māṃ na tvaṃ kāmayase katham /	kanye kAmayamAnam mAm na tvam kAmayase kaTam /
   iti grāmyo 'yam arthātmā vairasyāya prakalpate // 1.63 //	iti grAmyaH ayam arTa-AtmA vErasyAya prakalpate // 1.63 //
   kāmaṃ kandarpacāṇḍālo mayi vāmākṣi nirdayaḥ /	kAmam kandarpa-cANxAlaH mayi vAma-akzi nirdayaH /
   tvayi nirmatsaro diṣṭyety agrāmyo 'rtho rasāvahaḥ // 1.64 //	tvayi nirmatsaraH dizwyA-iti agrAmyaH arTaH rasa-AvahaH // 1.64 //
   śabde 'pi grāmyatāsty eva sā sabhyetarakīrtanāt /	Sabde api grAmyatA-asti eva sA saByetara-kIrtanAt /
   yathā yakārādipadaṃ ratyutsavanirūpaṇe // 1.65 //	yaTA yakAra-Adi-padam rati-utsava-nirUpaNe // 1.65 //
   padasaṃdhānavṛttyā vā vākyārthatvena vā punaḥ /	pada-saMDAna-vRttyA vA vAkya-arTa-tvena vA punar /
   duṣpratītikaraṃ grāmyaṃ yathā yā bhavataḥ priyā // 1.66 //	duzpratIti-karam grAmyam yaTA yA BavataH priyA // 1.66 //
   kharaṃ prahṛtya viśrāntaḥ puruṣo vīryavān iti /	Karam prahRtya viSrAntaH puruzaH vIryavAn iti /
   evam ādi na śaṃsanti mārgayor ubhayor api // 1.67 //	evam Adi na SaMsanti mArgayoH uBayoH api // 1.67 //
   bhaginībhagavatyādi sarvatraivānumanyate /	BaginI-Bagavati-Adi sarvatra-eva-anumanyate /
   vibhaktam iti mādhuryam ucyate sukumāratā // 1.68 //	viBaktam iti mADuryam ucyate sukumAra-tA // 1.68 //
   [sukumāratā vs. dīpta]	[sukumAra-tA vs. dIpta]
   aniṣṭhurākṣaraprāyaṃ sukumāram iheṣyate /	anizWura-akzara-prAyam su-kumAram iha-izyate /
   bandhaśaithilyadoṣas tu darśitaḥ sarvakomale // 1.69 //	banDa-SETilya-dozaH tu darSitaH sarva-komale // 1.69 //
   maṇḍalīkṛtya barhāṇi kaṇṭhair madhuragītibhiḥ /	maNxalIkRtya barhANi kaNWEH maDura-gItiBiH /
   kalāpinaḥ pranṛtyanti kāle jīmūtamālini // 1.70 //	kalApinaH pranRtyanti kAle jImUta-mAlini // 1.70 //
   ity anūrjita evārtho nālaṃkāro 'pi tādṛśaḥ /	iti anUrjitaH eva-arTaH na-alaMkAraH api tAdRSaH /
   sukumāratayaivaitad ārohati satāṃ manaḥ // 1.71 //	sukumAra-tayA-eva-etat Arohati satAm manaH // 1.71 //
   dīptam ity aparair bhūmnā kṛcchrodyam api badhyate /	dIptam iti aparEH BUmnA kRcCra-udyam api baDyate /
   nyakṣeṇa kṣayitaḥ pakṣaḥ kṣatriyāṇāṃ kṣaṇād iti // 1.72 //	nyakzeNa kzayitaH pakzaH kzatriyANAm kzaNAt iti // 1.72 //
   [arthavyakti vs. neyatva]	[arTa-vyakti vs. neyatva]
   arthavyaktir aneyatvam arthasya hariṇoddhṛtā /	arTa-vyaktiH aneya-tvam arTasya hariNA-udDRtA /
   bhūḥ khurakṣuṇṇanāgāsṛg- lohitād udadher iti // 1.73 //	BUH Kura-kzuNNa-nAga-asRg lohitAt udaDeH iti // 1.73 //
   mahī mahāvarāheṇa lohitād uddhṛtodadheḥ /	mahI mahAvarAheNa lohitAt udDRta-udaDeH /
   itīyaty eva nirdiṣṭe neyatvam uragāsṛjaḥ // 1.74 //	itIyati eva nirdizwe neya-tvam uraga-asRjaH // 1.74 //
   nedṛśaṃ bahu manyate mārgayor ubhayor api /	na-IdRSam bahu manyate mArgayoH uBayoH api /
   na hi pratītiḥ subhagā śabdanyāyavilaṅghinī // 1.75 //	na hi pratItiH suBagA Sabda-nyAya-vilaFGinI // 1.75 //
   [udāratvam]	[udAra-tvam]
   utkarṣavān guṇaḥ kaścid yasminn ukte pratīyate /	utkarzavAn guNaH kaScid yasmin ukte pratIyate /
   tadudārāhvayaṃ tena sanāthā kāvyapaddhatiḥ // 1.76 //	tad-udAra-Ahvayam tena sa-nATA kAvya-padDatiH // 1.76 //
   arthināṃ kṛpaṇā dṛṣṭis tvanmukhe patitā sakṛt /	arTinAm kRpaNA dRzwiH tvad-muKe patitA sakRt /
   tadavasthā punar deva nānyasya mukham īkṣate // 1.77 //	tad-avasTA punar deva na-anyasya muKam Ikzate // 1.77 //
   iti tyāgasya vākye 'sminn utkarṣaḥ sādhu lakṣyate /	iti tyAgasya vAkye asmin utkarzaH sADu lakzyate /
   anenaiva pathānyatra samānanyāyam ūhyatām // 1.78 //	anena-eva paTA-anyatra samAna-nyAyam UhyatAm // 1.78 //
   ślāghyair viśeṣaṇair yuktam udāraṃ kaiścid iṣyate /	SlAGyEH viSezaNEH yuktam udAram kEScid izyate /
   yathā līlāmbujakrīḍā- sarohemāṅgadādayaḥ // 1.79 //	yaTA lIlA-ambuja-krIxA sa-rohema-aFgada-AdayaH // 1.79 //
   [ojas]	[ojas]
   ojaḥ samāsabhūyastvam etad gadyasya jīvitam /	ojaH samAsa-BUyaH-tvam etat gadyasya jIvitam /
   padye 'py adākṣiṇātyānām idam ekaṃ parāyaṇam // 1.80 //	padye api adAkziNAtyAnAm idam ekam parAyaNam // 1.80 //
   tad gurūṇāṃ laghūnāṃ ca bāhulyālpatvamiśraṇaiḥ /	tat gurUNAm laGUnAm ca bAhulya-alpa-tva-miSraNEH /
   uccāvacaprakāraṃ tad dṛśyam ākhyāyikādiṣu // 1.81 //	uccAvaca-prakAram tat dRSyam AKyAyikA-Adizu // 1.81 //
   astamastakaparyasta- samastārkāṃśusaṃstarā /	asta-mastaka-paryasta samasta-arka-aMSu-saMstarAH /
   pīnastanasthitātāmra- kamravastreva vāruṇī // 1.82 //	pIna-stana-sTita-AtAmra kamra-vastrA-iva vAruNI // 1.82 //
   iti padye 'pi paurastyā badhnanty ojasvinīr giraḥ /	iti padye api pOrastyAH baDnanti ojasvinIH giraH /
   anye tv anākulaṃ hṛdyam icchanty ojo girāṃ yathā // 1.83 //	anye tu anAkulam hRdyam icCanti ojaH girAm yaTA // 1.83 //
   payodharataṭotsaṅga- lagnasaṃdhyātapāṃśukā /	payoDara-tawa-utsaFga lagna-saMDyA-tapa-aMSukAH /
   kasya kāmāturaṃ ceto vāruṇī na kariṣyati // 1.84 //	kasya kAma-Aturam cetaH vAruNI na karizyati // 1.84 //
   [kānti vs. atyukti]	[kAnti vs. atyukti]
   kāntaṃ sarvajagatkāntaṃ laukikārthānatikramāt /	kAntam sarva-jagat-kAntam lOkika-arTa-anatikramAt /
   tac ca vārttābhidhāneṣu varṇanāsv api dṛśyate // 1.85 //	tat ca vArttA-aBiDAnezu varNanAsu api dRSyate // 1.85 //
   gṛhāṇi nāma tāny eva taporāśir bhavādṛśaḥ /	gRhANi nAma tAni eva tapaH-rASiH BavAdRSaH /
   saṃbhāvayati yāny eva pāvanaiḥ pādapāṃsubhiḥ // 1.86 //	saMBAvayati yAni eva pAvanEH pAda-pAMsuBiH // 1.86 //
   anayor anavadyāṅgi stanayor jṛmbhamāṇayoḥ /	anayoH anavadya-aFgi stanayoH jRmBamANayoH /
   avakāśo na paryāptas tava bāhulatāntare // 1.87 //	avakASaH na paryAptaH tava bAhu-latA-antare // 1.87 //
   iti saṃbhāvyam evaitad viśeṣākhyānasaṃskṛtam /	iti saMBAvyam eva-etat viSeza-AKyAna-saMskRtam /
   kāntaṃ bhavati sarvasya lokayātrānuvartinaḥ // 1.88 //	kAntam Bavati sarvasya lokayAtrA-anuvartinaH // 1.88 //
   lokātīta ivātyartham adhyāropya vivakṣitaḥ /	loka-atItaH iva-atyarTam aDyAropya vivakzitaH /
   yo 'rthas tenāti tuṣyanti vidagdhā netare janāḥ // 1.89 //	yaH arTaH tena-ati tuzyanti vidagDAH na-itare janAH // 1.89 //
   devadhiṣṇyam ivārādhyam adyaprabhṛti no gṛham /	deva-DizNyam iva-ArADyam adya-praBRti naH gRham /
   yuṣmatpādarajaḥpāta- dhautaniḥśeṣakilbiṣam // 1.90 //	yuzmad-pAda-rajaH-pAta DOta-niHSeza-kilbizam // 1.90 //
   alpaṃ nirmitam ākāśam anālocyaiva vedhasā /	alpam nirmitam AkASam anAlocya-eva veDasA /
   idam evaṃvidhaṃ bhāvi bhavatyāḥ stanajhṛmbhaṇam // 1.91 //	idam evaMviDam BAvi BavatyAH stana-JRmBaNam // 1.91 //
   idam atyuktir ity uktam etad gauḍopalālitam /	idam atyuktiH iti uktam etat gOxa-upalAlitam /
   prasthānaṃ prākpraṇītaṃ tu sāram anyasya vartmanaḥ // 1.92 //	prasTAnam prAc-praNItam tu sAram anyasya vartmanaH // 1.92 //
   [samādhi]	[samADi]
   anyadharmas tato 'nyatra lokasīmānurodhinā /	anya-DarmaH tatas anyatra loka-sImA-anuroDinA /
   samyag ādhīyate yatra sa samādhiḥ smṛto yathā // 1.93 //	samyak ADIyate yatra sa samADiH smRtaH yaTA // 1.93 //
   kumudāni nimīlāni kamalāny unmiṣanti ca /	kumudAni nimIlAni kamalAni unmizanti ca /
