   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   guṇabhūtakālānurodhena pradhānāvṛtternyāyalabhyatvābhāvena	guNa-BUta-kAla-anuroDena praDAna-AvRtteH-nyAya-laBya-tva-aBAvena
   yāvacchabdārthasyāpi vidheyatvāpatterlāghavānnimittatvameva saṃbandhaḥ	yAvat-Sabda-arTasya-api viDeyatva-ApatteH-lAGavAn-nimitta-tvam-eva saMbanDaH
   pratīyate /	pratIyate /
   tadāhi pratinimittaṃ naimittikāvṛtternyāyalabhyatvādyāvacchabdārtho	tadA-hi pratinimittam nEmittikA-vRtteH-nyAya-laBya-tvAt-yAvat-Sabda-arTaH-
   'nuvādaḥ /	anuvAdaH /
   nimittatvaṃ ca svānvayavyatirekānuvidhāyyavaśyānuṣṭhānavattvam /	nimitta-tvam ca sva-anvaya-vyatireka-anuviDAyi-avaSya-anuzWAna-vat-tvam /
   yathā rāhūparāgānvayavyatirekānuvidhāyi avaśyānuṣṭhānaṃ yasya snānasya	yaTA rAhu-uparAga-anvaya-vyatireka-anuviDAyi avaSya-anuzWAnam yasya snAnasya
   tadvattvaṃ rāhūparāge /	tadvat-tvam rAhu-uparAge /
   atraca vyatirekānuvidhāna eva vidhestātparyam /	atra-ca vyatireka-anuviDAnaH eva viDeH-tAtparyam /
   ataśca nimittasattve naimittikasyāvaśyānuṣṭhānabodhanādakaraṇe pratyavāyo	atas-ca nimitta-sattve nEmittikasya-avaSya-anuzWAna-boDanAt-akaraNe pratyavAyaH-
   'numīyate /	anumIyate /
   karaṇe ca 'dharmeṇa pāpamapanudati' ityādivākyaśeṣāt rātrisatranyāyena	karaNe ca aDarmeNa pApam-apanudati-a ityAdi-vAkya-SezAt rAtri-satra-nyAyena
   pāpakṣaya evānuṣaṅgiko nityanaimittikasthale phalam /	pApa-kzayaH eva-anuzaFgikaH nitya-nEmittika-sTale Palam /
   yatratu rathantarasāmatvādinimittasattve naimittikasya pāṭhādeva	yatratu raTantara-sAma-tva-Adi-nimitta-sattve nEmittikasya pAWAt-eva
   prāptisaṃbhavenānvayānuvidhānasya pramāṇāntareṇa prāptistatra	prApti-saMBavena-anvaya-anuviDAnasya pramANa-antareNa prAptiH-tatra
   vyatirekānuvidhāna eva vidhestātparyam /	vyatireka-anuviDAnaH eva viDeH-tAtparyam /
   ata eva rathantarābhāve aindravāyavāgratvasyābhāvaḥ /	atas eva raTantara-aBAve Endra-vAyava-agra-tvasya-aBAvaH /
   ataśca yāvajjīvapade lāghavādyanurodhena jīvanasya	atas-ca yAvat-jIva-pade lAGava-Adi-anuroDena jIvanasya
   nimittatvāvagatestadanurodhena pāpakṣayārthaṃ viniyogāntaramevedamiti	nimitta-tva-avagateH-tad-anuroDena pApa-kzaya-arTam viniyoga-antaram-eva-idam-iti
   siddham // 1 // iti prathamaṃ yāvajjīvanimittatādhikaraṇam //	sidDam // 1 // iti praTamam yAvat-jIva-nimitta-tA-aDikaraNam //
   --------------- <B2>	-------------- <B2>
   (yāvajjīvaguṇasaṃyuktāgnihotrādiprayogabhedābhedacintā vārtikakārāṇāṃ	(yAvat-jIva-guNa-saMyukta-agni-hotra-Adi-prayoga-Beda-aBeda-cintA vArtikakArANAm
   saṃmateti nirūpaṇam) darśapūrṇamāsābhyāṃ svargakāmo yajeteti kāmyaprayogaṃ	saMmata-iti nirUpaNam) darSa-pUrNamAsAByAm svarga-kAmaH yajeta-iti kAmya-prayogam
   vidhāya bahvṛcabrāhmaṇe āmnātaṃ vākyamudāharati ---------- yāvajjīvamiti	viDAya bahu-Rca-brAhmaNe AmnAtam vAkyam-udAharati --------- yAvajjIvam-iti
   yāvajjīvamagnihotraṃ juhotītyetatsadṛśavākyāntarāṇāmapyupalakṣaṇametat /	yAvat-jIvam-agnihotram juhoti-iti-etat-sadRSa-vAkya-antarANAm-api-upalakzaNam-etat /
   atra bhāṣyakāreṇa sūtrānuguṇyena karmadharmatvakartṛdharmatvacintāṃ	atra BAzya-kAreNa sUtra-anuguNyena karma-Darma-tva-kartR-Darma-tva-cintAm
   kṛtāmapi tṛtīyādhyāyasaṃgatāyāstasyā bhedalakṣaṇe 'paryavasite sati karaṇe	kRtAm-api tRtIya-aDyAya-saMgatAyAH-tasyAH Beda-lakzaNe aparyavasite sati karaNe
   lakṣaṇāsaṅgatyāpatterayuktāmapi kiṃ yāvajjīvaguṇasaṃyuktānāmagnihotrādīnāṃ	lakzaNa-asaFgatya-ApatteH-ayuktAm-api kim yAvat-jIva-guNa-saMyuktAnAm-agni-hotra-AdInAm
   prayogā bhidyante; uta eka evāyaṃ prayogaḥ kāmyaḥ sa eva yāvajjīva	prayogAH Bidyante; uta ekaH eva-ayam prayogaH kAmyaH saH eva yAvat-jIva
   kālaparimita ityevaṃ lakṣaṇasaṃgataprayogabhedābhedaphalakatvena	kAla-parimitaH iti-evam lakzaNa-saMgata-prayoga-Beda-aBeda-Palaka-tvena
   vārtikakāraḥ samarthayāmāsa //	vArtikakAraH samarTayAmAsa //
   (uktavārtikasiddhāntāparitoṣāt viniyogabhedābhedāveva pādārtha iti	(ukta-vArtika-sidDAnta-aparitozAt viniyoga-Beda-aBedO=-eva pAda-arTaH iti
   nirūpaṇam) vastutastu ---------- prayogāṅgasyāpi yāvajjīvakālasya	nirUpaNam) vastutas-tu --------- prayoga-aFgasya-api yAvat-jIva-kAlasya
   pūrvaprayoge sāyaṃprātaḥkālāvaruddhe 'varodhasaṃbhavānna yathā pūrvapakṣe	pUrva-prayoge sAyaMprAtar-kAla-avarudDe avaroDa-saMBavAt-na yaTA pUrva-pakze
   prayogabhedakatvam, tathā nimittasyāpi pūrvaprayoge 'saṃbhavato 'pi	prayoga-Bedaka-tvam, taTA nimittasya-api pUrva-prayoge asaMBavataH api
   prayogānaṅgatvāt tattatpaurṇamāsyādikālīnasiddhaprayogasya karmaṇo	prayoga-anaFga-tvAt tad-tad-pOrNamAsya-Adi-kAlIna-sidDa-prayogasya karmaNaH-
   viniyogāntarāpādakatve 'pi prayogāntarānāpādakatvānna kālādivat	viniyoga-antara-ApAdaka-tve api prayoga-antara-anApAdaka-tvAt-na kAla-Adi-vat-
   prayogabhedakatvamiti prayogabhedābhedacintāyā asaṃbhavāt	prayoga-Bedaka-tvam-iti prayoga-Beda-aBeda-cintAyAH asaMBavAt-
   kathañcitsaṃbhave 'pi vāveṣṭyadhikaraṇaprasaṅgenaiva vicārayituṃ	kaTaQcid-saMBave api vA-Avezwi-aDikaraNa-prasaFgena-eva vicArayitum
   yuktatvādiha vicārāsaṃgatervārtikakāroktāvaparituṣya nimittasya	yukta-tvAt-iha vicAra-asaMgateH-vArti-kakAra-uktO=-aparituzya nimittasya
   viniyogānvayitvena tatprayuktaviniyogabhedābhedasya kvāpi	viniyoga-anvayi-tvena tad-prayukta-viniyoga-Beda-aBedasya kvApi
   pūrvamaprakṛtasyeha pādārthatvena kaustubhe uktāṃ lakṣaṇasaṅgatiṃ tathā	pUrvam-aprakRtasya-iha pAda-arTa-tvena kOstuBe uktAm lakzaNa-saFgatim taTA
   nimittasya guṇatvena	nimittasya guNa-tvena
   bhedakatvepyanupādeyaprasaṅgānnimittasvarūpānupādeyasya	Bedaka-tvepi-anupAdeya-prasaFgAt-nimitta-svarUpa-anupAdeyasya
   viniyogabhedakatvavicāreṇa prāsaṅgikīmanantarasaṅgatiṃ ca spaṣṭatvāt,	viniyoga-Bedaka-tva-vicAreNa prAsaFgikIm-anantara-saFgatim ca spazwa-tva-at,
   ataeva bhāṣyakāroktasaṃśayamanuktvā pūrvapakṣamevāha ------------ kāmya	ataeva BAzya-kAra-ukta-saMSayam-anuktvA pUrva-pakzam-eva-Aha ----------- kAmya
   eveti //	eva-iti //
   (kāmye darśapūrṇamāsakarmaṇi guṇavidhānamiti pūrvapakṣopapādanam) uta eka	(kAmye darSa-pUrNamAsa-karmaNi guNa-viDAnam-iti pUrva-pakza-upapAda-nam) uta eka
   evāyaṃ prayogaḥ kāmyaḥ sa eva yāvajjīvakālaparimita iti vārtikalekhanāt	eva-ayam prayogaH kAmyaH saH eva yAvat-jIva-kAla-parimitaH iti vArtika-leKanAt-
   kāmyaprayoge 'yaṃ kālavidhiriti bhramaṃ nivartayituṃ	kAmya-prayoge ayam kAla-viDiH-iti Bramam nivartayitum
   darśapūrṇamāsakarmaṇītyuktam //	darSa-pUrNamAsa-karmaNi-iti-uktam //
   (kāmya evetyevakāreṇa siddhānte prakaraṇānanugrahasya pūrvapakṣe	(kAmyaH eva-iti-evakAreNa sidDAnte prakaraNAn-anugrahasya pUrva-pakze
   tadanugrahasya ca sūcanam) tataścaitadvākye prayogānvayiguṇābhāvena	tad-anugrahasya ca sUcanam) tatas-ca-etat-vAkye prayoga-anvayi-guNa-aBAvena
   prayogavidheḥ /	prayoga-viDeH /
   siddhānte 'pyanāśrayaṇāt paurṇamāsyādikālavidhauca tadāśrayaṇe	sidDAnte api-anASrayaNAt pOrNamAsya-Adi-kAla-viDOca tad-ASrayaNe
   vinigamanāvirahāt atrāpi tadāpatterihaiva karmoddeśena kālavidhāne sati	vinigamanA-virahAt atra-api tadApatteH-iha-eva karma-uddeSena kAla-viDAne sati
   vakṣyamāṇarītyā prayogavidhiḥ, natu prayogānuvādena kālavidhirityarthaḥ /	vakzyamANa-rItyA prayoga-viDiH, na-tu prayoga-anuvAdena kAla-viDiH-iti-arTaH /
   siddhāntetasyaiva karmaṇo nimittasaṃbandhena viniyogāntarakaraṇe	sidDAntetasya-eva karmaNaH nimitta-saMbanDena viniyoga-antara-karaNe
   'dhikārākhyaprakaraṇānugrahe 'pi	aDikAra-AKya-prakaraNa-anugrahe api
   kathaṃbhāvākāṅkṣālakṣaṇaprakaraṇānanugrahaṃ pūrvapakṣe tadanugrahañca	kaTaMBAva-AkAFkzA-lakzaNa-prakaraNAn-anugraham pUrva-pakze tat-anugrahaQca
   sūcayituṃ kāmya evetyevakāraḥ prayuktaḥ //	sUcayitum kAmyaH eva-iti-eva-kAraH prayuktaH //
   (yāvajjīvapadasya ṇamulantatvaṃ na nimittatvena kintu kālavidhitveneti	(yAvat-jIva-padasya Nam-ulanta-tvam na nimitta-tvena kintu kAla-viDi-tvena-iti
   nirūpaṇam) kālavidhiriti //	nirUpaNam) kAla-viDiH-iti //
   yāvajjīvapadasya ṇamulantasyāpi yāvaddehaṃ tiṣṭhatītivat nirūḍhalakṣaṇayā	yAvat-jIva-padasya Nam-ulantasya-api yAvat-deham tizWati-iti-vat nirUXa-lakzaNayA
   kālaparatvopapatteḥ abhikrāmaṃ juhotītyatra ṇamulantasyāpi	kAla-paratva-upapatteH aBikrAmam juhoti-iti-atra Nam-ulantasya-api
   nimittaparatvādarśanādiha kālavidhireva yukta ityarthaḥ /	nimitta-para-tva-adarSanAt-iha kAla-viDiH-eva yuktaH iti-arTaH /
   aparāhṇādivaditi //	aparAhNa-Adi-vat-iti //
   piṇḍapitṛyajñavākye dvayoramāvāsyāparāhṇakālayairvidhāne 'pyekasya	piNxa-pitR-yajQa-vAkye dvayoH-amAvAsya-aparAhNa-ka-AlayEH-viDAne api-ekasya
   vyāpyakālasyā- vacchedakatvenaikakālyenāvirodhasyevehāpyupapattirityathraḥ	vyApya-kAlasyA vacCedaka-tvena-eka-kAlyena-aviroDasya-iva-iha-api-upapattiH-iti-aTraH
   (atra pūrvapakṣe prācīnāpāditayajatyabhyāsalakṣaṇānirāsaḥ) atra prācīnaiḥ	(atra pUrva-pakze prAcInApAdita-yajati-aByAsa-lakzaNA-nirAsaH) atra prAcInEH
   siddhānte paurṇamāsyamāvāsyayordarśapūrṇamāsānuṣṭhānena	sidDAnte pOrNamAsyam-AvAsyayoH-darSa-pUrNamAsa-anuzWAnena
   jīvanaparyāptakālānugrahāsaṃbhavāt yāgābhyāsavidhānāya	jIvana-paryApta-kAla-anugraha-asaMBavAt yAga-aByAsa-viDAnAya
   yajatāvabhyāsalakṣaṇā pūrvapakṣe āpāditā, tāṃ parihartumāha ----------	yajatO=-aByAsa-lakzaNA pUrva-pakze ApAditA, tAm parihartum-Aha ----------
   jīvanaparyāpteti //	jIvana-paryAptA-iti //
   evañca nābhyāsalakṣaṇā natarāñca tasya vidheyatvamityevakāreṇa sūcitam /	evaQca na-aByAsa-lakzaNAH natarAQca tasya viDeya-tvam-iti-evakAreNa sUcitam /
   "yāvajjīvako 'bhyāsa" iti sūtramapyārthikābhyāsaparatayā neyamiti bhāvaḥ	"yAvajjIvakaH aByAsa" iti sUtram-api-ArTika-aByAsa-para-tayA na-iyam-iti BAvaH
   (vyāpyaprayogātiriktavyāpakaprayogāntaravidhipakṣeṇopapādanam) evañca	(vyApya-prayoga-atirikta-vyApaka-prayoga-antara-viDi-pakzeNa-upapAda-nam) evaQca
   yathaiva paurṇamāsyādivākyeṣu kālaviśiṣṭavyāpyaprayogavidhiḥ, tathaiva	yaTA-eva pOrNamAsya-Adi-vAkyezu kAla-viSizwa-vyApya-prayoga-viDiH, taTA-eva
   yāvajjīvavākye 'pi kālaviśiṣṭaprayogasya vidhānaṃ nānupapannam /	yAvat-jIva-vAkye api kAla-viSizwa-prayogasya viDAnam na-anupapannam /
   ataeva vidheyatāvacchedakatayā jīvanaparyāpteṣu tāvatsu vyāpyaprayogeṣu	ataeva viDeya-tAvat-Cedaka-tayA jIvana-paryAptezu tAvatsu vyApya-prayogezu
   tattadvidheyatāvacchedakatayā vibhinnadharmāntareṣvapi	tad-tad-viDeya-tAvacCedaka-tayA viBinna-Darma-antarezu-api
   vyāsaktaikadharmasya svīkārādvyāpyaprayogavyāsaktavyāpakaprayogādeva	vyAsakta-eka-Darmasya svIkArAt-vyApya-prayoga-vyAsakta-vyApaka-prayogAt-eva
   phalamityāha ---------- svargādīti //	Palam-iti-Aha --------- svarga-Adi-iti //
   vyāpyavyāpakaprayogaviśiṣṭakarmaṇaḥ phalāpekṣāyāṃ svargakāmādivākyena	vyApya-vyApaka-prayoga-viSizwa-karmaNaH Pala-apekzAyAm svarga-kAma-Adi-vAkyena
   svargārthatayaiva viniyogāt svargādyeva phalam, natu yāvajjīvavākyena	svarga-arTa-tayA-eva viniyogAt svarga-Adi-eva Palam, na-tu yAvat-jIva-vAkyena
   pāpakṣayārthatvena viniyogāt pāpakṣayaḥ pṛthak phalamityarthaḥ /	pApa-kzaya-arTa-tvena viniyogAt pApa-kzayaH pRTak Palam-iti-arTaH /
   evañca jīvanaparyāptaistāvadbhiḥ prayogaiḥ ekameva phalaṃ svargādi	evaQca jIvana-paryAptEH-tAvadBiH prayogEH ekam-eva Palam svarga-Adi
   bhavati, nāntareti bhāvaḥ /	Bavati, na-antarA-iti BAvaH /
   etacca vyāpyaprayogāpekṣayā vyāpakaprayogāntaravidhānaṃ	etat-ca vyApya-prayoga-apekzayA vyApaka-prayoga-antara-viDAnam
   kaustubhoktarītyopapāditam //	kOstuBa-ukta-rItya-upapAditam //
   (ante eva svargādi nāntarā, nāpi pāpakṣaya ityādinirūpaṇam) vastutastu	(ante eva svarga-Adi na-antarA, na-api pApa-kzayaH ityAdinirUpaNam) vastutas-tu
   ----------- vyāpakaprayogeṇaiva nirvāhe tattadvyāpyaprayogasvīkāre naiva	---------- vyApaka-prayogeNa-eva nirvAhe tad-tad-vyApya-prayoga-svIkAre na-eva
   kiñcit pramāṇam /	kiQcid pramANam /
   naca vinigamanāvirahaḥ; paurṇamāsyādivākyeṣu vyāpakaprayogānuvādena	na-ca vinigamanA-virahaH; pOrNamAsya-Adi-vAkyezu vyApaka-prayoga-anuvAdena
   tattatkālavidhāne 'pi jīvanakālāvacchedakatvavidhayā	tad-tad-kAla-viDAne api jIvana-kAla-avacCedaka-tva-viDayA
   tattatkālaniveśasaṃbhavasyaiva niyāmakatvāt /	tad-tad-kAla-niveSa-saMBavasya-eva niyAmaka-tvAt /
   nahi paurṇamāsyādikāleṣu jīvanasyāvyāvartakasyāvacchedakatvaṃ saṃbhavati;	na-hi pOrNamAsya-Adi-kAlezu jIvanasya-avyAvartakasya-avacCedaka-tvam saMBavati;
   ato 'prāptajīvanakālaviśiṣṭaprayogavidhirayameva /	atas aprApta-jIvana-kAla-viSizwa-prayoga-viDiH-ayam-eva /
   anyathā paurṇamāsyādikālānāṃ vyāpyavyāpakabhāvena	anyaTA pOrNamAsya-Adi-kAlAnAm vyApya-vyApaka-BAvena
   niveśasaṃbhavādavirodhokteranuktisahatvāpatteḥ /	niveSa-saMBavAt-aviroDa-ukteH-anukti-sahatva-ApatteH /
   ataeva prayogabhedābhāvena prakṛtasaṅgatyasaṃbhavena viniyogabhedamādāya	ataeva prayoga-Beda-aBAvena prakRta-saFgatya-saMBavena viniyoga-Bedam-AdAya
   saṅgatyupapādanaṃ kaustubhoktaṃ saṃgacchate /	saFgati-upapAdanam kOstuBa-uktam saMgacCate /
   tāvatāpica paurṇamāsyādikālāvacchinnajīvanaparyāptakālikaprayogādeva	tAvatApica pOrNamAsya-Adi-kAla-avacCinna-jIvana-paryApta-kAlika-prayogAt-eva
   phalaṃ svargādi nāntarā navā pāpakṣayaḥ phalamityasya phalabhedasya na	Palam svarga-Adi na-antarA navA pApa-kzayaH Palam-iti-asya Pala-Bedasya na
   kṣatiriti dhyeyam //	kzatiH-iti Dyeyam //
   (yāvacchabdārthasya puruṣadharmatvena kālavidhānāyogena	(yAvat-Sabda-arTasya puruza-Darma-tvena kAla-viDAnA-yogena
   nyāyalabdhāvṛttyanuvādatvakathanam) yāvajjīvaśabde hi yāvacchabdasya	nyAya-labDa-AvRtti-anuvAda-tva-kaTanam) yAvat-jIva-Sabde hi yAvat-Sabdasya
   sāmastyavacanatvāt tasya śakyārthasya puruṣadharmatvena	sAmastya-vacana-tvAt tasya Sakya-arTasya puruza-Darma-tvena
   karmadharmatvāyogāt avaśyaṃ jīvapade jīvanakālalakṣaṇāmeva pūrvapakṣe	karma-Darma-tva-ayogAt avaSyam jIva-pade jIvana-kAla-lakzaNAm-eva pUrva-pakze
   lakṣaṇāpattirityanenābhipretyābhyāsalakṣaṇāpattiṃ prācīnoktāmapahāya	lakzaNa-ApattiH-iti-anena-aBipretya-aByAsa-lakzaNa-Apattim prAcIna-uktAm-apahAya
   kālalakṣaṇameva pūrvapakṣe āpādayan siddhāntamāha---------	kAla-lakzaNam-eva pUrva-pakze ApAdayan sidDAntam-Aha---------
   kālalakṣaṇāpatteriti //	kAla-lakzaNa-ApatteH-iti //
   "dhātusaṃbandhe pratyayā" ityanuśāsanāt yasmāddhātorṇamutpratyayo bhavati	"DAtu-saMbanDe pratyayA" iti-anuSAsanAt yasmAt-DAtorNam-utpratyayaH Bavati
   taddhātvarthasya dhātvarthāntareṇa saṃbandhasya ṇamulābhidhānāt	tad-DAtu-arTasya DAtu-arTa-antareNa saMbanDasya Namula-aBiDAnAt-
   saṃbandhaviśeṣāpekṣāyāṃ yāvacchabdatātparyagrāhakavaśāt	saMbanDa-viSeza-apekzAyAm yAvat-Sabda-tAtparya-grAhaka-vaSAt
   nimittatvarūpatadviśeṣapratīterna tatpratipādanāya manmate	nimitta-tva-rUpa-tad-viSeza-pratIteH-na tad-pratipAdanAya mad-mate
   lakṣaṇāpattirityabhipretyāha ----------- ata iti //	lakzaNa-ApattiH-iti-aBipretya-Aha ---------- atas iti //
   saṃbandhavidhayaiva kālabodhopapattermamāpi na lakṣaṇāpattiriti	saMbanDa-viDayA-eva kAla-boDa-upapatteH-mama-api na lakzaNa-ApattiH-iti
   pūrvapakṣiṇo lakṣaṇāparihārāśayaḥ saṃbandhāśrayaṇe cetyanena sūcitaḥ /	pUrva-pakziNaH lakzaNa-aparihAra-ASayaH saMbanDa-ASrayaNe ca-iti-anena sUcitaH /
   yāvacchabdārthasya vidheyatve ekapadopādānāt viśiṣṭaprayogavidhānādvā	yAvat-Sabda-arTasya viDeya-tve eka-pada-upAdAnAt viSizwa-prayoga-viDAnAt-vA
   vākyabhedānāpattāvapi gauravāpattirlāghavādityanena sūcitā /	vAkya-BedAn-ApattO=-api gOrava-ApattiH-lAGavAt-iti-anena sUcitA /
   saṃsargavidhayā bhāne gauravam /	saMsarga-viDayA BAne gOravam /
   padārthavidhayā bhāne lakṣaṇācetyubhayaṃ nimittatvamevetyevakāreṇa	padArTa-viDayA BAne lakzaNAca-iti-uBayam nimitta-tvam-eva-iti-evakAreNa
   vyāvartyaṃ sūcitam //	vyAvartyam sUcitam //
   nyāyalamyatvāditi //	nyAya-lamya-tvAt-iti //
   prāṇakriyārūpāṇāṃ jīvanānāṃ bhedānnimittāvṛttyupapatteḥ	prANa-kriyA-rUpANAm jIvanAnAm BedAt-nimitta-AvRtti-upapatteH
   jīvanagatasāmastyasya naimittikasaṃbandhitvena prāptatvādanuvāda ityarthaḥ	jIvana-gata-sAmastyasya nEmittika-saMbanDi-tvena prApta-tvAt-anuvAdaH iti-arTaH
   (jīvane nimitte viniyogāntaravidhānamevātretyādinirūpaṇam) ataeva ------	(jIvane nimitte viniyoga-antara-viDAnam-eva-atra-ityAdi-nirUpaNam) ataeva ------
   yatra vidhiśravaṇenānuṣṭhānabodhastatra anuṣṭhāpakarūpanimittāpekṣayā	yatra viDi-SravaNena-anuzWAna-boDaH-tatra anuzWApaka-rUpa-nimitta-apekzayA
   nimittatvarūpasaṃbandhāśrayaṇam /	nimitta-tva-rUpa-saMbanDa-ASrayaNam /
   yatratu vartamānāpadeśena tacchravaṇam yathā yāvaddohamityatra	yatratu vartamAna-apadeSena tad-SravaNam yaTA yAvat-doham-iti-atra
   tatrānuṣṭhānasyaivābodhanena nānuṣṭhāpakatvarūpatadapekṣayā	tatra-anuzWAnasya-eva-aboDanena na-anuzWApakatva-rUpa-tad-apekzayA
   dhātvarthāntarasaṃbandhaḥ, kintu svāvacchinnakālakatvameva sa iti	DAtvarTa-antara-saMbanDaH, kintu sva-avacCinna-kAlaka-tvam-eva saH iti
   vaiṣamyam /	vEzamyam /
   taduktaṃ vārtike --------- "yuktamatra kālagrahaṇaṃ vartamānāpadeśo hyayam	tat-uktam vArtike -------- "yuktam-atra kAla-grahaNam vartamAna-apadeSaH hi-ayam
   nātra kācinnimittāpekṣā /	na-atra kAcid-nimitta-apekzA /
   tena śrutivṛtte, dohanamatikramya kālo gṛhyate /	tena Sruti-vRtte, dohanam-atikramya kAlaH gRhyate /
   yaditvihāpi yāvaddohaḥ svapyādāsītaveti vidhīyeta, tataḥ kena vā dohasya	yat-itu-iha-api yAvat-dohaH su-apyAt-AsItavA-iti viDIyeta, tatas kena vA dohasya
   nimittatvaṃ vāryate" iti /	nimitta-tvam vAryate" iti /
   ato jīvanasya nimittatvāt nimittasyānuṣṭhāpakatve 'pi prayogākṣepakatve	atas jIvanasya nimitta-tvAt nimittasya-anuzWApaka-tve api prayoga-Akzepaka-tve
   pramāṇābhāvāt svataḥsiddhaprayogānāmevaiṣāṃ nimittasaṃbandhena	pramANa-aBAvAt svatas-sidDa-prayogAnAm-eva-ezAm nimitta-saMbanDena
   vividiṣāyāmiva viniyogāntaramevedamiti na vyāpakaprayogānta eva svargādi	vividizAyAm-iva viniyoga-antaram-eva-idam-iti na vyApaka-prayoga-antaH eva svarga-Adi
   phalam /	Palam /
   paurṇamāsīpaurvāhṇādikālaśāstrāntaraikavākyatayāca	pOrNamAsI-pOrvAhNa-Adi-kAla-SAstra-antara-eka-vAkya-tayA-ca
   paurvāhṇikakālāvacchinnapaurṇamāsyavacchinna jīvanasya nimittatvānna	pOrvAhNika-kAla-avacCinna-pOrNamAsI-avacCinna jIvanasya nimitta-tvAt-na
   tithyantarasya jīvane nimittatvasya na vaikasyāmeva paurṇamāsyāṃ	tiTi-antarasya jIvane nimitta-tvasya na vA-ekasyAm-eva pOrNamAsyAm
   tadavacchinnajīvanarūpanimittabhedādāvṛttyāpattervā prasaṅgaḥ /	tad-avacCinna-jIvana-rUpa-nimitta-BedAt-AvRtti-ApatteH-vA prasaFgaH /
   paurvāhṇikakālāvacchinnapaurṇamāsyāmeva	pOrvAhNika-kAla-avacCinna-pOrNamAsyAm-eva
   pratikṣaṇañjīvanabhedamādāyāvṛttyāpādanaṃ tvaśakyatvādeva na saṃbhavatīti	pratikzaNaQjIvana-Bedam-AdAya-AvRtti-A-apAdanam tu-aSakya-tvAt-eva na saMBavati-iti
   bhāvaḥ //	BAvaH //
   (nimittatvanirvacanam) nimittatvañca nānuṣṭhāpakatvamātrarūpaṃ	(nimitta-tva-nirvacanam) nimitta-tvaQca na-anuzWApakatva-mAtra-rUpam
   kāmanādivat, tathātve kāmaśāstreṇaiva tādṛśānuṣṭhānasiddhau	kAmanA-Adivat, taTA-tve kAmaSAstreNa-eva tAdRSa-anuzWAna-sidDO
   etadvacanavaiyarthyāpatteḥ, yāvacchabdānuvādānupapatteśca, ato	etad-vacana-vEyarTya-ApatteH, yAvat-Sabda-anuvAda-anupapatteH-ca, atas-
   niyatānuṣṭhāpakatvasyākṣepāttadghaṭitaṃ nimittasvarūpamāha -----------	niyata-anuzWApaka-tvasya-AkzepAt-tat-Gawitam nimitta-svarUpam-Aha -----------
   nimittatvaṃ ceti //	nimitta-tvam ca-iti //
   (nimittasamabhivyāhṛtavidherakaraṇe pratyavāyabodhakatvam) niyatatvasyaca	(nimitta-samaBivyAhRta-viDera-karaNe pratyavAya-boDaka-tvam) niyata-tvasya-ca
   buddhipūrvakāriṇā puruṣeṇa svato 'saṃpādyamānatvāt nimittasamabhivyāhṛto	budDi-pUrva-kAriNA puruzeNa svatas asaMpAdyamAna-tvAt nimitta-samaBivyAhRtaH-
