   aṣṭamaḥ paricchedaḥ	azwamaH paricCedaH
        svasamarpaketi---svasya guṇasya samarpako bodhako yaḥ	sva-samarpaka-iti---svasya guNasya samarpakaH boDakaH yaH
   padasamūhastasya kāvyavyapadeśasyaupayikaṃ yadānuguṇyaṃ svāśrayiṇā rasena	pada-samUhaH-tasya kAvya-vyapadeSasya-Opayikam yadA-anuguNyam sva-ASrayiNA rasena
   saha kāvye sthitirūpaṃ tadbhāja ityarthaḥ /	saha kAvye sTiti-rUpam tad-BAjaH iti-arTaH /
        nīrasasya kāvyaśabdavācyatvābhāvāt kintu tatra lākṣaṇikameva	nIrasasya kAvya-Sabda-vAcya-tva-aBAvAt kintu tatra lAkzaNikam-eva
   kāvyapadamityarthaḥ /	kAvya-padam-iti-arTaH /
        yadyapi varṇaireva guṇā vyaḍajyante na padairiti padasamūhasya	yadi-api varNEH-eva guNAH vyaxajyante na padEH-iti pada-samUhasya
   guṇasamarpakatā nāsti tathāpi padasamūhaghaṭakavarṇaistatsamarpaṇāt ;	guNa-samarpaka-tA na-asti taTA-api pada-samUha-Gawaka-varNEH-tad-samarpaNAt ;
   padasamūhasyāpi tatsamarpakatvaṃ yuktam /	pada-samUhasya-api tad-samarpaka-tvam yuktam /
        ānuguṇyapradharśanena guṇapadārtho vivṛtaḥ /	AnuguNya-praDarSanena guNa-padArTaH vivRtaH /
        rasamātradharmatvaṃ darśitamiti /	rasa-mAtra-Darma-tvam darSitam-iti /
        śauryyadṛṣṭāntena dariśatamityarthaḥ /	SOryya-dRzwAntena dari-Satam-iti-arTaH /
        mātrapadāt varṇadharmatvavyavacchedaḥ /	mAtra-padAt varNa-Darma-tva-vyavacCedaH /
        Locanā:	LocanA:
        (lo, ā) yathā khalvityato 'nantaraṃ loke iti śeṣaḥ /	(lo, A) yaTA Kalu-iti-atas anantaram loke iti SezaH /
        svasyātmano mādhuryyādereva samarpakaḥ arthāt sahṛdayahṛdayeṣu	svasya-AtmanaH mADuryi-a-AdeH-eva samarpakaH arTAt sahRdaya-hRdayezu
   niveśayitā yaḥ padasamudāyaḥ yadanuguṇatvamiti; yadyapi mādhuryyādīnāṃ	niveSayitA yaH pada-samudAyaH yat-anuguNa-tvam-iti; yadi-api mADuryya-AdInAm
   rasasyātmasvarūpaviśeṣātmakatvāt utkarṣahetutvaṃ nāsti, tathāpi	rasasya-Atma-svarUpa-viSeza-Atmaka-tvAt utkarza-hetu-tvam nAsti, taTA-api
   padasandarbhasya tanmukhaprekṣitayaiva tathāvidhavyañjakatvaucityānusāreṇa	pada-sandarBasya tad-muKa-prekzitayA-eva taTAviDa-vyaQjaka-tva-Ocitya-anusAreNa
   "mūdrdhni vargāntyagāḥ sparśā ityādyuktaprakārakavinirmāṇāt	"mUdrDni varga-antya-gAH sparSAH iti-Adi-ukta-prakAraka-vi-nirmANAt-
   tatkāraṇakatvam /	tad-kAraNaka-tvam /
        tena padasandarbheṇanukūlyattasya rasotkarṣakatvaṃ mādhuryyādiguṇeṣu	tena pada-sandarBeNa-nukUlyattasya rasa-utkarzaka-tvam mADuryya-Adi-guNezu
   upacaryyata iti darśitaṃ prathamaparicchede /	upacaryyate iti darSitam praTama-paricCede /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   mādhuryamojo 'tha prasāda iti te tridhā // VisSd_8.1 //	mADuryam-ojaH aTa prasAdaH iti te triDA // VisSd-_8.1 //
   Locanā:	LocanA:
   (lo, i) tridhā prācīnoktasya pratyekaṃ daśaprakārasya nirākariṣyamāṇatvāt	(lo, i) triDA prAcIna-uktasya pratyekam daSa-prakArasya nirAkarizyamANa-tvAt-
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   te guṇāḥ /	te guNAH /
   tatra---	tatra---
   cittadravībhāvamayo ṅlādo mādhuryamucyate /	citta-dravIBAva-mayaH FlAdaH mADuryam-ucyate /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ga) mādhuryyalakṣaṇamāha---cittadravīti--mayaṭpratyayo 'tra	(vi, ga) mADuryya-lakzaNa-mAha---citta-dravIti---mayaw-pratyayaH atra
   svārthe āhlāda ityatra āhlādaviśeṣavṛttiḥ /	sva-arTe AhlAdaH iti-atra AhlAda-viSeza-vRttiH /
        sa ca āhlādaviśeṣe ratyādijñānānandajātaḥ svādanākhyavyāpāragrahyo	sa ca AhlAda-viSeze rati-Adi-jQAna-Ananda-jAtaH svAdana-AKya-vyApAra-grahyaH-
   rasasvarūpaḥ tadvṛttiḥ na tu tādṛśāhlāda eva mādhuryyaṃ, tadā tasya	rasa-svarUpaH tad-vRttiH na tu tAdRSa-AhlAdaH eva mADuryyan, tadA tasya
   rasadharmatvānupapatteḥ tathā ca cittadravībhāvasvarūpāhlādavṛttiḥ	rasa-Darma-tva-anupapatteH taTA ca citta-dravIBAva-svarUpa-AhlAda-vRttiH
   tādṛśāhlādatāvacchedako dharmo mādhuryyamityarthaḥ /	tAdRSa-AhlAda-tAvacCedakaH DarmaH mADuryyam-iti-arTaH /
        Locanā:	LocanA:
        (lo, ī) hlādo hlādasvarūpaḥ tasya tadbhinnatvasyoktatvāt /	(lo, I) hlAdaH hlAda-svarUpaH tasya tad-Binna-tvasya-ukta-tvAt /
        iha cāsvādasya ānandaparaparyyāyatvena svādasādhāraṇatvāt	iha ca-AsvAdasya Ananda-para-paryyAya-tvena svAdasADAraNa-tvAt-
   cittadravībhāvamaya ityanenāvyāptiparihāraḥ /	citta-dravIBAva-mayaH iti-anena-avyApti-parihAraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yattu--kenaciduktam--"mādhuryaṃ drutikāraṇam" iti tanna,	yat-tu--kenacid-uktam---"-mADuryam druti-kAraNam" iti tat-na,
   dravībhāvasyāsvādasvarūpāhlādābhinnatvena kāryatvābhāvāt /	dravIBAvasya-AsvAda-svarUpa-AhlAda-aBinna-tvena kAryatva-aBAvAt /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, gha) kāvyaprakāśakṛduktaṃ dūṣayitumāha---yattviti /	(vi, Ga) kAvya-prakASa-kRt-uktam dUzayitum-Aha---yat-tu-iti /
        āhlādakatvaṃ mādhuryyaṃ śṛṅgāre drutikāraṇamiti tallakṣaṇam /	AhlAdaka-tvam mADuryyam SRFgAre druti-kAraNam-iti tad-lakzaNam /
        sa ca rasasvarūpāhlādajanakatāvacchedako ratyādiniṣṭho dharma	sa ca rasa-svarUpa-AhlAda-janaka-tAvacSedakaH rati-Adi-nizWaH Darma
   ityarthaḥ /	iti-arTaH /
        ratyādereva rasatāprāptyā tasya rasavṛttitvamapi; sa eva dharmo	rati-AdeH-eva rasa-tA-prAptyA tasya rasa-vRtti-tvam-api; saH eva DarmaH-
   manaso drutikāraṇamityarthaḥ /	manasaH druti-kAraNam-iti-arTaH /
        taddaṣūyati--tanneti /	tad-dazU-yati--tannA-iti /
        dravībhāvasyeti---svena svāśrayājananādibhāvaḥ /	dravIBAvasya-iti---svena sva-ASraya-ajanana-Adi-BAvaH /
        etacca dravībhāvāhlādayorabhedaṃ svayamabhyupetya dūṣitaṃ ca /	etat-ca dravIBAva-AhlAdayoH-aBedam svayam-aByupetya dUzitam ca /
        tanmate tu dravībhāvaścittavṛttirāhlāda ātmavṛttirityanayorabheda eva	tad-mate tu dravIBAvaH-citta-vRttiH-AhlAdaH Atma-vRttiH-iti-anayoH-aBedaH eva
   nāsti /	na-asti /
        kintu āhlādasthena mādhuryyeṇa cittasya dravībhāvo janyata eva	kintu AhlAda-sTena mADuryyeNa cittasya dravIBAvaH janyate eva
   rāgamādhuryyeṇaiveti	rAga-mADuryyeNa-eva-iti
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   dravībhāvaśca	dravIBAvaH-ca
   svābhāvikānāviṣṭatvātmakakāṭhinyamanyukrodhādikṛtadīptatvavismayahāsādyupahitavikṣepaparityāgena	svABAvikAnO=-izwa-tva-Atmaka-kAWinya-manyu-kroDa-Adi-kRta-dIpta-tva-vismaya-hAsa-Adi-upahita-vikzepa-parityAgena
   ratyādyākā rānuviddhānandodvodhenasahṛdayacittārdraprāyatvam /	rati-AdyAkAH rAnu-vidDa-Ananda-udvoDena-sahRdaya-citta-Ardra-prAya-tvam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṅa) āsvādarūpāhlādābhinnatvena uktaṃ dravībhāvaṃ	(vi, Fa) AsvAda-rUpa-AhlAda-aBinna-tvena uktam dravIBAvam
   darśayati---dravībhāvaśceti /	darSayati----dravIBAvaH-ca-iti /
        cittasyāviṣṭatvameva hi dravībhāvaḥ /	cittasya-Avizwa-tvam-eva hi dravIBAvaH /
        anāviṣṭatā tu tasya svābhāvikī tadātmakaṃ yatkāṭhinyaṃ tajjanyau yau	anAvizwatA tu tasya svABAvikI tad-Atmakam yat-kAWinyam tad-janyO yO
   śatrumāraṇotsāharūpamanyukrodhau tadādikṛtvā ye	Satru-mAraNa-utsAha-rUpa-manyu-kroDO tad-Adi-kRtvA ye
   uṣṇaprāyatvarūpadīptatvavismayahāsāstadādyupahito yaścittasya	uzNa-prAya-tva-rUpa-dIpta-tva-vismaya-hAsAH-tad-Adi-upahitaH yaH-cittasya
   vikṣepaścāñcalyaṃ tatparityāgena arthāt cittasyāviṣṭatvena yo	vikzepaH-cAQcalyam tad-parityAgena arTAt cittasya-Avizwa-tvena yaH-
   ratyādyākārānuviddho ratyādiviṣayapāraṇimeva jñānarūpānandastaduddhodhena	rati-Adi-AkAra-anuvidDaH rati-Adi-vizaya-pAraNim-eva jQAna-rUpa-AnandaH-tat-udDoDena
   sahṛdayacittasyārdraprāyatvaṃ dravībhāva ityarthaḥ /	sahRdaya-cittasya-Ardra-prAya-tvam dravIBAvaH iti-arTaH /
        etatsiddhāntastu āhlādasya manovṛttitvasvīkāre eva	etat-sidDAntaH-tu AhlAdasya manaH-vRtti-tva-svIkAre eva
   sambhavatītyavadheyam /	samBavati-iti-avaDeyam /
        anyathā drutyāhlādayorabhedoktyanupapatteḥ /	anyaTA drutyAhlAdayoH-aBeda-ukti-anupapatteH /
        ratyādyākāretyatra ādipadāt mādhuryyāśrayayoḥ karuṇaśāntayoḥ	rati-Adi-AkAra-iti-atra AdipadAt mADuryya-ASrayayoH karuNa-SAntayoH
   sthāyibhāvasyāpi parigrahaḥ /	sTAyi-BAvasya-api parigrahaH /
        evaṃ ca ratyādijñānānandajanyāhlādaviśeṣa eva rasaḥ /	evam ca rati-Adi-jQAna-Ananda-janyA-hlAda-viSezaH eva rasaH /
        sa eva svādanākhyavyāpāragamyaḥ prāgukto rasa ityuktaṃ,	saH eva svAdana-AKya-vyApAra-gamyaH prAk-uktaH rasaH iti-uktaM,
   tadvṛttidharmaviśeṣo mādhuryyamiti siddhāntasiddhaḥ /	tad-vRtti-Darma-viSezaH mADuryyam-iti sidDAnta-sidDaH /
        Locanā:	LocanA:
        (lo, u) svābhāviketi---svābhāvikaṃ sahajam anāviṣṭatvamanāveśor'thāt	(lo, u) svABAvika-iti----svABAvikam sahajam anAvizwa-tvam-anAveSor-aTAt-
   cittasya eva tatsvarūpaṃ kāṭhinyaṃ, tathā vīrādāviva manyukodhādijanyaṃ	cittasya eva tad-svarUpam kAWinyan, taTA vIra-AdO=-iva manyu-koDa-Adi-janyam
   yaddīptatvam, evaṃ adbhutādāviva vismayahāsayukto yo vikṣepasteṣāṃ	yat-dIpta-tvam, evam adButa-AdO=-iva vismaya-hAsa-yuktaH yaH vikzepaH-tezAm
   parityāgena parihāreṇa /	parityAgena parihAreNa /
        etasya mādhuryākhyaguṇasya /	etasya mADurya-AKya-guNasya /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   tacca---	tat-ca---
   saṃbhoge karuṇo vipralambhe śānte 'dhikaṃ kramāt // VisSd_8.2 //	saMBoge karuNaH vipralamBe SAnte aDikam kramAt // VisSd-_8.2 //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ca) tacceti---tacca mādhuryyamityarthaḥ /	(vi, ca) tat-ca-iti---tat-ca mADuryyam-iti-arTaH /
        kramāttadādhikyaṃ sambhogādau kramaśaścittadrutyādhikyāt /	kramAt-tad-ADikyam samBoga-AdO kramaSas-citta-druti-ADikyAt /
        Locanā:	LocanA:
        (lo, ū) śānte 'dhikamiti /	(lo, U) SAnte aDikam-iti /
        tasya sahajānandasundaratayā mādhuryyaṃ prāyeṇeti prakṛṣṭameva /	tasya sahaja-Ananda-sundara-tayA mADuryyam prAyeNa-iti prakRzwam-eva /
        kvacittu viṣayajugupsādyanugame bhedaḥ /	kvacid-tu viza-yajugupsA-Adi-anugame BedaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   sambhogādiśabdā upalakṣaṇāni /	samBoga-Adi-SabdAH upalakzaNAni /
   tena sambhogābhāsādiṣvapyetasya sthitirjñeyā /	tena samBoga-ABAsa-Adizu-api-etasya sTitiH-jQeyA /
   mūrdhni vargāntyavarṇona yuktāṣṭaṭhaḍaḍhānvinā /	mUrDni varga-antya-varNona yukta-azwaWa-xa-XA-anvinA /
   raṇau ladhū ca tadvyaktau varṇāḥ kāraṇatāṃ gatāḥ // VisSd_8.3 //	raNO laDU ca tad-vyaktO varNAH kAraNa-tAm gatAH // VisSd-_8.3 //
   avṛttiralpavṛttirvā madhurā racanā tathā /	avRttiH-alpa-vRttiH-vA maDurA racanA taTA /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, cha) tadvyañjakān varṇānāha---mūdrdhniti /	(vi, Ca) tad-vyaQjakAn varNAn-Aha---mUdrDniti /
        vargāntyavarṇena pañcamena yuktā ityanvayaḥ /	varga-antya-varNena paQcamena yuktAH iti-anvayaH /
        tatraiva ṭaṭhaḍaḍhān paryyudasyati /	tatra-eva waWaxaXAn paryyudasyati /
        takārastu tanmūdrdhni aparyyudastaḥ /	takAraH-tu tad-mUdrDni aparyyudastaH /
        tadvyaktau mādhuryyasya vyañjane kāraṇatāmityanvayaḥ /	tad-vyaktO mADuryyasya vyaQjane kAraNa-tAm-iti-anvayaH /
        avṛttirasamāsaḥ /	avRttiH-asamAsaH /
        racanā sandhiḥ tasya ca tadutpannavarṇamādhuryyavaśādeva	racanA sanDiH tasya ca tad-utpanna-varNa-mADuryya-vaSAt-eva
   mādhuryyavarṇatvena prāptāvapi sandhau api tādṛśā varṇaḥ na ūhādyā iti	mADuryya-varNa-tvena prAptO=-api sanDO api tAdRSAH varNaH naH UhA-AdyAH iti
   kavyupadeśārthaṃ pṛthaguktam /	kavi-upadeSa-arTam pRTak-uktam /
        Locanā:	LocanA:
        (lo, ṛ) mūdrdhni iti vargā kādayo māvasānāḥ pañca pañca bhūtvā	(lo, R) mUdrDni iti vargA ka-AdayaH mA-avasAnAH paQca paQca BUtvA
   pañcavārgāḥ teṣāmantyāḥ ṅañaṇanamāḥ tairmūdrdhni sthitairyuktā arthāt	paQca-vArgAH tezAm-antyAH FaQaNa-namAH tEH-mUdrDni sTitEH-yuktA arTAt-
   nijavargoyā eva /	nija-vargoyAH eva /
        ṭa ṭha ḍa ḍhāḥ na tu antimavarṇena yuktāḥ na ca svarūpāvāsthitā api /	wa Wa xaH XAH na tu antima-varNena yuktAH na ca sva-rUpO=-AsTitAH api /
        raṇau laghuhrasvāntaritau, tasya mādhuryyasya vyaktau, evamasamāsā	raNO laGu-hrasva-antaritO, tasya mADuryyasya vyaktO, evam-asamAsA
   mandasamāsāśca /	manda-samAsAH-ca /
        madhurā padāntarayoge mādhuryyavatī /	maDurA pada-antara-yoge mADuryyavatI /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---	yaTA---
   "anaṅgamaṅgalabhuvastadapāṅgasya bhaṅgayaḥ /	"anaFga-maFgala-BuvaH-tad-apAFgasya BaFgayaH /
   janayanti muhuryūnāmantaḥ santāpasantatim" //	janayanti muhur-yUnAm-antar santApa-santatim" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ja) aneṅgetyādi udāharaṇe sandhyutpannatādṛśavarṇau,	(vi, ja) aneFga-ityAdi udAharaNe sanDi-utpanna-tA-dRSa-varNO,
   santāpasantatimityatra upasargadhātvoḥ sandhau dvāveva /	santApa-santatim-iti-atra upasarga-DAtvoH sanDO dvO=-eva /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā vā mama---	yaTA vA mama---
   "latākuñjaṃ guñjan madavadalipuñjaṃ capalayan samāliṅgannaṅgaṃ	"latA-kuQjam guQjan madavat-ali-puQjam capalayan samAliFgan=-aFgam
   drutataramanaṅgaṃ prabalayan /	drutataram-anaFgam prabalayan /
   marunmandaṃ mandaṃ dalitamaravindaṃ taralayan rajovṛndaṃ vindan kirati	marut-mandam mandam dalitam-aravindam taralayan rajaH-vRndam vindan kirati
   makarandaṃ diśi diśi" //	makarandam diSi diSi" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, jha) ato bahūn tādṛśān varṇān darśayitumāha---yathā veti /	(vi, Ja) atas bahUn tAdRSAn varNAn darSayitum-Aha---yaTA vA-iti /
        marut diśi diśi makarandaṃ kirati, kīdṛśaḥ, guñjatāṃ madavatāmalīnāṃ	marut diSi diSi makarandam kirati, kIdRSaH, guQjatAm mad-avatA-malInAm
   puñjo yatra tādṛśaṃ latākuñjaṃ mandaṃ mandaṃ capalayan /	puQjaH yatra tAdRSam latA-kuQjam mandam mandam capalayan /
        aṅgam arthāt nṛṇāṃ samāliṅgan /	aFgam arTAt nRNAm samAliFgan /
        anaṅgaṃ ca drutataraṃ pravalayan prakṛṣṭaṃ balavantaṃ kurvan /	anaFgam ca drutataram pravalayan prakRzwam balavantam kurvan /
        svenaiva dalitaṃ vikāsitamaravindaṃ taralayan /	svena-eva dalitam vikAsitam-aravindam taralayan /
        rajovṛndam arthāt vikasitāravindānāṃ parāgasamūhaṃ vindan labhamānaḥ	rajaH-vRndam arTAt vikasita-aravindAnAm parAga-samUham vindan laBamAnaH
   (vidḷ lābhe ) atra sandhāvapi bahavo varṇā uktarūpāḥ /	(vid? lABe ) atra sanDO=-api bahavaH varNAH ukta-rUpAH /
        Locanā:	LocanA:
        (lo,ṛ) latākuñjamityādau vidhānamātravarṇane 'pi śṛṅgāraḥ prakāraṇāt	(lo,R) latA-kuQjam-iti-AdO viDAna-mAtra-varNane api SRFgAraH prakAraNAt-
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ojaścittasya vistārarūpaṃ dīptatvamucyate // VisSd_8.4 //	ojaH-cittasya vistAra-rUpam dIpta-tvam-ucyate // VisSd-_8.4 //
   vīrabībhatsaraudreṣu krameṇādhikyamasya tu /	vIra-bIBatsa-rOdrezu krameNa-ADikyam-asya tu /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ña) ojolakṣaṇamāha---ojaścittasyeti /	(vi, Qa) ojaH-lakzaNam-Aha---ojaH-cittasya-iti /
        atrāpi dīptatvajanakamityevārthaḥ /	atra-api dIpta-tva-janakam-iti-eva-arTaH /
        āyurghṛtamitivat, tathā ca rasavṛttinā ojasā cittasya vistārarūpaṃ	AyuH-GRtam-itivat, taTA ca rasa-vRttinA ojasA cittasya vistAra-rUpam
   dīptatvaṃ janya ityarthaḥ /	dIpta-tvam janyaH iti-arTaH /
        atra eva cittasya vistārarūpadīptatvajanakamoja iti	atra eva cittasya vistAra-rUpa-dIpta-tva-janakam-ojaH iti
   kāvyaprakāśakṛtāpyuktam /	kAvya-prakASa-kRta-api-uktam /
        vistārastu cittasya uṣṇaprāyatvakāraka ātmasaṃyogaviśeṣaḥ /	vistAraH-tu cittasya uzNa-prAya-tva-kArakaH Atma-saMyoga-viSezaH /
        yathāśrute tu cittavṛtteḥ dīptatvasya rasavṛttitvānupapatteḥ /	yaTA-aSrute tu citta-vRtteH dIpta-tvasya rasa-vRtti-tva-anupapatteH /
        krameṇādhikyamiti dīptatvarūpaphalādhikyād ādhikyam /	krameNa-ADikyam-iti dIpta-tva-rUpa-Pala-ADikyAt ADikyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   asyaujasaḥ /	asya-ojasaH /
   atrāpi vīrādiśabdā upalakṣaṇāni /	atra-api vIra-Adi-SabdAH upalakzaNAni /
   tena vīrābhāsādāvapyasyāvasthitiḥ /	tena vIra-ABAsa-AdO=-api-asya-avasTitiH /
   Locanā:	LocanA:
   (lo, ṝ) iha cānuktamapi aucityādeva /	(lo, L) iha ca-anuktam-api OcityAt-eva /
   hāsye vikāśadharmakatvāt ojaśca prāyaḥ śṛṅgāraniṣṭhatayā ca	hAsye vikASa-Darmaka-tvAt ojaH-ca prAyas SRFgAra-nizWatayA ca
   mādhuryasyotkṛṣṭatvam /	mADuryasya-utkRzwa-tvam /
   bhayānake cittavṛttervikāśābhāvāt yadyapi mādhuryaṃ, tathāpi	BayAnake citta-vRtteH-vikASa-aBAvAt yadi-api mADuryan, taTA-api
   vibhāvaucityādojaḥ samāveśaḥ /	viBAvOcityAt-ojaH samAveSaH /
   adbhute śṛṅgārigate dvayoḥ sāmyam /	adBute SRFgAri-gate dvayoH sAmyam /
   atra prakṛṣṭamojaḥ /	atra prakRzwam-ojaH /
   yadyapi bībhatse prakṛṣṭatamamojastathāpi mādhuryamaprakṛṣṭataram /	yadi-api bIBatse prakRzwatamam-ojaH-taTA-api mADuryam-aprakRzwataram /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   vargasyādyatṛtīyābhāyāṃ yuktau varṇau tadantimau // VisSd_8.5 //	vargasya-Adya-tRtIya-ABAyAm yuktO varNO tad-antimO // VisSd-_8.5 //
   uparyadho dvayorvā sarephau ṭaṭhaḍaḍhaiḥ saha /	upari-aDas dvayoH-vA sarePO waWa-xaXEH saha /
   śakāraśca ṣakāraśra tasya vyañjakatāṃ gatāḥ // VisSd_8.6 //	SakAraH-ca zakAraSra tasya vyaQjaka-tAm gatAH // VisSd-_8.6 //
   tathā samāso bahulo ghaṭanauddhatyaśālinī /	taTA samAsaH bahulaH GawanA-OdDatya-SAlinI /
   Locanā:	LocanA:
   (lo, ḷ) ayamarthaḥ--kacaṭatapaiḥ khachaṭhathaphāḥ, gajaḍadabaiḥ	(lo, ?) ayam-arTaH--ka-cawa-tapEH Ka-CaWaTa-PAH, gaja-xadabEH
   ghajhaḍhadhabhāḥ yuktāḥ /	GaJaXa-DaBAH yuktAH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---"cañcadbhuja--" ityādi /	yaTA---"caQcat-Buja--" ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṭa) tadvyañjakānāha---vargasyeti /	(vi, wa) tad-vyaQjaka-AnAha---vargasya-iti /
        tadantimau iti /	tad-antimO iti /
        ādyatṛtīyayorantimau dvitīyacaturthau ityarthaḥ /	Adya-tRtIyayoH-antimO dvitIya-caturTO iti-arTaH /
        tathā cādyena yuktaḥ dvitīyaḥ /	taTA ca-Adyena yuktaH dvitIyaH /
        tṛtīyena yuktaścaturthau varṇa ityarthaḥ /	tRtIyena yuktaH-caturTO varNaH iti-arTaH /
        ādyatṛtīyayostadantimayośca naikavargoyatvaniyamaḥ /	Adya-tRtIyayoH-tad-antimayoH-ca na-eka-vargoyatva-niyamaH /
        kintu bhinnavargoyayorapi tathātvaṃ bodhyam /	kintu Binna-vargoyayoH-api taTAtvam boDyam /
        tena kakhkha iva keccachāpi gaghgha iva ghecchāpi tathā bodhyā	tena kaKKaH iva kecca-CA-api gaGhaH iva GecCA-api taTA boDyA
   kaṭutvasāmyāt /	kawu-tva-sAmyAt /
        atra cānukte 'pi tulyayoryogo 'pi kāvyaprakāśakṛdukto grāhyaḥ	atra ca-anukte api tulyayoH-yogaH api kAvya-prakASa-kRt-uktaH grAhyaH
   kaṭutvāviśeṣāt /	kawu-tva-aviSezAt /
        tena kka gga jja ityādayo 'pi bodhyāḥ /	tena kkaH gga jjaH iti-AdayaH api boDyAH /
        uparyadha ityādi /	upari-aDas ityAdi /
        tarka ityādau upari /	tarkaH ityAdO upari /
        takracakrādau adhaḥ ārdrakam ityādau dvayoḥ rephau bodhyau /	takra-cakra-AdO aDas Ardrakam iti-AdO dvayoH rePO boDyO /
