   1. brahmakāṇḍam	1. brahma-kANxam
   yuktā praṇavarūpeṇa % sarvavādāvirodhinā // 1.9 //	yuktA praNava-rUpeNa % sarva-vAda-aviroDinA // 1.9 //
   vidhātus tasya lokānām $ aṅgopāṅganibandhanāḥ &	viDAtuH tasya lokAnAm $ aFga-upAFga-nibanDanAH &
   vidyābhedāḥ pratāyante % jñānasaṃskārahetavaḥ // 1.10 //	vidyA-BedAH pratAyante % jQAna-saMskAra-hetavaH // 1.10 //
   āsannaṃ brahmaṇas tasya $ tapasām uttamaṃ tapaḥ &	Asannam brahmaNaH tasya $ tapasAm uttamam tapaH &
   prathamaṃ chandasām aṅgam % āhur vyākaraṇaṃ budhāḥ // 1.11 //	praTamam CandasAm aFgam % AhuH vyAkaraNam buDAH // 1.11 //
   prāptarūpavibhāgāyā $ yo vācaḥ paramo rasaḥ &	prApta-rUpa-viBAgAyAH $ yaH vAcaH paramaH rasaH &
   yat tat puṇyatamaṃ jyotis % tasya mārgo 'yam āñjasaḥ // 1.12 //	yat tat puNyatamam jyotiH % tasya mArgaH ayam AQjasaH // 1.12 //
   arthapravṛttitattvānāṃ $ śabdā eva nibandhanam &	arTa-pravRtti-tattvAnAm $ SabdAH eva nibanDanam &
   tattvāvabodhaḥ śabdānāṃ % nāsti vyākaraṇād ṛte // 1.13 //	tattva-avaboDaH SabdAnAm % na-asti vyAkaraNAt Rte // 1.13 //
   tad dvāram apavargasya $ vāṅmalānāṃ cikitsitam &	tat dvAram apavargasya $ vAc-malAnAm cikitsitam &
   pavitraṃ sarvavidyānām % adhividyaṃ prakāśate // 1.14 //	pavitram sarva-vidyAnAm % aDividyam prakASate // 1.14 //
   yathārthajātayaḥ sarvāḥ $ śabdākṛtinibandhanāḥ &	yaTArTa-jAtayaH sarvAH $ Sabda-AkRti-nibanDanAH &
   tathaiva loke vidyānām % eṣā vidyā parāyaṇam // 1.15 //	taTA-eva loke vidyAnAm % ezA vidyA parAyaNam // 1.15 //
   idam ādyaṃ padasthānaṃ $ siddhisopānaparvaṇām &	idam Adyam pada-sTAnam $ sidDi-sopAna-parvaNAm &
   iyaṃ sā mokṣamāṇānām % ajihmā rājapaddhatiḥ // 1.16 //	iyam sA mokzamANAnAm % ajihmA rAja-padDatiH // 1.16 //
   atrātītaviparyāsaḥ $ kevalām anupaśyati &	atra-atIta-viparyAsaH $ kevalAm anupaSyati &
   chandasyaś chandasāṃ yonim % ātmā chandomayīṃ tanum // 1.17 //	CandasyaH CandasAm yonim % AtmA CandaH-mayIm tanum // 1.17 //
   pratyastamitabhedāyā $ yad vāco rūpam uttamam &	pratyasta-mita-BedAyAH $ yat vAcaH rUpam uttamam &
   yad asminn eva tamasi % jyotiḥ śuddhaṃ vivartate // 1.18 //	yat asmin eva tamasi % jyotiH SudDam vivartate // 1.18 //
   vaikṛtaṃ samatikrāntā $ mūrtivyāpāradarśanam &	vEkRtam samatikrAntA $ mUrti-vyApAra-darSanam &
   vyatītyālokatamasī % prakāśaṃ yam upāsate // 1.19 //	vyatItya-Aloka-tamasI % prakASam yam upAsate // 1.19 //
   yatra vāco nimittāni $ cihnānīvākṣarasmṛteḥ &	yatra vAcaH nimittAni $ cihnAni-iva-akzara-smRteH &
   śabdapūrveṇa yogena % bhāsante pratibimbavat // 1.20 //	Sabda-pUrveNa yogena % BAsante pratibimba-vat // 1.20 //
   atharvaṇām aṅgirasāṃ $ sāmnām ṛgyajuṣasya ca &	aTarvaNAm aFgirasAm $ sAmnAm Rc-yajuzasya ca &
   yasminn uccāvacā varṇāḥ % pṛthaksthitaparigrahāḥ // 1.21 //	yasmin uccAvacAH varNAH % pRTak-sTita-parigrahAH // 1.21 //
   yad ekaṃ prakriyābhedair $ bahudhā pravibhajyate &	yat ekam prakriyA-BedEH $ bahuDA praviBajyate &
   tad vyākaraṇam āgamya % paraṃ brahmādhigamyate // 1.22 //	tat vyAkaraNam Agamya % param brahma-aDigamyate // 1.22 //
   nityāḥ śabdārthasaṃbandhās $ tatrāmnātā maharṣibhiḥ &	nityAH Sabda-arTa-saMbanDAH $ tatra-AmnAtA mahA-RziBiH &
   sūtrāṇāṃ sānutantrāṇāṃ % bhāṣyāṇāṃ ca praṇetṛbhiḥ // 1.23 //	sUtrANAm sa-anutantrANAm % BAzyANAm ca praNetRBiH // 1.23 //
   apoddhārapadārthā ye $ ye cārthāḥ sthitalakṣaṇāḥ &	apa-udDAra-padArTAH ye $ ye ca-arTAH sTita-lakzaNAH &
   anvākhyeyāś ca ye śabdā % ye cāpi pratipādakāḥ // 1.24 //	anvAKyeyAH ca ye SabdAH % ye ca-api pratipAdakAH // 1.24 //
   kāryakāraṇabhāvena $ yogyabhāvena ca sthitāḥ &	kArya-kAraNa-BAvena $ yogya-BAvena ca sTitAH &
   dharme ye pratyaye cāṅgaṃ % saṃbandhāḥ sādhvasādhuṣu // 1.25 //	Darme ye pratyaye ca-aFgam % saMbanDAH sADu-asADuzu // 1.25 //
   te liṅgaiś ca svaśabdaiś ca $ śāstre 'sminn upavarṇitāḥ &	te liFgEH ca sva-SabdEH ca $ SAstre asmin upavarNitAH &
   smṛtyartham anugamyante % ke cid eva yathāgamam // 1.26 //	smRti-arTam anugamyante % ke cit eva yaTAgamam // 1.26 //
   śiṣṭebhya āgamāt siddhāḥ $ sādhavo dharmasādhanam &	SizweByaH AgamAt sidDAH $ sADavaH Darma-sADanam &
   arthapratyāyanābhede % viparītās tv asādhavaḥ // 1.27 //	arTa-pratyAya-na-aBede % viparItAH tu asADavaH // 1.27 //
   nityatve kṛtakatve vā $ teṣām ādir na vidyate &	nitya-tve kRtaka-tve vA $ tezAm AdiH na vidyate &
   prāṇinām iva sā caiṣā % vyavasthānityatocyate // 1.28 //	prANinAm iva sA ca-ezA % vyavasTA-aniti-atA-ucyate // 1.28 //
   nānarthikām imāṃ kaś cid $ vyavasthāṃ kartum arhati &	na-anarTikAm imAm kaH cit $ vyavasTAm kartum arhati &
   tasmān nibadhyate śiṣṭaiḥ % sādhutvaviṣayā smṛtiḥ // 1.29 //	tasmAt nibaDyate SizwEH % sADu-tva-vizayA smRtiH // 1.29 //
   na cāgamād ṛte dharmas $ tarkeṇa vyavatiṣṭhate &	na ca-AgamAt Rte DarmaH $ tarkeNa vyavatizWate &
   ṛṣīṇām api yaj jñānaṃ % tad apy āgamapūrvakam // 1.30 //	RzINAm api yat jQAnam % tat api Agama-pUrvakam // 1.30 //
   dharmasya cāvyavacchinnāḥ $ panthāno ye vyavasthitāḥ &	Darmasya ca-avyavacCinnAH $ panTAnaH ye vyavasTitAH &
   na tāṃl lokaprasiddhatvāt % kaś cit tarkeṇa bādhate // 1.31 //	na tAn loka-prasidDa-tvAt % kaH cit tarkeNa bADate // 1.31 //
   avasthādeśakālānāṃ $ bhedād bhinnāsu śaktiṣu &	avasTA-deSa-kAlAnAm $ BedAt BinnAsu Saktizu &
   bhāvānām anumānena % prasiddhir atidurlabhā // 1.32 //	BAvAnAm anumAnena % prasidDiH ati-durlaBAH // 1.32 //
   nirjñātaśakter dravyasya $ tāṃ tām arthakriyāṃ prati &	nirjQAta-SakteH dravyasya $ tAm tAm arTa-kriyAm prati &
   viśiṣṭadravyasaṃbandhe % sā śaktiḥ pratibadhyate // 1.33 //	viSizwa-dravya-saMbanDe % sA SaktiH pratibaDyate // 1.33 //
   yatnenānumito 'py arthaḥ $ kuśalair anumātṛbhiḥ &	yatnena-anumitaH api arTaH $ kuSalEH anumAtRBiH &
   abhiyuktatarair anyair % anyathaivopapādyate // 1.34 //	aBiyuktatarEH anyEH % anyaTA-eva-upapAdyate // 1.34 //
   pareṣām asamākhyeyam $ abhyāsād eva jāyate &	parezAm asamAKyeyam $ aByAsAt eva jAyate &
   maṇirūpyādivijñānaṃ % tadvidāṃ nānumānikam // 1.35 //	maNi-rUpya-Adi-vijQAnam % tad-vidAm na-anumAnikam // 1.35 //
   pratyakṣam anumānaṃ ca $ vyatikramya vyavasthitāḥ &	pratyakzam anumAnam ca $ vyatikramya vyavasTitAH &
   pitṛrakṣaḥpiśācānāṃ % karmajā eva siddhayaḥ // 1.36 //	pitR-rakzaH-piSAcAnAm % karma-jAH eva sidDayaH // 1.36 //
   āvirbhūtaprakāśānām $ anupaplutacetasām &	AvirBUta-prakASAnAm $ anupapluta-cetasAm &
   atītānāgatajñānaṃ % pratyakṣān na viśiṣyate // 1.37 //	atIta-anAgata-jQAnam % pratyakzAt na viSizyate // 1.37 //
   atīndriyān asaṃvedyān $ paśyanty ārṣeṇa cakṣuṣā &	atIndriyAn asaMvedyAn $ paSyanti ArzeNa cakzuzA &
   ye bhāvān vacanaṃ teṣāṃ % nānumānena bādhyate // 1.38 //	ye BAvAn vacanam tezAm % na-anumAnena bADyate // 1.38 //
   yo yasya svam iva jñānaṃ $ darśanaṃ nātiśaṅkate &	yaH yasya svam iva jQAnam $ darSanam na-atiSaFkate &
   thitaṃ pratyakṣapakṣe taṃ % katham anyo nivartayet // 1.39 //	Titam pratyakza-pakze tam % kaTam anyaH nivartayet // 1.39 //
   idaṃ puṇyam idaṃ pāpam $ ity etasmin padadvaye &	idam puNyam idam pApam $ iti etasmin pada-dvaye &
   ācaṇḍālamanuṣyāṇām % alpaṃ śāstraprayojanam // 1.40 //	AcaNxAla-manuzyANAm % alpam SAstra-prayojanam // 1.40 //
   caitanyam iva yaś cāyam $ avicchedena vartate &	cEtanyam iva yaH ca-ayam $ avicCedena vartate &
   āgamas tam upāsīno % hetuvādair na bādhyate // 1.41 //	AgamaH tam upAsInaH % hetuvAdEH na bADyate // 1.41 //
   hastasparśād ivāndhena $ viṣame pathi dhāvatā &	hasta-sparSAt iva-anDena $ vizame paTi DAvatA &
   anumānapradhānena % vinipāto na durlabhaḥ // 1.42 //	anumAna-praDAnena % vinipAtaH na durlaBaH // 1.42 //
   tasmād akṛtakaṃ śāstraṃ $ smṛtiṃ ca sanibandhanām &	tasmAt akRtakam SAstram $ smRtim ca sa-nibanDanAm &
   āśrityārabhyate śiṣṭaiḥ % sādhutvaviṣayā smṛtiḥ // 1.43 //	ASritya-AraByate SizwEH % sADu-tva-vizayA smRtiH // 1.43 //
   dvāv upādānaśabdeṣu $ śabdau śabdavido viduḥ &	dvO upAdAna-Sabdezu $ SabdO Sabda-vidaH viduH &
   eko nimittaṃ śabdānām % aparo 'rthe prayujyate // 1.44 //	ekaH nimittam SabdAnAm % aparaH arTe prayujyate // 1.44 //
   avibhakto vibhaktebhyo $ jāyate 'rthasya vācakaḥ &	aviBaktaH viBakteByaH $ jAyate arTasya vAcakaH &
   śabdas tatrārtharūpātmā % saṃbhedam upagacchati // 1.45 //	SabdaH tatra-arTa-rUpa-AtmA % saMBedam upagacCati // 1.45 //
   ātmabhedaṃ tayoḥ ke cid $ astīty āhuḥ purāṇagāḥ &	Atma-Bedam tayoH ke cit $ asti-iti AhuH purANa-gAH &
   buddhibhedād abhinnasya % bhedam eke pracakṣate // 1.46 //	budDi-BedAt aBinnasya % Bedam eke pracakzate // 1.46 //
   araṇisthaṃ yathā jyotiḥ $ prakāśāntarakāraṇam &	araNi-sTam yaTA jyotiH $ prakASa-antara-kAraNam &
   tadvac chabdo 'pi buddhisthaḥ % śrutīnāṃ kāraṇaṃ pṛthak // 1.47 //	tadvat SabdaH api budDi-sTaH % SrutInAm kAraNam pRTak // 1.47 //
   vitarkitaḥ purā buddhyā $ kva cid arthe niveśitaḥ &	vitarkitaH purA budDyA $ kva cit arTe niveSitaH &
   karaṇebhyo vivṛttena % dhvaninā so 'nugṛhyate // 1.48 //	karaNeByaH vivRttena % DvaninA saH anugRhyate // 1.48 //
   nādasya kramajātatvān $ na pūrvo na paraś ca saḥ &	nAdasya krama-jAta-tvAt $ na pUrvaH na paraH ca saH &
   akramaḥ kramarūpeṇa % bhedavān iva jāyate // 1.49 //	akramaH krama-rUpeNa % BedavAn iva jAyate // 1.49 //
   pratibimbaṃ yathānyatra $ sthitaṃ toyakriyāvaśāt &	pratibimbam yaTA-anyatra $ sTitam toya-kriyA-vaSAt &
   tatpravṛttim ivānveti % sa dharmaḥ sphoṭanādayoḥ // 1.50 //	tad-pravRttim iva-anveti % sa DarmaH sPowa-nAdayoH // 1.50 //
   ātmarūpaṃ yathā jñāne $ jñeyarūpaṃ ca dṛśyate &	Atma-rUpam yaTA jQAne $ jQeya-rUpam ca dRSyate &
   artharūpaṃ tathā śabde % svarūpaṃ ca prakāśate // 1.51 //	arTa-rUpam taTA Sabde % svarUpam ca prakASate // 1.51 //
   āṇḍabhāvam ivāpanno $ yaḥ kratuḥ śabdasaṃjñakaḥ &	ANxa-BAvam iva-ApannaH $ yaH kratuH Sabda-saMjQakaH &
   vṛttis tasya kriyārūpā % bhāgaśo bhajate kramam // 1.52 //	vRttiH tasya kriyA-rUpAH % BAgaSas Bajate kramam // 1.52 //
   yathaikabuddhiviṣayā $ mūrtir ākriyate paṭe &	yaTA-eka-budDi-vizayA $ mUrtiH Akriyate pawe &
   mūrtyantarasya tritayam % evaṃ śabde 'pi dṛśyate // 1.53 //	mUrti-antarasya tritayam % evam Sabde api dRSyate // 1.53 //
   yathā prayoktuḥ prāg buddhiḥ $ śabdeṣv eva pravartate &	yaTA prayoktuH prAk budDiH $ Sabdezu eva pravartate &
   vyavasāyo grahītṝṇām % evaṃ teṣv eva jāyate // 1.54 //	vyavasAyaH grahItLNAm % evam tezu eva jAyate // 1.54 //
   arthopasarjanībhūtān $ abhidheyeṣu keṣu cit &	arTa-upasarjanIBUtAn $ aBiDeyezu kezu cit &
   caritārthān parārthatvān % na lokaḥ pratipadyate // 1.55 //	caritArTAn para-arTa-tvAn % na lokaH pratipadyate // 1.55 //
   grāhyatvaṃ grāhakatvaṃ ca $ dve śaktī tejaso yathā &	grAhya-tvam grAhaka-tvam ca $ dve SaktI tejasaH yaTA &
   tathaiva sarvaśabdānām % ete pṛthag avasthite // 1.56 //	taTA-eva sarva-SabdAnAm % ete pRTak avasTite // 1.56 //
   viṣayatvam anāpannaiḥ $ śabdair nārthaḥ prakāśyate &	vizaya-tvam anApannEH $ SabdEH na-arTaH prakASyate &
   na sattayaiva te 'rthānām % agṛhītāḥ prakāśakāḥ // 1.57 //	na sat-tayA-eva te arTAnAm % agRhItAH prakASakAH // 1.57 //
   ato 'nirjñātarūpatvāt $ kim āhety abhidhīyate &	atas anirjQAta-rUpa-tvAt $ kim Aha-iti aBiDIyate &
   nendriyāṇāṃ prakāśye 'rthe % svarūpaṃ gṛhyate tathā // 1.58 //	na-indriyANAm prakASye arTe % svarUpam gRhyate taTA // 1.58 //
   bhedenāvagṛhītau dvau $ śabdadharmāv apoddhṛtau &	Bedena-avagRhItO dvO $ Sabda-DarmO apodDRtO &
   bhedakāryeṣu hetutvam % avirodhena gacchataḥ // 1.59 //	Beda-kAryezu hetu-tvam % aviroDena gacCataH // 1.59 //
   vṛddhyādayo yathā śabdāḥ $ svarūpopanibandhanāḥ &	vRdDi-AdayaH yaTA SabdAH $ svarUpa-upanibanDanAH &
   ādaicpratyāyitaiḥ śabdaiḥ % saṃbandhaṃ yānti saṃjñibhiḥ // 1.60 //	AdEcpratyAyitEH SabdEH % saMbanDam yAnti saMjQiBiH // 1.60 //
   agniśabdas tathaivāyam $ agniśabdanibandhanaḥ &	agni-SabdaH taTA-eva-ayam $ agni-Sabda-nibanDanaH &
   agniśrutyaiti saṃbandham % agniśabdābhidheyayā // 1.61 //	agniSrutyA-eti saMbanDam % agni-Sabda-aBiDeyayA // 1.61 //
   yo ya uccāryate śabdo $ niyataṃ na sa kāryabhāk &	yaH yaH uccAryate SabdaH $ niyatam na sa kArya-BAj &
   anyapratyāyane śaktir % na tasya pratibadhyate // 1.62 //	anya-pratyAyane SaktiH % na tasya pratibaDyate // 1.62 //
   uccaran paratantratvād $ guṇaḥ kāryair na yujyate &	uccaran paratantra-tvAt $ guNaH kAryEH na yujyate &
   tasmāt tadarthaiḥ kāryāṇāṃ % saṃbandhaḥ parikalpyate // 1.63 //	tasmAt tad-arTEH kAryANAm % saMbanDaH parikalpyate // 1.63 //
   sāmānyam āśritaṃ yad yad $ upamānopameyayoḥ &	sAmAnyam ASritam yat yat $ upamAna-upameyayoH &
   tasya tasyopamāneṣu % dharmo 'nyo vyatiricyate // 1.64 //	tasya tasya-upamAnezu % DarmaH anyaH vyatiricyate // 1.64 //
   guṇaḥ prakarṣahetur yaḥ $ svātantryeṇopadiśyate &	guNaH prakarza-hetuH yaH $ svAtantryeNa-upadiSyate &
   tasyāśritād guṇād eva % prakṛṣṭatvaṃ pratīyate // 1.65 //	tasya-ASritAt guNAt eva % prakRzwa-tvam pratIyate // 1.65 //
   tasyābhidheyabhāvena $ yaḥ śabdaḥ samavasthitaḥ &	tasya-aBiDeya-BAvena $ yaH SabdaH samavasTitaH &
   tasyāpy uccāraṇe rūpam % anyat tasmād vivicyate // 1.66 //	tasya-api uccAraNe rUpam % anyat tasmAt vivicyate // 1.66 //
   prāk samjñinābhisaṃbandhāt $ saṃjñā rūpapadārthikā &	prAk samjQina-aBisaMbanDAt $ saMjQA rUpa-padArTikA &
   ṣaṣṭhyāś ca prathamāyāś ca % nimittatvāya kalpate // 1.67 //	zazWyAH ca praTamAyAH ca % nimitta-tvAya kalpate // 1.67 //
   trārthavattvāt prathamā $ saṃjñāśabdād vidhīyate &	trArTavat-tvAt praTamA $ saMjQA-SabdAt viDIyate &
   asyeti vyatirekaś ca % tadarthād eva jāyate // 1.68 //	asya-iti vyatirekaH ca % tad-arTAt eva jAyate // 1.68 //
   svaṃ rūpam iti kaiś cit tu $ vyaktiḥ saṃjñopadiśyate &	svam rUpam iti kEH cit tu $ vyaktiH saMjQA-upadiSyate &
   jāteḥ kāryāṇi saṃsṛṣṭā % jātis tu pratipadyate // 1.69 //	jAteH kAryANi saMsRzwA % jAtiH tu pratipadyate // 1.69 //
   saṃjñinīṃ vyaktim icchanti $ sūtre grāhyām athāpare &	saMjQinIm vyaktim icCanti $ sUtre grAhyAm aTa-apare &
   jātipratyāyitā vyaktiḥ % pradeśeṣūpatiṣṭhate // 1.70 //	jAti-pratyAyitA vyaktiH % pradeSezu-upatizWate // 1.70 //
   kāryatve nityatāyāṃ vā $ ke cid ekatvavādinaḥ &	kAryatve nityatAyAm vA $ ke cit ekatva-vAdinaH &
   kāryatve nityatāyāṃ vā % ke cin nānātvavādinaḥ // 1.71 //	kAryatve nityatAyAm vA % ke cit nAnAtva-vAdinaH // 1.71 //
   padabhede 'pi varṇānām $ ekatvaṃ na nivartate &	pada-Bede api varNAnAm $ ekatvam na nivartate &
   vākyeṣu padam ekaṃ ca % bhinneṣv apy upalabhyate // 1.72 //	vAkyezu padam ekam ca % Binnezu api upalaByate // 1.72 //
   na varṇavyatirekeṇa $ padam anyac ca vidyate &	na varNa-vyatirekeNa $ padam anyat ca vidyate &
   vākyaṃ varṇapadābhyāṃ ca % vyatiriktaṃ na kiṃ ca na // 1.73 //	vAkyam varNa-padAByAm ca % vyatiriktam na kim ca na // 1.73 //
   pade na varṇā vidyante $ varṇeṣv avayavā na ca &	pade na varNAH vidyante $ varNezu avayavAH na ca &
   vākyāt padānām atyantaṃ % pravibhāgo na kaś ca na // 1.74 //	vAkyAt padAnAm atyantam % praviBAgaH na kaH ca na // 1.74 //
   bhinnadarśanam āśritya $ vyavahāro 'nugamyate &	Binna-darSanam ASritya $ vyavahAraH anugamyate &
   tatra yan mukhyam ekeṣāṃ % tatrānyeṣāṃ viparyayaḥ // 1.75 //	tatra yat muKyam ekezAm % tatra-anyezAm viparyayaH // 1.75 //
   sphoṭasyābhinnakālasya $ dhvanikālānupātinaḥ &	sPowasya-aBinna-kAlasya $ Dvani-kAla-anupAtinaH &
   grahaṇopādhibhedena % vṛttibhedaṃ pracakṣate // 1.76 //	grahaNa-upADi-Bedena % vRtti-Bedam pracakzate // 1.76 //
   svabhāvabhedān nityatve $ hrasvadīrghaplutādiṣu &	svaBAva-BedAt nitya-tve $ hrasva-dIrGa-pluta-Adizu &
   prākṛtasya dhvaneḥ kālaḥ % śabdasyety upacaryate // 1.77 //	prAkRtasya DvaneH kAlaH % Sabdasya-iti upacaryate // 1.77 //
   śabdasya grahaṇe hetuḥ $ prākṛto dhvanir iṣyate &	Sabdasya grahaNe hetuH $ prAkRtaH DvaniH izyate &
   sthitibhedanimittatvaṃ % vaikṛtaḥ pratipadyate // 1.78 //	sTiti-Beda-nimitta-tvam % vEkRtaH pratipadyate // 1.78 //
   śabdasyordhvam abhivyakter $ vṛttibhedaṃ tu vaikṛtāḥ &	Sabdasya-UrDvam aBivyakteH $ vRtti-Bedam tu vEkRtAH &
   dhvanayaḥ samupohante % sphoṭātmā tair na bhidyate // 1.79 //	DvanayaH samupohante % sPowa-AtmA tEH na Bidyate // 1.79 //
   indriyasyaiva saṃskāraḥ $ śabdasyaivobhayasya vā &	indriyasya-eva saMskAraH $ Sabdasya-eva-uBayasya vA &
   kriyate dhvanibhir vādās % trayo 'bhivyaktivādinām // 1.80 //	kriyate DvaniBiH vAdAH % trayaH aBivyakti-vAdinAm // 1.80 //
   indriyasyaiva saṃskāraḥ $ samādhānāñjanādibhiḥ &	indriyasya-eva saMskAraH $ samADAna-aQjana-AdiBiH &
   viṣayasya tu saṃskāras % tadgandhapratipattaye // 1.81 //	vizayasya tu saMskAraH % tad-ganDa-pratipattaye // 1.81 //
   cakṣuṣaḥ prāpyakāritve $ tejasā tu dvayor api &	cakzuzaH prApya-kAri-tve $ tejasA tu dvayoH api &
   viṣayendriyayor iṣṭaḥ % saṃskāraḥ sa kramo dhvaneḥ // 1.82 //	vizaya-indriyayoH izwaH % saMskAraH sa kramaH DvaneH // 1.82 //
   sphoṭarūpāvibhāgena $ dhvaner grahaṇam iṣyate &	sPowa-rUpa-aviBAgena $ DvaneH grahaNam izyate &
   kaiś cid dhvanir asaṃvedyaḥ % svatantro 'nyaiḥ prakalpitaḥ // 1.83 //	kEH cit DvaniH asaMvedyaH % svatantraH anyEH prakalpitaH // 1.83 //
   yathānuvākaḥ śloko vā $ soḍhatvam upagacchati &	yaTA-anuvAkaH SlokaH vA $ soXa-tvam upagacCati &
   āvṛttyā na tu sa granthaḥ % pratyāvṛtti nirūpyate // 1.84 //	AvRttyA na tu sa granTaH % pratyAvRtti nirUpyate // 1.84 //
   pratyayair anupākhyeyair $ grahaṇānuguṇais tathā &	pratyayEH anupAKyeyEH $ grahaNa-anuguNEH taTA &
   dhvaniprakāśite śabde % svarūpam avadhāryate // 1.85 //	Dvani-prakASite Sabde % svarUpam avaDAryate // 1.85 //
   nādair āhitabījāyām $ antyena dhvaninā saha &	nAdEH Ahita-bIjAyAm $ antyena DvaninA saha &
   āvṛttaparipākāyāṃ % buddhau śabdo 'vadhāryate // 1.86 //	AvRtta-paripAkAyAm % budDO SabdaH avaDAryate // 1.86 //
   asataś cāntarāle yāñ $ śabdān astīti manyate &	asataH ca-antarAle yAn $ SabdAn asti-iti manyate &
   pratipattur aśaktiḥ sā % grahaṇopāya eva saḥ // 1.87 //	pratipattuH aSaktiH sA % grahaNa-upAyaH eva saH // 1.87 //
   bhedānukāro jñānasya $ vācaś copaplavo dhruvaḥ &	Beda-anukAraH jQAnasya $ vAcaH ca-upaplavaH DruvaH &
   kramopasṛṣṭarūpā vāg % jñānaṃ jñeyavyapāśrayam // 1.88 //	krama-upasRzwa-rUpA vAc % jQAnam jQeya-vyapASrayam // 1.88 //
   [jñeyena na vinā jñānaṃ $ vyavahāre 'vatiṣṭhate &	[jQeyena na vinA jQAnam $ vyavahAre avatizWate &
   nālabdhakramayā vācā % kaś cid artho 'bhidhīyate] // 1.89 //	na-alabDa-kramayA vAcA % kaH cit arTaH aBiDIyate] // 1.89 //
   yathādyasaṃkhyāgrahaṇam $ upāyaḥ pratipattaye &	yaTA-AdyasaMKyA-grahaNam $ upAyaH pratipattaye &
   saṃkhyāntarāṇāṃ bhede 'pi % tathā śabdāntaraśrutiḥ // 1.90 //	saMKyA-antarANAm Bede api % taTA Sabda-antara-SrutiH // 1.90 //
   pratyekaṃ vyañjakā bhinnā $ varṇavākyapadeṣu ye &	pratyekam vyaQjakAH BinnA $ varNa-vAkya-padezu ye &
   teṣām atyantabhede 'pi % saṃkīrṇā iva śaktayaḥ // 1.91 //	tezAm atyanta-Bede api % saMkIrNAH iva SaktayaH // 1.91 //
   yathaiva darśanaiḥ pūrvair $ dūrāt saṃtamase 'pi vā &	yaTA-eva darSanEH pUrvEH $ dUrAt saMtamase api vA &
   anyathākṛtya viṣayam % anyathaivādhyavasyati // 1.92 //	anyaTA-AkRtya vizayam % anyaTA-eva-aDyavasyati // 1.92 //
   vyajyamāne tathā vākye $ vākyābhivyaktihetubhiḥ &	vyajyamAne taTA vAkye $ vAkya-aBivyakti-hetuBiH &
   bhāgāvagraharūpeṇa % pūrvaṃ buddhiḥ pravartate // 1.93 //	BAga-a=-agraha-rUpeNa % pUrvam budDiH pravartate // 1.93 //
   yathānupūrvīniyamo $ vikāre kṣīrabījayoḥ &	yaTA-AnupUrvI-niyamaH $ vikAre kzIra-bIjayoH &
