   Larger Prajñāpāramitā	LargeH PrajQApAramitA
   nānādṛṣṭiparyutthānasatvakleśapraśamanakuśalaiḥ	nAnA-dRzwi-paryutTAna-satva-kleSa-praSamana-kuSalEH
   samādhiśatasahasrābhinirhāraniṣkrīḍanajñānapraveśakuśalair	samADi-Sata-sahasra-aBinirhAra-nizkrIxana-jQAna-praveSa-kuSalEH-
   aparyantakalpakṣīṇaguṇavarṇasamanvāgataiḥ | tadyathā bhadrapālena ca	aparyanta-kalpa-kzINa-guNa-varNa-samanvAgatEH | tat-yaTA BadrapAlena ca
   bodhisatvena mahāsatvena | ratnākareṇa ca | ratnagarbheṇa ca |	boDisatvena mahAsatvena | ratna-AkareNa ca | ratna-garBeNa ca |
   ratnadattena ca | susārthavāhena ca | naladattena ca | guhapuptena ca |	ratna-dattena ca | su-sArTavAhena ca | naladattena ca | guha-puptena ca |
   varuṇadevena cendradevena ca | bhadrapālena ca | uttaramatinā ca |	varuNa-devena ca-indradevena ca | BadrapAlena ca | uttara-matinA ca |
   viśeṣamatinā ca | vardhamānamatinā ca | anantamatinā (LPG 2r) ca |	viSeza-matinA ca | varDamAna-matinA ca | ananta-matinA (LPu 2r) ca |
   amoghadarśinā ca | anāvaraṇamatinā ca | susaṃprasthitena ca |	amoGa-darSinA ca | anAvaraNa-matinA ca | su-saMprasTitena ca |
   suvikrāntavikrāmiṇā ca | anantavīryeṇa | nityodyuktena ca |	su-vikrAnta-vikrAmiNA ca | ananta-vIryeNa | nitya-udyuktena ca |
   nityaprayuktena ca | anikṣiptadhureṇa ca | sūryagarbheṇa ca |	nitya-prayuktena ca | anikzipta-DureNa ca | sUrya-garBeNa ca |
   anupamamatinā ca | bodhisatvena mahāsatvena | avalokiteśvareṇa ca |	anupama-matinA ca | boDisatvena mahAsatvena | avalokita-ISvareNa ca |
   mahāsthāmaprāptena ca | maṃjuśriyā ca kumārabhūtena | mārabalapramardinā	mahA-sTAma-prAptena ca | maMju-SriyA ca kumAra-BUtena | mAra-bala-pramardinA
   ca | vajramatinā ca | ratnamudrāhastena ca | nityotkṣiptahastena ca |	ca | vajra-matinA ca | ratnamudrA-hastena ca | nitya-utkzipta-hastena ca |
   mahākaruṇācintinā ca | mahāvyūhena ca | vyūharājena ca | merukūṭena ca |	mahA-karuNA-cintinA ca | mahA-vyUhena ca | vyUha-rAjena ca | meru-kUwena ca |
   maitreyeṇa ca bodhisatvena mahāsatvena etaiś cānyaiś cānekair	mEtreyeNa ca boDisatvena mahAsatvena etEH ca-anyEH ca-anekEH-
   bodhisatvakoṭīniyutaśatasahasraiḥ atha khalu bhagavāṃs tasyāṃ velāyāṃ	boDisatva-kowI-niyuta-Sata-sahasrEH aTa Kalu BagavAn tasyAm velAyAm
   svayam eva siṃhāsanaṃ prajñapya nyaṣīdat paryaṃkam ābhujya ṛjuṃ kāyaṃ	svayam eva siMhAsanam prajQapya nyazIdat paryaMkam ABujyaH Rjum kAyam
   praṇidhāya pratimukhaṃ smṛtim upasthāpya tatra niṣadya samādhirājo nāma	praNiDAya pratimuKam smRtim upasTApya tatra nizadya samADi-rAjaH nAma
   samādhiṃ samāpanno 'bhūt* yatra samādhau sarvasamādhayo 'ntargatā	samADim samApannaH aBUt* yatra samADO sarva-samADayaH antargatA
   anupraviṣṭāḥ saṃgrahaṃ samavasaraṇaṃ gacchanti | atha bhagavāṃ smṛtaḥ	anupravizwAH saMgraham samavasaraNam gacCanti | aTa BagavAm smRtaH
   saṃprajānaṃs tataḥ samādher vyutthāya divyena cakṣuṣedaṃ buddhakṣetraṃ	saMprajAnan tatas samADeH vyutTAya divyena cakzuzA-idam budDa-kzetram
   vyavalokayati sma | vyavalokya sarvakāyāt prabhāṃ prāmuñcat* tasyādhastāt	vyavalokayati sma | vyavalokya sarva-kAyAt praBAm prAmuQcat* tasya-aDastAt
   padatalayoḥ sahasrārābhyāṃ cakrābhyāṃ	pada-talayoH sahasrArAByAm cakrAByAm
   ṣaṣṭiṣaṣṭiraśmikoṭīniyutaśatasahasrāṇi niścaranti sma : daśabhyaś ca	zazwi-zazwi-raSmi-kowI-niyuta-Sata-sahasrANi niScaranti sma : daSaByaH ca
   pādāṃgulibhyaḥ ṣaṣṭiṣaṣṭī raśmikoṭīniyutaśatasahasrāṇi niścaranti sma |	pAda-aMguliByaH zazwizazwiH raSmi-kowI-niyuta-Sata-sahasrANi niScaranti sma |
   evaṃ dvābhyāṃ gulphābhyāṃ dvābhyāṃ jaṃghābhyāṃ dvābhyāṃ jānubhyāṃ dvābhyām	evam dvAByAm gulPAByAm dvAByAm jaMGAByAm dvAByAm jAnuByAm dvAByAm
   ūrubhyām* kaṭer nābhimaṇḍalāt* dvābhyāṃ pārśvābhyām* hṛdaye śrīvatsāt	UruByAm* kaweH nABi-maNxala-at* dvAByAm pArSvAByAm* hRdaye SrIvatsAt-
   mahāpuruṣalakṣaṇāt* saṣṭiṣaṣṭī raśmikoṭīniyutaśatasahasrāṇi niścaranti sma	mahApuruza-lakzaNa-at* sazwizazwiH raSmi-kowI-niyuta-Sata-sahasrANi niScaranti sma
   | daśabhyo hastāṅgulibhyaḥ ṣaṣṭiṣaṣṭī raśmikoṭīniyutaśatasahasrāṇi	| daSaByaH hasta-aFguliByaH zazwizazwiH raSmi-kowI-niyuta-Sata-sahasrANi
   niścaraṃti sma | evan dvābhyāṃ bāhubhyām* dvābhyām āṃsābhyām* grīvāyāś	niScaraMti sma | evan dvAByAm bAhuByAm* dvAByAm AMsAByAm* grIvAyAH-
   catasṛbhyo (LPG 2v) daṃṣṭrābhyaś catvāriṃśato dantebhyaḥ dvābhyāṃ	catasRByaH (LPu 2v) daMzwrAByaH catvAriMSataH danteByaH dvAByAm
   cakṣubhyāṃ dvābhyāṃ śrotrābhyām* dvābhyāṃ ghrāṇapuṭebhyām* madhye	cakzuByAm dvAByAm SrotrAByAm* dvAByAm GrANa-puweByAm* maDye
   bhruvorṇāyā upariṣṭād uṣṇīṣāt* mukhadvārāc ca ṣaṣṭiṣaṣṭī	BruvA-UrNAyAH uparizwAt uzNIzAt* muKa-dvArAt ca zazwizazwI
   raśmikoṭīniyutaśatasahasrāṇi niścaraṃti sma | sarvāṇi ca tāni	raSmi-kowI-niyuta-Sata-sahasrANi niScaraMti sma | sarvANi ca tAni
   raśmikoṭīniyutaśatasahasrāṇi sarvāvantam imaṃ trisāhasramahāsāhasraṃ	raSmi-kowI-niyuta-Sata-sahasrANi sarvAvantam imam tri-sAhasra-mahA-sAhasram
   lokadhātuṃ mahatāvabhāsena spharitvā pūrvasyāṃ diśi gaṃgānadīvālukopamān	lokaDAtum mahatA-avaBAsena sParitvA pUrvasyAm diSi gaMgA-nadI-vAlukA-upamAn
   lokadhātūn mahatāvabhāsena spharanti sma | evan dakṣiṇasyān diśi	lokaDAtUn mahatA-avaBAsena sParanti sma | evan dakziNasyAn diSi
   paścimāyām uttarasyām adhastād upariṣṭād yāvat samaṃtād daśasu dikṣv	paScimAyAm uttarasyAm aDastAt uparizwAt yAvat samaMtAt daSasu dikzu-
   ekaikasyān diśi gaṃgānadīvālukopamān lokadhātūn mahatāvabhāsena spharanti	ekEkasyAn diSi gaMgA-nadI-vAlukA-upamAn lokaDAtUn mahatA-avaBAsena sParanti
   sma | yaiś ca satvaiḥ so 'vabhāso dṛṣṭo ye ca tena raśmyavabhāsena spṛṣṭās	sma | yEH ca satvEH saH avaBAsaH dRzwaH ye ca tena raSmi-avaBAsena spRzwA-as
   te sarve niyatā abhavann anuttarasyāṃ samyaksaṃbodhau | atha bhagavān	te sarve niyatAH aBavan anuttarasyAm samyaksaMboDO | aTa BagavAn
   punar eva sarvaromakūpebhyaḥ prabhāṃ prāmuṃcat* yayā prabhayāyaṃ	punar eva sarva-romakUpeByaH praBAm prAmuMcat* yayA praBayA-ayam
   trisāhasramahāsāhasro lokadhātur mahatāvabhāsena sphuṭo 'bhūt* pūrvasyāṃ	tri-sAhasra-mahA-sAhasraH lokaDAtuH mahatA-avaBAsena sPuwaH aBUt* pUrvasyAm
   ca diśi gaṃgānadīvālukopamāl lokadhātavo mahatāvabhāsena sphuṭā abhūvan*	ca diSi gaMgA-nadI-vAlukA-upamAt lokaDAtavaH mahatA-avaBAsena sPuwAH aBUvan*
   evaṃ dakṣiṇasyān diśi paścimāyām uttarasyām adhastād upariṣṭāt* yāvat	evam dakziNasyAn diSi paScimAyAm uttarasyAm aDastAt uparizwAt* yAvat-
   samantād daśasu dikṣv ekaikasyān diśi gaṃgānadīvālukopamāl lokadhātavo	samantAt daSasu dikzu ekEkasyAn diSi gaMgA-nadI-vAlukA-upamAt lokaDAtavaH-
   mahatāvabhāsena sphuṭā abhūvan* yaiś ca satvaiḥ so 'vabhāso dṛṣṭo ye ca	mahatA-avaBAsena sPuwAH aBUvan* yEH ca satvEH saH avaBAsaH dRzwaH ye ca
   tenāvabhāsena spṛṣṭās te sarve niyatā abhavann anuttarasyāṃ	tena-avaBAsena spRzwAH te sarve niyatAH aBavan anuttarasyAm
   samyaksaṃbodhau | atha bhagavān punar api yā sā tathāgatasya prakṛtiprabhā	samyaksaMboDO | aTa BagavAn punar api yA sA taTAgatasya prakRti-praBA
   tayā prabhayemaṃ (LPG 3r) trisāhasramahāsāhasraṃ lokadhātuṃ	tayA praBayA-imam (LPG 3r) tri-sAhasra-mahA-sAhasram lokaDAtum
   mahatāvabhāsena spharati sma | pūrvasyān diśi gaṃgānadīvālukopamāl	mahatA-avaBAsena sParati sma | pUrvasyAn diSi gaMgA-nadI-vAlukA-upamAl
   lokadhātūn mahatāvabhāsena spharati sma | evaṃ dakṣiṇasyān diśi paścimāyām	lokaDAtUn mahatA-avaBAsena sParati sma | evam dakziNasyAn diSi paScimAyAm
   uttarasyām adhastād upariṣṭāt* yāvat samantād daśasu dikṣv ekaikasyān diśi	uttarasyAm aDastAt uparizwAt* yAvat samantAt daSasu dikzu ekEkasyAn diSi
   gaṃgānadīvālukopamāl lokadhātuṃs tena mahatāvabhāsena spharati sma | yaiś	gaMgA-nadI-vAlukA-upamAt lokaDAtun tena mahatA-avaBAsena sParati sma | yEH-
   ca satvaiḥ so 'vabhāso dṛṣṭo ye ca tenāvabhāsena spṛṣṭās te sarve niyatā	ca satvEH saH avaBAsaH dRzwaH ye ca tena-avaBAsena spRzwAH te sarve niyatA
   abhavann anuttarasyāṃ samyaksaṃbodhau | atha bhagavān mukhadvārāj	aBavan anuttarasyAm samyaksaMboDO | aTa BagavAn muKa-dvArAj
   jihvendriyaṃ nirṇamayya sarvāvantam imaṃ tṛsāhasramahāsāhasraṃ lokadhātuṃ	jihvA-indriyam nirNamayya sarvAvantam imam tR-sAhasra-mahA-sAhasram lokaDAtum
   jihvendriyeṇa spharitvā smitaṃ prādurakārṣīt* tataś ca jihvendriyād	jihvA-indriyeNa sParitvA smitam prAdurakArzIt* tatas ca jihvA-indriyAt-
   anekāni nānāvarṇāni raśmikoṭīnayutaśatasahasrāṇi niścaranti sma | sarvatra	anekAni nAnA-varNAni raSmi-kowIn-ayuta-Sata-sahasrANi niScaranti sma | sarvatra
   ca raśmyāṃ nānāratnamayāni suvarṇanirbhāsāni sahasrapatrāṇi padmāni	ca raSmyAm nAnA-ratna-mayAni suvarNa-nirBAsAni sahasra-patrANi padmAni
   santiṣṭhante sma | citrāṇi darśanīyāni manoramāṇi | suvarṇāni sugandhīni |	santizWante sma | citrANi darSanIyAni manoramANi | suvarNAni suganDIni |
   mṛdūni kācalindikasukhasaṃsparśāni | tatra ca padmeṣu tathāgatavigrahā	mRdUni kAcalindika-suKa-saMsparSAni | tatra ca padmezu taTAgata-vigrahA
   niṣaṇṇā dharman deśayaṃti sma | yad utemām eva ṣaṭpāramitāpratisaṃyuktān	nizaNNAH Darman deSayaMti sma | yat uta-imAm eva zaz-pAramitA-pratisaMyuktAn
   dharmadeśanāṃ te pūrvasyān diśi gaṃgānadīvālukopamāl lokadhātūn gacchanti	Darma-deSanAm te pUrvasyAn diSi gaMgA-nadI-vAlukA-upamAt lokaDAtUn gacCanti
   sma | tatra gatvā dharman deśayaṃti sma | yad utemām eva	sma | tatra gatvA Darman deSayaMti sma | yat uta-imAm eva
   ṣaṭpāramitāpratisaṃyuktān dharmadeśanām* evaṃ dakṣiṇasyān diśi paścimāyām	zaz-pAramitA-pratisaMyuktAn Darma-deSa-nAm* evam dakziNasyAn diSi paScimAyAm
   uttarasyām adhastād upariṣṭād yāvat samantād daśasu dikṣv ekaikasyān diśi	uttarasyAm aDastAt uparizwAt yAvat samantAt daSasu dikzu ekEkasyAn diSi
   gaṃgānadīvālukopamāl lokadhātūn gacchanti sma | tatra gatvā dharman	gaMgA-nadI-vAlukA-upamAt lokaDAtUn gacCanti sma | tatra gatvA Darman
   deśayanti sma | yad utemām eva ṣaṭpāramitāpratisaṃyuktān dharmadeśanām*	deSayanti sma | yat uta-imAm eva zaz-pAramitA-pratisaMyuktAn Darma-deSanAm*
   yaiś ca satvaiḥ sa dharmaḥ śrutas te sarve niyatā abhavann anuttarasyāṃ	yEH ca satvEH sa DarmaH SrutaH te sarve niyatAH aBavan anuttarasyAm
   samyaksaṃbodhau | atha bhagavāṃs tasminn eva siṃhāsane niṣaṇṇaḥ	samyaksaMboDO | aTa BagavAn tasmin eva siMhAsane nizaNNaH
   siṃhavikrīḍitaṃ nāma buddhasamādhiṃ samāpadya tathārūpam	siMha-vikrIxitam nAma budDa-samADim samApadya taTArUpam
   ṛddhyabhisaṃskāram abhisaṃskaroti sma |	RdDi-aBisaMskAram aBisaMskaroti sma |
   yathārūpeṇardhyabhisaṃskāreṇābhisaṃskṛtenāyaṃ trisāhasramahāsāhasro	yaTArUpeNaRDi-aBisaMskAreNa-aBisaMskRtena-ayam tri-sAhasra-mahA-sAhasraH-
   lokadhātuḥ (LPG 3v) ṣaḍvikāram akaṃpata prākaṃpata saṃprākaṃpata |	lokaDAtuH (LPG 3v) zaz-vikAram akaMpata prAkaMpata saMprAkaMpata |
   avedhat* prāvedhat* saṃprāvedhat* acalat prācalat saṃprācalat* akṣubhyat	aveDat* prAveDat* saMprAveDat* acalat prAcalat saMprAcalat* akzuByat
   prākṣubhyat saṃprākṣubhyat* agarjat prāgarjat saṃprāgarjat* araṇat	prAkzuByat saMprAkzuByat* agarjat prAk-arjat saMprAgarjat* araNat-
   prāraṇat saṃprāraṇat* anteṣūnnamati sma | madhye 'vanamati sma | madhya	prAraNat saMprAraNat* antezu-unnamati sma | maDye avanamati sma | maDye-
   aunnamati smānteṣv avanamati sma | mṛdukaḥ snigdhaḥ sūkṣmaḥ	Onnamati sma-antezu avanamati sma | mRdukaH snigDaH sUkzmaH
   sarvasukhasaṃjanano 'bhūt* atha tena kṣaṇalavamuhūrtena yāvanto 'smiṃs	sarva-suKa-saMjananaH aBUt* aTa tena kzaNa-lava-muhUrtena yAvantaH asmin=-
   trisāhasramahāsāhasre lokadhātau	tri-sAhasra-mahA-sAhasre lokaDAtO
   narakatiryagyoniyamalokākṣaṇāpāyadurgativinipātās te sarve samucchinnā	naraka-tiryagyoni-yama-loka-akzaNa-apAya-durgati-vinipAtAH te sarve samucCinnA
   abhūvan* sarve ca te satvā manuṣyāṇāṃ sabhāgatāyai upapannā abhūvan*	aBUvan* sarve ca te satvAH manuzyANAm saBA-gatAyE upapannAH aBUvan*
   cāturmahārājakāyikānāṃ ca devānāṃ trāyastriṃśānāṃ yāmānāṃ tuṣitānāṃ	cAturmahArAja-kAyikAnAm ca devAnAm trAyastriMSAnAm yAmAnAm tuzitAnAm
   nirmāṇaratīnāṃ paranirmitavaśavartināṃ devānāṃ sahabhāgatāyai upapannā	nirmANa-ratInAm paranirmita-vaSavartinAm devAnAm saha-BAga-tAyE upapannA
   abhūvan* atha te manuṣyās te ca devās tenaiva prītiprasādaprāmodyena	aBUvan* aTa te manuzyAH te ca devAH tena-eva prIti-prasAda-prAmodyena
   paurvikīṃ jātiṃ samanusmaraṃti sma | samanusmṛtya	pOrvikIm jAtim samanusmaraMti sma | samanusmRtya
   prītiprasādaprāmodyapratilabdhā yena bhagavāṃs tenopasaṃkrāntā	prIti-prasAda-prAmodya-pratilabDAH yena BagavAn tena-upasaMkrAntA
   upasaṃkramya prāṃjalībhūtā bhagavantaṃ namasyanti sma | evaṃ pūrvasyān	upasaMkramya prAMjalIBUtAH Bagavantam namasyanti sma | evam pUrvasya-an
   diśi gaṃgānadīvālukopameṣu lokadhātuṣu dakṣiṇasyāṃ paścimāyām uttarasyām	diSi gaMgA-nadI-vAlukA-upamezu lokaDAtuzu dakziNasyAm paScimAyAm uttarasyAm
   adhastād upariṣṭād yāvat samantād daśasu dikṣv ekaikasyān diśi	aDastAt uparizwAt yAvat samantAt daSasu dikzu ekEkasyAn diSi
   gaṃgānadīvālukāsameṣu lokadhātuṣu sarvanarakāḥ sarvatiryagyonayaḥ	gaMgA-nadI-vAlukA-samezu lokaDAtuzu sarva-narakAH sarva-tiryagyonayaH
   sarvayamalokā samucchinnāḥ sarvākṣaṇāś cāstamitā abhūvan* sarve ca te	sarva-yama-lokAH samucCinnAH sarva-akzaNAH ca-astamitAH aBUvan* sarve ca te
   satvā manuṣyāṇāṃ sahabhāgatāyai upapadyante sma | atha te manuṣyās te ca	satvAH manuzyANAm saha-BAga-tAyE upapadyante sma | aTa te manuzyAH te ca
   devās tenaiva prītiprasādaprāmodyena paurvikīṃ jātiṃ samanusmaraṃti sma |	devAH tena-eva prIti-prasAda-prAmodyena pOrvikIm jAtim samanusmaraMti sma |
   samanusmṛtya prītiprasādaprāmodyapratilabdhāḥ svakasvakeṣu buddhakṣetreṣu	samanusmRtya prIti-prasAda-prAmodya-pratilabDAH sva-ka-svakezu budDa-kzetrezu
   ye tatra tathāgatā arhantaḥ samyaksaṃbuddhās tiṣṭhanti tān upasaṃkramanti	ye tatra taTAgatAH arhantaH samyaksaMbudDAH tizWanti tAn upasaMkramanti
   smopasaṃkramya prāṃjalībhūtās tāṃs tathāgatān arhataḥ samyaksaṃbuddhān	sma-upasaMkramya prAMjalIBUtAH tAn taTAgatAn arhataH samyaksaMbudDAn
   namasyanti sma | atha tena kṣaṇena ye 'smiṃs (LPG 4r)	namasyanti sma | aTa tena kzaNena ye asmin (LPu 4r)
   trisāhasramahāsāhasre lokadhātau jātyandhāḥ satvās te 'pi sarve cakṣuṣā	tri-sAhasra-mahA-sAhasre lokaDAtO jAti-anDAH satvAH te api sarve cakzuzA
   rūpāṇi paśyanti sma | vadhirā śrotreṇa śabdāṃc chṛṇvanti sma | unmattā	rUpANi paSyanti sma | vaDirAH SrotreNa SabdAn SRNvanti sma | unmattA
   smṛtiṃ pratilabhaṃti sma | vikṣiptacittā avikṣiptacittatāṃ pratilabhante	smRtim pratilaBaMti sma | vikzipta-cittAH avikzipta-citta-tAm pratilaBante
   sma | nagnāś cīvarāṇi pratilabhante sma | daridrā dhanāni pratilabhante	sma | nagnAH cIvarANi pratilaBante sma | daridrAH DanAni pratilaBante
   sma | jighatsitā bhojanāni pratilabhante sma | pipāsitāḥ pānīyaṃ	sma | jiGatsitAH BojanAni pratilaBante sma | pipAsitAH pAnIyam
   pratilabhante sma | rogaspṛṣṭā vigatarogā abhūvan* vikalendriyāḥ	pratilaBante sma | roga-spRzwAH vigata-rogAH aBUvan* vikala-indriyAH
   paripūrṇendriyā abhūvan* klāntakāyā aklāntakāyā abhūvan*	paripUrNa-indriyAH aBUvan* klAnta-kAyAH aklAntakAyAH aBUvan*
   avirahitākuśalakāyavāṅmanaskarmantājīvā	avirahita-akuSala-kAya-vAc-manaskarmantA-jIvA
   vigatākuśalakāyavāṅmanaskarmantājīvā bhavanti sma | sarvasatvāś ca	vigata-akuSala-kAya-vAc-manaskarmantA-jIvAH Bavanti sma | sarva-satvAH ca
   sarvasatveṣu samacittā abhūvan* yad uta mātāpitṛbhrātṛbhaginīsamacittāḥ	sarva-satvezu sama-cittAH aBUvan* yat uta mAtA-pitR-BrAtR-BaginI-sama-cittAH
   mitrajñātisahāyasamacittāḥ sarvasatvā daśakuśalakarmapathasamanvāgatā	mitra-jQAti-sahAya-sama-cittAH sarva-satvA daSa-kuSala-karma-paTa-samanvAgatA
   abhūvan* brahmacāriṇaḥ śucayo nirāmagandhāḥ sarvākuśalavitarkavigatāḥ	aBUvan* brahmacAriNaH SucayaH nirAma-ganDAH sarva-akuSala-vitarka-vigatAH
