   BhP_08.01.001/0 śrīrājovāca	BhP_08.01.001/0 SrI-rAjA-uvAca
   BhP_08.01.018/3 yāmaiḥ parivṛto devairhatvāśāsat triviṣṭapam	Bhu-_08.01.018/3 yAmEH parivRtaH devEH-hatvA-aSAsat trivizwapam
   BhP_08.01.019/1 svārociṣo dvitīyastu manuragneḥ suto 'bhavat	BhP_08.01.019/1 svArocizaH dvitIyaH-tu manuH-agneH sutaH aBavat-
   BhP_08.01.019/3 dyumatsuṣeṇarociṣmat pramukhāstasya cātmajāḥ	Bhu-_08.01.019/3 dyumat-suzeNa-rocizmat pramuKAH-tasya ca-AtmajAH
   BhP_08.01.020/1 tatrendro rocanastvāsīddevāśca tuṣitādayaḥ	Bhu-_08.01.020/1 tatra-indraH rocanaH-tu-AsIt-devAH-ca tuzita-AdayaH
   BhP_08.01.020/3 ūrjastambhādayaḥ sapta ṛṣayo brahmavādinaḥ	Bhu-_08.01.020/3 Urja-stamBa-AdayaH sapta RzayaH brahma-vAdinaH
   BhP_08.01.021/1 ṛṣestu vedaśirasastuṣitā nāma patny abhūt	Bhu-_08.01.021/1 RzeH-tu vedaSirasaH-tuzitAH nAma patnI aBUt-
   BhP_08.01.021/3 tasyāṃ jajñe tato devo vibhurity abhiviśrutaḥ	Bhu-_08.01.021/3 tasyAm jajQe tatas devaH viBuH-iti aBiviSrutaH
   BhP_08.01.022/1 aṣṭāśītisahasrāṇi munayo ye dhṛtavratāḥ	Bhu-_08.01.022/1 azwASIti-sahasrANi munayaH ye DRta-vratAH
   BhP_08.01.022/3 anvaśikṣan vrataṃ tasya kaumārabrahmacāriṇaḥ	Bhu-_08.01.022/3 anvaSikzan vratam tasya kOmAra-brahmacAriNaH
   BhP_08.01.023/1 tṛtīya uttamo nāma priyavratasuto manuḥ	Bhu-_08.01.023/1 tRtIyaH uttamaH nAma priyavrata-sutaH manuH
   BhP_08.01.023/3 pavanaḥ sṛñjayo yajña hotrādyāstatsutā nṛpa	Bhu-_08.01.023/3 pavanaH sRQjayaH yajQa hotra-AdyAH-tad-sutAH nRpa
   BhP_08.01.024/1 vasiṣṭhatanayāḥ sapta ṛṣayaḥ pramadādayaḥ	Bhu-_08.01.024/1 vasizWa-tanayAH sapta RzayaH pramadA-AdayaH
   BhP_08.01.024/3 satyā vedaśrutā bhadrā devā indrastu satyajit	BhP_08.01.024/3 satyA veda-SrutAH BadrA devAH indraH-tu satyajit-
   BhP_08.01.025/1 dharmasya sūnṛtāyāṃ tu bhagavān puruṣottamaḥ	Bhu-_08.01.025/1 Darmasya sUnRtAyAm tu BagavAn puruzottamaH
   BhP_08.01.025/3 satyasena iti khyāto jātaḥ satyavrataiḥ saha	Bhu-_08.01.025/3 satyasenaH iti KyAtaH jAtaH satya-vratEH saha
   BhP_08.01.026/1 so 'nṛtavrataduḥśīlān asato yakṣarākṣasān	Bhu-_08.01.026/1 saH anRta-vrata-duHSIlAn asataH yakza-rAkzasAn
   BhP_08.01.026/3 bhūtadruho bhūtagaṇāṃścāvadhīt satyajitsakhaḥ	BhP_08.01.026/3 BUta-druhaH BUta-gaNAn=-ca-avaDIt satyajit-saKaH
   BhP_08.01.027/1 caturtha uttamabhrātā manurnāmnā ca tāmasaḥ	Bhu-_08.01.027/1 caturTaH uttama-BrAtA manuH-nAmnA ca tAmasaH
   BhP_08.01.027/3 pṛthuḥ khyātirnaraḥ keturity ādyā daśa tatsutāḥ	BhP_08.01.027/3 pRTuH KyAtiH-naraH ketuH-iti AdyAH daSa tad-sutAH
   BhP_08.01.028/1 satyakā harayo vīrā devāstriśikha īśvaraḥ	Bhu-_08.01.028/1 satyakAH harayaH vIrAH devAH-tri-SiKaH ISvaraH
   BhP_08.01.028/3 jyotirdhāmādayaḥ sapta ṛṣayastāmase 'ntare	Bhu-_08.01.028/3 jyotiH-DAma-AdayaH sapta RzayaH-tAmase antare
   BhP_08.01.029/1 devā vaidhṛtayo nāma vidhṛtestanayā nṛpa	Bhu-_08.01.029/1 devAH vEDRtayaH nAma viDRteH-tanayA nRpa
   BhP_08.01.029/3 naṣṭāḥ kālena yairvedā vidhṛtāḥ svena tejasā	Bhu-_08.01.029/3 nazwAH kAlena yEH-vedAH viDRtAH svena tejasA
   BhP_08.01.030/1 tatrāpi jajñe bhagavān hariṇyāṃ harimedhasaḥ	Bhu-_08.01.030/1 tatra-api jajQe BagavAn hariNyAm harimeDasaH
   BhP_08.01.030/3 haririty āhṛto yena gajendro mocito grahāt	Bhu-_08.01.030/3 hariH-iti AhRtaH yena gaja-indraH mocitaH grahAt-
   BhP_08.01.031/0 śrīrājovāca	BhP_08.01.031/0 SrI-rAjA-uvAca
   BhP_08.01.031/1 bādarāyaṇa etat te śrotumicchāmahe vayam	Bhu-_08.01.031/1 bAdarAyaNaH etat te Srotum-icCAmahe vayam
   BhP_08.01.031/3 hariryathā gajapatiṃ grāhagrastamamūmucat	Bhu-_08.01.031/3 hariH-yaTA gaja-patim grAha-grastam-amUmucat-
   BhP_08.01.032/1 tatkathāsu mahat puṇyaṃ dhanyaṃ svastyayanaṃ śubham	Bhu-_08.01.032/1 tad-kaTAsu mahat puNyam Danyam svastyayanam SuBam
   BhP_08.01.032/3 yatra yatrottamaśloko bhagavān gīyate hariḥ	Bhu-_08.01.032/3 yatra yatra-uttamaSlokaH BagavAn gIyate hariH
   BhP_08.01.033/0 śrīsūta uvāca	BhP_08.01.033/0 SrI-sUtaH uvAca
   BhP_08.01.033/1 parīkṣitaivaṃ sa tu bādarāyaṇiḥ prāyopaviṣṭena kathāsu	Bhu-_08.01.033/1 parIkzitA-evam sa tu bAdarAyaNiH prAya-upavizwena kaTAsu
   coditaḥ	coditaH
   BhP_08.01.033/3 uvāca viprāḥ pratinandya pārthivaṃ mudā munīnāṃ sadasi sma	BhP_08.01.033/3 uvAca viprAH pratinandya pArTivam mudA munInAm sadasi sma
   śṛṇvatām	SRNvatAm
   BhP_08.02.001/0 śrīśuka uvāca	BhP_08.02.001/0 SrI-SukaH uvAca
   BhP_08.02.001/1 āsīdgirivaro rājaṃstrikūṭa iti viśrutaḥ	Bhu-_08.02.001/1 AsIt-giri-varaH rAjan=-trikUwaH iti viSrutaH
   BhP_08.02.001/3 kṣīrodenāvṛtaḥ śrīmān yojanāyutamucchritaḥ	Bhu-_08.02.001/3 kzIrodena-AvRtaH SrImAn yojana-ayutam-ucCritaH
   BhP_08.02.002/1 tāvatā vistṛtaḥ paryak tribhiḥ śṛṅgaiḥ payonidhim	Bhu-_08.02.002/1 tAvatA vistRtaH paryak triBiH SRFgEH payoniDim
   BhP_08.02.002/3 diśaḥ khaṃ rocayannāste raupyāyasahiraṇmayaiḥ	Bhu-_08.02.002/3 diSaH Kam rocayan=-Aste rOpyAyasa-hiraNmayEH
   BhP_08.02.003/1 anyaiśca kakubhaḥ sarvā ratnadhātuvicitritaiḥ	Bhu-_08.02.003/1 anyEH-ca kakuBaH sarvAH ratna-DAtu-vicitritEH
   BhP_08.02.003/3 nānādrumalatāgulmairnirghoṣairnirjharāmbhasām	Bhu-_08.02.003/3 nAnA-druma-latA-gulmEH-nirGozEH-nirJara-amBasAm
   BhP_08.02.004/1 sa cāvanijyamānāṅghriḥ samantāt payaūrmibhiḥ	Bhu-_08.02.004/1 sa ca-avanijyamAna-aFGriH samantAt payaUrmiBiH
   BhP_08.02.004/3 karoti śyāmalāṃ bhūmiṃ harinmarakatāśmabhiḥ	Bhu-_08.02.004/3 karoti SyAmalAm BUmim harinmarakatA-aSmaBiH
   BhP_08.02.005/1 siddhacāraṇagandharvairvidyādharamahoragaiḥ	BhP_08.02.005/1 sidDa-cAraNa-ganDarvEH-vidyADara-mahA-uragEH
   BhP_08.02.005/3 kinnarairapsarobhiśca krīḍadbhirjuṣṭakandaraḥ	Bhu-_08.02.005/3 kinnarEH-apsaroBiH-ca krIxadBiH-juzwa-kandaraH
   BhP_08.02.006/1 yatra saṅgītasannādairnadadguhamamarṣayā	Bhu-_08.02.006/1 yatra saFgIta-sanna-AdEH-nadat-guham-amarzayA
   BhP_08.02.006/3 abhigarjanti harayaḥ ślāghinaḥ paraśaṅkayā	Bhu-_08.02.006/3 aBigarjanti harayaH SlAGinaH para-SaFkayA
   BhP_08.02.007/1 nānāraṇyapaśuvrāta saṅkuladroṇyalaṅkṛtaḥ	Bhu-_08.02.007/1 nAnA-araNya-paSu-vrAta saFkula-droNI-alaFkRtaH
   BhP_08.02.007/3 citradrumasurodyāna kalakaṇṭhavihaṅgamaḥ	Bhu-_08.02.007/3 citradruma-sura-udyAna kala-kaNWa-vihaFgamaH
   BhP_08.02.008/1 saritsarobhiracchodaiḥ pulinairmaṇivālukaiḥ	Bhu-_08.02.008/1 sarit-saroBiH-acCa-udEH pulinEH-maNi-vAlukEH
   BhP_08.02.008/3 devastrīmajjanāmoda saurabhāmbvanilairyutaḥ	Bhu-_08.02.008/3 deva-strI-mat-jana-Amoda sOraBa-ambu-anilEH-yutaH
   BhP_08.02.009/1 tasya droṇyāṃ bhagavato varuṇasya mahātmanaḥ	Bhu-_08.02.009/1 tasya droNyAm BagavataH varuNasya mahAtmanaH
   BhP_08.02.009/3 udyānamṛtuman nāma ākrīḍaṃ surayoṣitām	Bhu-_08.02.009/3 udyAnam-Rtumat nAma AkrIxam sura-yozitAm
   BhP_08.02.010/1 sarvato 'laṅkṛtaṃ divyairnityapuṣpaphaladrumaiḥ	Bhu-_08.02.010/1 sarvatas alaFkRtam divyEH-nitya-puzpa-Pala-drumEH
   BhP_08.02.010/3 mandāraiḥ pārijātaiśca pāṭalāśokacampakaiḥ	Bhu-_08.02.010/3 mandArEH pArijAtEH-ca pAwalA-aSoka-campakEH
   BhP_08.02.011/1 cūtaiḥ piyālaiḥ panasairāmrairāmrātakairapi	Bhu-_08.02.011/1 cUtEH piyAlEH panasEH-AmrEH-AmrAtakEH-api
   BhP_08.02.011/3 kramukairnārikelaiśca kharjūrairbījapūrakaiḥ	Bhu-_08.02.011/3 kramukEH-nArikelEH-ca KarjUrEH-bIjapUrakEH
   BhP_08.02.012/1 madhukaiḥ śālatālaiśca tamālairasanārjunaiḥ	Bhu-_08.02.012/1 maDukEH SAla-tAlEH-ca tamAlEH-asana-arjunEH
   BhP_08.02.012/3 ariṣṭoḍumbaraplakṣairvaṭaiḥ kiṃśukacandanaiḥ	BhP_08.02.012/3 arizwa-uxumbara-plakzEH-vawEH kiMSuka-candanEH
   BhP_08.02.013/1 picumardaiḥ kovidāraiḥ saralaiḥ suradārubhiḥ	Bhu-_08.02.013/1 picumardEH kovidArEH saralEH suradAruBiH
   BhP_08.02.013/3 drākṣekṣurambhājambubhirbadaryakṣābhayāmalaiḥ	Bhu-_08.02.013/3 drAkzA-ikzu-ramBa-ajambuBiH-badarI-akza-aBayA-amalEH
   BhP_08.02.014/1 bilvaiḥ kapitthairjambīrairvṛto bhallātakādibhiḥ	Bhu-_08.02.014/1 bilvEH kapitTEH-jambIrEH-vRtaH BallAtaka-AdiBiH
   BhP_08.02.014/3 tasmin saraḥ suvipulaṃ lasatkāñcanapaṅkajam	Bhu-_08.02.014/3 tasmin saraH su-vipulam lasat-kAQcana-paFkajam
   BhP_08.02.015/1 kumudotpalakahlāra śatapatraśriyorjitam	Bhu-_08.02.015/1 kumuda-utpala-kahlAra Satapatra-SriyA-Urjitam
   BhP_08.02.015/3 mattaṣaṭpadanirghuṣṭaṃ śakuntaiśca kalasvanaiḥ	Bhu-_08.02.015/3 matta-zawpada-nirGuzwam SakuntEH-ca kala-svanEH
   BhP_08.02.016/1 haṃsakāraṇḍavākīrṇaṃ cakrāhvaiḥ sārasairapi	Bhu-_08.02.016/1 haMsa-kAraNxava-AkIrNam cakrAhvEH sArasEH-api
   BhP_08.02.016/3 jalakukkuṭakoyaṣṭi dātyūhakulakūjitam	BhP_08.02.016/3 jalakukkuwa-koyazwi dAtyUha-kula-kUjitam
   BhP_08.02.017/1 matsyakacchapasañcāra calatpadmarajaḥpayaḥ	Bhu-_08.02.017/1 matsya-kacCapa-saQcAra calat-padma-rajaH-payaH
   BhP_08.02.017/3 kadambavetasanala nīpavañjulakairvṛtam	Bhu-_08.02.017/3 kadamba-veta-sanala nIpa-vaQjulakEH-vRtam
   BhP_08.02.018/1 kundaiḥ kurubakāśokaiḥ śirīṣaiḥ kūṭajeṅgudaiḥ	Bhu-_08.02.018/1 kundEH kurubaka-aSokEH SirIzEH kUwaja-iFgudEH
   BhP_08.02.018/3 kubjakaiḥ svarṇayūthībhirnāgapunnāgajātibhiḥ	Bhu-_08.02.018/3 kubjakEH svarNa-yUTIBiH-nAga-punnAga-jAtiBiH
   BhP_08.02.019/1 mallikāśatapatraiśca mādhavījālakādibhiḥ	Bhu-_08.02.019/1 mallikA-Sata-patrEH-ca mADavI-jAlaka-AdiBiH
   BhP_08.02.019/3 śobhitaṃ tīrajaiścānyairnityartubhiralaṃ drumaiḥ	Bhu-_08.02.019/3 SoBitam tIra-jEH-ca-anyEH-nitya-RtuBiH-alam drumEH
   BhP_08.02.020/1 tatraikadā tadgirikānanāśrayaḥ	Bhu-_08.02.020/1 tatra-ekadA tad-girikAnana-ASrayaH
   kareṇubhirvāraṇayūthapaścaran	kareNuBiH-vAraNa-yUTapaH-caran
   BhP_08.02.020/3 sakaṇṭakaṃ kīcakaveṇuvetravad viśālagulmaṃ prarujan	BhP_08.02.020/3 sa-kaNwakam kIcaka-veNu-vetra-vat viSAla-gulmam prarujan
   vanaspatīn	vanaspatIn
   BhP_08.02.021/1 yadgandhamātrāddharayo gajendrā vyāghrādayo vyālamṛgāḥ	Bhu-_08.02.021/1 yat-ganDa-mAtrAt-harayaH gaja-indrAH vyAGra-AdayaH vyAla-mRgAH
   sakhaḍgāḥ	sa-KaxgAH
   BhP_08.02.021/3 mahoragāścāpi bhayāddravanti sagaurakṛṣṇāḥ	Bhu-_08.02.021/3 mahA-uragAH-ca-api BayAt-dravanti sa-gOra-kRzNAH
   sarabhāścamaryaḥ	saraBAH-camaryaH
   BhP_08.02.022/1 vṛkā varāhā mahiṣarkṣaśalyā gopucchaśālāvṛkamarkaṭāśca	Bhu-_08.02.022/1 vRkAH varAhAH mahiza-Rkza-SalyAH go-pucCa-SAlAvRka-markawAH-ca
   BhP_08.02.022/3 anyatra kṣudrā hariṇāḥ śaśādayaś caranty abhītā	Bhu-_08.02.022/3 anyatra kzudrAH hariNAH SaSa-AdayaH caranti aBItA
   yadanugraheṇa	yad-anugraheNa
   BhP_08.02.023/1 sa gharmataptaḥ karibhiḥ kareṇubhir vṛto	Bhu-_08.02.023/1 sa Garma-taptaH kariBiH kareNuBiH vRtaH-
   madacyutkarabhairanudrutaḥ	mada-cyutkaraBEH-anudrutaH
   BhP_08.02.023/3 giriṃ garimṇā paritaḥ prakampayan niṣevyamāṇo	Bhu-_08.02.023/3 girim garimNA paritas prakampayan nizevyamANaH-
   'likulairmadāśanaiḥ	ali-kulEH-mada-aSanEH
   BhP_08.02.024/1 saro 'nilaṃ paṅkajareṇurūṣitaṃ jighran vidūrān	Bhu-_08.02.024/1 saraH anilam paFkaja-reNu-rUzitam jiGran vidUrAn
   madavihvalekṣaṇaḥ	mada-vihvala-IkzaNaH
   BhP_08.02.024/3 vṛtaḥ svayūthena tṛṣārditena tat	Bhu-_08.02.024/3 vRtaH sva-yUTena tRzA-arditena tat-
   sarovarābhyāsamathāgamaddrutam	sarovara-aByAsam-aTa-agamat-drutam
   BhP_08.02.025/1 vigāhya tasminnamṛtāmbu nirmalaṃ	Bhu-_08.02.025/1 vigAhya tasmin=-amRta-ambu nirmalam
   hemāravindotpalareṇurūṣitam	hema-aravinda-utpala-reNu-rUzitam
   BhP_08.02.025/3 papau nikāmaṃ nijapuṣkaroddhṛtam ātmānamadbhiḥ snapayan	Bhu-_08.02.025/3 papO nikAmam nija-puzkara-udDRtam AtmAnam-adBiH snapayan
   gataklamaḥ	gata-klamaH
   BhP_08.02.026/1 sa puṣkareṇoddhṛtaśīkarāmbubhir nipāyayan saṃsnapayan	Bhu-_08.02.026/1 sa puzkareNa-udDRta-SIkara-ambuBiH nipAyayan saMsnapayan
   yathā gṛhī	yaTA gRhI
   BhP_08.02.026/3 ghṛṇī kareṇuḥ karabhāṃśca durmado nācaṣṭa kṛcchraṃ kṛpaṇo	Bhu-_08.02.026/3 GRNI kareNuH karaBAn=-ca durmadaH na-Acazwa kRcCram kRpaNaH-
   'jamāyayā	aja-mAyayA
   BhP_08.02.027/1 taṃ tatra kaścin nṛpa daivacodito grāho balīyāṃścaraṇe	Bhu-_08.02.027/1 tam tatra kaScid nRpa dEva-coditaH grAhaH balIyAn=-caraNe
   ruṣāgrahīt	ruzA-agrahIt-
   BhP_08.02.027/3 yadṛcchayaivaṃ vyasanaṃ gato gajo yathābalaṃ so 'tibalo	Bhu-_08.02.027/3 yadRcCayA-evam vyasanam gataH gajaH yaTAbalam saH atibalaH-
   vicakrame	vicakrame
   BhP_08.02.028/1 tathāturaṃ yūthapatiṃ kareṇavo vikṛṣyamāṇaṃ tarasā	Bhu-_08.02.028/1 taTA-Aturam yUTa-patim kareNavaH vikRzyamANam tarasA
   balīyasā	balIyasA
   BhP_08.02.028/3 vicukruśurdīnadhiyo 'pare gajāḥ pārṣṇigrahāstārayituṃ na	Bhu-_08.02.028/3 vicukruSuH-dIna-DiyaH apare gajAH pArzNigrahAH-tArayitum na
   cāśakan	ca-aSakan
   BhP_08.02.029/1 niyudhyatorevamibhendranakrayor vikarṣatorantarato	Bhu-_08.02.029/1 niyuDyatoH-evam-iBa-indra-nakrayoH vikarzatoH-antaratas-
   bahirmithaḥ	bahis-miTas-
   BhP_08.02.029/3 samāḥ sahasraṃ vyagaman mahīpate	Bhu-_08.02.029/3 samAH sahasram vyagamat mahIpate
   saprāṇayościtramamaṃsatāmarāḥ	sa-prANayoH-citram-amaMsata-amarAH
   BhP_08.02.030/1 tato gajendrasya manobalaujasāṃ kālena dīrgheṇa mahān	Bhu-_08.02.030/1 tatas gaja-indrasya manaH-bala-ojasAm kAlena dIrGeNa mahAn
   abhūdvyayaḥ	aBUt-vyayaH
   BhP_08.02.030/3 vikṛṣyamāṇasya jale 'vasīdato viparyayo 'bhūt sakalaṃ	Bhu-_08.02.030/3 vikRzyamANasya jale avasIdataH viparyayaH aBUt sakalam
   jalaukasaḥ	jalOkasaH
   BhP_08.02.031/1 itthaṃ gajendraḥ sa yadāpa saṅkaṭaṃ prāṇasya dehī vivaśo	Bhu-_08.02.031/1 itTam gaja-indraH sa yadApa saFkawam prANasya dehI vivaSaH-
   yadṛcchayā	yadRcCayA
   BhP_08.02.031/3 apārayannātmavimokṣaṇe ciraṃ dadhyāvimāṃ	Bhu-_08.02.031/3 apArayan=-Atma-vimokzaNe ciram daDyO=-imAm
   buddhimathābhyapadyata	budDim-aTa-aByapadyata
   BhP_08.02.032/1 na māmime jñātaya āturaṃ gajāḥ kutaḥ kariṇyaḥ prabhavanti	Bhu-_08.02.032/1 na mAm-ime jQAtaye Aturam gajAH kutas kariNyaH praBavanti
   mocitum	mocitum
   BhP_08.02.032/3 grāheṇa pāśena vidhāturāvṛto 'py ahaṃ ca taṃ yāmi paraṃ	Bhu-_08.02.032/3 grAheNa pASena viDAtuH-AvRtaH api aham ca tam yAmi param
   parāyaṇam	parAyaNam
   BhP_08.02.033/1 yaḥ kaścaneśo balino 'ntakoragāt pracaṇḍavegādabhidhāvato	Bhu-_08.02.033/1 yaH kaScaneSaH balinaH antaka-uragAt pracaNxa-vegAt-aBiDAvataH-
   bhṛśam	BRSam
   BhP_08.02.033/3 bhītaṃ prapannaṃ paripāti yadbhayān mṛtyuḥ pradhāvaty	Bhu-_08.02.033/3 BItam prapannam paripAti yad-BayAt mRtyuH praDAvati-
   araṇaṃ tamīmahi	araNam tamImahi
   BhP_08.03.001/0 śrībādarāyaṇiruvāca	Bhu-_08.03.001/0 SrI-bAdarAyaNiH-uvAca
   BhP_08.03.001/1 evaṃ vyavasito buddhyā samādhāya mano hṛdi	Bhu-_08.03.001/1 evam vyavasitaH budDyA samADAya manaH hRdi
   BhP_08.03.001/3 jajāpa paramaṃ jāpyaṃ prāgjanmany anuśikṣitam	Bhu-_08.03.001/3 jajApa paramam jApyam prAc-janmani anuSikzitam
   BhP_08.03.003/0 śrīgajendra uvāca	BhP_08.03.003/0 SrI-gaja-indraH uvAca
   BhP_08.03.002/1 oṃ namo bhagavate tasmai yata etac cidātmakam	Bhu-_08.03.002/1 om namaH Bagavate tasmE yatas etat cit-Atmakam
   BhP_08.03.002/3 puruṣāyādibījāya pareśāyābhidhīmahi	Bhu-_08.03.002/3 puruzAya-Adi-bIjAya pareSAya-aBiDImahi
   BhP_08.03.003/1 yasminnidaṃ yataścedaṃ yenedaṃ ya idaṃ svayam	Bhu-_08.03.003/1 yasmin=-idam yatas-ca-idam yena-idam yaH idam svayam
