   [śrīḥ]	[SrIH]
   saṃlaṅghya gaṇatrayamādimaṃ śakalayordvayorbhavati pādaḥ /	saMlaFGya gaNa-trayam-Adimam SakalayoH-dvayoH-Bavati pAdaH /
   [saṃ(anunāsika)-laṅghya]	[saM(anu-nAsika)--laFGya]
   yasyāstāṃ piṅgalanāgo vipulāmiti samākhyāti // KedV_2.4 //	yasya-AstAm piFgala-nAgaH vipulAm-iti samAKyAti // KedV_2.4 //
   ubhayārdhayorjakārau dvitīyaturyau gamadhyagau tasyāḥ /	uBaya-arDayoH-jakArO dvitIya-turyO gamaDya-gO tasyAH /
   capaleti nāma tasyā prakīrtitaṃ nāgarājena // KedV_2.5 //	capalA-iti nAma tasyAH prakIrtitam nAga-rAjena // KedV_2.5 //
   ādyaṃ dalaṃ samastaṃ bhajeya lakṣma capalāgataṃ yasyāḥ /	Adyam dalam samastam Bajeya lakzma capala-Agatam yasyAH /
   śeṣe pūrvajalakṣmā mukhacapalāsoditā muninā // KedV_2.6 //	Seze pUrvaja-lakzmA muKa-capalAsa-uditA muninA // KedV_2.6 //
   prākpratipāditamardhe prathame prathametare ca capalāyāḥ /	prAc-pratipAditam-arDe praTame praTama-itare ca capalAyAH /
   lakṣmāśrayate soktā viśuddhadhībhirjaghanacapalā // KedV_2.7 //	lakzma-ASrayate sa-uktA viSudDa-DIBiH-jaGana-capalA // KedV_2.7 //
   [ gīti-prakaraṇam (8-11) ]	[ gIti--prakaraNam (8-11) ]
   āryāorathamadaloktaṃ yadi kathamapi lakṣaṇaṃ bhavedubhayoḥ /	AryAoraTa-m-adala-uktam yadi kaTam-api lakzaNam Bavet-uBayoH /
   dalayoḥ krṭayatiśobhāṃ tāṃ gītiṃ gītavānbhujaṅgeśaḥ // KedV_2.8 //	dalayoH krwayati-SoBAm tAm gItim gItavAn-BujaFga-ISaH // KedV_2.8 //
   āryādvitīyake 'rdhe yadgaditaṃ lakṣaṇaṃ tatsyāt /	AryA-dvitIyake arDe yat-gaditam lakzaNam tat-syAt /
   yadyubhayorapi dalayorupagītiṃ tā munirbrūte // KedV_2.9 //	yadi-uBayoH-api dalayoH-upagItim tAH muniH-brUte // KedV_2.9 //
   āryāśakaladvitayaṃ vyatyayaracitaṃ bhavedyasyāḥ /	AryA-Sakala-dvitayam vyatyaya-racitam Bavet-yasyAH /
   sodgītiḥ kila gaditā tadvadyatyaṃśabhedasaṃyuktā // KedV_2.10 //	sa-udgItiH kila gaditA tadvat-yati-aMSa-Beda-saMyuktAH // KedV_2.10 //
   āryāpūrvārdhaṃ yadi guruṇaikenādhikena nidhane yuktam /	AryA-pUrva-arDam yadi guruNA-ekena-aDikena niDane yuktam /
   itarattadvannikhilaṃ bhavati yadīyamarddhamuditāryāgītiḥ // KedV_2.11 //	itarat-tadvat-niKilam Bavati yadi-iyam-ardDa-mudita-Arya-agItiH // KedV_2.11 //
   [ vaitālīya-prakaraṇam (12-20) ]	[ vEtAlIya--prakaraNam (12-20) ]
   ṣaḍviṣame 'ṣṭau same kalāstāśca same syurno nirantarāḥ /	zaz-vizame azwO same kalAH-tAH-ca same syuH-naH nirantarAH /
   na samātra parāśritā kalā vaitālīye 'nte ralā guruḥ // KedV_2.12 //	na samA-atra para-ASritA kalA vEtAlIye ante ralA guruH // KedV_2.12 //
   paryante ryau tathaiva śeṣamaupacchandasikaṃ sudhībhiruktam // KedV_2.13	paryante ryO taTA-eva Sezam-OpacCandasikam suDIBiH-uktam // KedV_2.13
   āpātalikā kathiteyaṃ bhādgurukāvatha pūrvavadanyat // KedV_2.14 //	ApAtalikA kaTitA-iyam BAdgurukO=-aTa pUrvavat-anyat // KedV_2.14 //
   tṛtīyayugdakṣiṇāntikā samastapādeṣu dvitīyalaḥ // KedV_2.15 //	tRtIya-yuj-dakziNa-antikA samasta-pAdezu dvitIyalaH // KedV_2.15 //
   udīcyavṛttirdvitīyalaḥ sakto 'greṇa bhavedayugmayoḥ // KedV_2.16 //	udIcya-vRttiH-dvitIyalaH saktaH agreNa Bavet-ayugmayoH // KedV_2.16 //
   pūrveṇa yuto 'tha pañcamaḥ prācyavṛttiruditeti yugmayoḥ // KedV_2.17 //	pUrveNa yutaH aTa paQcamaH prAcya-vRttiH-uditA-iti yugmayoH // KedV_2.17 //
   yadā samāvojayugmakau pūrvayorbhavati tatpravṛttakam // KedV_2.18 //	yadA samO=-oja-yugmakO pUrvayoH-Bavati tad-pravRttakam // KedV_2.18 //
   asya yugmaracitā 'parāntikā // KedV_2.19 //	asya yugma-racitA apara-antikAH // KedV_2.19 //
   ayugbhavā cāruhāsinī // KedV_2.20 //	ayugBavA cAru-hAsinI // KedV_2.20 //
   [ vaktra-prakaraṇam (21-30) ]	[ vaktra--prakaraNam (21-30) ]
   vaktraṃ nādyānnasau syātāmabdheryo 'nuṣṭubhi khyātam // KedV_2.21 //	vaktram na-adyAt-nasO syAtAm-abDeH-yaH anuzwuBi KyAtam // KedV_2.21 //
   yujorjena saridbhartuḥ pathyāvaktraṃ prakīrtitam // KedV_2.22 //	yujorjena sarit-BartuH paTyA-vaktram prakIrtitam // KedV_2.22 //
   ojayorjena vāridhestadeva viparītādi // KedV_2.23 //	ojaya-Urjena vAriDeH-tat-eva viparIta-Adi // KedV_2.23 //
   capalāvaktramayujornakāraśvetpayorāśeḥ // KedV_2.24 //	capalA-vaktra-mayu-joH-nakAraSvet-paya-urASeH // KedV_2.24 //
   yasyā laḥ saptamo yugme sā yugmavipulā matā // KedV_2.25 //	yasyAH laH saptamaH yugme sA yugma-vipulA matA // KedV_2.25 //
   sautavasyā 'khileṣvapi // KedV_2.26 //	sOtavasyAH aKilezu-api // KedV_2.26 //
   bhenā 'bdhito bhādvipulā // KedV_2.27 //	BenAH abDitaH BAt-vipulA // KedV_2.27 //
   itthamanyā raścaturthāt // KedV_2.28 //	itTam-anyAH raH-caturTAt // KedV_2.28 //
   no 'mbudheścennavipulā // KedV_2.29 //	naH ambuDeH-ca-inna-vipulA // KedV_2.29 //
   to 'bdhestatpūrvānyā bhavet // KedV_2.30 //	taH abDeH-tat-pUrvA-anyA Bavet // KedV_2.30 //
   [ mātrāsamaka-prakaraṇam (31-38) ]	[ mAtrA-samaka-prakaraNam (31-38) ]
   dviguṇitavasuladhuracaladhṛtiriti // KedV_2.31 //	dvi-guNita-vasulaDura-cala-DRtiH-iti // KedV_2.31 //
   mātrāsamakaṃ navamo lgāntam // KedV_2.32 //	mAtrA-samakam navamaH lgAntam // KedV_2.32 //
   jo nlāvathāmbudherviślokaḥ // KedV_2.33 //	jaH nlAvaTa-ambuDeH-viSlokaH // KedV_2.33 //
   tadyugalādvānavāsikā syāt // KedV_2.34 //	tad-yugalAt-vAnavAsikA syAt // KedV_2.34 //
   bāṇāṣṭanavasu yadi laścitā // KedV_2.35 //	bANa-azwa-navasu yadi laScitA // KedV_2.35 //
   upacitrā navame parayukte // KedV_2.36 //	upacitrAH navame para-yukte // KedV_2.36 //
   yadatītakṛtavividhalakṣmayutairmātrāsamādipādaiḥ kalitam /	yad-atIta-kRta-viviDa-lakzma-yutEH-mAtrA-samAdi-pAdEH kalitam /
   aniyatavṛttaparimāṇayuktaṃ prathitaṃ jagatsu pādākulakam // KedV_2.37 //	aniyata-vRtta-parimANa-yuktam praTitam jagatsu pAda-Akulakam // KedV_2.37 //
   vṛttasya lā vinā varṇairgā varṇā gurubhistathā /	vRttasya lA vinA varNEH-gA varNAH guruBiH-taTA /
   guruvo lairdale nityaṃ pramāṇamiti niścitam // KedV_2.38 //	guruvaH lEH-dale nityam pramANam-iti niScitam // KedV_2.38 //
   śikhiguṇitadaśalaghuracitamapagatalaghuyugalamaparamidamakhilam /	SiKi-guNita-daSa-laGu-ra-citam-apagata-laGu-yugalam-a-param-idam-aKilam /
   saguru śakalayugalakamapi suparighaṭitalalitapadavitati bhavati śikhā //	sa-guru Sakala-yugalakam-api su-pariGawita-lalita-pada-vitati Bavati SiKA //
   KedV_2.39 //	KedV_2.39 //
   vinimayavinihitaśakalayugalakalitapadavitativiracitaguṇanicayā /	vinimaya-vinihita-Sakala-yugala-kalita-pada-vitati-viracita-guNa-nicayAH /
   śrutisukhakṛdiyamapi jagati ñi jaśira upagatavati sati bhavati khajā //	Sruti-suKa-kRt-iyam-api jagati Qi jaSiraH upagatavati sati Bavati KajAH //
   KedV_2.40 //	KedV_2.40 //
   aṣṭāvardhe gā dvayabhyastā yasyāḥ sā 'naṅgakrīḍoktā /	azwO=-arDe gAH dvayaByaH-tAH yasyAH sA anaFga-krIxA-uktA /
   dalamaparamapi vasuguṇitasalilanidhilaghu kaviracitaṃ padavitati bhavati	dalam-aparam-api vasu-guNita-salila-niDi-laGu kavi-racitam pada-vitati Bavati
   // KedV_2.41 //	// KedV_2.41 //
   triguṇanavalaghuraṃvasitigururitidalayugakṛtatanuratirucirā // KedV_2.42	triguNa-navalaGuraMvasiti-guruH-iti-dala-yuga-kRta-tanuH-ati-rucirA // KedV_2.42
   iti śrīmadbhaṭṭarāmeśvarasūnunārāyaṇabhaṭṭaviracitāyāṃ	iti SrImat-Bawwa-rAmeSvara-sUnu-nArAyaNa-Bawwa-viracitAyAm
   vṛttaratnākaravyākhyāyāṃ	vRtta-ratnAkara-vyAKyAyAm
   mātrāvṛttādhikāro nāma dvitīyo 'dhyāyaḥ //	mAtrAvRttA-aDikAraH nAma dvitIyaH aDyAyaH //
   tṛtīyo 'dhyāyaḥ	tRtIyaH aDyAyaH
   guḥ śtrīḥ // KedV_3.1 //	guH StrIH // KedV_3.1 //
   gau strī // KedV_3.2 //	gO strI // KedV_3.2 //
   mo nārī // KedV_3.3 //	maH nArI // KedV_3.3 //
   ro mṛgī // KedV_3.4 //	raH mRgI // KedV_3.4 //
   mgau cetkanyā // KedV_3.5 //	mgO ced-kanyA // KedV_3.5 //
   mgau giti paṅktiḥ // KedV_3.6 //	mgO giti paFktiH // KedV_3.6 //
   tyau stastanumadhyā // KedV_3.7 //	tyO staH-tanu-maDyAH // KedV_3.7 //
   śaśivadanā nyau // KedV_3.8 //	SaSi-vadanAH nyO // KedV_3.8 //
   vidyullekhā mo maḥ // KedV_3.9 //	vidyut-leKA maH maH // KedV_3.9 //
   tsā cedvasumatī // KedV_3.10 //	tsA ced-vasumatI // KedV_3.10 //
   msau gaḥ syānmadalekhāḥ // KedV_3.11 //	msO gaH syAt-mada-leKAH // KedV_3.11 //
   bhau giti citrapadā gaḥ // KedV_3.12 //	BO giti citra-padAH gaH // KedV_3.12 //
   mo mo go go vidyunmālā // KedV_3.13 //	maH maH gaH gaH vidyunmAlA // KedV_3.13 //
   māṇavakaṃ bhāttalagā // KedV_3.14 //	mANavakam BAt-tala-gA // KedV_3.14 //
   mnau gau haṃsarutametat // KedV_3.15 //	mnO gO haMsa-rutam-etat // KedV_3.15 //
   rjau samānikā galau ca // KedV_3.16 //	rjO samAnikAH galO ca // KedV_3.16 //
   pramāṇikā jarau lagau // KedV_3.17 //	pramANikAH jarO lagO // KedV_3.17 //
   vitānamābhyāṃ yadanyat // KedV_3.18 //	vitAnam-AByAm yat-anyat // KedV_3.18 //
   rāmnasāviha halamukhī // KedV_3.19 //	rAmnasO=-iha hala-muKI // KedV_3.19 //
   bhujagaśiśubhṛtāṃ nau maḥ // KedV_3.20 //	Bujaga-SiSuBRtAm nO maH // KedV_3.20 //
   msā jgau śuddhavirāḍidaṃ matam // KedV_3.21 //	msA jgO SudDa-virAxidam matam // KedV_3.21 //
   mnau jgau ceti paṇavanāmakam // KedV_3.22 //	mnO jgO ca-iti paNava-nAmakam // KedV_3.22 //
   rjau ragau mayūrasāriṇī syāt // KedV_3.23 //	rjO ragO mayUrasAriNI syAt // KedV_3.23 //
   bhmau sagayuktau rukmavatīyam // KedV_3.24 //	BmO sagayuktO rukmavatI-iyam // KedV_3.24 //
   mattā jñeyā mabhasagayuktā // KedV_3.25 //	mattAH jQeyA maBasagayuktAH // KedV_3.25 //
   narajagaurbhavenmanoramā // KedV_3.26 //	naraja-gOH-Bavet-manoramA // KedV_3.26 //
   tjau jo guruṇeyamupasthitā // KedV_3.27 //	tjO jaH guruNA-iyam-upasTitAH // KedV_3.27 //
   syādindravajrā yadi tau jagau gaḥ // KedV_3.28 //	syAt-indra-vajrAH yadi tO jagO gaH // KedV_3.28 //
   upendravajrā jatajāstato gau // KedV_3.29 //	upendra-vajrAH jata-jAH-tatas gO // KedV_3.29 //
   pādau yadīyāvupajātayastāḥ // KedV_3.30 //	pAdO yadIyO=-upajAtayaH-tAH // KedV_3.30 //
   smaranti jātiṣvidameva nāma me // KedV_3.31 //	smaranti jAtizu-idam-eva nAma me // KedV_3.31 //
   najajalagairgaditā sumukhī // KedV_3.32 //	naja-jala-gEH-gaditA sumuKI // KedV_3.32 //
   dodhakavṛttamidaṃ bhabhabhādgau // KedV_3.33 //	doDaka-vRttam-idam BaBaBAt-gO // KedV_3.33 //
   śālinyuktā mtau tagau go 'bdhilokaiḥ // KedV_3.34 //	SAlinI-uktAH mtO tagO gaH abDi-lokEH // KedV_3.34 //
   vātormīyaṃ kathitā mbhau tagau gaḥ // KedV_3.35 //	vAtormIyam kaTitAH mBO tagO gaH // KedV_3.35 //
   vāṇarasaiḥ syādbhatanagagaiḥ śrīḥ // KedV_3.36 //	vANa-rasEH syAt-Batana-gagEH SrIH // KedV_3.36 //
   mbhau nlau gaḥ syād bhramaravilasitam // KedV_3.37 //	mBO nlO gaH syAt Bramara-vilasitam // KedV_3.37 //
   rānnarāviha rathoddhatā lagau // KedV_3.38 //	rAnnarO=-iha raTa-udDatA lagO // KedV_3.38 //
   svāgateti ranabhādguruyugmam // KedV_3.39 //	svAgata-iti ranaBAt-guru-yugmam // KedV_3.39 //
   nanaralagururacitā vṛntā // KedV_3.40 //	nanarala-guru-racitAH vRntA // KedV_3.40 //
   nanaramagurubhiśca bhadrikā // KedV_3.41 //	nanaram-aguruBiH-ca BadrikA // KedV_3.41 //
   śyenikā rajau ralau gururpadā // KedV_3.42 //	SyenikA rajO ralO guruH-padAH // KedV_3.42 //
   mauktikamālā yadi bhatanādgau // KedV_3.43 //	mOktika-mAlA yadi BatanAt-gO // KedV_3.43 //
   upasthitamidaṃ jsau tādgakārau // KedV_3.44 //	upasTitam-idam jsO tAdgakArO // KedV_3.44 //
   candravartma nigadanti ranabhasaiḥ // KedV_3.45 //	candravartma nigadanti ranaBasEH // KedV_3.45 //
   jatau tu vaṃśasthamudīritaṃ jarau // KedV_3.46 //	jatO tu vaMSa-sTam-udIritam jarO // KedV_3.46 //
   syādindravaṃśā tatajai rasaṃyutaiḥ // KedV_3.47 //	syAt-indra-vaMSA tata-jEH rasaMyutEH // KedV_3.47 //
   iha toṭakamambudhisaiḥ prathitam // KedV_3.48 //	iha towakam-ambuDi-sEH praTitam // KedV_3.48 //
   drutavilambitamāha nabhau bharau // KedV_3.49 //	druta-vilambitam-Aha naBO BarO // KedV_3.49 //
   minuśaraviratirnau myau puṭo 'yam // KedV_3.50 //	minu-Sara-viratiH-nO myO puwaH ayam // KedV_3.50 //
   pramuditavadanā bhavennau ca rau // KedV_3.51 //	pramudita-vadanAH Bavet-nO ca rO // KedV_3.51 //
   nayasahitau nyau kusumavacitrā // KedV_3.52 //	naya-sahitO nyO kusumavacitrAH // KedV_3.52 //
   rasairjasajasā jaloddhatagatiḥ // KedV_3.53 //	rasEH-jasajasA jala-udData-gatiH // KedV_3.53 //
   caturjagaṇaṃ vada mauktikadāma // KedV_3.54 //	catur-jagaNam vada mOktika-dAmaH // KedV_3.54 //
   bhujaṅgaprayātaṃ bhavedyaiścatubhiḥ // KedV_3.55 //	BujaFga-prayAtam Bavet-yEH-catuBiH // KedV_3.55 //
   raiścaturbhiryutā sragviṇī sammatā // KedV_3.56 //	rEH-caturBiH-yutA sragviNI sammatAH // KedV_3.56 //
   bhuvi bhavennabhajaraiḥ priyaṃvadā // KedV_3.57 //	Buvi Bavet-naBajarEH priyaMvadA // KedV_3.57 //
   tyau tyau maṇimālā cchinnā guhavaktraiḥ // KedV_3.58 //	tyO tyO maNimAlA cCinnAH guha-vaktrEH // KedV_3.58 //
   dhīrairabhāṇi lalitā tabhaujarau // KedV_3.59 //	DIrEH-aBANi lalitA taBOjarO // KedV_3.59 //
   pramitākṣarā sajasasairuditā // KedV_3.60 //	pramita-akzarA sajasasEH-uditA // KedV_3.60 //
   nanabharasahitā mahitojjvalā // KedV_3.61 //	nanaBara-sahitAH mahita-ujjvalA // KedV_3.61 //
   pañcāśvaiśchinnā vaiśyadevī mamau yau // KedV_3.62 //	paQcASvEH-CinnA vESya-devI mamO yO // KedV_3.62 //
   abdhyaṣṭābhirjaladharamālā mbhau smau // KedV_3.63 //	abDi-azwABiH-jalaDara-mAlA mBO smO // KedV_3.63 //
   iha navamālikā najabhayaiḥ syāt // KedV_3.64 //	iha navamAlikAH naja-BayEH syAt // KedV_3.64 //
   svaraśaraviratirnanau rau prabhā // KedV_3.65 //	svara-Sara-viratiH-nanO rO praBA // KedV_3.65 //
   bhavati najāvatha mālatī jarau // KedV_3.66 //	Bavati najO=-aTa mAlatI jarO // KedV_3.66 //
   jabhau jarau vadati pañcāmaram // KedV_3.67 //	jaBO jarO vadati paQca-amaram // KedV_3.67 //
   abhinavatāmarasaṃ najajādyaḥ // KedV_3.68 //	aBinava-tAm-arasam naja-ja-AdyaH // KedV_3.68 //
   turagarasayatirnau tatau gaḥ kṣamā // KedV_3.69 //	turaga-rasayatiH-nO tatO gaH kzamA // KedV_3.69 //
   mnau jrau gastridaśayatiḥ praharṣiṇīam // KedV_3.70 //	mnO jrO gaH-tridaSa-yatiH praharziNIam // KedV_3.70 //
   caturgrahairatirucirā jabhasjagāḥ // KedV_3.71 //	catur-grahEH-ati-rucirA jaBasjagAH // KedV_3.71 //
   vedai randhrairmtau yasagā mattamayūram // KedV_3.72 //	vedEH ranDrEH-mtO yasa-gAH matta-mayUram // KedV_3.72 //
   ( upasthitamidaṃ jsau tsau sagurukaṃ cet ) // KedV_3.73 //	( upasTitam-idam jsO tsO sa-gurukam ced ) // KedV_3.73 //
   sajasā jagau bhavati mañjubhāṣiṇī // KedV_3.74 //	sajasA jagO Bavati maQju-BAziNI // KedV_3.74 //
   nanatatagurubhiścandrikāśvartubhiḥ // KedV_3.75 //	nanatata-guruBiH-candrikA-aSvartuBiH // KedV_3.75 //
   mtau nsau gāvakṣagrahaviratisambādhā // KedV_3.76 //	mtO nsO gAvakza-graha-virati-sambADA // KedV_3.76 //
   nanarasalaghugaiḥ svarairaparājitā // KedV_3.77 //	nana-rasa-laGu-gEH svarEH-aparAjitA // KedV_3.77 //
   nanabhanalaghugaiḥ praharaṇakalitā // KedV_3.78 //	nanaBana-laGu-gEH praharaNa-kalitAH // KedV_3.78 //
   uktā vasantatilakā tabhajā jagau gaḥ // KedV_3.79 //	uktA vasantatilakA taBajAH jagO gaH // KedV_3.79 //
   siṃhonnateyamuditā munikāśyapena // KedV_3.80 //	siMha-unnatA-iya-m-uditAH munikASyapena // KedV_3.80 //
