   Sūtrārthasamuccayopadeśaḥ	SUtra arTa samuccaya upadeSaH
   kurvannapi nirvāṇāśayatā, vipuladāne 'pi vipākanirapekṣatā,	kurvan= api nirvANa ASaya tA, vipula dAne api vipAka nirapekza tA,
   sarvadharmānutpādajñāne 'pi karmavipākānutsargaḥ,	sarva Darma anutpAda jQAne api karma vipAkAn utsargaH,
   sarvadharmanairātmyajñāne 'pi sattveṣu karuṇotpādaḥ / mūlasamāḥ śraddhā,	sarva Darma nErAtmya jQAne api sattvezu karuNA utpAdaH / mUla samAH SradDA,
   śravaṇaṃ, tyāgaḥ , kṣāntiśca / kṣetropamaṃ śīlam / bandhusamāḥ	SravaNaM, tyAgaH , kzAntiH ca / kzetra upamam SIlam / banDu samAH
   daśapāramitāḥ / ācāryopamāstu ṣaḍanusmṛtayaḥ / upādhyāyopamāstu	daSa pAramitAH / AcArya upamAH tu zaz anusmRtayaH / upADyAya upamAH tu
   āryakāśyapa paripṛcchāsūtre bodhicittāvismaraṇāya catvāro dharmāḥ /	Arya kASya pa  paripRcCA sUtre boDi cittA vismaraNAya catvAraH DarmAH /
   śreṣṭhisamāḥ śikṣāsamuccaye caturdaśāpakārapratipakṣāḥ / bhaginīsamāni	SrezWi samAH SikzA samuccaye caturdaSa apakAra pratipakzAH / BaginI samAni
   caturapramāṇāni /	catura pramANAni /
   dāsopamāni catuḥsaṃgrahavastūni / prajopamastu	dAsa upamAni catur saMgraha vastUni / prajA upamaH tu
   śva dāsa cāṇḍālavadahaṅkāra nāśaḥ / netropame tu āśayādhyāśayaviśuddhī /	Sva dAsa  cANxAla vat ahaFkAra nASaH / netra upame tu ASaya aDyASaya viSudDI /
   dhātrīsamaṃ kalyāṇamitram / rājopamaṃ triratnam / toyasaṃkāropamā	DAtrI samam kalyANa mitram / rAja upamam tri ratnam / toya saMkAra upamA
   trimaṇḍalapariśuddhiḥ / mārgadarśakasamāḥ	tri maNxala pariSudDiH / mArga darSaka samAH
   smṛti samprajanya yoniśomanasikārāpramādāḥ,	smRti  samprajanya  yoni Somana sikArA pramAdAH,
   caturviparyāsapratipakṣasevanañca / carrnavat sattvāparityāgānugrahau /	catur viparyAsa pratipakza sevanaQca / carrna vat sattva aparityAga anugrahO /
   alaṅkāropamāḥ śraddhā, śīlaṃ, tyāgaḥ, śrutaṃ, prajñā ca / vyādhipīḍopamaṃ	alaFkAra upamAH SradDA, SIlaM, tyAgaH, Srutan, prajQA ca / vyADi pIxA upamam
   tu ādhyātmikabāhyavastvabhiniviṣṭacittam / hatacittapuruṣavat gṛhastho	tu ADyAtmika bAhya vastu aBinivizwa cittam / hata citta puruza vat gRhasTaH 
   bodhisattva evaṃ vicārayati  kadāhaṃ brahmacārī bhaveyam / pravrajita evaṃ	boDisattvaH evam vicArayati kadA aham brahmacArI Baveyam / pravrajitaH evam
   cintayati  kadāhaṃ jagato duḥkhāni moktuṃ kṣama iti / kusīdopamaṃ	cintayati kadA aham jagataH duHKAni moktum kzamaH iti / kusIda upamam
   gṛhasthena kṣetrādīnām aparityāgaḥ / pravrajitena dauḥśīlyādīnāmaprahāṇam	gRhasTena kzetra AdInAm aparityAgaH / pravrajitena dOHSIlya AdInAm aprahANam
   / śīlaskandhasūtre  'bhikṣavaḥ, pravrajitena hastiyuddhadarśanamapi	/ SIla skanDa sUtre aBikzavaH, pravrajitena hasti yudDa darSanam api
   mithyājīva iti uktam /	miTyA AjIvaH iti uktam /
   susvabhāvopamo yoniśomanasikāravān / mūkopamaḥ paradoṣa bhrāntyanākhyātā,	su svaBAva upamaH yoni Soma nasikAravAn / mUka upamaH para doza  BrAnti anAKyAtA,
   svaguṇānākhyātā, aparanindakaśca / andhopamo 'paradoṣadraṣṭā /	sva guNAn AKyAtA, apara nindakaH ca / anDa upamaH apara doza drazwA /
   gṛhītacauropamaḥ saddharmavināśe saddharmagrāhakaḥ / bālopamaḥ suvāk,	gRhIta cOra upamaH sat Darma vinASe sadDarma grAhakaH / bAla upamaH suvAk,
   sphūrtimān, sukhadaḥ, sutoṣaḥ, supoṣaḥ, subharaḥ, santuṣṭaśca /	sPUrtimAn, suKa daH, su tozaH, su pozaH, su BaraH, santuzwaH ca /
   dūtopamastu bodhisattvo bahvartho bahukriya udāracittaśca / amātyopamo	dUta upamaH tu boDisattvaH bahu arTaH bahukriyaH udAra cittaH ca / amAtya upamaH 
   dṛḍhapratijñaḥ / paṇḍitopamo 'pratihatasattvaḥ pratyupakārī ca /	dRXa pratijQaH / paNxita upamaH apratihata sattvaH pratyupakArI ca /
   śiṣyopamastu trirdivā triśca rātrau guruparyupāsakaḥ,	Sizya upamaH tu tris divA tris ca rAtrO guru paryupAsakaH,
   kṛtapuṇyasambhārasañcayaḥ saṃvarapoṣakaśca / pratyutthāpakopamaḥ	kRta puNya samBAra saQcayaH saMvara pozakaH ca / pratyutTApaka upamaH
   sarvasattvabuddhatvaprāpaṇapūrvam svabuddhatvakāmaḥ / andhanāyakopamaḥ	sarva sattva budDa tva prApaNa pUrvam sva budDa tva kAmaH / anDa nAyaka upamaH
   svabuddhabhāvapūrva parārthakriyāḥ / prathamakalpamanuṣyopama	sva budDa BAva pUrva para arTa kriyAH / praTama kalpa manuzya upama
   ācaraṇa śīla jīvikā vidhi dṛṣṭisampannaḥ / sakāmapuruṣopamaḥ	AcaraNa  SIla jIvikA  viDi dRzwi sampannaH / sa kAma puruza upamaH
   samastacaryāpathaparārthapariṇāmanaḥ, yathā  'āryaratnameghasūtroktam' /	samasta caryA paTa para arTa pariNAmanaH, yaTA  aArya ratna meGa sUtra uktam a /
   andhakāropamo mahāmadhyamakārthanityavāsaḥ /	anDakAra upamaH mahA maDyamaka arTa nitya vAsaH /
   ghātakopamastyaktamithyādṛṣṭyutpādaḥ / cauropamaḥ tyaktapramādānādaraḥ /	GAtaka upamaH tyakta miTyA dRzwi utpAdaH / cOra upamaH tyakta pramAdAn AdaraH /
   śatrūpamastu ahrīpramādaḥ / mūrkhopamaḥ smṛti samprajanyavirahitaḥ /	Satru upamaH tu ahrI pramAdaH / mUrKa upamaH smRti  samprajanya virahitaH /
   mattopamaḥ catuḥkṛṣṇaḥ / tiryagupamo 'jñātaśikṣānayaḥ / vadhikopamo	matta upamaH catur kRzNaH / tiryak upamaH ajQAta SikzA nayaH / vaDika upamaH 
   niṣkaruṇācāraḥ / akṛtajñopamastyaktaprātimokṣasaṃvaraḥ / anāthopama	nizkaruNa AcAraH / akRtajQa upamaH tyakta prAtimokza saMvaraH / anATA upama
   upāyakauśalyarahitaḥ / unmattopamaḥ kāryākāryānabhijñatā /	upAya kOSalya rahitaH / unmatta upamaH kArya akArya anaBijQa tA /
   mārābhibhūtopamaḥ pañca pañcāśad dvātriṃśadāntarāyikadharmāmabhijñatā / ke	mAra aBiBUta upamaH paQca  paQcASat  dvAtriMSat AntarAyika DarmAm aBijQa tA / ke
   ca (te) pañcapañcāśad? 'āryabodhisattvapiṭake' tadyathā  āntarāyika eko	ca (te) paQca paQcASad? aArya boDisattva piwake a tat yaTA AntarAyikaH ekaH 
   dharmaḥ  pramādaḥ / āntarāyikau dvau dharmau ahrīkyam anapatrāpyañca /	DarmaH pramAdaH / AntarAyikO dvO DarmO ahrIkyam anapatrApi aQca /
   trayaḥ  rāgo dveṣo mohaśca / catvāraḥ  catasraḥ asadgatayaḥ /	trayaH rAgaH dvezaH mohaH ca / catvAraH catasraH asat gatayaH /
   pañcaprāṇātipāto 'dattādānam kāmamithyācāro mṛṣāvādo madyapānaṃ ca /	paQca prANa atipAtaH adatta AdAnam kAma miTyA AcAraH mRzAvAdaH madya pAnam ca /
   ṣaḍ buddha dharma saṃgha śīla ācārya jyeṣṭhānādaraḥ / sapta  saptavidhā	zaz  budDa  Darma  saMGa  SIla  AcArya  jyezWa anAdaraH / sapta saptaviDA
   mānāḥ / aṣṭau mithyāṣṭakam / nava  navadhā cittāghātavastūni / daśa 	mAnAH / azwO miTyA azwakam / nava navaDA citta AGAta vastUni / daSa 
   daśākuśalāni iti prāptam /	daSa akuSalAni iti prAptam /
   dvātriṃśad āntarāyikā dharmā api 'āryamahāyānopadeśasūtre' tadyathā 	dvAtriMSat AntarAyikAH DarmAH api aArya mahAyAna upadeSa sUtre a tat yaTA 
   'putri! mahāyānāntarāyikā dharmāstu dvātriṃśat / tairāntarāyikaiḥ	aputri! mahAyAna antarAyikAH DarmAH tu dvAtriMSat / tEH AntarAyikEH
   sarvajñatāyāṃ śīghraṃ na niryāṇaṃ bhavati / ke ca dvātriṃśat? tadyathā 	sarvajQa tAyAm SIGram na niryANam Bavati / ke ca dvAtriMSat? tat yaTA 
   śrāvakapratyekabuddhayānakāmitā, indrabrahmatvakāmitā,	SrAvaka pratyekabudDa yAnaka amitA, indra brahma tva kAmi tA,
   janmasaṃsthabrahmacaryam, kuśalamūlaikarāgaḥ, bhogasampatmātsaryam,	janma saMsTa brahmacaryam, kuSala mUla eka rAgaH, Boga sampatmAtsaryam,
   sattvaviṣamadānam, śīlaśaithilyam, paracittārakṣaṇam,	sattva vizama dAnam, SIla SETilyam, para cittA rakzaNam,
   vyāpāda pratighānuśayaḥ, taccittalayaḥ, muṣitasmṛtitā, śravaṇānarthikatā,	vyApAda  pratiGa anuSayaH, tad citta layaH, muzita smRti tA, SravaNa anarTika tA,
   avicāraṇā, anāryacaryā, mānātimānavivṛddhiḥ,	avicAraNA, anArya caryA, mAna atimAna vivRdDiH,
   kāya vāk citta karmāpariśuddhiḥ, saddharmāparirakṣaṇam,	kAya vAk  citta karma apariSudDiH, sadDarma aparirakzaNam,
   ācāryadharmapraticchādanam, saṃgrahavastūtsargaḥ, sammodanīyadharmatyāgaḥ,	AcArya Darma praticCAdanam, saMgraha vastu utsargaH, sammodanIya Darma tyAgaH,
   pāpamitrasevanam, bodhyapariṇāmaneti triskandhavipakṣatā,	pApa mitra sevanam, boDya pariNAmanA iti tri skanDa vipakza tA,
   alpakuśalamūlamanyanā, anupāyapatitabuddhiḥ, parāṅmukhībhūya	alpa kuSala mUla manyanA, anupAya patita budDiH, parAFmuKIBUya
   triratnāśaṃsanam, bodhisattvavyāpādacintanam / aśrutadharmaprahāṇam,	tri ratna ASaMsanam, boDisattva vyApAda cintanam / aSruta Darma prahANam,
   mārakarmānavabodhaḥ, lokāyatamantragrahaṇam, sattvāparipācanam,	mAra karma anavaboDaH, lokAyata mantra grahaNam, sattva aparipAcanam,
   saṃsārādaparikheda', iti /	saMsArAt apariKeda a, iti /
   'putri! dvātriṃśad ime mahāyānasya āntarāyikāḥ samyak vyapadiṣṭāḥ /	aputri! dvAtriMSat ime mahAyAnasya AntarAyikAH samyak vyapadizwAH /
   tairantarāyaiḥ sarvajñatā' niḥsaraṇam / kiṃ tarhi? tathāpi putri, yāvanto	tEH antarAyEH sarvajQa tA a niHsaraNam / kim tarhi? taTA api putri, yAvantaH 
   hi mahāyānaguṇā antarāyā api tāvantastāvad ityuktam / api ca, aprameyā	hi mahAyAna guNAH antarAyAH api tAvantaH tAvat iti uktam / api ca, aprameyA
   antarāyadharmā bahuṣu sūtreṣu dṛśyante, kintu atra granthagauravāt na	antarAya DarmAH bahuzu sUtrezu dRSyante, kintu atra granTa gOravAt na
   nirupyante / etanmārgasthīkṛtādikarmikabodhisattvaistattatsūtreṣu	nirupyante / etad mArga sTIkRta Adi karmika boDisattvEH tat tad sUtrezu
   draṣṭavyam, āsthitaye ca prayatitavyam /'	drazwavyam, AsTitaye ca prayatitavyam /a
   aparāṇyapi sāṃkathyāni bahūni vartante sughoraparuṣaṃ suduḥsahaṃ dukhaṃ	aparANi api sAMkaTyAni bahUni vartante  su Gora paruzam su duHsaham duKam
   ciraṃ sahyata idamapi mahadāścaryam / caturoghavikṣiptaṃ paunaḥpunyena	ciram sahyate idam api mahat AScaryam / catur oGa vikziptam pOnaHpunyena
   kaṅkālayānārohaṇaṃ tadapi mahadāścaryam / bhāryā gṛhaṃ ca prahāya	kaFkAlayAna ArohaNam tat api mahat AScaryam / BAryA gRham ca prahAya
   suvratādāne 'pi sadā kāyavāṅmanovikṣepa idamapi mahadāścaryam /	suvrata AdAne api sadA kAya vAc manaH vikzepaH idam api mahat AScaryam /
   svalpamātrasyāpi kuśalamūlasya abhāve 'pi tasyaivārthato	su alpa mAtrasya api kuSala mUlasya aBAve api tasya eva arTa taH 
   buddhajñānagaveṣaṇam idamapi mahadāścaryam pratimokṣaśikṣābhāve 'pi 	budDa jQAna gavezaNam idam api mahat AScaryam pratimokza SikzA aBAve api 
   mahāyānaśreṣṭhabodhidvayagaveṣaṇam idamapi mahadāścaryam / ityādiṣu	mahAyAna SrezWa boDi dvaya gavezaNam idam api mahat AScaryam / ityAdizu
   mahāścaryeṣu bahuṣvapi satsu, jambūdvīpapuruṣasya vikalpācārāḥ kathaṃ	mahA AScaryezu bahuzu api satsu, jambUdvIpa puruzasya vikalpa AcArAH kaTam
   vaktuṃ śakyante / tasmād bhavanto muktikāmā vidvāṃsastairunmattaiḥ saha	vaktum Sakyante / tasmAt BavantaH mukti kAmAH vidvAMsaH tEH unmattEH saha
   akṛtasaṃsargā apramattās tiṣṭhantu / evaṃ te karuṇāviṣayatvavyatiriktāḥ	akRta saMsargAH apramattAH tizWantu / evam te karuNA vizaya tva vyatiriktAH
   uttamamārgavyapadeśe 'pi tatra na praviśanti, kimahaṃ karavāṇi / yāvad	uttama mArga vyapadeSe api tatra na praviSanti, kim aham karavANi / yAvat 
   abhijñatā na prāpyate tāvad anyeṣāṃ vipākāsaṃbhavāt khaḍgavat sthātavyam /	aBijQa tA na prApyate tAvat anyezAm vipAka asaMBavAt Kaxga vat sTAtavyam /
   sadgururgaveṣaṇīyaḥ, sadā sūtrāṇi ca draṣṭavyāni /	sat guruH gavezaNIyaH, sadA sUtrANi ca drazwavyAni /
   sūtrasamuccayopadeśo mahāvidvadācāryadīpaṅkaraśrījñāna viracitaḥ samāptaḥ	sUtra samuccaya upadeSaH mahA vidvat AcArya dIpaFkara SrI jQAna viracitaH samAptaH
   tenaiva bhāratīyamahopādhyāyena mahāsaṃśodhakalokacakṣuṣā jayaśīlena (chul	tena eva BAratIya mahA upADyAyena mahA saMSoDaka loka cakzuzA jaya SIlena (Sul
   khrimas rgyal va) ca anūdya sampādya ca nirṇītaḥ //	KrimaH rgyat va) ca anUdya sampAdya ca nirNItaH //
