   nyāyakusumāñjaliḥ //	nyAya-kusuma-aQjaliH //
   vijātīyeṣvapyekajātīya(17)kāryakaraṇaśaktiḥ samaveyāt, na	vijAtIyezu-api-eka-jAtIya(-17)kArya-karaNa-SaktiH samaveyAt, na
   kāryātkāraṇaviśeṣaḥ kvāpyanumīyeta; kāraṇavyāvṛtyā ca na tajjātīyasyaiva	kAryAt-kAraNa-viSezaH kvApi-anumIyeta; kAraNa-vyAvRtyA ca na tad-jAtIyasya-eva
   kāryasya vyāvṛttiravasīyeta /	kAryasya vyAvRttiH-avasIyeta /
   tadabhāve 'pi tajjātīyaśaktimato 'nyasmādapi tadutpattisambhavāt /	tad-aBAve api tad-jAtIya-SaktimataH anyasmAt-api tad-utpatti-samBavAt /
   yāvaddarśanaṃ vyavasthā bhaviṣyatīti cenna, nimittasyādarśanāt, dṛṣṭasya	yAvat-darSanam vyavasTA Bavizyati-iti ced-na, nimittasya-adarSana-at, dRzwasya
   cānimittatvāt /	ca-animitta-tvAt /
   etena (18) sūkṣmajātīyā(sūkṣmādekajātīyatvā)diti nirastam, avahnerapi	etena (18) sUkzma-jAtIyA(-sUkzmAt-eka-jAtIya-tvA)t-iti nirastam, avahneH-api
   tatsaukṣmyāt dhūmotpattyāpatteḥ /	tad-sOkzmyAt DUma-utpatti-ApatteH /
   [ku.1.117] kāryajātibhedābhedayoḥ samavāyibhedābhedāveva tantram, na	[ku.1.117] kArya-jAti-Beda-aBedayoH samavAyi-Beda-aBedO=-eva tantram, na
   nimittāsamavāyinī iti cenna; tayorakāraṇatvaprasaṅgāt /	nimitta-asamavAyinI iti ced-na; tayoH-akAraNa-tva-prasaFgAt /
   na hi sati bhāvamātraṃ tat; kiṃ tu satyeva bhāvaḥ /	na hi sati BAva-mAtram tat; kim tu sati-eva BAvaH /
   na ca jātiniyame samavāyikāraṇamātraṃ nibandhanam, api tu sāmagrī /	na ca jAti-niyame samavAyi-kAraNa-mAtram nibanDanam, api tu sAmagrI /
   anyathā dravyaguṇakarmaṇāmekopādānakatve vijātīyatvaṃ (19)na syāt /	anyaTA dravya-guNa-karmaNAm-eka-upAdAnaka-tve vijAtIya-tvam (19)na syAt /
   na ca kāryadravyasyaiṣā rītiriti yuktam;	na ca kArya-dravyasya-ezA rItiH-iti yuktam;
   ārabdhadugdhairevāvayavairdadhyārambhadarśanāt /	ArabDa-dugDEH-eva-avayavEH-daDi-AramBa-darSanAt /
   [ku.1.118] etenāpohavāde niyamo	[ku.1.118] etena-apoha-vAde niyamaH-
   nirastaḥ;"kāryakāraṇabhāvadve"(20)tyādiviplavaprasaṅgāt /	nirastaH;"kArya-kAraNa-BAva-dve"(20)tyAdi-viplava-prasaFgAt /
   tasmānniyatajātīyatāsvabhāva(21)bhaṅgena vyaktyapekṣayaiva niyama iti-	tasmAt-niyata-jAtIyatA-svaBAva-(21)BaFgena vyakti-apekzayA-eva niyamaH iti-
   [ku.1.119] (22)na; phūtkāreṇa tṛṇādereva, nirmanthanenāraṇereva	[ku.1.119] (22)na; PUtkAreNa tRNa-AdeH-eva, nirmanTanena-AraNeH-eva
   pratiphalitataraṇikiraṇairmaṇereveti prakāraniyamavat tenaiva	pratiPalita-taraNi-kiraNEH-maNeH-eva-iti prakAra-niyama-vat tena-eva
   vyajyamānasya kāryajātibhedasya bhāvāt /	vyajyamAnasya kArya-jAti-Bedasya BAvAt /
   dṛśyate ca pāvakatvāviśeṣe 'pi pradīpaḥ prāsādodaravyāpakamālokamārabhate;	dRSyate ca pAvakatva-aviSeze api pradIpaH prAsAda-udara-vyApakam-Alokam-AraBate;
   na tathā jvālājālajaṭilo 'pi dārudahanaḥ , na tarāñcakārīṣaḥ /	na taTA jvAlA-jAla-jawilaH api dAru-dahanaH , na tarAQcakArIzaH /
   yastu taṃ nākalayet, sa kāryasāmānyena kāraṇamātramanuminuyāditi	yaH-tu tam na-akalayet, sa kArya-sAmAnyena kAraNa-mAtram-anuminuyAt-iti
   kimanupannam /	kim-anupannam /
   [ku.1.120] evaṃ tarhi dhūmādāvapi kaścidanupalakṣaṇīyo viśeṣaḥ syāt, yasya	[ku.1.120] evam tarhi DUma-AdO=-api kaScid-anupalakzaNIyaH viSezaH syAt, yasya
   dahanāpekṣeti, na dhūmādisāmānyādvahnisāmānyādisiddhiḥ /	dahana-apekzA-iti, na DUma-Adi-sAmAnyAt-vahni-sAmAnya-Adi-sidDiH /
   etena vyatireko vyākhyātaḥ /	etena vyatirekaH vyAKyAtaH /
   tathā ca kāryānupalabdhiliṅgabhaṅge	taTA ca kArya-anupalabDi-liFga-BaFge
   svabhāvasyāpyasiddher(23)gatamanumāneneti cet-(24)na /	svaBAvasya-api-asidDeH-(23)gatam-anumAnena-iti cet-(24)naH /
   pratyakṣānupalambhagocaro jātibhedo na kāryaprayojaka iti vadato	pratyakza-anupalamBa-gocaraH jAti-BedaH na kArya-prayojakaH iti vadataH-
   bauddhasya śirasyeṣa prahāraḥ /	bOdDasya Sirasi-eza prahAraH /
   asmākaṃ tu yatsāmānyākrāntayoryayoranvayavyatirekavattā, tayostathaiva	asmAkam tu yat-sAmAnya-AkrAntayoH-yayoH-anvaya-vyatirekavattA, tayoH-taTA-eva
   hetuhetumadbhāvaniścayaḥ /	hetu-hetum-at-BAva-niScayaH /
   tathā cāvāntaraviśeṣasadbhāve 'pi na no virodhaḥ /	taTA ca-avAntara-viSeza-sadBAve api na naH viroDaH /
   [ku.1.121] kiṃ punastārṇādau dahanasāmānyasya prayojakam; tṛṇādīnāṃ viśeṣa	[ku.1.121] kim punar-tArNa-AdO dahana-sAmAnyasya prayojakam; tRNa-AdInAm viSeza
   eva niyatatvāditi cet-(25) na /	eva niyata-tvAt-iti cet-(25) na /
   tejomātrotpattau pavano nimittam; avayavasaṃyogo 'samavāyī; tejo	tejaH-mAtra-utpattO pavanaH nimittam; avayava-saMyogaH asamavAyI; tejaH-
   'vayavāḥsamavāyinaḥ /	avayavAH-samavAyinaH /
   iyameva sāmagrī gurutvavaddravyasahitā piṇḍitasya /	iyam-eva sAmagrI guru-tva-vat-dravya-sahitA piNxitasya /
   iyameva tejogatamudbhūtasparśamapekṣya dahanaṃ, tatrāpi jalaṃ prāpya	iyam-eva tejaH-gatam-udBUta-sparSam-apekzya dahanan, tatra-api jalam prApya
   divyaṃ, pārthivaṃ prāpya bhaumam, ubhayaṃ prāpyodaryamārabhata iti	divyan, pArTivam prApya BOmam, uBayam prApya-udaryam-AraBate iti
   svayamūhanīyam /	svayam-UhanIyam /
   [ku.1.122] tathāpyekamekajātīyameva vā kiñcitkāraṇamastu kṛtaṃ vicitreṇa /	[ku.1.122] taTA-api-ekam-eka-jAtIyam-eva vA kiQcid-kAraNam-astu kRtam vicitreNa /
   dṛśyate hyavilakṣaṇamapi vilakṣaṇānekakāryakāri /	dRSyate hi-avilakzaNam-api vilakzaNa-aneka-kArya-kAri /
   yathā- pradīpa eka eva timirāpahārī vartivikārakārī	yaTA pradIpaH ekaH eva timira-apahArI varti-vikAra-kArI
   rūpāntaravyavahārakārīti cenna- vaicitryāt kāryasya /	rUpa-antara-vyavahAra-kArI-iti ced-na vEcitryAt kAryasya /
   ekasya na kramaḥ kvāpi vaicitryaṃ ca samasya na /	ekasya na kramaH kvApi vEcitryam ca samasya na /
   śaktibhedo na cābhinnaḥ svabhāvo duratikramaḥ //7 //	Sakti-BedaH na ca-aBinnaH svaBAvaH duratikramaH //7 //
   [ku.1.123] na tāvadekasmādanapekṣādanekam, akramāt kramavatkāryānupapatteḥ	[ku.1.123] na tAvat-ekasmAt-anapekzAt-anekam, akramAt kramavat-kArya-anupapatteH
   kramavattāvatkārya(ka)kāraṇasvabhāvatvāttasya, tat tathā; yaugapadyavaditi	kramavat-tAvat-kArya(-ka)kAraNa-svaBAva-tvAt-tasya, tat taTA; yOgapadya-vat-iti
   cet- (26)ayamapi ca kṣaṇabhaṅge parihāro na tu sahakārivāde /	cet (26)ayam-api ca kzaNa-BaFge parihAraH na tu sahakAri-vAde /
   pūrvapūrvānapekṣāyāṃ kramasyaiva vyāhateḥ /	pUrva-pUrva-anapekzAyAm kramasya-eva vyAhateH /
   kramaniyame tvanapekṣānupapatteḥ /	krama-niyame tu-anapekza-anupapatteH /
   [ku.1.124] nāpyanekamavicitram /	[ku.1.124] na-api-anekam-avicitram /
   (27)yadi hyanyūnamanatiriktaṃ vā dahanakāraṇamadahanasyāpi hetuḥ,	(27)yadi hi-anyUnam-anatiriktam vA dahana-kAraNam-adahanasya-api hetuH,
   nāsāvadahano dahano vā syāt; ubhayātmako	nAsA-avadahanaH dahanaH vA syAt; uBaya-AtmakaH-
   vā syāt /	vA syAt /
   na caivam /	na ca-evam /
   śaktibhedādayamadoṣa iti cenna- dharmibhedābhedābhyāṃ tasyānupapatteḥ /	Sakti-BedAt-ayam-a-dozaH iti ca-id-na Darmi-Beda-aBedAByAm tasya-anupapatteH /
   asaṅkīrṇobhayajananasvabhāvatvādayamadoṣa iti cenna- /	asaFkIrNa-uBaya-janana-svaBAva-tvAt-ayam-adozaH iti ced-na /
   na hi svādhīnamasyādahanatvam; api tu tajjanakasvabhāvādhīnam /	na hi sva-aDInam-asya-adahana-tvam; api tu tad-janaka-svaBAva-aDInam /
   tathā ca tadāyattatvāddahanasyāpi tattvaṃ kena vāraṇīyam /	taTA ca tad-Ayatta-tvAt-dahanasya-api tattvam kena vAraNIyam /
   na hi tasmin janayitavye nāsau tatsvabhāvaḥ /	na hi tasmin janayitavye na-asO tad-svaBAvaH /
   tasmādvicitratvāt kāryasya kāraṇenāpi vicitreṇa bhavitavyam /	tasmAt-vicitra-tvAt kAryasya kAraNena-api vicitreNa Bavitavyam /
   na ca tat svabhāvatastathā /	na ca tat svaBAvataH-taTA /
   tataḥ sahakārivaicitryānupraveśaḥ /	tatas saha-kAri-vEcitrya-anupraveSaH /
   na tu(ca)(28)kṣaṇo 'pi tadanapekṣastathā bhavitumarhatīti /	na tu(ca)(2-8)kzaNaH api tad-anapekzaH-taTA Bavitum-arhati-iti /
   [ku.1.125] astu dṛṣṭameva sahakāricakram; kimapūrvakalpanayeti cenna-	[ku.1.125] astu dRzwam-eva sahakAri-cakram; kim-apUrva-kalpanayA-iti ced-na-
   viśvavṛttitaḥ /	viSva-vRttitaH /
   viphalā viśvavṛttirno na duḥkhaikaphalāpi vā /	viPalA viSvavRttiH-naH na duHKa-eka-PalA-api vA /
   dṛṣṭalābhaphalā nāpi vipralambho 'pi nedṛśaḥ //8 //	dRzwa-lABa-PalAH na-api vipralamBaH api na-IdRSaH //8 //
   yad.i hi pūrvapūrvabhūtapariṇatiparamparāmātramevottarottaranibandhanam,	yat-.i hi pUrva-pUrva-BUta-pariNati-paramparA-mAtram-eva-uttarottara-nibanDanam,
   na paralokārthī kaścidiṣṭāpūrtayoḥ pravarteta /	na para-loka-arTI kaScid-izwApUrtayoH pravarteta /
   na hi niṣphale duḥkhaikaphale vā kaścideko 'pi prekṣāpūrvakārī ghaṭeta;	na hi nizPale duHKa-eka-Pale vA kaScid-ekaH api prekzA-pUrva-kArI Gaweta;
   prāgeva jagat /	prAk-eva jagat /
   [ku.1.126] lābhapūjākhyātyarthamiti cet- lābhādaya eva kinnibandhanāḥ? na	[ku.1.126] lABa-pUjA-KyAtyarTam-iti cet lABa-AdayaH eva kinnibanDanAH? na
   hīyaṃ pravṛttiḥ svarūpata eva taddhetuḥ /	hi-iyam pravRttiH svarUpataH eva tad-hetuH /
   yato vānena labdhavyaṃ yovainaṃ pūjayiṣyati, sa kimartham?	yatas vA-anena labDavyam yova-enam pUjayizyati, sa kimarTam?
   khyātyarthamanurāgārthaṃ ca /	KyAti-arTam-anurAga-arTam ca /
   jano dātari mānayitari ca rajyate /	janaH dAtari mAnayitari ca rajyate /
   "janānurāgaprabhavā hi sampadaḥ" /	"jana-anurAga-praBavAH hi sampadaH" /
   iti cenna- nītinarmasaciveṣveva tadarthaṃ dānādivyavasthāpanāt /	iti ca-id-na nIti-narma-sacivezu-eva tad-arTam dAna-Adi-vyavasTApanAt /
   traividyatapasvino dhūrtavakāḥ eveti cenna- teṣāṃ dṛṣṭasampadaṃ	trEvidya-tapasvinaH DUrtavakAH eva-iti ced-na tezAm dRzwa-sampadam
   pratyanupayogāt /	pratyanupayogAt /
   [ku.1.127] sukhārthaṃ tathā karotīti cenna- nāstikairapi tathā	[ku.1.127] suKa-arTam taTA karoti-iti ca-id-na nAstikEH-api taTA
   karaṇaprasaṅgāt, sambhogavat /	karaNa-prasaFga-at, samBoga-vat /
   lokavyavahārasiddhatvādaphalamapi kriyate,	loka-vyavahAra-sidDa-tvAt-aPalam-api kriyate,
   vedavyavahārasiddhatvātsandhyopāsanavaditi cet- gurumatametat, na	veda-vyavahAra-sidDa-tvAt-sanDyA-upAsana-vat-iti cet guru-matam-etat, na
   gurormatam /	guroH-matam /
