   // āyurvedamahodadhiḥ //	// Ayurveda-mahA-udaDiH //
   annapānavidhiḥ	anna-pAna-viDiH
   tāḍāgam audbhidaṃ śailaṃ jalam aṣṭavidhaṃ smṛtam // 20 //	tAxAgam OdBidam SElam jalam azwaviDam smRtam // 20 //
   śaratpayodanirmuktamahāvaiḍūryasaṃnibham /	Sarad-payoda-nirmukta-mahA-vExUrya-saMniBam /
   sarvadoṣāpahaṃ svādu divyam ity ucyate jalam // 21 //	sarva-doza-apaham svAdu divyam iti ucyate jalam // 21 //
   prāvṛṭjaladanirmuktam avyaktasvādulakṣaṇam /	prAvRz-jalada-nirmuktam avyakta-svAdu-lakzaNam /
   vāri sphāṭikasaṃkāśamāntarikṣam iti smṛtam // 22 //	vAri sPAwika-saMkASam-Antarikzam iti smRtam // 22 //
   nadyāḥ śailaprasūtāyāḥ gomedakamaṇiprabham /	nadyAH SEla-prasUtAyAH gomedaka-maNi-praBam /
   praśastabhūmibhāgasthaṃ jalaṃ nādeyam ucyate // 23 //	praSasta-BUmi-BAga-sTam jalam nAdeyam ucyate // 23 //
   bhūmyutkhātasamudbhūtaṃ mahāśailasamudbhavam /	BUmi-utKAta-samudBUtam mahA-SEla-samudBavam /
   vimalaṃ madhuraṃ svādu kaupaṃ jalam udāhṛtam // 24 //	vimalam maDuram svAdu kOpam jalam udAhRtam // 24 //
   svayaṃ dīrṇaśilākhanne (cchanne) nīlotpaladalaprabham /	svayam dIrNa-SilA-Kanne (cCanne) nIlotpala-dala-praBam /
   latāvitānasaṃchannaṃ caudeyam iti saṃjñitam // 25 //	latA-vitAna-saMCannam cOdeyam iti saMjQitam // 25 //
   ānūpadeśajaṃ vāri sārasaṃ guru picchalam /	AnUpa-deSa-jam vAri sArasam guru picCalam /
   madhuraṃ śleṣmajananaṃ smṛtaṃ vātādikopanam // 26 //	maDuram Slezma-jananam smRtam vAta-Adi-kopanam // 26 //
   (Ap 4)	(Ap 4)
   nadyāḥ śailavarād vāpi bhūtam ekāṃtasaṃsthitam /	nadyAH SEla-varAt vA-api BUtam ekAMta-saMsTitam /
   latāvitānasaṃchannaṃ tāḍāgam iti saṃjñitam // 27 //	latA-vitAna-saMCannam tAxAgam iti saMjQitam // 27 //
   praśastabhūmibhāgasthaṃ naikasaṃvatsaroṣitam /	praSasta-BUmi-BAga-sTam na-eka-saMvatsara-uzitam /
   kaṣāyamadhuraṃ svādu audbhidaṃ salilaṃ smṛtam // 28 //	kazAya-maDuram svAdu OdBidam salilam smRtam // 28 //
   śailasānusamudbhūtaṃ spṛṣṭaṃ vātahimātapaiḥ /	SEla-sAnu-samudBUtam spRzwam vAta-hima-AtapEH /
   laghu śītāmalaṃ svādu smṛtaṃ prasravaṇaṃ jalam // 29 //	laGu SIta-amalam svAdu smRtam prasravaNam jalam // 29 //
   etāhi (ni) mahiṣāśvoṣṭragomṛgājagajādibhiḥ /	etAhi (ni) mahiza-aSva-uzwra-go-mRga-ajagaja-AdiBiH /
   adūṣitāni pātreṣu mṛṇmayeṣu vinikṣipet // 30 //	adUzitAni pAtrezu mRNmayezu vinikzipet // 30 //
   sarvam ākāśajaṃ vāri svāduto hy anumīyate /	sarvam AkASa-jam vAri svAdutaH hi anumIyate /
   pārthivaṃ hi rasāmijñair bhūmibhāgena lakṣyate // 31 //	pArTivam hi rasAmijQEH BUmi-BAgena lakzyate // 31 //
   raktakāpotapītābhaṃ pāṇḍu śvetāsiteṣu ca /	rakta-kApota-pIta-ABam pANxu Sveta-asitezu ca /
   kaṭvamlatiktakaṃ kṣāraṃ kaṣāyamadhurādibhiḥ // 32 //	kawu-amla-tiktakam kzAram kazAya-maDura-AdiBiH // 32 //
   atha nādeyādīnāṃ guṇāḥ	aTa nAdeya-AdInAm guNAH
   nādeyaṃ vātalaṃ rūkṣaṃ dīpanaṃ laghulekhanam /	nAdeyam vAtalam rUkzam dIpanam laGu-leKanam /
   tāḍāgaṃ vātalaṃ svādu kaṣāyaṃ kaṭupāki ca // 33 //	tAxAgam vAtalam svAdu kazAyam kawu-pAki ca // 33 //
   vātaśleṣmaharaṃ vāpyaṃ sakṣāraṃ kaṭu pittalam /	vAta-Slezma-haram vApyam sa-kzAram kawu pittalam /
   cauṇḍayam agnikaraṃ rūkṣaṃ madhuraṃ kaphakṛt tathā // 34 //	cONxayam agni-karam rUkzam maDuram kaPa-kRt taTA // 34 //
   kaphaghnaṃ dīpanaṃ hṛdyaṃ laghu prasravaṇodbhavam /	kaPa-Gnam dIpanam hRdyam laGu prasravaNa-udBavam /
   sakṣāraṃ pittalaṃ kaupaṃ śleṣmaghnaṃ vātajit tathā // 35 //	sa-kzAram pittalam kOpam Slezma-Gnam vAta-jit taTA // 35 //
   madhuraṃ pittaśamanam avidāhy audbhidaṃ smṛtam /	maDuram pitta-Samanam avidAhi OdBidam smRtam /
   kedāraṃ madhuraṃ pāke gurudoṣavipākalam (proktaṃ vipāke guru doṣalam) //	kedAram maDuram pAke guru-doza-vipAkalam (proktam vipAke guru doza-lam) //
   (Ap 5)	(Ap 5)
   tadvat pālvalam uddiṣṭaṃ viśeṣād doṣalaṃ ca tat /	tadvat pAlvalam uddizwam viSezAt dozalam ca tat /
   sarvadoṣaharaṃ hṛdyaṃ niravadyaṃ ca jāṅgalam // 37 //	sarva-doza-haram hRdyam niravadyam ca jAFgalam // 37 //
   kaupaṃ jalaṃ ca tṛṣṇāghnaṃ śramaghnaṃ prītivardhanam /	kOpam jalam ca tRzNA-Gnam Srama-Gnam prIti-varDanam /
   (ānūpaṃ śleṣmalaṃ proktaṃ medodoṣavivardhanam /)	(a-AnUpam Slezmalam proktam medaH-doza-vivarDanam /)
   dīpanaṃ svādu śītaṃ ca toyaṃ sādhāraṇaṃ laghu // 38 //	dIpanam svAdu SItam ca toyam sADAraNam laGu // 38 //
   iti jāṃgalānūpasādhāraṇodakaṃ /	iti jAMgala-anUpa-sADAraNa-udakam /
   atha ṛtumedena jalapānavidhiḥ	aTa Rtu-medena jala-pAna-viDiH
   kaupaṃ prasravaṇaṃ vasantasamaye grīṣme tad evocitaṃ	kOpam prasravaNam vasanta-samaye grIzme tat eva-ucitam
   kāle vā nabhavṛṣṭideśyam athavā kaupaṃ ghanānāṃ punaḥ /	kAle vA naBa-vRzwi-deSyam aTavA kOpam GanAnAm punar /
   nīhāre sarasītaḍāgaviṣayaṃ sarvaṃ śaratsaṃgame	nIhAre sarasI-taxAga-vizayam sarvam Sarad-saMgame
   sevyaṃ sūryasitāṃśuraśmipavanavyādhūtadoṣa 'payaḥ // 39 //	sevyam sUrya-sitAMSu-raSmi-pavana-vyADUta-doza apayaH // 39 //
   avyaktarasagandhaṃ yat śastaṃ vātātapāpaham /	avyakta-rasa-ganDam yat Sastam vAta-Atapa-apaham /
   pavitram ambu tat pathyaṃ anyatra (kva) kathitaṃ pibet // 40 //	pavitram ambu tat paTyam anyatra (kva) kaTitam pibet // 40 //
   gharmasūryendusaṃsiktamahorātrāt saraṃ yajet?	Garma-sUrya-indu-saMsiktam-ahorAtrAt saram yajet-?
   atha uṣṇāmbuguṇāḥ	aTa uzNa-ambu-guNAH
   tac cāvyaktarasaṃ himaṃ laghutaraṃ gharmāṃbu mūrchāpahaṃ	tat ca-avyakta-rasam himam laGutaram Garma-aMbu mUrCA-apaham
   ṛṣlo (?) ṣmātapa (tṛṭśleṣmāmaya) mohahaṃ śramaharaṃ tandrātinidrāpahaṃ	RzlaH (?) zmAtapaH (tRz-Slezma-Amaya) mohaham Srama-haram tandrA-atinidrA-apaham
   hṛdyaṃ svādu vicitradaṃ smṛtikaraṃ dāhaughavicchedi? (danaṃ)	hRdyam svAdu vicitra-dam smRti-karam dAha-oGa-vicCedi? (danaM)
   itthaṃ deham alāyuṣor dhṛtikaraṃ saṃjīvanaṃ jīvanam // 41 //	itTam deham alAyuzoH DRti-karam saMjIvanam jIvanam // 41 //
   atha ninditajalalakṣaṇaṃ	aTa nindita-jala-lakzaNam
   viṇmūtratṛṇanīlikāviṣayutaṃ taptaṃ dhanaṃ phenilaṃ	viz-mUtra-tRNa-nIlikA-viza-yutam taptam Danam Penilam
   dantagrāhyam anārtavaṃ salavaṇaṃ śaivālakaiḥ saṃbhṛtam /	danta-grAhyam anArtavam sa-lavaNam SEvAlakEH saMBRtam /
   (Ap 6)	(Ap 6)
   lūtājantuvimiśritaṃ gurutaraṃ parṇaughapaṅkāvilaṃ	lUtA-jantu-vimiSritam gurutaram parNa-oGa-paFka-Avilam
   candrārkāṃśusugopitaṃ ca na piben nīraṃ sadā doṣalam {cf. Rājanighaṇṭu	candra-arka-aMSu-su-gopitam ca na pibet nIram sadA dozalam {cf. RA-jani-GaNwu
   atha sevyajalalakṣaṇaṃ	aTa sevya-jala-lakzaNam
   prasannaṃ svādu hṛdyaṃ ca pathyaṃ saṃtarpaṇaṃ laghu /	prasannam svAdu hRdyam ca paTyam saMtarpaNam laGu /
   ekapradeśajaṃ sevyaṃ sadā paryāpitaṃ jalam // 43 //	eka-pradeSa-jam sevyam sadA paryApitam jalam // 43 //
   atha niśānte jalapānaguṇāḥ	aTa niSA-ante jala-pAna-guNAH
   kāsaśvāsātisārajvarakiṭibhakaṭīkoṣṭhapṛṣṭhagrahādīn	kAsa-SvAsa-atisAra-jvara-kiwiBa-kawI-kozWa-pRzWa-graha-AdIn
   mūtragrāhodarārśaḥśvayathukṛmivamīn karṇanāsākṣirogān /	mUtra-grAha-udara-arSaH-SvayaTu-kRmi-vamIn karNa-nAsA-akzi-rogAn /
   ye cānye vātapittakṣayakaphajakṛtā vyādhayaḥ santi jantoḥ	ye ca-anye vAta-pitta-kzaya-kaPa-ja-kRtAH vyADayaH santi jantoH
   tāṃs tān abhyāsayogād apaharati payaḥpānam ante niśāyāḥ // 44 //	tAn tAn aByAsa-yogAt apaharati payaH-pAnam ante niSAyAH // 44 //
   aṃbhasaś culakān aṣṭau pibed anudinaṃ naraḥ /	aMBasaH culakAn azwO pibet anudinam naraH /
   navanāgabalo bhūtvā jīved varṣaśataṃ sudhīḥ // 45 //	nava-nAga-balaH BUtvA jIvet varza-Satam suDIH // 45 //
   atha ghrāṇapītodakaguṇāḥ	aTa GrANa-pIta-udaka-guNAH
   vigataghananiśīthe prātar utthāya nityaṃ	vigata-Gana-niSITe prAtar utTAya nityam
   pibati khalu naro yo ghrāṇarandhreṇa vāri /	pibati Kalu naraH yaH GrANa-ranDreNa vAri /
   sa bhavati matipūrṇaś cakṣuṣā tārkṣyayukto (tulyo)	sa Bavati mati-pUrNaH cakzuzA tArkzya-yuktaH (tulyaH-)
   valipalitavihīnas sarvarogair vimuktaḥ // 46 //	vali-palita-vihInaH sarva-rogEH vimuktaH // 46 //
   atha netrarakṣāyai jalopayogavidhiḥ	aTa netra-rakzAyE jala-upayoga-viDiH
   śītāmbupūritamukhaḥ prativāsaraṃ yaḥ kālatraye 'pi nayanadvitayaṃ jalena /	SIta-ambu-pUrita-muKaH prativAsaram yaH kAla-traye api nayana-dvitayam jalena /
   āsiñcati dhruvam asau na kadācid akṣirogavyathāvidhuratāṃ bhajate manuṣyaḥ	AsiQcati Druvam asO na kadAcid akzi-roga-vyaTA-viDura-tAm Bajate manuzyaH
   (Ap 7)	(Ap 7)
   nādeyaṃ navamṛdghaṭapraṇihitaṃ santaptam arkāṃśubhiḥ	nAdeyam nava-mRd-Gawa-praNihitam santaptam arka-aMSuBiH
   rātrau saṃpratijuṣṭam indukiraṇair mandānilāndolitam {cf. Rājanighaṇṭu	rAtrO saMpratijuzwam indu-kiraNEH manda-anila-Andolitam {cf. RA-jani-GaNwu
   14.54ab} /	14.54ab} /
   śītaṃ bhinnamaṇiprabhaṃ laghutayā nāstīti śaṅkāvahaṃ	SItam Binna-maNi-praBam laGu-tayA na-asti-iti SaFkA-Avaham
   pāṭalyutpalaketakīsurabhitaṃ saṃsevayed vāri tat // 48 //	pAwalI-utpala-ketakI-suraBitam saMsevayet vAri tat // 48 //
   re re rudrajaṭāṭavīparisakhyālolabhasmāvilaṃ	re re rudra-jawA-awavI-parisaKyA-lola-Basma-Avilam
   pronmañjatsurasundarīkucataṭasphāracchalacchīkaram /	pronmaQjat-sura-sundarI-kuca-tawa-sPAra=-Calat-SIkaram /
   dhārādhautakarālitāṃbaratanuṃ (?) niḥśeṣapāpāpahaṃ	DArADOtaka-rAlita-aMbara-tanum (?) niHSeza-pApa-apaham
   gāṅgaṃ tuṅgataraṅgabhaṅgagahanaṃ pānīyam ānīyatām // 49 // ? // 50 //	gAFgam tuFga-taraFga-BaFga-gahanam pAnIyam AnIyatAm // 49 // ? // 50 //
   atha śṛtoṣṇajalaguṇāḥ	aTa SRta-uzNa-jala-guNAH
   pathyaṃ dīpanapācanaṃ laghutaraṃ saśvāsakāsāpahaṃ	paTyam dIpana-pAcanam laGutaram sa-SvAsa-kAsa-apaham
   hikkādhmānanavajvarāmaśamanaṃ śleṣmāpahaṃ vātajit /	hikkA-DmAna-navajvara-Ama-Samanam Slezma-apaham vAta-jit /
   saṃśuddhodaravastiśuddhikaraṇaṃ hṛtpārśvaśūlāpahaṃ	saMSudDa-udara-vasti-SudDi-karaNam hRd-pArSva-SUla-apaham
   gulmārocakapīnase nigaditaṃ kaṇṭhyaṃ śṛtoṣṇaṃ jalam // 51 //	gulma-arocaka-pInase nigaditam kaNWyam SRta-uzNam jalam // 51 //
   pittottare pittaroge pittāsṛkkaphapittayoḥ /	pitta-uttare pitta-roge pitta-asRk-kaPa-pittayoH /
   mūrchārchardijvare dāhe (tṛṣṇā) ṛṣmātīsārapīḍite // 52 //	mUrCA-arCardi-jvare dAhe (tRzNA) RzmA-atIsAra-pIxite // 52 //
   dhātukṣīṇe viṣārte ca sannipāte viśeṣataḥ /	DAtu-kzINe viza-Arte ca sannipAte viSezataH /
   śastaṃ śoṣe 'kṣiroge ca śṛtaṃ śītaṃ jalaṃ sadā // 54 // (3 ?)	Sastam Soze akzi-roge ca SRtam SItam jalam sadA // 54 // (3 ?)
   atha pānakālabhedena vāriṇo guṇāḥ	aTa pAna-kAla-Bedena vAriNaH guNAH
   chatrāmṛtaṃ viṣaṃ vajraṃ catvāro vāriṇo guṇāḥ /	Catra-amRtam vizam vajram catvAraH vAriNaH guNAH /
   bhuktvā tadaiva pratyūṣe abhukte bhojanaiḥ saha // 55 //	BuktvA tadA-eva pratyUze aBukte BojanEH saha // 55 //
   ajīrṇaṃ jīrayaty āśu pītam uṣṇodakaṃ niśi /	ajIrNam jIrayati ASu pItam uzNa-udakam niSi /
   varṣāsu na jalaṃ grāhyaṃ nādeyaṃ bahudoṣakṛt // 57 //	varzAsu na jalam grAhyam nAdeyam bahu-doza-kRt // 57 //
   (Ap 8)	(Ap 8)
   atha śṛtodakasya guṇāḥ	aTa SRta-udakasya guNAH
   kaphe pādāvaśeṣaṃ tu pānīyaṃ laghu dīpanam /	kaPe pAda-avaSezam tu pAnIyam laGu dIpanam /
   divāśṛtaṃ tu yat toyaṃ rātrau tad gurutāṃ vrajet //	divASRtam tu yat toyam rAtrO tat guru-tAm vrajet //
   śṛtaṃ śītaṃ tridoṣaghnam uṣitaṃ tac ca doṣakṛt /	SRtam SItam tridoza-Gnam uzitam tat ca doza-kRt /
   tat pādaśeṣaṃ doṣaghnaṃ ardhahīnaṃ tu vātajit // 57 //	tat pAda-Sezam doza-Gnam arDa-hInam tu vAta-jit // 57 //
   rātrau śṛtaṃ tu divase gurutvam api gacchati /	rAtrO SRtam tu divase guru-tvam api gacCati /
   atha pārśvaśūlādau śītāmbupānaniṣedhaḥ	aTa pArSva-SUla-AdO SIta-ambu-pAna-nizeDaH
   pārśvaśūle pratiśyāye vātaroge galagrahe // 58 //	pArSva-SUle pratiSyAye vAta-roge galagrahe // 58 //
   ādhmāne stimite koṣṭhe sadyaḥśuddhe navajvare /	ADmAne stimite kozWe sadyas-SudDe navajvare /
   hikkāyāṃ snehapitte ca śītāmbu parivarjayet // 59 //	hikkAyAm sneha-pitte ca SIta-ambu parivarjayet // 59 //
   atha gulmādau alpajalapānavidhiḥ	aTa gulma-AdO alpa-jala-pAna-viDiH
   gulmārśognahaṇīkṣaye ca jaṭhare mandānalādhmātake	gulma-arSaH-gnahaNI-kzaye ca jaWare manda-anala-ADmAtake
   śophe pāṇḍugalagrahe ca jagade (vraṇagade) mohe (mehe) ca netrāmaye /	SoPe pANxu-gala-grahe ca jagade (vraNa-gade) mohe (mehe) ca netra-Amaye /
   vātārucyatisārake kaphayute kuṣṭhapratiśyāyake	vAta-aruci-atisArake kaPa-yute kuzWa-pratiSyAyake
   uṣṇaṃ vāri suśītalaṃ śṛtahimaṃ svalpaṃ prapeyaṃ jalam // 60 //	uzNam vAri su-SItalam SRta-himam su-alpam prapeyam jalam // 60 //
   nirāmotijarā (bhojanā) darvāk pibed vāri suśītalam /	nirAmoti-jarAH (BojanA) darvAk pibet vAri su-SItalam /
   ajīrṇe tu pibed vāri śītalaṃ svecchayā punaḥ //	ajIrNe tu pibet vAri SItalam sva-icCayA punar //
   atha nirvāpitodakaguṇāḥ	aTa nirvApita-udaka-guNAH
   taptāyaḥpiṇḍasaṃyuktaṃ loṣṭanirvāpitaṃ jalam /	tapta-ayaH-piNxa-saMyuktam lozwa-nirvApitam jalam /
   sarvadoṣaharaṃ pathyaṃ sadā vairujyakārakam //	sarva-doza-haram paTyam sadA vErujya-kArakam //
   (Ap 9)	(Ap 9)
   atha vāriṇaḥ praśaṃsā /	aTa vAriNaH praSaMsA /
   kvacid uṣṇaṃ kvacic chītaṃ kvacit kvathitaśītalam /	kvacid uzNam kvacid SItam kvacid kvaTita-SItalam /
   kvacid bheṣajasaṃyuktaṃ kvacid vāri nivāryate {cf. Rājanighaṇṭu 14.80} //	kvacid Bezaja-saMyuktam kvacid vAri nivAryate {cf. RAjani-GaNwu 14.80} //
   tṛṣito moham āyāti mohāt prāṇān vimuñcati /	tRzitaH moham AyAti mohAt prANAn vimuQcati /
   tasmāt svalpaṃ ca dātavyaṃ na kvacid vāri vāryate // 65 //	tasmAt su-alpam ca dAtavyam na kvacid vAri vAryate // 65 //
   pānīyaṃ prāṇināṃ prāṇā viśvam eva hi tan mayam /	pAnIyam prANinAm prANAH viSvam eva hi tat mayam /
   ato 'tyantavidhāne 'pi na kvacid vāri vāryate // 66 //	atas atyanta-viDAne api na kvacid vAri vAryate // 66 //
   mūrchāpittoṣṇadāheṣu vidhare (pittarakte) madātyaye /	mUrCA-pitta-uzNa-dAhezu viDare (pittarakte) madAtyaye /
   bhramaklamaparīteṣu tamake vāri śītalam //	Brama-klama-parItezu tamake vAri SItalam //
   pibed ghaṭasahasrāṇi yāvannāstamito raviḥ /	pibet Gawa-sahasrANi yAvat-na-astamitaH raviH /
   astaṃ gate divānāthe bindur eko ghaṭāyate // 68 //	astam gate divAnATe binduH ekaH GawAyate // 68 //
   ajīrṇe cauṣadhaṃ vāri jīrṇe vāri balapradam /	ajIrNe ca-OzaDam vAri jIrNe vAri bala-pradam /
   bhojane cāmṛtaṃ vāri rātrau vāri viṣopamam // 62 //	Bojane ca-amRtam vAri rAtrO vAri viza-upamam // 62 //
   atyambupānān na vipacyate 'nnaṃ nirambupānāc ca sa eva doṣaḥ /	ati-ambu-pAnAt na vipacyate annam nirambu-pAnAt ca saH eva dozaH /
   tasmān naro vahnivivardhanāya muhurmuhur vāri pibed abhūri // 70 //	tasmAt naraH vahni-vivarDanAya muhur-muhur vAri pibet aBUri // 70 //
   kṣudhāsaṃśuṣkahṛtkaṇṭhaḥ prathamaṃ kabalān bahūn /	kzuDA-saMSuzka-hRd-kaNWaH praTamam kabalAn bahUn /
   na bhukte prapibed ambu śītalaṃ mātrayā yutam // 71 //	na Bukte prapibet ambu SItalam mAtrayA yutam // 71 //
   tena hṛtkaṇṭhaśuddhiḥ syāt sukhenānnaṃ pataty adhaḥ /	tena hRd-kaNWa-SudDiH syAt suKena-annam patati aDas /
   snigdhayuktaṃ ca yad bhaktaṃ tatas saṃtarpaṇaṃ bhavet // 72 //	snigDa-yuktam ca yat Baktam tatas saMtarpaNam Bavet // 72 //
   (Ap 10)	(Ap 10)
   ādau dravaṃ samaśnīyāt tatrāmbu na pibed bahu /	AdO dravam samaSnIyAt tatra-ambu na pibet bahu /
   madhye tu kathinaṃ bhuṅkte yatheṣṭaṃ śasyate jalam // 73 //	maDye tu kaTinam BuFkte yaTezwam Sasyate jalam // 73 //
   prāk dravaṃ puruṣo 'śnīyāt madhye tu kathināśanaḥ /	prAk dravam puruzaH aSnIyAt maDye tu kaTina-aSanaH /
   ante punar dravāśī tu vastyārogye (?) na muṃcati // 74 //	ante punar drava-ASI tu vasti-Arogye (?) na muMcati // 74 //
   tathaiva bhojanasyānte pītam ambu balapradam /	taTA-eva Bojanasya-ante pItam ambu bala-pradam /
   dravyaṃ prayāti bhuktānte kin tu tanmātrayā pibet // 75 //	dravyam prayAti Bukta-ante kin tu tad-mAtrayA pibet // 75 //
   ādau jalaṃ vahnivināśakāri paścāt tadante kaphabṛṃhaṇaṃ ca /	AdO jalam vahni-vinASa-kAri paScAt tad-ante kaPa-bRMhaNam ca /
   madhye tu pītaṃ samatāsukhaṃ ca tasyābhiyogo 'bhimatas sakṛc ca // 76 //	maDye tu pItam samatA-suKam ca tasya-aBiyogaH aBimataH sakRt ca // 76 //
