   kauthumagṛhyasūtram	kOTum-agRhya-sUtram
   tatsamidho saṃyuktaṃ gṛhṇan navarohaṇaṃ tataḥ karma prāṇāyāmaṃ kuryuḥ /	tad-samiDaH saMyuktam gRhNan nava-rohaNam tatas karma prANAyAmam kuryuH /
   tūṣṇīṃ pariṣicya mantreṇābhyarvyāhutyāmanartha staras tāvubho dvau	tUzNIm parizicya mantreNa-aByarvyAhutyAm-anarTa staraH tO=-uBo dvO
   samidhamādhāya bhaṣatkarmāṃ mantraṃ brūyāt /	samiDam-ADAya Bazat-karmAm mantram brUyAt /
   atra pupastūṣṇīṃ kāryaṃ patnī vā iti samānaṃ samāropaṇaṃ kuryuḥ kartavyā	atra pupastUzNIm kAryam patnI vA iti samAnam samAropaNam kuryuH kartavyA
   iti vaitadu bhavati svayaṃ svayaṃ prāyaścittī tata ūrdhvaṃ viśeṣaṃ syād	iti vA-etadu Bavati svayam svayam prAyaScittI tatas UrDvam viSezam syAt-
   anyāgno svayamamasmadbhāvi tathāci yajñidknevarohaṇaṃ kuryāṃ	anyAgnaH svayamam-asmad-BAvi taTA-ci yajQit-kneva-rohaNam kuryAm
   ādisamāropaṇaṃ prajñātastadamavrimutsṛjya bhūrbhuvaḥ svariti brūyāḥ /	Adi-samAropaNam prajQAtaH-tat-amavrim-utsRjya BUH-BuvaH svar-iti brUyAH /
   tūṣṇīṃ tiṣṭhan na gacchet tadagnipatyāṃ ta prāpnau karmabhraṣṭā	tUzNIm tizWan na gacCet tad-agnipatyAm te prApnO karma-BrazwA
   svagṛhyāgnau svayaṃ svayaṃ prāyaścittir ata ūrdhvaṃ viśeṣaṃ	sva-gRhya-agnO svayam svayam prAyaScittiH atas UrDvam viSezam
   syādājyatantrairanāropaṇaṃ cetsamāropaṇaṃ prājñātaḥ punarārabhya	syAt-Ajya-tantrEH-anAropaNam ced-samAropaNam prAjQAtas punar-AraBya
   prāyarāhutyādi prapadāntaparyantaṃ yatkiṃcitkarma yadi lopaṃ syāt	prAya-rAhutyAdi prapada-anta-paryantam yat-kiMcid-karma yadi lopam syAt-
   prātarāhutiścetprāyaścittamityeke nyūnākarmādi punarāvṛttiḥ	prAtarAhutiH-ced-prAyaScittam-iti-eke nyUna-akarma-Adi punarAvRttiH
   pradhānādūrdhvaṃ prāyaścittir ata ūrdhvaṃ viśeṣaścarutantreṇa tato	praDAnAt-UrDvam prAyaScittiH atas UrDvam viSezaH-caru-tantreNa tatas-
   vyākhyātā prāgudakpravaṇe deśe tatra sthaṃḍisamupali yāt // KauthGS_1 //	vyAKyAtA prAc-udak-pravaNe deSe tatra sTaMxi-samupali yAt // KOTGS_1 //
   KauthGS 2:	KOTG 2:
   athātaḥ prāṅmukho bhūtvodagagreṣu darbheṣu omityuccairupaviśya gṛhāgnau	aTa-atas prAFmuKaH BUtvA-udak-agrezu darBezu om-iti-uccEs-upaviSya gRha-agnO
   nirīkṣyamāṇollekhanaṃ tataḥ kārayet /	nirIkzyamANa-ulleKanam tatas kArayet /
   tatprātarāhutiṃ hutvā vedavidbrāhmaṇaṃ labhet tadalābhe khādiranyāyaḥ	tad-prAtarAhutim hutvA veda-vid-brAhmaNam laBet tad-alABe KAdira-nyAyaH
   chatraguttarāsaṃ ceti khādiraṃ nyā ityeke brāhmaṇaṃ prārthayet /	Catra-guttarAsam ca-iti KAdiram nyA iti-eke brAhmaNam prArTayet /
   brāhmaṇaṃ bhūrbhuvaḥ svaḥ bṛhaspatirbrahmāhaṃ mānuṣa iti brūyāt ācāryo dve	brAhmaNam BUH-BuvaH svar bRhaspatiH-brahmA-aham mAnuzaH iti brUyAt AcAryaH dve
   darbhāgna dadyāt brāhmaṇo nirastaḥ parāvasuriti dakṣiṇāstṛṇaṃ	darBa-agna dadyAt brAhmaNaH nirastaH parAvasuH-iti dakziNAH-tRNam
   nirasyāsanārthe prāgagrāndarbhānāstīryā vasoḥ sadane sīdāmotyudaṅmukha	nirasya-Asana-arTe prAc-agrAn-darBAn-AH-tIryAH vasoH sadane sIdAmoti-udaFmuKa
   omityupāṃśuruviśed ācāryo brāhmaṇamarcayitvā tataḥ kāṃsyapātramādāya	om-iti-upAMSuruviSet AcAryaH brAhmaNam-arcayitvA tatas kAMsya-pAtram-AdAya
   mṛnmayapātraṃ vābhidyam tāmravarjaṃ rajata iti	mRd-maya-pAtram vA-aBidyam tAmra-varjam rajate iti
   śālitaṇḍulānnavaśūrpeṇādāyodagudvāsyo nirvāpārthena sakṛtpātraṃ pūrayet /	SAli-taNxulAn-nava-SUrpeNa-AdAya-udak-udvAsyaH nirvApa-arTena sakRt-pAtram pUrayet /
   dvistūṣṇīṃ kāryamo prokṣyāmīti brūyād āpaḥ prāvayantyudagudvāsya tataḥ	dvis-tUzNIm kAryamaH prokzyAmi-iti brUyAt ApaH prAvayanti-udak-udvAsya tatas-
   samūhanādyājyatantreṣu gṛhyokte navaparvaṇaṃ kāryaṃ	samUhanAdi-Ajya-tantrezu gRhya-ukte nava-parvaNam kAryam
   tatpātnamutthāpyāgnimadhye sthāpyo nirvāpa iti brūyāt tadā jīvasaṇḍulān	tad-pAtnam-utTApya-agni-maDye sTApyaH nirvApaH iti brUyAt tadA jIva-saNxulAn
   śrapayet /	Srapayet /
   sruveṇābhighāryāgnerbahistaraṇādaṃtayorudagudvāsya punaḥ prokṣaṇaṃ kuryāt	sruveNa-aBiGArya-agneH-bahis-taraNAt-aMtayoH-udak-udvAsya punar prokzaNam kuryAt-
   tata idhmamādāya tatra viśeṣaḥ samidhamucyace /	tatas iDmam-AdAya tatra viSezaH samiDam-ucyace /
   bahvacāḥ khādireṇa bodhāyanāḥ palāśeśchandogāḥ udajumbareṇa yajante /	bahvacAH KAdireNa boDAyanAH palASeH-CandogAH udajumbareNa yajante /
   prādeśamātrāḥ kaśapṛṣṭhāḥ samāgratoguṃṣṭhaparvaghṛtadyumātroḥ prajñātāgrāḥ	prAdeSa-mAtrAH kaSa-pRzWAH samAgratas-guMzWa-parva-GRta-dyu-mAtroH prajQAta-agrAH
   kārayitvā tadabhāve darbhairvā saptadaśaiḥ ādāya anaṣṭārthamekaṃ	kArayitvA tad-aBAve darBEH-vA saptadaSEH AdAya anazwa-arTam-ekam
   prapadārthamekamidhmārthe pacadaśam etāni saptadaśa gṛhṇan	prapada-arTam-ekam-iDma-arTe pacadaSam etAni saptadaSa gRhNan
   sruveṇābhighārya agramavyamūlonyanuyājārthamuttarato nidhāya	sruveNa-aBiGArya agram-avya-mUlonyanuyAja-arTam-uttaratas niDAya
   paṃcadaśamagno prakṣipya śeṣeṇa prapadaṃ jape yāvacīriti śaṭhāntāni	paMcadaSa-magnaH prakzipya SezeNa prapadam jape yA-avacIH-iti SaWa-antAni
   tāvatsvāṣaso dhārayanta rūpāhanagnau hutvā śeṣākṣatānabhyarcya tato	tAvat-svAzasaH DArayanta rUpa-ahanagnO hutvA Seza-akzatAn-aByarcya tatas-
   vyāhṛtibhiḥ tisṛbhiḥ hutvā tato kāmajavyāhṛkī ca hutvā cakṣuṣī	vyAhRtiBiH tisRBiH hutvA tatas kAma-ja-vya-AhRkI ca hutvA cakzuzI
   caturgṛhītaṃ sruveṇa juhuyāt /	catur-gRhItam sruveNa juhuyAt /
   eteṣāṃ carutantre eteṣāṃ yathārthaṃ syāt tatra viśeṣastu	etezAm caru-tantre etezAm yaTArTam syAt tatra viSezaH-tu
   varadānaprayogocyate /	vara-dAna-prayoga-ucyate /
   khādiranyāyena ca gṛhyokteḥ kuthumasya mathādityuktvā kauthumo kuthumasya	KAdira-nyAyena ca gRhya-ukteH kuTumasya maTAditi-uktvA kOTumaH kuTumasya
   mārgamācarati // KauthGS_2 //	mArgam-Acarati // KOTGS_2 //
   KauthGS 3:	KOTG 3:
   athātaḥ carupātraṃ nirīkṣya saṃmukhe sthāpanaṃ kāryam udagugvāsya ityeke	aTa-atas caru-pAtram nirIkzya saMmuKe sTApanam kAryam uda-guk-vAsya iti-eke
   saṃmukhe kāryaḥ carordvibhāgaṃ kāryaṃ sruvapātramāsādya cchidvānārdaṃ	saMmuKe kAryaH caroH-dvi-BAgam kAryam sruva-pAtram-AsAdya cCidvAn-Ardam
   tadabhāve kāṃsyapātraṃ vā tanmadhye 'bhighārya caroḥ pūrvadeśe	tad-aBAve kAMsya-pAtram vA tad-maDye aBiGArya caroH pUrva-deSe
   sakṛdavadāya dvitīyye madhyame hyavadānaṃ śeṣe sruvapātre punaścābhidhārya	sakRt-avadAya dvitIyye maDyame hi-avadAnam Seze sruva-pAtre punar-ca-aBiDArya
   agnimadhye juhuyāt tvadvitīyaṃ ceñcaroḥ paścimadeśe syātsakṛ0vadāya	agni-maDye juhuyAt tu-advitIyam ca-iQcaroH paScima-deSe syAt-sakR0-vadAya
   dvibhighāryā prāgudagdeśe juguyayāj jāmadagnyāścenmavyat paścāt purastāta	dvi-BiGAryA prAc-udak-deSe juguyayAt jAmadagnyAH-ced-mavyat paScAt purastAta
   sakṛdavadāya bhṛguṇā madhyame kārṣmaryastatra carūṇāmuṣmāṇāṃ kriyate	sakRt-avadAya BRguNA maDyame kArzmaryaH-tatra carUNA-muzmANAm kriyate
   apalanayedyayorojaseti dvistūṣṇīṃ kuryātkarmagnyāvupahatiścetprā jāpatyaṃ	apala-nayet-yayoH-ojasA-iti dvis-tUzNIm kuryAt-karma-gnyO=-upahatiH-ced-prA jApatyam
   vā prāyaścittaṃ juhuyāt /	vA prAyaScittam juhuyAt /
   atītavicchinne tatkṣaṇe ṣaṣṭirdevatā hutvā ca tad ahorātramatītaṃ	atIta-vicCinne tad-kzaNe zazwiH-devatA hutvA ca tat ahorAtram-atItam
   dramasauryaṣu ityeteṣu parvādyai svāmimavyame cetkartavyaṃ syāt	drama-sOryazu iti-etezu parva-AdyE svAmim-avyame ced-kartavyam syAt-
   prāyaścittir gṛhyāgnau karma kartumapi vāṇicaturthe rajaścāḍālānanugate vā	prAyaScittiH gRhya-agnO karma kartum-api vANi-caturTe rajaH-ca-AxAlAn-anugate vA
   saṃvatsarādūrdhvaṃ yathākṛcchraṃ vapanaṃ ca tathā prāyaścitti prāyaścittiḥ	saMvatsarAt-UrDvam yaTAkRcCram vapanam ca taTA prAyaScitti prAyaScittiH
   // KauthGS_3 //	// KOTGS_3 //
   KauthGS 4:	KOTG 4:
   atha parvaprāyaścittire udagayanaṃ vā dakṣiṇāyanaṃ vā vasantādyādiṣaṣṭhe	aTa parva-prAyaScittire udagayanam vA dakziNAyanam vA vasanta-Adi-Adi-zazWe
   caturṇāṃ cāndramāsasaurya ityeteṣu parvādyaignāmiṣṭamadhye cetkartavyaṃ	caturNAm cAndra-mAsa-sOryaH iti-etezu parvAdyEgnAmizwa-maDye ced-kartavyam
   syātprāyaścittir gṛhyāgnau karmārtumapi pāṇicaturthehani tvadārabhya tanmā	syAt-prAyaScittiH gRhya-agnO karma-Artum-api pANi-caturTehani tvad-AraBya tat-mA
   gādanta udayana dakṣiṇāgnau ceṣṭātkartavya tanmāsādisaṃkalpaiḥ kartavyaṃ	gAdantaH udayana dakziNa-agnO cezwAt-kartavya tad-mAsa-Adi-saMkalpEH kartavyam
   syātprāyaścittir vivāhe yadi pūrvapakṣe cedapare paurṇamāsyaidārabhya	syAt-prAyaScittiH vivAhe yadi pUrva-pakze ced-apare pOrNamAsya-edAraBya
   kartavyaḥ syāt saṃkalpairdaśapūrṇamāsābhyāṃ dvāviṣṭara ityuktau tatra	kartavyaH syAt saMkalpEH-daSa-pUrNamAsAByAm dvO=-izwaraH iti-uktO tatra
   dvitīyā viṣṭedinā vyādā yajñe 'narthaḥ tasmāttābhyāṃ dvāviṣṭauropaṃ	dvitIyA vizwedinA vyAdAH yajQe anarTaH tasmAt-tAByAm dvO=-izwOropam
   vighnaṃ kartavyaṃ syātprāyaścitti ni tisṛbhiścāvamārayāni tāṃ svadhā me	viGnam kartavyam syAt-prAyaScitti ni tisRBiH-ca-avamArayAni tAm svaDA me
   viṣṭimadhyā cetkartavyaṃ syātprāyaścittir anayorāghānamadhye rāhuparvaṇi	vizwi-maDyA ced-kartavyam syAt-prAyaScittiH anayaH-rAGAna-maDye rAhu-parvaNi
   caindrapamāha iti /	ca-EndrapamAhe iti /
   ādyapaṅkau dvitīyā gāyatryāṃ ubhayayordevatā candra ityuktvā prāyaścittiḥ	Adya-paFkO dvitIyA gAyatryAm uBayayoH-devatA candraH iti-uktvA prAyaScittiH
   sauryaḥ parvaṇi ceccitraṃ devānāmudu tyāmitya ādyaiḥ triṣṭup ta dvitīye	sOryaH parvaNi ced-citram devAnAm-udu tyAmityaH AdyEH trizwuB te dvitIye
   gāyatrī vā ubhayordevatā sūrya ityuktvā prāyaścittiḥ prāyaścittaṃ vinā	gAyatrI vA uBayoH-devatA sUryaH iti-uktvA prAyaScittiH prAyaScittam vinA
   punaścārambhiṇiṃ cet kartavyaṃ syātprāyaścittis tāṃ saṃkalpya madhye	punar-ca-AramBiNim ced kartavyam syAt-prAyaScittiH tAm saMkalpya maDye
   śrāddhakarmāṇi tatrāgnau karaṇaṃ kapāṇau hutaṃ vā tadvad bhuñjānaḥ	SrAdDa-karmANi tatra-agnO karaNam kapANO hutam vA tadvat BuQjAnaH
   kartavyaṃ syātprāyaścir atha viśeṣaśca niyamairdampatyormadhye	kartavyam syAt-prAyaSciH aTa viSezaH-ca niyamEH-dampatyoH-maDye
   rajaścāṇḍālagamane vā kartavyaṃ syātprāyaścittis tayorādhānamadhye rāśau	rajaH-cANxAla-gamane vA kartavyam syAt-prAyaScittiH tayoH-ADAna-maDye rASO
   madhye sparśakṣayaṃ vā vṛddhi vā kartavyaṃ syātprāyaścittis	maDye sparSa-kzayam vA vRdDi vA kartavyam syAt-prAyaScitti-H-
   tayorādhāmamadhye 'nyagrāmaṃ praviśya patho gatvā kratavyaṃ	tayoH-ADAma-maDye anya-grAmam praviSya paTaH gatvA kratavyam
   syātprāyaścittistayormadhye ubhāvanyagamane vā divā maithune vā kartavyaṃ	syAt-prAyaScittiH-tayoH-maDye uBO=-anya-gamane vA divA mETune vA kartavyam
   syātprāyaścittiḥ puruṣo bhojanamadhye tathā karma maithunaṃ ca	syAt-prAyaScittiH puruzaH Bojana-maDye taTA karma mETunam ca
   śvānamārjālā saṃspṛṣṭvā kartavyaṃ syātprāyaścittir atha viśeṣaśca	SvAna-mArjAlA saMspRzwvA kartavyam syAt-prAyaScittiH aTa viSezaH-ca
   gṛhyāvanagnikānāṃ ca vidhavāṃ spṛṣṭvā kartavyaṃ syātprāyaścittir aśroyī	gRhya-avanagnikAnAm ca viDavAm spRzwvA kartavyam syAt-prAyaScittiH aSroyI
   śūdrāntabhogo cārvāko paradārābhigamano svakarmatyāgo nityaṃ parānnabhojo	SUdra-anta-BogaH cArvAkaH para-dAra-aBigamanaH sva-karma-tyAgaH nityam para-anna-BojaH-
   tathānagrāho gobrahmaṇavadhi veśyātkuṭumbī rājānnabhojo	taTA-anagrAhaH go-brahmaNa-vaDi veSyAt-kuwumbI rAja-anna-BojaH-
   adhyāpanagraṃthatyāgo vidyādūṣyaguruvādai prāṇasaṃhārī mārjālocchiṣṭabhojī	aDyApana-graMTa-tyAgaH vidyA-dUzya-guru-vAdE prANa-saMhArI mArjAla-ucCizwa-BojI
   vedavikrayo kanyāpativratādūṣī svakuṭumbatyāgī upādhyāyagurordūṣo guroḥ	veda-vikrayaH kanyApativratA-dUzI sva-kuwumba-tyAgI upADyAya-guroH-dUzaH guroH
   patnyābhigamanī māṃsabhakṣī śrāddhakālatyāgī tathā śrāddhabhojī	patnyA-aBigamanI mAMsa-BakzI SrAdDa-kAlatyAgI taTA SrAdDa-BojI
   taṭhākasaṃhārī varṣavardhī sadārāgo brāhmaṇatāḍo mṛttikāpāṣāṇatāhī	taWAka-saMhArI varzavarDI sadArAgaH brAhmaNa-tAxaH mRttikA-pAzANa-tAhI
   sadocchaṣṭo vipradūṣo iti te caṃḍālasamāḥ gṛhyāgnau spṛṣṭā	sadA-ucCazwaH vipradUzaH iti te caMxAla-samAH gRhya-agnO spRzwA
   daṃpatyorvāsacelaṃ kāryaṃ kartavyaṃ syātprāyaścitti prāyaścittārthe	daMpatyoH-vAsa-celam kAryam kartavyam syAt-prAyaScitti prAyaScitta-arTe
   ṣaṣṭhidevatā uktā /	zazWidevatA uktAH /
   kanyahṛtīni vyāhṛtibhistṛsṛbhiḥ āvṛttiḥ punaśca tisṛbhirdvādaśaguṇaṃ	kanya-hRtIni vyAhRtiBiH-tRsRBiH AvRttiH punar-ca tisRBiH-dvAdaSaguNam
   kāryaṃ prājāpatyaṃ na pañcakasamastāntaṃ --ri pāhi no agrayenase iti	kAryam prAjApatyam na paQcaka-samasta-antam --ri pAhi naH agrayenase iti
   tisṛbhiḥ prājāpatyamekaṃ yatkusīdaṃ ca samastāntaṃ caturthī sviṣṭakṛdvā	tisRBiH prAjApatyam-ekam yat-kusIdam ca samasta-antam caturTI su-izwakRt-vA
   ityeṣāṃ prāyaścittirkaṃ evaṃ brāhmaṇeyo yāsāḥ prāyaścittāṃ vikataṃ	iti-ezAm prAyaScittirkam evam brAhmaNeyaH yAsAH prAyaScittAm vikatam
   jānanyaḥ śarīrādvimucyate yaḥ śarīrādvimucyate // KauthGS_4 //	jAnan-yaH SarIrAt-vimucyate yaH SarIrAt-vimucyate // KOTGS_4 //
   KauthGS 5:	KOTG 5:
   athātaḥ prāyaścittaviparyāsaḥsarvatra jalābhyāsaḥ prājāpatyaṃ yatkusīdaṃ	aTa-atas prAyaScitta-viparyAsaH-sarvatra jala-aByAsaH prAjApatyam yat-kusIdam
   ca saṃpūtyardhyāśabaliṃ hutvā yadi purastātta viparyāso yatkusīdaṃ juhuyāt	ca saMpUti-arDyA-Sabalim hutvA yadi purastAt-ta viparyAsaH yat-kusIdam juhuyAt-
   yatsarvatra na saṃskārājyamapi yajamānaṃ hutvā tatanoṣaṃ bhavati	yat-sarvatra na saMskAra-Ajyam-api yajamAnam hutvA tata-nozam Bavati
   adakṣiṇabrāhmaṇaṃ tadyajñorākṣasaṃ bhavati idmaṃ vinā yajate patati narake	adakziNa-brAhmaNam tat-yajQaH-rAkzasam Bavati idmam vinA yajate patati narake
   ubhau yajamāno brahmaṇā sarvatrāhutyā kālamanupekṣayā vipro yajñaghātakaḥ	uBO yajamAnaH brahmaNA sarvatra-AhutyA kAlam-anupekzayA vipraH yajQa-GAtakaH
   tisṛbhirbrahmaghātakaḥ tisṛbhiḥ saṃdhyākālānapekṣayā vipro jyotirghātakaḥ	tisRBiH-brahma-GAtakaH tisRBiH saMDyA-kAla-anapekzayA vipraH jyotiH-GAtakaH
   sarvatra pradoṣeṣvadhyāyo vedaghātaka anyāvarṇo vidyādānī gurughātakaḥ	sarvatra pradozezu-aDyAyaH veda-GAtaka anyAvarNaH vidyA-dAnI guru-GAtakaH
   sarvatra svecchayātyāgīpitṛghātakaḥ ityete ityeteṣakhāpātikanā mātra	sarvatra sva-icCayA-atyAgI-pitR-GAtakaH iti-ete iti-eteza-KA-pAtikanA mAtra
   bhāṣaṇaṃ nābhivādyamatra pathena śārśanaprekṣa iti yadi pramādākṛtvā	BAzaNam na-aBivAdyam-atra paTena SArSana-prekzaH iti yadi pramAda-akRtvA
   gāyatryaṣṭa japet // KauthGS_5 //	gAyatrI-azwa japet // KOTGS_5 //
   KauthGS 6:	KOTG 6:
   dvibhāryāgnisaṃyogaḥ /	dvi-BAryA-agni-saMyogaH /
   athātaḥ sarvavarṇeṣu brāhmaṇānā punarādhipatyaṃ cet pūrvaṃ gṛhyāgnerardhaṃ	aTa-atas sarva-varNezu brAhmaNAnA punar-ADipatyam ced pUrvam gRhya-agneH-arDam
   praṇīya tayoḥ saṃyojanārthe caturthastyāhvaḥ sāyamupakramya yajamānaḥ	praNIya tayoH saMyojana-arTe caturTastyAhvaH sAyam-upakramya yajamAnaH
   pūrvāgnimavarohaṇaṃ kṛtvā tatra sthaṃḍilaṃ kurvana agniṃ vo vṛdhantamiti	pUrva-agnim-avarohaNam kRtvA tatra sTaMxilam kurvanaH agnim vaH vRDantam-iti
   tṛcena pratiṣṭhāpyānantarabhāryā navāgnau pātreṇādāyemaṃ stomamiti tṛcena	tRcena pratizWApya-anantara-BAryA nava-agnO pAtreNa-AdAya-imam stomam-iti tRcena
   saṃyojya pratṛcāmante caturakṣarasupāṃśu tato agniraitviti ṣaḍbhirājyam	saMyojya pratRcAm-ante catur-akzara-su-pAMSu tatas agniH-Etu-iti zaxBirAjyam
   hute yajamānaṃ vācayetprāṇāyāmaṃ pariṣicyāgnaye svāhā prajāpataye svāhā	hute yajamAnam vAcayet-prANAyAmam parizicya-agnaye svAhA prajApataye svAhA
   punaḥ pariṣicyāgauṣūkaṃ samāropaṇaṃ vāmadevyaṃ gītvā yadi deśāntare tatra	punar parizicya-agOzUkam samAropaNam vAmadevyam gItvA yadi deSa-antare tatra
   laukikāgnau kuryātpūrvavat saṃyojyāpriyādhipatyaṃ cedviśeṣo 'sti tatra	lOkika-agnO kuryAt-pUrvavat saMyojya-apriya-ADipatyam ced-viSezaH asti tatra
   tadvyākhyāsyāmo brāhmaṇānāmantraya śatāpūpamāśayatakaṃ vāṣṭau	tat-vyAKyAsyAmaH brAhmaNAn-Amantraya Sata-apUpam-ASayatakam vA-azwO
   snātvālaṃkṛtya kamaṇḍalunodakaṃ gṛhītvā vanāntare gatvā tasmindeśe aśuṣkāṃ	snAtvA-alaMkRtya kamaNxalunodakam gRhItvA vana-antare gatvA tasmin-deSe aSuzkAn
   komalīṃ śubhaparṇīṃ phalavatīṃ vistārayuktaṃ prāpahnīṃ sahittāṃ	komalIm SuBaparNIm PalavatIm vistAra-yuktam prApahnIm sa-hittAm
   etairguṇavānarkaśākhāmavalokya tatpitrārthe vedavidbrāhmaṇaṃ vicārya	etEH-guNavAn-arka-SAKAm-avalokya tad-pitra-arTe veda-vid-brAhmaNam vicArya
   snāpayitvārkaśākhā na haret navāsasācchādayitvā taṃ brāhmaṇo devasya	snApayitvA-arka-SAKA na haret navAsasA-AcCAdayitvA tam brAhmaNaH devasya
   tvetyarkakanyādānaṃ varaṃ pratigṛhṇāmīti purata sthaṇḍilaṃ kurvannarkasya	tvA-iti-arka-kanyA-dAnam varam pratigRhNAmi-iti purata sTaNxilam kurvan=-arkasya
   uttarata upaviśya tāpaṣṭo brāhmaṇārkhaśākhāṃ pariveṣṭya sarve	uttaratas upaviSya tApazwaH brAhmaNa-arKa-SAKAm parivezwya sarve
   prāṅmukodaṅmukho vā brāhmaṇas tato brāhmaṇamabhyarcya pratyeka	prAc-muka-udaFmuKaH vA brAhmaNaH tatas brAhmaNam-aByarcya pratyeka
   daśadaśāpūpaṃ dadyāt śeṣamuttaratī nidhāya laukikāgniṃ pratiṣṭhāpya tataḥ	daSa-daSa-apUpam dadyAt Sezam-uttaratI niDAya lOkika-agnim pratizWApya tatas-
   samūhanādi prapadāntaṃ kṛtvedhmāṅkaṃ hutvā tato vyāhṛtibhistisṛbhiḥ hutvā	samUhana-Adi prapada-antam kRtvA-iDma-aFkam hutvA tatas vyAhRtiBiH-tisRBiH hutvA
   agniretviti ṣaḍbhiḥ punastisṛbhiḥ tato yajamānaḥ tiṣṭhannagni pradakṣiṇa	agniH-etu-iti zaxBiH punar-tisRBiH tatas yajamAnaH tizWan=-agni pradakziNa
   gṛhya agnirāditya sarve brāhmaṇānāmantarbhāvaḥ ditvākāśayorbahirbhāvaḥ	gRhya agniH-Aditya sarve brAhmaNAnAm-antarBAvaH ditvA-AkASayoH-bahirBAvaH
   tūṣṇīṃ triḥ pradakṣiṇaṃ kuryāt svasthānamupaviśya dakṣiṇena sahitāraṃ	tUzNIm tris pradakziNam kuryAt sva-sTAnam-upaviSya dakziNena sahitAram
   gṛhṇīyāt tad gṛhṇāmi ta ityupāṃśu totopariṣṭāhomaṃ samāpya śiṣṭānapūpaṃ	gRhNIyAt tat gRhNAmi te iti-upAMSu tota-uparizwa-ahomam samApya Sizwa-an-apUpam
   daśakaṃ brahmaṇe dadyāt daśakaṃ svayaṃ prāśrīyāt tatrāgnau pariṣicya	daSakam brahmaNe dadyAt daSakam svayam prASrIyAt tatra-agnO parizicya
   abhyarcya vyāhṛtibhiśca tisṛbhiḥ ājyaṃ juhuyāt tadvisṛjya tato vāmadevyaṃ	aByarcya vyAhRtiBiH-ca tisRBiH Ajyam juhuyAt tat-visRjya tatas vAmadevyam
   viprāṇāmāśiṣo vacaḥ kanyā gṛhaṃ gacchet tataḥ punarādhipatyaṃ	viprANAm-ASizaH vacaH kanyA gRham gacCet tatas punar-ADipatyam
   punarādhipatyam // KauthGS_6 //	punar-ADipatyam // KOTGS_6 //
   KauthGS 7:	KOTG 7:
   atha ṛtukālaparokṣaṇam prathamārtavādanaḥ śuddhaḥ snātvā svastivācanaṃ	aTa Rtu-kAla-parokzaNam praTama-Arta-vAdanaH SudDaH snAtvA svastivAcanam
   śayyāgṛhamalaṃkṛtya puṣphalānvikīrya pratidiśaṃ dīpairalaṃkṛtya	SayyA-gRham-alaMkRtya puzPalAn-vikIrya pratidiSam dIpEH-alaMkRtya
   sugandhapaṅkena dīrghacaturasraṃ sthaṇḍilaṃ kurvan	suganDa-paFkena dIrGacaturasram sTaNxilam kurvan
   uparyukṣapatramudagagramāstīryāthopari navavāsasa prāgagrāmamāstīrya	upari-ukza-patram-udagagram-AstIrya-aTa-upari nava-vAsasa prAc-agrAmam-AstIrya
