   Prajñāpāramitopadeśaśāstre	PrajQApAramita upadeSa SAstre
   anutpannavastumārgākāraparijñānakārikārthalakṣaṇajananyāṃ bādhām adṛṣṭvā	anutpanna vastu mArga AkAra parijQAna kArika arTa lakzaNa jananyAm bADAm adRzwvA
   trisarvajñatāsvarūpatrayātmikā buddhādinirmātrī prajñāpāramitāvaśyameva	tri sarvajQa tA svarUpa traya AtmikA budDa Adi nirmAtrI prajQApAramitA vaSyam eva
   sambhavinītyavadhṛtya tasyāṃ prasādamutpādayanti / tasyāṃ prasādena	samBavinI iti avaDRtya tasyAm prasAdam utpAdayanti / tasyAm prasAdena
   tadguṇābhilāṣiṇaḥ ubhayavidhā api pudgalāḥ	tad guNa aBilAziNaH uBayaviDAH api pudgalAH
   tattadāśritapravacanadhāraṇādyarthaṃ sarvathā atyantamādriyante / tataḥ	tad tad ASrita pravacana DAraNa Adi arTam sarvaTA atyantam Adriyante / tatas 
   śrutamayādijñānotpādakrameṇa suśreyo 'dhigatāḥbhavanti / ata eva	Sruta maya Adi jQAna utpAda krameNa suSreyaH aDigatAH Bavanti / atas eva
   bhagavatyāṃ pradāsa eva sarvaśreyo 'dhigamahetuḥ /	BagavatyAm pradAsaH eva sarva SreyaH aDigama hetuH /
   tatra tisṛbhiḥ sarvajñatābhiraṣṭāvarthāḥ saṅgṛhītā bhavanti / tābhiśca	tatra tisRBiH sarvajQa tABiH azwO= arTAH saFgRhItAH Bavanti / tABiH ca
   vakṣamāṇavidhinā sarvārthāḥ sampatsyanta iti manasi nidhāya	vakzamANa viDinA sarva arTAH sampatsyante iti manasi niDAya
   trisarvajñatābhiḥ prajñāpāramitāṃ stauti / śrāvakaḥ, tatpakṣanikṣiptaḥ	tri sarvajQa tABiH prajQApAramitAm stOti / SrAvakaH, tad pakza nikziptaH
   kiñcidvimokṣādhikaḥ ekakrama nirdiṣṭaḥ pratyekabuddhaśca	kiQcid vimokza aDikaH eka krama nirdizwaH pratyekabudDaH ca
   nirvāṇabhilāṣiṇau, tayo anutpannasarvavastujñatayā	nirvANa BilAziNO, tayoH anutpanna sarva vastu jQa tayA
   sopadhinirupadhilakṣaṇadvividhanirvāṇaprāpikā yā, yāvatsaṃsāraṃ	sa upaDi nirupaDi lakzaNa dviviDa nirvANa prApikA yA, yAvat saMsAram
   jagaddhitakṛtāṃ bodhisattvānāmanutpannasarvamārgajñatayā	jagat hita kRtAm boDisattvAnAm anutpanna sarva mArga jQa tayA
   sarvalokārthasampādikā yā, anutpannasarvākārajñatayā yayā saṅgatāḥ	sarva loka arTa sampAdikAH yA, anutpanna sarva AkAra jQa tayA yayA saFgatAH
   saṃyatakāyāḥ pradhānayogīśvarā buddhāḥ sarvathā	saMyata kAyAH praDAna yogi ISvarAH budDAH sarvaTA
   caritapratipakṣasarvadharmacakrān pravartayanti / tasyai	carita pratipakza sarva Darma cakrAn pravartayanti / tasyE
   śrāvakādiparivṛtabuddhānāmutpāyitryai mātre namaḥ / evaṃ	SrAvaka Adi parivRta budDAnAm utpAyitryE mAtre namaH / evam
   namaskārastutipūvakeṇābhisamayālaṅkāraśāstreṇa vastupratipakṣākāreṣu	namaskAra stuti pUvakeNa aBisamaya alaFkAra SAstreNa vastu pratipakza AkArezu
   kasmiṃścidekasmin (pakṣe) saṃgṛhīte, prathamapakṣe	kasmiMScid ekasmin (pakze) saMgRhIte, praTama pakze
   tāvattadarthapariśramavaiyarthyam / tathā hi na hi tadasti iha	tAvat tad arTa pariSrama vEyarTyam / taTA hi na hi tat asti iha
   prajñāpāramitāyāṃ vastujātaṃ yanna lakṣaṇaśāstreṣu uktapūrvam / dvitīye	prajQApAramitAyAm vastu jAtam yat na lakzaNa SAstrezu ukta pUrvam / dvitIye
   vyavadānavastu (mātra) saṅgrahāt sāṃkleśikavastvasaṃgrahācca na jñāyate	vyavadAna vastu (mAtra) saFgrahAt sAMkleSika vastu asaMgrahAt ca na jQAyate
   kasyāyaṃ pratipakṣa iti / tṛtīte	kasya ayam pratipakzaH iti / tRtIte
   nirvastukākāramātrasaṃgrahādarthādhigamaśūnyādiha kiñcidapi noktamiti	nirvastuka AkAra mAtra saMgrahAt arTa aDigama SUnyAt iha kiQcid api na uktam iti
   vyartha eva (śāstraracanāyāsaḥ) iti nāpare śaṅkiṣyante kim iti cet?	vyarTaH eva (SAstra racana AyAsaH) iti na apare SaFkizyante kim iti ced ?
   tannaḥ, yato hi yathākramaṃ	tat naH, yatas hi yaTAkramam
   śrāvakapratyekabuddhabodhisattvānuttarabuddhānāṃ trisarvajñatāyāṃ	SrAvaka pratyekabudDa boDisattva anuttara budDAnAm trisarvajQa tAyAm
   samastābhisamayānāṃ saṃgrahaṇena pakṣatrayasyāpi saṃgṛhītatvāt /	samasta aBisamayAnAm saMgrahaNena pakza trayasya api saMgRhIta tvAt /
   yathā madhyamajinajananyāṃ   "subhūte śrāvakapratyekabuddhayoḥ sarvajñatā,	yaTA maDyam a jina jananyAm  "suBUte SrAvaka pratyekabudDayoH sarvajQa tA,
   bodhisattvānāṃ mārgajñatā, tathāgatārhatsamyaksambuddhānāṃ sarvākārajñatā	boDisattvAnAm mArga jQa tA, taTAgata arhat samyaksambudDAnAm sarva AkAra jQa tA
   / bhagavan kimarthaṃ sarvajñatā śrāvakapratyekabuddhayoḥ? subhūte sarve hi	/ Bagavan kim arTam sarvajQa tA SrAvaka pratyekabudDayoH? suBUte sarve hi
   yāvanto bāhyābhyantaradharmāḥ, tāvata eva śrāvakapratyekabuddhā jānanti,	yAvantaH bAhya aByantara DarmAH, tAvataH eva SrAvaka pratyekabudDAH jAnanti,
   na tu mārgeṇa, nāpi sarvākāreṇa, ataḥ sarvajñatā	na tu mArgeNa, na api sarva AkAreNa, atas sarvajQa tA
   śrāvakapratyekabuddhayoriti / bhagavan, kimarthaṃ mārgajñatā	SrAvaka pratyekabudDayoH iti / Bagavan, kim arTam mArga jQa tA
   bodhisattvānām? subhūte bodhisattvaiḥ, yaṃ śrāvakasya mārgaḥ, yāḥ	boDisattvAnAm? suBUte boDisattvEH, yam SrAvakasya mArgaH, yAH
   pratyekabuddhasya mārgaḥ, yo buddhasya mārgaḥ sarve mārgā utpādyante	pratyekabudDasya mArgaH, yaH budDasya mArgaH sarve mArgAH utpAdyante
   jñāyante ca / te 'pi paripūryante, teṣāṃ mārgāṇāṃ kriyāpi kriyate / na	jQAyante ca / te api paripUryante, tezAm mArgANAm kriyA api kriyate / na
   yāvat praṇidhānaparisamāptiḥ, sattvaparipākaḥ, buddhakṣetrapariśuddhirvā	yAvat praNiDAna parisamAptiH, sattva paripAkaH, budDa kzetra pariSudDiH vA
   kriyate, na tāvatteṣāṃ samyagbhūtāntasākṣātkāraḥ, ataḥ mārgajñatā	kriyate, na tAvat tezAm samyak BUtAnta sAkzAtkAraH, atas mArga jQa tA
   bodhisattvānām / bhagavan, kimarthaṃ sarvākārajñatā tathāgatasyārhataḥ	boDisattvAnAm / Bagavan, kim arTam sarva AkAra jQa tA taTAgatasya arhataH
   samyaksambuddhasya? subhūte, yena ākāreṇa, yena liṅgena, yena nimittena	samyaksambudDasya? suBUte, yena AkAreNa, yena liFgena, yena nimittena
   prakhyātā dharmāḥ, tamākāraṃ talliṅgaṃ tannimittaṃ tathāgatā avagacchanti,	praKyAtAH DarmAH, tam AkAram tat liFgam tad nimittam taTAgatAH avagacCanti,
   ataḥ tathāgatasya arhataḥ samyaksambuddhasya sarvākārajñateti / "evaṃ	atas taTAgatasya arhataH samyaksambudDasya sarva AkAra jQa tA iti / "evam
   saṃkṣiptāyāmapi (jinajananyāṃ)   "śrāvakabhūmāvapi śikṣitukāmenāpi"	saMkziptAyAm api (jina jana nyAn)  "SrAvaka BUmO= api Sikzitu kAmena api"
   ityādikamāha / vistṛtāyāmapi vistareṇābhihitam /	iti Adikam Aha / vistRtAyAm api vistareNa aBihitam /
   tatra sarvajñatā hi rūpādidharmānityatādyadhiṣṭhānā ātmamohaprahāṇaphalā;	tatra sarvajQa tA hi rUpa Adi Darma anitya tA Adi aDizWAnA Atma moha prahANa PalA;
   mārgajñatā sarvayānaniryāṇā tattvāsākṣātkārādhiṣṭhānā	mArga jQa tA sarva yAna niryANA tattva asAkzAtkAra aDizWAnA
   asaṃgṛhītasattvasaṃgrahādiphalāḥ; sarvākārajñatā	asaMgRhIta sattva saMgraha Adi PalAH; sarva AkAra jQa tA
   sarvadharmānutpādādhiṣṭhānā ākāśadhātuparyantāvicchinnasattvārthaphalā	sarva Darma anutpAda aDizWAnA AkASa DAtu paryanta avicCinna sattva arTa PalA
   bhūtāntādhigamavāsanāpratisandhiprahāṇātmikā /	BUta anta aDigama vAsanA pratisanDi prahANa AtmikA /
   itthamabhisamayālaṅkāre	itTam aBisamaya alaFkAre
   sarvavastupratipakṣākārasaṃgrahaṇenāśeṣābhisamayanirdeśaḥ kṛta	sarva vastu pratipakza AkAra saMgrahaNena aSeza aBisamaya nirdeSaH kRta
   itīdamupapadyate /	iti idam upapadyate /
   granthārambhaprayojanam	granTa AramBa prayojanam
   mandadhījanānāṃ tu vistṛtamadhmasaṃkṣiptāsu bhagavatīṣu	manda DI janAnAm tu vistRtam aDma saMkziptAsu BagavatIzu
   (saṃkṣiptamadhyavistṛta) rucisampannasattvahitecchayā karuṇāmayena	(saMkzipta maDya vistRta) ruci sampanna sattva hita icCayA karuNA mayena
   tattajjinajananyāṃ sakalaprajñāpāramitārthāṣṭābhisamayakramo deśita eva,	tad tat jina jananyAm sakala prajQApAramitA arTa azwa aBisamaya kramaH deSitaH eva,
   bhagavata āryājitajinasya tannidarśane kiṃ	BagavataH Arya ajita jinasya tat nidarSane kim
   prayojanamitiśaṅkānirākaraṇārthasandehotpādanena pravṛttyaṅgaṃ	prayojanam iti SaFkA nirAkaraNa arTa sandeha utpAdanena pravRtti aFgam
   svīyaśāstrābhidheyaprayojanaprayojanaprayojanāntarbhūtasambandhāṃśca	svIya SAstra aBiDeya prayojana prayojana prayojana antarBUta sambanDAn= ca
   pradarśayannāha  	pradarSayan= Aha  
   sarvākārajñatāmārgaṃḥ śāsitrā yo 'tra deśitaḥ /	sarva AkAra jQa tA mArganH SAsitrAH yaH atra deSitaH /
   dhīmanto vīkṣiṣīraṃstamanālīḍhaṃ parairiti // Abhis_1.2 //	DImantaH vIkzizI ran= tam anAlIXam parEH iti // ABiH _1.2 //
   smṛtau cādhāya sūtrārthaṃ dharmacaryāṃ daśātmikām /	smRtO ca ADAya sUtra arTam Darma caryAm daSa AtmikAm /
   sukhena pratipatsīrannityārambhaprayojanam // Abhis_1.3 //	suKena pratipatsIrat = iti AramBa prayojanam // ABiH _1.3 //
   iti / sarvākārajñataiva hi buddhatvamārga iti	iti / sarva AkAra jQa tA eva hi budDa tva mArgaH iti
   sarveṣāmabhisamayānāmupalakṣaṇatvāttasyāmeva tātparyam / triprātihāryaiḥ	sarvezAm aBisamayAnAm upalakzaNa tvAt tasyAm eva tAtparyam / tri prAtihAryEH
   sakalajanānuśāsakena bhagavatā jinajananītraye yo 'bhidheyo deśitaḥ, sa	sakala jana anuSAsakena BagavatA jinajananI traye yaH aBiDeyaH deSitaH, sa
   abhidhānābhidheyopāyopeyapratipattirūpeṇa sambaddhaḥ,	aBiDAna aBiDeya upAya upeya pratipatti rUpeNa sambadDaH,
   bāhyetaravītarāgādibhiḥ sarvadharmanairātmyānabhyastaiḥ	bAhya itara vIta rAga AdiBiH sarva Darma nErAtmyAn aByastEH
   śrutamayādiprajñākrameṇānālīḍha iti suvyavasthāpite	Sruta maya Adi prajQA krameNa anAlIXaH iti su vyavasTApite
   vāsanāsambhūtasmṛtijñāne	vAsanA samBUta smRti jQAne
   bodhicittadānapratipattyācāramaṣṭābhisamayātmakamaśeṣaprajñāpāramitāsūtrārthaṃ	boDi citta dAna pratipatti AcAram azwa aBisamaya Atmakam aSeza prajQApAramitA sUtra arTam
   samyagādhāya	samyak ADAya
   sarvatragadharmadhātvadhigamalakṣaṇapramuditabhūmyādyadhigamakrameṇa	sarvatraga Darma DAtu aDigama lakzaNa pramudita BUmi Adi aDigama krameNa
   sarvākāraṃ sākṣātkuryāditi prayojanaprayojanāya vineyā	sarva AkAram sAkzAt kuryAt iti prayojana prayojanAya vineyA
   abhilaṣitaprajñāpāramitārthabodhicittapratipattyādilakṣaṇāni sukhena	aBilazita prajQApAramitA arTa boDi citta pratipatti Adi lakzaNAni suKena
   pratipatsīranniti śāstrārambhaprayojanam //	pratipatsIran= iti SAstra AramBa prayojanam //
   prajñāpāramitāyāḥ kāyikavyavasthāpanam	prajQApAramitAyAH kAyika vyavasTApanam
   evaṃ sambandhādīn vyāhṛtya vineyānāṃ sukhena pratipattaye	evam sambanDa AdIn vyAhRtya vineyAnAm suKena pratipattaye
   supravibhaktasyāpi śāstrārthasya asaṃlulitatvena	su praviBaktasya api SAstra arTasya asaMlulita tvena
   vyākhyānasaukaryamavalokya pañcadaśabhiḥ kārikābhiḥ samāsavyāsanirdeśena	vyAKyAna sOkaryam avalokya paQcadaSaBiH kArikABiH samAsa vyAsa nirdeSena
   prajñāpāramitāyāḥ kāyikavyavasthāpanamāha  	prajQApAramitAyAH kAyika vyavasTApanam Aha  
   prajñāpāramitāṣṭābhiḥ padārthaiḥ samudīritā /	prajQApAramitA azwABiH padArTEH samudIritA /
   sarvākārajñatā mārgajñatā sarvajñatā tataḥ // Abhis_1.4 //	sarva AkAra jQa tA mArga jQa tA sarvajQa tA tatas // ABiH _1.4 //
   sarvākārābhisambodho mūrdhaprāpto 'nupūrvikaḥ /	sarva AkAra aBisamboDaH mUrDa prAptaH anupUrvikaH /
   ekakṣaṇābhisambodho dharmakāyaśca te 'ṣṭadhā // Abhis_1.5 //	eka kzaNa aBisamboDaH Darma kAyaH ca te azwaDA // ABiH _1.5 //
   cittotpādo 'vavādaśca nirvedhāṅgaṃ caturvidham /	citta utpAdaH avavAdaH ca nirveDa aFgam caturviDam /
   ādhāraḥ pratipatteśca dharmadhātusvabhāvakaḥ // Abhis_1.6 //	ADAraH pratipatteH ca DarmaDAtu svaBAvakaH // ABiH _1.6 //
   ālambanaṃ samuddeśaḥ sannāhaprasthitikriye /	Alambanam samuddeSaH sannAha prasTiti kriye /
   sambhārāśca saniryāṇāḥ sarvākārajñatā muneḥ // Abhis_1.7 //	samBArAH ca sa niryANAH sarva AkAra jQa tA muneH // ABiH _1.7 //
   śyāmīkaraṇatādīni śiṣyakhaḍgapathau ca yau /	SyAmIkaraNa tA AdIni Sizya Kaxga paTO ca yO /
   mahānuśaṃso dṛṅmārga aihikāmutrikairguṇaiḥ // Abhis_1.8 //	mahA anuSaMsaH dRS mArgaH EhikAmutrikEH guNEH // ABiH _1.8 //
   kāritramadhimuktiśca stutastobhitaśaṃsitāḥ /	kAritram aDimuktiH ca stuta stoBita SaMsitAH /
   pariṇāme 'numode ca manaskārāvanuttamau // Abhis_1.9 //	pariNAme anumode ca manaskArO= anuttamO // ABiH _1.9 //
   nirhāraḥ śuddhiratyantamityayaṃ bhāvanāpathaḥ /	nirhAraH SudDiH atyantam iti ayam BAvanApaTaH /
   vijñānāṃ bodhisattvānāmiti mārgajñatoditā // Abhis_1.10 //	vijQAnAm boDisattvAnAm iti mArga jQa toditAH // ABiH _1.10 //
   prajñayā na bhave sthānaṃ kṛpayā na śame sthitiḥ /	prajQayA na Bave sTAnam kRpayA na Same sTitiH /
   anupāyena dūratvapāyenāvidūratā // Abhis_1.11 //	anupAyena dUra tva pAyena avidUra tA // ABiH _1.11 //
   vipakṣapratipakṣau ca prayogaḥ samatāsya ca /	vipakza pratipakzO ca prayogaH sama tA asya ca /
   dṛṅmārgaḥ śrāvakādīnāmiti sarvajñateṣyate // Abhis_1.12 //	dRS mArgaH SrAvaka AdInAm iti sarvajQa tA izyate // ABiH _1.12 //
   ākārāḥ saprayogāśca guṇā doṣāḥ salakṣaṇāḥ /	AkArAH sa prayogAH ca guNAH dozAH sa lakzaNAH /
   mokṣanirvedhabhāgīye śaikṣo 'vaivartiko gaṇaḥ // Abhis_1.13 //	mokza nirveDa BAgIye SEkzaH avEvartikaH gaNaH // ABiH _1.13 //
   samatābhavaśāntyośca kṣetraśuddhiranuttarā /	samatA Bava SAntyoH ca kzetra SudDiH anuttarA /
   sarvākārābhisambodha eṣa sopāyakauśalaḥ // Abhis_1.14 //	sarva AkAra aBisamboDaH eza sa upAya kOSalaH // ABiH _1.14 //
   liṅgaṃ tasya vivṛddhiśca nirūḍhiścittasaṃsthitiḥ /	liFgam tasya vivRdDiH ca nirUXiH citta saMsTitiH /
   caturdhā ca vikalpasya pratipakṣaścaturvidhaḥ // Abhis_1.15 //	caturDA ca vikalpasya pratipakzaH caturviDaH // ABiH _1.15 //
   pratyekaṃ darśanākhye ca bhāvanākhye ca vartmani /	pratyekam darSana AKye ca BAvanA AKye ca vartmani /
   ānantaryasamādhiśca saha vipratipattibhiḥ // Abhis_1.16 //	Anantarya samADiH ca saha vipratipattiBiH // ABiH _1.16 //
   mūrdhābhisamayastredhā daśadhā cānupūrvikaḥ /	mUrDa aBisamayaH treDA daSaDA ca AnupUrvikaH /
   ekakṣaṇābhisambodho lakṣaṇena caturvidhaḥ // Abhis_1.17 //	eka kzaNa aBisamboDaH lakzaNena caturviDaH // ABiH _1.17 //
   svābhāvikaḥ sasāṃbhogo nairyāṇiko 'parastathā /	svABAvikaH sa sAMBogaH nEryANikaH aparaH taTA /
   dharmakāyaḥ sakāritraścaturdhā samudīritaḥ // Abhis_1.18 //	Darma kAyaH sa kAritraH caturDA samudIritaH // ABiH _1.18 //
   iti / tatra prathamakārikādvayena aṣṭavastūnāṃ saṃgrahāt samāsanirdeśaḥ,	iti / tatra praTama kArikA dvayena azwa vastUnAm saMgrahAt samAsa nirdeSaH,
   tataḥ trayodaśakārikābhiḥ tasyaivārthaṃ saṃgṛhya vistareṇa vyākhyānaṃ	tatas trayodaSa kArikABiH tasya eva arTam saMgRhya vistareNa vyAKyAnam
   bhavati / itthaṃ saṃkṣepavistarābhyāṃ bhāṣitatvena subhāṣitam /	Bavati / itTam saMkzepa vistarAByAm BAzita tvena su BAzitam /
   piṇḍārthakārikāṇāmeva śāstrapraṇetrā 'cittotpādaḥ parārthāya'  	piNxa arTa kArikANAm eva SAstra praNetrA acitta utpAdaH para arTAya a  
   ityādivakṣyamāṇasakalaśāstreṇa vyākhyāsyamānatvāt tadvyākhyānenaiva	ityAdi vakzyamANa sakala SAstreNa vyAKyAsyamAna tvAt tad vyAKyAnena eva
   vyākhyānaṃ sañcintya vīpsābhayena nātraitā vyākhyātāḥ /	vyAKyAnam saQcintya vIpsA aBayena na atra etAH vyAKyAtAH /
   sarvākārajñatā	sarva AkAra jQa tA
   1 cittotpādaḥ	1 citta utpAdaH
   itthaṃ sakalapiṇḍārtha nirdiśya bodhiṃ prāptukāmairbodhisattvaiḥ	itTam sakala piNxa arTa nirdiSya boDim prAptu kAmEH boDisattvEH
   phalabhūtatvāt sarvākārajñatādhigantavyetyādau	Pala BUta tvAt sarva AkAra jQa tA aDigantavya ityAdO
   sarvākārajñatāsaṃgrahakārikāṃ vyākhyātukāmaḥ sālambanaṃ	sarva AkAra jQa tA saMgraha kArikAm vyAKyAtu kAmaH sa Alambanam
   cittotpādasvarūpamāha  	citta utpAda svarUpam Aha  
   cittotpādaḥ parārthāya samyaksambodhikāmatā /	citta utpAdaH para arTAya samyaksamboDikA matA /
   buddho bhūtvā yathābhavyatayā parārthaṃ prati yatnaṃ kuryāmiti parārthāya	budDaH BUtvA yaTA aBavya tayA para arTam prati yatnam kuryAm iti para arTAya
   samyaksambodhyadhikāmatālakṣaṇaḥ praṇidhiprasthānasvabhāvo	samyaksamboDi aDikA matA lakzaNaH praNiDi prasTAna svaBAvaH 
   dvividhaścittotpādaḥ / samyaksambodhikāmatā ca tatprārthanā kuśalo	dviviDaH citta utpAdaH / samyaksamboDikAmatA ca tad prArTanA kuSalaH 
   dharmacchandaścaitasikaḥ / viśiṣṭaviṣayapratibhāsamutpadyamānaṃ cittaṃ	Darma= CandaH cEtasikaH / viSizwa vizaya pratiBAsam utpadyamAnam cittam
   "cittotpādaḥ" iti kathaṃ sa (caitasikaḥ) cittotpādo bhavet? satyametat /	"citta utpAdaH" iti kaTam saH (cEtasikaH) citta utpAdaH Bavet? satyam etat /
   kintu kuśaladharmacchandalakṣaṇāyāṃ prārthanāyāṃ satyāṃ	kintu kuSala Darma= Canda lakzaNAyAm prArTanAyAm satyAm
   bodhicittamutpadyata iti kāraṇenātra kāryaṃ nirdiṣṭamevaṃ prārthayituḥ	boDi cittam utpadyate iti kAraNena atra kAryam nirdizwam evam prArTayituH
   bodhisattvasya sarve kuśalā dharmā vṛddhiṃ yāntīti jñāpanāya copacāraḥ	boDisattvasya sarve kuSalAH DarmAH vRdDim yAnti iti jQApanAya ca upacAraH
   samāśrita ityadoṣaḥ / anyaprakāreṇa praṇidhānaṃ prārthanā vā	samASritaH iti adozaH / anya prakAreNa praNiDAnam prArTanA vA
   samyaksambodhikāmatā tatsahacaritacittotpādaḥ prārthanayātidiśyate /	samyaksamboDikAma tA tad sahacarita citta utpAdaH prArTanayA atidiSyate /
   evañca praṇidhānasahagataṃ taccittamutpadyata iti jñāpanāya vā //	evaQca praNiDAna sahagatam tat cittam utpadyate iti jQApanAya vA //
   keyaṃ samyaksaṃbodhiḥ? kaśca parārtho yatkāmatātmako yadarthaścittotpāda	kA iyam samyaksaMboDiH? kaH ca para arTaH yat kAma tA AtmakaH yad arTaH citta utpAda
   iti cet? ucyate  	iti cet? ucyate  
   samāsavyāsataḥ sā ca yathāsūtraṃ sa cocyate // Abhis_1.19 //	samAsa vyAsataH sA ca yaTAsUtram sa ca ucyate // ABiH _1.19 //
   tisṛṣvapi jinajananīṣu prajñāpāramitāyāṃ dānādau ca	tisRzu api jina jananIzu prajQApAramitAyAm dAna AdO ca
   deyadāyakapratigrāhakādyanupalabdhiḥ pratipattavyeti jñāpanārthakena;	deya dAyaka pratigrAhaka Adi anupalabDiH pratipattavyA iti jQApana arTakena;
   yathābhavyasarvasattvān nirvāṇe, matsariṇaśca dānādau	yaTA Bavya sarva sattvAn nirvANe, matsariNaH ca dAna AdO
   pratiṣṭhāpayitukāmenāsyāṃ prajñāpāramitāyāṃ	pratizWA payitu kAmena asyAm prajQApAramitAyAm
   pratipattavyamitipradarśanapareṇa vacanena (vākyena) sūtrārthāviruddhena	pratipattavyamiti pradarSana pareNa vacanena (vAkyena) sUtra arTa avirudDena
   samāsavyāsataḥ parārthā samyaksambodhiḥ nirdiṣṭā / itthaṃ 'cittotpādaḥ	samAsa vyAsataH para arTA samyaksamboDiH nirdizwAH / itTam acitta utpAdaH
   parārthāya samyaksambodhikāmatā' jñātavyā /	para arTAya samyaksamboDikA matA a jQAtavyAH /
   sarvākaragranthatātparyārthanirdeśāvasare sarvaṃ kathitaṃ tathāpi	sarva Akara granTa tAtparya arTa nirdeSa avasare sarvam kaTitam taTA api
