   // śrīḥ //	// SrIH //
   // Āryamañjuśrīmūlakalpam /	// Ārya maQju SrI mUla kalpam /
   atha bhagavān saṅkusumitarājendrastathāgato muhūrte tūṣṇīmabhūt / sarve	aTa BagavAn saFkusumita rAja indraH taTAgataH muhUrte tUzNIm aBUt / sarve
   sarvāvantaṃ lokadhātuṃ buddhacakṣuṣāvalokya tāṃśca buddhān bhagavataḥ	sarvAvantam lokaDAtum budDa cakzuzA avalokya tAn= ca budDAn BagavataH
   samanvāhṛtaṃ vā maitrātmakena cetasā mantramudīrayate sma / namaḥ	samanvAhRtam vA mEtra Atmakena cetasA mantram udIrayate sma / namaH
   sarvabuddhānām / mantraḥ / eṣa mañjuśrīḥ paramahṛdayaḥ sarvakarmakaraḥ //	sarva budDAnAm / mantraH / eza maQjuSrIH parama hRdayaH sarva karma karaH //
   atha mañjuśrīḥ kumārabhūtastasmāt samādhervyutthāya sayathāpi nāma balavān	aTa maQjuSrIH kumAra BUtaH tasmAt samADeH vyutTAya sa yaTA api nAma balavAn
   puruṣaḥ sammiñjitaṃ bāhuṃ prasārayet, prasāritaṃ vā	puruzaH sammiQjitam bAhum prasArayet, prasAritam vA
   sammiñjayedacchaṭāsaṅghātamātro	sammiQjayet acCawA saFGAta mAtraH 
   nimeṣonmeṣakṣaṇamātraśuddhivalavalajabuddhirnāmanītasamādhiviśeṣavikurvaṇaṃ	nimeza unmeza kzaNa mAtra SudDi vala vala ja budDiH nAma nIta samADi viSeza vikurvaNam
   nāma samāpadyata sahāṃ lokadhātuṃ pratyasthāt / āgatya copari	nAma samApadyata sahAm lokaDAtum pratyasTAt / Agatya ca upari
   gaganatalamahāmaṇiratnapratiṣṭhite śuddhāvāsadevanikāye pratyaṣṭhāt /	gagana tala mahA maNi ratna pratizWite SudDAvAsa deva nikAye pratyazWAt /
   sarvaṃ ca taṃ (Vaidya 3) śuddhāvāsabhavanaṃ mahatā raśmyavabhāsenāvabhāsya	sarvam ca tam (VEdyaH 3) SudDAvAsa Bavanam mahatA raSmi avaBAsena avaBAsya
   jyotiratnapratimaṇḍanoddyotanīṃ nāma samāpadyate sma /	jyotiratnapratimaNxana uddyotanIm nAma samApadyate sma /
   samanantarasamāpannasya mañjuśriyaḥ	samanantara samApannasya maQju SriyaH
   kumārabhūtasyānekaratnapravibhaktakūṭāgāraratnacchatrānekayojanaśatasahasravistīrṇadivyadṛśyamahāpaṭṭakalāpopaśobhitaviracitadivyapuṣpadhvajapatāka	kumAra BUtasya aneka ratna praviBakta kUwa AgAra ratna= Catra aneka yojana Sata sahasra vistIrNa divya dRSya mahA pawwa kalApa upaSoBita viracita divya p
   mālākularatnakiṅkiṇījālopanaddhamadhurasarvanirghoṣavaivarttikatvabodhisattvapratiṣṭhāpanadivyaṃ	mAlA Akula ratna kiFkiNI jAla upanadDa maDura sarva nirGoza vEvarttika tva boDisattva pratizWApana divyam
   ca gandhamālyavilepanasrakcūrṇapravarṣaṃ cābhinirmame bhagavataḥ	ca ganDa mAlya vilepana sraj cUrNa pravarzam ca aBinirmame BagavataH
   śākyamuneḥ pūjākarmaṇe tamāścaryādbhutaprātihāryaṃ bodhisattvavikurvaṇaṃ	SAkya muneH pUjA karmaNe tam AScaryA adButa prAtihAryam boDisattva vikurvaNam
   dṛṣṭvā //	dRzwvA //
   atha te śuddhāvāsakāyikā devaputrā saṃhṛṣṭaromakūpajātā bhavanaṃ	aTa te SudDAvAsa kAyikA deva putrA saMhRzwa romakUpa jAtA Bavanam
   prakampamānaṃ dṛṣṭvā, uttaptabhinnahṛdayā āhosvit kiṃ ṛddheḥ parihīyāma	prakampamAnam dRzwvA, uttapta Binna hRdayAH Ahosvit kim RdDeH parihIyAma
   iti satvaramāṇarūpāḥ uccaiḥ krośitumārabdhāḥ evaṃ cāhuḥ ḥ paritrāyasva	iti satvaramANa rUpAH uccEs kroSitum ArabDAH evam ca AhuH H paritrAyasva
   bhagavan paritrāyasva śākyamune //	Bagavan paritrAyasva SAkya mune //
   atha bhagavān sarvāvantaṃ śuddhāvāsaparṣadamāmantrayate sma / mā bhaiṣṭatu	aTa BagavAn sarvAvantam SudDAvAsa parzadam Amantrayate sma / mA BEzwatu
   mārṣā mā bhaiṣṭatha / eṣa sa mañjuśrīḥ kumārabhūto bodhisattvo mahāsattvaḥ	mArzAH mA BEzwaTa / eza sa maQjuSrIH kumAra BUtaH boDisattvaH mahAsattvaH
   saṅkusumite buddhakṣetre saṅkusumitarājasya tathāgatasya sakāśād draṣṭuṃ	saFkusumite budDa kzetre saFkusumita rAjasya taTAgatasya sakASAt drazwum
   vandituṃ paryupāsituṃ mahatārthacaryāmantrapadavaipulyādbhutadharmapadaṃ	vanditum paryupAsitum mahatA arTa caryA mantra pada vEpulya adButa Darma padam
   ca nirdiṣṭumāgataḥ //	ca nirdizwum AgataH //
   atha khalu mañjuśrīḥ kumārabhūto bhagavataḥ śākyamunestriḥ	aTa Kalu maQjuSrIH kumAra BUtaH BagavataH SAkya muneH tris 
   pradakṣiṇīkṛtyānimiṣanayano bhagavantamavalokya caraṇayornipatya	pradakziNIkRtya animiza nayanaH Bagavantam avalokya caraNayoH nipatya
   imebhirakṣarapadapratyāhārairbhagavantamabhyaṣṭāvīt /	imeBiH akzara pada pratyAhArEH Bagavantam aByazwAvIt /
   namaste muktāyājanya namaste puruṣottamaḥ /	namaH te muktAya ajanya namaH te puruzottamaH /
   namaste puruṣaśreṣṭha sarvacaryārthasādhakaḥ // Mmk_1.1 //	namaH te puruza SrezWa sarva caryA arTa sADakaH // Mmc _1.1 //
   namaste puruṣasiṃha sarvānarthanivāraka /	namaH te puruza siMha sarva anarTa nivAraka /
   manaste 'stu mahāvīra sarvadurgavināśakaḥ // Mmk_1.2 //	manaH te astu mahA vIra sarva durga vinASakaH // Mmc _1.2 //
   namaste puruṣa puṇḍarīkapuṇyagandhamanantaka /	namaH te puruza puNxarIka puNya ganDam anantakaH /
   namaste puruṣapadma tribhavapaṅkaviśodhaka // Mmk_1.3 //	namaH te puruza padma tri Bava paFka viSoDaka // Mmc _1.3 //
   namaste muktāya sarvaduḥkhavimocaka /	namaH te muktAya sarva duHKa vimocakaH /
   namaste śāntāya sarvādāntasudāntaka // Mmk_1.4 //	namaH te SAntAya sarvAdAnta sudAntakaH // Mmc _1.4 //
   namaste siddhāya sarvamantracaryārthasādhaka /	namaH te sidDAya sarva mantra caryA arTa sADaka /
   namaste maṅgalyāya sarvamaṅgalamaṅgala // Mmk_1.5 //	namaH te maFgalyAya sarva maFgala maFgala // Mmc _1.5 //
   namaste buddhāya sarvadharmāvabodhane /	namaH te budDAya sarva Darma avaboDane /
   namaste tathāgatāya sarvadharmatathāgata /	namaH te taTAgatAya sarva Darma taTAgataH /
   niḥprapañcākārasamanupraviṣṭadeśika // Mmk_1.6 //	niHprapaQca AkAra samanupravizwa deSika // Mmc _1.6 //
   namaste sarvajñāya	namaH te sarvajQAya
   sarvajñajñeyavastusaṃskṛtāsaṃskṛtatriyānamārganirvāṇapratiṣṭhāpanapratiṣṭhitāya	sarvajQa jQeya vastu saMskRta asaMskRta triyAna mArga nirvANa pratizWApana pratizWitAya
   iti /	iti /
   ebhirakṣarapadapratyāhārastotrapadairbhagavantaṃ saṃmukhama + + + + + + +	eBiH akzara pada pratyAhAra stotra padEH Bagavantam saMmuKama + + + + + + +
   lokadhātūnatikramya pūrvottare digbhāge saṅkusumitaṃ nāma	lokaDAtUn atikramya pUrvottare digBAge saFkusumitam nAma
   buddhakṣetramabhūt / (Vaidya 4) tatra kusumāvatī nāma lokadhātu yatra sa	budDa kzetram aBUt / (VEdyaH 4) tatra kusumAvatI nAma lokaDAtu yatra sa
   bhagavān saṅkusumitarājendrastathāgato viharatyarha samyak sambuddho	BagavAn saFkusumita rAja indraH taTAgataH viharati arha samyak sambudDaH 
   vidyācaraṇa + + + + + + + + + + + + + + + + + + + ṣvādeśayatyādau	vidyA caraNa + + + + + + + + + + + + + + + + + + + zu AdeSayati AdO
   kalyāṇaṃ, madhye kalyāṇaṃ, paryavasāne kalyāṇaṃ svārthaṃ sarvaṃ janaṃ	kalyANaM, maDye kalyANaM, paryavasAne kalyANam sva arTam sarvam janam
   kevalaṃ paripūrṇaṃ pariśuddhaṃ paryavadātaṃ buddhacaryaṃ samprakāśayati	kevalam paripUrNam pariSudDam paryavadAtam budDa caryam samprakASayati
   sma //	sma //
   sa etarhi tiṣṭhati dhriyate yāpayati dharmaṃ ca do + + + + + + + + + + + +	saH etarhi tizWati Driyate yApayati Darmam ca daH + + + + + + + + + + + +
   + + + + + + + + trāṇaṃ layanaṃ śaraṇaṃ parāyaṇaṃ	+ + + + + + + + trANam layanam SaraNam parAyaNam
   kṣemamatyantaniṣṭhamatyantaparyavasānaṃ sarvasattvānāṃ ca bhāṣate sma /	kzemam atyanta nizWam atyanta paryavasAnam sarva sattvAnAm ca BAzate sma /
   tenaiva bhagavatā kṛtābhyanujñāta ihāgato bhagavataḥ samīpapādamūlam sa ca	tena eva BagavatA kRta aByanujQAtaH iha AgataH BagavataH samIpa pAda mUlam sa ca
   bhagavān saṅkusumitarājendrastathāgato bhagavata alpābādhatāṃ	BagavAn saFkusumita rAja indraH taTAgataH BagavataH alpa AbADa tAm
   laghūtthānalovabhāsyatvavihāratāṃ paryapṛcchat / evaṃ cāha   ‘āścaryam	laGu utTAna lova BAsya tva vihAra tAm paryapRcCat / evam ca Aha  ‘a AScaryam
   yatra hi nāma evaṃvidhe pañcakaṣāye kāle buddho bhagavān	yatra hi nAma evaMviDe paQca kazAye kAle budDaH BagavAn
   śākyamunirutpannaḥ sarvadharmaṃ deśayati / anūnapadavyañjanaṃ	SAkya muniH utpannaH sarva Darmam deSayati / anUna pada vyaQjanam
   tṛpathāpavargadevamanuṣyopapattipratilobhanatā / āścaryaṃ tasya bhagavataḥ	tRpaTa apavarga deva manuzya upapatti pratiloBa natA / AScaryam tasya BagavataH
   śākyamunervīryam / yatra hi nāma abhavye sattvanikāye	SAkya muneH vIryam / yatra hi nAma aBavye sattva nikAye
   tribhavasamudyātānuvarttite mārge 'tyantayogakṣemānugame nirvāṇe bhaktaṃ	triBava samudyAta anuvarttite mArge atyanta yogakzema anugame nirvANe Baktam
   pratiṣṭhāpayati / api tu bhagavān buddhānāṃ bhagavatāṃ cittaṃ buddhā eva	pratizWApayati / api tu BagavAn budDAnAm BagavatAm cittam budDAH eva
   bhagavantaṃ jñāsyanti / kiṃ mayā śakyamacintyādbhutaiścaryavikurvitānāṃ	Bagavantam jQAsyanti / kim mayA Sakyam acintya adButEH carya vikurvitAnAm
   bhagavatāṃ buddhavikurvituṃ jñātum /	BagavatAm budDa vikurvitum jQAtum /
   cittacaritacaryānupraveśanirhāraceṣṭitaṃ jñātuṃ vā samāsanirdeśato vā	citta carita caryA anupraveSa nirhAra cezwitam jQAtum vA samAsa nirdeSataH vA
   kalpakoṭīnayutaśatasahasrairapi vaktum / yo 'yaṃ tathāgatānāṃ	kalpa kowIn ayuta Sata sahasrEH api vaktum / yaH ayam taTAgatAnAm
   tathāgatanirhārasamastavyastāśeṣamūrtyā saṃskṛtadharmato draṣṭavyaḥ /	taTAgata nirhAra samasta vyasta aSeza mUrtyA saMskRta DarmataH drazwavyaH /
   darśanaheyapurāṇāva lambināṃ caryā vaktuṃ guṇān vā kathayituṃ tathāgata	darSana heya purANAva lambinAm caryA vaktum guNAn vA kaTayitum taTAgata
   evātra bhagavān jānīte; na vayam //	eva atra BagavAn jAnIte; na vayam //
   atha khalu mañjuśrīḥ kumārabhūtaḥ svariddhivikurvitanirmite mahāratnapadme	aTa Kalu maQjuSrIH kumAra BUtaH sva ridDi vikurvita nirmite mahA ratna padme
   niṣaṇṇaḥ, bhagavantaṃ śākyamuniṃ nirīkṣyamāṇaḥ / atha	nizaNNaH, Bagavantam SAkya munim nirIkzyamANaH / aTa
   bhagavāñchākyamunirmañjuśriyaṃ kumārabhūtaṃ bodhisattvaṃ mahāsattvaṃ	BagavAn SAkya muniH maQju Sriyam kumAra BUtam boDisattvam mahAsattvam
   vividhakathānusāre tathāgatabhūtān pūrvapraśnapūrvaṅgamapuraḥ	viviDa kaTA anusAre taTAgata BUtAn pUrva praSna pUrvaFgamapuraH
   saradharmadeśanānukūlabodhisattvacaryānirhārārthopasaṃhitena brāhmeṇa	sara Darma deSana anukUla boDisattva caryA nirhAra arTa upasaMhitena brAhmeNa
   svareṇa kalaviṅkarutaracitagarjitadundubhisvaranināditanirghoṣeṇa svareṇa	svareNa kalaviFka ruta racita garjita dunduBi svara ninAdita nirGozeNa svareNa
   mañjuśriyaṃ kumārabhūtamāmantrayate sma / svāgataṃ te mañjuśrīḥ mahāsattva	maQju Sriyam kumAra BUtam Amantrayate sma / svAgatam te maQjuSrIH mahA sattva 
   caryāsarvabuddhyadhiṣṭhitanirhārasarvabodhisattvārtthasamprāpakasarvamantrapadasarahasyābhiṣekamudrāmaṇḍalakalyabhiṣeka	caryA sarva budDi aDizWita nirhAra sarva boDisattva ArtTa samprApaka sarva mantra pada sarahasya aBizeka mudrA maNxala kalI aBizeka
   āyurārogyaiśvaryasarvāśāpāripūrakaḥ	AyuH Arogya ESvarya sarva ASApAripUrakaH
   sarvasādhanaupayikatantrajñānajñeyakālāntarādhānarājyakṣetra	sarva sADa na Opayika tantra jQAna jQeya kAla antara ADAna rAjya kzetra
   atītānāgatavartamānasaṃkṣepataḥ sarvasattvānāṃ sarvāśāpāripūraka	atIta anAgata vartamAna saMkzepataH sarva sattvAnAm sarva ASApAripUraka
   svaguṇodbodhanamantracaryānuvarttitaparasattvaprītikaraṇa	sva guNa udboDana mantra caryA anuvarttita para sattva prIti karaNa
   antarddhānākāśagamana pādapracārika medhāvīkaraṇa ākarṣaṇa pātālapraveśana	antardDAna AkASa gamana pAda pracArika meDAvIkaraNaH AkarzaNa pAtAla praveSana
   ābhicārika sarvakāmāvāptisaṅkula yakṣayakṣiṇī	ABicArika sarva kAma avApti saFkula yakza yakziNI
   kiṅkarapiśācasarvabhūtākarṣaṇa bālavṛddhataruṇayathāsthitisthāpakaḥ	kiFkara piSAca sarva BUta AkarzaNa bAla vRdDa taruNa yaTA sTiti sTApakaH
   saṃkṣepataḥ sarvakarmakara sarvamanorathaparipūraka ābhicāraka	saMkzepataH sarva karma kara sarva manoraTa paripUrakaH ABicAraka
   śāntikapauṣṭikeṣu prakurvāṇaḥ, yathā yathā prayujyamānastathā tathā	SAntika pOzwikezu prakurvANaH, yaTA yaTA prayujyamAnaH taTA taTA
   śrāvyamānabodhisattvapiṭakāvataṃsakaṃ mahākalparatnapaṭalavisaraṃ	SrAvyamAna boDisattva piwaka avataMsakam mahA kalpa ratna pawala visaram
   asmābhiranujñātaḥ sarvabuddhaiśca śuddhasattva + + + + ye dharmakośaṃ	asmABiH anujQAtaH sarva budDEH ca SudDa sattvaH + + + + ye Darma koSam
   bahujanahitāya bahujanakāmāya devānāṃ ca manuṣyāṇāṃ ca sarvasattvānuddiśya	bahu jana hitAya bahu jana kAmAya devAnAm ca manuzyANAm ca sarva sattvAn uddiSya
   (Vaidya 5)	(VEdyaH 5)
   atha khalu mañjuśrīḥ kumārabhūtaḥ	aTa Kalu maQjuSrIH kumAra BUtaH
   sarvabuddhādhiṣṭhānajyotiraśmivyūhālaṅkārasañcodanīṃ nāma	sarvabudDADizWAnajyotiraSmi vyUhAlaFkArasaQcodanIm nAma
   bodhisattvasamādhiṃ samāpadyate / samanantara samāpannasyānekagaṅgāna + +	boDisattva samADim samApadyate / samanantara samApannasya anekagaFgAnaH + +
   + + + + + + + + yāvad + + + bhuvanaṃ yāvacca avīcirmahānarakaṃ ye kecit	+ + + + + + + + yAvat + + + Buvanam yAvat ca avIciH mahAnarakam ye kecid 
