   Vajrasūcī (Vs)	Vajra sUcI (Vs)
   droṇācāryastu kalaśāttittiristittirīsutaḥ // Vs_8 //	droNa AcAryaH tu kalaSAt tittiriH tittirI sutaH // VH _8 //
   reṇukājanayadrāmamṛṣyaśṛṅgamuniṃ mṛgī /	reNukA janayat rAmam Rzya SRFga munim mRgI /
   kaivartinyajanayad vyāsaṃ kuśikaṃ caiva śūdrikā // Vs_9 //	kEvartinI ajanayat vyAsam kuSikam ca eva SUdrikA // VH _9 //
   viśvāmitraṃ ca caṇḍālī vasiṣṭhaṃ caiva urvaśī /	viSvAmitram ca caNxAlI vasizWam ca eva urvaSI /
   na teṣāṃ brāhmaṇī mātā lokācārācca brāhmaṇāḥ // Vs_10 //	na tezAm brAhmaNI mAtA loka AcArAt ca brAhmaNAH // VH _10 //
   sadyaḥ patati māṃsena lākṣayā lavaṇena ca /	sadyas patati mAMsena lAkzayA lavaNena ca /
   tryahācchūdraśca bhavati brāhmaṇaḥ kṣīravikrayī // Vs_11 //	tri ahAt SUdraH ca Bavati brAhmaNaH kzIra vikrayI // VH _11 //
   ākāśagāmino viprāḥ patanti māṃsabhakṣaṇāt /	AkASa gAminaH viprAH patanti mAMsa BakzaNAt /
   viprāṇāṃ patanaṃ dṛṣṭvā tato māṃsāni varjayet // Vs_12 //	viprANAm patanam dRzwvA tatas mAMsAni varjayet // VH _12 //
   brāhmaṇatvaṃ na śāstreṇa na saṃskārairna jātibhiḥ /	brAhmaNa tvam na SAstreNa na saMskArEH na jAtiBiH /
   na kulena na vedena na karmaṇā bhavettataḥ // Vs_13 //	na kulena na vedena na karmaNA Bavet tatas // VH _13 //
   nirmamo nirahaṅkāro niḥsaṅgo niṣparigrahaḥ /	nirmamaH nirahaFkAraH niHsaFgaH nizparigrahaH /
   rāgadveṣavinirmuktastaṃ devā brāhmaṇaṃ viduḥ // Vs_14 //	rAga dveza vinirmuktaH tam devAH brAhmaNam viduH // VH _14 //
   satyaṃ brahma tapo brahma brahma cendriyanigrahaḥ /	satyam brahma tapaH brahma brahma ca indriya nigrahaH /
   sarvabhūte dayā brahma etad brāhmaṇa lakṣaṇam // Vs_15 //	sarva BUte dayA brahma etat brAhmaNa lakzaNam // VH _15 //
   satyaṃ nāsti tapo nāsti nāsti cendriyanigrahaḥ /	satyam na asti tapaH na asti na asti ca indriya nigrahaH /
   sarvabhūte dayā nāsti etaccāṇḍālalakṣaṇam // Vs_16 //	sarva BUte dayA na asti etat cANxAla lakzaNam // VH _16 //
   devamānuṣanārīṇāṃ tiryagyonigateṣvapi /	deva mAnuza nArINAm tiryagyoni gatezu api /
   maithunaṃ nādhigacchanti te viprāste ca brāhmaṇāḥ // Vs_17 //	mETunam na aDigacCanti te viprAH te ca brAhmaNAH // VH _17 //
   na jātirdṛśyate tāvad guṇāḥ kalyāṇakārakāḥ /	na jAtiH dRSyate tAvat guNAH kalyANa kArakAH /
   caṇḍālo 'pi hi tatrasthastaṃ devā brāhmaṇaṃ viduḥ // Vs_18 //	caNxAlaH api hi tatrasTaH tam devAH brAhmaNam viduH // VH _18 //
   vṛṣalīphenapītasya niḥśvāsopahatasya ca /	vRzalI Pena pItasya niHSvAsa upahatasya ca /
   tatraiva ca prasūtasya niṣkṛtirnopalabhyate // Vs_19 //	tatra eva ca prasUtasya nizkRtiH na upalaByate // VH _19 //
   śūdrīhastena yo bhuṃkte māsamekaṃ nirantaram /	SUdrI hastena yaH BuMkte mAsam ekam nirantaram /
   jīvamāno bhavecchūdro mṛtaḥ śvānaśca jāyate // Vs_20 //	jIvamAnaH Bavet SUdraH mRtaH SvAnaH ca jAyate // VH _20 //
   śūdrīparivṛto vipraḥ śūdrī ca gṛhamedhinī /	SUdrI parivRtaH vipraH SUdrI ca gRhameDinI /
   varjitaḥ pitṛdevena rauravaṃ so 'dhigacchati // Vs_21 //	varjitaH pitR devena rOravam saH aDigacCati // VH _21 //
   araṇīgarbhasambhūtaḥ kaṭho nāma mahāmuniḥ /	araNIgarBa samBUtaH kaWaH nAma mahA muniH /
   tapasā brāhmaṇo jātastasmājjātirakāraṇam // Vs_22 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam // VH _22 //
   kaivartīgarbhasambhūto vyāso nāma mahāmuniḥ /	kEvartIgarBasamBUtaH vyAsaH nAma mahA muniH /
   tapasā brāhmaṇo jātastasmājjātirakāraṇam // Vs_23 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam // VH _23 //
   urvarśīgarbhasambhūto vasiṣṭho 'pi mahāmuniḥ /	urvarSI garBa samBUtaH vasizWaH api mahA muniH /
   tapasā brāhmaṇo jātastasmājjātirakāraṇam // Vs_24 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam // VH _24 //
   hariṇīgarbhasambhūta ṛṣyaśrṛṅgo mahāmuniḥ /	hariNI garBa samBUtaH RzyaSrRFgaH mahA muniH /
   tapasā brāhmaṇo jātastasmājjātirakāraṇam // Vs_25 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam // VH _25 //
   caṇḍālī garbhasambhūto viśvāmitro? mahāmuniḥ /	caNxAlI garBa samBUtaH viSvAmitro? mahA muniH /
   tapasā brāhmaṇo jātastasmājjātirakāraṇam // Vs_26 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam // VH _26 //
   tāṇḍūlīgarbhasambhūto nārado hi mahāmuniḥ /	tANxUlI garBa samBUtaH nAradaH hi mahA muniH /
   tapasā brāhmaṇo jātastasmājjātirakāraṇam // Vs_27 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam // VH _27 //
   jitātmā yatirbhavati..................... jitendriyaḥ /	jita AtmA yatiH Bavati..................... jita indriyaH /
   [yatātmā yatirbhavati vijitātmā(jitātmā ca)jitendriyaḥ /]	[yata AtmA yatiH Bavati vijita AtmA a( jita AtmA ca)jita indriyaH /]
   tapasā tāpaso jāto brahmacaryeṇa brāhmaṇaḥ // Vs_28 //	tapasA tApasaH jAtaH brahmacaryeNa brAhmaNaH // VH _28 //
   na ca te brāhmaṇīputrāste ca lokasya brāhmaṇāḥ /	na ca te brAhmaNI putrAH te ca lokasya brAhmaNAH /
   śīlaśaucamayaṃ brahma tasmātkulama kāraṇam // Vs_29 //	SIla SOca mayam brahma tasmAt kulama kAraNam // VH _29 //
   śīlaṃ pradhānaṃ na kulaṃ pradhānaṃ kulena kiṃ śīlavivarjitena /	SIlam praDAnam na kulam praDAnam kulena kim SIla vivarjitena /
   bahavo narā nīcakula prasūtāḥ svargaṃ gatāḥ śīlamupetya dhīrāḥ // Vs_30 //	bahavaH narAH nIca kula prasUtAH svargam gatAH SIlam upetya DIrAH // VH _30 //
   mukhato brāhmaṇo jāto bāhubhyāṃ kṣatriyastathā /	muKataH brAhmaNaH jAtaH bAhuByAm kzatriyaH taTA /
   urubhyāṃ vaiśyaḥ saṃjātaḥ padbhyāṃ śūdraka eva ca // Vs_31 //	uruByAm vESyaH saMjAtaH padByAm SUdrakaH eva ca // VH _31 //
   pāṇḍostu viśrutaḥ putraḥ sa vai nāmnā yudhiṣṭhiraḥ /	pANxoH tu viSrutaH putraH sa vE nAmnA yuDizWiraH /
   vaiśampāyanamāgamya prāñjaliḥ paripṛcchati // Vs_32 //	vESampAyanam Agamya prAQjaliH paripRcCati // VH _32 //
   ke ca te brāhmaṇāḥ proktāḥ kiṃ vā brāhmaṇalakṣaṇam /	ke ca te brAhmaNAH proktAH kim vA brAhmaNa lakzaNam /
   etadicchāmi bho jñātuṃ tad bhavān vyākaroti me // Vs_33 //	etat icCAmi Bo jQAtum tat BavAn vyAkaroti me // VH _33 //
   kṣāntyādibhirguṇairyuktastyakta daṇḍo nirāmiṣaḥ /	kzAnti AdiBiH guNEH yuktaH tyakta daNxaH nirAmizaH /
   na hanti sarvabhūtāni prathamaṃ brahmalakṣaṇam // Vs_34 //	na hanti sarva BUtAni praTamam brahma lakzaNam // VH _34 //
   yadā sarvaṃ paradravyaṃ pathi vā yadi vā gṛhe /	yadA sarvam para dravyam paTi vA yadi vA gRhe /
   adattaṃ naiva gṛhṇāti dvitīyaṃ brahmalakṣaṇam // Vs_35 //	adattam na eva gRhNAti dvitIyam brahma lakzaNam // VH _35 //
   tyaktvā krūrasvabhāvaṃ tu nirmamo niṣparigrahaḥ /	tyaktvA krUra svaBAvam tu nirmamaH nizparigrahaH /
   muktaścarati yo nityaṃ tṛtīyaṃ brahmalakṣaṇam // Vs_36 //	muktaH carati yaH nityam tRtIyam brahma lakzaNam // VH _36 //
   devamānuṣa nārīṇāṃ tiryagyonigateṣvapi /	devamAnuza nArINAm tiryagyoni gatezu api /
   maithunaṃ hi sadā tyaktaṃ caturthaṃ brahmalakṣaṇam // Vs_37 //	mETunam hi sadA tyaktam caturTam brahma lakzaNam // VH _37 //
   satyaṃ śaucaṃ dayā śaucaṃ śaucamindriyanigrahaḥ /	satyam SOcam dayA SOcam SOcam indriya nigrahaH /
   sarvabhūta dayā śaucaṃ tapaḥ śaucañca pañcamam // Vs_38 //	sarva BUta dayA SOcam tapaH SOcaQca paQcamam // VH _38 //
   pañcalakṣaṇasampanna īdṛśo yo bhaved dvijaḥ /	paQca lakzaNa sampannaH IdRSaH yaH Bavet dvijaH /
   tamahaṃ brāhmaṇaṃ brūyāṃ śeṣāḥ śūdrā yudhiṣṭhira // Vs_39 //	tam aham brAhmaNam brUyAm SezAH SUdrAH yuDizWira // VH _39 //
   na kulena na jātyā vā kriyābhirbrāhmaṇo bhavet /	na kulena na jAtyA vA kriyABiH brAhmaNaH Bavet /
   caṇḍālo 'pi hi vṛtastho brāhmaṇaḥ sa yudhiṣṭhira // Vs_40 //	caNxAlaH api hi vRta sTaH brAhmaNaH sa yuDizWira // VH _40 //
   ahiṃsā brahmacaryaṃ ca viśuddhācca pratigrahaḥ /	ahiMsA brahmacaryam ca viSudDAt ca pratigrahaH /
   phalena na samarthaṃ ca brāhmaṇaḥ syādyudhiṣṭhira // Vs_40a //	Palena na samarTam ca brAhmaNaH syAt yuDizWira // VH _40aH //
   ekavarṇamidaṃ pūrvaṃ viśvamāsīdyudhiṣṭhira /	eka varNam idam pUrvam viSvam AsIt yuDizWira /
   karmakriyāviśeṣeṇa cāturvarṇyaṃ pratiṣṭhitam // Vs_41 //	karma kriyA viSezeNa cAturvarNyam pratizWitam // VH _41 //
   sarve vai yonijā martyāḥ sarve mūtrapurīṣiṇaḥ /	sarve vE yoni jAH martyAH sarve mUtra purIziNaH /
   ekendriyendriyārthāśca tasmācchīlaguṇairdvijāḥ // Vs_42 //	eka indriya indriya arTAH ca tasmAt SIla guNEH dvijAH // VH _42 //
   śūdro 'pi śīlasampannoguṇavān brāhmaṇo bhavet /	SUdraH api SIla sampannaH guNavAn brAhmaNaH Bavet /
   brāhmaṇo 'pi kriyāhīnaḥ śūdrātpratyavaro bhavet // Vs_43 //	brAhmaNaH api kriyA hInaH SUdrAt pratyavaraH Bavet // VH _43 //
   pañcendriyārṇavaṃ ghoraṃ yadi śūdro 'pi tīrṇavān /	paQca indriya arNavam Goram yadi SUdraH api tIrNavAn /
   tasmai dānaṃ pradātavyamaprameyaṃ yudhiṣṭhira // Vs_44 //	tasmE dAnam pradAtavyam aprameyam yuDizWira // VH _44 //
   na jātirdṛśyate rājan guṇāḥ kalyāṇakārakāḥ /	na jAtiH dRSyate rAjan guNAH kalyANa kArakAH /
   jīvitaṃ yasya dharmārthe parārthe yasya jīvitam /	jIvitam yasya Darma arTe para arTe yasya jIvitam /
   ahorātraṃ caretkṣāntiṃ taṃ devā brāhmaṇaṃ viduḥ // Vs_45 //	ahorAtram caret kzAntim tam devAH brAhmaNam viduH // VH _45 //
   parityajya gṛhāvāsaṃ ye sthitā mokṣakākṣiṇaḥ /	parityajya gRhAvAsam ye sTitAH mokza kAkziNaH /
   kāmeṣvasaktāḥ kaunteya brāhmaṇāste yudhiṣṭhira // Vs_46 //	kAmezu asaktAH kOnteya brAhmaNAH te yuDizWira // VH _46 //
   ahiṃsānirmamatvaṃ cā matkṛtyasya varjanam /	ahiMsA nirmama tvam cA mad kRtyasya varjanam /
   rāgadveṣanivṛttiśca etad brāhmaṇalakṣaṇam // Vs_47 //	rAga dveza nivRttiH ca etat brAhmaNa lakzaNam // VH _47 //
   kṣamā dayā damo dānaṃ satyaṃ śaucaṃ smṛtirghṛṇā /	kzamA dayA damaH dAnam satyam SOcam smRtiH GRNA /
   vidyā vijñānamāstikyametad brāhmaṇalakṣaṇam // Vs_48 //	vidyA vijQAnam Astikyam etat brAhmaNa lakzaNam // VH _48 //
   gāyatrīmātra sāro 'pi varaṃ vipraḥ suyantritaḥ /	gAyatrI mAtra sAraH api varam vipraH su yantritaH /
   nāyantritaścaturvedī sarvāśī sarvavikrayī // Vs_49 //	na ayantritaH catur vedI sarva ASI sarva vikrayI // VH _49 //
   ekarātroṣitasyāpi yā gatirbrahmacāriṇaḥ /	eka rAtra uzitasya api yA gatiH brahmacAriNaH /
   na tatkratusahasreṇa prāpnuvanti yudhiṣṭhira // Vs_50 //	na tad kratu sahasreNa prApnuvanti yuDizWira // VH _50 //
   pāragaṃ sarvavedānāṃ sarvatīrthābhiṣecanam /	pAragam sarva vedAnAm sarva tIrTa aBizecanam /
   muktaścarati yo dharmaṃ tameva brāhmaṇaṃ viduḥ // Vs_51 //	muktaH carati yaH Darmam tam eva brAhmaNam viduH // VH _51 //
   yadā na kurute pāpaṃ sarvabhūteṣu dāruṇam /	yadA na kurute pApam sarva BUtezu dAruNam /
   kāyena manasā vācā brahma sampadyate tadā // Vs_52 //	kAyena manasA vAcA brahma sampadyate tadA // VH _52 //
   asmābhiruktaṃ yadidaṃ dvijānāṃ mohaṃ nihantuṃ hatabuddhiṃkānām /	asmABiH uktam yat idam dvijAnAm moham nihantum hata budDiMkAnAm /
   gṛhmantu santo yadi yuktametanmuñcantvathāyuktamidaṃ yadi syāt // Vs_53 //	gRhmantu santaH yadi yuktam etat muQcantu aTa ayuktam idam yadi syAt // VH _53 //
   kṛtiriyaṃ siddhācāryāśvaghoṣapādānāmiti vajrasūcī samāpteti śubham //	kRtiH iyam sidDa AcArya aSva Goza pAdAnAm iti vajrasUcI samAptA iti SuBam //
