   Sarva Tathāgata Tattva Saṅgrah	Sarva TaTAgataH Tattva SaFgrah
   sarvatathāgatasamantabhadramahābodhisattvasamayasambhavasattvādhiṣṭhānavajraṃ	sarva taTAgata samantaBadra mahA boDisattva samaya samBava sattva aDizWAna vajram
   nāma samādhiṃ samāpadyedaṃ sarvatathāgatamahāyānābhisamayaṃ nāma	nAma samADim samApadya idam sarva taTAgata mahA yAna aBisamayam nAma
   sarvatathāgatahṛdayaṃ svahṛdayāna niścacāra vajrasattva //	sarva taTAgata hRdayam sva hRdayAna niScacAra vajra sattvaH //
   athāsmin viniḥsṛtamātre sarvathāgatahṛdayebhyaḥ sa eva bhagavāṃ	aTa asmin viniHsRta mAtre sarvaTAgata hRdayeByaH saH eva BagavAn
   samantabhadraścandramaṇḍalāni bhūtvā viniḥsṛtya, sarvasattvānāṃ	samantaBadraH candra maNxalAni BUtvA viniHsRtya, sarva sattvAnAm
   mahābodhicittāni saṃśodhya, sarvatathāgatānāṃ sarvapārśveṣvavasthitāḥ /	mahA boDi cittAni saMSoDya, sarva taTAgatAnAm sarva pArSvezu avasTitAH /
   atha tebhyaścandramaṇḍalebhyaḥ sarvatathāgatajñānavajrāṇi viniḥsṛtya,	aTa teByaH candra maNxaleByaH sarva taTAgata jQAna vajrANi viniHsRtya,
   bhagavato vairocanasya tathāgatasya hṛdaye praviṣṭāni /	BagavataH vErocanasya taTAgatasya hRdaye pravizwAni /
   samantabhadratvācca sudṛḍhatvācca vajrasattvasamādheḥ	samantaBadra tvAt ca su dRXa tvAt ca vajra sattva samADeH
   sarvatathāgatādhiṣṭhānena caikadhanaḥ sakalākāśadhātusamavasaraṇapramāṇo	sarva taTAgata aDizWAnena ca eka DanaH sakala AkASa DAtu samavasaraNa pramANaH 
   raśmimālo pañcamūrdhā sarvatathāgatakāyavākcittavajramayovajravigrahaḥ	raSmimAlaH paQcamUrDA sarva taTAgatakAya vAc citta vajra mayaH vajra vigrahaH
   prādurbhūya, sarvathāgatahṛdayān niṣkramya pāṇau pratiṣṭhitaḥ / atha tato	prAdurBUya, sarvaTAgata hRdayAt nizkramya pANO pratizWitaH / aTa tatas 
   vajrād vajrākārā raśmayo vicitravarṇarūpāḥ sarvalokadhātvābhāsanaspharaṇā	vajrAt vajra AkArAH raSmayaH vicitra varNa rUpAH sarva loka DAtu ABAsana sParaNA
   viniścaritāḥ / tebhyaśca vajraraśmimukhebhyaḥ	viniScaritAH / teByaH ca vajra raSmi muKeByaH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā viniḥsṛtya,	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH viniHsRtya,
   sakaladharmadhātusamavasaraṇeṣu sarvākāśadhātuparyavasāneṣu	sakala Darma DAtu samavasaraNezu sarva AkASa DAtu paryavasAnezu
   sarvalokadhātuprasarameghasamudreṣu	sarva loka DAtu prasara meGa samudrezu
   sarvatathāgatasamatājñānābhijñāsvabhisaṃbodhāt,	sarva taTAgata samatA jQAna aBijQAsu aBisaMboDAt,
   sarvatathāgatamahābodhicittotpādanasamantabhadravividhacaryāniṣpādanasarva 	sarva taTAgata mahA boDi citta utpAdana samantaBadra viviDa caryA nizpAdana sarva 
   tathāgatakulārāgaṇamahābodhimaṇḍopasaṃkramaṇasarvamāradharṣaṇasarva 	taTAgata kulArA gaNa mahA boDi maNxa upasaMkramaNa sarva mAra DarzaNa sarva 
   tathāgatasamatāmahābodhyabhisaṃbudhyanadharmacakrapravartanaṃ yāvad	taTAgata samatA mahA boDyaBisaMbuDyana Darma cakra pravartanam yAvat 
   aśeṣānavaśeṣasattvadhātuparitrāṇasarvahitasukhasarvatathāgatajñānābhijñottamasiddhiniṣpādanādīni	aSezAn avaSeza sattva DAtu paritrANa sarva hita suKa sarva taTAgata jQAna aBijQa uttama sidDi nizpAdana AdIni
   sarvatathāgatavikurvitāni sandarśya, samantabhadratvād vajrasattvasamādheḥ	sarva taTAgata vikurvitAni sandarSya, samantaBadra tvAt vajra sattva samADeH
   sudṛḍhatvāccaikaghanaḥ samantabhadramahābodhisattvakāyaḥ saṃbhūya,	su dRXa tvAt ca eka GanaH samantaBadra mahA boDisattva kAyaH saMBUya,
   bhagavato vairocanasya hṛdaye sthitvedamudānamudānayāmāsa /	BagavataH vErocanasya hRdaye sTitvA idam udAnam udAnayAmAsa /
   aho samantabhadro 'haṃ dṛḍhasattvaḥ svayaṃbhuvāṃ /	aho samantaBadraH aham dRXa sattvaH svayaMBuvAm /
   yad dṛḍhatvādakāyo 'pi sattvakāyatvamāgataḥ //	yat dRXa tvAt akAyaH api sattva kAya tvam AgataH //
   atha samantabhadramahābodhisattvakāyo bhagavato hṛdayādavatīrya,	aTa samantaBadra mahA boDisattva kAyaH BagavataH hRdayAt avatIrya,
   sarvatathāgatānāṃ purataścandramaṇḍalāśrito bhūtvājñāṃ mārgayāmāsa //	sarva taTAgatAnAm puratas candra maNxala ASritaH BUtvA AjQAm mArgayAmAsa //
   atha bhagavān sarvatathāgatajñānasamayavajraṃ nāma samādhiṃ samāpadya,	aTa BagavAn sarvataTAgata jQAna samayavajram nAma samADim samApadya,
   sarvatathāgataśīlasamādhiprajñāvimuktivimuktijñānadarśanadharmacakrapravartanasattvārthamahopāyabalavīryamahājñānasamayamaśeṣānavaśeṣasattvadhātuparitrāṇasarvādhipatyasarvasukhasaumanasyānubhavanārtha	sarva taTAgata SIla samADi prajQA vimukti vimukti jQAna darSana Darma cakra pravartana sattva arTa mahA upAya bala vIrya mahA jQAna samayam aSeza anavaS
   yāvat	yAvat 
   sarvatathāgatasamatājñānābhijñānuttaramahāyānābhisamayottamasiddhyavāptiphalahetostatsarvatathāgatasiddhivajraṃ	sarva taTAgata samatA jQAna aBijQA anuttara mahA yAna aBisamaya uttama sidDi avApti Pala hetoH tat sarva taTAgata sidDi vajram
   tasmai samantabhadrāya mahābodhisattvāya sarvatathāgatacakravartitve	tasmE samantaBadrAya mahA boDisattvAya sarva taTAgata cakravarti tve
   sarvabuddhakāyaratnamukuṭapaṭṭābhiṣekeṇābhiṣicya pāṇibhyāmanuprādāt /	sarva budDa kAya ratna mukuwa pawwa aBizekeNa aBizicya pANiByAm anuprAdAt /
   tataḥ sarvatathāgatairvajrapāṇirvajrapāṇiriti vajranāmābhiṣekeṇābhiṣiktaḥ	tatas sarva taTAgatEH vajrapANiH vajrapANiH iti vajra nAmA aBizekeNa aBiziktaH
   atha vajrapāṇirbodhisattvo mahāsattvo vāmavajragarvollālanatayā tadavajraṃ	aTa vajrapANiH boDisattvaH mahAsattvaH vAma vajra garva ullAlana tayA tat avajram
   svahṛdyutkarṣaṇayogena dhārayannidamudānamudānayāmāsa /	sva hRdi utkarzaNa yogena DArayan= idam udAnam udAnayAmAsa /
   idaṃ tatsarvabuddhānāṃ siddhivajramanuttaraṃ /	idam tat sarva budDAnAm sidDi vajram anuttaram /
   ahaṃ mama kare dattaṃ vajraṃ vajre pratiṣṭhitam // iti //	aham mama kare dattam vajram vajre pratizWitam // iti //
   I.1.7 Vajraraja	I.1.7 Vajraraja
   atha bhagavān	aTa BagavAn
   punarapyamogharājamahābodhisattvasamayasaṃbhavasattvādhiṣṭhānavajraṃ nāma	punar api amoGa rAja mahA boDisattva samaya saMBava sattva aDizWAnavajram nAma
   samādhiṃ samāpadyadaṃ sarvatathāgatākarṣaṇasamayannāma	samADim samApad yadam sarva taTAgata AkarzaNa samayat nAma
   sarvatathāgatahṛdayaṃ svahṛdayānniścacāra vajrarāja //	sarva taTAgata hRdayam sva hRdayAt niScacAra vajra rAja //
   athāsmin viniḥsṛtamātre sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asmin viniHsRta mAtre sarva taTAgata hRdayeByaH saH eva BagavAn
