   akarod brahmavittamaḥ KDA_465d	akarot brahma-vittamaH KDA_465d
   asan mārgo samārūḍho KDA_407a	asat mArgaH samArUXaH KDA_407a
   asusaṃsthitadharmāṇaṃ KDA_69c	asu-saMsTita-DarmANam KDA_69c
   astramantrādyabhijño 'pi KDA_402c	astra-mantra-Adi-aBijQaH api KDA_402c
   asmin* kalpe ca bhadrake KDA_460b	asmin* kalpe ca Badrake KDA_460b
   asyaiva śasane cāhaṃ KDA_469a	asya-eva Sasane ca-aham KDA_469a
   aham api ca bhūyāsaṃ KDA_21c	aham api ca BUyAsam KDA_21c
   ahipūrṇo yathā hradaḥ KDA_401d	ahipUrNaH yaTA hradaH KDA_401d
   ahiṃsā nirmamatvaṃ vā KDA_268a	ahiMsA nirmama-tvam vA KDA_268a
   ahiṃsā brahmacaryaṃ ca KDA_260a	ahiMsA brahmacaryam ca KDA_260a
   aho deśeṣu sarvatra KDA_345c	aho deSezu sarvatra KDA_345c
   aho daivabalādhānāt KDA_82a	aho dEva-bala-ADAnAt KDA_82a
   ahorātraṃ caren muktas KDA_266c	ahorAtram caret muktaH KDA_266c
   ākāśagāmino priyāḥ KDA_215a	AkASa-gAminaH priyAH KDA_215a
   ākāśacitto dhanasāravāsī KDA_327 b	AkASa-cittaH DanasAravAsI KDA_327 b
   ākāśasya guṇaś caikaḥ KDA_102a	AkASasya guNaH ca-ekaH KDA_102a
   ākṛter bhedalakṣaṇam* KDA_142d	AkRteH Beda-lakzaNam* KDA_142d
   ā garbhād bālakaṃ sutam* KDA_428b	A garBAt bAlakam sutam* KDA_428b
   ātmanīva dayā syāc cet KDA_414a	Atmani-iva dayA syAt ced KDAH-_414a
   ātmānam ātmanā hatvā KDA_390a	AtmAnam AtmanA hatvA KDA_390a
   ātharvaṇāt prayatnataḥ KDA_39b	ATarvaNAt prayatnataH KDA_39b
   ātharvaṇād vinirhṛtya KDA_40c	ATarvaNAt vinirhRtya KDA_40c
   ādau krodharipuṃ jitvā KDA_68a	AdO kroDa-ripum jitvA KDA_68a
   ādyante paśavo devā KDA_92a	Adi-ante paSavaH devAH KDA_92a
   ādhāto yaś ca satveṣu KDA_308c	ADAtaH yaH ca satvezu KDA_308c
   āmantrya bhikṣavaḥ sarve KDA_13c	Amantrya BikzavaH sarve KDA_13c
   iccāmi tvatprasādataḥ KDA_300d	iccAmi tvad-prasAdataH KDA_300d
   itas tataḥ samudbhrāntāḥ KDA_357c	itas tatas samudBrAntAH KDA_357c
   itas tataḥ samudbhrāntāḥ KDA_361c	itas tatas samudBrAntAH KDA_361c
   iti krodhaṃ vinirjitya KDA_413a	iti kroDam vinirjitya KDA_413a
   iti tasya vacaḥ śrutvā KDA_76a	iti tasya vacaH SrutvA KDA_76a
   iti tīrthyair vikalpitam* KDA_198b	iti tIrTyEH vikalpitam* KDA_198b
   iti tena munīndreṇa KDA_455a	iti tena muni-indreNa KDA_455a
   iti tair bhikṣubhiḥ pṛṣṭo KDA_458a	iti tEH BikzuBiH pRzwaH KDA_458a
   iti dṛṣṭvā ca te satvā KDA_450a	iti dRzwvA ca te satvA KDA_450a
   iti dharmaguṇādhānāt KDA_95a	iti Darma-guNa-ADAnAt KDAH-_95a
   iti niścitya cittena KDA_342a	iti niScitya cittena KDA_342a
   iti niścitya cittena KDA_355a	iti niScitya cittena KDA_355a
   iti niścitya sā devī KDA_290a	iti niScitya sA devI KDA_290a
   iti pitur vacaḥ śrutvā KDA_64a	iti pituH vacaH SrutvA KDA_64a
   iti pṛṣṭo nṛpeṇāsāv KDA_3a	iti pRzwaH nRpeNa-asO KDA_3a
   iti praṇidhiṃ kurvāṇo KDA_22a	iti praNiDim kurvANaH KDA_22a
   iti matvā guruś cainaṃ KDA_89a	iti matvA guruH ca-enam KDA_89a
   iti matvā tvayā rājan KDA_483c	iti matvA tvayA rAjan KDA_483c
   iti matvā pitā bhūtiḥ KDA_40a	iti matvA pitA BUtiH KDA_40a
   iti vede 'pi kathyate KDA_92b	iti vede api kaTyate KDA_92b
   iti śrutvā guror vākya KDA_281a	iti SrutvA guroH vAkya KDA_281a
   iti śrutvā mahāvijño KDA_252a	iti SrutvA mahA-vijQaH KDA_252a
   iti śrutvāryadharmāṇi KDA_317a	iti SrutvA-Arya-DarmANi KDA_317a
   iti śrutvā vacas tasya KDA_303a	iti SrutvA vacaH tasya KDA_303a
   iti śrutvā vacas tasya KDA_449a	iti SrutvA vacaH tasya KDA_449a
   iti śrutvā subhūtiḥ sa KDA_299a	iti SrutvA suBUtiH sa KDA_299a
   iti saṃnahya cittena KDA_350a	iti saMnahya cittena KDA_350a
   iti siddhāntasaṃmatam* KDA_94d	iti sidDAnta-saMmatam* KDA_94d
   iti subhāṣitaṃ śrutvā KDA_485a	iti su-BAzitam SrutvA KDA_485a
   iti so 'rhan subhūtis tān KDA_365a	iti saH arhan suBUtiH tAn KDA_365a
   iti hi bhikṣavo yūyaṃ KDA_477c	iti hi BikzavaH yUyam KDA_477c
   itthaṃ duḥkhānuvedī sa KDA_410a	itTam duHKa-anuvedI sa KDA_410a
   ityādipātakaṃ kṛtvā KDA_408c	iti-Adi-pAtakam kRtvA KDA_408c
   ity uktam avadānikaiḥ KDA_106d	iti uktam avadAnikEH KDA_106d
   ity uktam avadāne 'pi KDA_118a	iti uktam avadAne api KDA_118a
   ity ukte bhagavān dṛṣṭvā KDA_323a	iti ukte BagavAn dRzwvA KDA_323a
   ity ukto guruṇā so 'bhūt KDA_77a	iti uktaH guruNA saH aBUt KDAH-_77a
   ity enaṃ krodhasaṃraktaṃ KDA_81a	iti enam kroDa-saMraktam KDA_81a
   ity evaṃ cintayāmāsa KDA_351c	iti evam cintayAmAsa KDA_351c
   ity evaṃ manur abravīt* KDA_113d	iti evam manuH abravIt* KDA_113d
   idaṃ kṣīram idaṃ māṃsam KDA_153a	idam kzIram idam mAMsam KDA_153a
   idaṃ ghṛtam idaṃ dadhi KDA_153b	idam GRtam idam daDi KDA_153b
   idānīṃ tu tathā caitaṃ KDA_332a	idAnIm tu taTA ca-etam KDA_332a
   ime dharmā hi catvāraś KDA_316a	ime DarmAH hi catvAraH KDA_316a
   īdṛśo yo bhaved dvijaḥ KDA_258b	IdRSaH yaH Bavet dvijaH KDA_258b
   uktaṃ ca mānave dharme KDA_109a	uktam ca mAnave Darme KDA_109a
   udakaiḥ klidyate naiva KDA_479e	udakEH klidyate na-eva KDA_479e
   udbhrāntendriyacetasā (Speyer: yataḥ kleśāŚ) KDA_472b	udBrAnta-indriya-cetasA (Speyer: yatas kleSAŚ) KDA_472b
   upaguptasya sadguroḥ KDA_485b	upaguptasya sat-guroH KDA_485b
   upaguptaṃ guruṃ natvā KDA_1c	upaguptam gurum natvA KDA_1c
   upagupto yatīśvaraḥ KDA_3b	upaguptaH yati-ISvaraH KDA_3b
   upaghātāhate citte KDA_335a	upaGAta-Ahate citte KDA_335a
   upādhyāyā hi te dvijāḥ KDA_165d	upADyAyAH hi te dvijAH KDA_165d
   upekṣāto labhet saukhyaṃ KDA_315c	upekzAtaH laBet sOKyam KDA_315c
   upekṣāpi sadā dhāryā KDA_315a	upekzA-api sadA DAryA KDA_315a
   urvaśīgarbhasaṃbhūto KDA_124a	urvaSI-garBa-saMBUtaH KDA_124a
   ūrubhyām eva saṃbhavā KDA_246b	UruByAm eva saMBavA KDA_246b
   ūrubhyāṃ saṃbhavo vaiśyaḥ KDA_242c	UruByAm saMBavaH vESyaH KDA_242c
   ṛddhiṃ pradarśya saṃbodhau KDA_354c	RdDim pradarSya saMboDO KDA_354c
   ṛddhyā sākāśamārgeṇa KDA_304c	RdDyA sa-AkASa-mArgeNa KDA_304c
   ṛṣayas te dvijottamāḥ KDA_168d	RzayaH te dvijottamAH KDA_168d
   ṛṣayo brahmacāriṇaḥ KDA_128b	RzayaH brahmacAriNaH KDA_128b
   ṛṣicaryāṃ samācara KDA_42d	Rzi-caryAm samAcara KDA_42d
   ṛṣibhir yogibhiś cāmbu- KDA_375a	RziBiH yogiBiH ca-ambu KDA_375a
   ṛṣibhiḥ karmavādibhiḥ KDA_107b	RziBiH karma-vAdiBiH KDA_107b
   ṛṣiṣu preṣayitvainaṃ KDA_39c	Rzizu prezayitvA-enam KDA_39c
   ṛṣyaśṛṅgo mahāmuniḥ KDA_125b	RzyaSRFgaH mahA-muniH KDA_125b
   ekarātroṣitasyāpi KDA_271a	eka-rAtra-uzitasya-api KDA_271a
   ekavarṇam idaṃ viśvaṃ KDA_261a	eka-varNam idam viSvam KDA_261a
   ekavarṇam idaṃ sarvaṃ KDA_130a	eka-varNam idam sarvam KDA_130a
   ekākī nirjane vane KDA_292b	ekAkI nirjane vane KDA_292b
   ekānte hi vaseyaṃ ca KDA_338c	ekAnte hi vaseyam ca KDA_338c
   ekāṃśato viśeṣo na KDA_151c	eka-aMSataH viSezaH na KDA_151c
   ekendriyakriyārthāś ca KDA_131c	eka-indriya-kriyA-arTAH ca KDA_131c
   ekendriyakriyārthāś ca KDA_262c	eka-indriya-kriyA-arTAH ca KDA_262c
   ekaikaṃ guṇavṛddhitaḥ KDA_101b	ekEkam guNa-vRdDitaH KDA_101b
   etac caṇḍālalakṣaṇam* KDA_206d	etat caNxAla-lakzaNam* KDA_206d
   etad icchāmi bho jñātuṃ KDA_251c	etat icCAmi Bo jQAtum KDA_251c
   etad dhi paramaṃ brahma- KDA_278a	etat Di paramam brahma KDA_278a
   etad brāhmaṇalakṣaṇam* KDA_205d	etat brAhmaNa-lakzaNam* KDA_205d
   etad brāhmaṇalakṣaṇam* KDA_268d	etat brAhmaNa-lakzaNam* KDA_268d
   etad brāhmaṇalakṣaṇam* KDA_269d	etat brAhmaNa-lakzaNam* KDA_269d
   etā brahmavihārākhyāḥ KDA_443a	etAH brahma-vihAra-AKyAH KDA_443a
   etā vinā na śobhanti KDA_444a	etAH vinA na SoBanti KDA_444a
   etā vinā na sidhyanti KDA_445c	etAH vinA na siDyanti KDA_445c
   etā hi paramācāryāḥ KDA_445a	etAH hi parama-AcAryAH KDA_445a
   etāṃś ca garudān dṛṣṭvā KDA_357a	etAn ca garudAn dRzwvA KDA_357a
   evam anye 'pi ye lokā KDA_440a	evam anye api ye lokAH KDA_440a
   evam anye 'pi sarve ca KDA_128a	evam anye api sarve ca KDA_128a
   evam ṛddhiprabhāvāṇi KDA_363a	evam RdDi-praBAvANi KDA_363a
   evam etan mahārāja KDA_483a	evam etat mahA-rAja KDA_483a
   evaṃ cānye 'pi ye satvā KDA_185a	evam ca-anye api ye satvA KDA_185a
   evaṃ cānye 'pi ye satvā KDA_194a	evam ca-anye api ye satvA KDA_194a
   evaṃ cet tava vāñchāsti KDA_67a	evam ced tava vAQCA-asti KDA_67a
   evaṃ militayogaiś ca KDA_104c	evam milita-yogEH ca KDA_104c
   evaṃ subhūtinā tena KDA_451a	evam suBUtinA tena KDA_451a
   eṣa me śrāvakāṇāṃ ca KDA_454a	eza me SrAvakANAm ca KDA_454a
   ehi bhikṣo carasveti KDA_323c	ehi BikzaH carasva-iti KDA_323c
   ehi vatsa cara brahma- KDA_76c	ehi vatsa cara brahma KDA_76c
   ehīti proktaḥ sa jinena muṇḍo KDA_324a	ehi-iti proktaH sa jinena muNxaH KDA_324a
   auṣadhādipariṣkāra- KDA_10a	OzaDa-Adi-parizkAra KDA_10a
   kaṭhinākhyo mahāmuniḥ KDA_122b	kaWina-AKyaH mahA-muniH KDA_122b
   kathaṃ te brāhmaṇā naiva KDA_230a	kaTam te brAhmaNAH na-eva KDA_230a
   kathaṃ dharmaviśuddhitā KDA_243d	kaTam Darma-viSudDi-tA KDA_243d
   kathaṃ na brāhmaṇā nu te KDA_232d	kaTam na brAhmaNAH nu te KDA_232d
   kadācit kupitaś cāyaṃ KDA_286a	kadAcid kupitaH ca-ayam KDA_286a
   kadācit kupito ruṣṭeḥ KDA_87a	kadAcid kupitaH ruzweH KDA_87a
   kadācit kupito roṣāl KDA_38c	kadAcid kupitaH rozAt KDA_38c
   karuṇā ca tathā kāryā KDA_313a	karuNA ca taTA kAryA KDA_313a
   karuṇā svātmaje 'pi ca KDA_442b	karuNA sva-Atmaje api ca KDA_442b
   karomi lokabodhanam* KDA_352b	karomi loka-boDanam* KDA_352b
   karmakriyāviśeṣeṇa KDA_261c	karma-kriyA-viSezeNa KDA_261c
   karma kvāpi kathaṃcana KDA_479b	karma kvApi kaTaMcana KDA_479b
   karmaṇāpi dvijo naiva KDA_231a	karmaNA-api dvijaH na-eva KDA_231a
   karmaṇā vai dvijāś caivaṃ KDA_231c	karmaNA vE dvijAH ca-evam KDA_231c
   karmabhedāt tathācāra- KDA_224a	karma-BedAt taTA-AcAra KDA_224a
   karmasaṃskārajās tvamī KDA_201b	karma-saMskAra-jAH tu-amI KDA_201b
   karmasu sukhavāñchibhiḥ KDA_481d	karmasu suKavAn-SiBiH KDA_481d
   karmācārapramāṇataḥ KDA_228b	karma-AcAra-pramANataH KDA_228b
   karmācārapramāṇena KDA_230c	karma-AcAra-pramANena KDA_230c
   karmāṇi prakṛtāny api KDA_471b	karmANi prakRtAni api KDA_471b
   karmāṇi miśritāni ca KDA_481b	karmANi miSritAni ca KDA_481b
   karmādhānabalābhyāsān KDA_283c	karma-ADAna-bala-aByAsAn KDA_283c
   kalpakoṭiśatair api KDA_478d	kalpa-kowi-SatEH api KDA_478d
   kalpakoṭisahasrāṇi KDA_348a	kalpa-kowi-sahasrANi KDA_348a
   kalpakoṭisahasrāṇi KDA_444c	kalpa-kowi-sahasrANi KDA_444c
   kalyāṇavartmadeśaka KDA_75b	kalyANa-vartma-deSaka KDA_75b
   kalyāṇādhvāvatārakān* KDA_382b	kalyANa-aDva-avatArakAn* KDA_382b
   kasya nāma bhavec cittam KDA_414c	kasya nAma Bavet cittam KDA_414c
   kāni punar anenaiva KDA_471a	kAni punar anena-eva KDA_471a
   kāni bhadanta karmāṇi KDA_457a	kAni Badanta karmANi KDA_457a
   kā nu tatra viśeṣatā KDA_138d	kA nu tatra viSeza-tA KDA_138d
   kāpālikāś ca te vīrāḥ KDA_172c	kApAlikAH ca te vIrAH KDA_172c
   kāmabhogyāni ye hitvā KDA_47a	kAma-BogyAni ye hitvA KDA_47a
   kāmeṣv asaktāḥ kaunteya KDA_267c	kAmezu asaktAH kOnteya KDA_267c
   kāyasaṃsthānabhedatā KDA_141b	kAya-saMsTAna-Beda-tA KDA_141b
   kāyena manasā vācā KDA_273c	kAyena manasA vAcA KDA_273c
   kāruṇyahitamānasā KDA_290b	kAruNya-hita-mAnasA KDA_290b
   kāruṇyād vardhate dharmas KDA_313c	kAruNyAt varDate DarmaH KDA_313c
   kālikās te 'pi mānavāḥ KDA_191d	kAlikAH te api mAnavAH KDA_191d
   kāśyapena sutāyinā KDA_466d	kASyapena sutAyinA KDA_466d
   kāśyapo nāma nāyakaḥ KDA_461b	kASyapaH nAma nAyakaH KDA_461b
   kāṣṭhapāṣāṇavat sthitaḥ KDA_352d	kAzWa-pAzANa-vat sTitaH KDA_352d
   kāṣṭhapāṣāṇavadvṛthā KDA_292d	kAzWa-pAzANa-vat-vRTA KDA_292d
   kim atra dhyānasaṃlīnaḥ KDA_352a	kim atra DyAna-saMlInaH KDA_352a
   kimarthaṃ vasase caivam KDA_292a	kimarTam vasase ca-evam KDA_292a
   kim eva svātmapoṣiṇaḥ KDA_50d	kim eva sva-Atma-poziNaH KDA_50d
   kiyat kālaṃ ca jīveyaṃ KDA_352c	kiyat kAlam ca jIveyam KDA_352c
   kiṃcin na bhedalakṣaṇam* KDA_158d	kiMcid na Beda-lakzaNam* KDA_158d
   kiṃcin nimittamātre 'pi KDA_78c	kiMcid nimitta-mAtre api KDA_78c
   kiṃcin nimittamātre 'pi KDA_86c	kiMcid nimitta-mAtre api KDA_86c
   kiṃcin nimittasaṃruṣṭo KDA_30c	kiMcid nimitta-saMruzwaH KDA_30c
   kiṃ tavātharvavedena KDA_42a	kim tava-aTarvavedena KDA_42a
   kiṃ tasya brahmavṛttena KDA_52c	kim tasya brahma-vRttena KDA_52c
   kiṃ tu krodhāviśuddhātmā KDA_86a	kim tu kroDa-aviSudDa-AtmA KDA_86a
   kiṃ tu prakṣiptavastūnāṃ KDA_220c	kim tu prakzipta-vastUnAm KDA_220c
   kiṃ bhāti muniveṣeṇa KDA_51c	kim BAti muni-vezeNa KDA_51c
   kiṃ vā brāhmaṇalakṣaṇam* KDA_251b	kim vA brAhmaNa-lakzaNam* KDA_251b
   kiṃ vāsti bhedakāraṇam* KDA_137d	kim vA-asti Beda-kAraNam* KDA_137d
   kiṃ viśeṣatvalakṣaṇam* KDA_160d	kim viSeza-tva-lakzaNam* KDA_160d
   kiṃ syāt saṃskāramātrataḥ KDA_210d	kim syAt saMskAra-mAtrataH KDA_210d
   kutaś cyuto 'ham āyātaḥ KDA_329c	kutas cyutaH aham AyAtaH KDA_329c
   kuto deheṣu bhedatā KDA_151d	kutas dehezu Beda-tA KDA_151d
   kutra kena ca karmaṇā KDA_329d	kutra kena ca karmaNA KDA_329d
   kutrāpy asti viśeṣatā KDA_218d	kutra-api asti viSeza-tA KDA_218d
   kuntapipīlikādiṣu KDA_348d	kunta-pipIlikA-Adizu KDA_348d
   kupathe carate kudhīḥ KDA_406d	kupaTe carate kuDIH KDA_406d
   kumāratvaṃ kramāt prāpto KDA_29c	kumAra-tvam kramAt prAptaH KDA_29c
   kurudhvaṃ prāṇiṣu kṣamām* KDA_447d	kuruDvam prANizu kzamAm* KDA_447d
   kurvan mṛtyum avāptavān* KDA_339d	kurvan mRtyum avAptavAn* KDA_339d
   kuladharmam anādṛtya KDA_386c	kula-Darmam anAdRtya KDA_386c
   kulena kiṃ śīlavivarjitena KDA_203b	kulena kim SIla-vivarjitena KDA_203b
   kṛtaṃ kalpasahasrair yad KDA_337c	kRtam kalpa-sahasrEH yat KDA_337c
   kṛtāñjalipuṭo mudā KDA_74b	kRtAQjali-puwaH mudA KDA_74b
   kṛtāñjalipuṭo 'vadat* KDA_1d	kRta-aQjali-puwaH avadat* KDA_1d
   kṛtāñjalis tathā natvā KDA_64c	kRtAQjaliH taTA natvA KDA_64c
   kṛtāny api subhūtinā KDA_457b	kRtAni api suBUtinA KDA_457b
   kṛtvā śiṣyo 'bhavan muneḥ (Speyer: śikṣo) KDA_319b	kRtvA SizyaH aBavat muneH (Speyer: Sikzo) KDA_319b
   kṛtvendriyavinigraham* KDA_338b	kRtvA-indriya-vinigraham* KDA_338b
   kṛmyādhikīṭayaś cāpi KDA_437a	kRmyA-aDikIwayaH ca-api KDAH-_437a
   kṛṣikās te narā dhānyaiḥ KDA_178c	kRzikAH te narAH DAnyEH KDA_178c
   kṛṣṇānāṃ kṛṣṇatā khalu KDA_480d	kRzNAnAm kRzNa-tA Kalu KDA_480d
   kecic ca paścimāṃ diśam* KDA_17b	kecid ca paScimAm diSam* KDA_17b
   kecit prācīṃ diśaṃ gatāḥ KDA_16b	kecid prAcIm diSam gatAH KDA_16b
   kecid dṛṣṭvaiva māṃ yatim* KDA_347b	kecid dRzwvA-eva mAm yatim* KDA_347b
   ke te ye brāhmaṇāḥ proktāḥ KDA_251a	ke te ye brAhmaNAH proktAH KDA_251a
   kenacit kleśitaś cāhaṃ KDA_341c	kenacid kleSitaH ca-aham KDA_341c
   kevalaṃ duḥkhahetunā KDA_55d	kevalam duHKa-hetunA KDA_55d
   kevalaṃ pāpahetubhiḥ KDA_53d	kevalam pApa-hetuBiH KDA_53d
   kevalaṃ svamanas tuṣṭyai KDA_353a	kevalam sva-manaH tuzwyE KDA_353a
   kaivartigarbhasaṃbhūto KDA_123a	kEvarti-garBa-saMBUtaH KDA_123a
   ko nāmāsti guṇaḥ sa sādhudayito yo nānuyāto dayām* KDA_419b	kaH nAma-asti guNaH sa sADu-dayitaH yaH na-anuyAtaH dayAm* KDA_419b
   kriyatām iti so 'bravīt* KDA_26d	kriyatAm iti saH abravIt* KDA_26d
   kriyatāṃ yatnam ādarāt* KDA_368b	kriyatAm yatnam AdarAt* KDA_368b
   kriyābhir brāhmaṇo na ca KDA_259b	kriyABiH brAhmaNaH na ca KDA_259b
   kriyāvādena dṛśyate KDA_196b	kriyA-vAdena dRSyate KDA_196b
   krīḍamānā mahāpathe KDA_152b	krIxamAnA mahApaTe KDA_152b
   krūravāgvigrahotsukaḥ KDA_82d	krUra-vAc-vigraha-utsukaH KDA_82d
   krūrā gṛdhrādipakṣiṇaḥ KDA_437b	krUrAH gRDra-Adi-pakziNaH KDA_437b
   krūro lokopaghātakaḥ KDA_331b	krUraH loka-upaGAtakaH KDA_331b
   krodhakalaṅkito yo hi KDA_400a	kroDa-kalaFkitaH yaH hi KDA_400a
   krodhacittodbhavāni ca KDA_396d	kroDa-citta-udBavAni ca KDA_396d
   krodhacittodbhavāni hi KDA_411d	kroDa-citta-udBavAni hi KDA_411d
   krodhajiṣṇuḥ samāhitaḥ KDA_72b	kroDa-jizNuH samAhitaH KDA_72b
   krodhataḥ śāpavahninā KDA_286b	kroDataH SApa-vahninA KDA_286b
   krodhanaḥ krūrabhāṣaṇaḥ KDA_30b	kroDanaH krUra-BAzaNaH KDA_30b
   krodhaparyākulo naraḥ KDA_374d	kroDa-paryAkulaH naraH KDA_374d
   krodham ekaṃ tu yo hanyāt KDA_371c	kroDam ekam tu yaH hanyAt KDA_371c
   krodhavān na vibhāty eva KDA_401c	kroDavAn na viBAti eva KDA_401c
   krodhavān naiva sevyatām* KDA_402d	kroDavAn na-eva sevyatAm* KDA_402d
   krodhavān paribhūyate KDA_403d	kroDavAn pariBUyate KDA_403d
   krodhavān vadhyate janaiḥ KDA_403b	kroDavAn vaDyate janEH KDA_403b
   krodhavān hasyate lokaiḥ KDA_403a	kroDavAn hasyate lokEH KDA_403a
   krodhavān hīyate mitraiḥ KDA_403c	kroDavAn hIyate mitrEH KDA_403c
   krodhasaṃraktamānasaḥ KDA_78b	kroDa-saMrakta-mAnasaH KDA_78b
   krodhaṃ jitvāṃvarair api KDA_447b	kroDam jitvA-aMvarEH api KDA_447b
   krodhaṃ prahātum ācare KDA_332b	kroDam prahAtum Acare KDA_332b
   krodhaṃ mūlaṃ jagur jināḥ KDA_412b	kroDam mUlam jaguH jinAH KDA_412b
   krodhāgniḥ paridīpyate KDA_335b	kroDa-agniH paridIpyate KDA_335b
   krodhāgniḥ samudīritaḥ KDA_283b	kroDa-agniH samudIritaH KDA_283b
   krodhāc chāpahutāśanaiḥ KDA_375d	kroDAt SApa-hutASanEH KDA_375d
   krodhāt tato mahad bhayaṃ* KDA_385d	kroDAt tatas mahat BayaM* KDA_385d
   krodhānalavidāhini KDA_399b	kroDa-anala-vidAhini KDA_399b
   krodhānalasamuddīpto KDA_335c	kroDa-anala-samuddIptaH KDA_335c
   krodhāriṃ yatnato jitvā KDA_484a	kroDa-arim yatnataH jitvA KDA_484a
   krodhena tyajyate satyaṃ KDA_395c	kroDena tyajyate satyam KDA_395c
   krodhena dhvaṃsyate dharmaḥ KDA_395a	kroDena DvaMsyate DarmaH KDA_395a
   krodhena paribhāṣyate KDA_392b	kroDena pariBAzyate KDA_392b
