   bhāmatī	BAmatI
   na hi jātu kaścitsamudācāradvṛ	na hi jAtu kaScid samudAcAra dvR
   FN: 3 samudācarantyau bhedena jñāyamāne vṛttī vartane yayoste tathā /	FN: 3  samudAcarantyO Bedena jQAyamAne vRttI vartane yayoH te taTA /
   adhyāso hi vivekāgraheṇa vyāptaḥ, atra vivekagrahasattvādadhyāso nopapanna	aDyAsaH hi viveka agraheNa vyAptaH, atra viveka graha sattvAt aDyAsaH na upapanna
   ityāśayaḥ /	iti ASayaH /
   ttinī prakāśatamasī parasparātmatayā pratipattumarhati /	ttinI prakASa tamasI paraspara Atma tayA pratipattum arhati /
   tadidamuktam  itaretarabhāvānupapattāviti /	tat idam uktam  itaretara BAva anupapattO= iti /
   itaretara	itaretara
   FN: 4 itarasyetaratra bhāva iti yojane siddhasya saṃsargādhyāsaniṣedhasya	FN: 4 itarasya itaratra BAvaH iti yojane sidDasya saMsarga aDyAsa nizeDasya
   sādhanaṃ bhavettadanenāpahṛtaṃ boddhavyam /	sADanam Bavet tat anena apahRtam bodDavyam /
   bhāvaḥ itaretaratvam, tādātmyamiti yāvat;tasyānupapattāviti /	BAvaH itaretara tvam, tAdAtmyam iti yAvat;tasya anupapattO= iti /
   syādetat /	syAt etat /
   mā bhūddharmiṇoḥ parasparabhāvaḥ;taddharmāṇāṃ tu	mA BUt DarmiNoH paraspara BAvaH;tad DarmANAm tu
   jāḍyacaitanyanityatvānityatvādīnāṃ itaretarādhyāso bhaviṣyati /	jAxya cEtanya nitya tva anitya tva AdInAm itaretara aDyAsaH Bavizyati /
   dṛśyate hi dharmiṇorvivekagrahaṇe 'pi taddharmāṇāmadhyāsaḥ, yathā	dRSyate hi DarmiNoH viveka grahaNe api tad DarmANAm aDyAsaH, yaTA
   kusumādbhedena gṛhyamāṇe 'pi sphaṭikamaṇāvatisvacchatayā	kusumAt Bedena gRhyamANe api sPawi ka maNO= atisvacCa tayA
   japākusumapratibimbodgrāhiṇyaruṇaḥ sphaṭikaityāruṇyavibhrama ityata	japA kusuma pratibimba udgrAhiNI aruNaH sPawi kEtya aruNya viBramaH iti ata
   uktam taddharmāṇāmapīti /	uktam  tad DarmANAm api iti /
   itaretaratra dharmiṇi dharmāṇāṃ bhāvo vinimayastasyānupapattiḥ /	itaretaratra DarmiNi DarmANAm BAvaH vinimayaH tasya anupapattiH /
   ayamabhisaṃdhiḥ rūpavaddhi dravyamatisvacchatayā rūpavato dravyāntarasya	ayam aBisaMDiH rUpavat hi dravyam ati svacCa tayA rUpavataH dravya antarasya
   tadvivekena gṛhyamāṇasyāpi cchāyāṃ gṛhṇīyāt, cidātmā tvarūpo viṣayī na	tad vivekena gRhyamANasya api cCAyAm gRhNIya at, cit AtmA tu arUpaH vizayI na
   viṣayacchāyāmudgrāhayitumarhati /	vizaya= CAyAm udgrAhayitum arhati /
   yathāhuḥ 'śabdagandharasānāṃ ca kīdṛśī pratibimbatā'iti /	yaTA AhuH  aSabda ganDa rasAnAm ca kIdRSI pratibimba tA aiti /
   tadiha pāriśeṣyādviṣayaviṣayiṇoranyonyātmasaṃbhedenaiva taddharmāṇāmapi	tat iha pAriSezyAt vizaya vizayiNoH anyonya Atma saMBedena eva tad DarmANAm api
   parasparasaṃbhedena vinimayātmanā bhavitavyam, tau	paraspara saMBedena vinimaya AtmanA Bavitavyam, tO
   ceddharmiṇāvatyantavivekena gṛhyamāṇāvasaṃbhinnau, asaṃbhinnāḥ sutarāṃ	ced DarmiNO= atyanta vivekena gRhyamANO= asaMBinnO, asaMBinnAH sutarAm
   tayordharmāḥ, svāśrayābhyāṃ vyavadhānena dūrāpetatvāt /	tayoH DarmAH, sva ASrayAByAm vyavaDAnena dUra apeta tvAt /
   tadidamuktam sutarāmiti /	tat idam uktam  sutarAm iti /
   tadviparyayeṇeti /	tad viparyayeNa iti /
   viṣayaviparyayeṇetyarthaḥ /	vizaya viparyayeNa iti arTaH /
   mithyāśabdo 'pahnavavacanaḥ /	miTyA SabdaH apahnava vacanaH /
   etaduktaṃ bhavati  adhyāso bhedāgraheṇa vyāptaḥ, tadviruddhaścehāsti	etat uktam Bavati aDyAsaH Beda agraheNa vyAptaH, tad virudDaH ca iha asti
   bhedagrahaḥ, sa bhedāgrahaṃ nivartayaṃstadvyāptamadhyāsamapi nivartayatīti	Beda grahaH, sa Beda agraham nivartayan= tat vyAptam aDyAsam api nivartayati iti
   mithyeti bhavituṃ yuktaṃ yadyapi tathāpīti yojanā /	miTyA iti Bavitum yuktam yadi api taTA api iti yojanAH /
   idamatrākūtam bhavedetadevaṃ yadyahamityanubhave ātmatatvaṃ prakāśeta /	idam atra AkUtam  Bavet etat evam yadi aham iti anuBave Atmata tvam prakASeta /
   na tvetadasti /	na tu etat asti /
   tathāhi	taTA hi
   samastopādhyanavacchinnānantānandacaitanyaikarasamudāsīnamekamadvitīyamātmatattvaṃ	samasta upADi anavacCinna ananta Ananda cEtanya ekarasam udAsInam ekam advitIyam Atma tattvam
   śrutismṛtītihāsapurāṇeṣu gīyate /	Sruti smRti itihAsa purANezu gIyate /
   na caitānyupakrama	na ca etAni upakrama
   FN: 1 upakramaḥ prārambhaḥ, parāmarśo madhye nirdeśaḥ upasaṃhāraśca	FN: 1 upakramaH prAramBaH, parAmarSaH maDye nirdeSaH upasaMhAraH ca
   sāmānyena kathitasya viśeṣe niyamanam /	sAmAnyena kaTitasya viSeze niyamanam /
   atrāyamabhiprāyaḥ 'sadeva somyedamagra āsīdekamevādvitīya'ityupakramya,	atra ayam aBiprAyaH  asat eva somya idam agre AsIt ekam eva advitIya aiti upakramya,
   antarā ca tejasā śuṅgena sanmūlamanviccha, annena śuṅgena	antarA ca tejasA SuFgena sat mUlam anvicCa, annena SuFgena
   sanmūlamanvicchetyādi nirdiśya 'sa ya eṣo 'ṇimaitadātmyamidaṃ sarvaṃ	sat mUlam anvicCa ityAdi nirdiSya asa yaH ezaH aNimA etat Atmyam idam sarvam
   tatsatyaṃ sa ātmā tattvamasi śvetaketo'ityupasaṃhṛtaṃ vākyaṃ,	tat satyam saH AtmA tat tvam asi SvetaketaH aiti upasaMhRtam vAkyaM,
   akhaṇḍasattātparyakaṃ tadupakramopasaṃhāraliṅgāt /	aKaNxa sat tAt paryakam tad upakrama upasaMhAra liFgAt /
   avāntarapaṭhitam 'asadvā idamagra āsīt'ityādikametadanusaṃdhānena neyam /	avAntara paWitam aasat vA idam agre AsIt aiti a Adikam etat anusaMDAnena na iyam /
   nanu tejobādisṛṣṭikramamapi vyācaṣṭe /	nanu tejaH bAdi sRzwi kramam api vyAcazwe /
   na /	na /
   ekamadvitīyaṃ brahmaiveha pratipipādayiṣitam, yatparaḥ śabdaḥ sa eva	ekam advitIyam brahma eva iha pratipipAdayizitam, yat paraH SabdaH saH eva
   tadartho 'nyathātiprasaṅgāt /	tad arTaH anyaTA ati prasaFgAt /
   tasmāt brahmaṇo 'vatārāya yatkiñcidvyāhartavyamiti tadvyāhṛtamiti	tasmAt brahmaNaH avatArAya yat kiQcid vyAhartavyam iti tad vyAhRtam iti
   suvacamato niṣprapañcātmatattvapratipādakānyevaitānīti dik /	su vacam atas nizprapaQca Atma tattva pratipAdakAni eva etAni iti diS /
   parāmarśopasaṃhāraiḥ kriyāsamabhihāreṇedṛgātmatattvamabhidadhati tatparāṇi	parAmarSa upasaMhArEH kriyA samaBihAreNa IdRS Atma tattvam aBidaDati tad parANi
   santi śakyāni śakreṇāpyupacaritārthāni kartum /	santi SakyAni SakreNa api upacarita arTAni kartum /
   abhyāse hi bhūyastvamarthasya bhavati yathāho darśanīyāho darśanīyeti na	aByAse hi BUyas tvam arTasya Bavati yaTA aho darSanIyAhaH darSanIya iti na
   nyūnatvaṃ, prāgevopacaritatvamiti /	nyUna tvan, prAk eva upacarita tvam iti /
   ahamanubhavastu	aham anuBavaH tu
   prādeśikamanekavidhaśokaduḥkhādiprapañcopaplutamātmānamādarśayan	prAdeSikam anekaviDa Soka duHKa Adi prapaQca upaplutam AtmAnam AdarSayan
   kathamātmatattvagocaraḥ kathaṃ vānupaplavaḥ	kaTam Atma tattva gocaraH kaTam vA anupaplavaH
   FN: 2 upaplavo viparyāsaḥ /	FN: 2 upaplavaH viparyAsaH /
   ahamanubhavastadrahitaḥ kathamityarthaḥ /)/	aham anuBavaH tat rahitaH kaTam iti arTaH /)/
   na ca jyeṣṭhapramāṇapratyakṣavirodhādāmnāyasyaiva tadapekṣasyā	na ca jyezWa pramANa pratyakza viroDAt AmnAyasya eva tad apekzasyA
   FN: 3 atra tadapekṣatvaṃ pratyakṣapramāṇasiddhārthānuvādakatayā	FN: 3 atra tad apekza tvam pratyakza pramANa sidDArTa anuvAdaka tayA
   svaprāmāṇyamukhinipīkṣakatvarūpaṃ bodhyam /	sva prAmANya muKini pIkzaka tva rUpam boDyam /
   prāmāṇyamupacaritārthatvaṃ ceti yuktam, tasyāpauruṣeya	prAmANyam upacarita arTa tvam ca iti yuktam, tasya apOruzeya
   FN: 4 pūrvānupūrvyanapekṣapuṃviśeṣabuddhyadhīnānupūrvīmattvaṃ	FN: 4  pUrva AnupUrvI anapekza puMviSeza budDi aDIna AnupUrvImat tvam
   pauruṣeyatvaṃ, tadrahitatayetyarthaḥ /	pOruzeya tvaM, tat rahitatayA iti arTaH /
   tayā nirastasamastadoṣāśaṅkasya, bodhakatayā svataḥsiddhapramāṇa	tayA nirasta samasta doza ASaFkasya, boDaka tayA svatas sidDa pramANa 
   FN: 5 anadhigatābādhitārthabodhakatvameva hi prāmāṇyaṃ, taccāntarādhyakṣaṃ	FN: 5 anaDi gata AbADita arTa boDaka tvam eva hi prAmANyan, tat ca antara aDyakzam
   siddhamityarthaḥ /	sidDam iti arTaH /
   bhāvasya svakārye pramitāvanapekṣatvāt /	BAvasya sva kArye pramitO= anapekza tvAt /
   pramitāvanapekṣatve 'pyutpattau	pramitO= anapekza tve api utpattO
   pratyakṣāpekṣatvāttadvirodhādanutpattilakṣaṇamaprāmāṇyamiti cenna /	pratyakza apekza tvAt tad viroDAt anutpatti lakzaNam aprAmANyam iti ced na /
   utpādakāpratidvandvitvāt /	utpAdaka apratidvandvi tvAt /
   na hyāgamajñānaṃ sāṃvyavahārikaṃ pratyakṣasya prāmāṇyamupahanti yena	na hi Agama jQAnam sAMvyavahArikam pratyakzasya prAmANyam upahanti yena
   kāraṇābhāvānna bhavedapi tu tāttvikam /	kAraNa aBAvAt na Bavet api tu tAttvikam /
   na ca tattasyotpādakam /	na ca tat tasya utpAdakam /
   atāttvikapramāṇabhāvebhyo 'pi	atAttvika pramANa BAveByaH api
   sāṃvyavahārikapramāṇebhyastattvajñānotpattidarśanāt /	sAMvyavahArika pramANeByaH tattva jQAna utpatti darSanAt /
   tathā ca varṇe hrasvatvadīrghatvādayo 'nyadharmā api samāropitāḥ	taTA ca varNe hrasva tva dIrGa tva AdayaH anya DarmAH api samAropitAH
   tattvapratipattihetavaḥ /	tattva pratipatti hetavaH /
   na hi laukikāḥ 'nāgaḥ'iti vā"nagaḥ"iti vā padātkuñcaraṃ vā taruṃ vā	na hi lOkikAH anAgaH aiti vA"nagaH"iti vA padAt kuQcaram vA tarum vA
   pratipadyamānā bhavanti bhrāntāḥ /	pratipadyamAnAH Bavanti BrAntAH /
   na cā	na ca a
   FN: 1 yatpūrvamupacaritatvamuktaṃ tannirasyati)	FN: 1 yat pUrvam upacarita tvam uktam tat nirasyati)
   nanyaparaṃ vākyaṃ svārthaṃ upacaritārthaṃ yuktam /	nanya param vAkyam sva arTam upacarita arTam yuktam /
   uktaṃ hi   'na vidhau	uktam hi  ana viDO
   FN: 2 vidhāyake śabde, paro lakṣyaḥ śabdārtho na bhavatīti śābarabhāṣye	FN: 2 viDAyake Sabde, paraH lakzyaH Sabda arTaH na Bavati iti SAbara BAzye
   siddhāntitam /	sidDAntitam /
   naca 'somena yajeta'ityādau somavateti matvarthalakṣaṇābhyupagamāt,	na ca asomena yajeta aityAdO somavatA iti matu arTa lakzaNa aByupagamAt,
   'tattvamasi'ityādau ca jīvabrahmaṇoraikyaṃ bruvatāṃ mate	atat tvam asi aitya AdO ca jIva brahmaNoH Ekyam bruvatAm mate
   bhāgalakṣaṇāṅgīkārānnaitadyuktamiti vācyam /	BAga lakzaNa aFgIkArAt na etat yuktam iti vAcyam /
   vidhitulyaṃ, tattulyaṃ vā tātparyavadvākyaṃ	viDi tulyan, tad tulyam vA tAtparyavat vAkyam
   yatkiñcudanugrahārthamanyaparaṃ na netuṃ śakyamityarthe tātparyāt /	yat kiQcudanugraha arTa m anya param na netum Sakyam iti arTe tAtparyAt /
   tatra vinā tātparyaṃ siddhireṣṭavyetyāśayaḥ /	tatra vinA tAtparyam sidDiH ezwavyA iti ASayaH /
   paraḥ śabdārthaḥiti /	paraH Sabda arTaH iti /
   jyeṣṭhatvaṃ ca anapekṣitasya bādhyatve hetuḥ na tu bādhakatve,	jyezWa tvam ca anapekzitasya bADya tve hetuH na tu bADaka tve,
   rajatajñānasya jyāyasaḥ śuktijñānena kanīyasā bādhadarśanāt /	rajata jQAnasya jyAyasaH Sukti jQAnena kanIyasA bADa darSanAt /
   tadanapabādhane tadapabādhātmana	tad anapabADane tad apabADa Atmana
   FN: 3 śuktijñānaṃ rajatajñānāpabādhātmakaṃ, ato yadi nābādhiṣyata tarhi	FN: 3 Sukti jQAnam rajata jQAna apabADa AtmakaM, atas yadi na abADizyata tarhi
