   %p. 58	%p. 58
   ato 'vadhāritārthalakṣaṇaśabdasāhacaryāt pramāṇaśabdaḥ pramīyate ity evaṃ	atas avaDArita-arTa-lakzaNa-Sabda-sAhacaryAt pramANa-SabdaH pramIyate iti evam
   vyutpādya dharmaviṣaya eva vyākhyeyaḥ |	vyutpAdya Darma-vizayaH eva vyAKyeyaH |
   saty api prameyamātravācitve 'smin śāstre jijñāsyatvena dharmaḥ prakrānta	sati api prameya-mAtra-vAci-tve asmin SAstre jijQAsya-tvena DarmaH prakrAnta
   iti sa eva gṛhyate |	iti saH eva gRhyate |
   atha vā karaṇam eva pramāṇam, tasyaiva lakṣaṇam uktam |	aTa vA karaNam eva pramANam, tasya-eva lakzaNam uktam |
   yady api ca sarvapramāṇānāṃ tan noktaṃ tathāpi dharmapramāṇasya codanātvaṃ	yadi api ca sarva-pramANAnAm tat na-uktam taTA-api Darma-pramANasya codanA-tvam
   nāma lakṣaṇam ity etāvataivoktaṃ manyate |	nAma lakzaNam iti etAvatA-eva-uktam manyate |
   na cāvaśyaṃ sarvātmanaiva lakṣite lakṣaṇatvam |	na ca-avaSyam sarva-AtmanA-eva lakzite lakzaNa-tvam |
   viśeṣarūpāṇām ānantyena sarvalakṣaṇābhā-	viSeza-rUpANAm Anantyena sarva-lakzaNa-ABA-
   %p. 60	%p. 60
   vaprasaṅgāt |	vapra-saFgAt |
   api cautpattikasūtreṇa viśeṣo 'py ukta eva yenāgamaviśeṣo gamyate |	api ca-Otpattika-sUtreNa viSezaH api uktaH eva yena-Agama-viSezaH gamyate |
   atha vopanyastasya codanātmakasya pramāṇasya lakṣaṇaṃ prāmāṇyakāraṇam	aTa vA-upanyastasya codana-Atmakasya pramANasya lakzaNam prAmANya-kAraNam
   uktam ity upasaṃhāraḥ |	uktam iti upasaMhAraH |
   tathā yady api vidher idaṃ rūpam idam arthavādasyedaṃ mantrasyety evaṃ	taTA yadi api viDeH idam rUpam idam arTa-vAdasya-idam mantrasya-iti evam
   noktaṃ tathāpi dharmaṃ praty upayogābhidhānāt tattvaṃ nirṇītam |	na-uktam taTA-api Darmam prati upayoga-aBiDAnAt tattvam nirNItam |
   avasarābhāvāt tu tatsvarūpaṃ na nirdiṣṭam |	avasara-aBAvAt tu tad-svarUpam na nirdizwam |
   śrutimūlatvaṃ vijñānasya smṛtiprāmāṇye tattvam |	Sruti-mUla-tvam vijQAnasya smRti-prAmANye tattvam |
   nāmadheyasya codanāntargatatvāt pramāṇatvam |	nAmaDeyasya codanA-antargata-tvAt pramANa-tvam |
   saṃdigdhārthanirṇaye vākyaśeṣasāmarthyayoḥ prāmāṇyam ity evaṃ samastam	saMdigDa-arTa-nirNaye vAkya-Seza-sAmarTyayoH prAmANyam iti evam samastam
   adhyāyaṃ pramāṇalakṣaṇam ācakṣate |	aDyAyam pramANa-lakzaNam Acakzate |
   tan na prasmartavyam iti |	tat na prasmartavyam iti |
   avismṛtaprāmāṇyo hi bhedādipratipādanam aviśeṣād anarthakaṃ hi syāt iti	avismRta-prAmANyaH hi Beda-Adi-pratipAdanam aviSezAt anarTakam hi syAt iti
   kriyamāṇaṃ sahate |	kriyamANam sahate |
   anyathā hy anarthakaṃ nāmety api pratyavatiṣṭheta |	anyaTA hi anarTakam nAma-iti api pratyavatizWeta |
   nanu pradhānāpradhānacintā tṛtīyacaturthayor viṣayaḥ katham atropanyasyate	nanu praDAna-apraDAna-cintA tRtIya-caturTayoH vizayaH kaTam atra-upanyasyate
   kecid āhuḥ |	kecid AhuH |
   iha dravyakarmaṇor uttaratra tu karmaṇām eva guṇapradhānatvavicārād	iha dravya-karmaNoH uttaratra tu karmaNAm eva guNa-praDAna-tva-vicArAt-
   apaunaruktyam iti |	apOnaruktyam iti |
   tad ayuktam |	tat ayuktam |
   dravyaguṇasaṃskāreṣu ity atra sarvābhidhānāt |	dravya-guNa-saMskArezu iti atra sarva-aBiDAnAt |
   tenaivaṃ vācyam	tena-evam vAcyam
   lakṣaṇārtho 'tra tattvena bhedaḥ śabdāntarādibhiḥ /	lakzaNa-arTaH atra tattvena BedaH Sabda-antara-AdiBiH /
   %p. 61	%p. 61
   tam anv apūrvabhedo 'pi prādhānyaṃ tatprasiddhaye // 4 //	tam anu apUrva-BedaH api prADAnyam tad-prasidDaye // 4 //
   karmabhedas tāvad autsargiko lakṣaṇārthaḥ, tadapavādatvenābhedaḥ |	karma-BedaH tAvat OtsargikaH lakzaNa-arTaH, tad-apavAda-tvena-aBedaH |
   tadanuniṣpādinau tv apūrvabhedābhedau |	tad-anunizpAdinO tu apUrva-Beda-aBedO |
   tatra pratikarmabhedam apūrvabhedaprasaktau tṛtīyasiddhaḥ	tatra pratikarma-Bedam apUrva-Beda-prasaktO tRtIya-sidDaH
   pradhānāpradhānavicāraḥ punar apavādatvenārapsyate |	praDAna-apraDAna-vicAraH punar apavAda-tvena-Arapsyate |
   saty apy avahantyādīnāṃ śabdāntarādibhir bhede	sati api avahanti-AdInAm Sabda-antara-AdiBiH Bede
   karmākāṅkṣitadṛṣṭaprayojanaparyavasānān na kriyājanyāpūrvāntarotpattiḥ |	karma-AkAFkzita-dRzwa-prayojana-paryavasAnAt na kriyA-janyA-pUrva-antara-utpattiH |
   yat tu niyamāpūrvaṃ tat kriyākṛtaṃ na bhavatīti na tayā vyapadiśyate |	yat tu niyama-apUrvam tat kriyA-akRtam na Bavati-iti na tayA vyapadiSyate |
   tena yatraiva dravyādīni prati kriyāṇāṃ pradhānatvaṃ tatraiva	tena yatra-eva dravya-AdIni prati kriyANAm praDAna-tvam tatra-eva
   tadbhedanimittāpūrvabhedasiddhiḥ |	tad-Beda-nimitta-apUrva-Beda-sidDiH |
   asya ca vivekārthaṃ yad guṇapradhānalakṣaṇaṃ vakṣyate	asya ca viveka-arTam yat guNa-praDAna-lakzaNam vakzyate
   tadapavādāpavādārthaṃ dharmamātre tu stutaśastrayoḥ iti cādhikaraṇadvayaṃ	tad-apavAda-apavAda-arTam Darma-mAtre tu stuta-SastrayoH iti ca-aDikaraNa-dvayam
   prastoṣyate |	prastozyate |
   tataś cākhyātadvaividhye 'vadhārite prasaṅgāt tṛtīyaṃ prakāram	tatas ca-AKyAta-dvEviDye avaDArite prasaFgAt tRtIyam prakAram
   abhidhāyakatvaṃ pratipādayituṃ mantraprastāvaḥ |	aBiDAyaka-tvam pratipAdayitum mantra-prastAvaH |
   tallakṣaṇādīni tu prasaktānuprasaktena yāvat pādasamāpti |	tad-lakzaNa-AdIni tu prasakta-anuprasaktena yAvat pAda-samApti |
   tataḥ śabdāntarābhyāsābhyāṃ bhedam uktvā	tatas Sabda-antara-aByAsAByAm Bedam uktvA
   paurṇamāsyadhikaraṇenābhyāsāpavādaḥ kariṣyate samudāyānuvādatvāt |	pOrNamAsI-aDikaraNena-aByAsa-apavAdaH karizyate samudAya-anuvAda-tvAt |
   tatas tadapavādārtham upāṃśuyājāghārāgnihotrapaśusomādhikaraṇāni |	tatas tad-apavAda-arTam upAMSuyAja-AGAra-agnihotra-paSu-soma-aDikaraNAni |
   tataḥ saṃkhyāsaṃjñāguṇair bhedaḥ |	tatas saMKyA-saMjQA-guNEH BedaH |
   tāvac ca guṇagato vicāro yāvat prakaraṇāntarādhikaraṇam |	tAvat ca guNa-gataH vicAraH yAvat prakaraNa-antara-aDikaraNam |
   tatas tannyāyānuvṛttir ā śākhāntarādhikaraṇāt |	tatas tad-nyAya-anuvRttiH A SAKA-antara-aDikaraNAt |
   tatra ca ṣaṭkātiriktabhedakāraṇavyudāsaḥ saṃjñābhyāsaguṇaprakriyāṇāṃ	tatra ca zawka-atirikta-Beda-kAraNa-vyudAsaH saMjQA-aByAsa-guNa-prakriyANAm
   cāśaṅkānivṛttir ity etāvān bhedalakṣaṇārthaḥ |	ca-ASaFkA-nivRttiH iti etAvAn Beda-lakzaNa-arTaH |
   eṣa evārtho 'vaśyaṃ vaktavyo 'ṅgāṅgitvādyavadhāraṇārtham |	ezaH eva-arTaH avaSyam vaktavyaH aFga-aFgi-tva-Adi-avaDAraNa-arTam |
   na	na
   %p. 62	%p. 62
   cānyasyedānīm avasaro 'stīty ayam evādhyāyasaṃbandhaḥ |	ca-anyasya-idAnIm avasaraH asti-iti ayam eva-aDyAya-saMbanDaH |
   kutaḥ |	kutas |
   śeṣaśeṣyādayaḥ sarve karmabhedanibandhanāḥ /	Seza-Sezya-AdayaH sarve karma-Beda-nibanDanAH /
   kārye jñāte 'dhikāraḥ syād upadeśe 'tideśadhīḥ // 5 //	kArye jQAte aDikAraH syAt upadeSe ati-deSa-DIH // 5 //
   prāk tāvat pramāṇalakṣaṇād vedārthavicārātmakatvān na kasyacid	prAk tAvat pramANa-lakzaNAt veda-arTa-vicAra-Atmaka-tvAt na kasyacid-
   bhedalakṣaṇādeḥ prastāva ity uttarakālam ārambhaḥ |	Beda-lakzaNa-AdeH prastAvaH iti uttarakAlam AramBaH |
   tatrāpi śeṣaśeṣitvaṃ prayojakāprayojakatvaṃ kramaś ca bhinnānāṃ bhavatīti	tatra-api Seza-Sezi-tvam prayojakA-prayojaka-tvam kramaH ca BinnAnAm Bavati-iti
   na bhedalakṣaṇāt prāg ārabhyate |	na Beda-lakzaNAt prAk AraByate |
   tathādhikāraḥ karmasvarūpe 'vadhārite tadyogyatayā śakyo nirūpayitum iti	taTA-aDikAraH karma-svarUpe avaDArite tad-yogya-tayA SakyaH nirUpayitum iti
   pañcāpi lakṣaṇāni pratīkṣate |	paQca-api lakzaNAni pratIkzate |
   tathottaraḥ ṣaṭko 'tideśaviṣayatvād upadeśajñānādhīnasiddhiḥ samastaḥ	taTA-uttaraH zawkaH ati-deSa-vizaya-tvAt upadeSa-jQAna-aDIna-sidDiH samastaH
   samastaṃ pūrvaṣaṭkam apekṣate |	samastam pUrva-zawkam apekzate |
   tataś ca pariśeṣasiddho 'yaṃ bhedalakṣaṇasya saṃbandha ity atrārabhyate |	tatas ca pariSeza-sidDaH ayam Beda-lakzaNasya saMbanDaH iti atra-AraByate |
   ṣaḍvidhaḥ karmabhedaḥ iti sādhanabhedopacārāt |	zaxviDaH karma-BedaH iti sADana-Beda-upacArAt |
   vakṣyamāṇasūtrakramānurodhena nāmadheyaṃ saṃkhyānantaraṃ paṭhitavyaṃ sad	vakzyamANa-sUtra-krama-anuroDena nAmaDeyam saMKyA-anantaram paWitavyam sad
   anādarād ante paṭhitam |	anAdarAt ante paWitam |
   itikaraṇo hetvarthaḥ |	iti-karaNaH hetu-arTaH |
   ṣaḍvidhaḥ karmabheda etaiḥ kāraṇair iti yāvat |	zaxviDaH karma-BedaH etEH kAraNEH iti yAvat |
   atha vā karaṇe bhedaśabdaṃ vyutpādya sāmānādhikaraṇyenaiva śabdāntarādīni	aTa vA karaNe Beda-Sabdam vyutpAdya sAmAnADikaraNyena-eva Sabda-antara-AdIni
   vyākhyeyāni |	vyAKyeyAni |
   saṃjñāśabdāntarayoḥ saṃkhyāguṇayoś cāpaunaruktyaṃ svasthāne vakṣyāmaḥ |	saMjQA-Sabda-antarayoH saMKyA-guNayoH ca-apOnaruktyam sva-sTAne vakzyAmaH |
   sarvadā caiṣāṃ bhinnaviṣayatvān na śrutyādivad	sarvadA ca-ezAm Binna-vizaya-tvAt na Sruti-Adi-vat-
   %p. 63	%p. 63
   balābalacintā bhaviṣyatīti tadbhedapratipādanamātraṃ tātparyeṇa |	bala-abala-cintA Bavizyati-iti tad-Beda-pratipAdana-mAtram tAtparyeNa |
   anyad upodghātādinā |	anyat upodGAta-AdinA |
   tatra	tatra
   cintāṃ prakṛtasiddhyarthām upodghātaṃ pracakṣate /	cintAm prakRta-sidDi-arTAm upodGAtam pracakzate /
   prasaktānuprasaktādi prastutād upajāyate // 6 //	prasakta-anuprasakta-Adi prastutAt upajAyate // 6 //
   yathedam evādhikaraṇaṃ prakṛtānuniṣpādyapūrvabhedānusārasiddhyartham	yaTA-idam eva-aDikaraNam prakRta-anunizpAdya-pUrva-Beda-anusAra-sidDi-arTam
   upodghātatvena bhaviṣyati |	upodGAta-tvena Bavizyati |
   %p. 64	%p. 64
   katarasmāt padāt phalena saṃbadhyamānād apūrvabhedābhedāv anugantavyāv iti	katarasmAt padAt Palena saMbaDyamAnAt apUrva-Beda-aBedO anugantavyO iti
   yadā niravayavau vākyavākyārthau syātāṃ tataḥ kiṃ pratipadaṃ dharma	yadA niravayavO vAkya-vAkya-arTO syAtAm tatas kim pratipadam Darma
   ityādir asaṃbaddha eva vicāraḥ syāt, ata āha vākye ca padānām arthāḥ iti |	ityAdiH asaMbadDaH eva vicAraH syAt, atas Aha vAkye ca padAnAm arTAH iti |
   atrāpi codyate |	atra-api codyate |
   codanālakṣaṇatvena vākyārtho 'vasthito yadā /	codanA-lakzaNa-tvena vAkya-arTaH avasTitaH yadA /
   dharmaḥ pratipadaṃ vācyaḥ katham āśaṅkyate tadā // 7 //	DarmaH pratipadam vAcyaH kaTam ASaFkyate tadA // 7 //
   yadi hi dharmasvarūpam abhidhīyeta tataḥ kiṃ padena padenocyate iti vicāro	yadi hi Darma-svarUpam aBiDIyeta tatas kim padena padena-ucyate iti vicAraH-
   yujyate, lākṣaṇike tv ayuktaḥ |	yujyate, lAkzaNike tu ayuktaH |
   tad ucyate |	tat ucyate |
   dharmatvaṃ phalasaṃbandhāt padārthasyaiva yujyate /	Darma-tvam Pala-saMbanDAt padArTasya-eva yujyate /
   tat kim ekasya sarveṣām iti yuktā vicāraṇā // 8 //	tat kim ekasya sarvezAm iti yuktAH vicAraNAH // 8 //
   na cātra yo dharmaḥ sa kiṃ padena padenocyata ity evaṃ vicāryate, kiṃ	na ca-atra yaH DarmaH sa kim padena padena-ucyate iti evam vicAryate, kim
   tarhi, yaḥ padena padenocyate sa kiṃ phalasaṃbandhottarakālaṃ	tarhi, yaH padena padena-ucyate sa kim Pala-saMbanDa-uttara-kAlam
   vākyārthātmanā gamyamāno dharmo bhavati, athetarapadārthānugṛhīta ekaḥ	vAkya-arTa-AtmanA gamyamAnaH DarmaH Bavati, aTa-itara-padArTa-anugRhItaH ekaH
   padārtha iti |	padArTaH iti |
   tathā ca sarvair ekasya dharmatvaṃ pratipāditaṃ bhavati |	taTA ca sarvEH ekasya Darma-tvam pratipAditam Bavati |
   sākṣāt phalasādhanamātrasya dharmatvābhyupagamāt |	sAkzAt Pala-sADana-mAtrasya Darma-tva-aByupagamAt |
   na tu sarveṣām ekaḥ kaścid artho 'sti yaḥ sarvair ekaḥ ity evam āśrīyeta |	na tu sarvezAm ekaH kaScid arTaH asti yaH sarvEH ekaH iti evam ASrIyeta |
   yac ca phalapadena saha padaṃ saṃbadhyate tasyārthaṃ dharmam	yat ca Pala-padena saha padam saMbaDyate tasya-arTam Darmam
   apūrvasādhanaṃ ca manyante |	apUrva-sADanam ca manyante |
   tena kiṃ sarvāṇi padāni phalena saṃbadhyante kiṃ vaikam iti vicāraḥ |	tena kim sarvANi padAni Palena saMbaDyante kim vA-ekam iti vicAraH |
   kiṃ prāptaṃ |	kim prAptam |
   pratipadam iti |	pratipadam iti |
   kutaḥ |	kutas |
   aikarūpyeṇa saṃbandhaḥ pradhānena ca sidhyati /	Eka-rUpyeNa saMbanDaH praDAnena ca siDyati /
   tasmāt phalapadenaiva sarvaṃ saṃbadhyate padam // 9 //	tasmAt Pala-padena-eva sarvam saMbaDyate padam // 9 //
   %p. 65	%p. 65
   yadi hi viśeṣo gamyete---idaṃ phalasaṃbandhayogyam, idaṃ na---iti, tataḥ	yadi hi viSezaH gamyete---idam Pala-saMbanDa-yogyam, idam na----iti, tatas-
   kiṃcid eva saṃbadhyeta |	kiMcid eva saMbaDyeta |
   anavagamyamāne tu sarvāṇi padāni phalenaiva saṃbadhyante |	anavagamyamAne tu sarvANi padAni Palena-eva saMbaDyante |
   yadi caikaṃ phalasaṃbandhi, itarāṇi tatsaṃbandhīnīti kalpyate, tato	yadi ca-ekam Pala-saMbanDi, itarANi tad-saMbanDIni-iti kalpyate, tatas-
   vājapeyādhikaraṇanyāyenaikasya phalaṃ praty upādānavidhānaguṇabhāvāt,	vAjapeya-aDikaraNa-nyAyena-ekasya Palam prati upAdAna-viDAna-guNa-BAvAt,
   itarat tu praty uddeśānuvādaprādhānyād vairūpyanimittavākyabhedaprasaṅgaḥ	itarat tu prati uddeSa-anuvAda-prADAnyAt vErUpya-nimitta-vAkya-Beda-prasaFgaH
   sarveṣāṃ phalaṃ praty upādīyamānānām aikarūpyāt tantrasaṃbandhopapattiḥ |	sarvezAm Palam prati upAdIyamAnAnAm EkarUpyAt tantra-saMbanDa-upapattiH |
   sarvaś ca sati saṃbhave guṇam atilaṅghya pradhānenaiva nityaṃ saṃbadhyate	sarvaH ca sati saMBave guNam atilaFGya praDAnena-eva nityam saMbaDyate
   tasmāt sarveṣāṃ phalasaṃbandhād dharmatvaṃ |	tasmAt sarvezAm Pala-saMbanDAt Darma-tvam |
   tatra tu kiṃ satrivat pratyekaṃ kṛtsnaṃ phalaṃ sādhayanti, atha	tatra tu kim satri-vat pratyekam kRtsnam Palam sADayanti, aTa
   darśapūrṇamāsavat saṃhatya, tathā kiṃ vikalpena samuccayena vetyādi	darSa-pUrNamAsa-vat saMhatya, taTA kim vikalpena samuccayena vA-ityAdi
   yatheṣṭaṃ kalpanīyam |	yaTezwam kalpanIyam |
   tatra phalabhūmagarīyastvāt, ekaśabdopādānābhāvāt, satrivat pratyekaṃ	tatra Pala-BUmagarIyaH-tvA-at, eka-Sabda-upAdAna-aBAva-at, satri-vat pratyekam
   sādhanaśaktyavagamāt sarvebhyaḥ pṛthak phalam iti pakṣaḥ |	sADana-Sakti-avagamAt sarveByaH pRTak Palam iti pakzaH |
   atha vāruṇādinyāyenaikavākyopā-	aTa vAruNa-Adi-nyAyena-eka-vAkya-upA-
   %p. 66	%p. 66
   dānāt saṃhatānāṃ phalam |	dAnAt saMhatAnAm Palam |
   atha vaikena nirākāṅkṣatvān na tadānīm evetarasaṃbandhopapattiḥ, tasmād	aTa vA-ekena nirAkAFkza-tvAt na tadAnIm eva-itara-saMbanDa-upapattiH, tasmAt-
   vikalpa iti |	vikalpaH iti |
   atrābhidhīyate |	atra-aBiDIyate |
   phalena yasya saṃbandhas tato 'pūrvaṃ prakalpyate /	Palena yasya saMbanDaH tatas apUrvam prakalpyate /
   tadalpatvopapattau ca na yuktā bahukalpanā // 10 //	tad-alpatva-upapattO ca na yuktA bahu-kalpanA // 10 //
   yadi hi phalasaṃbandhamātraparyavasāyy eva vākyaṃ bhavet, tataḥ kadācid	yadi hi Pala-saMbanDa-mAtra-paryavasAyI eva vAkyam Bavet, tatas kadAcid-
   sarvāṇy api phalena saṃbadhyeran |	sarvANi api Palena saMbaDyeran |
   iha tu tāvanmātreṇāsiddher apūrvam anyat kalpayitavyam, tac	iha tu tAvat-mAtreNa-asidDeH apUrvam anyat kalpayitavyam, tat-
   cānupapattipramāṇakam |	ca-anupapatti-pramANakam |
   tatraikāpūrvakalpanayopapanne vākye nādṛṣṭāntarakalpanāpramāṇam asti |	tatra-eka-apUrva-kalpa-nayA-upapanne vAkye na-adRzwa-antara-kalpanA-pramANam asti |
   yo hy anekāny apūrvāṇi kalpayati, kalpayaty asāv ekam |	yaH hi anekAni apUrvANi kalpayati, kalpayati asO ekam |
   tac cet kalpitam, arthavattvād vākyasya kṣīṇānyathānupapattir	tat ced kalpitam, arTavat-tvAt vAkyasya kzINAni-aTa-anupapattiH-
   nāpūrvāntarasya pramāṇaṃ bhavati |	na-apUrva-antarasya pramANam Bavati |
   tasmād ekam eva phalasaṃbandhi, tasmāc cāpūrvam, itarat phalavadupakārīty	tasmAt ekam eva Pala-saMbanDi, tasmAt ca-apUrvam, itarat Palavat-upakArI-iti-
   adhyavasīyate |	aDyavasIyate |
   na cātra virodho bhaviṣyati |	na ca-atra viroDaH Bavizyati |
   nāmadheyatvena parihārāt |	nAmaDeya-tvena parihArAt |
   agatyā vā daśāpavitreṇa grahaṃ saṃmārṣṭi itivan matvarthalakṣaṇāśrayaṇāt |	agatyAH vA daSA-pavitreNa graham saMmArzwi itivat matu-arTa-lakzaNa-ASrayaNAt |
   arthākṣiptasādhyāṃśadvāreṇa vā dhātvarthair ātmīyakaraṇagrahaṇasiddheḥ |	arTa-Akzipta-sADya-aMSa-dvAreNa vA DAtu-arTEH AtmIya-karaNa-grahaNa-sidDeH |
   evaṃ sthite katarad ekaṃ saṃbadhyatām iti	evam sTite katarat ekam saMbaDyatAm iti
   sarvathānekādṛṣṭakalpanāparihārād aniyamaprāptāu, ucyate |	sarvaTA-aneka-adRzwa-kalpanA-parihArAt aniyama-prAptAu, ucyate |
   %p. 67	%p. 67
   pradhānaṃ phalasaṃbandhi tatsaṃbandhy aṅgam iṣyate /	praDAnam Pala-saMbanDi tad-saMbanDi aFgam izyate /
   pradhānāṅgatvam ekasya na caikatrāvakalpate // 11 //	praDAna-aFga-tvam ekasya na ca-ekatra-avakalpate // 11 //
   na hy ekasmin vākye tad eva kadācit phalasaṃbandhāt pradhānam, kadācit	na hi ekasmin vAkye tat eva kadAcid Pala-saMbanDAt praDAnam, kadAcid-
   phalavadupakārād aṅgaṃ yujyate |	Palavat-upakArAt aFgam yujyate |
   niyatarūpatvād aṅgāṅgibhāvasya |	niyata-rUpa-tvAt aFga-aFgi-BAvasya |
   tasmān niyogenaivākhyātapadān nāmapadād vāpūrvapratītiḥ |	tasmAt niyogena-eva-AKyAta-padAt nAma-padAt vA-apUrva-pratItiH |
   %p. 68	%p. 68
   kaḥ punar bhāvaḥ, ke vā bhāvaśabdāḥ iti---yāvantaḥ phalasaṃbaddheṣu	kaH punar BAvaH, ke vA BAva-SabdAH iti---yAvantaH Pala-saMbadDezu
   vākyeṣv ākhyātaśabdāḥ yajati dadāti juhoti ity evamādayaḥ, teṣu	vAkyezu AKyAta-SabdAH yajati dadAti juhoti iti evamAdayaH, tezu
   pratyayārthaprādhānyāt, kartari ca lakārotpatteḥ,	pratyaya-arTa-prADAnya-at, kartari ca lakAra-utpatteH,
   yāgādiviśiṣṭakartrabhidhānam, kathaṃcid vā viparyayāt	yAga-Adi-viSizwa-kartR-aBiDAnam, kaTaMcid vA viparyayAt-
   kartṛviśiṣṭayāgādyabhidhānaṃ manvānasya praśnaḥ |	kartR-viSizwa-yAga-Adi-aBiDAnam manvAnasya praSnaH |
   satyām api caikaparyanuyogenobhayaparyanuyogasiddhau---yo 'yaṃ yajanam	satyAm api ca-eka-paryanuyogena-uBaya-paryanuyoga-sidDO---yaH ayam yajanam
   ijyā yāgaḥ ity anudāhṛtyaiva bhāvārthatāṃ bravīti, tan nūnaṃ ke'py	ijyA yAgaH iti anudAhRtya-eva BAva-arTa-tAm bravIti, tat nUnam ke-api-
   alaukikā bhāvaśabdā api---ity ubhayapraśnaḥ |	alOkikAH BAva-SabdAH api---iti uBaya-praSnaH |
   siddhāntavādī tu---bhavater ṇijantāt er ac ity acpratyaye kṛte	sidDAnta-vAdI tu----BavateH NijantAt eH at iti acpratyaye kRte
   bhāvanāvicinaṃ bhāvaśabdaṃ vyutpādya, ākhyātasya cānvayavyatirekābhyāṃ	BAvanA-vicinam BAva-Sabdam vyutpAdya, AKyAtasya ca-anvaya-vyatirekAByAm
   tatparatvaṃ kartrabhidhānapratiṣedhaṃ cābhipretyodāharati yajati dadāti	tad-paratvam kartR-aBiDAna-pratizeDam ca-aBipretya-udAharati yajati dadAti
   iti |	iti |
   paraḥ punaḥ---bhavater ṇijantād anyena naiṣo 'rtho 'bhidhīyate, na	paraH punar----BavateH NijantAt anyena na-ezaH arTaH aBiDIyate, na
   cākhyātapratyayasyātra vyāpāraḥ, dhātvantarārthatvāt |	ca-AKyAta-pratyayasya-atra vyApAraH, DAtu-antara-arTa-tvAt |
   kāmaṃ tulyajātīyatvena dhātava eva brūyuḥ, te 'pi tu yāgādivacanatvād	kAmam tulya-jAtIya-tvena DAtavaH eva brUyuH, te api tu yAga-Adi-vacana-tvAt-
