   Rādhā-kṛṣṇārcana-dīpikā	RADA--kRzNA-arcana-dIpikA
   tathā tadīya-bhaktānāṃ	taTA tadIya--BaktAnAm
   no ced doṣo 'sti dustaraḥ ||5||	no ced dozaH asti dustaraH ||5||
   [*NOTE: This verse is, but for mukundasya in the place of hi kṛṣṇasya, the	[*NOTE: ThiH verse is, but foH mukundasya id Te place of hi kRzNasya, Te
   same as LBhāg 2.1. The following section follows closely on LBhāg 2.]	same as LBhAk 2.1. The fa-ullowing section fa-ullowH closelI on LBhAk 2.]
   (end page 1)	(end page 1)
   atra śrī-kṛṣṇasya yathā gautamīya-tantre -	atra SrI--kRzNasya yaTA gOtamIya-tantre -
   asāre ghora-saṃsāre	asAre Gora--saMsAre
   sāraṃ kṛṣṇa-padārcanam |	sAram kRzNa-pada-arcanam |
   janmāsādya manuṣyeṣu	janma-AsAdya manuzyezu
   śuddhe ca pitṛ-mātari |	SudDe ca pitR-mAtari |
   yo nārcayati kalpaḥ san	yaH na-arcayati kalpaH san
   tasmāt pāpataro hi kaḥ ||6||	tasmAt pApataraH hi kaH ||6||
   mahābhārate -	mahABArate -
   mātṛvat parrakṣantaṃ	mAtR-vat parrakzantam
   sṛṣṭi-saṃsāra-kārakam |	sRzwi--saMsAra-kArakam |
   yo nārcayati deveśaṃ	yaH na-arcayati deveSam
   taṃ vidyād brahma-ghātakam ||7||	tam vidyAt brahma-GAtakam ||7||
   atha tadīyānāṃ yathā pādme -	aTa tadIyAnAm yaTA pAdme -
   mārkaṇḍeyo 'mbarīṣasya	mArkaNxeyaH ambarIzasya
   vasur vyāso vibhīṣaṇaḥ |	vasuH vyAsaH viBIzaNaH |
   puṇḍarīko baliḥ śambhuḥ	puNxarIkaH baliH SamBuH
   prahlādo viduro dhruvaḥ ||8||	prahlAdaH viduraH DruvaH ||8||
   dālbhyaḥ parāśaro bhīṣmo	dAlByaH parASaraH BIzmaH-
   nāradādyāś ca vaiṣṇavaiḥ |	nArada-AdyAH ca vEzNavEH |
   sevyo hariṃ niṣevyāmī	sevyaH harim nizevyAmI
   no ced doṣaḥ paraṃ bhavet ||9||	no ced dozaH param Bavet ||9||
   tathā hari-bhakti-sudhodaye (16.76) -	taTA hari--Bakti-suDA-udaye (16.76) -
   arcayitvā tu govindaṃ	arcayitvA tu govindam
   tadīyān nārcayanti ye |	tadIyAn na-arcayanti ye |
   na te viṣṇoḥ prasādasya	na te vizNoH prasAdasya
   bhājanaṃ dāmbhikā janāḥ ||10||	BAjanam dAmBikAH janAH ||10||
   pādmottara-khaṇḍe -	pAdma-uttara---KaNxe -
   ārādhanānāṃ sarveṣāṃ	ArADanAnAm sarvezAm
   viṣṇor ārādhanaṃ param |	vizNoH ArADanam param |
   tasmāt parataraṃ devi	tasmAt parataram devi
   tadīyānāṃ samarcanam ||11||	tadIyAnAm samarcanam ||11||
   arcayitvā tu govindaṃ	arcayitvA tu govindam
   tadīyān nārcayet tu yaḥ |	tadIyAt na-arcayet tu yaH |
   na sa bhāgavato jñeyaḥ	na sa BAgavataH jQeyaH
   kevalaṃ dāmbhikaḥ smṛtaḥ ||12|| iti |	kevalam dAmBikaH smRtaH ||12|| iti |
   atra pūrvatra ca tadīya-śabdena tasya bhaktā eva ucyante | tat tv anye -	atra pUrvatra ca tadIya--Sabdena tasya BaktAH eva ucyante | tat tu anye -
   (end page 2)	(end page 2)
   dvau bhūta-sargau loke 'smin	dvO BUta--sargO loke asmin
   daiva āsura eva ca |	dEvaH AsuraH eva ca |
   viṣṇor bhakti-paro daiva	vizNoH Bakti-paraH dEva
   āsuras tad-viparyayaḥ ||13||	AsuraH tad--viparyayaH ||13||
   iti viṣṇu-dharmāgni-purāṇādi-niyamāt | tat sṛṣṭyādi-līlā-gatatve 'pi	iti vizNu--Darma-agni--purANa-Adi--niyamAt | tat sRzwi-Adi-lIlA--gata-tve api
   tad-udāsīneṣv audāsīnyasya yogyatvam | tad-dveṣṭṛṣu tad-dveṣyasyaiveti ca	tad--udAsInezu OdAsInyasya yogya-tvam | tad--dvezwRzu tad-dvezyasya-eva-iti ca
   | tathaiva darśitaṃ saptame rājasūyārambhe śrī-yudhiṣṭhirādibhiḥ śiśupālaṃ	| taTA-eva darSitam saptame rAjasUya-AramBe SrI--yuDizWira-AdiBiH SiSupAlam
   prati gāli-pradānādinā | ataḥ śrī-bhagavān apy uktaṃ - pravṛttiṃ ca	prati gAli--pradAna-AdinA | atas SrI--BagavAn api uktam  pravRttim ca
   nivṛttiṃ ca (Gītā 16.7) ity ārabhya -	nivRttim ca (GItA 16.7) iti AraBya -
   tān ahaṃ dviṣataḥ krūrān saṃsāreṣu narādhamān |	tAn aham dvizataH krUrAn saMsArezu nara-aDamAn |
   kṣipāmy ajasram aśubhān āsurīṣv eva yoniṣu ||13||	kzipAmi ajasram aSuBAn AsurIzu eva yonizu ||13||
   āsurīṃ yonim āpannā mūḍhā janmani janmani |	AsurIm yonim ApannA mUXAH janmani janmani |
   mām aprāpyaiva kaunteya tato yānty adhamāṃ gatim ||14|| (Gītā 16.19-20)	mAm aprApya-eva kOnteya tatas yAnti aDamAm gatim ||14|| (GItAH 16.19-20)
   tathā -	taTA -
   avajānanti māṃ mūḍhā mānuṣīṃ tanum āśritam |	avajAnanti mAm mUXAH mAnuzIm tanum ASritam |
   paraṃ bhāvam ajānanto mama bhūtamaheśvaram ||15||	param BAvam ajAnantaH mama BUta-maheSvaram ||15||
   moghāśā moghakarmāṇo moghajñānā vicetasaḥ |	moGa-ASAH moGa-karmANaH moGa-jQAnAH vicetasaH |
   rākṣasīm āsurīṃ caiva prakṛtiṃ mohinīṃ śritāḥ ||16|| (Gītā 9.11-12)	rAkzasIm AsurIm ca-eva prakRtim mohinIm SritAH ||16|| (GItAH 9.11-12)
   ity anena svabhaktāḥ stutāḥ |	iti anena sva-BaktAH stutAH |
   mahātmānas tu māṃ pārtha daivīṃ prakṛtim āśritāḥ |	mahAtmAnaH tu mAm pArTa dEvIm prakRtim ASritAH |
   bhajanty ananyamanaso jñātvā bhūtādim avyayam ||17||	Bajanti ananya-manasaH jQAtvA BUtAdim avyayam ||17||
   (end page 3)	(end page 3)
   satataṃ kīrtayanto māṃ yatantaś ca dṛḍhavratāḥ |	satatam kIrtayantaH mAm yatantaH ca dRXa-vratAH |
   namasyantaś ca māṃ bhaktyā nityayuktā upāsate ||18|| (Gītā 9.13-14)	namasyantaH ca mAm BaktyA nitya-yuktAH upAsate ||18|| (GItAH 9.13-14)
   ataivaikādaśe mad-bhakta-pūjābhyadhikā iti | mama pūjato 'py abhi	ata-eva-ekAdaSe mad-Bakta--pUjA-aByaDikAH iti | mama pUjataH api aBi
   sarvatobhāvenādhikā adhika-mat-prīti-karīty arthaḥ | tasmān	sarvatoBAvena-aDikA aDika--mat--prIti-karI-iti arTaH | tasmAt-
   mad-bhakta-pūjāvaśyakā cāntaraṅgā ceti sthite -	mad-Bakta--pUjA-vaSyakA ca-antaraFgA ca-iti sTite -
   eteṣām api sarveṣāṃ	etezAm api sarvezAm
   prahlādaḥ pravaro mataḥ |	prahlAdaH pravaraH mataH |
   [*NOTE: These two lines are LBhāg 2.8, which finishes yat proktaṃ tasya	[*NOTE: These twaH lineH are LBhAk 2.8, whiC finisheH yat proktam tasya
   māhātmyaṃ skānda-bhāgavatādiṣu.]	mAhAtmyam skAnda--BAgavata-Adizu.]
   sarveṣu hari-bhakteṣu	sarvezu hari--Baktezu
   prahlādo hi mahattamaḥ ||20||	prahlAdaH hi mahattamaH ||20||
   [*NOTE: (SkandaP) LBhāg 2.9]	[*NOTE: (Skanda-P) LBhAk 2.9]
   saptame prahlādasyaiva hi vākyam --	saptame prahlAdasya-eva hi vAkyam --
   kvāhaṃ rajaḥ-prabhava īśa tamo 'dhike 'smin	kva-aham rajaH--praBavaH ISa tamaH aDike asmin
   jātaḥ suretara-kule kva tavānukampā |	jAtaH suretara--kule kva tava-anukampA |
   na brahmaṇo na tu bhavasya na vai ramāyā	na brahmaNaH na tu Bavasya na vE ramAyA
   yan me 'rpitaḥ śirasi padma-karaḥ prasādaḥ || (BhP 7.9.26)	yat me arpitaH Sirasi padma-karaH prasAdaH || (Bhj 7.9.26)
   tatraiva śrī-nṛsiṃha-vākyam --	tatra-eva SrI-nRsiMha-vAkyam --
   bhavanti puruṣā loke	Bavanti puruzAH loke
   mad-bhaktās tvām anuvratāḥ |	mad-BaktAH tvAm anuvratAH |
   bhavān me khalu bhaktānāṃ	BavAn me Kalu BaktAnAm
   sarveṣāṃ pratirūpa-dhṛk ||22|||	sarvezAm pratirUpa--DRk ||22|||
   sarvataḥ pāṇḍavaḥ śreṣṭhāḥ prahlādādīdṛśād api |	sarvatas pANxavaH SrezWAH prahlAdAt-IdRSAt api |
   śrīmad-bhāgavataṃ samyak pramāṇaṃ sphuṭam īkṣate ||23||	SrImat--BAgavatam samyak pramANam sPuwam Ikzate ||23||
   [*NOTE: LBhāg 2.12, which begins pāṇḍavāḥ sarvataḥ śreṣṭhāḥ.]	[*NOTE: LBhAk 2.12, whiC begins pANxavAH sarvatas SrezWAH.]
   tathā śrī-nārada-vākyam --	taTA SrI-nArada-vAkyam --
   yūyaṃ nṛ-loke bata bhūri-bhāgā	yUyam nR--loke bata BUri-BAgA
   lokaṃ punānā munayo 'bhiyanti |	lokam punAnAH munayaH aBiyanti |
   yeṣāṃ gṛhān āvasatīti sākṣād	yezAm gRhAn Avasati-iti sAkzAt-
   gūḍhaṃ paraṃ brahma manuṣya-liṅgam || (7.10.48)	gUXam param brahma manuzya--liFgam || (7.10.48)
   [*NOTE: KṛṣṇaS 59* (p22), 82 (p33)]	[*NOTE: KRzNaH 59* (p22), 82 (p33)]
   (end page 4)	(end page 4)
   sa vā ayaṃ brahma mahad-vimṛgya-	sa vE ayam brahma mahat--vimRgya-
   kaivalya-nirvāṇa-sukhānubhūtiḥ |	kEvalya--nirvANa--suKa-anuBUtiH |
   priyaḥ suhṛd vaḥ khalu mātuleya	priyaH suhRd vaH Kalu mAtuleya
   ātmārhaṇīyo vidhi-kṛd guruś ca || (7.10.49)	Atma-arhaNIyaH viDi--kRt guruH ca || (7.10.49)
   na yasya sākṣād bhava-padmajādibhī	na yasya sAkzAt Bava--padmaja-AdiBI
   rūpaṃ dhiyā vastutayopavarṇitam |	rUpam DiyA vastu-tayA-upavarNitam |
   maunena bhaktyopaśamena pūjitaḥ	mOnena BaktyA-upaSamena pUjitaH
   prasīdatām eṣa sa sātvatāṃ patiḥ || (7.10.50)	prasIdatAm eza sa sAtvatAm patiH || (7.10.50)
   vyākhyātaṃ ca śrī-svāmi-caraṇaiḥ - prahlādasya bhāgyaṃ yena devo dṛṣṭaḥ |	vyAKyAtam ca SrI--svAmi-caraNEH  prahlAdasya BAgyam yena devaH dRzwaH |
   vayaṃ tu manda-bhāgyā iti viṣīdantaṃ rājānaṃ praty āha yūyam iti tribhiḥ |	vayam tu manda-BAgyAH iti vizIdantam rAjAnam prati Aha yUyam iti triBiH |
   padya-trayasya tātparyārthas tair eva likhitaḥ | na tu prahlādasya gṛheṣu	padya-trayasya tAtparya-arTaH tEH eva liKitaH | na tu prahlAdasya gRhezu
   paraṃ brahma vasati | na ca tad-darśanārthaṃ munayas tad-gṛhān abhiyanti |	param brahma vasati | na ca tad--darSana-arTam munayaH tad--gRhAn aBiyanti |
   na ca tasya mātuleyādi-rūpeṇa vartate | na ca svayam eva prasannaḥ | ato	na ca tasya mAtuleya-Adi--rUpeNa vartate | na ca svayam eva prasannaH | atas-
   yūyam eva tato 'pi samatto 'pi bhūri-bhāgā iti bhāvaḥ || iti |	yUyam eva tatas api sa-mattaH api BUri-BAgAH iti BAvaH || iti |
   sadātisannikṛṣṭatvān mamatādhikyato hareḥ |	sadA-ati-sannikRzwa-tvAt mamatA-ADikyataH hareH |
   pāṇḍavebhyo 'pi yadavaḥ kecic chreṣṭhatamā matāḥ ||	pANxaveByaH api yat-avaH kecid SrezWatamAH matAH ||
   tathā śrī-daśame -	taTA SrI-daSame -
   aho bhojayate yūyaṃ janma-bhājo nṝṇām iha |	aho Bojayate yUyam janma--BAjaH nLNAm iha |
   yat paśyatā 'sakṛt kṛṣṇaṃ tad-darśanam api yoginām || (10.82.28)	yat paSyatA asakRt kRzNam tad--darSanam api yoginAm || (10.82.28)
   (end page 5)	(end page 5)
   tad-darśana-sparśanānapatha-prajalpa-	tad--darSana--sparSanAna-paTa--prajalpa-
   śayyāsanāśana-sayauna-sa-piṇḍa-bandhaḥ |	SayyA-Asana-aSana--sa-yOna--sa-piNxa--banDaH |
   yeṣāṃ gṛhe niraya-vartmani vartatāṃ vaḥ	yezAm gRhe niraya--vartmani vartatAm vaH
   svargāpavarga-viramaḥ svayam āsa viṣṇuḥ || (10.82.30)	svarga-apavarga--viramaH svayam Asa vizNuH || (10.82.30)
   tathā -	taTA -
   śayyāsanāṭanālāpa-	SayyA-Asana-Awana-AlApa-
   krīḍā-snānāśanādiṣu |	krIxA--snAna-aSana-Adizu |
   na viduḥ santam ātmānaṃ	na viduH santam AtmAnam
   vṛṣṇayaḥ kṛṣṇa-cetasaḥ ||30|| (BhP 10.90.46)	vRzNayaH kRzNa--cetasaH ||30|| (Bhj 10.90.46)
   yadubhyo 'pi variṣṭho 'sau	yaduByaH api varizWaH asO
   bhagavān śrīmad-uddhavaḥ |	BagavAn SrImat--udDavaH |
   [*NOTE: The first two lines follow LBhāg 2.22. sarvebhyo for bhagavān.]	[*NOTE: The firsd twaH lineH fa-ullow LBhAk 2.22. sarveByaH foH BagavAn-.]
   yādavendrasya yo mantrī	yAdava-indrasya yaH mantrI
   śiṣyo bhṛtyaḥ priyo mahān	SizyaH BRtyaH priyaH mahAn
   ābālyād eva govinde	AbAlyAt eva govinde
   bhaktir asya sadottamā ||31||	BaktiH asya sadA-uttamAH ||31||
   [*NOTE: The last two lines are Lbhag 2.25.]	[*NOTE: The last twaH lineH are LBaj 2.25.]
   tathā tṛtīye -	taTA tRtIye -
   yaḥ pañca-hāyano mātrā	yaH paQca-hAyanaH mAtrA
   prātar-āśāya yācitaḥ |	prAtar--ASAya yAcitaH |
   tan naicchad racayan yasya	tat na-EcCat racayan yasya
   saparyāṃ bāla-līlayā ||32|| (BhP 3.2.2)	saparyAm bAla--lIlayA ||32|| (Bhj 3.2.2)
   śrī-daśame ca --	SrI-daSame ca --
   vṛṣṇīnāṃ pravaro mantrī kṛṣṇasya dayitaḥ sakhā |	vRzNInAm pravaraH mantrI kRzNasya dayitaH saKA |
   śiṣyo bṛhaspateḥ sākṣād uddhavo buddhi-sammataḥ ||33||	SizyaH bRhaspateH sAkzAt udDavaH budDi-sammataH ||33||
   tam āha bhagavān preṣṭhaṃ bhaktam ekāntinaṃ kvacit |	tam Aha BagavAn prezWam Baktam ekAntinam kvacid |
   gṛhītvā pāṇinā pāṇiṃ prapannārtiharo hariḥ ||34|| (10.46.1-2)	gRhItvA pANinA pANim prapanna-Arti-haraH hariH ||34|| (10.46.1-2)
   ekādaśe ca (16.24) tvaṃ tu bhāgavateṣv aham iti | na ca saṅkarṣaṇo na śrīr	ekAdaSe ca (16.24) tvam tu BAgavatezu aham iti | na ca saFkarzaNaH na SrIH-
   naivātmā ca yathā bhavān iti ca | ataiva tṛtīye svayaṃ tathaivācaritam --	na-eva-AtmA ca yaTA BavAn iti ca | atA-eva tRtIye svayam taTA-eva-Acaritam --
   (end page 6)	(end page 6)
   noddhavo 'ṇv api man-nyūno	na-udDavaH aNu api man-nyUnaH-
   yad guṇair nārditaḥ prabhuḥ |	yat guNEH na-arditaH praBuH |
   ato mad-vayunaṃ lokaṃ	atas mad--vayunam lokam
   grāhayann iha tiṣṭhatu ||35|| (BhP 3.4.3)	grAhayan iha tizWatu ||35|| (Bhj 3.4.3)
   yad yasmād guṇaiḥ sattvādibhir nārdito na pīḍitaḥ guṇātītaḥ ity arthaḥ |	yat yasmAt guNEH sattva-AdiBiH na-arditaH na pIxitaH guNa-atItaH iti arTaH |
   yataḥ prabhuḥ bhakti-rasāsvāde prabhaviṣṇuḥ |	yatas praBuH Bakti-rasa-AsvAde praBavizNuH |
   vraja-devyo varīyasya īdṛśād uddavād api |	vraja--devyaH varIyasya IdRSAt uddavAt api |
   yad āsāṃ prema-mādhuryaṃ sa eṣo 'py abhiyācate ||36|| (LBhāg 2.29)	yat AsAm prema--mADuryam saH ezaH api aBiyAcate ||36|| (LBhAk 2.29)
   tathā hi daśame --	taTA hi daSame --
   dṛṣṭvaivam ādi gopīnāṃ	dRzwvA-evam Adi gopInAm
   kṛṣṇāveśātma-viklavam |	kRzNa-AveSa-Atma--viklavam |
   uddhavaḥ paramaḥ prītas tā	udDavaH paramaH prItaH tA
   namasyann idaṃ jagau ||37|| (BhP 10.47.57)	namasyan idam jagO ||37|| (Bhj 10.47.57)
   namasyann iti vartamāna-śatṛ-prayogo namaskārasyānavacchinnatvaṃ bodhayati	namasyan iti vartamAna--SatR--prayogaH namaskArasya-anavacCinna-tvam boDayati
   | idaṃ vakṣyamāṇaṃ tad evāha --	| idam vakzyamANam tat eva-Aha --
   etāḥ paraṃ tanu-bhṛto bhuvi gopa-vadhvo	etAH param tanu-BRtaH Buvi gopa-vaDvaH-
   govinda evam akhilātmani rūḍha-bhāvāḥ |	govinda evam aKilAtmani rUXa-BAvAH |
   vāñchanti yad bhava-bhiyo munayo vayaṃ ca	vAQCanti yat Bava-BiyaH munayaH vayam ca
   kiṃ brahma-janmabhir ananta-kathā-rasasya ||38|| [BhP 10.47.58]	kim brahma--janmaBiH ananta--kaTA--rasasya ||38|| [Bhj 10.47.58]
   bhāvasya durlabhatvād dhi tāsāṃ tat-siddhaye punaḥ |	BAvasya durlaBa-tvAt Di tAsAm tat-sidDaye punar |
   pāda-reṇūkṣitaṃ yena tṛṇa-janmāpi yācyate ||39||	pAda-reNu-ukzitam yena tRNa-janmA-api yAcyate ||39||
   [*NOTE: The second line is exactly 2.41, the first line of which is	[*NOTE: The secA-Und line iH exat-tlI 2.41, Te first line of whiC is
   na citraṃ prema-mādhuryam	na citram prema--mADuryam
   āsāṃ vāñched yad uddhavaḥ |]	AsAm vAQCet yat udDavaH |]
   tathā hi śrī-daśame -	taTA hi SrI-daSame -
   āsām aho caraṇa-reṇu-juṣām ahaṃ syām	AsAm aho caraNa--reNu--juzAm aham syAm
   vṛndāvane kim api gulma-latauṣadhīnām |	vRndAvane kim api gulma--latA-ozaDInAm |
   (end page 7)	(end page 7)
   yā dustyajaṃ sva-janam ārya-pathaṃ ca hitvā	yA dustyajam su-a-janam Arya-paTam ca hitvA
   bhejur mukunda-padavīṃ śrutibhir vimṛgyām ||40|| [BhP 10.47.61]	BejuH mukunda-padavIm SrutiBiH vimRgyAm ||40|| [Bhj 10.47.61]
   tasyā mṛgyatvaṃ śrutibhir evoktaṃ, yathā tatraiva --	tasyAH mRgya-tvam SrutiBiH eva-uktaM, yaTA tatra-eva --
   nibhṛta-marun-manokṣa-dṛḍha-yoga-yujo hṛdi yan	niBRta--marun-manokza--dRXa--yoga--yujaH hRdi yat-
   munaya upāsate tad-arayo 'pi yayuḥ smaraṇāt |	munayaH upAsate tad--arayaH api yayuH smaraNAt |
   striya urugendra-bhoga-bhuja-daṇḍa-viṣakta-dhiyo	striyaH uruga-indra---Boga--Buja--daNxa--vizakta-Diyo
   vayam api te samāḥ sama-dṛśo 'ṅghri-saroja-sudhāḥ ||41|| (BhP 10.87.23)	vayam api te samAH sama-dRSaH aFGri--saroja--suDAH ||41|| (Bhj 10.87.23)
   atra pratiyugmāntarasthasyāpi śabdasya dvayena yugma-dvayaṃ pṛthag	atra pratiyugma-antara-sTasya-api Sabdasya dvayena yugma--dvayam pRTak-
   avamyate | tataś ca tad brahmākhya tat taṃ munaya upāsate tad arayo 'pi	avamyate | tatas ca tat brahma-AKya tat tam munayaH upAsate tat arayaH api
   yayuḥ smaraṇāt | striyaḥ śrī-vraja-devyaḥ aṅghri-saroja-sudhās	yayuH smaraNAt | striyaH SrI-vraja--devyaH aFGri--saroja--suDA-s
   tat-prema-maya=mādhuryāṇi yayuḥ | vayam api samadṛśas tābhiḥ sama-bhāvāḥ	tat--prema-m-aya=-mADuryANi yayuH | vayam api samadRSaH tABiH sama-BAvAH
   satyaḥ samās tābhiḥ tulyatāṃ prāptāḥ | vyūhāntareṇa gopyo bhūtvā	satyaH samAH tABiH tulya-tAm prAptAH | vyUha-antareNa gopyaH BUtvA
   tavāṅghri-saroja-sudhā yayima ity arthaḥ | atra bṛhad-vāmana-purāṇe tāsāṃ	tava-aFGri--saroja--suDA yayimaH iti arTaH | atra bRhad-vAmana-purANe tAsAm
   prārthanā pūrvakāṇi vākyāni santi | strī-śabdasya gopī vācakatvam | tad	prArTanA pUrvakANi vAkyAni santi | strI--Sabdasya gopI vAcaka-tvam | tat-
   arayo 'pi yayuḥ smaraṇād ity anenāsurāṇām api mokṣa-dātṛtvena anyatayā	arayaH api yayuH smaraNAt iti anena-asurANAm api mokza--dAtR-tvena anyatayA
   prasiddhasya śrī-kṛṣṇasyaivālambanatvena labdhatvāt | tāsām eva tasmin	prasidDasya SrI--kRzNasya-eva-Alambana-tvena labDa-tvAt | tAsAm eva tasmin
   kevalena rāgeṇa bhajana-prasiddheḥ | tad etad apy āstām	kevalena rAgeNa Bajana--prasidDeH | tat etat api AstAm
   śrī-nārāyaṇāṅga-sthitāyā lakṣmīto 'pi tāsāṃ parama-vailakṣaṇyaṃ tenaiva	SrI-nArAyaNa-aFga--sTitAyAH lakzmItaH api tAsAm parama-vElakzaNyam tena-eva
   tādṛśa-nija-bhakti-hetutvena darśitam | yathā tatraiva -	tAdRSa--nija--Bakti-hetutvena darSitam | yaTA tatra-eva -
   (end page 9)	(end page 9)
   nāyaṃ śriyo 'ṅga u nitānta-rateḥ prasādaḥ	na-ayam SriyaH aFgaH u nitAnta---rateH prasAdaH
   svar-yoṣitāṃ nalina-gandha-rucāṃ kuto 'nyāḥ ||42|| (BhP 10.47.60)	svar--yozitAm nalina--ganDa-rucAm kutas anyAH ||42|| (Bhj 10.47.60)
   ity anena lakṣmyādikā niravaśeṣā eva striyo nāmubhiḥ sālakṣaṇyaṃ	iti anena lakzmI-AdikAH niravaSezAH eva striyaH na-amuBiH sAlakzaNyam
   prāpnuvantīti vilakṣaṇā | tatrāpy udagād ity anena sa prasādas tāsu	prApnuvanti-iti vilakzaNA | tatra-api udagAt iti anena sa prasAdaH tAsu
   rāsa-prasaṅge uditavān eva na tu jāta iti svābhāvika-premavatyaḥ |	rAsa--prasaFge uditavAn eva na tu jAtaH iti svABAvika--premavatyaH |
   kevalasya śrī-vṛndāvana-vihāriṇaḥ pūrṇa-bhagavataḥ sarvato vilakṣaṇasya	kevalasya SrI--vRndAvana--vihAriNaH pUrNa--BagavataH sarvatas vilakzaNasya
   nitya-preyasī-rūpā iti | sarvato vilakṣaṇā-lakṣmī-viśeṣatvena prāptāḥ |	nitya--preyasI--rUpAH iti | sarvatas vilakzaNA-lakzmI--viSeza-tvena prAptAH |
   tasmāt tābhiḥ saha tasya pūjanam āvaśyakam ity āyātam | tataḥ	tasmAt tABiH saha tasya pUjanam AvaSyakam iti AyAtam | tatas-
   sthūṇa-nikhanana-nyāyena tad-arthaṃ tāsāṃ svarūpaṃ nirūpyate | tatrādau	sTUNa--niKanana--nyAyena tad--arTam tAsAm svarUpam nirUpyate | tatra-AdO
   śrī-bhagavat-sandarbhe	SrI--Bagavat--sandarBe
   [*NOTE: This is the starting point of the Bhagavat-sandarbha. The two	[*NOTE: This iH Te starting point of Te Bhagavat--sandarBa. The two
   following verses are quoted in section 16 and 21.]	fa-ullowinc verseH are quotet id section 16 and 21.]
   brahmeti paramātmeti bhagavān iti śabdyate ity (BhP 1.2.11) ādinā	brahma-iti paramAtmA-iti BagavAn iti Sabdyate iti (Bhj 1.2.11) AdinA
   śrī-bhagavantaṃ suṣṭhu nirdhārya tasya śakti-dvayī nirūpitā | māyākhyā	SrI--Bagavantam suzWu nirDArya tasya Sakti--dvayI nirUpitA | mAyA-AKyA
   svarūpa-bhūtākhyā ca |	svarUpa-BUta-AKyA ca |
   tatra --	tatra --
   ṛte 'rthaṃ yat pratīyeta	Rte arTam yat pratIyeta
   na pratīyeta cātmani |	na pratIyeta ca-Atmani |
   tad vidyād ātmano māyāṃ	tat vidyAt AtmanaH mAyAm
   yathābhāso yathā tamaḥ || [BhP 2.9.33]	yaTA-ABAsaH yaTA tamaH || [Bhj 2.9.33]
   ity anena -	iti anena -
   eṣā māyā bhagavataḥ sṛṣṭi-sthity-anta-kāriṇī |	ezA mAyA BagavataH sRzwi--sTiti--anta--kAriNI |
   tri-varṇā varṇitāsmābhiḥ kiṃ bhūyaḥ śrotum icchasi || (BhP 11.3.16)	tri-varNAH varNitA-asmABiH kim BUyas Srotum icCasi || (Bhj 11.3.16)
