   // Daśabhūmikasūtram //	// DaSa BUmika sUtram //
   pāṇīn prasārya vajragarbhasya bodhisattvasya śīrṣaṃ saṃpramārjayanti sma /	pANIn prasArya vajragarBasya boDisattvasya SIrzam saMpramArjayanti sma /
   samanantaraspṛṣṭaśca vajragarbho bodhisattvastairbuddhairbhagavadbhiḥ,	samanantara spRzwaH ca vajragarBaH boDisattvaH tEH budDEH BagavadBiH,
   atha tāvadeva samādhestasmād vyutthāya tān bodhisattvānāmantrayate sma  	aTa tAvat eva samADeH tasmAt vyutTAya tAn boDisattvAn Amantrayate sma  
   suviniścitamidaṃ bhavanto jinaputrā	su viniScitam idam BavantaH jinaputrA
   bodhisattvapraṇidhānamasaṃbhinnamanavalokyaṃ dharmadhātuvipulaṃ	boDisattva praNiDAnam asaMBinnam anavalokyam DarmaDAtu vipulam
   ākāśadhātuparyavasānamaparāntakoṭiniṣṭhaṃ sarvasattvadhātuparitrāṇam /	AkASa DAtu paryavasAnam apara anta kowi nizWam sarva sattva DAtu paritrANam /
   yatra hi nāma bhavanto jinaputrā bodhisattvā atītānāmapi buddhānāṃ	yatra hi nAma BavantaH jinaputrAH boDisattvAH atItAnAm api budDAnAm
   bhagavatāṃ jñānabhūmimavataranti, anāgatānāmapi buddhānāṃ bhagavatāṃ	BagavatAm jQAna BUmim avataranti, anAgatAnAm api budDAnAm BagavatAm
   jñānabhūmimavataranti pratyutpannānāmapi buddhānāṃ bhagavatāṃ	jQAna BUmim avataranti pratyutpannAnAm api budDAnAm BagavatAm
   jñānabhūmimavataranti, tatra bhavanto jinaputrā daśa bodhisattvabhūmayo	jQAna BUmim avataranti, tatra BavantaH jinaputrAH daSa boDisattva BUmayaH 
   buddhānāṃ bhagavatāṃ jñānabhūmimavataranti, tatra bhavanto jinaputrāśca	budDAnAm BagavatAm jQAna BUmim avataranti, tatra BavantaH jinaputrAH ca
   daśa bodhisattvabhūmayo	daSa boDisattva BUmayaH 
   'tītānāgatapratyutpannairbuddhairbhagadbhirbhāṣitāśca bhāṣiṣyante ca	atIta anAgata pratyutpannEH budDEH BagadBiH BAzitAH ca BAzizyante ca
   bhāṣyante ca, yāḥ saṃdhāya ahaṃ evaṃ vadāmi / katamā daśa? yaduta	BAzyante ca, yAH saMDAya aham evam vadAmi / katamA daSa? yat uta
   pramuditā ca nāma bodhisattvabhūmiḥ / vimalā ca nāma / prabhākarī ca nāma	pramuditA ca nAma boDisattva BUmiH / vimalA ca nAma / praBAkarI ca nAma
   / arciṣmatī ca nāma / sudurjayā ca nāma / abhimukhī ca nāma / dūraṃgamā ca	/ arcizmatI ca nAma / su durjayA ca nAma / aBimuKI ca nAma / dUraMgamA ca
   nāma / acalā ca nāma / sādhumatī ca nāma / dharmameghā ca nāma	nAma / acalA ca nAma / sADumatI ca nAma / Darma meGA ca nAma
   bodhisattvabhūmiḥ / imā bhavanto jinaputrā daśa bodhisattvānāṃ	boDisattva BUmiH / imAH BavantaH jinaputrAH daSa boDisattvAnAm
   bodhisattvabhūmayaḥ, yā	boDisattva BUmayaH, yA
   atītānāgatapratyutpannaīrbuddhairbhagavadbhirbhāṣitāśca bhāṣiṣyante ca	atIta anAgata pratyutpannaIH budDEH BagavadBiH BAzitAH ca BAzizyante ca
   bhāṣyante ca / nāhaṃ bhavanto jinaputrāstaṃ buddhakṣetraprasaraṃ	BAzyante ca / na aham BavantaH jinaputrAH tam budDa kzetra prasaram
   samanupaśyāmi, yatra tathāgatā imā daśa bodhisattvabhūmīrna prakāśayanti /	samanupaSyAmi, yatra taTAgatAH imAH daSa boDisattva BUmIH na prakASayanti /
   tatkasya hetoḥ? sāmutkarṣiko 'yaṃ bhavanto jinaputrā bodhisattvānāṃ	tat kasya hetoH? sAmutkarzikaH ayam BavantaH jinaputrAH boDisattvAnAm
   mahāsattvānāṃ bodhi(sattva)mārgapariśodhanadharmamukhāloko yadidaṃ	mahAsattvAnAm boDi( sattva) mArga pariSoDana Darma muKa AlokaH yat idam
   daśabhūmiprabhedavyavasthānam / acintyamidaṃ bhavanto jinaputrāḥ sthānaṃ	daSa BUmi praBeda vyavasTAnam / acintyam idam BavantaH jinaputrAH sTAnam
   yadidaṃ bhūmijñānamiti //	yat idam BUmi jQAnam iti //
   atha khalu vajragarbho bodhisattva āsāṃ daśānāṃ bodhisattvabhūmīnāṃ	aTa Kalu vajragarBaH boDisattvaH AsAm daSAnAm boDisattva BUmInAm
   nāmadheyamātraṃ parikīrtya tūṣṇīṃ babhūva, na bhūyaḥ prabhedaśo nirdiśati	nAmaDeya mAtram parikIrtya tUzNIm baBUva, na BUyas praBedaSaH nirdiSati
   sma / atha khalu sā sarvāvatī bodhisattvaparṣat paritṛṣitā babhūva āsāṃ	sma / aTa Kalu sA sarvAvatI boDisattva parzat paritRzitAH baBUva AsAm
   daśānāṃ bodhisattvabhūmīnāṃ nāmadheyamātraśravaṇena bhūmivibhāgānudīraṇena	daSAnAm boDisattva BUmInAm nAmaDeya mAtra SravaNena BUmi viBAga anudIraNena
   ca / tasyā etadabhavat   ko nu khalvatra hetuḥ kaśca pratyayaḥ,	ca / tasyAH etat aBavat  kaH nu Kalu atra hetuH kaH ca pratyayaH,
   yadvajragarbho bodhisattva āsāṃ bodhisattvabhūmīnāṃ nāmadheyamātraṃ	yat vajragarBaH boDisattvaH AsAm boDisattva BUmInAm nAmaDeya mAtram
   parikīrtya tūṣṇīṃbhāvena atināmayati, na bhūyaḥ prabhedaśo nirdiśatīti?	parikIrtya tUzNIMBAvena ati nAmayati, na BUyas praBedaSaH nirdiSati iti?
   tena khalu punaḥ samayena tasminneva bodhisattvaparṣatsaṃnipāte	tena Kalu punar samayena tasmin= eva boDisattva parzat saMnipAte
   vimukticandro nāma bodhisattvastasyā	vimukti candraH nAma boDisattvaH tasyAH 
   bodhisattvaparṣadaścittāśayavicāramājñāya vajragarbhaṃ bodhisattvaṃ	boDisattva parzadaH citta ASaya vicAram AjQAya vajra garBam boDisattvam
   gāthābhigītena parigṛcchati sma 	gATA aBigItena parigRcCati sma 
   kimarthaṃ śuddhasaṃkalpasmṛtijñānaguṇānvita /	kimarTam SudDa saMkalpa smRti jQAna guNa anvita /
   samudīryottamā bhūmīrna prakāśayase vibho // 1 //	samudIrya uttamA BUmIH na prakASayase viBo // 1 //
   (Dbh 4)	(DB 4)
   viniścitā ime sarve bodhisattvā mahāyaśaḥ /	viniScitAH ime sarve boDisattvAH mahA yaSaH /
   kasmādudīrya bhūmīśca(stvaṃ) pravibhāgaṃ na bhāṣase // 2 //	kasmAt udIrya BUmIH ca(H tvaM) praviBAgam na BAzase // 2 //
   śrotukāmā ime sarve jinaputrā viśāradāḥ /	Srotu kAmAH ime sarve jinaputrAH viSAradAH /
   vibhajyārthagatiṃ samyaragbhūmīnāṃ samudāhara // 3 //	viBajya arTa gatim samyarak BU mInAm samudAhara // 3 //
   parṣadvi viprasanneyaṃ kausīdyāpagatā śubhā /	parzat vi vipra sannA iyam kOsIdya apagatA SuBA /
   śuddhā pratiṣṭhitā sāre guṇajñānasamanvitā // 4 //	SudDA pratizWitA sAre guNa jQAna samanvitAH // 4 //
   nirīkṣamāṇā anyonyaṃ sthitāḥ sarve sagauravāḥ /	nirIkzamANAH anyonyam sTitAH sarve sa gOravAH /
   kṣaudraṃ hyaneḍakaṃ yadvatkāṅkṣanti tvamṛtopamam // 5 //	kzOdram hi anexakam yadvat kAFkzanti tu amRta upamam // 5 //
   tasya śrutvā mahāprajño vajragarbho viśāradaḥ /	tasya SrutvA mahA prajQaH vajragarBaH viSAradaH /
   parṣatsaṃtoṣaṇārthaṃ hi bhāṣate sma jinātmajaḥ // 6 //	parzad saMtozaNa arTam hi BAzate sma jina AtmajaH // 6 //
   duṣkaraṃ paramametadadbhutaṃ bodhisattvacaritapradarśanam /	duzkaram paramam etat adButam boDisattva carita pradarSanam /
   bhūmikāraṇavibhāga uttamo buddhabhāvasamudāgamo yataḥ // 7 //	BUmi kAraNa viBAgaH uttamaH budDa BAva samudAgamaH yatas // 7 //
   sūkṣma durdṛśa vikalpavarjitaḥścittabhūmivigato durāsadaḥ /	sUkzma durdRSa vikalpa varjitaHH citta BUmi vigataH durAsadaH /
   gocaro hi viduṣāmanāsravo yatra muhyati jagacchave sati // 8 //	gocaraH hi viduzAm anAsravaH yatra muhyati jagat Save sati // 8 //
   vajropamaṃ hṛdayaṃ sthāpayitvā buddhajñānaṃ paramaṃ cādhimucya /	vajra upamam hRdayam sTApayitvA budDa jQAnam paramam ca aDimucya /
   anātmānaṃ cittabhūmiṃ viditvā śakyaṃ śrotuṃ jñānametatsusūkṣmam // 9 //	anAtmAnam citta BUmim viditvA Sakyam Srotum jQAnam etat su sUkzmam // 9 //
   antarīkṣa iva raṅgacitraṇā mārutaḥ khagapathāśrito yathā /	antarIkzaH iva raFga citraNAH mArutaH Kaga paTa ASritaH yaTA /
   jñānamevamiha bhāgaśaḥ kṛtaṃ durdṛśaṃ bhagavatāmanāsravam // 10 //	jQAnam evam iha BAgaSas kRtam durdRSam BagavatAm anAsravam // 10 //
   tasya me bhavati buddhirīdṛśī durlabho jagati yo 'sya vedakaḥ /	tasya me Bavati budDiH IdRSI durlaBaH jagati yaH asya vedakaH /
   śraddhadhīta ca ya etaduttamaṃ na prakāśayitumutsahe yataḥ // 11 //	SradDa DIta ca yaH etat uttamam na prakASayitum utsahe yatas // 11 //
   (Dbh 5)	(DB 5)
   evamukte vimukticandro bodhisattvo vajragarbhaṃ bodhisattvametadavocat  	evam ukte vimukti candraH boDisattvaH vajra garBam boDisattvam etat avocat  
   supariśuddho batāyaṃ bho jinaputra parṣatsaṃnipātaḥ	su pariSudDaH bata ayam Bo jinaputra parzad saMnipAtaH
   supariśodhitādhyāśayānāṃ bodhisattvānāṃ supariśodhitasaṃkalpānāṃ	su pariSoDita aDyASayAnAm boDisattvAnAm su pariSoDita saMkalpAnAm
   sucaritacaraṇānāṃ suparyupāsitabahubuddhakoṭiśatasahasrāṇāṃ	su carita caraNAnAm suparyupAsita bahu budDa kowi Sata sahasrANAm
   susaṃbhṛtasaṃbhārāṇāmaparimitaguṇajñānasamanvāgatānāmapagatavimatisaṃdehānāmanaṅgaṇānāṃ	su saMBRta saMBArANAm aparimita guNa jQAna samanvAgatAnAm apagata vimati saMdehAnAm anaFgaNAnAm
   supratiṣṭhitādhyāśayādhimuktīnāmaparapratyayānāmeṣu buddhadharmeṣu /	su pratizWita aDyASaya aDi muktInAm apara pratyayAnAm ezu budDa Darmezu /
   tatsādhu bho jinaputra, prabhāṣasva / pratyakṣavihāriṇo hyate bodhisattvā	tat sADu Bo jinaputra, praBAzasva / pratyakza vihAriNaH hi ate boDisattvA
   atra sthāne //	atra sTAne //
   vajragarbha āha   kiṃcāpi bho jinaputra ayaṃ bodhisattvaparṣatsaṃnipātaḥ	vajragarBaH Aha  kiMca api Bo jinaputra ayam boDisattva parzad saMnipAtaH
   supariśuddhaḥ / peyālaṃ / atha ca punarye 'nye imānyevaṃrūpāṇyacintyāni	su pariSudDaH / peyAlam / aTa ca punar ye anye imAni evaMrUpANi acintyAni
   sthānāni śṛṇuyuḥ, śrutvā ca vimatisaṃdehamutpādayeyuḥ, teṣāṃ	sTAnAni SRNuyuH, SrutvA ca vimati saMdeham utpAdayeyuH, tezAm
   tatsyāddīrgharātramanarthāya ahitāya duḥkhāya / iyaṃ me kāruṇyacittatā,	tat syAt dIrGarAtram anarTAya ahitAya duHKAya / iyam me kAruNya citta tA,
   yena tūṣṇīṃbhāvamevābhirocayāmi //	yena tUzNIMBAvam eva aBirocayAmi //
   atha khalu vimukticandro bodhisattvaḥ punareva vajragarbhaṃ	aTa Kalu vimukti candraH boDisattvaH punar eva vajra garBam
   bodhisattvametamevārthamadhyeṣate sma   tatsādhu bho jinaputra,	boDisattvam etam eva arTam aDyezate sma  tat sADu Bo jinaputra,
   prabhāṣasva / tathāgatasyaivānubhāvena imānyevaṃrūpāṇyacintyāni sthānāni	praBAzasva / taTAgatasya eva anuBAvena imAni evaMrUpANi acintyAni sTAnAni
   svārakṣitāni śraddheyāni bhaviṣyanti / taskasya hetoḥ? tathā hi bho	sva ArakzitAni SradDeyAni Bavizyanti / taskasya hetoH? taTA hi Bo
   jinaputra asmin bhūminirdeśe bhāṣyamāṇe dharmatāpratilambha eṣa	jinaputra asmin BUmi nirdeSe BAzyamANe Darma tA pratilamBaH eza
   yatsarvabuddhasamanvāhāro bhavati / sarve bodhisattvāśca asyā eva	yat sarva budDa samanvAhAraH Bavati / sarve boDisattvAH ca asyAH eva
