   akalaṅkavivekānāṃ KDarp_1.30c	akalaFka-vivekAnAm KDarp_1.30c
   athāhaṃ saktugandhena KDarp_6.46a	aTa-aham saktu-ganDena KDarp_6.46a
   adattabhuktamutsṛjya KDarp_2.71a	adatta-Buktam-utsRjya KDarp_2.71a
   adarpaviśadā vidyā KDarp_1.31c	adarpa-viSadA vidyA KDarp_1.31c
   adarpaśauryaspṛhaṇīyasattvā KDarp_5.45a	adarpa-SOrya-spRhaNIya-sattvA KDarp_5.45a
   adānabhogopahataṃ hi vittaṃ KDarp_2.113c	adAna-Boga-upahatam hi vittam KDarp_2.113c
   adūravartinī śrutvā KDarp_2.89a	adUra-vartinI SrutvA KDarp_2.89a
   adṛṣṭahāsaṃ vyayasaṃnirodhāt KDarp_2.14c	adRzwa-hAsam vyaya-saMniroDAt KDarp_2.14c
   adainyadhavalaṃ kulam KDarp_1.31b	adEnya-Davalam kulam KDarp_1.31b
   adhunā vartamāne 'sminn KDarp_6.50a	aDunA vartamAne asmin KDarp_6.50a
   adhunā vidyayā kiṃ te KDarp_3.23a	aDunA vidyayA kim te KDarp_3.23a
   adhunaiva narendro 'yaṃ KDarp_4.60a	aDunA-eva narendraH ayam KDarp_4.60a
   adhomukhī cyutaṃ śīlaṃ KDarp_1.73c	aDomuKI cyutam SIlam KDarp_1.73c
   adhomukhī tamavadad KDarp_1.61c	aDomuKI tam-avadat KDarp_1.61c
   anaṅgenārpitaṃ rahaḥ KDarp_4.30d	anaFgena-arpitam rahaH KDarp_4.30d
   anadhītā gurumukhāt KDarp_3.22a	anaDItAH guru-muKAt KDarp_3.22a
   anadhītāṃ balādvidyāṃ KDarp_3.60a	anaDItAm balAt-vidyAm KDarp_3.60a
   ananyalāvaṇyasudhābdhimadhya- KDarp_7.32a	ananya-lAvaNya-suDA-abDi-maDya KDarp_7.32a
   anabhijño 'pyuvāca tām KDarp_3.83d	anaBijQaH api-uvAca tAm KDarp_3.83d
   anabhyāsahatotsāhā KDarp_3.40a	anaByAsa-hata-utsAhA KDarp_3.40a
   anabhyāsena pāṇḍityaṃ KDarp_3.22c	anaByAsena pANxityam KDarp_3.22c
   anāthabandhuḥ karuṇā- KDarp_2.97c	anATa-banDuH karuNA KDarp_2.97c
   anādeyamanīpsitam KDarp_6.17b	anAdeyam-anIpsitam KDarp_6.17b
   anāsvādyamavikreyam KDarp_6.17a	anAsvAdyam-avikreyam KDarp_6.17a
   anityateyaṃ yadi nityatā syāt KDarp_1.42a	anitya-tA-iyam yadi nityatA syAt KDarp_1.42a
   anidrā mando 'gnirnṛpasalilacaurānalabhayāt KDarp_2.10c	anidrA mandaH agniH-nRpa-salila-cOra-anala-BayAt KDarp_2.10c
   aniśaṃ ratnapātreṣu KDarp_6.29c	aniSam ratna-pAtrezu KDarp_6.29c
   anuktaṃ yātyadṛśyatām KDarp_2.6b	anuktam yAti-adRSya-tAm KDarp_2.6b
   anutsekaḥ kṣamā dhṛtiḥ KDarp_3.24b	anutsekaH kzamA DRtiH KDarp_3.24b
   anurūpamadanaśamanaṃ sthirapadasaṃprāptaye sudhiyām KDarp_4.75/b	anurUpa-madana-Samanam sTira-pada-saMprAptaye suDiyAm KDarp_4.75/b
   anurūpaṃ manobhuvaḥ KDarp_3.84b	anurUpam manoBuvaH KDarp_3.84b
   anuṣṭhānena rahitā KDarp_3.31a	anuzWAnena rahitA KDarp_3.31a
   anena saṃsūcayatā nigūḍha- KDarp_7.63a	anena saMsUcayatA nigUXa KDarp_7.63a
   antarjvalatkopakṛśānudhūma- KDarp_7.55a	antar-jvalat-kopa-kRSa-anu-DUma KDarp_7.55a
   antardveṣaviṣapraveśaviṣamakrodhoṣṇaniḥśvāsinaḥ KDarp_3.68c	antar-dveza-viza-praveSa-vizama-kroDa-uzNa-niHSvAsinaH KDarp_3.68c
   antaḥsīdatsarasaviṣayāsvādasaṃvādasaṅgāt KDarp_7.69b	antar-sIdat-sarasa-vizaya-AsvAda-saMvAda-saFgAt KDarp_7.69b
   ante 'nye bhuñjate dhanam KDarp_2.5d	ante anye BuQjate Danam KDarp_2.5d
   antyakleśadaśāyāṃ yan KDarp_2.110a	antya-kleSa-daSAyAm yat KDarp_2.110a
   andhaḥ kubjaḥ kṛśaḥ khañjaḥ KDarp_2.77a	anDaH kubjaH kRSaH KaQjaH KDarp_2.77a
   andhā iva na paśyanti KDarp_3.142a	anDAH iva na paSyanti KDarp_3.142a
   anyadābhāṣitaṃ pūrvaṃ KDarp_6.13a	anyat-ABAzitam pUrvam KDarp_6.13a
   anyāyaḥ prauḍhavādena KDarp_3.29a	anyAyaH prOXa-vAdena KDarp_3.29a
   anveṣṭumiṣṭāṃ mukuṭendulekhāṃ KDarp_7.36c	anvezwum-izwAm mukuwa-indu-leKAm KDarp_7.36c
   aparaṃ vaktumakṣamaḥ KDarp_3.113b	aparam vaktum-akzamaH KDarp_3.113b
   aparaḥ pāpakṛnmūrkhaḥ KDarp_1.9c	aparaH pApa-kRt-mUrKaH KDarp_1.9c
   apareṇāsuvarṇena KDarp_6.31c	apareNa-asuvarNena KDarp_6.31c
   api kuñjarakarṇāgrād KDarp_1.63a	api kuQjara-karNa-agrAt KDarp_1.63a
   api ghorāśanirmadaḥ KDarp_5.43b	api Gora-aSa-niH-madaH KDarp_5.43b
   api pippalapallavāt KDarp_1.63b	api pippala-pallavAt KDarp_1.63b
   api vidyudvilasitād KDarp_1.63c	api vidyut-vilasitAt KDarp_1.63c
   apyudvegakaro 'bhavat KDarp_2.82d	api-udvega-karaH aBavat KDarp_2.82d
   apradānodyatenādya KDarp_2.107c	apradAna-udyatena-adya KDarp_2.107c
   aprasāda ivekṣyate KDarp_4.57d	aprasAdaH iva-Ikzyate KDarp_4.57d
   aprasādena yaddattaṃ KDarp_6.14c	aprasAdena yat-dattam KDarp_6.14c
   aprastāve 'pi yatnataḥ KDarp_4.38b	aprastAve api yatnatas KDarp_4.38b
   aprāptapratimallasya KDarp_5.30c	aprApta-pratimallasya KDarp_5.30c
   aphalākāṅkṣayā yuktaṃ KDarp_6.7c	aPala-AkAFkzayA yuktam KDarp_6.7c
   abhaktaḥ saṃtatāmayaiḥ KDarp_2.16b	aBaktaH saMtata-AmayEH KDarp_2.16b
   abhagnaprasarāḥ śucaḥ KDarp_3.127d	aBagna-prasarAH SucaH KDarp_3.127d
   abhicārajapeneva KDarp_3.111c	aBicAra-japena-iva KDarp_3.111c
   abhimānagṛhītānāṃ KDarp_3.54c	aBimAna-gRhItAnAm KDarp_3.54c
   abhilāṣocitaṃ vaktum KDarp_3.83c	aBilAza-ucitam vaktum KDarp_3.83c
   abhūtsajṛmbhaśvasanākulānāṃ KDarp_7.44c	aBUt-sa-jRmBa-Svasana-AkulAnAm KDarp_7.44c
   abhogasubhagā bhūtir KDarp_1.31a	aBoga-suBagA BUtiH KDarp_1.31a
   abhyādravannagnatanuṃ vṛṣāṅkam KDarp_7.55d	aByAdravat-nagna-tanum vRzAFkam KDarp_7.55d
   amāyā paramā vidyā KDarp_3.152c	amAyA paramA vidyA KDarp_3.152c
   amṛṣṭapākaṃ viniviṣṭakaṣṭam KDarp_2.14b	amRzwa-pAkam vinivizwa-kazwam KDarp_2.14b
   ayaṃ me dakṣiṇākāle KDarp_3.138a	ayam me dakziNA-kAle KDarp_3.138a
   ayaṃ smarāturastāvad KDarp_3.102a	ayam smara-AturaH-tAvat KDarp_3.102a
   arakṣitaṃ tiṣṭhati daivayogāt KDarp_2.2b	arakzitam tizWati dEva-yogAt KDarp_2.2b
   arāgamanakāraṇam KDarp_4.45d	ara-Agamana-kAraNam KDarp_4.45d
   arcanīyo mṛgīdṛśām KDarp_1.80d	arcanIyaH mRgI-dRSAm KDarp_1.80d
   arjitaṃ yanna bhujyate KDarp_2.8b	arjitam yat-na Bujyate KDarp_2.8b
   arthanātha ivāparaḥ KDarp_2.11b	arTa-nATaH iva-aparaH KDarp_2.11b
   ardhaśaucaṃ munisutaṃ KDarp_3.118c	arDa-SOcam muni-sutam KDarp_3.118c
   arvāvasuparāvasū KDarp_3.66d	arvAvasu-parAvasU KDarp_3.66d
   arvāvasuparāvasū KDarp_3.128d	arvAvasu-parAvasU KDarp_3.128d
   arvāvasustamavadad KDarp_3.133a	arvAvasuH-tam-avadat KDarp_3.133a
   arhattvaṃ prāpa candanaḥ KDarp_2.112d	arhat-tvam prApa candanaH KDarp_2.112d
   alaṃkṛtaḥ kāñcanakoṭimūlyair KDarp_2.65a	alaMkRtaH kAQcana-kowi-mUlyEH KDarp_2.65a
   alobhaśceti vidyāyāḥ KDarp_3.24c	aloBaH-ca-iti vidyAyAH KDarp_3.24c
   alobhaḥ paramaṃ vittam KDarp_3.152a	aloBaH paramam vittam KDarp_3.152a
   alomaśaṃ pūrṇaśaśāṅkaśobhaṃ KDarp_4.3a	alomaSam pUrNa-SaSAFka-SoBam KDarp_4.3a
   avaṭe kṣipati kṣaṇāt KDarp_3.97d	avawe kzipati kzaNAt KDarp_3.97d
   avaṭe pātayāmyenaṃ KDarp_1.51c	avawe pAtayAmi-enam KDarp_1.51c
   avadadbāṣpagadgadam KDarp_3.125b	avadat-bAzpa-gadgadam KDarp_3.125b
   avamānahataṃ yacca KDarp_6.5a	avamAna-hatam yat-ca KDarp_6.5a
   avaśyaṃ madanigrahaḥ KDarp_3.69d	avaSyam mada-nigrahaH KDarp_3.69d
   avāritau viviśatur KDarp_4.40c	avAritO viviSatuH KDarp_4.40c
   avicāryaiva kevalam KDarp_6.9b	avicArya-eva kevalam KDarp_6.9b
   avidūre carantī sā KDarp_1.74a	avidUre carantI sA KDarp_1.74a
   aśakte raudratātaikṣṇyaṃ KDarp_5.21a	aSakte rOdra-tA-tEkzNyam KDarp_5.21a
   aśarmakarmanirmāṇaṃ KDarp_2.96c	aSarma-karma-nirmANam KDarp_2.96c
   aśastrābhireva strībhir KDarp_5.18c	aSastrABiH-eva strIBiH KDarp_5.18c
   aśāntāntastṛṣṇā dhanalavaṇavārivyatikarair KDarp_2.10a	aSAnta-antaH-tRzNA Dana-lavaNa-vAri-vyatikarEH KDarp_2.10a
   aśeṣaḥ saṃtoṣāmṛtavisarapānena vapuṣaḥ KDarp_7.73b	aSezaH saMtoza-amRta-visara-pAnena vapuzaH KDarp_7.73b
   aśnāti kālabhramaraḥ samantāt KDarp_4.17c	aSnAti kAla-BramaraH samantAt KDarp_4.17c
   aśnāti rātrāvudaraṃ saśūlam (?) KDarp_2.13d	aSnAti rAtrO=-udaram sa-SUlam (?) KDarp_2.13d
   aśmāpyahṛdayo yasya KDarp_3.9a	aSmApi-ahRdayaH yasya KDarp_3.9a
   aśvamedhe tava kratau KDarp_6.50b	aSvameDe tava kratO KDarp_6.50b
   aśvamedhe vidhānena KDarp_6.28c	aSvameDe viDAnena KDarp_6.28c
   asaṅgaḥ saṃbhogaḥ kamaladalakīlālatulyā KDarp_7.73c	asaFgaH saMBogaH kamala-dala-kIlAla-tulyA KDarp_7.73c
   asthiraḥ kulasaṃbandhaḥ KDarp_1.28a	asTiraH kula-saMbanDaH KDarp_1.28a
   asmatpitā mṛgadhiyā KDarp_3.148a	asmad-pitA mRga-DiyA KDarp_3.148a
   asmātprabhūtasaṃbhārāt KDarp_6.35c	asmAt-praBUta-saMBArAt KDarp_6.35c
   asminkuṭilakallola- KDarp_3.58a	asmin-kuwila-kallola KDarp_3.58a
   asminvirasaniḥsāre KDarp_4.51c	asmin-virasa-niHsAre KDarp_4.51c
   asmyanugrahabhājanam KDarp_4.50b	asmi-anugraha-BAjanam KDarp_4.50b
   asya nāstyeva hṛdaye KDarp_1.53c	asya na-asti-eva hRdaye KDarp_1.53c
   asyāstaralacakṣuṣaḥ KDarp_4.28b	asyAH-tarala-cakzuzaH KDarp_4.28b
   asyāṃ saṃsadi kasyāsye KDarp_4.29a	asyAm saMsadi kasya-Asye KDarp_4.29a
   ahaṃkārābhibhūtānāṃ KDarp_1.5a	ahaMkAra-aBiBUtAnAm KDarp_1.5a
   ahaṃ pura rajaḥsnātā KDarp_1.67a	aham pura rajaH-snAtA KDarp_1.67a
   ahaṃ mānī vāṇīprasaraparipākena sukaviḥ KDarp_1.43b	aham mAnI vANI-prasara-paripAkena su-kaviH KDarp_1.43b
   ahaṃ līlāhaṃsaḥ kuvalayadṛśāṃ mānasacaraḥ KDarp_1.43c	aham lIlA-haMsaH kuvalaya-dRSAm mAnasa-caraH KDarp_1.43c
   ahaṃ vādī vidyāparicayaguruḥ sarvaviduṣām KDarp_1.43a	aham vAdI vidyA-paricaya-guruH sarva-viduzAm KDarp_1.43a
   ahaṃ śūraḥ krūrapratibhaṭaghaṭāpāṭanapaṭus KDarp_5.1a	aham SUraH krUra-pratiBawa-GawA-pAwana-pawuH KDarp_5.1a
   ahiṃsā paramaṃ tapaḥ KDarp_3.152b	ahiMsA paramam tapaH KDarp_3.152b
   aho kālasya sūkṣmo 'yaṃ KDarp_4.65a	aho kAlasya sUkzmaH ayam KDarp_4.65a
   aho nu vismṛtaḥ kiṃ te KDarp_4.32c	aho nu vismRtaH kim te KDarp_4.32c
   aho paropadeśeṣu KDarp_3.59c	aho para-upadeSezu KDarp_3.59c
   aho bata bharadvājaḥ KDarp_3.112a	aho bata BaradvAjaH KDarp_3.112a
   aho batāsya pratibhā prasahya KDarp_7.64a	aho bata-asya pratiBA prasahya KDarp_7.64a
   ākarṇya vākyaṃ giriśo 'bravīttām KDarp_7.24b	AkarNya vAkyam giriSaH abravIt-tAm KDarp_7.24b
   ācāmayācakaḥ kṛcchrād KDarp_2.85c	AcAma-yAcakaH kRcCrAt KDarp_2.85c
   ājanmabhaktipraṇayī KDarp_5.15c	Ajanma-Bakti-praNayI KDarp_5.15c
   ātmopakāramātreṇa KDarp_6.8c	Atma-upakAra-mAtreNa KDarp_6.8c
   ādāya mohena pinākapāṇeḥ KDarp_7.57c	AdAya mohena pinAkapANeH KDarp_7.57c
   āpannārtipraśamanavidhau sattvaśuddhipradāne KDarp_6.37c	Apanna-Arti-praSamana-viDO sattva-SudDi-pradAne KDarp_6.37c
   āpannārtivilokane karuṇayā śraddhāsudhāpūritaṃ KDarp_6.27c	Apanna-Arti-vilokane karuNayA SradDA-suDA-pUritam KDarp_6.27c
   āyūṃṣi kālalīḍhāni KDarp_4.63c	AyUMzi kAla-lIXAni KDarp_4.63c
   āraktaparyantamanoharābhyām KDarp_7.34b	Arakta-paryanta-manoharAByAm KDarp_7.34b
   ārtimevaṃvidhāmasya KDarp_2.92a	Artim-evaMviDAmasya KDarp_2.92a
   āryāprapañcopacitasya śocyā KDarp_3.153b	Arya-aprapaQca-upacitasya SocyA KDarp_3.153b
   āvayornāprasannatvaṃ KDarp_4.59a	AvayoH-na-aprasanna-tvam KDarp_4.59a
   āvṛtaḥ pāparogeṇa KDarp_2.108c	AvRtaH pApa-rogeNa KDarp_2.108c
   āśāpāśavyasananicayādvāsanālīnadoṣān KDarp_7.69c	ASA-pASa-vyasana-nicayAt-vAsanA-lIna-dozAn KDarp_7.69c
   āśāpāśāvalambinyā KDarp_3.47c	ASA-pASa-avalambinyA KDarp_3.47c
   āśāṃ brāhmaṇyabaddhāśaś KDarp_1.77c	ASAm brAhmaNya-badDa-ASaH KDarp_1.77c
   āśvāsanenāmṛtasodareṇa KDarp_2.98c	ASvAsanena-amRta-sodareNa KDarp_2.98c
   āsanābje sarasvatyā KDarp_3.95a	Asana-abje sarasvatyA KDarp_3.95a
   āsannadoṣāgamavāsarānta- KDarp_7.53c	Asanna-doza-Agama-vAsara-anta KDarp_7.53c
   āsannabandhanasyānte KDarp_2.54c	Asanna-banDanasya-ante KDarp_2.54c
   āsītpramohapratimo 'ndhakāraḥ KDarp_7.59c	AsIt-pramoha-pratimaH anDakAraH KDarp_7.59c
   āstāṃ kimanayā putra KDarp_1.75a	AstAm kim-anayA putra KDarp_1.75a
   āspadaṃ paramāpadām KDarp_2.23d	Aspadam parama-ApadAm KDarp_2.23d
   itaḥ samīpe raibhyasya KDarp_3.66a	itas samIpe rEByasya KDarp_3.66a
   iti cintākṣaṇe tasmiṃl KDarp_1.71a	iti cintA-akzaNe tasmin KDarp_1.71a
   iti tasya vacaḥ śrutvā KDarp_2.31a	iti tasya vacaH SrutvA KDarp_2.31a
   iti tasyāṃ pralāpinyāṃ KDarp_2.97a	iti tasyAm pralApinyAm KDarp_2.97a
   iti tena samādiṣṭaḥ KDarp_3.118a	iti tena samAdizwaH KDarp_3.118a
   iti tyāgodagraṃ vahati kila darpaṃ manasi yas KDarp_6.1c	iti tyAga-udagram vahati kila darpam manasi yaH KDarp_6.1c
   iti duḥsahamākarṇya KDarp_1.58a	iti duHsaham-AkarNya KDarp_1.58a
   iti dhyātvā tamavadat KDarp_3.103a	iti DyAtvA tam-avadat KDarp_3.103a
   iti priyāyāḥ praṇayopapannam KDarp_7.24a	iti priyAyAH praNaya-upapannam KDarp_7.24a
   iti prauḍhaḥ puṃsāṃ nijabhujabalākrāntajagatāṃ KDarp_5.1c	iti prOXaH puMsAm nija-Buja-bala-AkrAnta-jagatAm KDarp_5.1c
   iti bruvāṇamaparaḥ KDarp_4.32a	iti bruvANam-aparaH KDarp_4.32a
   iti bruvāṇaṃ taṃ raibhyaḥ KDarp_3.117a	iti bruvANam tam rEByaH KDarp_3.117a
   iti māturvacaḥ śrutvā KDarp_1.76a	iti mAtuH-vacaH SrutvA KDarp_1.76a
   iti mānasya mahatām KDarp_5.43a	iti mAnasya mahatAm KDarp_5.43a
   iti saṃcintya dṛṣṭvāgre KDarp_3.124a	iti saMcintya dRzwvA-agre KDarp_3.124a
   iti saṃcintya so 'bhyetya KDarp_3.139a	iti saMcintya saH aByetya KDarp_3.139a
   ityapṛcchatsadājanam KDarp_5.31d	iti-apRcCat-sadA-janam KDarp_5.31d
   ityarthite vare tena KDarp_3.149a	iti-arTite vare tena KDarp_3.149a
   ityārtarāviṇaṃ putraṃ KDarp_1.52a	iti-Arta-rAviNam putram KDarp_1.52a
   ityuktastena nṛpatiḥ KDarp_3.141a	iti-uktaH-tena nRpatiH KDarp_3.141a
   ityuktaṃ tripurāriṇā girisutā śrutvā yathārthaṃ vaco KDarp_7.70a	iti-uktam tripurAriNA girisutA SrutvA yaTArTam vacaH KDarp_7.70a
   ityuktaḥ praṇayāttābhyāṃ kiṃcitkusumitasmitaḥ KDarp_4.49/a	iti-uktaH praNayAt-tAByAm kiMcid-kusumita-smitaH KDarp_4.49/a
   ityuktaḥ sa tayā prāyāt KDarp_3.105a	iti-uktaH sa tayA prAyAt KDarp_3.105a
   ityuktaḥ sa suraiḥ prītyā KDarp_3.146a	iti-uktaH sa surEH prItyA KDarp_3.146a
   ityuktaḥ surarājena KDarp_3.54a	iti-uktaH surarAjena KDarp_3.54a
   ityukte muniputreṇa KDarp_3.59a	iti-ukte muni-putreNa KDarp_3.59a
   ityukto 'pi krudhā tābhyāṃ KDarp_3.75a	iti-uktaH api kruDA tAByAm KDarp_3.75a
   ityukto 'pi yadā rājā KDarp_5.39a	iti-uktaH api yadA rAjA KDarp_5.39a
   ityukto 'pyasakṛtpatnyā KDarp_2.69a	iti-uktaH api-asakRt-patnyA KDarp_2.69a
   ityukto 'pyasakṛtpitrā KDarp_1.45a	iti-uktaH api-asakRt-pitrA KDarp_1.45a
   ityukto 'pyasakṛtpitrā KDarp_3.72a	iti-uktaH api-asakRt-pitrA KDarp_3.72a
   ityuktvā tāṃ bhayodbhrānta- KDarp_3.88a	iti-uktvA tAm Baya-udBrAnta KDarp_3.88a
   ityuktvā nakule yāte KDarp_6.53a	iti-uktvA nakule yAte KDarp_6.53a
   ityuktvā nṛpamāmantrya KDarp_4.71a	iti-uktvA nRpam-Amantrya KDarp_4.71a
   ityuktvā putraśokena KDarp_3.127a	iti-uktvA putra-Sokena KDarp_3.127a
   ityuktvā bhagavānpuṇyāṃ KDarp_2.112a	iti-uktvA BagavAn-puNyAm KDarp_2.112a
   ityuktvāmarṣasaṃrambhād KDarp_3.113a	iti-uktvA-amarza-saMramBAt KDarp_3.113a
   ityucyamāno 'pi yadā KDarp_3.100a	iti-ucyamAnaH api yadA KDarp_3.100a
   ityūcuḥ puravāsinaḥ KDarp_2.75d	iti-UcuH pura-vAsinaH KDarp_2.75d
   ityete munayo 'pi darpaviphale yāte śrute śocyatāṃ KDarp_3.150a	iti-ete munayaH api darpa-viPale yAte Srute Socya-tAm KDarp_3.150a
   iyaṃ tapovanamahī KDarp_3.96a	iyam tapaH-vana-mahI KDarp_3.96a
   iyuktau tena yayatus KDarp_4.54a	iyuktO tena yayatuH KDarp_4.54a
   iyuktvā tau kṛtakṣoṇī- KDarp_4.39a	iyuktvA tO kRtakzoNI KDarp_4.39a
   iva dambhodbhavo 'bhavat KDarp_5.29b	iva damBodBavaH aBavat KDarp_5.29b
   iṣṭaṃ na vetti viṣayeṣvaviśeṣabuddhiḥ KDarp_2.60b	izwam na vetti vizayezu-aviSeza-budDiH KDarp_2.60b
   uktaṃ parasyāmiṣatām KDarp_2.6a	uktam parasya-Amiza-tAm KDarp_2.6a
   uktveti tasmai sasṛjuḥ sakopās KDarp_7.65a	uktvA-iti tasmE sasRjuH sa-kopAH KDarp_7.65a
   uktveti śaṃbhurvṛṣabhātsalīlaṃ KDarp_7.29a	uktvA-iti SaMBuH-vRzaBAt-sa-lIlam KDarp_7.29a
   uktvetyarvāvasurbhrātuḥ KDarp_3.136a	uktvA-iti-arvAvasuH-BrAtuH KDarp_3.136a
   ucitaiva suvarṇasya KDarp_3.9c	ucitA-eva suvarNasya KDarp_3.9c
   ucchiṣṭabhūmiṃ nakulaḥ KDarp_6.30c	ucCizwa-BUmim nakulaH KDarp_6.30c
   ucchūnatāmupagatās KDarp_4.64c	ucCUna-tAm-upagatAH KDarp_4.64c
   uṭajāṅganasaktānāṃ KDarp_3.81a	uwaja-aFgana-saktAnAm KDarp_3.81a
   utkarṣaḥ khyāpyate yasyāḥ KDarp_3.39c	utkarzaH KyApyate yasyAH KDarp_3.39c
   utpāṭya vikaṭāṭopa- KDarp_3.114a	utpAwya vikawa-Awopa KDarp_3.114a
   utsāhoddhatavibhramabhramarakavyāvṛttahārāntara- KDarp_4.24a	utsAha-udData-viBrama-Bramara-ka-vyAvRtta-hAra-antara KDarp_4.24a
   utsṛṣṭadharmanimayāḥ KDarp_3.101c	utsRzwa-Darma-nimayAH KDarp_3.101c
   utsṛṣṭalajjāvipulābhilāṣādasūcayanmugdhamṛgīvilāsam KDarp_7.46/b	utsRzwa-lajjA-vipula-aBilAzA-da-sUcayat-mugDa-mRgI-vilAsam KDarp_7.46/b
   utsṛṣṭocchiṣṭavartinīm KDarp_6.46d	utsRzwa-ucCizwa-vartinIm KDarp_6.46d
   udagralāvaṇyaviśeṣatarṣāḥ KDarp_7.61b	udagra-lAvaNya-viSeza-tarzAH KDarp_7.61b
   udetyudīrite yasmin KDarp_6.38c	udeti-udIrite yasmin KDarp_6.38c
   udgrīvaḥ kautukeneva KDarp_3.92c	udgrIvaH kOtukena-iva KDarp_3.92c
   udbhinnayauvanākrāntā KDarp_1.70a	udBinna-yOvana-AkrAntA KDarp_1.70a
   udvīkṣyākṣiparamparāmapi harestatrāvasannā śacī KDarp_4.25c	udvIkzya-akzi-paramparAm-api hareH-tatra-avasannA SacI KDarp_4.25c
   unnatastanavinyasta- KDarp_1.68c	unnata-stana-vinyasta KDarp_1.68c
   unmattanṛttopamameva vittam KDarp_2.2d	unmatta-nRtta-upamam-eva vittam KDarp_2.2d
   unmādanamidaṃ rūpam KDarp_3.84a	unmAdanam-idam rUpam KDarp_3.84a
   unmādaṃ janayatyeva KDarp_3.70c	unmAdam janayati-eva KDarp_3.70c
   upakārāya yā puṃsāṃ KDarp_3.28a	upakArAya yA puMsAm KDarp_3.28a
   upakāriṣu vairiṇām KDarp_2.95b	upakArizu vEriNAm KDarp_2.95b
   upavāsakṛśenāptaṃ KDarp_6.39c	upavAsa-kRSena-Aptam KDarp_6.39c
   upavāsakṛśo dvijaḥ KDarp_6.45b	upavAsa-kRSaH dvijaH KDarp_6.45b
   upasṛtya śuśocārtā KDarp_2.89c	upasRtya SuSoca-ArtA KDarp_2.89c
   urvaśībhogasubhagaṃ KDarp_4.33c	urvaSI-Boga-suBagam KDarp_4.33c
   urvaśīyaṃ vaśīkṛtā KDarp_4.34b	urvaSI-iyam vaSIkRtA KDarp_4.34b
   urvaśī svamukhe maitrīṃ KDarp_4.19c	urvaSI sva-muKe mEtrIm KDarp_4.19c
   uvāca mithyānirbandhaḥ KDarp_3.21c	uvAca miTyA-nirbanDaH KDarp_3.21c
   ūṣare niṣphalaṃ bījaṃ KDarp_6.5c	Uzare nizPalam bIjam KDarp_6.5c
   ṛṇadaiḥ svajanaiḥ putrair KDarp_6.20a	RNadEH sva-janEH putrEH KDarp_6.20a
   ṛṇavaccirasaṃśodhyaṃ KDarp_6.18a	RNavat-cira-saMSoDyam KDarp_6.18a
   ṛṇikaiḥ kalahairnityam KDarp_2.40a	RNikEH kalahEH-nityam KDarp_2.40a
   ekabījaprajātānāṃ KDarp_1.56c	eka-bIja-prajAtAnAm KDarp_1.56c
   ekaścetpūrvapuruṣaḥ KDarp_1.9a	ekaH-ced-pUrvapuruzaH KDarp_1.9a
   ekasmai pūrṇamanyasmai KDarp_6.19a	ekasmE pUrNam-anyasmE KDarp_6.19a
   ekaṃ samāliṅgati darpalolā KDarp_5.7c	ekam samAliFgati darpa-lolA KDarp_5.7c
