   tṛtīya ucchvāsaḥ	tRtIyaH ucCvAsaH
   kano yūyam? apratyūhā vā samyakkaraṇaparitoṣitadvijacakrā krātavī kriyā	kanaH yUyam? apratyUhA vA samyak-karaNa-paritozita-dvija-cakrA krAtavI kriyA
   kriyate? yayāvadavikalamantrabhāñji bhuñjate vā havīṃṣi hutabhujaḥ?	kriyate? yayAvat-avikala-mantra-BAQji BuQjate vA havIMzi hutaBujaH?
   yathākālamadhoyate vā baṭavaḥ? pratidinamavicchinno vā vedābhyāsaḥ?	yaTAkAlam-aDoyate vA bawavaH? pratidinam-avicCinnaH vA veda-aByAsaH?
   kaccitsa eva cirantano yajñavidyākarnaṇyabhiyogaḥ? tānyeva vyākaraṇe	kaccit-saH eva cirantanaH yajQa-vidyA-karnaNI-aBiyogaH? tAni-eva vyAkaraNe
   parasparaspardhānubandhābandhyadivasadarśitādarāṇi vyākhyānamaṇḍalāni,	paraspara-sparDA-anubanDa-AbanDya-divasa-darSita-AdarANi vyAKyAna-maNxalAni,
   saiva vā purātīnī parityaktānyakartavyā pramāṇagoṣṭhī, sa eva vā	sA-eva vA purAtInI parityakta-anya-kartavyA pramANa-gozWI, saH eva vA
   mandīkṛtetaraśāstraraso mīmāṃsāyāmatirasaḥ? kaccitta	mandIkRta-itara-SAstra-rasaH mImAMsAyAm-atirasaH? kaccit-ta
   evābhinavasubhāṣitasudhāvarṣiṇaḥ kāvyālāpāḥ?' iti /	eva-aBinavasu-BAzita-suDA-varziNaH kAvya-AlApAH?-a iti /
   atha te tamūcu-"tāta! saṃtoṣajuṣāṃ satatasaṃnihitavidyāvinodānāṃ	aTa te tam-Ucu-"tAta! saMtoza-juzAm satata-saMnihita-vidyA-vinodAnAm
   vaitānavahnimātrasahāyānāṃ kiyanmātraṃ na kṛtyaṃ sukhitayā	vEtAna-vahni-mAtra-sahAyAnAm kiyat-mAtram na kRtyam suKitayA
   sakalabhuvanabhujibhṛjaṅgarājadehadīrghe rakṣati kṣitiṃ kṣitibhuje /	sakala-Buvana-Buji-BRt-aFgarAja-deha-dIrGe rakzati kzitim kzitiBuje /
   sarvathā sukhina eva vayam, viśeṣeṇa tu tvayi vimuktakausīdye	sarvaTA suKinaH eva vayam, viSezeNa tu tvayi vimukta-kOsIdye
   parameśvarapārśvavartini vetrāsanamadhitiṣṭhati /	parameSvara-pArSva-vartini vetrAsanam-aDitizWati /
   sarve ca yathāśakti yathāvibhavaṃ yathākāla ca saṃpādyante viprajanocitāḥ	sarve ca yaTASakti yaTA-viBavam yaTAkAla ca saMpAdyante vipra-jana-ucitAH
   kriyākalāpāḥ' ityevamādibhirālāpaiḥ skandāvāravārtābhiśca	kriyA-kalApAH-a iti-evamAdiBiH-AlApEH skandAvAra-vArtABiH-ca
   śaiśavātikrāntakrīḍānusmaraṇaiḥ pūrvajakathābhiśca vinoditamanāstaiḥ saha	SESava-atikrAnta-krIxA-anusmaraNEH pUrvaja-kaTABiH-ca vinodita-manAH-tEH saha
   suciramatiṣṭhat /	suciram-atizWat /
   utthāya ca madhyandine yathākriyamāṇāḥ sthitīrakarot /	utTAya ca maDyandine yaTA-kriyamANAH sTitIH-akarot /
   bhuktavantaṃ ca ta sarve jñātayaḥ paryavārayan /	Buktavantam ca te sarve jQAtayaH paryavArayan /
   atrāntare dukūlapaṭṭaprabhave śikhaṇḍyapāṅgapāṇḍunī pauṇḍre vāsasī vasānaḥ	atra-antare dukUla-pawwa-praBave SiKaNxI-apAFga-pANxunI pONxre vAsasI vasAnaH
   snānāvasānasamaye vanditayā torthamṛdā gorocanayā ca racitatilakaḥ,	snAna-avasAna-samaye vanditayA torTamRdA gorocanayA ca racita-tilakaH,
   tailāmalakamasṛṇitamauliḥ, anuccacūḍācumbinā nibijena kusumāpoḍakena	tEla-Amalakam-asRNita-mOliH, anuccacUxa-AcumbinA nibijena kusuma-Apoxakena
   samudbhāsamānaḥ, asakṛdupayuktatāmbūlavimalādhararāgakāntiḥ,	samudBAsamAnaH, asakRt-upayukta-tAmbUla-vimalA-Dara-rAga-kAntiH,
   ekaśalākāñjanajanitalocanaruciḥ, acirabhuktaḥ, vinītamāryaṃ ca veṣaṃ	eka-SalAkA-aQjana-janita-locana-ruciH, acira-BuktaH, vinItam-Aryam ca vezam
   dadhānaḥ, pustakavācakaḥ sudṛṣṭirājagāma /	daDAnaH, pustaka-vAcakaH su-dRzwiH-AjagAma /
   nātidūravartinyāṃ cāsandyāṃniṣasāda /	na-ati-dUra-vartinyAm ca-AsandyAMnizasAda /
   sthitvā ca mudūrtamiva tatkālāpanītasūtraveṣṭanamapi	sTitvA ca mudUrtam-iva tad-kAla-apanIta-sUtra-vezwanam-api
   nakhakiraṇairmṛdumṛṇālasūtrauravāveṣṭitaṃ pustakaṃ	naKa-kiraNEH-mRdu-mRNAla-sUtrOrava-Avezwitam pustakam
   puronihitaśaraśalākāyantrake nidhāya, pṛṣṭhataḥ sanīḍasaṃniviṣṭābhyāṃ	puronihita-Sara-SalAkA-yantrake niDAya, pRzWatas sa-nIxa-saMnivizwAByAm
   madhukarapārāvatābhyāṃ vaṃśikābhyāṃ datte sthānake	maDukara-pArAvatAByAm vaMSikAByAm datte sTAnake
   prābhātikaprapāṭhakacchedacihnīkṛtamantaraṃ patramutkṣipya, gṛhītvā ca	prABAtika-prapAWaka=-Ceda-cihnIkRtam-antaram patram-utkzipya, gRhItvA ca
   katipayapatralaghvīṃ kapāṭikām kṣālayanniva maṣīmalinānyakṣarāṇi	katipaya-patra-laGvIm kapAwikAm kzAlayan=-iva mazI-malinAni-akzarANi
   dantakāntibhiḥ, arcayanniva sitakusumamuktibhirgrantham,	danta-kAntiBiH, arcayan=-iva sita-kusuma-muktiBiH-granTam,
   mukhasaṃnihitasarasvatīnūpuraravairiva gamakairmadhurairākṣipanmanāṃsi	muKa-saMnihita-sarasvatI-nUpura-ravEH-iva gamakEH-maDurEH-Akzipat-manAMsi
   śrotṝṇāṃ gītyā pavamānaproktaṃ purāṇaṃ papāṭha /	SrotLNAm gItyA pavamAna-proktam purANam papAWa /
   tasmiṃśca tathā śrutisubhagagītigarbhaṃ paṭhati sudṛṣṭau nātidūravartī	tasmin=-ca taTA Sruti-suBaga-gIti-garBam paWati su-dRzwO na-ati-dUra-vartI
   vandī sūcībāṇastāramadhureṇa gītidhvanimanuvartamānaḥ	vandI sUcI-bANaH-tAra-maDureNa gIti-Dvanim-anuvartamAnaH
   svareṇedamāryāyugalamagāyat--	svareNa-idam-AryA-yugalam-agAyat--
   tadapi munigītamatipṛthu tadapi jagadvyāpi pāvanaṃ tadapi/	tat-api muni-gItam-ati-pRTu tat-api jagat-vyApi pAvanam tat-api/
   harṣacaritādabhinnaṃ pratibhāti hi me pūrāṇamidam // 3.3 //	harza-carita-AdaBinnam pratiBAti hi me pUrANam-idam // 3.3 //
   vaṃśānugamavivādi sphuṭakaraṇaṃ bharatamārgabhajanaguru/	vaMSa-anugama-vivAdi sPuwa-karaNam Barata-mArga-Bajana-guru/
   śrīkaṇṭhaviniryāta gītamidaṃ harṣarājyamiva // 3.4 //	SrIkaNWa-viniryAta gItam-idam harza-rAjyam-iva // 3.4 //
   tacchrutvā bāṇasya catvāraḥ pitāmahamukhapajhā iva	tat-SrutvA bANasya catvAraH pitAmaha-muKa-paJAH iva
   vedābhyāsapāvatritamūrtayaḥ, upāyā iva sāmaprayogalalitamukhāḥ, gaṇapatiḥ,	veda-aByAsa-pAva-trita-mUrtayaH, upAyAH iva sAma-prayoga-lalita-muKAH, gaNapatiH,
   adhipatiḥ, tārāpatiḥ, śyāmala iti pitṛvyaputrā bhrātaraḥ,	aDipatiH, tArApatiH, SyAmalaH iti pitRvya-putrAH BrAtaraH,
   prasannavṛttayaḥ, gṛhītavākyāḥ, kṛtagurupadanyāsāḥ, nyāyavādinaḥ,	prasanna-vRttayaH, gRhIta-vAkyAH, kRta-guru-pada-nyAsAH, nyAya-vAdinaH,
   sukṛtasaṃgrahābhyāsaguravo labdhasādhuśabdā loka iva vyākaraṇe 'pi	sukRta-saMgraha-aByAsa-guravaH labDa-sADu-SabdAH lokaH iva vyAkaraNe api
   sakalapurāṇarājarṣicaritābhijñāḥ, mahābhāratabhāvitātmānaḥ,	sakala-purANa-rAja-Rzi-carita-aBijQAH, mahABArata-BAvitAtmAnaH,
   viditasakaletihāsāḥ, mahāvidvāṃsaḥ, mahākavayaḥ,	vidita-sakala-itihAsAH, mahA-vidvAMsaH, mahA-kavayaH,
   mahāpuruṣavṛttāntakutūhalinaḥ, subhāṣitaśravaṇarasarasāyanāḥ, vitṛṣṇāḥ,	mahApuruza-vRttAnta-kutU-halinaH, su-BAzita-SravaNa-rasa-rasAyanAH, vitRzNAH,
   vayasi vacasi yaśasi tapasi sadasi mahasi vapuṣi yajuṣi ca prathamāḥ,	vayasi vacasi yaSasi tapasi sadasi mahasi vapuzi yajuzi ca praTamAH,
   pūrvameva kṛtasaṃgarāḥ, vivakṣavaḥ, smitasudhādhavalitakapolodarāḥ,	pUrvam-eva kRta-saMgarAH, vivakzavaH, smita-suDA-Davalita-kapola-udarAH,
   parasparasya mukhānivyalokayan /	parasparasya muKAnivyalokayan /
   atha teṣāṃ kanīyānkamaladaladīrghalocanaḥ śyāmalo nāma bāṇasya	aTa tezAm kanIyAn-kamala-dala-dIrGa-locanaH SyAmalaH nAma bANasya
   preyānprāṇānāmapi vaśayitā dattasaṃjñastaiḥ sapraṇayaṃ	preyAn-prANAnAm-api vaSayitA datta-saMjQaH-tEH sa-praNayam
   daśanajyotsnāsnapitakakubhā mukhendunā babhāṣe--"tāta bāṇa! dvijānāṃ rājā	daSana-jyotsnA-snapita-kakuBA muKa-indunA baBAze---"tAta bANa! dvijAnAm rAjA
   gurudāragrahaṇamakārṣīt purūravā brāhnaṇadhanatṛṣṇayā dayitenāyuṣā	guru-dAra-grahaNam-akArzIt purUravAH brAhnaNa-Dana-tRzNayA dayitena-AyuzA
   vyayujyata /	vyayujyate /
   nahuṣaḥ parakalatrābhilāṣā mahābhujaṅga āsīt /	nahuzaH para-kalatra-aBilAzA mahA-BujaFgaH AsIt /
   yayātirāhitabrāhnaṇīpāñigrahaṇaḥ papāta /	yayAtirAhita-brAhnaNI-pAQi-grahaNaH papAta /
   sudyumnaḥ strīmaya evābhavat /	sudyumnaH strI-mayaH eva-aBavat /
   somakasya prakhyātā jagati jantuvadhanirghṛṇatā /	somakasya praKyAtA jagati jantu-vaDa-nirGRNa-tA /
   māndhātā mārgaṇavyasanena saputrapautro rasātalamagāt /	mAnDAtA mArgaNa-vyasanena sa-putra-pOtraH rasAtalam-agAt /
   purukutsaḥ kutsitaṃ karma tapasyannapi mekalakandhakāyāmakarot /	purukutsaH kutsitam karma tapasyan=-api mekalakanDakAyAm-akarot /
   kuvalayāśvo bhujaṅgalokaparigrahādaśvatarakanyāmapi na parijahāra /	kuvalaya-aSvaH BujaFga-loka-parigrahAt-aSvatara-kanyAm-api na parijahAraH /
   pṛthuḥ prathamapuruṣakaḥ paribhūtavānpṛthivīm /	pRTuH praTama-puruzakaH pariBUtavAn-pRTivIm /
   nṛgasya kṛkalāsabhāve 'pi varṇasaṃkaraḥ samadṛśyata /	nRgasya kRkalAsa-BAve api varNa-saMkaraH samadRSyata /
   saudāsena narakṣitā payākulīkṛtā kṣiti /	sOdAsena na-rakzitA payAkulIkRtA kziti /
   nalamavaśākṣahṛdayaṃ kalirabhibhūtavān /	nalam-avaSAkza-hRdayam kaliH-aBiBUtavAn /
   savaraṇo mitraduhitari viklavatāmagāt /	sa-varaNaH mitra-duhitari viklava-tAm-agAt /
   daśaratha iṣṭarāmonmādena mṛtyumavāpa /	daSaraTaH izwa-rAma-unmAdena mRtyum-avApa /
   kārtavīryo gobrāhnaṇātipīḍanena nidhanamayāsīt /	kArtavIryaH go-brAhnaNa-ati-pIxanena niDana-mayAsIt /
   marutta iṣṭavahusuvarṇako 'pi debadvijabahumato na babhava /	maruttaH izwa-vahu-suvarNakaH api deba-dvija-bahu-mataH na baBava /
   śantanurativyasanādekākī viyukto vāhinyā vipine vilalāpa /	SantanuH-ati-vyasanAt-ekAkI viyuktaH vAhinyAH vipine vilalApa /
   pāṇḍurvanamadhyagato matsya iva madanarasāviṣṭaḥ prāṇānmumāca /	pANxuH-vana-maDya-gataH matsyaH iva madana-rasa-AvizwaH prANAn-mumAca /
   yudhiṣṭhiro gurubhayaviṣaṇṇahṛdayaḥ samaraśirasi satyamutsṛṣṭavān /	yuDizWiraH guru-Baya-vizaNNa-hRdayaH samara-Sirasi satyam-utsRzwavAn /
   itthaṃ nāsti rājatvamapakalaṅgamṛte devadevādamataḥ sarvadvīpabhūjo harṣāt	itTam na-asti rAja-tvam-apakalaFgamRte devadevAdam-atas sarva-dvIpa-BUjaH harzAt-
   asya hi bahūnyāścaryāṇi śrūyante /	asya hi bahUni-AScaryANi SrUyante /
   tathā hi-atra balajitā niścalīkṛtāścalantaḥ kṛtapakṣāḥ kṣitibhṛtaḥ /	taTA hi-atra bala-jitAH niScalIkRtAH-calantaH kRta-pakzAH kzitiBRtaH /
   atra prajāpatinā śeṣabhogimaṇḍalasyopari kṣaṇā kṛtā /	atra prajApatinA Seza-Bogi-maNxalasya-upari kzaNA kRtA /
   atra puruṣottamena sindhurājaṃ pramathya lakṣmīrātmīkṛtā /	atra puruzottamena sinDurAjam pramaTya lakzmIH-AtmIkRtA /
   atra balinā mocitabhūbhṛdveṣṭano mukto mahānāgaḥ /	atra balinA mocita-BUBRt-vezwanaH muktaH mahA-nAgaH /
   atra devenābhiṣiktaḥ kumāraḥ /	atra devena-aBiziktaH kumAraH /
   atra svāminaikaprahārapātitārātinā prakhyāpitā śaktiḥ /	atra svAminA-eka-prahAra-pAtita-arAtinA praKyApitA SaktiH /
   atra narasiṃhena svahastaviśasitārātinā prakaṭīkṛto vikramaḥ /	atra narasiMhena sva-hasta-viSasita-arAtinA prakawIkRtaH vikramaH /
   atra parameśvareṇa tuṣāraśailabhuvo durgāyā gṛhītaḥ karaḥ /	atra parameSvareNa tuzAra-SEla-BuvaH durgAyAH gRhItaH karaH /
   atra lokanāthena diśāṃ mukheṣu parikalpitā lokapālāḥ,	atra lokanATena diSAm muKezu parikalpitAH lokapAlAH,
   sakalabhuvanakośaścāgrajanmanāṃ vibhaktaḥ, ityevamādayaḥ	sakala-Buvana-koSaH-ca-agrajanmanAm viBaktaH, iti-evamAdayaH
   prathamakṛtayugasyeva dṛśyante mahāsamārambhāḥ /	praTama-kRta-yugasya-iva dRSyante mahA-samAramBAH /
   ato 'sya sugṛhītanāmnaḥ purāyarāśeḥ pūrvapuruṣavaṃśānukrameṇāditaḥ	atas asya su-gRhIta-nAmnaH purAya-rASeH pUrva-puruza-vaMSa-anukrameNa-Aditas-
   prabhṛti caritamicchāmaḥ śrotum /	praBRti caritam-icCAmaH Srotum /
   sumahānkālo naḥ śuśrūṣamāṇānām /	su-mahAn-kAlaH naH SuSrUzamANAnAm /
   ayaskāntamaṇaya iva lohāni nīrasaniṣṭhurāṇi kṣullakānāmapyākarṣanti	ayaskAnta-maNayaH iva lohAni nIrasa-nizWurANi kzullakAnAm-api-Akarzanti
   manāṃsi mahatāṃ guṇāḥ, kimuta svabhāvasarasamṛdūnītareṣām /	manAMsi mahatAm guNAH, kim-uta svaBAva-sarasa-mRdUni-itarezAm /
   kasya na dvitīyamahābhārate bhavedasya carite kutūhalam? ācaṣṭā bhabān /	kasya na dvitIya-mahABArate Bavet-asya carite kutUhalam? AcazwAH BabAn /
   bhavatu bhārgavo 'yaṃ vaṃśaḥ śucinānena puṇyarājarṣicaritaśravaṇena	Bavatu BArgavaH ayam vaMSaH SucinA-anena puNya-rAja-Rzi-carita-SravaNena
   sutarāṃ śucitaraḥ, ityevamabhidhāya tūṣṇīmabhūt /	sutarAm SucitaraH, iti-evam-aBiDAya tUzNIm-aBUt /
   bāṇastu vihasyābravīt--ārya! na yuktyanurūpamabhihitam /	bANaH-tu vihasya-abravIt--Arya! na yukti-anurUpam-aBihitam /
   aghaṭamānamanorathamiva bhavatāṃ kutūhalamavakalpayāmi /	aGawamAna-manoraTam-iva BavatAm kutUhalam-avakalpayAmi /
   śakyāśakyaparisaṃkhyānaśūnyāḥ prāyeṇa svārthatṛṣaḥ /	SakyA-Sakya-parisaMKyAna-SUnyAH prAyeNa sva-arTa-tRzaH /
   paraguṇānurāgiṇī priyajanakathāśravaṇarasarabhasamohitā ca manye	para-guNa-anurAgiNI priya-jana-kaTA-SravaNa-rasa-raBasa-mohitA ca manye
   mahatāmapi matirapaharati pravivekam /	mahatAm-api matiH-apaharati pravivekam /
   paśyatvāryaḥ kva paramāṇuparimāṇaṃ baṭuhṛdayam, kva	paSyatu-AryaH kva paramANu-parimANam bawu-hRdayam, kva
   samastabrahnastambhavyāpi devasya caritam? kva pāramitavarṇarvṛttayaḥ	samasta-brahna-stamBa-vyApi devasya caritam? kva pAramita-varNarvRttayaH
   katipaye śabdāḥ, kva saṃkhyātigāstadguṇāḥ? sarvajñasyāpyayamaviṣayaḥ,	katipaye SabdAH, kva saMKyA-atigAH-tad-guNAH? sarvajQasya-api-ayamavizayaH,
   vācaspaterapyagocaraḥ, sarasvatyā apyatibhāraḥ, kimutāsmadvidhasya? kaḥ	vAcaspateH-api-agocaraH, sarasvatyAH api-atiBAraH, kim-uta-asmadviDasya? kaH
   khalu puruṣāyuṣaśatenāpi śaknuyādavikalamasya caritaṃ varṇayitum? ekadeśe	Kalu puruza-Ayuza-Satena-api SaknuyAt-avikalam-asya caritam varNayitum? eka-deSe
   tu yadi kutūhalaṃ vaḥ, sajjā vayam /	tu yadi kutUhalam vaH, sajjAH vayam /
   iyamadhigatakatipayākṣaralavaladhīyasī jihvā kvopayogaṃ gamiṣyati?	iyam-aDigata-katipaya-akzara-lava-laDIyasI jihvA kva-upayogam gamizyati?
   bhavantaḥ śrotāraḥ /	BavantaH SrotAraH /
   vaṇyate harṣacaritam /	vaNyate harza-caritam /
   kimanyat /	kim-anyat /
   divasaḥ paścāllambanamānakapilakiraṇajaṭābhārabhāsvaro	divasaH paScAt-lambana-mAna-kapila-kiraNa-jawA-BAra-BAsvaraH-
   bhagavānbhārgavarāma iva samantapañcakaru dheramahāhrade nimajjati	BagavAn-BArgavarAmaH iva samantapaQcakaru Dera-mahAhrade nimajjati
   sadhyārāgapaṭale pūṣā /	saDyA-rAga-pawale pUzA /
   śvo nivedayitāsmi iti /	Svas nivedayitAsmi iti /
   sarve ca te "tathā' iti pratyapadyanta /	sarve ca te "taTA-a iti pratyapadyanta /
   nāticirādutthāya saṃdhyāmupāsituṃ śoṇamayāsīt /	na-ati-cirAt-utTAya saMDyAm-upAsitum SoNa-maya-AsIt /
   atha madhumadapallavitamālavīkapolakomalātape mukulite 'hni,	aTa maDu-mada-pallavita-mAlavI-kapola-komala-Atape mukulite ahni,
   kamalinīmīlanādiva lohitatame tamolihi ravau lambamāne,	kamalinI-mIlanAt-iva lohitatame tamaH-lihi ravO lambamAne,
   ravirathaturagamārgānusāreṇa yamamahiṣa iva dhāvati nabhasi tamasi,	ravi-raTa-turaga-mArga-anusAreNa yama-mahizaH iva DAvati naBasi tamasi,
   krameṇa ca gṛhatāpasakuṭorakapaṭalāvalambiṣu raktātapacchedaiḥ saha	krameNa ca gRha-tApasa-kuworaka-pawala-avalambizu rakta-Atapa=-CedEH saha
   sahṛteṣu valkaleṣu, kalikalmaṣamuṣi muṣṇati gaganamagnihotradhāmadhūme,	sa-hRtezu valkala-izu, kali-kalmaza-muzi muzNati gaganam-agnihotra-DAma-DUme,
   saniyame yajamānajane manauvratini, vihāravelāvilole paryaṭati patnījane,	sa-niyame yajamAna-jane manOvratini, vihAra-velA-vilole paryawati patnI-jane,
   vikīryamāṇaharitaśyāmākaśālipūlikāsu dugdhāsu homakapilāsu, hūyamāne	vikIryamANa-harita-SyAmAka-SAli-pUlikAsu dugDAsu homakapilAsu, hUyamAne
   vaitānatanūnapāti, pūtaviṣṭaropaviṣṭe kṛṣṇājinajaṭile jaṭini japati	vEtAna-tanUna-pAti, pUta-vizwara-upavizwe kRzNa-ajina-jawile jawini japati
   baṭujane, brahnāsanādhyāsini dhyāyati yogigaṇe,	bawu-jane, brahna-Asana-aDyAsini DyAyati yogi-gaNe,
   tāladhvanidhāvamānānantāntevāsini alasavṛddhaśrotriyānumatena	tAla-Dvani-DA-avamAna-ananta-antevAsini alasa-vRdDa-Srotriya-anumatena
   galadgranthadaṇḍakodgāriṇi sadyāṃ samavadhārayati vaṭharaviṭabaṭusamāje,	galadgranTa-daNxaka-udgAriNi sadyAm samavaDArayati vaWara-viwa-bawu-samAje,
   samunjjati ca jyotiṣi tārakākhye khe, prāpte pradoṣārambhe	samunjjati ca jyotizi tAraka-AKye Ke, prApte pradoza-AramBe
   bhavanamāgatyopaviṣṭaḥ snigdhairbandhubhiśca sārdha tayaiva goṣṭhayā	Bavanam-Agatya-upavizwaH snigDEH-banDuBiH-ca sArDa tayA-eva gozWayA
   tasthau /	tasTO /
   nītaprathamayāmaśca gaṇapaterbhavane parikalpitaṃ śayanīyamasevata /	nIta-praTama-yAmaH-ca gaNapateH-Bavane parikalpitam SayanIyam-asevata /
   itareṣāṃ tu sarvaṣāṃ nimīlitadṛśāmapyanupajātanidrāṇāṃ kamalavanānāmiva	itarezAm tu sarvazAm nimIlita-dRSAm-api-anupajAta-nidrANAm kamala-vanAnAm-iva
   sūryodayaṃ pratipālayatāṃ kutūhalena kathamapi sā kṣapā kṣayamagacchat /	sUrya-udayam pratipAlayatAm kutUhalena kaTam-api sA kzapA kzayam-agacCat /
   atha yāminyāsturye yāma pratibuddhaḥ sa eva bandī ślokadvayamagāyat--	aTa yAminyAH-turye yAma pratibudDaH saH eva bandI Sloka-dvayam-agAyat--
   "paścādaṅghriṃ prasārya trikanativitata drāghayitvāṅgamuccair	"paScAt-aFGrim prasArya tri-kanati-vitata drAGayitvA-aFgam-uccEs-
   āsajyābhugnakaṇṭho mukhamurasi saṭā dhṛlidhūmrā vidhūya /	Asajya-ABugna-kaNWaH muKam-urasi sawA DRli-DUmrAH viDUya /
   ghāsagrāsābhilāṣādanavaratacalatprothatuṇḍasturaṅgo	GAsa-grAsa-aBilAzAdana-varata-calat-proTa-tuNxaH-turaFgaH-
   mandaṃ śabdāyamāno vilikhati śayanādutthitaḥ kṣmāṃ khureṇa' // 3.5 //	mandam SabdAyamAnaH viliKati SayanAt-utTitaH kzmAm KureNa-a // 3.5 //
   kurvannābhugnapṛṣṭho mukhanikaṭakaṭi kandharāmātiraścīṃ	kurvan=-ABugna-pRzWaH muKa-nikawa-kawi kanDarA-mAtiraScIm
   lolenāhanyamānaṃ tuhitakaṇamucā cañcatā kesareṇa /	lolena-ahanyamAnam tuhita-kaNa-mucA caQcatA kesareNa /
   nidrākaṇḍūkaṣāyaṃ kaṣati nibiḍitaśrotraśuktisturaṅgas	nidrA-kaNxU-kazAyam kazati nibixita-Srotra-SuktiH-turaFga-s
   tvaṅgatpakṣmāpralagnagantanuvusakaṇaṃ koṇamakṣṇaḥ khureṇa // 3.6 //	tu-aFgat-pakzma-apralagna-gantanu-vusa-kaNam koNam-akzNaH KureNa // 3.6 //
