   vāyavīyasaṃhitā	vAyavIya saMhitA
   uttarottaravaktā ca bruvato 'pi bṛhaspateḥ // ŚivP_7.1,1.8ab/	uttarottara vaktA ca bruvataH api bRhaspateH // ŚivS _7.1,1.8ab/
   madhuraḥ śravaṇānāṃ ca manojñapadaparvaṇām // ŚivP_7.1,1.8cd/	maDuraH SravaNAnAm ca manojQa pada parvaNAm // Śivj _7.1,1.8cd/
   kathānāṃ nipuṇo vaktā kālavinnayavitkaviḥ // ŚivP_7.1,1.9ab/	kaTAnAm nipuNaH vaktA kAla vid na ya vid kaviH // ŚivS _7.1,1.9ab/
   ājagāma sa taṃ deśaṃ sūtaḥ paurāṇikottamaḥ // ŚivP_7.1,1.9cd/	AjagAma sa tam deSam sUtaH pOrANika uttamaH // Śivj _7.1,1.9cd/
   taṃ dṛṣṭvā sūtamāyāṃtaṃ munayo hṛṣṭamānasāḥ // ŚivP_7.1,1.10ab/	tam dRzwvA sUta m AyAMtam munayaH hRzwa mAnasAH // ŚivS _7.1,1.10ab/
   tasmai sāma ca pūjāṃ ca yathāvatpratyapādayan // ŚivP_7.1,1.10cd/	tasmE sAma ca pUjAm ca yaTAvat pratyapAdayan // ŚivS _7.1,1.10cd/
   pratigṛhya satāṃ pūjāṃ munibhiḥ pratipāditām // ŚivP_7.1,1.11ab/	pratigRhya satAm pUjAm muniBiH pratipAditAm // ŚivS _7.1,1.11ab/
   uddiṣṭamānasaṃ bheje niyukto yuktamātmanaḥ // ŚivP_7.1,1.11cd/	uddizwa mAnasam Beje niyuktaH yuktam AtmanaH // ŚivS _7.1,1.11cd/
   tatastatsaṃgamādeva munīnāṃ bhāvitātmanām // ŚivP_7.1,1.12ab/	tatas tad saMgamAt eva munInAm BAvitAtmanAm // ŚivS _7.1,1.12ab/
   sotkaṃṭhamabhavaccitaṃ śrotuṃ paurāṇikīṃ kathām // ŚivP_7.1,1.12cd/	sa utkaMWam aBavat citam Srotum pOrANikIm kaTAm // ŚivS _7.1,1.12cd/
   tadā tamanukūlābhirvāgbhiḥ pūjya 1 maharṣayaḥ // ŚivP_7.1,1.13ab/	tadA tam anukUlABiH vAgBiH pUjya 1 mahA RzayaH // ŚivS _7.1,1.13ab/
   atīvābhimukhaṃ kṛtvā vacanaṃ cedamabruvan // ŚivP_7.1,1.13cd/	atIva aBimuKam kRtvA vacanam ca idam abruvan // ŚivS _7.1,1.13cd/
   ṛṣaya ūcuḥ	RzayaH UcuH
   romaharṣaṇa sarvajña bhavānno bhāgyagauravāt // ŚivP_7.1,1.14ab/	romaharzaNa sarvajQa BavAn naH BAgya gOravAt // ŚivS _7.1,1.14ab/
   saṃprāptodya mahābhāga śaivarāja mahāmate // ŚivP_7.1,1.14cd/	saMprApta udya mahABAga SEva rAja mahAmate // ŚivS _7.1,1.14cd/
   purāṇavidyāmakhilāṃ vyāsātpratyakṣamīyivān // ŚivP_7.1,1.15ab/	purANa vidyAm aKilAm vyAsAt pratyakzam IyivAn // ŚivS _7.1,1.15ab/
   tasmādāścaryabhūtānāṃ kathānāṃ tvaṃ hi bhājanam // ŚivP_7.1,1.15cd/	tasmAt AScarya BUtAnAm kaTAnAm tvam hi BAjanam // ŚivS _7.1,1.15cd/
   ratnānāmurusārāṇāṃ ratnākara ivārṇavaḥ // ŚivP_7.1,1.16ab/	ratnAnAm uru sArANAm ratna AkaraH iva arNavaH // ŚivS _7.1,1.16ab/
   yacca bhūtaṃ yacca bhavyaṃ yaccānyadvastu vartate // ŚivP_7.1,1.16cd/	yat ca BUtam yat ca Bavyam yat ca anyat vastu vartate // ŚivS _7.1,1.16cd/
   na tavāviditaṃ kiñcittriṣu lokeṣu vidyate // ŚivP_7.1,1.17ab/	na tava aviditam kiQcid trizu lokezu vidyate // ŚivS _7.1,1.17ab/
   tvamadṛṣṭavaśādasmaddarśanārthamihāgataḥ // ŚivP_7.1,1.17cd/	tvam adRzwa vaSAt asmad darSana arTam iha AgataH // ŚivS _7.1,1.17cd/
   akurvankimapi śreyo na vṛthā gantumarhasi // ŚivP_7.1,1.17ef/	akurvan kim api SreyaH na vRTA gantum arhasi // ŚivS _7.1,1.17ef/
   tasmācchrāvyataraṃ puṇyaṃ satkathājñānasaṃhitam // ŚivP_7.1,1.18ab/	tasmAt SrAvyataram puNyam sat kaTA jQAna saMhitam // ŚivS _7.1,1.18ab/
   vedāṃtasārasarvasvaṃ purāṇaṃ śrāvayāśu naḥ // ŚivP_7.1,1.18cd/	veda aMtasAra sarvasvam purANam SrAvaya ASu naH // ŚivS _7.1,1.18cd/
   evamabhyarthitassūto munibhirvedavādibhiḥ // ŚivP_7.1,1.19ab/	evam aByarTita ssUtaH muniBiH veda vAdiBiH // ŚivS _7.1,1.19ab/
   ślakṣṇāṃ ca nyāyasaṃyuktāṃ pratyuvāca śubhāṃ giram // ŚivP_7.1,1.19cd/	SlakzNAm ca nyAya saMyuktAm pratyuvAca SuBAm giram // ŚivS _7.1,1.19cd/
   502a	502a
   sūta uvāca	sUtaH uvAca
   pūjito 'nugṛhītaśca bhavadbhiriti coditaḥ // ŚivP_7.1,1.20ab/	pUjitaH anugRhItaH ca BavadBiH iti coditaH // ŚivS _7.1,1.20ab/
   kasmātsamyaṅna vibrūyāṃ purāṇamṛṣipūjitam // ŚivP_7.1,1.20cd/	kasmAt samyak na vibrUyAm purANam Rzi pUjitam // ŚivS _7.1,1.20cd/
   abhivaṃdya mahādevaṃ devīṃ skaṃdaṃ vināyakam // ŚivP_7.1,1.21ab/	aBivaMdya mahAdevam devIm skaMdam vinAyakam // ŚivS _7.1,1.21ab/
   naṃdinaṃ ca tathā vyāsaṃ sākṣātsatyavatīsutam // ŚivP_7.1,1.21cd/	naMdinam ca taTA vyAsam sAkzAt satyavatI sutam // ŚivS _7.1,1.21cd/
   vakṣyāmi paramaṃ puṇyaṃ purāṇaṃ vedasaṃmitam // ŚivP_7.1,1.22ab/	vakzyAmi paramam puNyam purANam veda saMmitam // ŚivS _7.1,1.22ab/
   śivajñānārṇavaṃ sākṣādbhaktimuktiphalapradam // ŚivP_7.1,1.22cd/	Siva jQAna arNavam sAkzAt Bakti mukti Pala pradam // ŚivS _7.1,1.22cd/
   śabdārthanyāyasaṃyuktai rāgamārthairvibhūṣitam // ŚivP_7.1,1.23ab/	Sabda arTa nyAya saMyuktEH rAgama arTEH viBUzitam // ŚivS _7.1,1.23ab/
   śvetakalpaprasaṃgena vāyunā kathitaṃ purā // ŚivP_7.1,1.23cd/	Sveta kalpa prasaMgena vAyunA kaTitam purA // ŚivS _7.1,1.23cd/
   vidyāsthānāni sarvāṇi purāṇānukramaṃ tathā // ŚivP_7.1,1.24ab/	vidyA sTAnAni sarvANi purANa anukramam taTA // ŚivS _7.1,1.24ab/
   tatpurāṇasya cotpattiṃ bruvato me nibodhata // ŚivP_7.1,1.24cd/	tad purANasya ca utpattim bruvataH me niboData // ŚivS _7.1,1.24cd/
   aṃgāni vedāścatvāro mīmāṃsānyāyavistaraḥ // ŚivP_7.1,1.25ab/	aMgAni vedAH catvAraH mImAMsA nyAya vistaraH // ŚivS _7.1,1.25ab/
   purāṇaṃ dharmaśāstraṃ ca vidyāścetāścaturdaśa // ŚivP_7.1,1.25cd/	purANam Darma SAstram ca vidyAH cetAH caturdaSa // ŚivS _7.1,1.25cd/
   āyurvedo dhanurvedo gāṃdharvaścetyanukramāt // ŚivP_7.1,1.26ab/	AyurvedaH DanurvedaH gAMDarvaH ca iti anukramAt // ŚivS _7.1,1.26ab/
   arthaśāstraṃ paraṃ tasmādvidyā hyaṣṭādaśa smṛtāḥ // ŚivP_7.1,1.26cd/	arTaSAstram param tasmAt vidyA hi azwAdaSa smRtAH // ŚivS _7.1,1.26cd/
   aṣṭādaśānāṃ vidyānāmetāsāṃ bhinnavartmanām // ŚivP_7.1,1.27ab/	azwAdaSAnAm vidyAnAm etAsAm Binna vartmanAm // ŚivS _7.1,1.27ab/
   ādikartā kavissākṣācchūlapāṇiriti śrutiḥ // ŚivP_7.1,1.27cd/	AdikartA kavi ssAkzAt SUlapANiH iti SrutiH // ŚivS _7.1,1.27cd/
   sa hi sarvajagannāthaḥ sisṛkṣurakhilaṃ jagat // ŚivP_7.1,1.28ab/	sa hi sarva jagat nATaH sisRkzuH aKilam jagat // ŚivS _7.1,1.28ab/
   brahmāṇaṃ vidadhe sākṣātputramagre sanātanam // ŚivP_7.1,1.28cd/	brahmANam vidaDe sAkzAt putram agre sanAtanam // ŚivS _7.1,1.28cd/
   tasmai prathamaputrāya brahmaṇe viśvayonaye // ŚivP_7.1,1.29ab/	tasmE praTama putrAya brahmaNe viSvayonaye // ŚivS _7.1,1.29ab/
   vidyāścemā dadau pūrvaṃ viśvasṛṣṭyarthamīśvaraḥ // ŚivP_7.1,1.29cd/	vidyAH ca imAH dadO pUrvam viSva sRzwi arTam ISvaraH // ŚivS _7.1,1.29cd/
   pālanāya hariṃ devaṃ rakṣāśaktiṃ dadau tataḥ // ŚivP_7.1,1.30ab/	pAlanAya harim devam rakzA Saktim dadO tatas // ŚivS _7.1,1.30ab/
   madhyamaṃ tanayaṃ viṣṇuṃ pātāraṃ brahmaṇo 'pi hi // ŚivP_7.1,1.30cd/	maDyamam tanayam vizNum pAtAram brahmaNaH api hi // ŚivS _7.1,1.30cd/
   labdhavidyena vidhinā prajāsṛṣṭiṃ vitanvatā // ŚivP_7.1,1.31ab/	labDa vidyena viDinA prajA sRzwim vitanvatA // ŚivS _7.1,1.31ab/
   prathamaṃ sarvaśāstrāṇāṃ purāṇaṃ brahmaṇā smṛtam // ŚivP_7.1,1.31cd/	praTamam sarva SAstrANAm purANam brahmaNA smRtam // ŚivS _7.1,1.31cd/
   anaṃtaraṃ tu vaktrebhyo vedāstasya vinirgatāḥ // ŚivP_7.1,1.32ab/	anaMtaram tu vaktreByaH vedAH tasya vinirgatAH // ŚivS _7.1,1.32ab/
   pravṛttissarvaśāstrāṇāṃ tanmukhādabhavattataḥ // ŚivP_7.1,1.32cd/	pravRtti ssarva SAstrANAm tad muKAt aBavat tatas // ŚivS _7.1,1.32cd/
   yadāsya vistaraṃ śaktā nādhigaṃtuṃ prajā bhuvi // ŚivP_7.1,1.33ab/	yadA asya vistaram SaktAH na aDigaMtum prajAH Buvi // ŚivS _7.1,1.33ab/
   tadā vidyāsamāsārthaṃ viśveśvaraniyogataḥ // ŚivP_7.1,1.33cd/	tadA vidyA samAsa arTam viSveSvara niyogataH // ŚivS _7.1,1.33cd/
   dvāparāṃteṣu viśvātmā viṣṇurviśvaṃbharaḥ prabhuḥ // ŚivP_7.1,1.34ab/	dvAparAMtezu viSvAtmA vizNuH viSvaMBaraH praBuH // ŚivS _7.1,1.34ab/
   vyāsanāmnā caratyasminnavatīrya mahītale // ŚivP_7.1,1.34cd/	vyAsa nAmnA carati asmin= avatIrya mahI tale // ŚivS _7.1,1.34cd/
   evaṃ vyastāśca vedāśca dvāparedvāpare dvijāḥ // ŚivP_7.1,1.35ab/	evam vyastAH ca vedAH ca dvAparet vA apare dvijAH // ŚivS _7.1,1.35ab/
   nirmitāni purāṇāni anyāni ca tataḥ param // ŚivP_7.1,1.35cd/	nirmitAni purANAni anyAni ca tatas param // ŚivS _7.1,1.35cd/
   sa punardvāpare cāsminkṛṣṇadvaipāyanākhyayā // ŚivP_7.1,1.36ab/	sa punar dvApare ca asmin kRzNadvEpAyana AKyayA // ŚivS _7.1,1.36ab/
   araṇyāmiva havyāśī satyavatyāmajāyata // ŚivP_7.1,1.36cd/	araNyAm iva havya ASI satyavatyAm ajAyata // ŚivS _7.1,1.36cd/
   saṃkṣipya sa punarvedāṃścaturdhā kṛtavānmuniḥ // ŚivP_7.1,1.37ab/	saMkzipya sa punar vedAn= caturDA kRtavAn muniH // ŚivS _7.1,1.37ab/
   vyastavedatayā loke vedavyāsa iti śrutaḥ // ŚivP_7.1,1.37cd/	vyasta veda tayA loke vedavyAsaH iti SrutaH // ŚivS _7.1,1.37cd/
   purāṇānāñca saṃkṣiptaṃ caturlakṣapramāṇataḥ // ŚivP_7.1,1.38ab/	purANa an AQca saMkziptam catur lakza pramANataH // ŚivS _7.1,1.38ab/
   adyāpi devaloke tacchatakoṭipravistaram // ŚivP_7.1,1.38cd/	adya api deva loke tat Sata kowi pravistaram // ŚivS _7.1,1.38cd/
   yo vidyāccaturo vedān sāṃgopaṇiṣadāndvijaḥ // ŚivP_7.1,1.39ab/	yaH vidyAt caturaH vedAn sAMga upaNizadAn dvijaH // ŚivS _7.1,1.39ab/
   na cetpurāṇaṃ saṃvidyānnaiva sa syādvicakṣaṇaḥ // ŚivP_7.1,1.39cd/	na ced purANam saMvidyAt na eva sa syAt vicakzaNaH // ŚivS _7.1,1.39cd/
   itihāsapurāṇābhyāṃ vedaṃ samupabṛṃhayet // ŚivP_7.1,1.40ab/	itihAsa purANAByAm vedam samupabRMhayet // ŚivS _7.1,1.40ab/
   bibhetyalpaśrutādvedo māmayaṃ pratariṣyati // ŚivP_7.1,1.40cd/	biBeti alpa SrutAt vedaH mAm ayam pratarizyati // ŚivS _7.1,1.40cd/
   sargaśca pratisargaśca vaṃśo manvaṃtarāṇi ca // ŚivP_7.1,1.41ab/	sargaH ca pratisargaH ca vaMSaH manvaMtarANi ca // ŚivS _7.1,1.41ab/
   vaṃśānucaritaṃ caiva purāṇaṃ pañcalakṣaṇam // ŚivP_7.1,1.41cd/	vaMSAnucaritam ca eva purANam paQca lakzaNam // ŚivS _7.1,1.41cd/
   daśadhā cāṣṭadhā caitatpurāṇamupadiśyate // ŚivP_7.1,1.42ab/	daSaDA ca azwaDA ca etat purANam upadiSyate // ŚivS _7.1,1.42ab/
   502b	502b
   bṛhatsūkṣmaprabhedena munibhistattvavittamaiḥ // ŚivP_7.1,1.42cd/	bRhat sUkzma praBedena muniBiH tattva vittamEH // ŚivS _7.1,1.42cd/
   brāhmaṃ pādmaṃ vaiṣṇavaṃ ca śaivaṃ bhāgavataṃ tathā // ŚivP_7.1,1.43ab/	brAhmam pAdmam vEzNavam ca SEvam BAgavatam taTA // ŚivS _7.1,1.43ab/
   bhaviṣyaṃ nāradīyaṃ ca mārkaṃḍeyamataḥ param // ŚivP_7.1,1.43cd/	Bavizyam nAradIyam ca mArkaMxeyam atas param // ŚivS _7.1,1.43cd/
   āgneyaṃ brahmavaivartaṃ laiṃgaṃ vārāhameva ca // ŚivP_7.1,1.44ab/	Agneyam brahmavEvartam lEMgam vArAham eva ca // ŚivS _7.1,1.44ab/
   skāndaṃ ca vāmanaṃ caiva kaurmyaṃ mātsyaṃ ca gāruḍam // ŚivP_7.1,1.44cd/	skAndam ca vAmanam ca eva kOrmyam mAtsyam ca gAruxam // ŚivS _7.1,1.44cd/
   brahmāṃḍaṃ ceti puṇyo 'yaṃ purāṇānāmanukramaḥ // ŚivP_7.1,1.45ab/	brahma aMxam ca iti puNyaH ayam purANAnAm anukramaH // ŚivS _7.1,1.45ab/
   tatra śaivaṃ turīyaṃ yacchārvaṃ sarvārthasādhakam // ŚivP_7.1,1.45cd/	tatra SEvam turIyam yat SArvam sarva arTa sADakam // ŚivS _7.1,1.45cd/
   graṃtho lakṣapramāṇaṃ tadvyastaṃ dvādaśasaṃhitam // ŚivP_7.1,1.46ab/	graMTaH lakza pramANam tat vyastam dvAdaSa saMhitam // ŚivS _7.1,1.46ab/
   nirmitaṃ tacchivenaiva tatra dharmaḥ pratiṣṭhitaḥ // ŚivP_7.1,1.46cd/	nirmitam tat Sivena eva tatra DarmaH pratizWitaH // ŚivS _7.1,1.46cd/
   taduktenaiva dharmeṇa śaivāstraivarṇikā narāḥ // ŚivP_7.1,1.47ab/	tad uktena eva DarmeNa SEvAH trEvarNikAH narAH // ŚivS _7.1,1.47ab/
   tasmādvimukutimanvicchañcchivameva samāśrayet // ŚivP_7.1,1.47cd/	tasmAt vimukutim anvicCaQt Sivam eva samASrayet // ŚivS _7.1,1.47cd/
   tamāśrityaiva devānāmapi muktirna cānyathā // ŚivP_7.1,1.48ab/	tam ASritya eva devAnAm api muktiH na ca anyaTA // ŚivS _7.1,1.48ab/
   yadidaṃ śaivamākhyātaṃ purāṇaṃ vedasaṃmitam // ŚivP_7.1,1.49ab/	yat idam SEvam AKyAtam purANam veda saMmitam // ŚivS _7.1,1.49ab/
   tasya bhedānsamāsena bruvato me nibodhata // ŚivP_7.1,1.49cd/	tasya BedAn samAsena bruvataH me niboData // ŚivS _7.1,1.49cd/
   vidyeśvaraṃ tathā raudraṃ vaināyakamanuttamam // ŚivP_7.1,1.50ab/	vidyeSvaram taTA rOdram vEnAyakam anuttamam // ŚivS _7.1,1.50ab/
   aumaṃ mātṛpurāṇaṃ ca rudraikādaśakaṃ tathā // ŚivP_7.1,1.50cd/	Omam mAtR purANam ca rudra ekAdaSakam taTA // ŚivS _7.1,1.50cd/
   kailāsaṃ śatarudraṃ ca śatarudrākhyameva ca // ŚivP_7.1,1.51ab/	kElAsam Sata rudram ca Satarudra AKyam eva ca // ŚivS _7.1,1.51ab/
   sahasrakoṭirudrākhyaṃ vāyavīyaṃ tataḥparam // ŚivP_7.1,1.51cd/	sahasrakowirudra AKyam vAyavIyam tatas param // ŚivS _7.1,1.51cd/
   dharmasaṃjñaṃ purāṇaṃ cetyevaṃ dvādaśa saṃhitāḥ // ŚivP_7.1,1.52ab/	Darma saMjQam purANam ca iti evam dvAdaSa saMhitAH // ŚivS _7.1,1.52ab/
   vidyeśaṃ daśasāhasramuditaṃ graṃthasaṃkhyayā // ŚivP_7.1,1.52cd/	vidyeSam daSa sAhasram uditam graMTa saMKyayA // ŚivS _7.1,1.52cd/
   raudraṃ vaināyakaṃ caumaṃ mātṛkākhyaṃ tataḥ param // ŚivP_7.1,1.53ab/	rOdram vEnAyakam ca Omam mAtRkA AKyam tatas param // ŚivS _7.1,1.53ab/
   pratyekamaṣṭasāhasraṃ trayodaśasahasrakam // ŚivP_7.1,1.53cd/	pratyekam azwa sAhasram trayodaSa sahasrakam // ŚivS _7.1,1.53cd/
   raudrakādaśakākhyaṃ yatkailāsaṃ ṣaṭsahasrakam // ŚivP_7.1,1.54ab/	rOdrakAdaSaka AKyam yat kElAsam zaz sahasrakam // ŚivS _7.1,1.54ab/
   śatarudraṃ trisāhasraṃ koṭirudraṃ tataḥ param // ŚivP_7.1,1.54cd/	Sata rudram tri sAhasram kowi rudram tatas param // ŚivS _7.1,1.54cd/
   sahasrairnavabhiryuktaṃ sarvārthajñānasaṃyutam // ŚivP_7.1,1.55ab/	sahasrEH navaBiH yuktam sarva arTa jQAna saMyutam // ŚivS _7.1,1.55ab/
   sahasrakoṭirudrākhyamekādaśasahasrakam // ŚivP_7.1,1.55cd/	sahasrakowirudra AKyam ekAdaSa sahasrakam // ŚivS _7.1,1.55cd/
   catussahasrasaṃkhyeyaṃ vāyavīyamanuttamam // ŚivP_7.1,1.56ab/	catur sahasra saMKyeyam vAyavIyam anuttamam // ŚivS _7.1,1.56ab/
   dharmasaṃjñaṃ purāṇaṃ yattaddvādaśasahasrakam // ŚivP_7.1,1.56cd/	Darma saMjQam purANam yat tat dvAdaSa sahasrakam // ŚivS _7.1,1.56cd/
   tadevaṃ lakṣamuddiṣṭaṃ śaivaṃ śākhāvibhedataḥ // ŚivP_7.1,1.57ab/	tat evam lakzam uddizwam SEvam SAKA viBedataH // ŚivS _7.1,1.57ab/
   purāṇaṃ vedasāraṃ tadbhuktimuktiphalapradam // ŚivP_7.1,1.57cd/	purANam veda sAram tad Bukti mukti Pala pradam // ŚivS _7.1,1.57cd/
   vyāsena tattu saṃkṣiptaṃ caturviṃśatsahasrakam // ŚivP_7.1,1.58ab/	vyAsena tat tu saMkziptam caturviMSat sahasrakam // ŚivS _7.1,1.58ab/
   śaivantatra purāṇaṃ vai caturthaṃ saptasaṃhitam // ŚivP_7.1,1.58cd/	SEvantatra purANam vE caturTam sapta saMhitam // ŚivS _7.1,1.58cd/
   vidyeśvarākhyā tatrādyā dvitīyā rudrasaṃhitā // ŚivP_7.1,1.59ab/	vidyeSvara AKyA tatra AdyAH dvitIyAH rudra saMhitAH // ŚivS _7.1,1.59ab/
   tṛtīyā śatarudrākhyā koṭirudrā caturthikā // ŚivP_7.1,1.59cd/	tRtIyA SatarudrA AKyA kowi rudrA caturTikAH // ŚivS _7.1,1.59cd/
   pañcamī kathitā comā ṣaṣṭhī kailāsasaṃhitā // ŚivP_7.1,1.60ab/	paQcamI kaTitA ca umA zazWI kElAsa saMhitAH // ŚivS _7.1,1.60ab/
   saptamī vāyavīyākhyā saptaivaṃ saṃhitā iha // ŚivP_7.1,1.60cd/	saptamI vAyavIya AKyA sapta evam saMhitAH iha // ŚivS _7.1,1.60cd/
   vidyeśvaraṃ dvisāhasraṃ raudraṃ pañcaśatāyutam // ŚivP_7.1,1.61ab/	vidyeSvaram dvi sAhasram rOdram paQca Sata ayutam // ŚivS _7.1,1.61ab/
   triṃśattathā dvisāhasraṃ sārdhaikaśatamīritam // ŚivP_7.1,1.61cd/	triMSat taTA dvi sAhasram sArDa eka Satam Iritam // ŚivS _7.1,1.61cd/
   śatarudrantathā koṭirudraṃ vyomayugādhikam // ŚivP_7.1,1.62ab/	Satarudran taTA kowi rudram vyoma yuga aDikam // ŚivS _7.1,1.62ab/
   dvisāhasraṃ ca dviśataṃ tathomaṃ bhūsahasrakam // ŚivP_7.1,1.62cd/	dvi sAhasram ca dvi Satam taTA umam BU sahasrakam // ŚivS _7.1,1.62cd/
   catvāriṃśatsāṣṭaśataṃ kailāsaṃ bhūsahasrakam // ŚivP_7.1,1.63ab/	catvAriMSat sa azwaSatam kElAsam BU sahasrakam // ŚivS _7.1,1.63ab/
   catvāriṃśacca dviśataṃ vāyavīyamataḥ param // ŚivP_7.1,1.63cd/	catvAriMSat ca dvi Satam vAyavIyam atas param // ŚivS _7.1,1.63cd/
   catussāhasrasaṃkhyākamevaṃ saṃkhyāvibhedataḥ // ŚivP_7.1,1.64ab/	catussAhasra saMKyAkam evam saMKyA viBedataH // ŚivS _7.1,1.64ab/
   śrutamparamapuṇyantu purāṇaṃ śivasaṃjñakam // ŚivP_7.1,1.64cd/	Srutamparama puNyantu purANam Siva saMjQakam // ŚivS _7.1,1.64cd/
   catuḥsāhasrakaṃ yattu vāyavīyamudīritam // ŚivP_7.1,1.65ab/	catur sAhasrakam yat tu vAyavIyam udIritam // ŚivS _7.1,1.65ab/
   tadidaṃ vartayiṣyāmi bhāgadvayasamanvitam // ŚivP_7.1,1.65cd/	tat idam vartayizyAmi BAga dvaya samanvitam // ŚivS _7.1,1.65cd/
   nāvedaviduṣe vācyamidaṃ śāstramanuttamam // ŚivP_7.1,1.66ab/	na aveda viduze vAcyam idam SAstram anuttamam // ŚivS _7.1,1.66ab/
   na caivāśraddhadhānāya nāpurāṇavide tathā // ŚivP_7.1,1.66cd/	na ca eva aSradDa DAnAya na ApurANa vide taTA // ŚivS _7.1,1.66cd/
   parīkṣitāya śiṣyāya dhārmikāyānasūyave // ŚivP_7.1,1.67ab/	parIkzitAya SizyAya DArmikAya anasUyave // ŚivS _7.1,1.67ab/
   pradeyaṃ śivabhaktāya śivadharmānusāriṇe // ŚivP_7.1,1.67cd/	pradeyam Siva BaktAya Siva Darma anusAriNe // ŚivS _7.1,1.67cd/
   purāṇasaṃhitā yasya prasādānmayi vartate // ŚivP_7.1,1.68ab/	purANa saMhitA yasya prasAdAt mayi vartate // ŚivS _7.1,1.68ab/
   namo bhagavate tasmai vyāsāyāmitatejase // ŚivP_7.1,1.68cd/	namaH Bagavate tasmE vyAsAya amita tejase // ŚivS _7.1,1.68cd/
   iti śrīśivamahāpurāṇe saptamyāṃ vāyavīyasaṃhitāyāṃ pūrvakhaṇḍe	iti SrI Siva mahApurANe saptamyAm vAyavIya saMhitAyAm pUrva KaNxe
   vidyāvatārakathanaṃ nāmaprathamo 'dhyāyaḥ	vidyA avatArakaTanam nAmapraTamaH aDyAyaH
   Chapter 2	ChapteH 2
   sūta uvāca	sUtaH uvAca
   purā kālena mahatā kalpetīte punaḥpunaḥ // ŚivP_7.1,2.1ab/	purA kAlena mahatA kalpa iti ite punar punar // ŚivS _7.1,2.1ab/
   asminnupasthite kalpe pravṛtte sṛṣṭhikarmaṇi // ŚivP_7.1,2.1cd/	asmin= upasTite kalpe pravRtte sRzWi karmaNi // Śivj _7.1,2.1cd/
   pratiṣṭhitāyāṃ vārtāyāṃ prabuddhāsu prajāsu ca // ŚivP_7.1,2.2ab/	pratizWitAyAm vArtAyAm prabudDAsu prajAsu ca // ŚivS _7.1,2.2ab/
