   saṅkalpa-kalpa-druma	saFkalpa--kalpa-druma
   yaḥ sva-nāmādyam āsādya gargād vargān nijān anu |	yaH sva-nAma-Adyam AsAdya gargAt vargAn nijAn anu |
   harṣaṃ vavarṣa nyag jalpann om itthaṃ somajin-mukhaḥ ||20||	harzam vavarza nyak jalpan om itTam somajin-muKaH ||20||
   yas tṛṇāvartam āsādya sadyaḥ saṃvarta-vartanam |	yaH tRNAvartam AsAdya sadyas saMvarta-vartanam |
   saṃvartayaṃs tam āninye viparīta-parītatām ||21||	saMvartayan tam Aninye viparIta--parIta-tAm ||21||
   yaḥ śrī-rāmaṃ nijārāmaṃ saṅgacchann accha-khelayā |	yaH SrI-rAmam nija-ArAmam saFgacCan acCa-KelayA |
   bālān ānandayan nanda-rāja-keśari-nandanaḥ ||22||	bAlAn Anandayan nanda--rAja--keSari--nandanaH ||22||
   yaḥ puṇḍraṃ rocanārucyaṃ kañcukaṃ kāñcana-prabham |	yaH puNxram rocanA-rucyam kaQcukam kAQcana--praBam |
   dadhan mātus tat tadāsīd utsaṅgasī yad ājani ||23||	daDan mAtuH tat tadA-AsIt utsaFgasI yat Ajani ||23||
   yaḥ kurvan kardama-krīḍāṃ nirvyājam anayā dhṛtaḥ |	yaH kurvan kardama--krIxAm nirvyAjam anayA DRtaH |
   dvayoḥ sukhena duḥkhena snigdhān digdhān vinirmame ||24||	dvayoH suKena duHKena snigDAn digDAn vinirmame ||24||
   yaḥ samaṃ sahajātena raṅgann aṅgaṇa-kardame |	yaH samam sahajAtena raFgan aFgaNa-kardame |
   kiñcit kātara-dhīḥ paśyan mātaraṃ drutam īyivān4 ||25||	kiQcid kAtara-DIH paSyan mAtaram drutam IyivAn4 ||25||
   yas tayāliṅgitaḥ sā smitaṃ stanyam ananya-dhīḥ |	yaH tayA-AliFgitaH sA smitam stanyam ananya-DIH |
   apāyi suṣṭhu cāpyāyi smitaṃ bibhrad udaikṣi ca ||26||	apAyi suzWu ca-apyAyi smitam biBrat udEkzi ca ||26||
   yas tadā mātur āninye sarvaṃ vismṛti-vismṛtam |	yaH tadA mAtuH Aninye sarvam vismRti--vismRtam |
   vadann iva sa5saṃmugdha-bāla-siṃhāvalokanaḥ ||27||	vadan iva sa5-saMmugDa---bAla--siMha-avalokanaH ||27||
   yas tadā mṛttikāṃ bhakṣann alakṣyam anayā dhṛtaḥ |	yaH tadA mRttikAm Bakzan alakzyam anayA DRtaH |
   dayayā kiṃ bhayād asyās trātaḥ srāg yoga-māyayā ||28||	dayayA kim BayAt asyAH trAtaH srAj yoga-mAyayA ||28||
   yaḥ śrī-rāmānvayī kāmān nanāṭa saha-pāṭavam6 |	yaH SrI-rAma-anvayI kAmAn nanAwa saha-pAwavam6 |
   vṛddhānāṃ sukham ṛddhānāṃ kurvāṇas tāla-pālanam ||29||	vRdDAnAm suKam RdDAnAm kurvANaH tAla--pAlanam ||29||
   yaḥ krīṇan kara-vibhraṣṭa-mūlyatve 'py amitaṃ phalam |	yaH krINan kara--viBrazwa--mUlya-tve api amitam Palam |
   phalāny ananyalabhyoani dade vikrīṇatīṃ prati ||30||	PalAni ananyalaByoani dade vikrINatIm prati ||30||
   1. (a) oṃ mārāmaṃ; 2. (b) sarvatra; 3. this verse missing from (b); 4. (b)	1. (a) om mArAmaM; 2. (b) sarvatra; 3. TiH verse missinc from (b); 4. (b)
   iyivān; 5. (b) suo; 6. (b) sahapāṭavaḥ	iyivAn; 5. (b) suo; 6. (b) saha-pAwavaH
   yas tarṇakān purā muñcann añcan bāla-balānvitaḥ |	yaH tarNakAn purA muQcan aQcan bAla--bala-anvitaH |
   dohānukaraṇaṃ kurvan sukha-dohāya k ptavān ||31||	doha-anukaraNam kurvan suKa-dohAya k ptavAn ||31||
   yaḥ karṣann api vatsasya pucchaṃ saṅkarṣaṇānvitaḥ |	yaH karzan api vatsasya pucCam saFkarzaNa-anvitaH |
   tena karṣaṃ vrajan bhrātṛ-bhāyābhiḥ paryahasyata ||32||	tena karzam vrajan BrAtR-BAyABiH paryahasyata ||32||
   yaḥ kurvann api gavyānāṃ cauryaṃ bhavyāya didyute |	yaH kurvan api gavyAnAm cOryam BavyAya didyute |
   yasya tābhir vivādaś ca sukha-saṃvāda-siddhaye ||33||	yasya tABiH vivAdaH ca suKa--saMvAda--sidDaye ||33||
   yaḥ svaṃ dāmodaraṃ śrṇvan sāmoda-vrīḍam añcati |	yaH svam dAmodaram SrNvan sa-Amoda-vrIxam aQcati |
   prasū-śikṣāmaya-snehād bālya1svehāntarād api ||34||	prasU--SikzAm-aya--snehAt bAlya1sveha-antarAt api ||34||
   yaḥ suṣṭhu khelayāviṣṭaḥ sva-mātrā praṇayān muhuḥ |	yaH suzWu KelayA-AvizwaH sva--mAtrA praNayAt muhur |
   kṛṣṇa kṛṣṇāravindākṣety2 āhūto 'py āśu nāyayau ||35||	kRzNa kRzNa-aravindAkzA-ity2 AhUtaH api ASu na-AyayO ||35||
   yaḥ śrī-vṛndāvanaṃ prāñcan bhrātrā saha vanāspadam |	yaH SrI--vRndAvanam prAQcan BrAtrA saha vana-Aspadam |
   hāsayan bhāsayāmāsa3 mātarau yātarau mithaḥ ||36||	hAsayan BAsayAmAsa3 mAtarO yAtarO miTas ||36||
   yaḥ śrī-vṛndāvane labdhe prārabdha-krīḍam anvabhūt |	yaH SrI--vRndAvane labDe prArabDa--krIxam anvaBUt |
   rāma-dāmādibhiḥ sakhyaṃ tat-prakhyaṃ bhramarādibhiḥ ||37||	rAma--dAma-AdiBiH saKyam tat--praKyam Bramara-AdiBiH ||37||
   yaḥ śrī-rāmeṇa tatrāpi vīkṣya prītim agāt parām |	yaH SrI-rAmeNa tatra-api vIkzya prItim agAt parAm |
   vṛndāvanaṃ govardhanaṃ yamunā-pulināni ca4 ||38||	vRndAvanam govarDanam yamunA--pulinAni ca4 ||38||
   yaḥ prāpta-madhya-kaumāraḥ pitrā sārdhaṃ vanaṃ vrajan |	yaH prApta--maDya-kOmAraH pitrA sArDam vanam vrajan |
   pṛcchan nāmāni dhāmāni paśyan mudam avāptavān ||39||	pRcCan nAmAni DAmAni paSyan mudam avAptavAn ||39||
   yaḥ krīḍan śiśur avrīḍam agrajena vrajendrajaḥ |	yaH krIxan SiSuH avrIxam agrajena vraja-indra-jaH |
   jalpājalpi mithaś cakre hastāhasti padāpadi ||40||	jalpA-jalpi miTas cakre hastAhasti pada-Apadi ||40||
   yaś cārayan nijān vatsān vatsakaṃ nāma dānavam |	yaH cArayat nijAn vatsAn vatsakam nAma dAnavam |
   bakaṃ bakavad-ākāraṃ dārayan muktam ārdayat ||41||	bakam baka-vat--AkAram dArayan muktam Ardayat ||41||
   yaḥ svair viharaṇaṃ cakre meṣī-haraṇa-saṃjñitam |	yaH svEH viharaNam cakre mezI--haraNa--saMjQitam |
   vyomaṃ ca vyomatāṃ ninye kurvantaṃ pratilomatām ||42||	vyomam ca vyoma-tAm ninye kurvantam pratiloma-tAm ||42||
   yaḥ kurvaṃs tam aghaṃ khaṇḍaṃ vidher agham ataḥ param |	yaH kurvan tam aGam KaNxam viDeH aGam atas param |
   ninye sva-jyotiṣi prāñcaṃ tad arvāg bhakti-tejasi ||43||	ninye sva--jyotizi prAQcam tat arvAk Bakti--tejasi ||43||
   yaḥ kaumāram atikramya ramya-paugaṇḍa-maṇḍanaḥ |	yaH kOmAram atikramya ramya--pOgaNxa-maNxanaH |
   cakre gopālatāṃ gacchan loka-pālaka-pālatām ||44||	cakre gopAla-tAm gacCan loka-pAla-ka-pAla-tAm ||44||
   yaḥ kāla-kūṭa-niṣpiṣṭa-cetanān vraja-ketanān |	yaH kAla--kUwa-nizpizwa--cetanAn vraja--ketanAn |
   cetayāmāsa kṛpayā locanāmṛta-vṛṣṭibhiḥ ||45||	cetayAmAsa kRpayA locana-amRta--vRzwiBiH ||45||
   yaḥ kāliyam api vyaktaṃ nijāṅghri-yuga-mudrayā |	yaH kAliyam api vyaktam nija-aFGri--yuga--mudrayA |
   vyañjan mameti śaraṇāgatān anyān arañjayat ||46||	vyaQjan mama-iti SaraNa-AgatAn anyAn araQjayat ||46||
   yaḥ śukena vraja-premāspadatvenettham īritaḥ |	yaH Sukena vraja--prema-Aspada-tvena-itTam IritaH |
   kṛṣṇe 'rpitātma-suhṛd ity ādi procya praśocya ca ||47||	kRzNe arpita-Atma--suhRd iti Adi procya praSocya ca ||47||
   1. (b) bālyaṃ; 2. BhP x.11.15; 3. (b) bhāṣayāmāsa; 4. BhP x.11.36	1. (b) bAlyan; 2. BhP x.11.15; 3. (b) BAzayAmAsa; 4. BhP x.11.36
   ābāla-vṛddha-vanitāḥ sarve 'ṅga1 paśu-vṛttayaḥ |	AbAla--vRdDa--vanitAH sarve aFga1 paSu--vRttayaH |
   nirjagmur gokulād dīnāḥ kṛṣṇa-darśana-lālasāḥ ||48||	nirjagmuH gokulAt dInAH kRzNa--darSana--lAlasAH ||48||
   2[mahākulakāntar yugmakam]2	2[-mahA-kula-ka-antar yugmakam]2
   yas tasmin sambhrame rodhān niṣkrame3 vraja-kanyakāḥ |	yaH tasmin samBrame roDAn nizkrame3 vraja--kanyakAH |
   mene tāḥ prathamaṃ paśyan svaṃ kṛtārthaṃ kṛtāv iha ||49||	mene tAH praTamam paSyan svam kRtArTam kRtO iha ||49||
   yas tadā dahanaṃ goṣṭha-premnākṛṣṭa-vivecanaḥ |	yaH tadA dahanam gozWa--premna-AkRzwa--vivecanaH |
   premnas tasya parīkṣārtham iva drāg apibat prabhuḥ ||50||	premnaH tasya parIkzA-arTam iva drAk apibat praBuH ||50||
   yaḥ sparśād anṛtīkurvan viṣaṃ viṣadharaṃ ca tam |	yaH sparSAt anRtIkurvan vizam vizaDaram ca tam |
   svāśritān amṛtīkartuṃ kṛtī kaimutyam aikṣayat ||51||	sva-ASritAn amRtIkartum kRtI kEmutyam Ekzayat ||51||
   tas tu bhāṇḍīram āsādya malla-tāṇḍavam ācaran |	taH tu BANxIram AsAdya malla--tANxavam Acaran |
   subhadra-4maṇḍalī-bhadra-bhadravardhana-gobhaṭāḥ ||52||	suBadra-4-maNxalI-Badra-Badra-varDana--goBawAH ||52||
   yakṣendra-bhaṭa ity5 evaṃ k pta-saṅgaiḥ kumārakaḥ |	yakza-indra-BawaH ity5 evam k pta-saFgEH kumArakaH |
   savayobhiḥ sukhaṃ lebhe yatra kāścit kumārikāḥ ||53||	savayoBiH suKam leBe yatra kAScid kumArikAH ||53||
   gopālī pālikā dhanyā viśākhā dhyāna-niṣṭhikā6 |	gopAlI pAlikA DanyA viSAKA DyAna--nizWikA6 |
   rādhānurādhā somābhā tārakā daśamī tathā7 ||54||	rADA-anurADA soma-ABA tArakAH daSamI taTA7 ||54||
   kautukāya gatā yāsu mallī mallīti narma-kṛt |	kOtukAya gatA yAsu mallI mallI-iti narma--kRt |
   madhvājya-nibham āsvādya yābhiḥ k ptaṃ sma mādyati ||55||	maDu-Ajya--niBam AsvAdya yABiH k ptam sma mAdyati ||55||
   [pūrvavan mahākulakāntaś caturbhir anvayaḥ]	[pUrvavat mahA-kula-kAntaH caturBiH anvayaH]
   yaḥ kāmye kāmyake gatvā saraḥ sāgara-sannibhaṃ |	yaH kAmye kAmyake gatvA saraH sAgara--sanniBam |
   laṅkākalpākṛtākalpaṃ nityaṃ dīvyati saṅgibhiḥ ||56||	laFkA-kalpa-akRta-Akalpam nityam dIvyati saFgiBiH ||56||
   yaḥ kaiśoraṃ tataḥ sajjan vasantam iva ṣaṭpadaḥ |	yaH kESoram tatas sajjan vasantam iva zawpadaH |
   lolayann ātmanaś cittaṃ lolayāmāsa padminīḥ ||57||	lolayan AtmanaH cittam lolayAmAsa padminIH ||57||
   yas tā vraja-ramā nitya-preyasīḥ kutukātmanā |	yaH tAH vraja-ramAH nitya--preyasIH kutuka-AtmanA |
   līlā-śaktyānyathā-bhānaṃ nītā guptam arañjayat ||58||	lIlA--SaktyA-anyaTA-A-BAnam nItA guptam araQjayat ||58||
   yaḥ śrī-rāmeṇa dhenūnāṃ rakṣāyāṃ dhenukāsuram |	yaH SrI-rAmeNa DenUnAm rakzAyAm Denuka-asuram |
   nighnan vighnam apākārṣīd akārṣīd abhayaṃ divi ||59||	niGnan viGnam apAkArzIt akArzIt aBayam divi ||59||
   yaś cakre dhenum ādāya sāyaṃ vrajam upāgataḥ |	yaH cakre Denum AdAya sAyam vrajam upAgataH |
   pūrva-rāgaṃ kiśorīṇām apūrvaṃ vyativīkṣayā ||60||	pUrva-rAgam kiSorINAm apUrvam vyativIkzayA ||60||
   yaḥ pūrvaṃ lajjayā dūta-kāma-lekhādy-upāyatām |	yaH pUrvam lajjayA dUta-kAma--leKA-Adi--upAya-tAm |
   vijahan nija-netrāntaṃ ninye nūtana-dūtatām ||61||	vijahan nija--netra-antam ninye nUtana-dUta-tAm ||61||
   yas tāsu sphuṭam āsajya virajya laghu sarvataḥ |	yaH tAsu sPuwam Asajya virajya laGu sarvatas |
   tad-aṅga-saṅga-bhikṣārthaṃ veṇu-śikṣām asādhayat ||62||	tad--aFga--saFga-BikzA-arTam veNu-SikzAm asADayat ||62||
   yaś cetanācetanāliṃ karṣann apy āśu veṇunā |	yaH cetanA-cetana-Alim karzan api ASu veNunA |
   tāḥ kraṣṭuṃ suṣṭhu nāśaknod yatas tā lajjayā sitāḥ ||63||	tAH krazwum suzWu na-aSaknot yatas tAH lajjayA sitAH ||63||
   1. (b) sarvāṅgo; 2. missing from (b); 3. (b) niṣkrāntā; 4. (b) śubhadra;	1. (b) sarva-aFgo; 2. missinc from (b); 3. (b) nizkrAntA; 4. (b) SuBa-dra;
   5. BRS iii.3.23; 6. (b) odhyānaniṣṭhikāḥ; 7. BhaviṣyaP iv (cf. KS p112); 8	5. BRH iii.3.23; 6. (b) oDyAnanizWikAH; 7. BhavizyaP iv (cf. KH p112); 8
   yaḥ śrī-bhāṇḍīra-nāmānaṃ baṭaṃ śaśvad aṭann adhāt |	yaH SrI--BANxIra-nAmAnam bawam SaSvat awan aDAt |
   nānā-krīḍāṃ sa-nīḍānām adabhraṃ bibhrad utsavam ||64||	nAnA--krIxAm sa-nIxAnAm adaBram biBrat utsavam ||64||
   yaḥ śrīdāmnā sudāmnā ca bhadrasenārjunādibhiḥ |	yaH SrI-dAmnA sudAmnA ca Badrasena-arjuna-AdiBiH |
   khelā-dambha-balāc cakre tat-pralamba-pralambhanam ||65||	KelA-damBa--balAt cakre tat--pralamba--pralamBanam ||65||
   yaḥ pralambaṃ lambamānaṃ jīvanād bala-tejasā |	yaH pralambam lambamAnam jIvanAt bala--tejasA |
   vidhāya vidadhe tīvrān1 navaśaktiṃ davīyasīm ||67||	viDAya vidaDe tIvrAn1 nava-Saktim davIyasIm ||67||
   yaḥ kānane sudīrghāhe nidāghe kṛta-kelikaḥ |	yaH kAnane su-dIrGa-ahe nidAGe kRta-kelikaH |
   aparāhṇe preyasīnām ānandaṃ vidadhe yathā |68||	aparAhNe preyasInAm Anandam vidaDe yaTA |68||
   gopīnāṃ paramānandam āsīd govinda-darśane |	gopInAm parama-Anandam AsIt govinda--darSane |
   kṣaṇaṃ yuga-śatam iva yāsāṃ yena vinābhavat2 ||69||	kzaNam yuga-Satam iva yAsAm yena vinA-aBavat2 ||69||
   [pūrvavad yugmakam]	[pUrvavat yugmakam]
   yaḥ sadā dṛṣṭi-kṛd vṛṣṭi-varṣā-rūpa-niśā-kṣaye |	yaH sadA dRzwi-kRt vRzwi-varzA--rUpa--niSA--kzaye |
   śaradaṃ prātar āsādya priyāṇām ahṛtāndhatām ||70||	Saradam prAtar AsAdya priyANAm ahRta-anDatAm ||70||
   yaḥ śrīgovardhanapremasvapremadhanajīviṣu |	yaH SrI-govarDana-prema-sva-prema-Dana-jIvizu |
   sva-gotreṣv api sañcāryānyān apy āryān aśikṣayat ||71||	sva-gotrezu api saQcArya-anyAn api AryAn aSikzayat ||71||
   yaḥ śrī-govardhanaṃ bibhrac chakra-vibhraṣṭa-garvatām |	yaH SrI-govarDanam biBrat Sakra--viBrazwa--garvatAm |
   ninye goṣṭhaṃ yad unninye śreṣṭhaṃ sva-preṣṭhajātiṣu ||72||	ninye gozWam yat unninye SrezWam sva--prezWa-jAtizu ||72||
   śrī-govindatāṃ vindann avindad viśva-nanditām |	SrI---govindatAm vindan avindat viSva-nanditAm |
   yan mithaḥ śakra-jantūnāṃ naitryāvyadhita śambhutām ||73||	yat miTas Sakra--jantUnAm nEtrya-avyaDita SamBu-tAm ||73||
   yaḥ pāśi-lokād ānīya pitaraṃ mātṛ-jīvanam |	yaH pASi--lokAt AnIya pitaram mAtR-jIvanam |
   ajīvayad vrajaṃ sarvaṃ taṃ vinā gata-jīvanam ||74||	ajIvayat vrajam sarvam tam vinA gata--jIvanam ||74||
   yaḥ svānāṃ vraja-lokānāṃ hṛdokās tān viśokayan |	yaH svAnAm vraja--lokAnAm hRdokAH tAn viSokayan |
   teṣāṃ svasya ca golokaṃ nitya-lokam alokayat ||75||	tezAm svasya ca golokam nitya--lokam alokayat ||75||
   yaś citta-vāsasī nītvā kumārīṇāṃ paraṃ dade |	yaH citta--vAsasI nItvA kumArINAm param dade |
   na pūrvaṃ yena tā baddhāḥ sambaddhā nityam ātmani ||76||	na pUrvam yena tAH badDAH sambadDA nityam Atmani ||76||
   yaḥ sva-vaṃśikayā moha-bādhitāṃ rādhikām anu |	yaH sva--vaMSikayA moha--bADitAm rADikAm anu |
   pūrṇāḥ pulindya ity3ādi vṛttaṃ vṛttaṃ vinirmame ||77||	pUrNAH pulindyaH iti-3Adi vRttam vRttam vinirmame ||77||
   yaḥ sakhīn akhilāgrīyān grīṣmāntaḥ prema-sampadā |	yaH saKIn aKila-agrIyAn grIzma-antar prema--sampadA |
   saṃmadād ājuhāvāmūn kramād evaṃ mudāṃ pradaḥ ||78||	saMmadAt AjuhAva-amUn kramAt evam mudAm pradaH ||78||
   he stokakṛṣṇa he aṃśo śrīdāman subalārjuna |	he stoka-kRzNa he aMSo SrIdAman subala-arjunaH |
   viśāla vṛṣabhaujasvin devaprastha varūthapa4 ||79||	viSAla vRzaBa-ojasvin deva-prasTa varUTapa4 ||79||
   evam āhūya bhūyas tān narma-sūnṛta-gīr vṛtam |	evam AhUya BUyas tAn narma-sUnRta--gIH vRtam |
   āha vṛndāvana-sthānāṃ sthāvarāṇāṃ varāṃ gatim ||80||	Aha vRndAvana--sTAnAm sTAvarANAm varAm gatim ||80||
   [pūrvavat tribhiḥ]	[pUrvavat triBiH]
   1. (b) tīvrāṃ; 2. BhP x.19.16; 3. BhP x.21.17; 4. BhP x.2.31.	1. (b) tIvrAn; 2. BhP x.19.16; 3. Bhj x.21.17; 4. BhP x.2.31.
   yas tāsāṃ yajña-patnīnāṃ mahima-sneha-vṛddhaye |	yaH tAsAm yajQa--patnInAm mahi-ma--sneha--vRdDaye |
   bubhukṣāṃ sakhibhir vyañjann anna-bhikṣāṃ1 vinirmame ||81||	buBukzAm saKiBiH vyaQjan anna-BikzAM1 vinirmame ||81||
   yas tatrāśoka-vanyāyāṃ dhanyāyāṃ sakhibhiḥ saha |	yaH tatra-aSoka-vanyAyAm DanyAyAm saKiBiH saha |
   krīḍan nirvarṇitas tābhiḥ śyāmam ityādi2 varṇitaḥ ||82||	krIxan nirvarNitaH tABiH SyAmam ityAdi2 varNitaH ||82||
   yaḥ sadā narma-śarmārthī madhumaṅgala-nāminam |	yaH sadA narma--Sarma-arTI maDu-maFgala-nAminam |
   narma-mantriṇam āsajya bhojyan mitrāṇy arañjayat ||83||	narma--mantriNam Asajya Bojyan mitrANi araQjayat ||83||
   yaḥ sva-jīvana-jīvānāṃ cātakīnām ivāmbudaḥ |	yaH sva--jIvana--jIvAnAm cAtakInAm iva-ambudaH |
   sva-jīvanena tādātmyam akarod vraja-subhruvām ||84||	sva-jIvanena tAdAtmyam akarot vraja--suBruvAm ||84||
   yaḥ pareṣāṃ hrepaṇatāṃ śakti-saṅkhyālpatāṃ vidan |	yaH parezAm hrepaNatAm Sakti--saFKyA-alpa-tAm vidan |
   guptāgaṇya-svakāntāsu vaṃśī-dūtīm amanyata ||85||	guptA-gaNya--sva-kAntAsu vaMSI-dUtIm amanyata ||85||
   yaś cirād eva muralī-śikṣāyāṃ vīkṣya pūrṇatām |	yaH cirAt eva muralI-SikzAyAm vIkzya pUrNa-tAm |
   tayā mādya-priyās tūrṇaṃ pūrṇaṃ mene svam añjasā ||86||	tayA mAdya--priyAH tUrNam pUrNam mene svam aQjasA ||86||
   yas tyāga-vyāja-bhṛn-narma vyājahāra priyāḥ prati |	yaH tyAga--vyAja--BRn-narma vyAjahAra priyAH prati |
   pratinarma-priyā-vṛndād vindan śarmānvavindata ||87||	pratinarma--priyA--vRndAt vindan Sarma-anvavindate ||87||
   yaḥ sadā yoga-māyākhyāṃ śaktim āsaktitaḥ śritaḥ |	yaH sadA yoga-mAyA-AKyAm Saktim AsaktitaH SritaH |
