   Ālambanaparīkṣāvṛttiḥ (Āpv)	Ālambana parIkzA vRttiH (Āpv)
   aṇunāṃ parihāre hi tadābhajñānaviplavāt // Āv_5 //	aNunAm parihAre hi tad ABajQAna viplavAt // Āu _5 //
   dravyasatsu apanītasambandhiṣvapi[nīla ] varṇādivat svabuddhirna tyajyate	dravya satsu apanIta sambanDizu api[nIla ] varNa Adi vat sva budDiH na tyajyate
   / tathā sati indriyabuddhīnāṃ viṣayo bahirnāstītyupapadyate //	/ taTA sati indriya budDInAm vizayaH bahis na asti iti upapadyate //
   yadantarheyarūpaṃ tu bahirvadavabhāsate /	yat antar heya rUpam tu bahis vadavaBAsate /
   so 'rthaḥ	saH arTaH
   vāhyārthe 'vidyamāne antassadeva vahirvadavabhāsanamālambanapratyayaḥ /	vAhya arTe avidyamAne antassat eva vahiH vat avaBAsanam Alambana pratyayaH /
   vijñānarūpatvāttatpratyayatayāpi ca // Āv_6 //	vijQAna rUpa tvAt tat pratyaya tayA api ca // Āu _6 //
   antarvijñāna marthatayāvabhāsate tato utpadyate ceti	antar vijQAna marTa tayA avaBAsate tatas utpadyate ca iti
   dharmatādvayaviśiṣṭamityataḥ antassadevālambanapratyayaḥ //	DarmatA dvaya viSizwam iti atas antassa deva Alambana pratyayaH //
   yadi tāvadevamavabhāsa eva vedyate / kathaṃ tadekadeśaḥ sahajātaḥ	yadi tAvat evam avaBAsaH eva vedyate / kaTam tat eka deSaH sahajAtaH
   pratyayaḥ /	pratyayaH /
   ekāṃśaḥ pratyayo 'vītāt,	eka aMSaH pratyayaH avItAt ,
   sahabhūto 'pi avyabhicārāt anyajātasya pratyayo bhavatī // naiyāyikāstu	saha BUtaH api avyaBicArAt anya jAtasya pratyayaH BavatI // nEyAyikAH tu
   evamāhuḥ / krameṇa jāyamānayorhetuhetumatoḥ bhavābhāvatadvattā lakṣaṇa	evam AhuH / krameNa jAyamAnayoH hetu hetumatoH Bava aBAva tadvat tA lakzaNa
   miti // athavā	miti // aTavA
   śaktyarpaṇāt krameṇa [vā] /	Sakti arpaNAt krameNa [vA] /
   krameṇāpi so 'rthāvabhāsaḥ svānurūpakāryotpattaye śaktiṃ vijñānadhārāṃ	krameNa api saH arTa avaBAsaH sva anurUpa kArya utpattaye Saktim vijQAna DArAm
   karotītyavirodhaḥ // yadi tarhi svarūpamevālambanapratyayaḥ / kathaṃ	karoti iti aviroDaH // yadi tarhi svarUpam eva Alambana pratyayaH / kaTam
   tat[rūpaṃ] cakṣuścopādāya cakṣurvijñānamutpadyate // [iti] /	tat[ rUpaM] cakzuH ca upAdAya cakzuH vijQAnam utpadyate // [iti] /
   sahakārivaśādyaddhi śaktirūpaṃ [tat] indriyam // Āv_7 //	sahakAri vaSAt yat hi Sakti rUpam [tat] indriyam // Āu _7 //
   indriyaṃ svakāryāt śaktirūpamevānumīyate na tu bhautikam /	indriyam sva kAryAt Sakti rUpam eva anumIyate na tu BOtikam /
   sā cāviruddhā vijñapteḥ	sA ca avirudDAH vijQapteH
   śaktistu vijñāne vāstu / anirdeśye svasya rūpe vāstu kāryotpattau na	SaktiH tu vijQAne vA astu / anirdeSye svasya rUpe vA astu kArya utpattO na
   viśeṣaḥ /	viSezaH /
   evaṃ viṣayarūpakam /	evam vizaya rUpakam /
   pravartete 'nādikālaṃ śaktiścānyonyahetuke // Āv_8 //	pravartete anAdi kAlam SaktiH ca anyonya hetuke // Āu _8 //
   cakṣurākhyāṃ śaktimantaḥ rūpañcopādāya vijñānamarthāvabhāsi	cakzuH AKyAm SaktimantaH rUpaQca upAdAya vijQAnam arTa avaBAsi
   ālambanādavibhaktamutpadyate / idaṃ dvayamapi anādikālamanyonyahetukam /	AlambanAt aviBaktam utpadyate / idam dvayam api anAdi kAlam anyonya hetukam /
   kadācit vijñānasya śaktiparipākāt viṣayākāratā bhavati / kadācicca	kadAcid vijQAnasya Sakti paripAkAt vizaya AkAra tA Bavati / kadAcid ca
   tadākāraśaktiḥ / vijñānaṃ sā ca ubhayamanyatvenānanyatvena ca	tad AkAra SaktiH / vijQAnam sA ca uBayam anya tvena ananya tvena ca
   yatheṣṭamucyatām / evamantarālambanaṃ dharmatādvayaviśiṣṭatvāt viṣayatayā	yaTezwam ucyatAm / evam antara Alambanam DarmatA dvaya viSizwa tvAt vizaya tayA
   upapadyate //	upapadyate //
   ityācāryadiṅnāgakṛtā ālambanaparīkṣāvṛttiḥ samāptā	iti AcArya diS nAga kRtA Alambana parIkzA vRttiH samAptA
