   Śaraṇagamanadeśanā	ŚaraNa gamana deSanA
   tatra ādīnavau dvau / śaraṇacyutirajñānaṃ vā / cyavanaṃ cyutirvā yathā	tatra AdInavO dvO / SaraNa cyutiH ajQAnam vA / cyavanam cyutiH vA yaTA
   candrakīrtipādānām 	candra kIrti pAdAnAm  
   gṛhītvā sadadhiṣṭhānaṃ punarhīnasamāśraye /	gRhItvA sat aDizWAnam punar hIna samASraye /
   cyutipakṣāśrayatvāt so yāti sajjanahāsyatām // 4 //	cyuti pakza ASraya tvAt saH yAti sat jana hAsyatAm // 4 //
   ityuktirnidarśanamātram /	iti uktiH nidarSana mAtram /
   tatrārthastu yathoktaṃ bhagavatā 	tatra arTaH tu yaToktam BagavatA 
   "bahavaḥ śaraṇaṃ yānti parvatāṃśca vanāni ca /	"bahavaH SaraNam yAnti parvatAn= ca vanAni ca /
   ārāmānvṛkṣāṃścaityāṃśca manuṣyā bhayavarjitāḥ // 5 //	ArAmAn vRkzAn= cEtyAn= ca manuzyAH Baya varjitAH // 5 //
   na tvetaccharaṇaṃ śreṣṭhaṃ naitaccharaṇamuttamam /	na tu etat SaraNam SrezWam na etat SaraNam uttamam /
   naitaccharaṇamāgamya sarvaduḥkhātpramucyate // 6 //	na etat SaraNam Agamya sarva duHKAt pramucyate // 6 //
   yastu buddhaṃ ca dharma ca saṃghaṃ ca śaraṇaṃ gataḥ /	yaH tu budDam ca Darma ca saMGam ca SaraNam gataH /
   catvāri cāryasatyāni paśyati prajñayā yadā // 7 //	catvAri ca Arya satyAni paSyati prajQayA yadA // 7 //
   duḥkhaṃ duḥkhasamutpādaṃ duḥkhasya samatikramam /	duHKam duHKa samutpAdam duHKasya samatikramam /
   ārya cāṣṭāṅgikaṃ mārga kṣemaṃ nirvāṇagāminam // 8 //	Arya ca azwa AFgikam mArga kzemam nirvANa gAminam // 8 //
   etaddhi śaraṇaṃ śreṣṭhaṃ etaccharaṇamuttamam /	etat hi SaraNam SrezWam etat SaraNam uttamam /
   etaccharaṇamāgamya sarvaduḥkhāt pramucyate // 9 // iti /	etat SaraNam Agamya sarva duHKAt pramucyate // 9 // iti /
   śaraṇagamamārthaḥ tādṛśaḥ /	SaraNa gamama arTaH tAdRSaH /
   tatrānuśaṃsāstimnaḥ / hetukālānuśaṃsā mārgakālānuśaṃsā phalakālānuśaṃsā ca	tatra anuSaMsAH timnaH / hetu kAla anuSaMsA mArga kAla anuSaMsA Pala kAla anuSaMsA ca
   / hetukālā ehikī āmuṣmikī ca / ehikānuśaṃsā aṣṭamahābhayamokṣaḥ,	/ hetukAlA ehikI AmuzmikI ca / ehika anuSaMsAH azwa mahA Baya mokzaH,
   anantarāyaḥ, śāsanapriyadevasāhāyyam, maraṇakāle ca cittaharṣādi /	anantarAyaH, SAsana priya deva sAhAyyam, maraNa kAle ca citta harza Adi /
   āmuṣmikī tu saṃsāradurgati duḥkhebhya uddharaṇam,	AmuzmikI tu saMsAra durgati  duHKeByaH udDaraNam,
   nirvāṇābhyudayasukhapradattvañca / mārgānuśaṃsā tu	nirvANa aByudaya suKa pradattvaQca / mArga anuSaMsA tu
   catu (rārya )satyāryāṣṭāṅgikamārga saptabodhyaṅgādiyojanam / phalānusaṃsā	catu (rArya  )sati Arya azwAFgika mArga  sapta boDi aFga Adi yojanam / Pala anusaMsA
   dvividhanirvāṇasya trikāyasya ca prāptiḥ /	dviviDa nirvANasya tri kAyasya ca prAptiH /
   idaṃ hi saṃkṣiptam, vistaraṃ tu guruśāstrabhyo jñeyam /	idam hi saMkziptam, vistaram tu guru SAstraByaH jQeyam /
   śaraṇagamanadeśanā nāma gurubodhisattva dīpaṅkara śrījñānaviracitā samāptā	SaraNa gamana deSanA nAma guru boDisattva  dIpaFkara  SrI jQAna viracitA samAptA
