   Toḍalatantra, Prathamaḥ paṭalaḥ	Toxala-tantra, PraTamaH pawalaH
   pūjayedannapūrṇāyā dakṣiṇe brahmarūpakam /	pUjayet-anna-pUrNAyAH dakziNe brahma-rUpakam /
   mahāmokṣapradaṃ devaṃ daśavaktraṃ maheśvaram // ToT_1.17 //	mahAmokza-pradam devam daSa-vaktram maheSvaram // ToT_1.17 //
   durgāyā dakṣiṇe deśe nāradaṃ paripūjayet /	durgAyAH dakziNe deSe nAradam paripUjayet /
   nākāraḥ sṛṣṭikartā ca dakāraḥ pālakaḥ sadā // ToT_1.18 //	na-AkAraH sRzwi-kartA ca dakAraH pAlakaH sadA // ToT_1.18 //
   rephaḥ saṃhārarūpatvān nāradaḥ parikīrtitaḥ /	rePaH saMhAra-rUpa-tvAt nAradaH parikIrtitaH /
   anyāsu sarvavidyāsu ṛṣir yaḥ parikīrtitaḥ // ToT_1.19 //	anyAsu sarva-vidyAsu RziH yaH parikIrtitaH // ToT_1.19 //
   sa eva tasyā bhartā ca dakṣabhāge prapūjayet /	saH eva tasyAH BartA ca dakza-BAge prapUjayet /
   śrīdevī uvāca	SrI-devI uvAca
   yā cādyā paramā vidyā dvitīyā bhairavī parā /	yA ca-AdyA paramA vidyA dvitIyA BEravI parA /
   trailokyajananī nityā sā kathaṃ śavavāhanā // ToT_1.20 //	trElokya-jananI nityA sA kaTam Sava-vAhanAH // ToT_1.20 //
   śrīśiva uvāca	SrI-SivaH uvAca
   yā cādyā parameśāni svayaṃ kālasvarūpiṇī /	yA ca-AdyA parameSAni svayam kAla-svarUpiNI /
   śrīśivasya hṛdambhoje sthitā saṃhārarūpiṇī // ToT_1.21 //	SrI-Sivasya hRd-amBoje sTitA saMhAra-rUpiNI // ToT_1.21 //
   ata eva mahākālo jagatsaṃhārakārakaḥ /	atas eva mahAkAlaH jagat-saMhAra-kArakaH /
   saṃhārarūpiṇī kālī yadā vyaktasvarūpiṇī // ToT_1.22 //	saMhAra-rUpiNI kAlI yadA vyakta-svarUpiNI // ToT_1.22 //
   tadaiva sahasā devi śavarūpaḥ sadāśivaḥ /	tadA-eva sahasA devi Sava-rUpaH sadASivaH /
   tatkṣaṇāc cañcalāpāṅgi sā devī śavavāhanā // ToT_1.23 //	tad-kzaNAt caQcala-apAFgi sA devI Sava-vAhanAH // ToT_1.23 //
   śrīdevī uvāca	SrI-devI uvAca
   śavarūpo mahādeva mṛtadehaḥ sadāśivaḥ /	Sava-rUpaH mahAdeva mRta-dehaH sadASivaH /
   mṛtadehaṃ mahādeva salilaṃ vā kathaṃ nahi // ToT_1.24 //	mRta-deham mahAdeva salilam vA kaTam na-hi // ToT_1.24 //
   śrīśiva uvāca	SrI-SivaH uvAca
   yasmin vyaktā mahākālī śaktihīnaḥ sadāśivaḥ /	yasmin vyaktA mahAkAlI Sakti-hInaH sadASivaH /
   śaktyā yukto yadā devi tadaiva śivarūpakaḥ /	SaktyA yuktaH yadA devi tadA-eva Siva-rUpakaH /
   śaktihīnaḥ śavaḥ sākṣāt puruṣatvaṃ na muñcati // ToT_1.25 //	Sakti-hInaH SavaH sAkzAt puruza-tvam na muQcati // ToT_1.25 //
   Toḍalatantra, Dvitīyaḥ paṭalaḥ	Toxala-tantra, DvitIyaH pawalaH
   śrīśiva uvāca	SrI-SivaH uvAca
   śṛṇu devi pravakṣyāmi yogasāraṃ samāsataḥ /	SRNu devi pravakzyAmi yoga-sAram samAsatas /
   ūrdhvamūlam adhaḥśākhaṃ vṛkṣākāraṃ kalevaram // ToT_2.1 //	UrDva-mUlam aDas-SAKam vRkza-AkAram kalevaram // ToT_2.1 //
   brahmāṇḍe yāni tīrthāni tāni santi kalevare /	brahmANxe yAni tIrTAni tAni santi kalevare /
   bṛhadbrahmāṇḍaṃ yadrūpaṃ tadrūpaṃ kṣudrarūpakam // ToT_2.2 //	bRhat-brahmANxam yat-rUpam tad-rUpam kzudra-rUpakam // ToT_2.2 //
   brahmāṇḍe vartate tīrthaṃ sārdhakoṭitrayātmakam /	brahmANxe vartate tIrTam sArDa-kowi-traya-Atmakam /
   dvisaptatisahasrāṇi prakāśaṃ vīravandite // ToT_2.3 //	dvisaptati-sahasrANi prakASam vIra-vandite // ToT_2.3 //
   caturdaśaṃ tu tanmadhye tanmadhye tritayaṃ śubham /	caturdaSam tu tad-maDye tad-maDye tritayam SuBam /
   tanmadhye parameśāni mahādhīrā ca muktidā // ToT_2.4 //	tad-maDye parameSAni mahADIrA ca mukti-dA // ToT_2.4 //
   vāsukī yā mahāmāyā bhujagākārarūpiṇī /	vAsukI yA mahAmAyA Bujaga-AkAra-rUpiNI /
   sārdhatrivalayākārā pātālatalavāsinī // ToT_2.5 //	sArDa-tri-valaya-AkArA pAtAla-tala-vAsinI // ToT_2.5 //
   saptasvargaṃ pareśāni krameṇa śṛṇu sādaram /	sapta-svargam pareSAni krameNa SRNu sa-Adaram /
   bhūrlokaṃ ca bhuvarlokaṃ svarlokaṃ mahasaṃ tathā // ToT_2.6 //	BUrlokam ca Buvarlokam svar-lokam mahasam taTA // ToT_2.6 //
   janalokaṃ tapaścaiva satyalokaṃ varānane /	janalokam tapaH-ca-eva satya-lokam varAnane /
   saptasvargamidaṃ bhadre pātālaṃ śṛṇu yatnataḥ // ToT_2.7 //	sapta-svargam-idam Badre pAtAlam SRNu yatnatas // ToT_2.7 //
   atalaṃ vitalaṃ caiva sutalaṃ ca talātalam /	atalam vitalam ca-eva sutalam ca talAtalam /
   mahātalaṃ ca pātālaṃ rasātalamataḥ param // ToT_2.8 //	mahAtalam ca pAtAlam rasAtalam-atas param // ToT_2.8 //
   rasātalācca satyāntaṃ mahādhīrā pratiṣṭhitā /	rasAtalAt-ca satya-antam mahA-DIrA pratizWitA /
   merumadhyasthitā nāḍī mahādhīrā ca muktidā // ToT_2.9 //	meru-maDya-sTitA nAxI mahADIrA ca mukti-dA // ToT_2.9 //
   satyaloke mahāviṣṇuṃ śivaṃ brahmāṇḍasaṃjñakam /	satya-loke mahA-vizNum Sivam brahmANxa-saMjQakam /
   tasya saṃdarśanārthāya vāsukī vyākulā sadā // ToT_2.10 //	tasya saMdarSana-arTAya vAsukI vyAkulA sadA // ToT_2.10 //
   svargaṣaṭkaṃ bhedayitvā utthitā vāsukī yadā /	svarga-zawkam BedayitvA utTitA vAsukI yadA /
   sarvāḥ samudragāminya ūrdhvasrotā bhavanti hi // ToT_2.11 //	sarvAH samudra-gAminyaH UrDvasrotAH Bavanti hi // ToT_2.11 //
   evaṃ krameṇa deveśi śarīre nāḍayaḥ sthitāḥ /	evam krameNa deveSi SarIre nAxayaH sTitAH /
   iḍā ca piṅgalā caiva suṣumṇā madhyavartinī // ToT_2.12 //	ixA ca piFgalA ca-eva suzumNA maDya-vartinI // ToT_2.12 //
   nāḍīdvayena deveśi samīraṃ pūrayed yadi /	nAxI-dvayena deveSi samIram pUrayet yadi /
   tatastu prāṇamantreṇa kuṇḍalī ca kramaṃ caret // ToT_2.13 //	tatas-tu prANa-mantreNa kuNxalI ca kramam caret // ToT_2.13 //
   sahasrāre mahāpadme nitye cāvyayapaṅkaje /	sahasrAre mahApadme nitye ca-avyaya-paFkaje /
   trāsayuktā kuṇḍalinī praviśennityamandiram // ToT_2.14 //	trAsa-yuktA kuNxalinI praviSet-nitya-mandiram // ToT_2.14 //
   sarvāḥ pātālagāminya ūrdhvasrotā bhavanti hi /	sarvAH pAtAla-gAminyaH UrDva-srotAH Bavanti hi /
   etasmin samaye devi varṇamālāṃ vicintayet // ToT_2.15 //	etasmin samaye devi varNa-mAlAm vicintayet // ToT_2.15 //
   aṣṭottaraśataṃ mūla- mantraṃ jñānena saṃjapet /	azwottaraSatam mUla mantram jQAnena saMjapet /
   ānayettena mārgeṇa mūlādhāre punaḥ sudhīḥ // ToT_2.16 //	Anayet-tena mArgeNa mUlADAre punar suDIH // ToT_2.16 //
   ṣaṭcakradevatāstatra saṃtarpyāmṛtadhārayā /	zawcakra-devatAH-tatra saMtarpya-amRta-DArayA /
   athānyat sampravakṣyāmi yonimudrāsanaṃ priye // ToT_2.17 //	aTa-anyat sampravakzyAmi yonimudrA-Asanam priye // ToT_2.17 //
   upaviśyāsane mantrī prāṅmukho vāpyudaṅmukhaḥ /	upaviSya-Asane mantrI prAFmuKaH vA-api-udaFmuKaH /
   jānudvayaṃ karābhyāṃ ca prakuryād dṛḍhabandhanam // ToT_2.18 //	jAnu-dvayam karAByAm ca prakuryAt dRXa-banDanam // ToT_2.18 //
   ṛjukāyena deveśi ājānu nāsikāṃ nayet /	Rju-kAyena deveSi AjAnu nAsikAm nayet /
   prāṇamantreṇa deveśi samīraṃ bahuyatnataḥ // ToT_2.19 //	prANa-mantreNa deveSi samIram bahu-yatnataH // ToT_2.19 //
   pūrayet parameśāni kiṃcid vāyuṃ na recayet /	pUrayet parameSAni kiMcid vAyum na recayet /
   ṛjukāyaṃ pareśāni viparītaṃ prayatnataḥ // ToT_2.20 //	Rju-kAyam pareSAni viparItam prayatnataH // ToT_2.20 //
   pūrvoktenaiva vidhinā aṣṭottaraśataṃ japet /	pUrva-uktena-eva viDinA azwottaraSatam japet /
   ṣaṭcakradevatāstatra saṃtarpyāmṛtadhārayā // ToT_2.21 //	zawcakra-devatAH-tatra saMtarpya-amRta-DArayA // ToT_2.21 //
   ānayettena mārgeṇa mūlādhāre varānane /	Anayet-tena mArgeNa mUlADAre varAnane /
   aśeṣarogaśamanaṃ yonimudrāsanaṃ priye // ToT_2.22 //	aSeza-roga-Samanam yonimudrA-Asanam priye // ToT_2.22 //
   bahu kiṃ kathyate devi mahāvyādhivināśanam /	bahu kim kaTyate devi mahA-vyADi-vinASanam /
   bahu kiṃ kathyate devi mantracaitanyakāraṇam // ToT_2.23 //	bahu kim kaTyate devi mantra-cEtanya-kAraNam // ToT_2.23 //
   ātmasākṣātkarī mudrā mahāmokṣapradāyinī /	Atma-sAkzAt-karI mudrA mahAmokza-pradAyinI /
   śatavaktraṃ yadi bhavet tadā vaktuṃ na śakyate // ToT_2.24 //	Sata-vaktram yadi Bavet tadA vaktum na Sakyate // ToT_2.24 //
   pañcavaktreṇa deveśi kiṃ mayā kathyate'dhunā /	paQcavaktreNa deveSi kim mayA kaTyate-aDunA /
   kuṣṭharogaviśiṣṭo'pi sa bhavet kāmarūpakaḥ // ToT_2.25 //	kuzWa-roga-viSizwaH-api sa Bavet kAmarUpakaH // ToT_2.25 //
   Toḍalatantra, Tṛtīyaḥ paṭalaḥ	Toxala-tantra, TRtIyaH pawalaH
   śrīdevī uvāca	SrI-devI uvAca
   devadeva mahādeva saṃsārārṇavatāraka /	devadeva mahAdeva saMsAra-arNava-tAraka /
   baddhayoniṃ mahāmudrāṃ kathayasva dayānidhe // ToT_3.1 //	badDayonim mahAmudrAm kaTayasva dayAniDe // ToT_3.1 //
   śrīśiva uvāca	SrI-SivaH uvAca
   śṛṇu devi pravakṣyāmi baddhayoniṃ samāsataḥ /	SRNu devi pravakzyAmi badDa-yonim samAsatas /
   upaviśyāsane mantrī prāṅmukho vāpyudaṅmukhaḥ // ToT_3.2 //	upaviSya-Asane mantrI prAFmuKaH vA-api-udaFmuKaH // ToT_3.2 //
   gudacchidre maheśāni svaliṅgāgraṃ niveśayet /	guda=-Cidre maheSAni sva-liFga-agram niveSayet /
   śrotre caiva tathā netre nāsāyāṃ ca tato mukhe // ToT_3.3 //	Srotre ca-eva taTA netre nAsAyAm ca tatas muKe // ToT_3.3 //
   aṅguṣṭhādi maheśāni krameṇa yojayet sudhīḥ /	aFguzWa-Adi maheSAni krameNa yojayet suDIH /
   nāsikāyāṃ mukhe caiva samīraṃ bahuyatnataḥ // ToT_3.4 //	nAsikAyAm muKe ca-eva samIram bahu-yatnataH // ToT_3.4 //
   pūrayet parameśāni kiṃcid api na recayet /	pUrayet parameSAni kiMcid api na recayet /
   śabdapratyakṣatāṃ kṛtvā varṇamālāṃ vicintayet // ToT_3.5 //	Sabda-pratyakzatAm kRtvA varNa-mAlAm vicintayet // ToT_3.5 //
   aṣṭottaraśataṃ mūla- mantraṃ tu prajapet sudhīḥ /	azwottaraSatam mUla mantram tu prajapet suDIH /
   so 'haṃmantreṇa deveśi ānayettena vartmanā // ToT_3.6 //	saH ahaMmantreNa deveSi Anayet-tena vartmanA // ToT_3.6 //
   ṣaṭcakradevatāstatra saṃtarpyāmṛtadhārayā /	zawcakra-devatAH-tatra saMtarpya-amRta-DArayA /
   kṛte phalaṃ maheśāni kathayiṣyāmi te 'naghe // ToT_3.7 //	kRte Palam maheSAni kaTayizyAmi te anaGe // ToT_3.7 //
   śrīpārvatī uvāca	SrI-pArvatI uvAca
   vada īśāna sarvajña sarvatattvavidāṃ vara /	vada ISAna sarvajQa sarva-tattva-vidAm vara /
   mantramārgeṇa deveśa kālikāyāḥ sudurlabham // ToT_3.8 //	mantra-mArgeNa deveSa kAlikAyAH su-durlaBam // ToT_3.8 //
   śrīśiva uvāca	SrI-SivaH uvAca
   śṛṇu devi sadānande kālikāmantramuttamam /	SRNu devi sadAnande kAlikA-mantram-uttamam /
   yasyāḥ prasaṅgamātreṇa jīvanmukto bhavennaraḥ // ToT_3.9 //	yasyAH prasaFga-mAtreNa jIvanmuktaH Bavet-naraH // ToT_3.9 //
   śivādyaṃ bindunādāḍhyaṃ vāmanetrāgnisaṃyutam /	Siva-Adyam bindu-nAda-AXyam vAma-netra-agni-saMyutam /
   siddhavidyā tv iyaṃ bhadre vidyārājñī sudurlabhā // ToT_3.10 //	sidDa-vidyA tu iyam Badre vidyA-rAjQI su-durlaBAH // ToT_3.10 //
   idaṃ bījatrayaṃ cādyaṃ gaganaṃ bindubhūṣitam /	idam bIja-trayam ca-Adyam gaganam bindu-BUzitam /
   vāmaśravaṇasaṃyuktaṃ dvaṃdvaṃ cāparakaṃ śṛṇu // ToT_3.11 //	vAma-SravaNa-saMyuktam dvaMdvam ca-aparakam SRNu // ToT_3.11 //
   īśānaṃ vahnisaṃyuktaṃ vāmanetrendusaṃyutam /	ISAnam vahni-saMyuktam vAmanetra-indu-saMyutam /
   dvitīyaṃ parameśāni sambodhanapadaṃ tataḥ // ToT_3.12 //	dvitIyam parameSAni samboDana-padam tatas // ToT_3.12 //
   punar bījatrayaṃ kūrcaṃ māyādvaṃdvaṃ ca ṭhadvayam /	punar bIja-trayam kUrcam mAyA-dvaMdvam ca Wa-dvayam /
   dvāviṃśatyakṣaraṃ mantraṃ vidyārājñī sudurlabhā // ToT_3.13 //	dvAviMSati-akzaram mantram vidyA-rAjQI su-durlaBAH // ToT_3.13 //
   vāgbhavādyā mahāvidyā śrīkālī devatā smṛtā /	vAc-Bava-AdyA mahAvidyA SrIkAlI devatA smRtA /
   praṇavādyā mahāvidyā devatā siddhikālikā // ToT_3.14 //	praNava-AdyAH mahAvidyA devatA sidDi-kAlikAH // ToT_3.14 //
   nijabījadvayaṃ kūrcaṃ bījaikaṃ parameśvari /	nija-bIja-dvayam kUrcam bIja-ekam parameSvari /
   tryakṣarī paramā vidyā cāmuṇḍā kālikā smṛtā // ToT_3.15 //	tri-akzarI paramA vidyA cAmuNxA kAlikA smRtAH // ToT_3.15 //
   etasyāḥ sadṛśī vidyā siddhidā nāsti sundari /	etasyAH sadRSI vidyA sidDi-dA na-asti sundari /
   yathā ṣaḍakṣarī vidyā tathā vidyā ca tryakṣarī // ToT_3.16 //	yaTA zaz-akzarI vidyA taTA vidyA ca tri-akzarI // ToT_3.16 //
   nijabījatrayaṃ bhadre śmaśānakālikā tataḥ /	nija-bIja-trayam Badre SmaSAna-kAlikA tatas /
   punar bījatrayaṃ bhadre vahnikāntāṃ samuccaret // ToT_3.17 //	punar bIja-trayam Badre vahni-kAntAm samuccaret // ToT_3.17 //
   caturdaśākṣarī vidyā triṣu lokeṣu pūjitā /	caturdaSa-akzarI vidyA trizu lokezu pUjitAH /
   dakṣiṇākālikā siddha- kālikā guhyakālikā // ToT_3.18 //	dakziNA-kAlikA sidDa kAlikA guhyakAlikAH // ToT_3.18 //
   śrīkālikā bhadrakālī cāmuṇḍākālikā parā /	SrIkAlikA BadrakAlI cAmuNxAkAlikA parA /
   śmaśānakālikā devi mahākālīti cāṣṭadhā // ToT_3.19 //	SmaSAna-kAlikA devi mahAkAlI-iti ca-azwaDA // ToT_3.19 //
   nijabījaṃ maheśāni sambodhanapadaṃ tataḥ /	nija-bIjam maheSAni samboDana-padam tatas /
   punaśca kālikābījaṃ tato vahnivadhūṃ nyaset // ToT_3.20 //	punar-ca kAlikA-bIjam tatas vahni-vaDUm nyaset // ToT_3.20 //
   iti cāṣṭavidhaṃ mantraṃ sarvatantreṣu gopitam /	iti ca-azwaviDam mantram sarva-tantrezu gopitam /
   śrīdevī uvāca	SrI-devI uvAca
   śrutaṃ mahākālikāyā mantraṃ paramagopanam // ToT_3.21 //	Srutam mahA-kAlikAyAH mantram parama-gopanam // ToT_3.21 //
   tārāyā mantrarājaṃ tu śrotumicchāmi sāmpratam /	tArAyAH mantrarAjam tu Srotum-icCAmi sAmpratam /
   yasyāḥ prasaṅgamātreṇa bhavābdhau na nimajjati // ToT_3.22 //	yasyAH prasaFga-mAtreNa Bava-abDO na nimajjati // ToT_3.22 //
   tanmantraṃ vada īśāna yadi sneho'sti māṃ prati /	tad-mantram vada ISAna yadi snehaH-asti mAm prati /
   śrīśiva uvāca	SrI-SivaH uvAca
   candrabījaṃ samuccārya ādyaṃ vahnisamāgatam // ToT_3.23 //	candrabIjam samuccArya Adyam vahni-samAgatam // ToT_3.23 //
   vāmanetrendusaṃyuktaṃ mantrarājamimaṃ priye /	vAmanetra-indu-saMyuktam mantrarAjam-imam priye /
   ekākṣarī mahāvidyā triṣu lokeṣu pūjitā // ToT_3.24 //	ekAkzarI mahAvidyA trizu lokezu pUjitAH // ToT_3.24 //
   īśānabindusaṃyuktaṃ vāmakarṇavibhūṣitam /	ISAna-bindu-saMyuktam vAma-karNa-viBUzitam /
   ekākṣarī mahāvidyā mantrarājadvitīyakam // ToT_3.25 //	ekAkzarI mahAvidyA mantrarAja-dvitIyakam // ToT_3.25 //
   śiraṃ bindusamārūḍhaṃ vāmanetrendusaṃyutam /	Siram bindu-samArUXam vAmanetra-indu-saMyutam /
   ādyabījaṃ dvitīyaṃ ca astramantraṃ samuccaret // ToT_3.26 //	Adya-bIjam dvitIyam ca astramantram samuccaret // ToT_3.26 //
   praṇavādyā yadā vidyā sogratārā prakīrtitā /	praNava-AdyAH yadA vidyA sa-ugra-tArA prakIrtitA /
   vidyā caikajaṭā proktā mahāmokṣapradāyinī // ToT_3.27 //	vidyA ca-ekajawA proktA mahAmokza-pradAyinI // ToT_3.27 //
   tārāstrarahitā tryarṇā mahānīlasarasvatī /	tAra-astra-rahitA tri-arNA mahAnIla-sarasvatI /
   vāgbhavādyā yadā vidyā vāgīśatvapradāyinī // ToT_3.28 //	vAc-Bava-AdyAH yadA vidyA vAc-ISa-tva-pradAyinI // ToT_3.28 //
   śrībījādyā mahāvidyā sadā lakṣmīpradāyinī /	SrI-bIja-AdyA mahAvidyA sadA lakzmI-pradAyinI /
   māyādyā paramā vidyā sadā siddhipradāyinī // ToT_3.29 //	mAyA-AdyA paramA vidyA sadA sidDi-pradAyinI // ToT_3.29 //
   kūrcabījādikā caiṣā śabdarāśiprakāśinī /	kUrca-bIja-AdikA ca-ezA Sabda-rASi-prakASinI /
   gaganādyā mahāvidyā nirvāṇamokṣadāyinī // ToT_3.30 //	gagana-AdyAH mahAvidyA nirvANa-mokza-dAyinI // ToT_3.30 //
   prāsādādyā mahāvidyā śivasāyujyadāyinī /	prAsAda-AdyA mahAvidyA Siva-sAyujya-dAyinI /
   prāṇabījādikā caiṣā vāñchāsiddhipradāyinī // ToT_3.31 //	prANa-bIja-AdikA ca-ezA vAQCA-sidDi-pradAyinI // ToT_3.31 //
   kālikādyā mahāvidyā muktidā siddhidā sadā /	kAlikA-AdyA mahAvidyA mukti-dA sidDi-dA sadA /
   kālikāyāśca tārāyā ārādhanam ihocyate // ToT_3.32 //	kAlikAyAH-ca tArAyAH ArADanam iha-ucyate // ToT_3.32 //
   prātarutthāya mantrajñaḥ sahasrāre guruṃ yajet /	prAtar-utTAya mantra-jQaH sahasrAre gurum yajet /
   ṣaṭcakraṃ bhedayitvā tu cāṣṭottaraśataṃ japet // ToT_3.33 //	zawcakram BedayitvA tu ca-azwottaraSatam japet // ToT_3.33 //
   tataḥ praṇamya vidhivat snānakarma samārabhet /	tatas praNamya viDivat snAna-karma samAraBet /
   adyetyādi samuccārya sauramāsaṃ samuccaret // ToT_3.34 //	adya-ityAdi samuccArya sOra-mAsam samuccaret // ToT_3.34 //
   devatāprītaye paścāt snāpayecchuddhavāriṇā /	devatA-prItaye paScAt snApayet-SudDa-vAriNA /
   oṃkāraṃ ca samuccārya gaṅge ceti samuccaret // ToT_3.35 //	oMkAram ca samuccArya gaFge ca-iti samuccaret // ToT_3.35 //
   yamuneti tataḥ paścād godāvari sarasvati /	yamunA-iti tatas paScAt godAvari sarasvati /
   narmadeti samuccārya sindhukāverisaṃyutam // ToT_3.36 //	narmadA-iti samuccArya sinDu-kAveri-saMyutam // ToT_3.36 //
   asmin jale ca saṃnidhiṃ kuru śabdamatho vadet /	asmin jale ca saMniDim kuru Sabdam-aTo vadet /
   ānayedaṅkuśākhyena ravisaṃyuktamaṇḍalāt // ToT_3.37 //	Anayet-aFkuSa-AKyena ravi-saMyukta-maNxalAt // ToT_3.37 //
   mudrācatuṣṭayaṃ devi darśayed bahuyatnataḥ /	mudrA-catuzwayam devi darSayet bahu-yatnataH /
   rudrasaṃkhyaṃ japenmantram ācchādya mīnamudrayā // ToT_3.38 //	rudra-saMKyam japet-mantram AcCAdya mIna-mudrayA // ToT_3.38 //
   sūryāyābhimukhaṃ toyaṃ niḥkṣipya ravisaṃkhyayā /	sUryAya-aBimuKam toyam niHkzipya ravi-saMKyayA /
   mūlamantraṃ samuccārya kṣālayeccaraṇadvayam // ToT_3.39 //	mUlamantram samuccArya kzAlayet-caraNa-dvayam // ToT_3.39 //
   caraṇānniḥsṛte toye trir nimajya japenmanum /	caraNAt-niHsRte toye tris nimajya japet-manum /
   mūlamantraṃ trir japtvā tu mudrayā kumbhasaṃjñayā // ToT_3.40 //	mUlamantram tris japtvA tu mudrayA kumBa-saMjQayA // ToT_3.40 //
   jalādutthāya deveśi tilakaṃ kulavartmataḥ /	jalAt-utTAya deveSi tilakam kula-vartmataH /
   ātmavidyāśivais tattvair ācāmet payasā tataḥ // ToT_3.41 //	Atma-vidyA-SivEH tattvEH AcAmet payasA tatas // ToT_3.41 //
   vahnijāyānvitā mantrā vijñeyāḥ praṇavādikāḥ /	vahni-jAyA-anvitAH mantrAH vijQeyAH praNava-AdikAH /
   gaṅge cetyādinā devi tīrthamāvāhanaṃ caret // ToT_3.42 //	gaFge ca-ityAdinA devi tIrTam-AvAhanam caret // ToT_3.42 //
