   BhP_09.01.001/0 śrīrājovāca	BhP_09.01.001/0 SrI-rAjA-uvAca
   BhP_09.01.018/1 yūyaṃ brahmavido yuktāstapasā dagdhakilbiṣāḥ	Bhu-_09.01.018/1 yUyam brahma-vidaH yuktAH-tapasA dagDa-kilbizAH
   BhP_09.01.018/2 kutaḥ saṅkalpavaiṣamyamanṛtaṃ vibudheṣv iva	Bhu-_09.01.018/2 kutas saFkalpa-vEzamyam-anRtam vibuDezu iva
   BhP_09.01.019/1 niśamya tadvacastasya bhagavān prapitāmahaḥ	Bhu-_09.01.019/1 niSamya tad-vacaH-tasya BagavAn prapitAmahaH
   BhP_09.01.019/2 hoturvyatikramaṃ jñātvā babhāṣe ravinandanam	Bhu-_09.01.019/2 hotuH-vyatikramam jQAtvA baBAze ravinandanam
   BhP_09.01.020/1 etat saṅkalpavaiṣamyaṃ hotuste vyabhicārataḥ	Bhu-_09.01.020/1 etat saFkalpa-vEzamyam hotuH-te vyaBicArataH
   BhP_09.01.020/2 tathāpi sādhayiṣye te suprajāstvaṃ svatejasā	Bhu-_09.01.020/2 taTA-api sADayizye te suprajAH-tvam sva-tejasA
   BhP_09.01.021/1 evaṃ vyavasito rājan bhagavān sa mahāyaśāḥ	Bhu-_09.01.021/1 evam vyavasitaH rAjan BagavAn sa mahA-yaSAH
   BhP_09.01.021/2 astauṣīdādipuruṣamilāyāḥ puṃstvakāmyayā	Bhu-_09.01.021/2 astOzIt-Adi-puruzamilAyAH puMstva-kAmyayA
   BhP_09.01.022/1 tasmai kāmavaraṃ tuṣṭo bhagavān harirīśvaraḥ	Bhu-_09.01.022/1 tasmE kAma-varam tuzwaH BagavAn hariH-ISvaraH
   BhP_09.01.022/2 dadāv ilābhavat tena sudyumnaḥ puruṣarṣabhaḥ	Bhu-_09.01.022/2 dadO ilA-aBavat tena sudyumnaH puruza-RzaBaH
   BhP_09.01.023/1 sa ekadā mahārāja vicaran mṛgayāṃ vane	Bhu-_09.01.023/1 saH ekadA mahA-rAja vicaran mRgayAm vane
   BhP_09.01.023/2 vṛtaḥ katipayāmātyairaśvamāruhya saindhavam	Bhu-_09.01.023/2 vRtaH katipaya-amAtyEH-aSvam-Aruhya sEnDavam
   BhP_09.01.024/1 pragṛhya ruciraṃ cāpaṃ śarāṃśca paramādbhutān	Bhu-_09.01.024/1 pragRhya ruciram cApam SarAn=-ca parama-adButAn
   BhP_09.01.024/2 daṃśito 'numṛgaṃ vīro jagāma diśamuttarām	Bhu-_09.01.024/2 daMSitaH anumRgam vIraH jagAma diSam-uttarAm
   BhP_09.01.025/1 sukumāravanaṃ meroradhastāt praviveśa ha	Bhu-_09.01.025/1 sukumAra-vanam meroH-aDastAt praviveSa ha
   BhP_09.01.025/2 yatrāste bhagavān charvo ramamāṇaḥ sahomayā	Bhu-_09.01.025/2 yatra-Aste BagavAn CarvaH ramamANaH saha-umayA
   BhP_09.01.026/1 tasmin praviṣṭa evāsau sudyumnaḥ paravīrahā	Bhu-_09.01.026/1 tasmin pravizwaH eva-asO sudyumnaH para-vIra-hA
   BhP_09.01.026/2 apaśyat striyamātmānamaśvaṃ ca vaḍavāṃ nṛpa	Bhu-_09.01.026/2 apaSyat striyam-AtmAnam-aSvam ca vaxavAm nRpa
   BhP_09.01.027/1 tathā tadanugāḥ sarve ātmaliṅgaviparyayam	Bhu-_09.01.027/1 taTA tad-anugAH sarve Atma-liFga-viparyayam
   BhP_09.01.027/2 dṛṣṭvā vimanaso 'bhūvan vīkṣamāṇāḥ parasparam	Bhu-_09.01.027/2 dRzwvA vimanasaH aBUvan vIkzamANAH parasparam
   BhP_09.01.028/0 śrīrājovāca	BhP_09.01.028/0 SrI-rAjA-uvAca
   BhP_09.01.028/1 kathamevaṃ guṇo deśaḥ kena vā bhagavan kṛtaḥ	Bhu-_09.01.028/1 kaTam-evam guNaH deSaH kena vA Bagavan kRtaH
   BhP_09.01.028/2 praśnamenaṃ samācakṣva paraṃ kautūhalaṃ hi naḥ	Bhu-_09.01.028/2 praSnam-enam samAcakzva param kOtUhalam hi naH
   BhP_09.01.029/0 śrīśuka uvāca	BhP_09.01.029/0 SrI-SukaH uvAca
   BhP_09.01.029/1 ekadā giriśaṃ draṣṭumṛṣayastatra suvratāḥ	Bhu-_09.01.029/1 ekadA giriSam drazwum-RzayaH-tatra suvratAH
   BhP_09.01.029/2 diśo vitimirābhāsāḥ kurvantaḥ samupāgaman	Bhu-_09.01.029/2 diSaH vitimira-ABAsAH kurvantaH samupAgaman
   BhP_09.01.030/1 tān vilokyāmbikā devī vivāsā vrīḍitā bhṛśam	Bhu-_09.01.030/1 tAn vilokya-ambikA devI vivAsAH vrIxitAH BRSam
   BhP_09.01.030/2 bharturaṅkāt samutthāya nīvīmāśv atha paryadhāt	Bhu-_09.01.030/2 BartuH-aFkAt samutTAya nIvIm-ASu aTa paryaDAt-
   BhP_09.01.031/1 ṛṣayo 'pi tayorvīkṣya prasaṅgaṃ ramamāṇayoḥ	Bhu-_09.01.031/1 RzayaH api tayoH-vIkzya prasaFgam ramamANayoH
   BhP_09.01.031/2 nivṛttāḥ prayayustasmān naranārāyaṇāśramam	Bhu-_09.01.031/2 nivRttAH prayayuH-tasmAt nara-nArAyaNa-ASramam
   BhP_09.01.032/1 tadidaṃ bhagavān āha priyāyāḥ priyakāmyayā	Bhu-_09.01.032/1 tat-idam BagavAn Aha priyAyAH priya-kAmyayA
   BhP_09.01.032/2 sthānaṃ yaḥ praviśedetat sa vai yoṣidbhavediti	Bhu-_09.01.032/2 sTAnam yaH praviSet-etat sa vE yozit-Bavet-iti
   BhP_09.01.033/1 tata ūrdhvaṃ vanaṃ tadvai puruṣā varjayanti hi	Bhu-_09.01.033/1 tatas UrDvam vanam tat-vE puruzAH varjayanti hi
   BhP_09.01.033/2 sā cānucarasaṃyuktā vicacāra vanādvanam	BhP_09.01.033/2 sA ca-anucara-saMyuktAH vicacAra vanAt-vanam
   BhP_09.01.034/1 atha tāmāśramābhyāśe carantīṃ pramadottamām	Bhu-_09.01.034/1 aTa tAm-ASrama-aByASe carantIm pramadA-uttamAm
   BhP_09.01.034/2 strībhiḥ parivṛtāṃ vīkṣya cakame bhagavān budhaḥ	Bhu-_09.01.034/2 strIBiH parivRtAm vIkzya cakame BagavAn buDaH
   BhP_09.01.035/1 sāpi taṃ cakame subhrūḥ somarājasutaṃ patim	Bhu-_09.01.035/1 sA-api tam cakame suBrUH somarAja-sutam patim
   BhP_09.01.035/2 sa tasyāṃ janayāmāsa purūravasamātmajam	Bhu-_09.01.035/2 sa tasyAm janayAmAsa purUrava-sam-Atmajam
   BhP_09.01.036/1 evaṃ strītvamanuprāptaḥ sudyumno mānavo nṛpaḥ	Bhu-_09.01.036/1 evam strI-tvam-anuprAptaH sudyumnaH mAnavaH nRpaH
   BhP_09.01.036/2 sasmāra sa kulācāryaṃ vasiṣṭhamiti śuśruma	Bhu-_09.01.036/2 sasmAra sa kula-AcAryam vasizWam-iti SuSruma
   BhP_09.01.037/1 sa tasya tāṃ daśāṃ dṛṣṭvā kṛpayā bhṛśapīḍitaḥ	Bhu-_09.01.037/1 sa tasya tAm daSAm dRzwvA kRpayA BRSa-pIxitaH
   BhP_09.01.037/2 sudyumnasyāśayan puṃstvamupādhāvata śaṅkaram	Bhu-_09.01.037/2 sudyumnasya-ASayan puMstvam-upADAvata SaFkaram
   BhP_09.01.038/1 tuṣṭastasmai sa bhagavān ṛṣaye priyamāvahan	Bhu-_09.01.038/1 tuzwaH-tasmE sa BagavAn Rzaye priyam-Avahan
   BhP_09.01.038/2 svāṃ ca vācamṛtāṃ kurvannidamāha viśāmpate	Bhu-_09.01.038/2 svAm ca vAcamRtAm kurvan=-idam-Aha viSAm-pate
   BhP_09.01.039/1 māsaṃ pumān sa bhavitā māsaṃ strī tava gotrajaḥ	Bhu-_09.01.039/1 mAsam pumAn sa BavitA mAsam strI tava gotra-jaH
   BhP_09.01.039/2 itthaṃ vyavasthayā kāmaṃ sudyumno 'vatu medinīm	Bhu-_09.01.039/2 itTam vyavasTayA kAmam sudyumnaH avatu medinIm
   BhP_09.01.040/1 ācāryānugrahāt kāmaṃ labdhvā puṃstvaṃ vyavasthayā	Bhu-_09.01.040/1 AcArya-anugrahAt kAmam labDvA puMstvam vyavasTayA
   BhP_09.01.040/2 pālayāmāsa jagatīṃ nābhyanandan sma taṃ prajāḥ	Bhu-_09.01.040/2 pAlayAmAsa jagatIm na-aByanandan sma tam prajAH
   BhP_09.01.041/1 tasyotkalo gayo rājan vimalaśca trayaḥ sutāḥ	Bhu-_09.01.041/1 tasya-utkalaH gayaH rAjan vimalaH-ca trayaH sutAH
   BhP_09.01.041/2 dakṣiṇāpatharājāno babhūvurdharmavatsalāḥ	Bhu-_09.01.041/2 dakziNApaTa-rAjAnaH baBUvuH-Darma-vatsalAH
   BhP_09.01.042/1 tataḥ pariṇate kāle pratiṣṭhānapatiḥ prabhuḥ	Bhu-_09.01.042/1 tatas pariNate kAle pratizWAna-patiH praBuH
   BhP_09.01.042/2 purūravasa utsṛjya gāṃ putrāya gato vanam	Bhu-_09.01.042/2 purUravasaH utsRjya gAm putrAya gataH vanam
   BhP_09.02.001/0 śrīśuka uvāca	BhP_09.02.001/0 SrI-SukaH uvAca
   BhP_09.02.001/1 evaṃ gate 'tha sudyumne manurvaivasvataḥ sute	Bhu-_09.02.001/1 evam gate aTa sudyumne manuH-vEvasvataH sute
   BhP_09.02.001/2 putrakāmastapastepe yamunāyāṃ śataṃ samāḥ	Bhu-_09.02.001/2 putra-kAmaH-tapaH-tepe yamunAyAm Satam samAH
   BhP_09.02.002/1 tato 'yajan manurdevamapatyārthaṃ hariṃ prabhum	Bhu-_09.02.002/1 tatas ayajat manuH-devam-apatya-arTam harim praBum
   BhP_09.02.002/2 ikṣvākupūrvajān putrān lebhe svasadṛśān daśa	Bhu-_09.02.002/2 ikzvAku-pUrvajAn putrAn leBe sva-sadRSAn daSa
   BhP_09.02.003/1 pṛṣadhrastu manoḥ putro gopālo guruṇā kṛtaḥ	BhP_09.02.003/1 pRzaDraH-tu manoH putraH gopAlaH guruNA kRtaH
   BhP_09.02.003/2 pālayāmāsa gā yatto rātryāṃ vīrāsanavrataḥ	Bhu-_09.02.003/2 pAlayAmAsa gAH yattaH rAtryAm vIrAsana-vrataH
   BhP_09.02.004/1 ekadā prāviśadgoṣṭhaṃ śārdūlo niśi varṣati	Bhu-_09.02.004/1 ekadA prAviSat-gozWam SArdUlaH niSi varzati
   BhP_09.02.004/2 śayānā gāva utthāya bhītāstā babhramurvraje	Bhu-_09.02.004/2 SayAnAH gAvaH utTAya BItAH-tAH baBram-uH-vraje
   BhP_09.02.005/1 ekāṃ jagrāha balavān sā cukrośa bhayāturā	Bhu-_09.02.005/1 ekAm jagrAha balavAn sA cukroSa Baya-AturA
   BhP_09.02.005/2 tasyāstu kranditaṃ śrutvā pṛṣadhro 'nusasāra ha	Bhu-_09.02.005/2 tasyAH-tu kranditam SrutvA pRzaDraH anusasAra ha
   BhP_09.02.006/1 khaḍgamādāya tarasā pralīnoḍugaṇe niśi	Bhu-_09.02.006/1 Kaxgam-AdAya tarasA pralIna-uxu-gaNe niSi
   BhP_09.02.006/2 ajānannacchinodbabhroḥ śiraḥ śārdūlaśaṅkayā	Bhu-_09.02.006/2 ajAnannacCina-udbaBroH SiraH SArdUla-SaFkayA
   BhP_09.02.007/1 vyāghro 'pi vṛkṇaśravaṇo nistriṃśāgrāhatastataḥ	Bhu-_09.02.007/1 vyAGraH api vRkNa-SravaNaH nistriMSa-agrAhataH-tatas-
   BhP_09.02.007/2 niścakrāma bhṛśaṃ bhīto raktaṃ pathi samutsṛjan	BhP_09.02.007/2 niScakrAma BRSam BItaH raktam paTi samutsRjan
   BhP_09.02.008/1 manyamāno hataṃ vyāghraṃ pṛṣadhraḥ paravīrahā	Bhu-_09.02.008/1 manyamAnaH hatam vyAGram pRzaDraH para-vIra-hA
   BhP_09.02.008/2 adrākṣīt svahatāṃ babhruṃ vyuṣṭāyāṃ niśi duḥkhitaḥ	Bhu-_09.02.008/2 adrAkzIt sva-hatAm baBrum vyuzwAyAm niSi duHKitaH
   BhP_09.02.009/1 taṃ śaśāpa kulācāryaḥ kṛtāgasamakāmataḥ	Bhu-_09.02.009/1 tam SaSApa kula-AcAryaH kRta-Aga-sama-kAmataH
   BhP_09.02.009/2 na kṣatrabandhuḥ śūdrastvaṃ karmaṇā bhavitāmunā	Bhu-_09.02.009/2 na kzatrabanDuH SUdraH-tvam karmaNA BavitA-amunA
   BhP_09.02.010/1 evaṃ śaptastu guruṇā pratyagṛhṇāt kṛtāñjaliḥ	Bhu-_09.02.010/1 evam SaptaH-tu guruNA pratyagRhNAt kRtAQjaliH
   BhP_09.02.010/2 adhārayadvrataṃ vīra ūrdhvaretā munipriyam	Bhu-_09.02.010/2 aDArayat-vratam vIraH UrDvaretAH muni-priyam
   BhP_09.02.011/1 vāsudeve bhagavati sarvātmani pare 'male	Bhu-_09.02.011/1 vAsudeve Bagavati sarva-Atmani pare amale
   BhP_09.02.011/2 ekāntitvaṃ gato bhaktyā sarvabhūtasuhṛt samaḥ	Bhu-_09.02.011/2 ekAnti-tvam gataH BaktyA sarva-BUta-suhRd samaH
   BhP_09.02.012/1 vimuktasaṅgaḥ śāntātmā saṃyatākṣo 'parigrahaḥ	Bhu-_09.02.012/1 vimukta-saFgaH SAnta-AtmA saMyata-akzaH aparigrahaH
   BhP_09.02.012/2 yadṛcchayopapannena kalpayan vṛttimātmanaḥ	Bhu-_09.02.012/2 yadRcCayA-upapannena kalpayan vRttim-AtmanaH
   BhP_09.02.013/1 ātmanyātmānamādhāya jñānatṛptaḥ samāhitaḥ	Bhu-_09.02.013/1 Atmani-AtmAnam-ADAya jQAna-tRptaH samAhitaH
   BhP_09.02.013/2 vicacāra mahīmetāṃ jaḍāndhabadhirākṛtiḥ	Bhu-_09.02.013/2 vicacAra mahIm-etAm jaxa-anDa-baDira-AkRtiH
   BhP_09.02.014/1 evaṃ vṛtto vanaṃ gatvā dṛṣṭvā dāvāgnimutthitam	Bhu-_09.02.014/1 evam vRttaH vanam gatvA dRzwvA dAva-agnim-utTitam
   BhP_09.02.014/2 tenopayuktakaraṇo brahma prāpa paraṃ muniḥ	Bhu-_09.02.014/2 tena-upayukta-karaNaH brahma prApa param muniH
   BhP_09.02.015/1 kaviḥ kanīyān viṣayeṣu niḥspṛho visṛjya rājyaṃ saha	BhP_09.02.015/1 kaviH kanIyAn vizayezu niHspRhaH visRjya rAjyam saha
   bandhubhirvanam	banDuBiH-vanam
   BhP_09.02.015/2 niveśya citte puruṣaṃ svarociṣaṃ viveśa kaiśoravayāḥ paraṃ	Bhu-_09.02.015/2 niveSya citte puruzam sva-rocizam viveSa kESora-vayAH param
   gataḥ	gataH
   BhP_09.02.016/1 karūṣān mānavādāsan kārūṣāḥ kṣatrajātayaḥ	Bhu-_09.02.016/1 karUzAn mAnavAda-Asan kArUzAH kzatra-jAtayaH
   BhP_09.02.016/2 uttarāpathagoptāro brahmaṇyā dharmavatsalāḥ	Bhu-_09.02.016/2 uttarApaTa-goptAraH brahmaNyAH Darma-vatsalAH
   BhP_09.02.017/1 dhṛṣṭāddhārṣṭamabhūt kṣatraṃ brahmabhūyaṃ gataṃ kṣitau	Bhu-_09.02.017/1 DRzwAt-hArzwam-aBUt kzatram brahma-BUyam gatam kzitO
   BhP_09.02.017/2 nṛgasya vaṃśaḥ sumatirbhūtajyotistato vasuḥ	BhP_09.02.017/2 nRgasya vaMSaH sumatiH-BUta-jyotiH-tatas vasuH
   BhP_09.02.018/1 vasoḥ pratīkastatputra oghavān oghavatpitā	BhP_09.02.018/1 vasoH pratIkaH-tad-putraH oGavAn oGavat-pitA
   BhP_09.02.018/2 kanyā caughavatī nāma sudarśana uvāha tām	BhP_09.02.018/2 kanyA ca-oGavatI nAma sudarSanaH uvAha tAm
   BhP_09.02.019/1 citraseno nariṣyantādṛkṣastasya suto 'bhavat	Bhu-_09.02.019/1 citrasenaH narizyantAt-RkzaH-tasya sutaH aBavat-
   BhP_09.02.019/2 tasya mīḍhvāṃstataḥ pūrṇa indrasenastu tatsutaḥ	Bhu-_09.02.019/2 tasya mIXvAn=-tatas pUrNaH indrasenaH-tu tad-sutaH
   BhP_09.02.020/1 vītihotrastv indrasenāt tasya satyaśravā abhūt	Bhu-_09.02.020/1 vItihotraH-tu indrasenAt tasya satyaSravAH aBUt-
   BhP_09.02.020/2 uruśravāḥ sutastasya devadattastato 'bhavat	BhP-_09.02.020/2 uruSravAH sutaH-tasya devadattaH-tatas aBavat-
   BhP_09.02.021/1 tato 'gniveśyo bhagavān agniḥ svayamabhūt sutaḥ	Bhu-_09.02.021/1 tatas agniveSyaH BagavAn agniH svayam-aBUt sutaH
   BhP_09.02.021/2 kānīna iti vikhyāto jātūkarṇyo mahān ṛṣiḥ	Bhu-_09.02.021/2 kAnInaH iti viKyAtaH jAtUkarNyaH mahAn RziH
   BhP_09.02.022/1 tato brahmakulaṃ jātamāgniveśyāyanaṃ nṛpa	Bhu-_09.02.022/1 tatas brahma-kulam jAtam-AgniveSya-ayanam nRpa
   BhP_09.02.022/2 nariṣyantānvayaḥ prokto diṣṭavaṃśamataḥ śṛṇu	Bhu-_09.02.022/2 narizyanta-anvayaH proktaH dizwa-vaMSam-atas SRNu
   BhP_09.02.023/1 nābhāgo diṣṭaputro 'nyaḥ karmaṇā vaiśyatāṃ gataḥ	Bhu-_09.02.023/1 nABAgaH dizwa-putraH anyaH karmaNA vESya-tAm gataH
   BhP_09.02.023/2 bhalandanaḥ sutastasya vatsaprītirbhalandanāt	Bhu-_09.02.023/2 BalandanaH sutaH-tasya vatsa-prItiH-BalandanAt-
   BhP_09.02.024/1 vatsaprīteḥ sutaḥ prāṃśustatsutaṃ pramatiṃ viduḥ	Bhu-_09.02.024/1 vatsa-prIteH sutaH prAMSuH-tad-sutam pramatim viduH
   BhP_09.02.024/2 khanitraḥ pramatestasmāc cākṣuṣo 'tha viviṃśatiḥ	BhP_09.02.024/2 KanitraH pramateH-tasmAt cAkzuzaH aTa viviMSatiH
   BhP_09.02.025/1 viviṃśateḥ suto rambhaḥ khanīnetro 'sya dhārmikaḥ	Bhu-_09.02.025/1 viviMSateH sutaH ramBaH KanInetraH asya DArmikaH
   BhP_09.02.025/2 karandhamo mahārāja tasyāsīdātmajo nṛpa	Bhu-_09.02.025/2 karanDamaH mahA-rAja tasya-AsIt-AtmajaH nRpa
   BhP_09.02.026/1 tasyāvīkṣit suto yasya maruttaścakravartyabhūt	Bhu-_09.02.026/1 tasya-AvIkzit sutaH yasya maruttaH-cakravartI-aBUt
   BhP_09.02.026/2 saṃvarto 'yājayadyaṃ vai mahāyogyaṅgiraḥsutaḥ	Bhu-_09.02.026/2 saMvartaH ayAjayat-yam vE mahA-yogi-aFgiraH-sutaH
   BhP_09.02.027/1 maruttasya yathā yajño na tathānyo 'sti kaścana	Bhu-_09.02.027/1 maruttasya yaTA yajQaH na taTA-anyaH asti kaScana
   BhP_09.02.027/2 sarvaṃ hiraṇmayaṃ tv āsīdyat kiñcic cāsya śobhanam	Bhu-_09.02.027/2 sarvam hiraNmayam tu AsIt-yat kiQcid ca-asya SoBanam
   BhP_09.02.028/1 amādyadindraḥ somena dakṣiṇābhirdvijātayaḥ	Bhu-_09.02.028/1 amAdyat-indraH somena dakziNABiH-dvijAtayaH
   BhP_09.02.028/2 marutaḥ pariveṣṭāro viśvedevāḥ sabhāsadaḥ	Bhu-_09.02.028/2 marutaH parivezwAraH viSvedevAH saBAsadaH
   BhP_09.02.029/1 maruttasya damaḥ putrastasyāsīdrājyavardhanaḥ	Bhu-_09.02.029/1 maruttasya damaH putraH-tasya-AsIt-rAjya-varDanaH
   BhP_09.02.029/2 sudhṛtistatsuto jajñe saudhṛteyo naraḥ sutaḥ	BhP_09.02.029/2 suDRtiH-tad-sutaH jajQe sODRteyaH naraH sutaH
   BhP_09.02.030/1 tatsutaḥ kevalastasmāddhundhumān vegavāṃstataḥ	Bhu-_09.02.030/1 tad-sutaH kevalaH-tasmAt-DunDumAn vegavAn=-tatas-
   BhP_09.02.030/2 budhastasyābhavadyasya tṛṇabindurmahīpatiḥ	BhP_09.02.030/2 buDaH-tasya-aBavat-yasya tRNabinduH-mahIpatiH
   BhP_09.02.031/1 taṃ bheje 'lambuṣā devī bhajanīyaguṇālayam	Bhu-_09.02.031/1 tam Beje alambuzA devI BajanIya-guNa-Alayam
   BhP_09.02.031/2 varāpsarā yataḥ putrāḥ kanyā celavilābhavat	Bhu-_09.02.031/2 vara-apsarAH yatas putrAH kanyA celavilA-aBavat
   BhP_09.02.032/1 yasyāmutpādayāmāsa viśravā dhanadaṃ sutam	Bhu-_09.02.032/1 yasyAm-utpAdayAmAsa viSravAH Danadam sutam
   BhP_09.02.032/2 prādāya vidyāṃ paramāmṛṣiryogeśvaraḥ pituḥ	Bhu-_09.02.032/2 prAdAya vidyAm parama-AmRziH-yoga-ISvaraH pituH
   BhP_09.02.033/1 viśālaḥ śūnyabandhuśca dhūmraketuśca tatsutāḥ	Bhu-_09.02.033/1 viSAlaH SUnya-banDuH-ca DUmraketuH-ca tad-sutAH
