   Āryānityatā sūtram	Ārya-anitya-tA sUtram
   jīvitamaraṇaṃparyavasānaṃ nāsti jātasyāmaraṇaṃ /	jIvita-m-araNaMparyavasAnam na-asti jAtasya-amaraNam /
   yepi te bhikṣavaḥ rājānaḥ kṣatriyāśca murddhābhiṣiktā jānapadai	yepi te BikzavaH rAjAnaH kzatriyAH-ca murdDa-aBiziktAH jAnapadE
   śvaryasthāmavīryamanuprāptā mahāntaṃ pṛthvīmaṇḍalamabhinirjityā vasanti /	Svarya-sTAm-a-vIryam-anuprAptAH mahAntam pRTvI-maNxalam-aBinirjityAH vasanti /
   teṣāmapi maraṇāntaṃ hi jīvitaṃ maraṇaparyavasānaṃ nāsti jātasyāmaraṇaṃ /	tezAm-api maraNa-antam hi jIvitam maraNa-paryavasAnam na-asti jAtasya-amaraNam /
   yepi te bhikṣavaḥ ṛṣayo vānaprasthāḥ pramukta phalāhārāḥ prabhūktaphala	yepi te BikzavaH RzayaH vAnaprasTAH pramukta Pala-AhArAH praBUkta-Pala
   bhojinaḥ pramukta phalena yāpanti teṣāmapi maraṇāntaṃ hi jīvita	BojinaH pramukta Palena yApanti tezAm-api maraNa-antam hi jIvita
   maraṇaparyavasānaṃ nāsti jātasyāmaraṇaṃ /	maraNa-paryavasAnam na-asti jAtasya-amaraNam /
   yepi te bhikṣavaḥ	yepi te BikzavaH
   kāmāvacāradevāścāturmahārājikādevāstrayāstriśāṃdevānāmāstuṣitādevānirmāṇaratayodevāḥ	kAma-avacAra-devAH-cAturmahArAjikA-devAH-trayAH-triSAMdevAnAm-AstuzitAt-eva-anirmANa-ratayA-udevAH
   paranirmitavaśavartinodevāsteṣāmapi maraṇāntaṃ hi jīvitaṃ maraṇa	paranirmitavaSavartinA-udevAH-tezAm-api maraNa-antam hi jIvitam maraNa
   paryavasānaṃ nāsti jātasyāmaraṇaṃ /	paryavasAnam na-asti jAtasya-amaraNam /
   yepi te bhikṣavo rūpiṇo devāḥ prathamadhyānalābhino brahmakāyikā	yepi te BikzavaH rUpiNaH devAH praTa-maDyA-analABinaH brahmakAyikA
   brahmapurohitā mahābrahmāṇaḥ dvitīya dhyānalābhina parītābhā apramāṇābhā	brahma-purohitAH mahA-brahmANaH dvitIya DyAna-lABina parIta-ABAH apramANa-ABA
   ābhāśvarā stṛtīyadhyāna lābhinaḥparītaśubhā apramāṇaśubhā śubhakṛtsnā	ABASvarA stRtIyaDyAna lABinaH-parIta-SuBA apramANa-SuBA SuBa-kRtsnA
   caturthadhyāna lābhinonabhrakā puṇyaprasavā bṛhatphalā avṛhā atapā sudṛśāḥ	caturTaDyAna lABinA-unaBrakA puNya-prasavAH bRhat-PalAH avRhAH atapAH sudRSAH
   sudarśanā akaniṣṭhāścadevāsteṣāmapi maraṇāntaṃ hi jīvitaṃ maraṇaṃ	sudarSanAH akanizWAH-cadevAH-tezAm-api maraNa-antam hi jIvitam maraNam
   paryavasānaṃ nāsti jātasyāmaraṇaṃ /	paryavasAnam na-asti jAtasya-amaraNam /
   yepi te bhikṣavaḥ ārūpiṇodevā ākāśānantaāyatanopagā vijñānantyāyatanopagā	yepi te BikzavaH ArUpiNA-udevAH AkASa-anantaa-Ayatana-upagA vijQAnanti-Ayatana-upagA
   ākiṃcanyāyatanopagā naivasaṃjñānāsaṃjñāyatanopagāśca devāsteṣāmapi	AkiMca-nyAya-tana-upagAH na-eva-saMjQAna-asaMjQAyatana-upagAH-ca devAH-tezAm-api
   maraṇāntahi jīvita maraṇaṃ paryavasāna nāsti jātasyāmaraṇa /	maraNa-antahi jIvita maraNam paryavasAna na-asti jAtasya-amaraNa /
   traidhātukamidaṃ /	trEDAtukam-idam /
   yepi te bhikṣavo 'rhantaḥ kṣīṇāsravā kṛtakṛtyāḥ kṛtakaraṇīyā apahṛtabhārā	yepi te BikzavaH arhantaH kzINa-AsravA kRtakRtyAH kRta-karaNIyA apahRta-BArA
   anuprāptatvākāthā parikṣīṇabhavasaṃyojanaḥ samyagājñāsuvimuktacittāḥ	anuprApta-tva-akATAH parikzINa-Bava-saMyojanaH samyak-AjQAsu-vimukta-cittAH
   sarvacetovaśiparamapāramitāprāptāsteṣāmapi kāyanikṣepaṇadharmāḥ /	sarva-cetaH-vaSi-parama-pAramitA-prAptAH-tezAm-api kAya-nikzepaNa-DarmAH /
   yepi te bhikṣavaḥ pratyekabuddhā khaḍga viṣāṇakalpā ekamātmāna damayanti	yepi te BikzavaH pratyekabudDA Kaxga vizANa-kalpAH ekam-AtmAna damayanti
   ekamātmāna śamayati ekamātmātmānaṃparinirvāyanti teṣāmapi	ekam-AtmAnaH Samayati ekam-Atma-AtmA-anaMpari-nirvAyanti tezAm-api
   'yaṃkāyonikṣepaṇadharmaḥ /	ayaMka-ayaH-nikzepaNa-DarmaH /
   yepi te bhikṣavastathāgatā arhantaḥ samyak	yepi te BikzavaH-taTAgatAH arhantaH samyak-
   saṃbuddhādaśavalavalinaḥudārārṣamāḥsamyak	saMbudDAt-aSava-la-valinaH-udAra-Arza-mAH-samyak
   siṃhanādanādineścaturvaiśāradyadharmārohaṇa vaiśāradyaṃ /	siMhanAdanAdineH-catur-vESAradya-Darma-ArohaNa vESAradyam /
   sarvadharmadeśanāvaiśāradyaṃ nirvāṇamārgavatāraṇavaiśāradyaṃ āśravajñāna	sarva-Darma-deSanA-vESAradyam nirvANa-mArgava-tAraNa-vESAradyam ASrava-jQAna
   prahāṇāvaiśāradyaṃ /	prahANa-avESAradyam /
   viśadādṛḍhanārāyaṇasaṃhatakāyāsteṣāmapyayaṃkāyonikṣepaṇa dharmaḥ /	viSada-adRXa-nArAyaNa-saMhata-kAyAH-tezAm-apyayaMka-ayaH-nikzepaNa DarmaH /
   tadyathāpi nāma bhikṣavaḥ kumbhakārakṛtāni bhāṇḍāniśrāmānivāpakvāni va	tat-yaTA-api nAma BikzavaH kumBakAra-kRtAni BANxA-niSrAmA-nivApakvAni va
   bhedanaparyantāni bhedana paryavasānānyevameva bhikṣavaḥ sarveṣāṃ	Bedana-paryantAni Bedana paryavasAnAni-evam-eva BikzavaH sarvezAm
   sattvānāṃ sarveṣāṃ bhūtānāṃ prāṇināṃ āmaraṇāntaṃ hi jīvita	sattvAnAm sarvezAm BUtAnAm prANinAm AmaraNa-antam hi jIvita
   maraṇaparyavasānaṃ nāsti jātasyāmaraṇaṃ / īdamavocadbhagavānnidamukto	maraNa-paryavasAnam na-asti jAtasya-amaraNam / Idam-avocat-BagavAn-nida-muktaH-
   sugato hyathā parovāca śāstā /	sugataH hi-aTA para-uvAca SAstA /
   anityāvata saṃskārā utpāda vyayadhārmiṇaḥ /	anityAvata saMskArAH utpAda vyaya-DArmiNaH /
   utpādyahinirūdhyante teṣāṃvyapaśamaḥsukhaṃ //	utpAdya-hinirUDyante tezAM-vyapaSamaH-suKam //
   yathā hi kumbhakāreṇa muttikābhājanaṃ kṛtaṃ /	yaTA hi kumBakAreNa muttikA-BAjanam kRtam /
   sarva bhedana paryantaṃ sattvānāṃjīvitaṃtathā //	sarva Bedana paryantam sattvAnAMjI-vitaMtaTA //
   yathāphalānāṃ pakvānāṃśaśvatpatanatobhayaṃ /	yaTA-PalAnAm pakvAna-aMSa-Svat-patanatoBayam /
   tathā saṃskārajāḥ satvā nityaṃ maraṇato bhayaṃ //	taTA saMskAra-jAH satvAH nityam maraNataH Bayam //
   sarvekṣayāntā nicayāḥ patanāntāḥ samucchrayāḥ /	sarva-Ikzaya-antAH nicayAH patana-antAH samucCrayAH /
   saṃyogāśca viyogāntā maraṇāntahi jīvitam //	saMyogAH-ca viyoga-antAH maraNa-antahi jIvitam //
   idamavocad bhagavānāttamanāste ca bhikṣavaḥ sā ca parṣadobhagavato	idam-avocat BagavAn-AttamanAH-te ca BikzavaH sA ca parzadaH-BagavataH-
   bhāṣitamabhyanandan /	BAzitam-aByanandan /
   ityāryānityatā sūtraṃsamāptaṃ //	iti-AryA-aniti-a-tA sUtraMsam-Aptam //
