   (Vaidya 75)	(VEdyaH 75)
   pragrahītavyam | evaṃ bhagavan ityāyuṣyān subhūtirbhagavataḥ pratyaśrauṣīt	pragrahItavyam | evam Bagavan iti-AyuzyAn suBUtiH-BagavataH pratyaSrOzIt-
   bhagavānasyaitadavocat - iha subhūte bodhisattvayānasaṃprasthitenaiva	BagavAn-asya-etat-avocat  iha suBUte boDisattva-yAna-saMprasTitena-eva
   cittamutpādayitavyam - yāvantaḥ subhūte sattvāḥ sattvadhātau	cittam-utpAdayitavyam  yAvantaH suBUte sattvAH sattva-DAtO
   sattvasaṃgraheṇa saṃgṛhītā aṇḍajā vā jarāyujā vā saṃsvedajā vā aupapādukā	sattva-saMgraheNa saMgRhItAH aNxa-jAH vA jarAyu-jAH vA saMsveda-jA vA OpapAdukA
   vā rūpiṇo vā arūpiṇo vā saṃjñino vā asaṃjñino vā naivasaṃjñino nāsaṃjñino	vA rUpiNaH vA arUpiNaH vA saMjQinaH vA asaMjQinaH vA na-eva-saMjQinaH na-asaMjQinaH-
   vā, yāvān kaścitsattvadhātuḥ prajñapyamānaḥ prajñapyate, te ca mayā sarve	vA, yAvAn kaScid-sattva-DAtuH prajQapyamAnaH prajQapyate, te ca mayA sarve
   'nupadhiśeṣe nirvāṇadhātau parinirvāpayitavyāḥ | evamaparimāṇānapi sattvān	anupaDi-Seze nirvANa-DAtO parinirvApayitavyAH | evam-aparimANAn-api sattvAn
   parinirvāpya na kaścitsattvaḥ parinirvāpito bhavati | tatkasya hetoḥ?	parinirvApya na kaScid-sattvaH parinirvApitaH Bavati | tat-kasya hetoH?
   sacetsubhūte bodhisattvasya sattvasaṃjñā pravarteta, na sa bodhisattva iti	saced-suBUte boDisattvasya sattva-saMjQA pravarteta, na sa boDisattvaH iti
   vaktavyaḥ | tatkasya hetoḥ? na sa subhūte bodhisattvo vaktavyo yasya	vaktavyaH | tat-kasya hetoH? na sa suBUte boDisattvaH vaktavyaH yasya
   sattvasaṃjñā pravarteta, jīvasaṃjñā vā pudgalasaṃjñā va pravarteta || 3 ||	sattva-saMjQA pravarteta, jIva-saMjQA vA pudgala-saMjQA va pravarteta || 3 ||
   (Vajr, Vaidya 76) api tu khalu punaḥ subhute na bodhisattvena	(Vajr, VEdya 76) api tu Kalu punar suBute na boDisattvena
   vastupratiṣṭhitena dānaṃ dātavyam, na kvacitpratiṣṭhitena dānaṃ dātavyam |	vastu-pratizWitena dAnam dAtavyam, na kvacid-pratizWitena dAnam dAtavyam |
   na rūpapratiṣṭhitena dānaṃ dātavyam | na śabdagandharasaspraṣṭavyadharmeṣu	na rUpa-pratizWitena dAnam dAtavyam | na Sabda-ganDa-rasa-sprazwavya-Darmezu
   pratiṣṭhitena dānaṃ dātavyam | evaṃ hi sūbhūte bodhisattvena mahāsattvena	pratizWitena dAnam dAtavyam | evam hi sUBUte boDisattvena mahAsattvena
   dānaṃ dātavyaṃ yathā na nimittasaṃjñāyāmapi pratitiṣṭhet | tatkasya hetoḥ?	dAnam dAtavyam yaTA na nimitta-saMjQAyAm-api pratitizWet | tat-kasya hetoH?
   yaḥ subhūte bodhisattvo 'pratiṣṭhito dānaṃ dadāti, tasya subhūte	yaH suBUte boDisattvaH apratizWitaH dAnam dadAti, tasya suBUte
   puṇyaskandhasya na sukaraṃ pramāṇāmudgrahītum | tatkiṃ manyase subhūte	puNya-skanDasya na sukaram pramANAm-udgrahItum | tat-kim manyase suBUte
   sukaraṃ pūrvasyāṃ diśi ākāśasya pramāṇamudgrahītum? subhūtirāha - no hīdaṃ	sukaram pUrvasyAm diSi AkASasya pramANam-udgrahItum? suBUtiH-Aha  no hi-idam
   bhagavan | bhagavānāha - evaṃ dakṣiṇapaścimottarāsu adha ūrdhvaṃ	Bagavan | BagavAn-Aha  evam dakziNa-paScima-uttarAsu aDas UrDvam
   digvidikṣu samantāddaśasu dikṣu sukaramākāśasya pramāṇamudgrahītum?	diS-vidikzu samantAt-daSasu dikzu sukaram-AkASasya pramANam-udgrahItum-?
   subhūtirāha - no hīdaṃ bhagavan | bhagavānāha - evameva subhūte yo	suBUtiH-Aha  no hi-idam Bagavan | BagavAn-Aha  evam-eva suBUte yaH-
   bodhisattvo 'pratiṣṭhito dānaṃ dadāti, tasya subhūte puṇyaskandhasya na	boDisattvaH apratizWitaH dAnam dadAti, tasya suBUte puNya-skanDasya na
   sukaraṃ pramāṇamudgrahītum | evaṃ hi subhūte bodhisattvayānasaṃprasthitena	sukaram pramANam-udgrahItum | evam hi suBUte boDisattva-yAna-saMprasTitena
   dānaṃ dātavyaṃ yathā na nimittasaṃjñāyāmapi pratitiṣṭhet || 4 ||	dAnam dAtavyam yaTA na nimitta-saMjQAyAm-api pratitizWet || 4 ||
   tatkiṃ manyase subhūte lakṣaṇasaṃpadā tathāgato draṣṭavyaḥ? subhūtirāha -	tat-kim manyase suBUte lakzaNa-saMpadA taTAgataH drazwavyaH? suBUtiH-Aha -
   no hīdaṃ bhagavan | na lakṣaṇasaṃpadā tathāgato draṣṭavyaḥ | tatkasya	no hi-idam Bagavan | na lakzaNa-saMpadA taTAgataH drazwavyaH | tat-kasya
   hetoḥ? yā sā bhagavan lakṣaṇasaṃpattathāgatena bhāṣitā saivālakṣaṇasaṃpat	hetoH? yA sA Bagavan lakzaNa-saMpad-taTA-gatena BAzitA sA-eva-alakzaNa-saMpad-
   | evamukte bhagavānāyuṣmantaṃ subhūtimetadavocat yāvatsubhūte	| evam-ukte BagavAn-Ayuzmantam suBUtim-etat-avocat yAvat-suBUte
   lakṣaṇasaṃpat tāvanmṛṣā, yāvadalakṣaṇasaṃpat tāvanna mṛṣeti hi	lakzaNa-saMpad tAvat-mRzA, yAvat-alakzaNa-saMpad tAvat-na mRzA-iti hi
   lakṣaṇālakṣaṇatastathāgato draṣṭavyaḥ || 5 ||	lakzaNa-alakzaNataH-taTAgataH drazwavyaH || 5 ||
   evamukte āyuṣmān subhūtirbhagavantametadavocat - asti bhagavan |	evam-ukte AyuzmAn suBUtiH-Bagavantam-etat-avocat  asti Bagavan |
   kecitsattvā bhaviṣyantyanāgate 'dhvani paścime kāle paścime samaye	kecid-sattvAH Bavizyanti-anAgate aDvani paScime kAle paScime samaye
   paścimāyāṃ pañcaśatyāṃ saddharmavipralopakāle vartamāne, ye	paScimAyAm paQcaSatyAm sat-Darma-vipralopa-kAle vartamAne, ye
   imeṣvevaṃrūpeṣu sūtrāntapadeṣu bhāṣyamāṇeṣu bhūtasaṃjñāmutpādayiṣyanti |	imezu-evaMrUpezu sUtrAnta-padezu BAzyamANezu BUta-saMjQAm-utpAdayizyanti |
   api tu khalu punaḥ subhūte bhaviṣyantyanāgate 'dhvani bodhisattvā	api tu Kalu punar suBUte Bavizyanti-anAgate aDvani boDisattvA
   mahāsattvāḥ paścime kāle paścime samaye paścimāyāṃ pañcaśatyāṃ	mahAsattvAH paScime kAle paScime samaye paScimAyAm paQcaSatyAm
   saddharmavipralope vartamāne guṇavantaḥ śīlavantaḥ prajñāvantaśca	sat-Darma-vipralope vartamAne guNavantaH SIlavantaH prajQAvantaH-ca
   bhaviṣyanti, ye imeṣvevaṃrūpeṣu sūtrāntapadeṣu bhāṣyamāṇeṣu	Bavizyanti, ye imezu-evaMrUpezu sUtrAnta-padezu BAzyamANezu
   bhūtasaṃjñāmutpāadayiṣyanti | na khalu punaste subhūte bodhisattvā	BUta-saMjQAm-utpAadayizyanti | na Kalu punar-te suBUte boDisattvA
   mahāsattvā ekabuddhaparyupāsitā bhaviṣyanti, naikabuddhāvaropitakuśalamūlā	mahAsattvAH ekabudDa-paryupAsitA Bavizyanti, na-eka-budDa-avaropita-kuSala-mUlA
   bhaviṣyanti | api tu khalu punaḥ subhūte anekabuddhaśatasahasraparyupāsitā	Bavizyanti | api tu Kalu punar suBUte aneka-budDa-Sata-sahasra-paryupAsitA
   anekabuddhaśatasahasrāvaropitakuśalamūlāste bodhisattvā mahāsattvā	aneka-budDa-Sata-sahasra-avaropita-kuSala-mUlAH-te boDisattvAH mahAsattvA
   bhaviṣyanti, ye imeṣvevaṃrūpeṣu sūtrāntapadeṣu bhāṣyamāṇeṣu	Bavizyanti, ye imezu-evaMrUpezu sUtrAnta-padezu BAzyamANezu
   ekacittaprasādamapi pratilapsyante | jñātāste subhūte tathāgatena	ekacitta-prasAdam-api pratilapsyante | jQAtAH-te suBUte taTAgatena
   buddhajñānena, dṛṣṭāste subhūte tathāgatena buddhacakṣuṣā, buddhāste	budDa-jQAnena, dRzwAH-te suBUte taTAgatena budDa-cakzuzA, budDAH-te
   subhūte tathāgatena | sarve te subhūte aprameyamasaṃkhyeyaṃ puṇyaskandhaṃ	suBUte taTAgatena | sarve te suBUte aprameyam-asaMKyeyam puNya-skanDam
   prasaviṣyanti pratigrahīṣyanti | tatkasya hetoḥ? na hi subhūte teṣāṃ	prasavizyanti pratigrahIzyanti | tat-kasya hetoH? na hi suBUte tezAm
   bodhisattvānāṃ mahāsattvānāmātmasaṃjñā pravartate, na sattvasaṃjñā, na	boDisattvAnAm mahAsattvAnAm-Atma-saMjQA pravartate, na sattva-saMjQA, na
   jīvasaṃjñā, na pudgalasaṃjñā pravartate | nāpi teṣāṃ subhūte	jIva-saMjQA, na pudgala-saMjQA pravartate | na-api tezAm suBUte
   bodhisattvānāṃ mahāsattvānāṃ dharmasaṃjñā pravartate | evaṃ nādharmasaṃjñā	boDisattvAnAm mahAsattvAnAm Darma-saMjQA pravartate | evam na-aDarma-saMjQA
   | nāpi teṣāṃ subhūte saṃjñā nāsaṃjñā pravartate | tatkasya hetoḥ?	| na-api tezAm suBUte saMjQA na-asaMjQA pravartate | tat-kasya hetoH?
   sacetsubhūte teṣāṃ bodhisattvānāṃ mahāsattvānāṃ dharmasaṃjñā pravarteta,	saced-suBUte tezAm boDisattvAnAm mahAsattvAnAm Darma-saMjQA pravarteta,
   sa eva teṣāmātmagrāho bhavet, sattvagrāho jīvagrāhaḥ pudgalagrāho bhavet |	saH eva tezAm-Atma-grAhaH Bavet, sattva-grAhaH jIva-grAhaH pudgala-grAhaH Bavet |
   sacedadharmasaṃjñā pravarteta, sa eva teṣāmātmagrāho bhavet, sattvagrāho	saced-aDarma-saMjQA pravarteta, saH eva tezAm-Atma-grAhaH Bavet, sattva-grAhaH-
   (Vajr, Vaidya 77) jīvagrāhaḥ pudgalagrāha iti | tatkasya hetoḥ? na khalu	(Vajr, VEdyaH 77) jIva-grAhaH pudgala-grAhaH iti | tat-kasya hetoH? na Kalu
   punaḥ subhūte bodhisattvena mahāsattvena dharma udgrahītavyo nādharmaḥ |	punar suBUte boDisattvena mahAsattvena DarmaH udgrahItavyaH na-aDarmaH |
   tasmādiyaṃ tathāgatena saṃdhāya vāgbhāṣitā - kolopamaṃ	tasmAt-iyam taTAgatena saMDAya vAc-BAzitA  kola-upamam
   dharmaparyāyamājānadbhidharmā eva prahātavyāḥ prāgevādharmā iti || 6 ||	Darma-paryAyam-AjAnadBiDarmAH eva prahAtavyAH prAk-eva-aDarmA iti || 6 ||
   punaraparaṃ bhagavānāyuṣmantaṃ subhūtimetadavocat - tatkiṃ manyase	punar-aparam BagavAn-Ayuzmantam suBUtim-etat-avocat  tat-kim manyase
   subhūte, asti sa kaściddharmo yastathāgatenānuttarā	suBUte, asti sa kaScid-DarmaH yaH-taTAgatena-anuttarA
   samyaksaṃbodhirityabhisaṃbuddhaḥ, kaścidvā dharmastathāgatena deśitaḥ?	samyaksaMboDiH-iti-aBisaMbudDaH, kaScid-vA DarmaH-taTAgatena deSitaH?
   evamukte āyuṣmān subhūtirbhagavantametadavocat - yathāhaṃ bhagavan	evam-ukte AyuzmAn suBUtiH-Bagavantam-etat-avocat  yaTA-aham Bagavan
   bhagavato bhāṣitasyārthamājānāmi, nāsti sa kaściddharmo yastathāgatena	BagavataH BAzitasya-arTam-AjAnAmi, na-asti sa kaScid-DarmaH yaH-taTAgatena
   anuttarā samyaksaṃbodhirityabhisaṃbuddhaḥ, nāsti dharmo yastathāgatena	anuttarA samyaksaMboDiH-iti-aBisaMbudDaH, na-asti DarmaH yaH-taTAgatena
   deśitaḥ | tatkasya hetoḥ? yo 'sau tathāgatena dharmo 'bhisaṃbuddho deśito	deSitaH | tat-kasya hetoH? yaH asO taTAgatena DarmaH aBisaMbudDaH deSitaH-
   vā, agrāhyaḥ so 'nabhilapyaḥ | na sa dharmo nādharmaḥ | tatkasya hetoḥ?	vA, agrAhyaH saH anaBilapyaH | na sa DarmaH na-aDarmaH | tat-kasya hetoH?
   asaṃskṛtaprabhāvitā hyāryapudgalāḥ || 7 ||	asaMskRta-praBAvitAH hi-Arya-pudgalAH || 7 ||
   bhagavānāha - tatkiṃ manyase subhūte yaḥ kaścitkulaputro vā kuladuhitā vā	BagavAn-Aha  tat-kim manyase suBUte yaH kaScid-kula-putraH vA kula-duhitA vA
   imaṃ trisāhasramahāsāhasraṃ lokadhātuṃ saptaratnaparipūrṇaṃ kṛtvā	imam tri-sAhasra-mahA-sAhasram lokaDAtum sapta-ratna-paripUrNam kRtvA
   tathāgatebhyo 'rhadbhayaḥ samyaksaṃbuddhebhyo dānaṃ dadyāt, api nu sa	taTAgateByaH arhat-BayaH samyaksaMbudDeByaH dAnam dadyAt, api nu sa
   kulaputro vā kuladuhitā vā tatonidānaṃ bahu puṇyaskandhaṃ prasunuyāt |	kula-putraH vA kula-duhitA vA tatonidAnam bahu puNya-skanDam prasunuyAt |
   subhūtirāha - bahu bhagavan, bahu sugata sa kulaputro vā kuladuhitā vā	suBUtiH-Aha  bahu Bagavan, bahu sugata sa kula-putraH vA kula-duhitA vA
   tatonidānaṃ puṇyaskandhaṃ prasunuyāt | tatkasya hetoḥ? yo 'sau bhagavan	tatonidAnam puNya-skanDam prasunuyAt | tat-kasya hetoH? yaH asO Bagavan
   puṇyaskandhastathāgatena bhāṣitaḥ, askandhaḥ sa tathāgatena bhāṣitaḥ |	puNya-skanDaH-taTAgatena BAzitaH, askanDaH sa taTAgatena BAzitaH |
   tasmāttathāgato bhāṣate - puṇyaskandhaḥ puṇyaskandha iti | bhagavānāha -	tasmAt-taTAgataH BAzate  puNya-skanDaH puNya-skanDaH iti | BagavAn-Aha -
   yaśca khalu punaḥ subhūte kulaputro vā kuladuhitā va imaṃ	yaH-ca Kalu punar suBUte kula-putraH vA kula-duhitA vaH imam
   trisāhasramahāsāhasraṃ lokadhātuṃ saptaratnaparipūrṇaṃ kṛtvā tathāgatebhyo	tri-sAhasra-mahA-sAhasram lokaDAtum sapta-ratna-paripUrNam kRtvA taTAgateByaH-
   'rhadbhyaḥ samyaksaṃbuddhebhyo dānaṃ dadyāt, yaśca ito	arhadByaH samyaksaMbudDeByaH dAnam dadyAt, yaH-ca itas-
   dharmaparyāyādantaśaścatuṣpādikāmapi gāthāmudgṛhya parebhyo vistareṇa	Darma-paryAyAt-antaSas-catuzpAdikAm-api gATAm-udgRhya pareByaH vistareNa
   deśayet saṃprakāśayet, ayameva tatonidānaṃ bahutaraṃ puṇyaskandhaṃ	deSayet saMprakASayet, ayam-eva tatonidAnam bahutaram puNya-skanDam
   prasunuyādaprameyasaṃkhyeyam | tatkasya hetoḥ? atonirjātā hi subhūte	prasunuyAt-aprameya-saMKyeyam | tat-kasya hetoH? atonirjAtA hi suBUte
   tathāgatānāmarhatāṃ samyaksaṃbuddhānāmanuttarā samyaksaṃbodhiḥ,	taTAgatAnAm-arhatAm samyaksaMbudDAnAm-anuttarA samyaksaMboDiH,
   atonirjātāśca buddhā bhagavantaḥ | tatkasya hetoḥ? buddhadharmā	atonirjAtAH-ca budDAH BagavantaH | tat-kasya hetoH? budDa-DarmA
   buddhadharmā iti subhūte abuddhadharmāścaiva te tathāgatena bhāṣitāḥ |	budDa-DarmAH iti suBUte abudDa-DarmAH-ca-eva te taTAgatena BAzitAH |
   tenocyante buddhadharmā iti || 8 ||	tena-ucyante budDa-DarmAH iti || 8 ||
   tatkiṃ manyase subhūte api nu srotaāpannasyaivaṃ bhavati - mayā	tat-kim manyase suBUte api nu srotaApannasya-evam Bavati  mayA
   srotaāpattiphalaṃ prāptamiti? subhūtirāha - no hīdaṃ bhagavan | na	srotaApatti-Palam prApta-miti? suBUtiH-Aha  no hi-idam Bagavan | na
   srotaāpannasyaivaṃ bhavati - mayā srotaāpattiphalaṃ prāptamiti | tatkasya	srotaApannasya-evam Bavati  mayA srotaApatti-Palam prAptam-iti | tat-kasya
   hetoḥ? na hi sa bhagavan kaṃciddharmamāpannaḥ, tenocyate srotaāpanna iti |	hetoH? na hi sa Bagavan kaMcid-Darmam-ApannaH, tena-ucyate srotaApannaH iti |
   na rūpamāpanno na śabdān na gandhān na rasān na spraṣṭavyān dharmānāpannaḥ	na rUpam-ApannaH na SabdAn na ganDAn na rasAn na sprazwavyAn DarmAn-ApannaH
   | tenocyate srotaāpanna iti | sacedbhagavan srotaāpannasyaivaṃ bhavet -	| tena-ucyate srotaApannaH iti | saced-Bagavan srotaApannasya-evam Bavet -
   mayā srotaāpattiphalaṃ prāptamiti, sa eva tasyātmagrāho bhavet,	mayA srotaApatti-Palam prAptam-iti, saH eva tasya-Atma-grAhaH Bavet-,
   sattvagrāho jīvagrāhaḥ pudgalagrāho bhavediti ||	sattva-grAhaH jIva-grAhaH pudgala-grAhaH Bavet-iti ||
   bhagavānāha - tatkiṃ manyase subhūte api nu sakṛdāgāmina evaṃ bhavati -	BagavAn-Aha  tat-kim manyase suBUte api nu sakRdAgAminaH evam Bavati -
   mayā sakṛdāgāmiphalaṃ prāptamiti? subhūtirāha - no hīdaṃ bhagavan | sa	mayA sakRdAgAmi-Palam prApta-miti? suBUtiH-Aha  no hi-idam Bagavan | sa
   sakṛdāgāmina evaṃ bhavati - mayā (Vajr, Vaidya 78) sakṛdāgāmiphalaṃ	sakRdAgAminaH evam Bavati  mayA (Vajr, VEdyaH 78) sakRdAgAmi-Palam
   prāptamiti | tatkasya hetoḥ? na hi sa kaściddharmo yaḥ	prAptam-iti | tat-kasya hetoH? na hi sa kaScid-DarmaH yaH
   sakṛdāgāmitvamāpannaḥ | tenocyate sakṛdāgāmīti ||	sakRdAgAmi-tvam-ApannaH | tena-ucyate sakRdAgAmi-iti ||
   bhagavānāha - tatkiṃ manyase subhūte api nu anāgāmina evaṃ bhavati -	BagavAn-Aha  tat-kim manyase suBUte api nu anAgAminaH evam Bavati -
   mayānāgāmiphalaṃ prāptamiti? subhūtirāha - no hīdaṃ bhagavan | na	mayA-anAgAmi-Palam prApta-miti? suBUtiH-Aha  no hi-idam Bagavan | na
   anāgāmina evaṃ bhavati - mayā anāgāmiphalaṃ prāptamiti | tatkasya hetoḥ?	anAgAminaH evam Bavati  mayA anAgAmi-Palam prAptam-iti | tat-kasya hetoH?
   na hi sa bhagavan kaściddharmo yo 'nāgāmitvamāpannaḥ | tenocyate anāgāmīti	na hi sa Bagavan kaScid-DarmaH yaH anAgAmi-tvam-ApannaH | tena-ucyate anAgAmi-iti
   bhagavānāha - tatkiṃ manyase subhūte api nu arhata evaṃ bhavati - mayā	BagavAn-Aha  tat-kim manyase suBUte api nu arhate evam Bavati  mayA
   arhattvaṃ prāptamiti? subhūtirāha - no hīdaṃ bhagavan | nārhata evaṃ	arhat-tvam prApta-miti? suBUtiH-Aha  no hi-idam Bagavan | na-arhataH evam
   bhavati - mayā arhattvaṃ prāptamiti | tatkasya hetoḥ? na hi sa bhagavan	Bavati  mayA arhat-tvam prAptam-iti | tat-kasya hetoH? na hi sa Bagavan
   kaściddharmo yo 'rhannāma | tenocyate - arhanniti | sacedbhagavan arhata	kaScid-DarmaH yaH arhat-nAma | tena-ucyate  arhan=-iti | saced-Bagavan arhata
   evaṃ bhavet - mayā arhattvaṃ prāptamiti, sa eva tasyātmagrāho bhavet,	evam Bavet  mayA arhat-tvam prAptam-iti, saH eva tasya-Atma-grAhaH Bavet-,
   sattvagrāho jīvagrāhaḥ pudgalagrāho bhavet | tatkasya hetoḥ? ahamasmi	sattva-grAhaH jIva-grAhaH pudgala-grAhaH Bavet | tat-kasya hetoH? aham-asmi
   bhagavaṃstathāgatenārhatā samyaksaṃbuddhena araṇāvihāriṇāmagryo nirdiṣṭaḥ	Bagavan=-taTAgatena-arhatA samyaksaMbudDena araNA-vihAriNAm-agryaH nirdizwaH
   | ahamasmi bhagavan arhan vītarāgaḥ | na ca me bhagavannevaṃ bhavati -	| aham-asmi Bagavan arhan vIta-rAgaH | na ca me Bagavan=-evam Bavati -
   arhannasmyahaṃ vītarāga iti | sacenmama bhagavannevaṃ bhavet - mayā	arhan=-asmi-aham vIta-rAgaH iti | saced-mama Bagavan=-evam Bavet  mayA
   arhattvaṃ prāptamiti, na māṃ tathāgato vyākariṣyadaraṇāvihāriṇāmagryaḥ	arhat-tvam prAptam-iti, na mAm taTAgataH vyAkarizya-daraNa-avihAriNAm-agryaH
   subhūtiḥ kulaputro na kvacidviharati, tenocyate araṇāvihārī araṇāvihārīti	suBUtiH kula-putraH na kvacid-viharati, tena-ucyate araNA-vihArI araNO=-ihArI-iti
   bhagavānāha - tatkiṃ manyase subhūte - asti sa kaściddharmo yastathāgatena	BagavAn-Aha  tat-kim manyase suBUte  asti sa kaScid-DarmaH yaH-taTAgatena
   dīpaṃkarasya tathāgatasyārhata - samyaksaṃbuddhasyāntikādudgṛhītaḥ?	dIpaMkarasya taTAgatasya-arhata  samyaksaMbudDasya-antikAt-udgRhItaH?
   subhūtirāha - no hīdaṃ bhagavan | nāsti sa kaściddharmo yastathāgatena	suBUtiH-Aha  no hi-idam Bagavan | na-asti sa kaScid-DarmaH yaH-taTAgatena
   dīpaṃkarasya tathāgatasyārhataḥ samyaksaṃbuddhasyāntikādudgṛhītaḥ ||	dIpaMkarasya taTAgatasya-arhataH samyaksaMbudDasya-antikAt-udgRhItaH ||
   bhagavānāha - yaḥ kaścitsubhūte bodhisattva evaṃ vadet - ahaṃ kṣetravyūhān	BagavAn-Aha  yaH kaScid-suBUte boDisattvaH evam vadet  aham kzetra-vyUhAn
   niṣpādayiṣyāmīti, sa vitathaṃ vadet | tatkasya hetoḥ? kṣetravyūhāḥ	nizpAdayizyAmi-iti, sa vitaTam vadet | tat-kasya hetoH? kzetra-vyUhAH
   kṣetravyūhā iti subhūte avyūhāste tathāgatena bhāṣitāḥ | tenocyante	kzetra-vyUhAH iti suBUte avyUhAH-te taTAgatena BAzitAH | tena-ucyante
   kṣetravyūhā iti | tasmāttarhi subhūte bodhisattvena mahāsattvena	kzetra-vyUhAH iti | tasmAt-tarhi suBUte boDisattvena mahAsattvena
