   BhP_12.01.001/0 śrī-śuka uvāca	BhP_12.01.001/0 SrI-SukaH uvAca
   BhP_12.01.010/3 ya imāṃ bhokṣyanti mahīṃ rājānaś ca śataṃ samāḥ	Bhu-_12.01.010/3 ye imAm Bokzyanti mahIm rAjAnaH ca Satam samAH
   BhP_12.01.011/1 nava nandān dvijaḥ kaścit prapannān uddhariṣyati	Bhu-_12.01.011/1 nava nandAn dvijaH kaScid prapannAn udDarizyati
   BhP_12.01.011/3 teṣāṃ abhāve jagatīṃ mauryā bhokṣyanti vai kalau	Bhu-_12.01.011/3 tezAm aBAve jagatIm mOryAH Bokzyanti vE kalO
   BhP_12.01.012/1 sa eva candraguptaṃ vai dvijo rājye 'bhiṣekṣyati	Bhu-_12.01.012/1 saH eva candraguptam vE dvijaH rAjye aBizekzyati
   BhP_12.01.012/3 tat-suto vārisāras tu tataś cāśokavardhanaḥ	Bhu-_12.01.012/3 tat-sutaH vArisAraH tu tatas ca-aSoka-varDanaH
   BhP_12.01.013/1 suyaśā bhavitā tasya saṅgataḥ suyaśaḥ-sutaḥ	Bhu-_12.01.013/1 suyaSA BavitA tasya saFgataH su-yaSaH--sutaH
   BhP_12.01.013/3 śāliśūkas tatas tasya somaśarmā bhaviṣyati	BhP_12.01.013/3 SAliSUkaH tatas tasya somaSarmA Bavizyati
   BhP_12.01.013/5 śatadhanvā tatas tasya bhavitā tad-bṛhadrathaḥ	Bhu-_12.01.013/5 SataDanvA tatas tasya BavitA tad--bRhadraTaH
   BhP_12.01.014/1 mauryā hy ete daśa nṛpāḥ sapta-triṃśac-chatottaram	Bhu-_12.01.014/1 mOryAH hi ete daSa nRpAH sapta-triMSac--Sata-uttaram
   BhP_12.01.014/3 samā bhokṣyanti pṛthivīṃ kalau kuru-kulodvaha	Bhu-_12.01.014/3 samAH Bokzyanti pRTivIm kalO kuru-kula-udvaha
   BhP_12.01.015/1 agnimitras tatas tasmāt sujyeṣṭho bhavitā tataḥ	Bhu-_12.01.015/1 agnimitraH tatas tasmAt su-jyezWaH BavitA tatas-
   BhP_12.01.015/3 vasumitro bhadrakaś ca pulindo bhavitā sutaḥ	BhP_12.01.015/3 vasumitraH BadrakaH ca pulindaH BavitA sutaH
   BhP_12.01.016/1 tato ghoṣaḥ sutas tasmād vajramitro bhaviṣyati	Bhu-_12.01.016/1 tatas GozaH sutaH tasmAt vajramitraH Bavizyati
   BhP_12.01.016/3 tato bhāgavatas tasmād devabhūtiḥ kurūdvaha	Bhu-_12.01.016/3 tatas BAgavataH tasmAt devaBUtiH kuru-udvaha
   BhP_12.01.017/1 śuṅgā daśaite bhokṣyanti bhūmiṃ varṣa-śatādhikam	BhP_12.01.017/1 SuFgAH daSA-ete Bokzyanti BUmim varza--Sata-aDikam
   BhP_12.01.017/3 tataḥ kāṇvān iyaṃ bhūmir yāsyaty alpa-guṇān nṛpa	Bhu-_12.01.017/3 tatas kANvAn iyam BUmiH yAsyati alpa-guNAn nRpa
   BhP_12.01.018/1 śuṅgaṃ hatvā devabhūtiṃ kāṇvo 'mātyas tu kāminam	BhP_12.01.018/1 SuFgam hatvA devaBUtim kANvaH amAtyaH tu kAminam
   BhP_12.01.018/3 svayaṃ kariṣyate rājyaṃ vasudevo mahā-matiḥ	Bhu-_12.01.018/3 svayam karizyate rAjyam vasudevaH mahA-matiH
   BhP_12.01.019/1 tasya putras tu bhūmitras tasya nārāyaṇaḥ sutaḥ	Bhu-_12.01.019/1 tasya putraH tu BUmitraH tasya nArAyaNaH sutaH
   BhP_12.01.019/3 kāṇvāyanā ime bhūmiṃ catvāriṃśac ca pañca ca	BhP_12.01.019/3 kANvAyanAH ime BUmim catvAriMSat ca paQca ca
   BhP_12.01.019/5 śatāni trīṇi bhokṣyanti varṣāṇāṃ ca kalau yuge	Bhu-_12.01.019/5 SatAni trINi Bokzyanti varzANAm ca kalO yuge
   BhP_12.01.020/1 hatvā kāṇvaṃ suśarmāṇaṃ tad-bhṛtyo vṛṣalo balī	Bhu-_12.01.020/1 hatvA kANvam suSarmANam tat--BRtyaH vRzalaH balI
   BhP_12.01.020/3 gāṃ bhokṣyaty andhra-jātīyaḥ kañcit kālam asattamaḥ	Bhu-_12.01.020/3 gAm Bokzyati anDra-jAtIyaH kaQcid kAlam asattamaH
   BhP_12.01.021/1 kṛṣṇa-nāmātha tad-bhrātā bhavitā pṛthivī-patiḥ	BhP_12.01.021/1 kRzNa-nAma-aTa tad--BrAtA BavitA pRTivI--patiH
   BhP_12.01.021/3 śrī-śāntakarṇas tat-putraḥ paurṇamāsas tu tat-sutaḥ	Bhu-_12.01.021/3 SrI-SAnta-karNaH tat-putraH pOrNamAsaH tu tat-sutaH
   BhP_12.01.022/1 lambodaras tu tat-putras tasmāc cibilako nṛpaḥ	Bhu-_12.01.022/1 lambodaraH tu tat-putraH tasmAt cibilakaH nRpaH
   BhP_12.01.022/3 meghasvātiś cibilakād aṭamānas tu tasya ca	Bhu-_12.01.022/3 meGa-svAtiH cibilakAt awamAnaH tu tasya ca
   BhP_12.01.023/1 aniṣṭakarmā hāleyas talakas tasya cātma-jaḥ	Bhu-_12.01.023/1 anizwa-karmA hAleyaH talakaH tasya ca-Atma-jaH
   BhP_12.01.023/3 purīṣabhīrus tat-putras tato rājā sunandanaḥ	BhP_12.01.023/3 purIza-BIruH tat-putraH tatas rAjA sunandanaH
   BhP_12.01.024/1 cakoro bahavo yatra śivasvātir arin-damaḥ	Bhu-_12.01.024/1 cakoraH bahavaH yatra Siva-svAtiH arin-damaH
   BhP_12.01.024/3 tasyāpi gomatī putraḥ purīmān bhavitā tataḥ	Bhu-_12.01.024/3 tasya-api gomatI putraH purImAn BavitA tatas-
   BhP_12.01.025/1 medaśirāḥ śivaskando yajñaśrīs tat-sutas tataḥ	Bhu-_12.01.025/1 medaSirAH Siva-skandaH yajQa-SrIH tat-sutaH tatas-
   BhP_12.01.025/3 vijayas tat-suto bhāvyaś candravijñaḥ sa-lomadhiḥ	Bhu-_12.01.025/3 vijayaH tat-sutaH BAvyaH candra-vijQaH sa-lomaDiH
   BhP_12.01.026/1 ete triṃśan nṛpatayaś catvāry abda-śatāni ca	Bhu-_12.01.026/1 ete triMSat nRpatayaH catvAri abda-SatAni ca
   BhP_12.01.027/3 ṣaṭ-pañcāśac ca pṛthivīṃ bhokṣyanti kuru-nandana	Bhu-_12.01.027/3 zaw-paQcASat ca pRTivIm Bokzyanti kuru-nandana
   BhP_12.01.027/1 saptābhīrā āvabhṛtyā daśa gardabhino nṛpāḥ	Bhu-_12.01.027/1 sapta-ABIrAH AvaBRtyAH daSa gardaBinaH nRpAH
   BhP_12.01.027/3 kaṅkāḥ ṣoḍaśa bhū-pālā bhaviṣyanty ati-lolupāḥ	Bhu-_12.01.027/3 kaFkAH zoxaSa BU-pAlAH Bavizyanti ati-lolupAH
   BhP_12.01.028/1 tato 'ṣṭau yavanā bhāvyāś caturdaśa turuṣkakāḥ	Bhu-_12.01.028/1 tatas azwO yavanAH BAvyAH caturdaSa turuzkakAH
   BhP_12.01.028/3 bhūyo daśa guruṇḍāś ca maulā ekādaśaiva tu	BhP_12.01.028/3 BUyas daSa guruNxAH ca mOlAH ekAdaSa-eva tu
   BhP_12.01.029/1 ete bhokṣyanti pṛthivīṃ daśa varṣa-śatāni ca	Bhu-_12.01.029/1 ete Bokzyanti pRTivIm daSa varza--SatAni ca
   BhP_12.01.029/3 navādhikāṃ ca navatiṃ maulā ekādaśa kṣitim	Bhu-_12.01.029/3 nava-aDikAm ca navatim mOlAH ekAdaSa kzitim
   BhP_12.01.030/1 bhokṣyanty abda-śatāny aṅga trīṇi taiḥ saṃsthite tataḥ	Bhu-_12.01.030/1 Bokzyanti abda--SatAni aFga trINi tEH saMsTite tatas-
   BhP_12.01.030/3 kilakilāyāṃ nṛpatayo bhūtanando 'tha vaṅgiriḥ	Bhu-_12.01.030/3 kilakilAyAm nRpatayaH BUtanandaH aTa vaFgiriH
   BhP_12.01.031/1 śiśunandiś ca tad-bhrātā yaśonandiḥ pravīrakaḥ	BhP_12.01.031/1 SiSunandiH ca tad--BrAtA yaSaH-nandiH pravIrakaH
   BhP_12.01.031/3 ity ete vai varṣa-śataṃ bhaviṣyanty adhikāni ṣaṭ	Bhu-_12.01.031/3 iti ete vE varza--Satam Bavizyanti aDikAni zax-
   BhP_12.01.032/1 teṣāṃ trayodaśa sutā bhavitāraś ca bāhlikāḥ	Bhu-_12.01.032/1 tezAm trayodaSa sutAH BavitAraH ca bAhlikAH
   BhP_12.01.032/3 puṣpamitro 'tha rājanyo durmitro 'sya tathaiva ca	Bhu-_12.01.032/3 puzpa-mitraH aTa rAjanyaH durmitraH asya taTA-eva ca
   BhP_12.01.033/1 eka-kālā ime bhū-pāḥ saptāndhrāḥ sapta kauśalāḥ	Bhu-_12.01.033/1 eka-kAlAH ime BU-pAH sapta-anDrAH sapta kOSalAH
   BhP_12.01.033/3 vidūra-patayo bhāvyā niṣadhās tata eva hi	Bhu-_12.01.033/3 vidUra-patayaH BAvyAH nizaDAH tatas eva hi
   BhP_12.01.034/1 māgadhānāṃ tu bhavitā viśvasphūrjiḥ purañjayaḥ	Bhu-_12.01.034/1 mAgaDAnAm tu BavitA viSva-sPUrjiH puraQjayaH
   BhP_12.01.034/3 kariṣyaty aparo varṇān pulinda-yadu-madrakān	Bhu-_12.01.034/3 karizyati aparaH varNAn pulinda-yadu-madrakAn
   BhP_12.01.035/1 prajāś cābrahma-bhūyiṣṭhāḥ sthāpayiṣyati durmatiḥ	Bhu-_12.01.035/1 prajAH ca-abrahma--BUyizWAH sTApayizyati durmatiH
   BhP_12.01.035/3 vīryavān kṣatram utsādya padmavatyāṃ sa vai puri	Bhu-_12.01.035/3 vIryavAn kzatram utsAdya padmavatyAm sa vE puri
   BhP_12.01.035/5 anu-gaṅgam ā-prayāgaṃ guptāṃ bhokṣyati medinīm	Bhu-_12.01.035/5 anu-gaFgam A--prayAgam guptAm Bokzyati medinIm
   BhP_12.01.036/1 saurāṣṭrāvanty-ābhīrāś ca śūrā arbuda-mālavāḥ	Bhu-_12.01.036/1 sOrAzwra-Avanty-ABIrAH ca SUrAH arbuda--mAlavAH
   BhP_12.01.036/3 vrātyā dvijā bhaviṣyanti śūdra-prāyā janādhipāḥ	Bhu-_12.01.036/3 vrAtyAH dvijAH Bavizyanti SUdra--prAyAH janADipAH
   BhP_12.01.037/1 sindhos taṭaṃ candrabhāgāṃ kauntīṃ kāśmīra-maṇḍalam	BhP_12.01.037/1 sinDoH tawam candraBAgAm kOntIm kASmIra--maNxalam
   BhP_12.01.037/3 bhokṣyanti śūdrā vrātyādyā mlecchāś cābrahma-varcasaḥ	Bhu-_12.01.037/3 Bokzyanti SUdrAH vrAtya-AdyAH mlecCAH ca-abrahma-varcasaH
   BhP_12.01.038/1 tulya-kālā ime rājan mleccha-prāyāś ca bhū-bhṛtaḥ	Bhu-_12.01.038/1 tulya--kAlAH ime rAjan mlecCa-prAyAH ca BU-BRtaH
   BhP_12.01.038/3 ete 'dharmānṛta-parāḥ phalgu-dās tīvra-manyavaḥ	Bhu-_12.01.038/3 ete aDarma-anRta--parAH Palgu-dAH tIvra-manyavaH
   BhP_12.01.039/1 strī-bāla-go-dvija-ghnāś ca para-dāra-dhanādṛtāḥ	Bhu-_12.01.039/1 strI-bAla--go--dvija--GnAH ca para-dAra--Dana-AdRtAH
   BhP_12.01.039/3 uditāsta-mita-prāyā alpa-sattvālpakāyuṣaḥ	Bhu-_12.01.039/3 uditAsta-mita--prAyAH alpa--sattva-alpaka-AyuzaH
   BhP_12.01.040/1 asaṃskṛtāḥ kriyā-hīnā rajasā tamasāvṛtāḥ	Bhu-_12.01.040/1 asaMskRtAH kriyA--hInAH rajasA tamasA-AvRtAH
   BhP_12.01.040/3 prajās te bhakṣayiṣyanti mlecchā rājanya-rūpiṇaḥ	Bhu-_12.01.040/3 prajAH te Bakzayizyanti mlecCAH rAjanya--rUpiNaH
   BhP_12.01.041/1 tan-nāthās te janapadās tac-chīlācāra-vādinaḥ	Bhu-_12.01.041/1 tan-nATAH te janapadAH tac-SIla-AcAra--vAdinaH
   BhP_12.01.041/3 anyonyato rājabhiś ca kṣayaṃ yāsyanti pīḍitāḥ	Bhu-_12.01.041/3 anyonyataH rAjaBiH ca kzayam yAsyanti pIxitAH
   BhP_12.02.001/0 śrī-śuka uvāca	BhP_12.02.001/0 SrI-SukaH uvAca
   BhP_12.02.001/1 tataś cānu-dinaṃ dharmaḥ satyaṃ śaucaṃ kṣamā dayā	Bhu-_12.02.001/1 tatas ca-anu-dinam DarmaH satyam SOcam kzamA dayA
   BhP_12.02.001/3 kālena balinā rājan naṅkṣyaty āyur balaṃ smṛtiḥ	BhP_12.02.001/3 kAlena balinA rAjan naFkzyati AyuH balam smRtiH
   BhP_12.02.002/1 vittam eva kalau nṝṇāṃ janmācāra-guṇodayaḥ	Bhu-_12.02.002/1 vittam eva kalO nLNAm janma-AcAra--guNa-udayaH
   BhP_12.02.002/3 dharma-nyāya-vyavasthāyāṃ kāraṇaṃ balam eva hi	Bhu-_12.02.002/3 Darma--nyAya--vyavasTAyAm kAraNam balam eva hi
   BhP_12.02.003/1 dāmpatye 'bhirucir hetur māyaiva vyāvahārike	Bhu-_12.02.003/1 dAmpatye aBiruciH hetuH mAyA-eva vyAvahArike
   BhP_12.02.003/3 strītve puṃstve ca hi ratir vipratve sūtram eva hi	Bhu-_12.02.003/3 strI-tve puMstve ca hi ratiH vipra-tve sUtram eva hi
   BhP_12.02.004/1 liṅgaṃ evāśrama-khyātāv anyonyāpatti-kāraṇam	Bhu-_12.02.004/1 liFgam eva-ASrama--KyAtO anyonya-Apatti-kAraNam
   BhP_12.02.004/3 avṛttyā nyāya-daurbalyaṃ pāṇḍitye cāpalaṃ vacaḥ	Bhu-_12.02.004/3 avRttyA nyAya--dOrbalyam pANxitye cApalam vacaH
   BhP_12.02.005/1 anāḍhyataivāsādhutve sādhutve dambha eva tu	Bhu-_12.02.005/1 anAXya-tA-eva-asADu-tve sADu-tve damBaH eva tu
   BhP_12.02.005/3 svīkāra eva codvāhe snānam eva prasādhanam	Bhu-_12.02.005/3 svIkAraH eva ca-udvAhe snAnam eva prasADanam
   BhP_12.02.006/1 dūre vāry-ayanaṃ tīrthaṃ lāvaṇyaṃ keśa-dhāraṇam	Bhu-_12.02.006/1 dUre vAri--ayanam tIrTam lAvaNyam keSa--DAraNam
   BhP_12.02.006/3 udaraṃ-bharatā svārthaḥ satyatve dhārṣṭyam eva hi	Bhu-_12.02.006/3 udaraM-BaratA sva-arTaH satya-tve DArzwyam eva hi
   BhP_12.02.006/5 dākṣyaṃ kuṭumba-bharaṇaṃ yaśo 'rthe dharma-sevanam	Bhu-_12.02.006/5 dAkzyam kuwumba--BaraNam yaSaH arTe Darma-sevanam
   BhP_12.02.007/1 evaṃ prajābhir duṣṭābhir ākīrṇe kṣiti-maṇḍale	Bhu-_12.02.007/1 evam prajABiH duzwABiH AkIrNe kziti--maNxale
   BhP_12.02.007/3 brahma-viṭ-kṣatra-śūdrāṇāṃ yo balī bhavitā nṛpaḥ	Bhu-_12.02.007/3 brahma--viw-kzatra--SUdrANAm yaH balI BavitA nRpaH
   BhP_12.02.008/1 prajā hi lubdhai rājanyair nirghṛṇair dasyu-dharmabhiḥ	Bhu-_12.02.008/1 prajAH hi lubDEH rAjanyEH nirGRNEH dasyu--DarmaBiH
   BhP_12.02.008/3 ācchinna-dāra-draviṇā yāsyanti giri-kānanam	Bhu-_12.02.008/3 AcCinna--dAra--draviNAH yAsyanti giri-kAnanam
   BhP_12.02.009/1 śāka-mūlāmiṣa-kṣaudra- phala-puṣpāṣṭi-bhojanāḥ	Bhu-_12.02.009/1 SAka--mUla-Amiza--kzOdra Pala--puzpa-azwi-BojanAH
   BhP_12.02.009/3 anāvṛṣṭyā vinaṅkṣyanti durbhikṣa-kara-pīḍitāḥ	Bhu-_12.02.009/3 anAvRzwyAH vinaFkzyanti durBikza-kara--pIxitAH
   BhP_12.02.010/1 śīta-vātātapa-prāvṛḍ- himair anyonyataḥ prajāḥ	BhP_12.02.010/1 SIta-vAta-Atapa--prAvRx himEH anyonyataH prajAH
   BhP_12.02.010/3 kṣut-tṛḍbhyāṃ vyādhibhiś caiva santapsyante ca cintayā	Bhu-_12.02.010/3 kzut--tRxByAm vyADiBiH ca-eva santapsyante ca cintayA
   BhP_12.02.011/1 triṃśad viṃśati varṣāṇi	Bhu-_12.02.011/1 triMSat viMSati varzANi
   BhP_12.02.011/2 paramāyuḥ kalau nṛṇām	Bhu-_12.02.011/2 parama-AyuH kalO nRNAm
   BhP_12.02.012/1 kṣīyamāṇeṣu deheṣu dehināṃ kali-doṣataḥ	Bhu-_12.02.012/1 kzIyamANezu dehezu dehinAm kali-dozataH
   BhP_12.02.012/3 varṇāśramavatāṃ dharme naṣṭe veda-pathe nṛṇām	Bhu-_12.02.012/3 varNa-ASramavatAm Darme nazwe veda-paTe nRNAm
   BhP_12.02.013/1 pāṣaṇḍa-pracure dharme dasyu-prāyeṣu rājasu	Bhu-_12.02.013/1 pAzaNxa--pracure Darme dasyu--prAyezu rAjasu
   BhP_12.02.013/3 cauryānṛta-vṛthā-hiṃsā- nānā-vṛttiṣu vai nṛṣu	Bhu-_12.02.013/3 cOrya-anRta-vRTA-a-hiMsA nAnA-vRttizu vE nRzu
   BhP_12.02.014/1 śūdra-prāyeṣu varṇeṣu cchāga-prāyāsu dhenuṣu	BhP_12.02.014/1 SUdra-prAyezu varNezu cCAga-prAyAsu Denuzu
   BhP_12.02.014/3 gṛha-prāyeṣv āśrameṣu yauna-prāyeṣu bandhuṣu	Bhu-_12.02.014/3 gRha-prAyezu ASramezu yOna-prAyezu banDuzu
   BhP_12.02.015/1 aṇu-prāyāsv oṣadhīṣu śamī-prāyeṣu sthāsnuṣu	Bhu-_12.02.015/1 aNu-prAyAsu ozaDIzu SamI--prAyezu sTAsnuzu
   BhP_12.02.015/3 vidyut-prāyeṣu megheṣu śūnya-prāyeṣu sadmasu	Bhu-_12.02.015/3 vidyut--prAyezu meGezu SUnya--prAyezu sadmasu
   BhP_12.02.016/1 itthaṃ kalau gata-prāye janeṣu khara-dharmiṣu	Bhu-_12.02.016/1 itTam kalO gata-prAye janezu Kara--Darmizu
   BhP_12.02.016/3 dharma-trāṇāya sattvena bhagavān avatariṣyati	Bhu-_12.02.016/3 Darma--trANAya sattvena BagavAn avatarizyati
   BhP_12.02.017/1 carācara-guror viṣṇor īśvarasyākhilātmanaḥ	Bhu-_12.02.017/1 carAcara--guroH vizNoH ISvarasya-aKila-AtmanaH
   BhP_12.02.017/3 dharma-trāṇāya sādhūnāṃ janma karmāpanuttaye	Bhu-_12.02.017/3 Darma--trANAya sADUnAm janma karma-apanuttaye
   BhP_12.02.018/1 śambhala-grāma-mukhyasya brāhmaṇasya mahātmanaḥ	BhP_12.02.018/1 SamBala--grAma--muKyasya brAhmaNasya mahAtmanaH
   BhP_12.02.018/3 bhavane viṣṇuyaśasaḥ kalkiḥ prādurbhaviṣyati	Bhu-_12.02.018/3 Bavane vizNuyaSasaH kalkiH prAdurBavizyati
   BhP_12.02.019/1 aśvam āśu-gam āruhya devadattaṃ jagat-patiḥ	Bhu-_12.02.019/1 aSvam ASu--gam Aruhya devadattam jagat-patiH
   BhP_12.02.019/3 asināsādhu-damanam aṣṭaiśvarya-guṇānvitaḥ	Bhu-_12.02.019/3 asinA-sADu--damanam azwa-ESvarya--guNa-anvitaH
   BhP_12.02.020/1 vicarann āśunā kṣauṇyāṃ hayenāpratima-dyutiḥ	Bhu-_12.02.020/1 vicaran ASunA kzONyAm hayena-apratima-dyutiH
   BhP_12.02.020/3 nṛpa-liṅga-cchado dasyūn koṭiśo nihaniṣyati	Bhu-_12.02.020/3 nRpa--liFga--cCadaH dasyUn kowiSas nihanizyati
   BhP_12.02.021/1 atha teṣāṃ bhaviṣyanti manāṃsi viśadāni vai	Bhu-_12.02.021/1 aTa tezAm Bavizyanti manAMsi viSadAni vE
   BhP_12.02.021/3 vāsudevāṅga-rāgāti- puṇya-gandhānila-spṛśām	Bhu-_12.02.021/3 vAsudeva-aFga--rAgAti puNya-ganDa-anila--spRSAm
   BhP_12.02.021/5 paura-jānapadānāṃ vai hateṣv akhila-dasyuṣu	Bhu-_12.02.021/5 pOra-jAnapadAnAm vE hatezu aKila-dasyuzu
   BhP_12.02.022/1 teṣāṃ prajā-visargaś ca sthaviṣṭhaḥ sambhaviṣyati	Bhu-_12.02.022/1 tezAm prajA--visargaH ca sTavizWaH samBavizyati
   BhP_12.02.022/3 vāsudeve bhagavati sattva-mūrtau hṛdi sthite	Bhu-_12.02.022/3 vAsudeve Bagavati sattva--mUrtO hRdi sTite
   BhP_12.02.023/1 yadāvatīrṇo bhagavān kalkir dharma-patir hariḥ	Bhu-_12.02.023/1 yadA-avatIrNaH BagavAn kalkiH Darma-patiH hariH
   BhP_12.02.023/3 kṛtaṃ bhaviṣyati tadā prajā-sūtiś ca sāttvikī	Bhu-_12.02.023/3 kRtam Bavizyati tadA prajA-sUtiH ca sAttvikI
   BhP_12.02.024/1 yadā candraś ca sūryaś ca tathā tiṣya-bṛhaspatī	Bhu-_12.02.024/1 yadA candraH ca sUryaH ca taTA tizya--bRhaspatI
   BhP_12.02.024/3 eka-rāśau sameṣyanti bhaviṣyati tadā kṛtam	Bhu-_12.02.024/3 eka-rASO samezyanti Bavizyati tadA kRtam
   BhP_12.02.025/1 ye 'tītā vartamānā ye bhaviṣyanti ca pārthivāḥ	Bhu-_12.02.025/1 ye atItAH vartamAnAH ye Bavizyanti ca pArTivAH
   BhP_12.02.025/3 te ta uddeśataḥ proktā vaṃśīyāḥ soma-sūryayoḥ	Bhu-_12.02.025/3 te te uddeSataH proktAH vaMSIyAH soma--sUryayoH
   BhP_12.02.026/1 ārabhya bhavato janma yāvan nandābhiṣecanam	Bhu-_12.02.026/1 AraBya BavataH janma yAvat nanda-aBizecanam
   BhP_12.02.026/3 etad varṣa-sahasraṃ tu śataṃ pañcadaśottaram	Bhu-_12.02.026/3 etat varza--sahasram tu Satam paQcadaSa-uttaram
   BhP_12.02.027/1 saptarṣīṇāṃ tu yau pūrvau dṛśyete uditau divi	Bhu-_12.02.027/1 saptarzINAm tu yO pUrvO dRSyete uditO divi
   BhP_12.02.027/3 tayos tu madhye nakṣatraṃ dṛśyate yat samaṃ niśi	Bhu-_12.02.027/3 tayoH tu maDye nakzatram dRSyate yat samam niSi
   BhP_12.02.028/1 tenaiva ṛṣayo yuktās tiṣṭhanty abda-śataṃ nṛṇām	Bhu-_12.02.028/1 tena-eva RzayaH yuktAH tizWanti abda-Satam nRNAm
   BhP_12.02.028/3 te tvadīye dvijāḥ kāla adhunā cāśritā maghāḥ	Bhu-_12.02.028/3 te tvadIye dvijAH kAla aDunA ca-ASritAH maGAH
   BhP_12.02.029/1 viṣṇor bhagavato bhānuḥ kṛṣṇākhyo 'sau divaṃ gataḥ	Bhu-_12.02.029/1 vizNoH BagavataH BAnuH kRzNa-AKyaH asO divam gataH
   BhP_12.02.029/3 tadāviśat kalir lokaṃ pāpe yad ramate janaḥ	Bhu-_12.02.029/3 tadA-AviSat kaliH lokam pApe yat ramate janaH
   BhP_12.02.030/1 yāvat sa pāda-padmābhyāṃ spṛśan āste ramā-patiḥ	Bhu-_12.02.030/1 yAvat sa pAda--padmAByAm spRSan Aste ramA-patiH
   BhP_12.02.030/3 tāvat kalir vai pṛthivīṃ parākrantuṃ na cāśakat	Bhu-_12.02.030/3 tAvat kaliH vE pRTivIm parAkrantum na ca-aSakat-
   BhP_12.02.031/1 yadā devarṣayaḥ sapta maghāsu vicaranti hi	Bhu-_12.02.031/1 yadA devaRzayaH sapta maGAsu vicaranti hi
   BhP_12.02.031/3 tadā pravṛttas tu kalir dvādaśābda-śatātmakaḥ	Bha-a_12.02.031/3 tadA pravRttaH tu kaliH dvAdaSa-abda--Sata-AtmakaH
