   Bhallaṭaśataka	Bhat-lawa-Sataka
   tṛṣṇe tvām anubadhnatā phalam iyatprāptaṃ janenāmunā % yaḥ spṛṣṭo na padā	tRzNe tvAm anubaDnatA Palam iyat-prAptam janena-amunA % yaH spRzwaH na padA
   sa eva caraṇau spraṣṭuṃ na saṃmanyate // Bhall_8 //	saH eva caraNO sprazwum na saMmanyate // Bhal=-_8 //
   patatu vāriṇi yātu digantaraṃ $ viśatu vahnim atha vrajatu kṣitim &	patatu vAriNi yAtu digantaram $ viSatu vahnim aTa vrajatu kzitim &
   ravir asāv iyatāsya guṇeṣu kā % sakalalokacamatkṛtiṣu kṣatiḥ // Bhall_9 //	raviH asO iyatA-asya guNezu kA % sakala-loka-camat-kRtizu kzatiH // Bhal=-_9 //
   sadvṛttayaḥ sadasadarthavivekino ye $ te paśya kīdṛśam amuṃ samudāharanti	sat-vRttayaH sat-asat-arTa-vivekinaH ye $ te paSya kIdRSam amum samudAharanti
   caurāsatīprabhṛtayo bruvate yad asya % tad gṛhyate yadi kṛtaṃ tad	cOra-asatI-praBRtayaH bruvate yat asya % tat gRhyate yadi kRtam tat-
   ahaskareṇa // Bhall_10 //	ahaskareNa // Bhal=-_10 //
   pātaḥ pūṣṇo bhavati mahate nopatāpāya yasmāt $ kāle prāpte ka iha na yayur	pAtaH pUzNaH Bavati mahate na-upatApAya yasmAt $ kAle prApte kaH iha na yayuH-
   yānti yāsyanti vāstam* &	yAnti yAsyanti vAstam* &
   etāvat tu vyathayatitarāṃ lokabāhyais tamobhis % tasminn eva prakṛtimahati	etAvat tu vyaTayatitarAm loka-bAhyEH tamoBiH % tasmin eva prakRti-mahati
   vyomni labdho 'vakāśaḥ // Bhall_11 //	vyomni labDaH avakASaH // Bhal=-_11 //
   *VAR: {vāstam\lem \Mah; vāntam \ed; cāstam \H\A, cānye \K}	*VAR: {vA-astam\lem \Mah; vAntam \ed; ca-astam \H\A, ca-anye \K}
   paṅktau viśantu gaṇitāḥ pratilomavṛttyā $ pūrve bhaveyur iyatāpy athavā	paFktO viSantu gaNitAH pratiloma-vRttyA $ pUrve BaveyuH iyatA-api aTavA
   traperan &	traperan &
   santo 'py asanta iva cet pratibhānti bhānor % bhāsāvṛte nabhasi	santaH api asantaH iva ced pratiBAnti BAnoH % BAsa-AvRte naBasi
   śītamayūkhamukhyāḥ // Bhall_12 //	SIta-mayUKa-muKyAH // Bhal=-_12 //
   gate tasmin bhanau tribhuvanasamunmeṣaviraha- $ vyathāṃ candro neṣyaty	gate tasmin BanO triBuvana-samunmeza-viraha $ vyaTAm candraH nezyati-
   anucitam ato nāsty asadṛśam &	anucitam atas na-asti asadRSam &
   idaṃ cetastāpaṃ janayatitarām atra yad amī % pradīpāḥ saṃjātās	idam cetaH-tApam janayatitarAm atra yat amI % pradIpAH saMjAtA-aH-
   timirahatibaddhodhuraśikhāḥ // Bhall_13 //	timira-hati-badDaH-Dura-SiKAH // Bhal=-_13 //
   sūryād anyatra yac candre $ 'py arthāsaṃsparśi tat kṛtam &	sUryAt anyatra yat candre $ api arTa-asaMsparSi tat kRtam &
   khadyota iti kītasya % nāma tuṣṭena kena cit // Bhall_14 //	KadyotaH iti kItasya % nAma tuzwena kena cit // Bhal=-_14 //
   kīṭamaṇe dinam adhunā- $ taraṇikarāntaritacārusitakiraṇam &	kIwamaNe dinam aDunA $ taraNi-kara-antarita-cAru-sita-kiraNam &
   ghanasantamasamalīmasa- % daśadiśi niśi yad virājasi tad anyat // Bhall_15	Gana-santama-sama-lImasa % daSa-diSi niSi yat virAjasi tat anyat // Bhal=-_15
   sattvāntaḥsphuritāya vā kṛtaguṇādhyāropatucchāya vā $ tasmai	sattva-antar-sPuritAya vA kRta-guNa-aDyAropa-tucCAya vA $ tasmE
   kātaramohanāya mahaso leśāya mā svasti bhūt &	kAtara-mohanAya mahasaH leSAya mA svasti BUt &
   yacchāyācchuraṇāruṇena khacatā khadyotanā khadyotanāmnā9munā %	yat-CAyAt-SuraNa-aruNena KacatA KadyotanA Kadyota-nAmnA-a9-munA %
   kīṭenāhitayā hi jaṅgamamaṇibhrāntyā viḍambyāmahe // Bhall_16 //	kIwena-ahitayA hi jaFgama-maNi-BrAntyA vixambyAmahe // Bhal=-_16 //
   dantāntakuntamukhasantatapātaghāta- $ santāḍitonnatagirir gaja eva vetti &	danta-anta-kunta-muKa-santata-pAta-GAta $ santAxita-unnata-giriH gajaH eva vetti &
   pañcāsyapāṇipavipañjarapātapīḍāṃ % na kroṣṭukaḥ śvaśiśuhuṅkṛtinaṣṭaceṣṭaḥ	paQcAsya-pANi-pavi-paQjara-pAta-pIxAm % na krozwukaH Sva-SiSu-huFkRti-nazwa-cezwaH
   // Bhall_17 //	// Bhal=-_17 //
   atyunnati-vyasaninaḥ śiraso 'dhunai9ṣa $ svasyai7va cātaka-śiśuḥ praṇayaṃ	ati-unnati--vyasaninaH SirasaH aDunA-e9za $ svasya-e7va cAtaka-SiSuH praNayam
   vidhattām &	viDattAm &
   asyai7tad icchati yadi pratatāsu dikṣu % tāḥ svaccha-śīta-madhurāḥ kva nu	asyE7-tat icCati yadi pratatAsu dikzu % tAH svacCa--SIta--maDurAH kva nu
   nāma nā8paḥ // Bhall_18 //	nAma na-a8paH // Bhal=-_18 //
   so 'pūrvaḥ rasanā-viparyaya-vidhis tat karṇayoś cāpalaṃ $ dṛṣṭiḥ sā	saH apUrvaH rasanA--viparyaya-viDiH tat karNayoH cApalam $ dRzwiH sA
   mada-vismṛta-sva-para-dik kiṃ bhūyaso9ktena vā &	mada-vismRta--sva-para-diS kim BUyasA-u9ktena vA &
   itthaṃ niścitavān asi bhramara he yad vāraṇo 'dyā7py asā* %	itTam niScitavAn asi Bramara he yat vAraNaH adya-a7pi asA* %
   antaḥ-śūnya-karo niṣeyata iti bhrātaḥ ka eṣa grahaḥ // Bhall_19 //	antaH--SUnya-karaH nizeyate iti BrAtar kaH eza grahaH // Bhal=-_19 //
   *VAR: {itthaṃ\lem \ed; sarvaṃ \KaPra\SuAva}	*VAR: {itTaM\lem \ed; sarvam \KaPra\-SuAva}
   tad vaidagdhyaṃ samucita-payas-toya-tattvaṃ vivektuṃ $ saṃlāpās te sa ca	tat vEdagDyam samucita-payas--toya--tattvam vivektum $ saMlApAH te sa ca
   mṛdu-pada-nyāsa-hṛdyo vilāsaḥ &	mRdu-pada-nyAsa--hRdyaH vilAsaH &
   āstāṃ tāvad baka yadi tathā vetthi kiṃ cic chlathā1ṃsas % tūṣṇīm evā8situm	AstAm tAvat baka yadi taTA vetTi kim cit SlaTa-a1MsaH % tUzNIm eva-a8situm
   api sakhe tvaṃ kathaṃ me na haṃsaḥ // Bhall_20 //	api saKe tvam kaTam me na haMsaH // Bhal=-_20 //
   pathi nipatitāṃ śūnye dṛṣṭvā nirāvaraṇānāṃ $ navadadhighaṭīṃ garvonnaddhaḥ	paTi nipatitAm SUnye dRzwvA nirAvaraNAnAm $ nava-daDi-GawIm garva-unnadDaH
   samuddhurakandharaḥ* &	samudDura-kanDaraH* &
   nijasamucitās tās tāś ceṣṭā vikāraśatākulo % yadi na kurute kākaḥ kāṇaḥ	nija-samucitAH tAH tAH cezwA vikAra-Sata-AkulaH % yadi na kurute kAkaH kANaH
   kadā nu kariṣyati // Bhall_21 //	kadA nu karizyati // Bhal=-_21 //
   *VAR: {samuddhura#\lem \ed; samuddhata# \Ka}	*VAR: {samudDura-#\lem \ed; samudData# \Ka}
   nṛtyantaḥ śikhino manoharam amī śrāvyaṃ paṭhantaḥ śukā $ vīkṣyante na ta	nRtyantaH SiKinaH manoharam amI SrAvyam paWantaH SukAH $ vIkzyante na ta
   eva khalv iha ruṣā vāryanta evāthavā &	eva Kalu iha ruzA vAryantaH eva-aTavA &
   pānthastrīgṛham iṣṭalābhakathanāl labdhānvayenāmunā % sampraty etad	pAnTa-strI-gRham izwa-lABa-kaTanAt labDa-anvayena-amunA % samprati etat-
   anargalaṃ balibhujā māyāvinā bhujyate // Bhall_22 //	anargalam baliBujA mAyAvinA Bujyate // Bhal=-_22 //
   karabha rasabhāt kroṣṭuṃ vāñcchasy aho śravaṇajvaraḥ $ śaraṇam athavānṛjvī	karaBa rasaBAt krozwum vAQcCasi aho SravaNa-jvaraH $ SaraNam aTavA-anRjvI
   dīrghā tavaiva śirodharā &	dIrGA tava-eva SiroDarA &
   pṛthugalavilāvṛttiśrāntoccariṣyati vāk cirā % diyati, samaye ko jānīte	pRTu-gala-vilAvRtti-SrAnta-uccarizyati vAc cirAH % diyati, samaye kaH jAnIte
   bhaviṣyati kasya kim // Bhall_23 //	Bavizyati kasya kim // Bhal=-_23 //
   antaśchidrāṇi bhūyāṃsi $ kaṇṭakā bahavo bahiḥ &	antar-CidrANi BUyAMsi $ kaNwakAH bahavaH bahis &
   kathaṃ kamalanālasya % mā bhūvan bhaṅgurā guṇāḥ // Bhall_24 //	kaTam kamala-nAlasya % mA BUvan BaFgurAH guNAH // Bhal=-_24 //
   kiṃ dīrghadīrgheṣu guṇeṣu padma $ siteṣv avacchādanakāraṇaṃ te &	kim dIrGa-dIrGezu guNezu padma $ sitezu avacCAdana-kAraNam te &
   asty eva tān paśyati ced anāryā % trasteva lakṣmīr na padaṃ vidhatte //	asti eva tAn paSyati ced anAryA % trastA-iva lakzmIH na padam viDatte //
   Bhall_25 //	Bhal=-_25 //
   na paṅkād udbhūtir na jalasahavāsavyasanitā $ vapur digdhaṃ kāntyā	na paFkAt udBUtiH na jala-saha-vAsavyasani-tA $ vapuH digDam kAntyA
   sthalanalinaratnadyutimuṣā &	sTala-nalina-ratna-dyuti-muzA &
   vyadhāsyad durvedhā hṛdayalaghimānaṃ yadi na te % tvam evaiko lakṣmyāḥ	vyaDAsyat durveDAH hRdaya-laGimAnam yadi na te % tvam eva-ekaH lakzmyAH
   paramam abhaviṣyaḥ padam iha // Bhall_26 //	paramam aBavizyaH padam iha // Bhal=-_26 //
   uccair uccaratu ciraṃ cirī $ vartmani taruṃ samāruhya &	uccEs uccaratu ciram cirI $ vartmani tarum samAruhya &
   digvyāpini śabdaguṇe % śaṅkhaḥ sambhāvanābhūmiḥ // Bhall_27 //	diS-vyApini Sabda-guNe % SaFKaH samBAvanA-BUmiH // Bhal=-_27 //
   śaṅkho 'sthiśeṣaḥ sphuṭito mṛto vā $ procchvāsyate 'nyaśvasitena satyam &	SaFKaH asTi-SezaH sPuwitaH mRtaH vA $ procCvAsyate anya-Svasitena satyam &
   kiṃ tūccaraty eva hi so 'sya śabdaḥ % śrāvyo na yo yo na sadarthaśaṃsī //	kim tu-uccarati eva hi saH asya SabdaH % SrAvyaH na yaH yaH na sat-arTa-SaMsI //
   Bhall_28 //	Bhal=-_28 //
   yathāpallavapuṣpās te $ yathāpuṣpaphalarddhayaḥ &	yaTA-pallava-puzpAH te $ yaTA-puzpa-Pala-RdDayaH &
   yathāphalarddhisvārohā % hā mātaḥ kvāgaman drumāḥ // Bhall_29 //	yaTA-Pala-RdDi-su-ArohAH % hA mAtar kva-Agaman drumAH // Bhal=-_29 //
   sādhv eva tavidhāv asya $ vedhā kliṣṭo na yad vṛthā &	sADu eva taviDO asya $ veDA klizwaH na yat vRTA &
   svarūpānanurūpeṇa % candanasya phalena kim // Bhall_30 //	svarUpAn-anurUpeNa % candanasya Palena kim // Bhal=-_30 //
   grathitaḥ eṣa mithaḥ kṛtaśṛṅkhalair viṣadharair adhiruhya mahājaḍaḥ /	graTitaH eza miTas kRta-SRFKalEH vizaDarEH aDiruhya mahA-jaxaH /
   malayajaḥ sumanobhir anāśrito yad ata eva phalena viyujyate // Bhall_31 //	malayajaH sumanoBiH anASritaH yat atas eva Palena viyujyate // Bhal=-_31 //
   candane viṣadharān sahāmahe $ vastu sundaram aguptimatkṛtaḥ &	candane vizaDarAn sahAmahe $ vastu sundaram aguptimat-kRtaH &
   rakṣituṃ vada kim ātmagauravaṃ % sañcitāḥ khadira kaṇṭakās tvayā //	rakzitum vada kim Atma-gOravam % saQcitAH Kadira kaNwakAH tvayA //
   Bhall_32 //	Bhal=-_32 //
   yat kiñ canānucitam apy ucitānuvṛtti $ kiṃ candanasya na kṛtaṃ kusumaṃ	yat kiQ cana-anucitam api ucita-anuvRtti $ kim candanasya na kRtam kusumam
   phalaṃ vā &	Palam vA &
   lajjāmahe vayam upakrama eva yāntas % tasyāntikaṃ parigṛhītabṛhatkuṭhārāḥ	lajjAmahe vayam upakramaH eva yAntaH % tasya-antikam parigRhIta-bRhat-kuWArAH
   // Bhall_33 //	// Bhal=-_33 //
   labdhaṃ cirād amṛtavat kim amṛtyave syād $ dīrghaṃ rasāyanavad āyur api	labDam cirAt amRta-vat kim amRtyave syAt $ dIrGam rasAyana-vat AyuH api
   pradadyāt &	pradadyAt &
   etat phalaṃ yad ayam adhvagaśāpadagdhaḥ % stabdhaḥ khalaḥ phalati	etat Palam yat ayam aDvaga-SApa-dagDaH % stabDaH KalaH Palati
   varṣaśatena tālaḥ // Bhall_34 //	varza-Satena tAlaH // Bhal=-_34 //
   chinnas tṛptasuhṛt sa candanatarur yūyaṃ palāyyāgatā $	CinnaH tRpta-suhRd sa candana-taruH yUyam palAyya-AgatA $
   bhogābhyāsasukhāsikāḥ pratidinaṃ tā vismṛtās tatra vaḥ &	Boga-aByAsa-suKAsikAH pratidinam tAH vismRtAH tatra vaH &
   daṃṣṭrākoṭiviṣolkayā pratikṛtaṃ tasya prahartur na cet % kiṃ tenaiva saha	daMzwrA-kowi-viza-ulkayA pratikRtam tasya prahartuH na ced % kim tena-eva saha
   svayaṃ na lavaśo yātāḥ stha bho bhoginaḥ // Bhall_35 //	svayam na lavaSas yAtAH sTa Bo BoginaH // Bhal=-_35 //
   saṃtoṣaḥ kim aśaktatā kim athavā tasminn asambhāvanā $ lobho vāyam	saMtozaH kim aSakta-tA kim aTavA tasmin asamBAvanA $ loBaH vA-ayam
   utānavasthitir iyaṃ pradveṣa evāthavā &	uta-anavasTitiH iyam pradvezaH eva-aTavA &
   āstāṃ khalv anurūpayā saphalayā puṣpaśriyā durvidhe % sambandho	AstAm Kalu anurUpayA sa-PalayA puzpa-SriyA durviDe % sambanDaH-
   'nanurūpayāpi na kṛtaḥ kiṃ candanasya tvayā // Bhall_36 //	ananurUpayA-api na kRtaH kim candanasya tvayA // Bhal=-_36 //
   kiṃ jāto 'si catuṣpathe ghanatarachāyo 'si kiṃ chāyayā $ saṃyuktaphalito	kim jAtaH asi catuzpaTe Ganatara-CAyaH asi kim CAyayA $ saMyukta-PalitaH-
   'si kiṃ phalabharaiḥ pūrṇo 'si kiṃ sannataḥ &	asi kim Pala-BarEH pUrNaH asi kim sannataH &
   he sadvṛkṣa sahasva samprati sakhe śākhāśikhākarṣaṇa- %	he sat-vRkza sahasva samprati saKe SAKA-SiKA-AkarzaNa %
   kṣobhāmoṭanabhañjanāni janataḥ svarair eva duśceṣṭitaiḥ // Bhall_37 //	kzoBa-Amowana-BaQjanAni janataH svarEH eva duScezwitEH // Bhal=-_37 //
   sanmūlaḥ prathitonnatir ghanalasacchāyaḥ sthitaḥ satpathe $ sevyaḥ sadbhir	sat-mUlaH praTita-unnatiH Gana-lasa=-CAyaH sTitaH sat-paTe $ sevyaH sadBiH-
   itīdam ākalayatā tālo 'dhvagenāśritaḥ &	iti-idam AkalayatA tAlaH aDvagena-ASritaH &
   puṃsaḥ śaktir iyaty asau tu phaled adyāthavā śvo 'thavā % kāle kvāpy	puMsaH SaktiH iyati asO tu Palet adya-aTavA Svas aTavA % kAle kvApi-
   athavā kadācid athavā na tv eva vedhāḥ prabhuḥ // Bhall_38 //	aTavA kadAcid aTavA na tu eva veDAH praBuH // Bhal=-_38 //
   tvanmūle puruṣāyuṣaṃ gatam idaṃ dehena saṃśuṣyatā $ kṣodīyaṃsam api kṣaṇaṃ	tvad-mUle puruza-Ayuzam gatam idam dehena saMSuzyatA $ kzodIyaMsam api kzaNam
   param atah śaktiḥ kutaḥ prāṇitum &	param atah SaktiH kutas prANitum &
   tat svasty astu vivṛdddhim ehi mahatīm adyāpi kā nas tvarā % kalyāṇin!	tat svasti astu vivRddDim ehi mahatIm adya-api kA naH tvarA % kalyANin!
   phalitāsi tālaviṭapin! putreṣu pautreṣu vā // Bhall_39 //	PalitA-asi tAla-viwapin! putrezu pOtrezu vA // Bhal=-_39 //
   paśyāmaḥ kim ayaṃ prapatsyata iti svalpābhrasiddhakriyair $ darpād dūram	paSyAmaH kim ayam prapatsyate iti su-alpa-aBra-sidDa-kriyEH $ darpAt dUram
   upekṣitena balavat karmeritair mantribhiḥ &	upekzitena balavat karma-IritEH mantriBiH &
   labdhātmaprasareṇa rakṣitum athāśakyena muktvāśāniṃ % sphītas tādṛg aho	labDa-Atma-prasareNa rakzitum aTa-aSakyena muktvA-aSAnim % sPItaH tAdRS aho
   ghanena ripuṇā dagdho girigrāmakaḥ // Bhall_40 //	Ganena ripuNA dagDaH giri-grAmakaH // Bhal=-_40 //
   sādhūtpātaghanauga sādhu sudhiyā dhyeyaṃ dharāyām idaṃ $ ko 'nyaḥ kartum	sADu-utpAta-Gana-oga sADu suDiyA Dyeyam DarAyAm idam $ kaH anyaH kartum
   alaṃ tavaiva ghaṭate karmedṛśaṃ duṣkaram &	alam tava-eva Gawate karma-IdRSam duzkaram &
   sarvasyaupayikāni yāni katicit kśetrāṇi tatrāśaniḥ % sarvān aupāyikeṣu	sarvasya-OpayikAni yAni katicid kSetrANi tatra-aSaniH % sarvAn OpAyikezu
   dagdhasikatāraṇyeṣv apāṃ vṛṣṭayaḥ // Bhall_41 //	dagDa-sikatA-araNyezu apAm vRzwayaH // Bhal=-_41 //
   labdhāyāṃ tṛṣi gomṛgasya vihagasyānyasay vā kasya cid $ vṛṣṭyā syād	labDAyAm tRzi go-mRgasya vihagasya-anyasay vA kasya cit $ vRzwyA syAt-
   bhavadīyayo9pakṛtir ity āstāṃ davīyasy adaḥ &	BavadIyayA-u9pakRtiH iti AstAm davIyasi adaH &
   asyātyantam abhājanasya jaladāraṇyoṣarasyāpi kiṃ % jātā paśya punaḥ punar	asya-atyantam aBAjanasya jalada-araNya-Uzarasya-api kim % jAtA paSya punar punar-
   eva paruṣā saivāsya dagdhā chaviḥ // Bhall_42 //	eva paruzA sA-eva-asya dagDA CaviH // Bhal=-_42 //
   saṃtyajya pānācamanocitāni $ toyāntarāṇy asya siseviṣos tvām &	saMtyajya pAna-Acamana-ucitAni $ toya-antarANi asya sisevizoH tvAm &
   nirjaina, jihreṣi jalair janasya % jaghanyakāryaupayikaiḥ payodhe //	nirjEna, jihrezi jalEH janasya % jaGanya-kAri-OpayikEH payoDe //
   Bhall_43 //	Bhal=-_43 //
   āstrīśiśu prathita eṣa pipāsitebhyaḥ $ saṃrakṣyate 'mbudhir apeyatayaiva	AstrI-SiSu praTitaH eza pipAsiteByaH $ saMrakzyate ambuDiH apeya-tayA-eva
   dūrāt &	dUrAt &
   daṃṣṭrākarālamakarālikarālitābhiḥ % kiṃ bhāyayaty aparam ūrmiparamparābhiḥ	daMzwrA-kara-alamakarAlika-rAlitABiH % kim BAyayati aparam Urmi-paramparABiH
   // Bhall_44 //	// Bhal=-_44 //
   svamāhātmyaślāghāgurugahanagarjābhir abhitaḥ $ kruśitvā kliśnāsi	sva-mAhAtmya-SlAGA-guru-gahana-garjABiH aBitas $ kruSitvA kliSnAsi
   śrutikuharam abdhe kim iti naḥ &	Sruti-kuharam abDe kim iti naH &
   ihaikaś cūḍālo hy ajani kalaśād yasya sakalaiḥ % pipāsor ambhobhiś culukam	iha-ekaH cUxAlaH hi ajani kalaSAt yasya sakalEH % pipAsoH amBoBiH culukam
   api no bhartum aśakaḥ // Bhall_45 //	api naH Bartum aSakaH // Bhal=-_45 //
   sarvāsāṃ trijagaty apām iyam asāv ādhāratā tāvakī $ prollāso 'yam	sarvAsAm trijagati apAm iyam asO ADAratA tAvakI $ prollAsaH ayam
   athāmbudhe 'mbunilaye seyaṃ mahāsattvatā &	aTa-ambuDe ambu-nilaye sA-iyam mahAsattva-tA &
   sevitvā bahubhaṅgabhīṣaṇatanuṃ tvām eva velācala- % grāvasrotasi	sevitvA bahu-BaFga-BIzaNa-tanum tvAm eva velA-acala % grAva-srotasi
   pānatāpakalaho yat kvāpi nirvāpyate // Bhall_46 //	pAna-tApa-kalahaH yat kvApi nirvApyate // Bhal=-_46 //
   nodvegaṃ yadi yāsi yady avahitaḥ karṇaṃ dadāsi kṣaṇaṃ $ tvāṃ pṛcchāmi yad	na-udvegam yadi yAsi yadi avahitaH karNam dadAsi kzaNam $ tvAm pRcCAmi yat-
   ambudhe kim api tan niścitya dehy uttaram &	ambuDe kim api tat niScitya dehi uttaram &
   nairāśyātiśayātimātranibhṛtair niḥśvasya yad dṛśyase % tṛṣyadbhiḥ	nErASya-atiSaya-atimAtra-niBRtEH niHSvasya yat dRSyase % tRzyadBiH
   pathikaiḥ kiyat tadadhikaṃ syād aurvadāhād ataḥ // Bhall_47 //	paTikEH kiyat tat-aDikam syAt Orva-dAhAt atas // Bhal=-_47 //
   bhidyate 'nupraviśyāntar $ yo yathārucy upādhinā &	Bidyate anupraviSya-antar $ yaH yaTA-aruci upADinA &
   viśuddhiḥ kīdṛśī tasya % jaḍasya sphaṭikāśmanaḥ // Bhall_48 //	viSudDiH kIdRSI tasya % jaxasya sPawika-aSmanaH // Bhal=-_48 //
   cintāmaṇe bhuvi na kena cid īśvareṇa $ mūrdhnā dhṛto 'ham iti mā sma sakhe	cintAmaNe Buvi na kena cit ISvareNa $ mUrDnA DRtaH aham iti mA sma saKe
   viṣīdaḥ &	vizIdaH &
   nāsty eva hi tvadadhiropaṇapuṇyabīja- % saubhāgyayogyam iha kasya cid	na-asti eva hi tvad-aDiropaNa-puNya-bIja % sOBAgya-yogyam iha kasya cit-
   uttamāṅgam // Bhall_49 //	uttamAFgam // Bhal=-_49 //
   saṃvittir asty atha guṇāḥ pratibhānti loke $ taddhi praśastam iha kasya	saMvittiH asti aTa guNAH pratiBAnti loke $ tat-hi praSastam iha kasya
   kim ucyatāṃ vā &	kim ucyatAm vA &
   nanv evam eva sumaṇe luṭa yāvad āyus % tvaṃ me jagatprasahane 'tra	nanu evam eva su-maNe luwa yAvat AyuH % tvam me jagat-prasahane atra
   kathāśarīram // Bhall_50 //	kaTA-SarIram // Bhal=-_50 //
   cintāmaṇes tṛṇamaṇeś ca kṛtaṃ vidhātrā $ kenobhayor api maṇitvam adaḥ	cintAmaNeH tRNamaNeH ca kRtam viDAtrA $ kena-uBayoH api maNi-tvam adaH
   samānam &	samAnam &
   naiko 'rthitāni dadann arthijanāya khinno % gṛhṇañ jarattṛṇalavaṃ tu na	na-ekaH arTitAni dadan arTi-janAya KinnaH % gRhNan jarat-tRNa-lavam tu na
   lajjate 'nyaḥ // Bhall_51 //	lajjate anyaH // Bhal=-_51 //
   dūre kasya cid eṣa ko 'py akṛtadhīr naivāsya vetty antaraṃ $ mānī ko 'pi	dUre kasya cit eza kaH api akRta-DIH na-eva-asya vetti antaram $ mAnI kaH api
   na yācate mṛgayate ko 'py alpam alpāśayaḥ &	na yAcate mRgayate kaH api alpam alpa-ASayaH &
   itthaṃ prārthitadānadurvyasanino naudāryarekhojjvalā %	itTam prArTita-dAna-durvyasaninaH na-OdArya-reKA-ujjvalA %
   jātānaipuṇadustareṣu nikaṣasthāneṣu cintāmaṇeḥ // Bhall_52 //	jAtA-nEpuNa-dustarezu nikaza-sTAnezu cintAmaNeH // Bhal=-_52 //
   parārthe yaḥ pīḍām anubhavati bhaṅge 'pi madhuro $ yadīyaḥ sarveṣām iha	para-arTe yaH pIxAm anuBavati BaFge api maDuraH $ yadIyaH sarvezAm iha
   khalu vikāro 'py abhimataḥ &	Kalu vikAraH api aBimataH &
   na samprāpto vṛddhiṃ sa yadi bhṛśam akṣetrapatitaḥ % kim ikṣor doṣo 'yaṃ	na samprAptaH vRdDim sa yadi BRSam akzetra-patitaH % kim ikzoH dozaH ayam
   na punar aguṇāyā marubhuvaḥ // Bhall_53 //	na punar aguNAyAH maru-BuvaH // Bhal=-_53 //
   āmrāḥ kiṃ phalabhāranamraśiraso ramyā kim ūṣmacchidaḥ $ sacchāyāḥ	AmrAH kim Pala-BAra-namra-SirasaH ramyA kim Uzma=-CidaH $ sa=-CAyAH
   kadalīdrumāḥ surabhayaḥ kiṃ puṣpitāś campakāḥ &	kadalI-drumAH sura-BayaH kim puzpitAH campakAH &
