   viṣayādhyāyaḥ	vizaya-aDyAyaH
   (bandhasya svābhāvikatvānupapattiḥ)	(banDasya svABAvika-tva-anupapattiH)
   śuklapaṭavat bījavaccet | KapSs_1.10 |	Sukla-pawa-vat bIja-vat-ced | KapSs_1.10 |
   (bandhasya svābhāvikatvānupapattiḥ), pū	(banDasya svABAvika-tva-anupapattiH), pU
   śaktyudbhavānudbhavābhyāṃ nāśakyopadeśaḥ | KapSs_1.11 |	Sakti-udBava-anudBavAByAm na-aSakyA-upadeSaH | KapSs_1.11 |
   (bandhasya svābhāvikatvānupapattiḥ), si	(banDasya svABAvika-tva-anupapattiH), si
   na kālayogato vyāpino nityasya sarvasambandhāt | KapSs_1.12 |	na kAla-yogataH vyApinaH nityasya sarva-sambanDAt | KapSH-_1.12 |
   (bandhasya kāladeśanimittakatvānupapattiḥ)	(banDasya kAla-deSa-nimittaka-tva-anupapattiH)
   na deśayogato 'pyasmāt | KapSs_1.13 |	na deSa-yogataH api-asmAt | KapSs_1.13 |
   (bandhasya kāladeśanimittakatvānupapattiḥ)	(banDasya kAla-deSa-nimittaka-tva-anupapattiH)
   nāvasthāto dehadharmatvāttasyāḥ | KapSs_1.14 |	na-avasTAtaH deha-Darma-tvAt-tasyAH | KapSs_1.14 |
   (bandhasya avasthāviśeṣanimittakatvānupapattiḥ)	(banDasya avasTA-viSeza-nimittaka-tva-anupapattiH)
   asaṅgo hyayaṃ puruṣa iti | KapSs_1.15 |	asaFgaH hi-ayam puruzaH iti | KapSs_1.15 |
   (bandhasya avasthāviśeṣanimittakatvānupapattiḥ)	(banDasya avasTA-viSeza-nimittaka-tva-anupapattiH)
   na karmaṇānyadharmatvāt atiprasakteśca | KapSs_1.16 |	na karmaNA-anya-Darma-tvAt ati-prasakteH-ca | KapSs_1.16 |
   (bandhasya avasthāviśeṣanimittakatvānupapattiḥ)	(banDasya avasTA-viSeza-nimittaka-tva-anupapattiH)
   vicitrabhogānupapattiḥ anyadharmatve | KapSs_1.17 |	vicitra-Boga-anupapattiH anya-Darma-tve | KapSs_1.17 |
   (bandhasya cittagātradharmatvānupapattiḥ)	(banDasya citta-gAtra-Darma-tva-anupapattiH)
   prakṛtinibandhanāccenna tasyā api pāratantryaṃ | KapSs_1.18 |	prakRti-nibanDanAt-ced-na tasyAH api pAratantryam | KapSs_1.18 |
   (bandhasya prakṛtinimittakatvānupapattiḥ)	(banDasya prakRti-nimittaka-tva-anupapattiH)
   na nityaśuddha buddhamukta svabhāvasya tadyogastadyogāhate | KapSs_1.19 |	na nitya-SudDa budDa-mukta svaBAvasya tad-yogaH-tat-yoga-Ahate | KapSs_1.19 |
   (bandhasya prakṛtinigittakatvānupapattiḥ)	(banDasya prakRti-nigittaka-tva-anupapattiH)
   nāvidyāto ' pyavastunā bandhāyogāt | KapSs_1.20 |	na-avidyAtaH a pyavastunA banDa-ayogAt | KapSH-_1.20 |
   (bandhasya avidyānimittakatvanirāsaḥ)	(banDasya avidyA-nimittaka-tva-nirAsaH)
   vastutve sindhāntahāniḥ | KapSs_1.21 |	vastu-tve sinDAnta-hAniH | KapSs_1.21 |
   (bandhasya avidyānimittakatvanirāsaḥ)	(banDasya avidyA-nimittaka-tva-nirAsaH)
   vijātīyadvaitāpattiśca | KapSs_1.22 |	vijAtIya-dvEtApattiH-ca | KapSs_1.22 |
   (bandhasya avidyānimittakatvanirāsaḥ)	(banDasya avidyA-nimittaka-tva-nirAsaH)
   viruddhobhayarūpā cet | KapSs_1.23 |	virudDa-uBaya-rUpA ced | KapSs_1.23 |
   (bandhasya avidyānimittakatvanirāsaḥ), pū	(banDasya avidyA-nimittaka-tva-nirAsaH), pU
   na tādṛkpadārthāpratīteḥ | KapSs_1.24 |	na tAdRS-padArTa-apratIteH | KapSs_1.24 |
   (bandhasya avidyānimittakatvanirāsaḥ), si	(banDasya avidyA-nimittaka-tva-nirAsaH), si
   na vayaṃ ṣaṭpadārthavādinaḥ vaiśeṣikādivat | KapSs_1.25 |	na vayam zaz-padArTa-vAdinaH vESezika-Adi-vat | KapSs_1.25 |
   (bandhasya avidyānimittakatvanirāsaḥ), pū	(banDasya avidyA-nimittaka-tva-nirAsaH), pU
   aniyatatve 'pi nāyauktikasya saṃgrahaḥ, anyathā bālonmattādisamatvaṃ |	aniyata-tve api na-ayOktikasya saMgrahaH, anyaTA bAla-unmatta-Adi-sama-tvam |
   KapSs_1.26 |	KapSs_1.26 |
   (bandhasya avidyānimittakatvanirāsaḥ), si	(banDasya avidyA-nimittaka-tva-nirAsaH), si
   nānādiviṣayoparāga nimittako 'pyasya | KapSs_1.27 |	nAnA-di-vizaya-uparAga nimittakaH api-asya | KapSH-_1.27 |
   (bandhasya viṣayavāsanānimittakatvanirāsaḥ)	(banDasya vizaya-vAsanA-nimittaka-tva-nirAsaH)
   na bāhyābhyantarayoḥ uparajyopañjaka bhāvo 'pi deśavyavadhānāt srughnastha	na bAhya-aByantarayoH uparajya-upaQjaka BAvaH api deSa-vyavaDAnAt sruGna-sTa
   pāṭaliputrasthayoriva | KapSs_1.28 |	pAwaliputra-sTayoH-iva | KapSs_1.28 |
   (bandhasya viṣayavāsanānimittakatvanirāsaḥ)	(banDasya vizaya-vAsanA-nimittaka-tva-nirAsaH)
   dvayorekadeśalabdhoparāgānna vyavasthā | KapSs_1.29 |	dvayoH-eka-deSa-labDa-uparAgAt-na vyavasTA | KapSs_1.29 |
   (bandhasya viṣayavāsanānimittakatvanirāsaḥ)	(banDasya vizaya-vAsanA-nimittaka-tva-nirAsaH)
   adṛṣṭavaśāccet | KapSs_1.30 |	adRzwa-vaSAt-ced | KapSs_1.30 |
   (banthasya viṣayavāsanānimittakatvanirāsaḥ), pū	(banTasya vizaya-vAsanA-nimittaka-tva-nirAsaH), pU
   na dvayorekakālayogādupakāryopakārakabhāvaḥ | KapSs_1.31 |	na dvayoH-eka-kAla-yogAt-upakArya-upakAraka-BAvaH | KapSs_1.31 |
   (bandhasya viṣayavāsanānimittakatvanirāsaḥ), si	(banDasya vizaya-vAsanA-nimittaka-tva-nirAsaH), si
   putrakarmavaditi cet | KapSs_1.32 |	putra-karma-vat-iti ced | KapSH-_1.32 |
   (bandhasya viṣayavāsanānimittakatvanirāsaḥ), pū	(banDasya vizaya-vAsanA-nimittaka-tva-nirAsaH), pU
   nāsti hi tatra sthira eka ātmā yo garbhādhānādikarmaṇā saṃskriyate |	na-asti hi tatra sTiraH ekaH AtmA yaH garBADAna-Adi-karmaNA saMskriyate |
   KapSs_1.33 |	KapSs_1.33 |
   (bandhasya viṣayavāsanānimittakatva nirāsaḥ), si	(banDasya vizaya-vAsanA-nimittaka-tva nirAsaH), si
   sthirakāryāsiddheḥ kṣaṇikatvaṃ | KapSs_1.34 |	sTira-kArya-asidDeH kzaNika-tvam | KapSs_1.34 |
   (bandhādīnāṃ sarveṣāmapi kṣaṇikatva vādanirāsaḥ) ,pu	(banDa-AdInAm sarvezAm-api kzaNika-tva vAda-nirAsaH) ,pu
   na pratyabhijñābādhāt | KapSs_1.35 |	na pratyaBijQA-bADAt | KapSs_1.35 |
   (bandhādīnāṃ sarveṣāmapi kṣaṇikatva vādanirāsaḥ) ,si	(banDa-AdInAm sarvezAm-api kzaNika-tva vAda-nirAsaH) ,si
   śrutinyāyavirośrvacca | KapSs_1.36 |	Sruti-nyAya-viroSrvat-ca | KapSs_1.36 |
   (bandhādīnāṃ sarveṣāmapi kṣaṇikatva vādanirāsaḥ)	(banDa-AdInAm sarvezAm-api kzaNika-tva vAda-nirAsaH)
   dṛṣṭāntāsiddheś ca | KapSs_1.37 |	dRzwAnta-asidDeH ca | KapSH-_1.37 |
   (bandhādīnāṃ sarveṣāmapi kṣaṇikatva vādanirāsaḥ)	(banDa-AdInAm sarvezAm-api kzaNika-tva vAda-nirAsaH)
   yugapajjāyamānayoḥ na kāryakāraṇabhāvaḥ | KapSs_1.38 |	yugapad-jAyamAnayoH na kArya-kAraNa-BAvaH | KapSs_1.38 |
   (bandhādīnāṃ sarveṣāmapi kṣaṇikatva vādanirāsaḥ)	(banDa-AdInAm sarvezAm-api kzaNika-tva vAda-nirAsaH)
   pūrvāpāye uttarāyogāt | KapSs_1.39 |	pUrva-apAye uttarA-yogAt | KapSs_1.39 |
   (bandhādīnāṃ sarveṣāmapi kṣaṇikatva vādanirāsaḥ)	(banDa-AdInAm sarvezAm-api kzaNika-tva vAda-nirAsaH)
   tadbhāve tadayogāt ubhayavyabhicārādapi na | KapSs_1.40 |	tad-BAve tad-ayogAt uBaya-vyaBicArAt-api na | KapSs_1.40 |
   (bandhādīnāṃ sarveṣāmapi kṣaṇikatva vādanirāsaḥ)	(banDa-AdInAm sarvezAm-api kzaNika-tva vAda-nirAsaH)
   pūrvabhāvamātre na niyamaḥ | KapSs_1.41 |	pUrva-BAva-mAtre na niyamaH | KapSs_1.41 |
   (bandhādīnāṃ sarveṣāmapi kṣaṇikatva vādanirāsaḥ)	(banDa-AdInAm sarvezAm-api kzaNika-tva vAda-nirAsaH)
   na vijñānamātraṃ bāhyapratīteḥ | KapSs_1.42 |	na vijQAna-mAtram bAhya-pratIteH | KapSs_1.42 |
   (bandhādīnāṃ vijñānamātrasvarūpatvanirāsaḥ)	(banDa-AdInAm vijQAna-mAtra-svarUpa-tva-nirAsaH)
   tadabhāve tadabhāvāt śūnyaṃ tarhi | KapSs_1.43 |	tad-aBAve tad-aBAvAt SUnyam tarhi | KapSs_1.43 |
   (bandhādīnāṃ vijñānamātrasvarūpatvanirāsaḥ)	(banDa-AdInAm vijQAna-mAtra-svarUpa-tva-nirAsaH)
   śūnyaṃ tattvaṃ, bhāvo vinaśyati, vastudharmatvāt vināśasya | KapSs_1.44 |	SUnyam tattvan, BAvaH vinaSyati, vastu-Darma-tvAt vinASasya | KapSH-_1.44 |
   (sarvaśūnyatāvādakhaṇḍanaṃ), pū	(sarva-SUnya-tAvAda-KaNxa-naM), pU
   apavādamātraṃ abuddhānāṃ | KapSs_1.45 |	apavAda-mAtram abudDAnAm | KapSs_1.45 |
   (sarvaśūnyatāvādakhaṇḍanaṃ), si	(sarva-SUnya-tA-vAda-KaNxa-naM), si
   ubhayapakṣasamānakṣematvādayamapi | KapSs_1.46 |	uBaya-pakza-samAna-kzema-tvAt-ayam-api | KapSH-_1.46 |
   (sarvaśūnyatāvādakhaṇḍanaṃ)	(sarva-SUnya-tA-vAda-KaNxa-naM)
   apuruṣārthatvamubhayathā | KapSs_1.47 |	apuruza-arTa-tvam-uBayaTA | KapSs_1.47 |
   (sarvaśūnyatāvādakhaṇḍanaṃ)	(sarva-SUnya-tA-vAda-KaNxa-naM)
   na gativiśeṣāt | KapSs_1.48 |	na gati-viSezAt | KapSH-_1.48 |
   (ātmano gativiśeṣasya bandhanimittatvanirāsaḥ)	(a-AtmanaH gati-viSezasya banDa-nimitta-tva-nirAsaH)
   niṣkriyasya tadasambhavāt | KapSs_1.49 |	nizkriyasya tad-asamBavAt | KapSH-_1.49 |
   (ātmano gativiśeṣasya bandhanimittatvanirāsaḥ)	(a-AtmanaH gati-viSezasya banDa-nimitta-tva-nirAsaH)
   mūrtatvāt ghaṭādivat samānadharmāpattau apasiddhāntaḥ | KapSs_1.50 |	mUrta-tvAt Gawa-Adi-vat samAna-Darma-ApattO apasidDAntaH | KapSs_1.50 |
   (ātmano gativiśeṣasya bandhanimittatvanirāsaḥ)	(a-AtmanaH gati-viSezasya banDa-nimitta-tva-nirAsaH)
   gatiśrutirapi upādhiyogādākāśavat | KapSs_1.51 |	gati-SrutiH-api upADi-yogAt-AkASa-vat | KapSs_1.51 |
   (ātmano gativiśeṣasya bandhanimittatvanirāsaḥ)	(a-AtmanaH gati-viSezasya banDa-nimitta-tva-nirAsaH)
   na karmaṇāpyataddharmatvāt | KapSs_1.52 |	na karmaNA-api-atad-Darma-tvAt | KapSs_1.52 |
   (karmaṇo bandhanimittatvanirāsaḥ)	(karmaNaH banDa-nimitta-tva-nirAsaH)
   atiprasaktiḥ anyadharmatve | KapSs_1.53 |	atiprasaktiH anya-Darma-tve | KapSs_1.53 |
   (karmaṇo bandhanimittatvanirāsaḥ)	(karmaNaH banDa-nimitta-tva-nirAsaH)
   nirguṇādi śrutivirodhaśceti | KapSs_1.54 |	nirguNa-Adi Sruti-viroDaH-ca-iti | KapSs_1.54 |
   (karmaṇo bandhanimittatvanirāsaḥ)	(karmaNaH banDa-nimitta-tva-nirAsaH)
   tadyogo 'pyavivekānna samānatvaṃ | KapSs_1.55 |	tad-yogaH api-avivekAt-na samAna-tvam | KapSH-_1.55 |
   (avivekanimittaprakṛtipuruṣasaṃyogasyaiva bandhahetutvaṃ)	(aviveka-nimitta-prakRti-puruza-saMyogasya-eva banDa-hetu-tvaM)
   niyatakāraṇāttaducchittiḥ dhvāntavat | KapSs_1.56 |	niyata-kAraNAt-tad-ucCittiH DvAnta-vat | KapSs_1.56 |
   (vivekasyaiva aviveka nāśahetutvaṃ)	(vivekasya-eva aviveka nASa-hetu-tvaM)
   pradhānāvivekāt anyāvivekasya taddhāne hānaṃ | KapSs_1.57 |	praDAna-avivekAt anya-avivekasya tad-hAne hAnam | KapSs_1.57 |
   (vivekasyaiva aviveka nāśahetutvaṃ)	(vivekasya-eva aviveka nASa-hetu-tvaM)
   vāḍmātraṃ na tutattvaṃ cittasthiteḥ | KapSs_1.58 |	vAz-mAtram na tu-tattvam citta-sTiteH | KapSs_1.58 |
   (cittasthitasyāpi puruṣasaṃkrāntasya bandhasya svātmasākṣātkāra	(citta-sTitasya-api puruza-saMkrAntasya banDasya sva-Atma-sAkzAtkAra
   nivartyatvaṃ)	nivartya-tvaM)
   yuktito 'pi na bādhyate diṅmūḍhavaparokṣāhate | KapSs_1.59 |	yuktitaH api na bADyate diS-mUXavaparokza-Ahate | KapSs_1.59 |
   (cittasthitasyāpi puruṣasaṃkrāntasya bandhasya svātmasākṣātkāra	(citta-sTitasya-api puruza-saMkrAntasya banDasya sva-Atma-sAkzAtkAra
   nivartyatvaṃ)	nivartya-tvaM)
   acākṣuṣāṇāmanumānena bodhaḥ dhūmādibhiriva vahnaiḥ | KapSs_1.60 |	acAkzuzANAm-anumAnena boDaH DUma-AdiBiH-iva vahnEH | KapSs_1.60 |
   (prakṛtipuruṣayorānumānikatvaṃ)	(prakRti-puruzayoH-AnumAnika-tvaM)
   satvarajastamasāṃ sāmyāvasthā prakṛtiḥ, prakṛtermahān, mahāto 'haṅkāraḥ,	satva-rajaH-tamasAm sAmya-avasTA prakRtiH, prakRteH-mahAn, mahAtas ahaFkAraH,
   ahaṅkārāt pañcatanmātrāṇi, ubhayamindriyaṃ tanmātrebhyaḥ,sthūlabhūtāni	ahaFkArAt paQca-tanmAtrANi, uBayam-indriyam tanmAtreByaH,sTUla-BUtAni
   puruṣaḥ iti pañcaviṃśatirgaṇaḥ | KapSs_1.61 |	puruzaH iti paQcaviMSatiH-gaNaH | KapSs_1.61 |
   (pañcaviṃśatitattvasiddhiḥ)	(paQcaviMSati-tattva-sidDiH)
   sthūlāt pañcatanmātrasya | KapSs_1.62 |	sTUlAt paQca-tanmAtrasya | KapSH-_1.62 |
   (pañcaviṃśatitattvasiddhiḥ)	(paQcaviMSati-tattva-sidDiH)
   bāhyābhyantarābhyāṃ taiścāhaṅkārasya | KapSs_1.63 |	bAhya-aByantarAByAm tEH-ca-ahaFkArasya | KapSs_1.63 |
   (pañcaviṃśatitattvasiddhiḥ)	(paQcaviMSati-tattva-sidDiH)
   tenāntaḥ karaṇasya | KapSs_1.64 |	tena-antar karaNasya | KapSH-_1.64 |
   (pañcaviṃśatitattvasiddhiḥ)	(paQcaviMSati-tattva-sidDiH)
   tataḥ prakṛteḥ | KapSs_1.65 |	tatas prakRteH | KapSs_1.65 |
   (pañcaviṃśatitattvasiddhiḥ)	(paQcaviMSati-tattva-sidDiH)
   saṃhataparārthatvāt puruṣasya | KapSs_1.66 |	saMhata-para-arTa-tvAt puruzasya | KapSH-_1.66 |
   (pañcaviṃśatitattvasiddhiḥ)	(paQcaviMSati-tattva-sidDiH)
   mūle mūlābhāvādamūlaṃ mūlaṃ | KapSs_1.67 |	mUle mUla-aBAvAt-amUlam mUlam | KapSH-_1.67 |
   (prakṛtereva sarvajaganmūlatvaṃ)	(prakRteH-eva sarva-jagat-mUla-tvaM)
   pārampayai'pi ekatra pariniṣṭheti saṃjñāmātraṃ | KapSs_1.68 |	pArampayE-api ekatra parinizWA-iti saMjQA-mAtram | KapSs_1.68 |
   (prakṛtereva sarvajaganmūlatvaṃ)	(prakRteH-eva sarva-jagat-mUla-tvaM)
   samājaḥ prakṛterdvayoḥ | KapSs_1.69 |	samAjaH prakRteH-dvayoH | KapSH-_1.69 |
   (prakṛtereva sarvajaganmūlatvaṃ)	(prakRteH-eva sarva-jagat-mUla-tvaM)
   adhikāritraividhyāt na niyamaḥ | KapSs_1.70 |	aDikAri-trEviDyAt na niyamaH | KapSs_1.70 |
   (vivekamananasya asārvatrikatve hetuḥ)	(viveka-mananasya asArvatrika-tve hetuH)
   mahadākhyaṃ ādyaṃ kāryaṃ tanmanaḥ | KapSs_1.71 |	mahat-AKyam Adyam kAryam tat-manaH | KapSs_1.71 |
   (mahattatvasvarūpaṃ)	(mahat-tatva-svarUpaM)
   caramo 'haṅkāraḥ | KapSs_1.72 |	caramaH ahaFkAraH | KapSs_1.72 |
   (ahaṅkāratatvasvarūpaṃ)	(ahaFkAra-tatva-svarUpaM)
   tatkāryatvamuttareṣāṃ | KapSs_1.73 |	tad-kArya-tvam-uttarezAm | KapSs_1.73 |
   (tanmātrādīnāṃ ahaṅkārakāryatve 'pi prakṛtikāryatvopapatiḥ)	(tanmAtra-AdInAm ahaFkAra-kArya-tve api prakRti-kAryatva-upapatiH)
   ādyahetutā taddvārā pāramparye 'pyaṇuvat | KapSs_1.74 |	Adya-hetu-tA tad-dvArA pAramparye api-aNu-vat | KapSs_1.74 |
   (tanmātrādīnāṃ ahaṅkārakāryatve 'pi prakṛtikāryatvopapatiḥ)	(tanmAtra-AdInAm ahaFkAra-kArya-tve api prakRti-kAryatva-upapatiH)
   pūrvabhāvitve dvayorekatarasya hāne anyatarayogaḥ | KapSs_1.75 |	pUrva-BAvi-tve dvayoH-ekatarasya hAne anyatara-yogaH | KapSs_1.75 |
   (prakṛtereva sarvakāraṇatte niyāmakaṃ)	(prakRteH-eva sarva-kAraNatte niyAmakaM)
   na paricchinnaṃ sarvopādānaṃ | KapSs_1.76 |	na paricCinnam sarva-upAdAnam | KapSs_1.76 |
   (prakṛtereva sarvakāraṇatve niyāmakaṃ)	(prakRteH-eva sarva-kAraNa-tve niyAmakaM)
   tadutpāttiśruteśca | KapSs_1.77 |	tad-utpAtti-SruteH-ca | KapSs_1.77 |
   (prakṛtereva sarvakāraṇatve niyāmakaṃ)	(prakRteH-eva sarva-kAraNa-tve niyAmakaM)
   nāvastuno vastusiddhiḥ | KapSs_1.78 |	na-avastunaH vastu-sidDiH | KapSs_1.78 |
   (śūnyasya jagatkāraṇatāyāḥ,jagataḥ śūnyatāyāśca khaṇḍanaṃ)	(SUnyasya jagat-kAraNa-tAyAH,jagataH SUnyatAyAH-ca KaNxanaM)
   abādhāt aduṣṭakāraṇa janyatvācca nāvastutvaṃ | KapSs_1.79 |	abADAt aduzwa-kAraNa janya-tvAt-ca na-avastu-tvam | KapSs_1.79 |
   (śūnyasya jagatkāraṇatāyāḥ,jagataḥ śūnyatāyāśca khaṇḍanaṃ)	(SUnyasya jagat-kAraNa-tAyAH,jagataH SUnyatAyAH-ca KaNxanaM)
   bhāve tadyogena tatsiddhiḥ, abhāve tadabhāvāt kutastarāṃ tatsiddhiḥ |	BAve tad-yogena tad-sidDiH, aBAve tad-aBAvAt kutastarAm tad-sidDiH |
   KapSs_1.80 |	KapSs_1.80 |
   (śūnyasya jagatkāraṇatāyāḥ,jagataḥ śūnyatāyāśca khaṇḍanaṃ)	(SUnyasya jagat-kAraNa-tAyAH,jagataH SUnyatAyAH-ca KaNxanaM)
   na karmaṇa upādānatvāyogāt | KapSs_1.81 |	na karmaNaH upAdAna-tva-ayogAt | KapSs_1.81 |
   (karmaṇāṃ jagadapādānātā nirāsaḥ)	(karmaNAm jagat-apAdAnAtAH nirAsaH)
   nānuśravikādapi tatsiddhiḥ, sādhyatvenā'vṛttiyogādapuruṣārthatvaṃ |	na-anuSravikAt-api tad-sidDiH, sADya-tvenA-avRtti-yogAt-apuruza-arTa-tvam |
   KapSs_1.82 |	KapSs_1.82 |
   (laukika vaidika karmaṇāṃ paramapuruṣārthahetutvakhaṇḍanaṃ)	(lOkika vEdika karmaNAm parama-puruza-arTa-hetu-tva-KaNxa-naM)
   tatra prāptivivekasya anāvṛttiśrutiḥ | KapSs_1.83 |	tatra prApti-vivekasya anAvRtti-SrutiH | KapSs_1.83 |
   (laukika vaidika karmaṇāṃ paramapuruṣārthahetutvakhaṇḍanaṃ)	(lOkika vEdika karmaNAm parama-puruza-arTa-hetu-tva-KaNxa-naM)
   duḥkhādduḥkhaṃ jalabhiṣekavanna jāḍyavimokaḥ | KapSs_1.84 |	duHKAt-duHKam jalaBizeka-vat-na jAxya-vimokaH | KapSs_1.84 |
   (laukika vaidika karmaṇāṃ paramapuruṣārthahetutvakhaṇḍanaṃ)	(lOkika vEdika karmaNAm parama-puruza-arTa-hetu-tva-KaNxa-naM)
   kāmye 'kāmyepi sādhyatvāviśeṣāt | KapSs_1.85 |	kAmye akAmyepi sADya-tva-aviSezAt | KapSH-_1.85 |
   (laukika vaidika karmaṇāṃ paramapuruṣārthahetutvakhaṇḍanaṃ)	(lOkika vEdika karmaNAm parama-puruza-arTa-hetu-tva-KaNxa-naM)
   vijamuktasya bandhadhvaṃsamātraṃ, paraṃ na samānatvaṃ | KapSs_1.86 |	vijamuktasya banDa-DvaMsa-mAtraM, param na samAna-tvam | KapSH-_1.86 |
   (laukika vaidika karmaṇāṃ paramapuruṣārthahetutvakhaṇḍanaṃ)	(lOkika vEdika karmaNAm parama-puruza-arTa-hetu-tva-KaNxa-naM)
   dvayorekatarasyavāpyasannikṛṣṭārthaparicchittiḥ pramā, tatsādhakatamaṃ	dvayoH-ekatarasi-a-vApya-sannikRzwa-arTa-paricCittiH pramA, tad-sADakatamam
   yattattrividhaṃ pramāṇaṃ | KapSs_1.87 |	yat-tat-triviDam pramANam | KapSs_1.87 |
   (pramā svarūpaṃ, pramāṇeyattā ca)	(pramA svarUpaM, pramANeyattA ca)
   tatsiddhau sarvasiddheḥ nādhikyasiddhiḥ | KapSs_1.88 |	tad-sidDO sarva-sidDeH na-ADikya-sidDiH | KapSs_1.88 |
   (pramā svarūpaṃ, pramārṇayattāca)	(pramA svarUpaM, pramArNayat-tAca)
   yat saṃbaddhaṃ sat tadākārollekhi vijñānaṃ tat pratyakṣaṃ | KapSs_1.89 |	yat saMbadDam sat tad-AkAra-ut-leKi vijQAnam tat pratyakzam | KapSs_1.89 |
   (pratyakṣalakṣaṇaṃ)	(pratyakza-lakzaNaM)
   yogināmabāhyapratyakṣatvāt na doṣaḥ | KapSs_1.90 |	yoginAm-abAhya-pratyakza-tvAt na dozaH | KapSs_1.90 |
   (pratyakṣalakṣaṇaṃ)	(pratyakza-lakzaNaM)
   līnavastulabdhātiśayasambandhādvādoṣaḥ | KapSs_1.91 |	lIna-vastu-labDa-atiSaya-sambanDAt-vAdozaH | KapSs_1.91 |
   (pratyakṣalakṣaṇaṃ)	(pratyakza-lakzaNaM)
   īśvarāsiddheḥ | KapSs_1.92 |	ISvara-asidDeH | KapSs_1.92 |
   (tadaṅgatayā īśvarasattā nirāsaḥ)	(tad-aFga-tayA ISvara-sattAH nirAsaH)
   muktāmuktayoḥ atyatarābhāvānna tatsiddhiḥ | KapSs_1.93 |	muktAmuktayoH atyatara-aBAvAt-na tad-sidDiH | KapSs_1.93 |
   (tadaṅgatayā īśvarasattā nirāsaḥ)	(tad-aFga-tayA ISvara-sattAH nirAsaH)
   ubhayathāpyasatkaratvaṃ | KapSs_1.94 |	uBayaTA-api-asatkara-tvam | KapSs_1.94 |
   (tadaṅgatayā īśvarasattā nirāsaḥ)	(tad-aFga-tayA ISvara-sattAH nirAsaH)
   muktātmanaḥ praśaṃsā upāsā siddhasya vā | KapSs_1.95 |	mukta-AtmanaH praSaMsA upAsA sidDasya vA | KapSs_1.95 |
   (tadaṅgatayā īśvarasattā nirāsaḥ)	(tad-aFga-tayA ISvara-sattAH nirAsaH)
   tatsannidhānāt adhiṣṭhātṛtvaṃ maṇivat | KapSs_1.96 |	tad-sanniDAnAt aDizWAtR-tvam maNi-vat | KapSs_1.96 |
   (tadaṅgatayā īśvarasattā nirāsaḥ)	(tad-aFga-tayA ISvara-sattAH nirAsaH)
   viśeṣakāryeṣvapi jīvānāṃ | KapSs_1.97 |	viSeza-kAryezu-api jIvAnAm | KapSs_1.97 |
   (tadaṅgatayā īśvarasattā nirāsaḥ)	(tad-aFga-tayA ISvara-sattAH nirAsaH)
